New Mexico,259,Virginia Tech,167
8:55,259,Justin Robinson missed Jumper.,21,20
8:55,167,Dane Kuiper Block.,21,20
8:55,167,New Mexico Defensive Rebound.,21,20
8:44,167,Jalen Harris missed Jumper.,21,20
8:44,259,Ahmed Hill Defensive Rebound.,21,20
8:39,259,Ahmed Hill made Layup.,21,22
8:39,167,Foul on Damien Jefferson.,21,22
8:39,259,Ahmed Hill made Free Throw.,21,23
8:28,167,Obij Aget missed Jumper.,21,23
8:28,259,Foul on Seth Allen.,21,23
8:28,167,Xavier Adams made Free Throw.,22,23
8:28,167,Xavier Adams made Free Throw.,23,23
8:28,167,New Mexico Offensive Rebound.,21,23
8:11,259,Khadim Sy Turnover.,23,23
7:55,167,Foul on Damien Jefferson.,23,23
7:55,167,Damien Jefferson Turnover.,23,23
7:55,259,Official TV Timeout,23,23
7:28,259,Ty Outlaw missed Three Point Jumper.,23,23
7:28,167,Sam Logwood Defensive Rebound.,23,23
7:14,259,Foul on Chris Clarke.,23,23
7:14,167,Sam Logwood missed Free Throw.,23,23
7:14,259,Ty Outlaw Defensive Rebound.,23,23
7:05,259,Ahmed Hill missed Three Point Jumper.,23,23
7:05,167,Obij Aget Defensive Rebound.,23,23
6:53,167,Foul on Sam Logwood.,23,23
6:53,167,Sam Logwood Turnover.,23,23
6:33,259,Zach LeDay Turnover.,23,23
6:33,167,Xavier Adams Steal.,23,23
6:33,167,New Mexico  Timeout,23,23
6:20,167,Dane Kuiper missed Jumper.,23,23
6:20,259,Virginia Tech Defensive Rebound.,23,23
5:53,259,Zach LeDay made Three Point Jumper. Assisted by Ty Outlaw.,23,26
5:36,167,Jordan Hunter missed Three Point Jumper.,23,26
5:36,167,Jordan Hunter Offensive Rebound.,23,26
5:36,167,Jordan Hunter missed Jumper.,23,26
5:36,259,Khadim Sy Defensive Rebound.,23,26
5:17,259,Justin Robinson missed Jumper.,23,26
5:17,259,Khadim Sy Offensive Rebound.,23,26
5:17,259,Khadim Sy made Two Point Tip Shot.,23,28
5:00,167,Xavier Adams Turnover.,23,28
5:00,259,Zach LeDay Steal.,23,28
4:51,259,Justin Robinson made Jumper. Assisted by Ahmed Hill.,23,30
4:32,167,Dane Kuiper missed Three Point Jumper.,23,30
4:32,259,Khadim Sy Defensive Rebound.,23,30
4:27,167,Foul on Xavier Adams.,23,30
4:27,259,Ahmed Hill made Free Throw.,23,31
4:27,259,Ahmed Hill made Free Throw.,23,32
4:06,167,Obij Aget missed Jumper.,23,32
4:06,259,Ty Outlaw Defensive Rebound.,23,32
3:57,259,Zach LeDay missed Three Point Jumper.,23,32
3:57,259,Khadim Sy Offensive Rebound.,23,32
3:54,259,Khadim Sy missed Jumper.,23,32
3:54,167,New Mexico Deadball Team Rebound.,23,32
3:54,259,Official TV Timeout,23,32
3:32,167,Tim Williams made Jumper.,25,32
3:07,259,Khadim Sy missed Jumper.,25,32
3:07,259,Khadim Sy Offensive Rebound.,25,32
2:59,259,Zach LeDay made Jumper.,25,34
2:37,259,Foul on Khadim Sy.,25,34
2:37,167,Elijah Brown made Free Throw.,26,34
2:37,167,Elijah Brown missed Free Throw.,26,34
2:37,259,Khadim Sy Defensive Rebound.,26,34
2:32,259,Ty Outlaw missed Three Point Jumper.,26,34
2:32,167,Tim Williams Defensive Rebound.,26,34
2:21,167,Elijah Brown missed Jumper.,26,34
2:21,259,Ty Outlaw Defensive Rebound.,26,34
2:20,167,Foul on Elijah Brown.,26,34
2:20,259,Ty Outlaw made Free Throw.,26,35
2:20,259,Ty Outlaw made Free Throw.,26,36
2:02,167,Jordan Hunter made Three Point Jumper.,29,36
1:45,259,Zach LeDay Turnover.,29,36
1:29,167,Aher Uguak missed Layup.,29,36
1:28,259,Khadim Sy Defensive Rebound.,29,36
1:28,167,Foul on Aher Uguak.,29,36
1:28,259,Zach LeDay made Free Throw.,29,37
1:28,259,Zach LeDay made Free Throw.,29,38
1:12,167,Obij Aget made Layup. Assisted by Jordan Hunter.,31,38
1:12,259,Foul on Khadim Sy.,31,38
1:12,167,Obij Aget made Free Throw.,32,38
0:58,259,Justin Robinson made Three Point Jumper. Assisted by Zach LeDay.,32,41
0:41,259,Foul on Ty Outlaw.,32,41
0:41,167,Connor MacDougall made Free Throw.,33,41
0:41,167,Connor MacDougall missed Free Throw.,33,41
0:41,259,Zach LeDay Defensive Rebound.,33,41
0:34,259,Virginia Tech  Timeout,33,41
0:19,259,Ty Outlaw missed Jumper.,33,41
0:19,167,Connor MacDougall Defensive Rebound.,33,41
0:11,167,Jordan Hunter made Three Point Jumper.,36,41
0:02,259,Justin Robinson made Three Point Jumper.,36,44
0:00,259,End of 1st half,36,44
20:00,259,Jump Ball won by Virginia Tech,36,44
19:40,259,Justin Bibbs made Jumper. Assisted by Ahmed Hill.,36,46
19:27,167,Elijah Brown missed Three Point Jumper.,36,46
19:27,259,Khadim Sy Defensive Rebound.,36,46
19:13,259,Ahmed Hill missed Layup.,36,46
19:13,167,Obij Aget Defensive Rebound.,36,46
18:50,167,Jordan Hunter made Layup.,38,46
18:41,259,Chris Clarke missed Layup.,38,46
18:41,167,Obij Aget Defensive Rebound.,38,46
18:40,167,Sam Logwood missed Jumper.,38,46
18:40,259,Chris Clarke Defensive Rebound.,38,46
18:40,259,Justin Bibbs Turnover.,38,46
18:30,167,Sam Logwood missed Jumper.,38,46
18:30,167,Tim Williams Offensive Rebound.,38,46
18:30,167,Tim Williams missed Two Point Tip Shot.,38,46
18:30,259,Chris Clarke Defensive Rebound.,38,46
18:19,259,Chris Clarke made Layup.,38,48
17:57,167,Tim Williams missed Jumper.,38,48
17:57,259,Chris Clarke Defensive Rebound.,38,48
17:50,259,Chris Clarke missed Three Point Jumper.,38,48
17:50,259,Khadim Sy Offensive Rebound.,38,48
17:50,259,Khadim Sy made Two Point Tip Shot.,38,50
17:36,167,New Mexico  Timeout,38,50
17:21,167,Connor MacDougall made Jumper. Assisted by Jordan Hunter.,40,50
17:03,259,Justin Robinson made Three Point Jumper. Assisted by Chris Clarke.,40,53
16:48,167,Tim Williams Turnover.,40,53
16:19,167,Foul on Jordan Hunter.,40,53
16:19,259,Justin Robinson missed Free Throw.,40,53
16:19,259,Virginia Tech Deadball Team Rebound.,40,53
16:19,259,Justin Robinson made Free Throw.,40,54
16:01,167,Elijah Brown missed Three Point Jumper.,40,54
16:01,167,Tim Williams Offensive Rebound.,40,54
16:01,167,Tim Williams made Two Point Tip Shot.,42,54
15:40,167,Foul on Tim Williams.,42,54
15:40,259,Official TV Timeout,42,54
15:26,259,Justin Bibbs missed Jumper.,42,54
15:26,167,Tim Williams Defensive Rebound.,42,54
15:05,259,Foul on Seth Allen.,42,54
15:05,167,Elijah Brown made Free Throw.,43,54
15:05,167,Elijah Brown made Free Throw.,44,54
14:37,259,Seth Allen Turnover.,44,54
14:21,167,Connor MacDougall missed Jumper.,44,54
14:21,259,Justin Robinson Block.,44,54
14:21,167,New Mexico Offensive Rebound.,44,54
14:18,259,Foul on Zach LeDay.,44,54
14:15,167,Elijah Brown made Three Point Jumper. Assisted by Tim Williams.,47,54
13:59,259,Justin Bibbs made Jumper. Assisted by Justin Robinson.,47,56
13:43,167,Jordan Hunter Turnover.,47,56
13:43,259,Zach LeDay Steal.,47,56
13:36,259,Zach LeDay Turnover.,47,56
13:06,167,Connor MacDougall missed Jumper.,47,56
13:06,259,Justin Robinson Defensive Rebound.,47,56
13:04,167,Foul on Jalen Harris.,47,56
12:55,259,Seth Allen made Jumper.,47,58
12:41,167,Elijah Brown made Jumper. Assisted by Jalen Harris.,49,58
12:18,259,Justin Robinson missed Jumper.,49,58
12:18,259,Justin Robinson Offensive Rebound.,49,58
12:13,259,Justin Bibbs made Three Point Jumper. Assisted by Justin Robinson.,49,61
11:47,167,Sam Logwood missed Jumper.,49,61
11:47,167,Sam Logwood Offensive Rebound.,49,61
11:47,167,Sam Logwood made Two Point Tip Shot.,51,61
11:23,259,Zach LeDay made Layup.,51,63
11:15,259,Official TV Timeout,51,63
11:02,167,Elijah Brown Turnover.,51,63
11:02,259,Seth Allen Steal.,51,63
10:57,167,Foul on Xavier Adams.,51,63
10:31,167,Foul on Xavier Adams.,51,63
10:17,259,Justin Bibbs made Three Point Jumper. Assisted by Chris Clarke.,51,66
10:00,167,Elijah Brown made Jumper. Assisted by Jalen Harris.,53,66
9:46,259,Zach LeDay missed Layup.,53,66
9:46,167,Tim Williams Defensive Rebound.,53,66
9:37,167,Elijah Brown Turnover.,53,66
9:37,259,Justin Bibbs Steal.,53,66
9:36,167,Foul on Connor MacDougall.,53,66
9:36,167,New Mexico  Timeout,53,66
9:36,259,Justin Robinson made Free Throw.,53,67
9:36,259,Justin Robinson made Free Throw.,53,68
9:24,259,Foul on Seth Allen.,53,68
9:17,167,Jalen Harris made Jumper.,55,68
8:55,167,Foul on Joe Furstinger.,55,68
8:55,259,Justin Robinson made Free Throw.,55,69
8:55,259,Justin Robinson made Free Throw.,55,70
8:42,167,Elijah Brown missed Three Point Jumper.,55,70
8:42,259,Ahmed Hill Defensive Rebound.,55,70
8:35,259,Justin Bibbs missed Three Point Jumper.,55,70
8:35,167,Tim Williams Defensive Rebound.,55,70
8:27,167,Jalen Harris made Jumper.,57,70
8:27,259,Foul on Justin Bibbs.,57,70
8:27,167,Jalen Harris made Free Throw.,58,70
8:14,259,Ahmed Hill made Three Point Jumper. Assisted by Justin Bibbs.,58,73
7:52,167,Sam Logwood made Jumper.,60,73
7:21,259,Zach LeDay Turnover.,60,73
7:21,259,Official TV Timeout,60,73
7:11,167,Tim Williams missed Jumper.,60,73
7:11,259,Justin Robinson Defensive Rebound.,60,73
7:04,259,Ahmed Hill made Layup. Assisted by Justin Robinson.,60,75
6:42,167,Obij Aget missed Jumper.,60,75
6:42,259,Zach LeDay Defensive Rebound.,60,75
6:24,259,Ahmed Hill made Three Point Jumper. Assisted by Justin Robinson.,60,78
6:04,167,Tim Williams made Dunk. Assisted by Jalen Harris.,62,78
5:55,259,Ahmed Hill made Three Point Jumper. Assisted by Justin Bibbs.,62,81
5:29,259,Foul on Ahmed Hill.,62,81
5:28,167,Jalen Harris Turnover.,62,81
5:28,259,Zach LeDay Steal.,62,81
5:21,259,Chris Clarke made Dunk. Assisted by Zach LeDay.,62,83
5:12,167,Elijah Brown missed Jumper.,62,83
5:12,167,Tim Williams Offensive Rebound.,62,83
5:12,167,Tim Williams made Two Point Tip Shot.,64,83
4:39,167,Foul on Dane Kuiper.,64,83
4:39,259,Justin Robinson made Free Throw.,64,84
4:39,259,Justin Robinson made Free Throw.,64,85
4:18,167,Foul on Jordan Hunter.,64,85
4:18,167,Jordan Hunter Turnover.,64,85
4:02,259,Zach LeDay missed Jumper.,64,85
4:02,167,Xavier Adams Defensive Rebound.,64,85
3:35,167,Tim Williams missed Three Point Jumper.,64,85
3:35,259,Justin Bibbs Defensive Rebound.,64,85
3:14,259,Zach LeDay made Jumper. Assisted by Justin Robinson.,64,87
3:14,167,Foul on Xavier Adams.,64,87
3:14,259,Zach LeDay made Free Throw.,64,88
3:11,259,Official TV Timeout,64,88
2:54,259,Foul on Ahmed Hill.,64,88
2:54,167,Aher Uguak made Free Throw.,65,88
2:54,167,Aher Uguak made Free Throw.,66,88
2:36,259,Zach LeDay made Jumper. Assisted by Chris Clarke.,66,90
2:20,259,Foul on Zach LeDay.,66,90
2:20,167,Tim Williams made Free Throw.,67,90
2:20,167,Tim Williams missed Free Throw.,67,90
2:20,259,Zach LeDay Defensive Rebound.,67,90
1:56,259,Ahmed Hill missed Three Point Jumper.,67,90
1:56,167,Elijah Brown Defensive Rebound.,67,90
1:48,167,Elijah Brown missed Three Point Jumper.,67,90
1:48,167,Elijah Brown Offensive Rebound.,67,90
1:44,259,Foul on Ty Outlaw.,67,90
1:44,167,Elijah Brown missed Free Throw.,67,90
1:44,167,New Mexico Deadball Team Rebound.,67,90
1:44,167,Elijah Brown made Free Throw.,68,90
1:26,259,Matt Galloway missed Three Point Jumper.,68,90
1:26,167,Tim Williams Defensive Rebound.,68,90
1:17,167,Damien Jefferson missed Three Point Jumper.,68,90
1:17,167,Tim Williams Offensive Rebound.,68,90
1:17,259,Foul on Ty Outlaw.,68,90
1:17,167,Tim Williams made Free Throw.,69,90
1:17,167,Tim Williams made Free Throw.,70,90
0:52,259,Justin Robinson missed Jumper.,70,90
0:52,259,Johnny Hamilton Offensive Rebound.,70,90
0:52,167,Foul on Connor MacDougall.,70,90
0:52,259,Johnny Hamilton made Free Throw.,70,91
0:52,259,Johnny Hamilton made Free Throw.,70,92
0:24,259,Foul on Johnny Hamilton.,70,92
0:24,167,Damien Jefferson made Free Throw.,71,92
0:24,167,Damien Jefferson made Free Throw.,72,92
