Abilene Christian,288,Lipscomb,2000
0:31,288,Garrison Mathews Turnover.,21,32
0:21,2000,Isaiah Tripp missed Layup.,21,32
0:21,2000,Payten Ricks Offensive Rebound.,21,32
0:20,2000,Payten Ricks made Two Point Tip Shot.,23,32
0:20,288,Foul on George Brammeier.,23,32
0:20,2000,Payten Ricks made Free Throw.,24,32
0:02,288,Kenny Cooper Turnover.,24,32
0:00,2000,Payten Ricks Steal.,24,32
0:00,288,End of 1st half,24,32
19:50,2000,Payten Ricks Turnover.,24,32
19:49,288,Eli Pepper Steal.,24,32
19:24,288,Eli Pepper Turnover.,24,32
19:22,2000,Tevin Foster Steal.,24,32
19:20,288,Foul on Michael Buckland.,24,32
19:20,2000,Payten Ricks made Free Throw.,25,32
19:20,2000,Payten Ricks made Free Throw.,26,32
18:56,288,Rob Marberry made Layup. Assisted by Eli Pepper.,26,34
18:40,2000,Jaylen Franklin Turnover.,26,34
18:40,288,Kenny Cooper Steal.,26,34
18:37,288,Garrison Mathews made Layup.,26,36
18:18,2000,Jaren Lewis made Layup.,28,36
18:04,2000,Foul on Jalone Friday.,28,36
17:57,288,Michael Buckland Turnover.,28,36
17:55,2000,Jaylen Franklin Steal.,28,36
17:53,2000,Payten Ricks missed Jumper.,28,36
17:53,2000,Payten Ricks Offensive Rebound.,28,36
17:43,2000,Tevin Foster made Layup.,30,36
17:36,288,Rob Marberry made Dunk. Assisted by Garrison Mathews.,30,38
17:16,2000,Payten Ricks Turnover.,30,38
16:48,288,Michael Buckland missed Three Point Jumper.,30,38
16:48,288,Eli Pepper Offensive Rebound.,30,38
16:44,2000,Foul on Jaren Lewis.,30,38
16:44,288,Eli Pepper missed Free Throw.,30,38
16:44,288,Lipscomb Deadball Team Rebound.,30,38
16:44,288,Eli Pepper made Free Throw.,30,39
16:31,2000,Drake Green made Three Point Jumper. Assisted by Jaylen Franklin.,33,39
16:23,288,Garrison Mathews missed Three Point Jumper.,33,39
16:23,2000,Jaylen Franklin Defensive Rebound.,33,39
16:15,2000,Isaiah Tripp missed Three Point Jumper.,33,39
16:15,288,Eli Pepper Defensive Rebound.,33,39
16:09,2000,Foul on B.J. Maxwell.,33,39
15:56,2000,Foul on Trey Lenox.,33,39
15:56,288,Official TV Timeout,33,39
15:53,288,Rob Marberry missed Jumper.,33,39
15:53,2000,Trey Lenox Defensive Rebound.,33,39
15:47,288,Foul on Garrison Mathews.,33,39
15:38,2000,Foul on Trey Lenox.,33,39
15:38,2000,Trey Lenox Turnover.,33,39
15:21,288,Foul on Kenny Cooper.,33,39
15:21,288,Kenny Cooper Turnover.,33,39
15:11,2000,Tevin Foster Turnover.,33,39
15:09,288,Kenny Cooper Steal.,33,39
15:06,2000,Foul on Trey Lenox.,33,39
15:00,288,Greg Jones Turnover.,33,39
14:59,2000,Trey Lenox Steal.,33,39
14:57,2000,Drake Green missed Three Point Jumper.,33,39
14:57,288,Kenny Cooper Defensive Rebound.,33,39
14:51,288,Kenny Cooper Turnover.,33,39
14:50,2000,Payten Ricks Steal.,33,39
14:47,2000,Payten Ricks made Dunk.,35,39
14:28,288,Kenny Cooper Turnover.,35,39
14:26,2000,Trey Lenox Steal.,35,39
14:16,2000,Drake Green Turnover.,35,39
14:14,288,Matt Rose Steal.,35,39
14:07,288,Kenny Cooper made Layup.,35,41
14:07,2000,Foul on Tevin Foster.,35,41
14:07,288,Kenny Cooper made Free Throw.,35,42
13:52,2000,Payten Ricks made Layup.,37,42
13:36,288,Michael Buckland missed Layup.,37,42
13:36,2000,B.J. Maxwell Defensive Rebound.,37,42
13:31,288,Foul on Matt Rose.,37,42
13:31,2000,Jaylen Franklin missed Free Throw.,37,42
13:31,2000,Abilene Christian Deadball Team Rebound.,37,42
13:31,2000,Jaylen Franklin missed Free Throw.,37,42
13:31,288,Eli Pepper Defensive Rebound.,37,42
13:21,288,Greg Jones missed Three Point Jumper.,37,42
13:21,288,Lipscomb Offensive Rebound.,37,42
13:04,288,Greg Jones made Layup.,37,44
12:57,2000,Foul on Payten Ricks.,37,44
12:57,2000,Payten Ricks Turnover.,37,44
12:46,288,Rob Marberry missed Layup.,37,44
12:46,2000,B.J. Maxwell Block.,37,44
12:44,2000,Hayden Farquhar Defensive Rebound.,37,44
12:40,2000,Payten Ricks made Jumper.,39,44
12:32,288,Rob Marberry made Layup. Assisted by Michael Buckland.,39,46
12:16,2000,Payten Ricks missed Layup.,39,46
12:16,288,Eli Pepper Block.,39,46
12:14,288,Lipscomb Defensive Rebound.,39,46
12:12,2000,Foul on Jaylen Franklin.,39,46
12:12,288,Michael Buckland made Free Throw.,39,47
12:12,288,Michael Buckland made Free Throw.,39,48
11:54,2000,Payten Ricks Turnover.,39,48
11:54,288,Official TV Timeout,39,48
11:43,288,Garrison Mathews missed Jumper.,39,48
11:43,2000,Tevin Foster Defensive Rebound.,39,48
11:21,2000,B.J. Maxwell made Layup. Assisted by Tevin Foster.,41,48
11:01,288,Aaron Korn missed Three Point Jumper.,41,48
11:01,2000,Payten Ricks Defensive Rebound.,41,48
10:48,2000,Hayden Farquhar missed Three Point Jumper.,41,48
10:48,288,Greg Jones Defensive Rebound.,41,48
10:28,288,Rob Marberry made Layup. Assisted by Aaron Korn.,41,50
10:06,2000,B.J. Maxwell Turnover.,41,50
9:54,288,Rob Marberry made Layup. Assisted by Kenny Cooper.,41,52
9:34,2000,Jaren Lewis made Three Point Jumper. Assisted by Tevin Foster.,44,52
9:30,2000,Abilene Christian  Timeout,44,52
9:21,288,Rob Marberry Turnover.,44,52
9:20,2000,Jaren Lewis Steal.,44,52
9:17,2000,Tevin Foster made Layup.,46,52
9:08,288,Kenny Cooper Turnover.,46,52
9:01,2000,Jaren Lewis made Three Point Jumper. Assisted by Tevin Foster.,49,52
8:46,288,Greg Jones Turnover.,49,52
8:29,2000,Tevin Foster Turnover.,49,52
8:12,288,Greg Jones Turnover.,49,52
8:11,2000,Trey Lenox Steal.,49,52
7:56,2000,Trey Lenox missed Layup.,49,52
7:56,2000,Tevin Foster Offensive Rebound.,49,52
7:52,2000,Tevin Foster made Two Point Tip Shot.,51,52
7:48,288,Greg Jones missed Three Point Jumper.,51,52
7:48,288,Eli Pepper Offensive Rebound.,51,52
7:44,288,Official TV Timeout,51,52
7:33,2000,Foul on Trey Lenox.,51,52
7:33,288,Michael Buckland made Free Throw.,51,53
7:33,288,Michael Buckland made Free Throw.,51,54
7:18,2000,Payten Ricks missed Layup.,51,54
7:18,288,Eli Pepper Defensive Rebound.,51,54
6:57,288,Garrison Mathews missed Jumper.,51,54
6:57,288,Garrison Mathews Offensive Rebound.,51,54
6:53,288,Rob Marberry missed Layup.,51,54
6:53,288,Eli Pepper Offensive Rebound.,51,54
6:48,288,Kenny Cooper Turnover.,51,54
6:21,2000,Jaren Lewis missed Jumper.,51,54
6:21,288,Eli Pepper Defensive Rebound.,51,54
6:01,2000,Foul on Jaylen Franklin.,51,54
6:01,288,Garrison Mathews missed Free Throw.,51,54
6:01,288,Lipscomb Deadball Team Rebound.,51,54
6:01,288,Garrison Mathews made Free Throw.,51,55
6:01,288,Garrison Mathews made Free Throw.,51,56
5:46,2000,Jaren Lewis made Layup.,53,56
5:46,288,Foul on Eli Pepper.,53,56
5:46,2000,Jaren Lewis made Free Throw.,54,56
5:33,288,Michael Buckland missed Jumper.,54,56
5:33,288,Garrison Mathews Offensive Rebound.,54,56
5:29,288,Garrison Mathews missed Jumper.,54,56
5:29,2000,Jaren Lewis Block.,54,56
5:27,2000,Jaren Lewis Defensive Rebound.,54,56
5:07,2000,Jalone Friday missed Jumper.,54,56
5:07,288,Rob Marberry Defensive Rebound.,54,56
4:50,288,Garrison Mathews made Three Point Jumper. Assisted by Michael Buckland.,54,59
4:30,2000,Tevin Foster made Jumper.,56,59
4:28,2000,Abilene Christian  Timeout,56,59
4:28,288,Official TV Timeout,56,59
4:06,288,Garrison Mathews made Layup.,56,61
3:48,2000,Jalone Friday missed Jumper.,56,61
3:48,288,Lipscomb Defensive Rebound.,56,61
3:24,288,Michael Buckland missed Three Point Jumper.,56,61
3:24,2000,Jaren Lewis Defensive Rebound.,56,61
3:14,2000,Jalone Friday missed Three Point Jumper.,56,61
3:14,288,Matt Rose Defensive Rebound.,56,61
3:02,288,Kenny Cooper Turnover.,56,61
3:01,2000,Tevin Foster Steal.,56,61
2:58,2000,Jaren Lewis Turnover.,56,61
2:57,288,Michael Buckland Steal.,56,61
2:54,288,Michael Buckland missed Layup.,56,61
2:54,2000,Tevin Foster Defensive Rebound.,56,61
2:35,2000,Jalone Friday made Jumper. Assisted by Tevin Foster.,58,61
2:11,288,Kenny Cooper missed Three Point Jumper.,58,61
2:11,2000,Tevin Foster Defensive Rebound.,58,61
2:03,2000,Tevin Foster Turnover.,58,61
2:02,288,Garrison Mathews Steal.,58,61
2:01,2000,Foul on Tevin Foster.,58,61
2:01,288,Garrison Mathews made Free Throw.,58,62
2:01,288,Garrison Mathews made Free Throw.,58,63
1:37,288,Foul on Kenny Cooper.,58,63
1:37,2000,Jalone Friday made Free Throw.,59,63
1:37,2000,Jalone Friday made Free Throw.,60,63
1:08,288,Garrison Mathews missed Three Point Jumper.,60,63
1:08,288,Michael Buckland Offensive Rebound.,60,63
1:05,288,Lipscomb  Turnover.,60,63
0:57,2000,Payten Ricks missed Layup.,60,63
0:57,288,Lipscomb Defensive Rebound.,60,63
0:39,288,Kenny Cooper Turnover.,60,63
0:33,2000,Payten Ricks missed Three Point Jumper.,60,63
0:33,288,Lipscomb Deadball Team Rebound.,60,63
0:29,2000,Abilene Christian  Turnover.,60,63
0:29,2000,Foul on Payten Ricks.,60,63
0:29,288,Garrison Mathews missed Free Throw.,60,63
0:29,288,Lipscomb Deadball Team Rebound.,60,63
0:29,288,Garrison Mathews made Free Throw.,60,64
0:23,2000,Jaylen Franklin missed Layup.,60,64
0:23,288,Rob Marberry Defensive Rebound.,60,64
0:18,2000,Foul on Tevin Foster.,60,64
0:18,288,Kenny Cooper made Free Throw.,60,65
0:18,288,Kenny Cooper missed Free Throw.,60,65
0:18,2000,Payten Ricks Defensive Rebound.,60,65
0:14,2000,Payten Ricks made Three Point Jumper.,63,65
0:13,2000,Abilene Christian  Timeout,63,65
0:10,2000,Foul on Jaylen Franklin.,63,65
0:10,288,Michael Buckland made Free Throw.,63,66
0:10,288,Michael Buckland made Free Throw.,63,67
0:06,2000,Payten Ricks missed Three Point Jumper.,63,67
0:06,2000,Jalone Friday Offensive Rebound.,63,67
0:01,2000,Jalone Friday made Jumper.,65,67
0:00,288,End of Game,65,67
