Rio Grande,Error,Miami (OH),193
11:26,-1,Jaxon Burgess missed Three Point Jumper.,10,22
11:26,193,Bam Bowman Defensive Rebound.,10,22
11:14,193,Darrian Ringo Turnover.,10,22
11:14,-1,Greg Wallace Steal.,10,22
11:11,-1,Will Hill made Layup.,12,22
10:55,-1,Foul on Jaxon Burgess.,12,22
10:55,193,Official TV Timeout,12,22
10:49,193,Jake Wright missed Three Point Jumper.,12,22
10:49,-1,Greg Wallace Defensive Rebound.,12,22
10:35,-1,Will Hill missed Three Point Jumper.,12,22
10:35,193,Bam Bowman Defensive Rebound.,12,22
10:24,193,Bam Bowman made Three Point Jumper. Assisted by Jake Wright.,12,25
10:07,-1,Greg Wallace Turnover.,12,25
10:07,193,Isaiah Coleman-Lands Steal.,12,25
10:03,193,Nike Sibande made Dunk. Assisted by Isaiah Coleman-Lands.,12,27
10:02,193,Technical Foul on Nike Sibande.,12,27
10:02,-1,Will Hill made Free Throw.,13,27
9:48,-1,Trey Kelley missed Three Point Jumper.,13,27
9:48,-1,Rio Grande Offensive Rebound.,13,27
9:45,-1,Abraham Eze missed Jumper.,13,27
9:45,193,Isaiah Coleman-Lands Defensive Rebound.,13,27
9:20,193,Jake Wright missed Three Point Jumper.,13,27
9:20,-1,Will Hill Defensive Rebound.,13,27
8:54,193,Foul on Dalonte Brown.,13,27
8:50,-1,Abraham Eze Turnover.,13,27
8:33,193,Nike Sibande missed Three Point Jumper.,13,27
8:33,193,Logan McLane Offensive Rebound.,13,27
8:29,193,Dalonte Brown made Dunk. Assisted by Isaiah Coleman-Lands.,13,29
8:04,-1,Stanley Christian missed Jumper.,13,29
8:04,193,Miami (OH) Defensive Rebound.,13,29
8:04,-1,Foul on Abraham Eze.,13,29
7:51,193,Logan McLane missed Dunk.,13,29
7:51,-1,Abraham Eze Defensive Rebound.,13,29
7:39,-1,Trey Kelley missed Three Point Jumper.,13,29
7:39,-1,Greg Wallace Offensive Rebound.,13,29
7:21,-1,Abraham Eze Turnover.,13,29
7:21,193,Official TV Timeout,13,29
7:03,193,Jalen Adaway missed Three Point Jumper.,13,29
7:03,193,Logan McLane Offensive Rebound.,13,29
6:59,193,Logan McLane made Layup.,13,31
6:59,-1,Foul on Greg Wallace.,13,31
6:59,193,Logan McLane missed Free Throw.,13,31
6:59,193,Nike Sibande Offensive Rebound.,13,31
6:58,193,Nike Sibande made Two Point Tip Shot.,13,33
6:32,-1,Kenny Council missed Jumper.,13,33
6:32,193,Dalonte Brown Defensive Rebound.,13,33
6:27,-1,Foul on Kenny Council.,13,33
6:10,193,Jalen Adaway missed Dunk.,13,33
6:10,193,Jalen Adaway Offensive Rebound.,13,33
6:09,-1,Foul on Will Hill.,13,33
6:09,193,Jalen Adaway missed Free Throw.,13,33
6:09,-1,Abraham Eze Defensive Rebound.,13,33
5:53,-1,Will Hill Turnover.,13,33
5:52,193,Logan McLane Steal.,13,33
5:51,-1,Foul on Trey Kelley.,13,33
5:51,193,Isaiah Coleman-Lands made Free Throw.,13,34
5:51,193,Isaiah Coleman-Lands missed Free Throw.,13,34
5:51,193,Logan McLane Offensive Rebound.,13,34
5:37,193,Nike Sibande missed Jumper.,13,34
5:37,193,Nike Sibande Offensive Rebound.,13,34
5:33,193,Nike Sibande made Jumper.,13,36
5:31,-1,Abraham Eze made Layup. Assisted by Will Hill.,15,36
5:08,193,Jalen Adaway made Layup.,15,38
4:56,-1,Stanley Christian missed Jumper.,15,38
4:56,-1,Abraham Eze Offensive Rebound.,15,38
4:53,193,Foul on Dalonte Brown.,15,38
4:53,-1,Abraham Eze made Free Throw.,16,38
4:53,-1,Abraham Eze made Free Throw.,17,38
4:31,193,Bam Bowman missed Three Point Jumper.,17,38
4:31,193,Rod Mills Jr. Offensive Rebound.,17,38
4:27,193,Rod Mills Jr. made Two Point Tip Shot.,17,40
4:07,-1,Stanley Christian made Layup.,19,40
3:50,193,Bam Bowman made Layup.,19,42
3:34,-1,DeVon Price made Jumper.,21,42
3:08,193,Rod Mills Jr. missed Jumper.,21,42
3:08,193,Bam Bowman Offensive Rebound.,21,42
3:04,-1,Foul on Abraham Eze.,21,42
3:04,193,Official TV Timeout,21,42
3:04,193,Bam Bowman made Free Throw.,21,43
3:04,193,Bam Bowman made Free Throw.,21,44
2:52,-1,Will Hill missed Three Point Jumper.,21,44
2:52,193,Miami (OH) Defensive Rebound.,21,44
2:45,193,Darrian Ringo made Layup.,21,46
2:33,-1,DeVon Price Turnover.,21,46
2:32,193,Jalen Adaway Steal.,21,46
2:29,193,Rod Mills Jr. made Layup. Assisted by Jalen Adaway.,21,48
2:12,-1,Will Hill missed Jumper.,21,48
2:12,193,Jake Wright Defensive Rebound.,21,48
2:01,-1,Foul on Trey Kelley.,21,48
2:01,193,Darrian Ringo missed Free Throw.,21,48
2:01,193,Miami (OH) Deadball Team Rebound.,21,48
2:01,193,Darrian Ringo made Free Throw.,21,49
1:47,-1,Stanley Christian made Jumper. Assisted by Trey Kelley.,23,49
1:29,193,Jalen Adaway made Layup. Assisted by Darrian Ringo.,23,51
1:07,-1,Stanley Christian made Layup.,25,51
0:48,193,Precious Ayah missed Jumper.,25,51
0:48,-1,Stanley Christian Defensive Rebound.,25,51
0:39,-1,Will Hill missed Jumper.,25,51
0:39,193,Jake Wright Defensive Rebound.,25,51
0:11,193,Jake Wright made Three Point Jumper.,25,54
0:00,193,End of 1st half,25,54
19:48,-1,Will Hill missed Jumper.,25,54
19:48,193,Dalonte Brown Defensive Rebound.,25,54
19:39,193,Nike Sibande made Layup.,25,56
19:17,-1,Jaxon Burgess missed Three Point Jumper.,25,56
19:17,-1,DeVon Price Offensive Rebound.,25,56
19:14,-1,DeVon Price made Layup.,27,56
18:55,193,Dalonte Brown missed Three Point Jumper.,27,56
18:55,-1,Ajdin Maksumic Defensive Rebound.,27,56
18:47,-1,Jaxon Burgess missed Three Point Jumper.,27,56
18:47,-1,Will Hill Offensive Rebound.,27,56
18:37,-1,Will Hill missed Jumper.,27,56
18:37,193,Dalonte Brown Defensive Rebound.,27,56
18:25,193,Logan McLane Turnover.,27,56
18:06,-1,Ajdin Maksumic missed Jumper.,27,56
18:06,193,Dalonte Brown Block.,27,56
18:06,193,Nike Sibande Defensive Rebound.,27,56
17:59,193,Isaiah Coleman-Lands missed Three Point Jumper.,27,56
17:59,-1,Stanley Christian Defensive Rebound.,27,56
17:44,-1,Stanley Christian made Jumper.,29,56
17:39,193,Dalonte Brown Turnover.,29,56
17:37,-1,Will Hill Steal.,29,56
17:37,-1,Will Hill Turnover.,29,56
17:30,-1,Foul on Ajdin Maksumic.,29,56
17:28,193,Isaiah Coleman-Lands Turnover.,29,56
17:27,-1,Ajdin Maksumic Steal.,29,56
17:08,-1,Stanley Christian missed Jumper.,29,56
17:08,193,Bam Bowman Defensive Rebound.,29,56
16:40,193,Jalen Adaway missed Jumper.,29,56
16:40,-1,Stanley Christian Defensive Rebound.,29,56
16:29,193,Foul on Dalonte Brown.,29,56
16:21,-1,DeVon Price made Layup.,31,56
16:02,193,Bam Bowman made Layup.,31,58
15:42,-1,Stanley Christian missed Three Point Jumper.,31,58
15:42,-1,Ajdin Maksumic Offensive Rebound.,31,58
15:38,-1,Ajdin Maksumic missed Layup.,31,58
15:38,193,Bam Bowman Defensive Rebound.,31,58
15:29,193,Nike Sibande missed Jumper.,31,58
15:29,-1,DeVon Price Defensive Rebound.,31,58
15:21,-1,DeVon Price missed Jumper.,31,58
15:21,-1,Rio Grande Offensive Rebound.,31,58
15:19,193,Official TV Timeout,31,58
15:14,-1,Stanley Christian Turnover.,31,58
15:04,193,Darrian Ringo Turnover.,31,58
15:04,-1,Jaxon Burgess Steal.,31,58
14:57,-1,Jaxon Burgess made Three Point Jumper. Assisted by DeVon Price.,34,58
14:41,-1,Foul on DeVon Price.,34,58
14:36,-1,Foul on Ajdin Maksumic.,34,58
14:36,193,Nike Sibande made Free Throw.,34,59
14:36,193,Nike Sibande made Free Throw.,34,60
14:23,-1,DeVon Price missed Jumper.,34,60
14:23,193,Bam Bowman Defensive Rebound.,34,60
14:14,193,Jalen Adaway missed Layup.,34,60
14:14,-1,Will Hill Defensive Rebound.,34,60
14:07,-1,DeVon Price missed Jumper.,34,60
14:07,-1,Will Hill Offensive Rebound.,34,60
14:04,-1,Will Hill missed Layup.,34,60
14:04,193,Rod Mills Jr. Block.,34,60
14:03,193,Jalen Adaway Defensive Rebound.,34,60
13:59,193,Nike Sibande missed Layup.,34,60
13:59,193,Jalen Adaway Offensive Rebound.,34,60
13:57,193,Jalen Adaway made Two Point Tip Shot.,34,62
13:36,-1,Jaxon Burgess made Three Point Jumper. Assisted by DeVon Price.,37,62
13:15,193,Darrian Ringo made Layup.,37,64
13:14,-1,Foul on Will Hill.,37,64
13:14,193,Darrian Ringo made Free Throw.,37,65
13:09,193,Foul on Darrian Ringo.,37,65
13:02,-1,Jaxon Burgess missed Three Point Jumper.,37,65
13:02,193,Rod Mills Jr. Defensive Rebound.,37,65
12:49,193,Bam Bowman made Layup. Assisted by Darrian Ringo.,37,67
12:26,193,Foul on Bam Bowman.,37,67
12:26,-1,DeVon Price made Free Throw.,38,67
12:26,-1,DeVon Price made Free Throw.,39,67
12:21,193,Bam Bowman made Layup. Assisted by Darrian Ringo.,39,69
12:21,-1,Foul on Will Hill.,39,69
12:21,193,Bam Bowman made Free Throw.,39,70
12:04,-1,Stanley Christian made Three Point Jumper.,42,70
11:59,-1,Technical Foul on Rio Grande.,42,70
11:59,193,Official TV Timeout,42,70
11:59,-1,Foul on Rio Grande.,42,70
11:59,193,Official TV Timeout,42,70
11:59,193,Jake Wright made Free Throw.,42,71
11:59,193,Jake Wright made Free Throw.,42,72
11:35,193,Jake Wright missed Three Point Jumper.,42,72
11:35,193,Darrian Ringo Offensive Rebound.,42,72
11:27,193,Isaiah Coleman-Lands made Three Point Jumper. Assisted by Rod Mills Jr..,42,75
11:09,193,Foul on Rod Mills Jr..,42,75
11:05,193,Foul on Rod Mills Jr..,42,75
11:05,-1,Will Hill made Free Throw.,43,75
11:05,-1,Will Hill made Free Throw.,44,75
10:46,193,Bam Bowman Turnover.,44,75
10:44,-1,Will Hill Steal.,44,75
10:41,-1,DeVon Price made Layup. Assisted by Will Hill.,46,75
10:28,193,Jake Wright Turnover.,46,75
10:27,-1,Jaxon Burgess Steal.,46,75
10:18,-1,Jaxon Burgess missed Three Point Jumper.,46,75
10:18,193,Bam Bowman Defensive Rebound.,46,75
10:11,193,Jake Wright made Layup. Assisted by Darrian Ringo.,46,77
10:02,-1,Will Hill made Jumper.,48,77
9:43,193,Rod Mills Jr. missed Three Point Jumper.,48,77
9:43,193,Bam Bowman Offensive Rebound.,48,77
9:41,-1,Foul on Abraham Eze.,48,77
9:41,193,Bam Bowman made Free Throw.,48,78
9:41,193,Bam Bowman made Free Throw.,48,79
9:25,-1,Stanley Christian Turnover.,48,79
9:24,193,Jake Wright Steal.,48,79
9:21,193,Jake Wright made Three Point Jumper. Assisted by Darrian Ringo.,48,82
9:06,-1,Stanley Christian missed Three Point Jumper.,48,82
9:06,193,Darrian Ringo Defensive Rebound.,48,82
8:52,193,Isaiah Coleman-Lands made Three Point Jumper. Assisted by Darrian Ringo.,48,85
8:45,193,Foul on Darrian Ringo.,48,85
8:43,-1,Will Hill made Three Point Jumper.,51,85
8:22,-1,Foul on Ajdin Maksumic.,51,85
8:22,193,Bam Bowman missed Free Throw.,51,85
8:22,-1,Greg Wallace Defensive Rebound.,51,85
8:14,-1,Ajdin Maksumic missed Jumper.,51,85
8:14,193,Bam Bowman Defensive Rebound.,51,85
8:06,193,Darrian Ringo made Layup.,51,87
7:59,193,Foul on Darrian Ringo.,51,87
7:59,193,Official TV Timeout,51,87
7:59,-1,Will Hill made Free Throw.,52,87
7:59,-1,Will Hill made Free Throw.,53,87
7:39,193,Precious Ayah made Jumper.,53,89
7:26,-1,Will Hill missed Three Point Jumper.,53,89
7:26,193,Precious Ayah Defensive Rebound.,53,89
7:07,193,Isaiah Coleman-Lands Turnover.,53,89
6:52,193,Foul on Dalonte Brown.,53,89
6:52,-1,Greg Wallace made Free Throw.,54,89
6:52,-1,Greg Wallace made Free Throw.,55,89
6:31,193,Jake Wright missed Three Point Jumper.,55,89
6:31,-1,Stanley Christian Defensive Rebound.,55,89
6:22,193,Foul on Jake Wright.,55,89
6:22,-1,Will Hill made Free Throw.,56,89
6:22,-1,Will Hill made Free Throw.,57,89
5:58,193,Precious Ayah made Layup. Assisted by Darrian Ringo.,57,91
5:45,-1,Will Hill made Three Point Jumper. Assisted by Trey Kelley.,60,91
5:42,-1,Rio Grande  Timeout,60,91
5:42,193,Official TV Timeout,60,91
5:19,193,Dalonte Brown made Layup. Assisted by Isaiah Coleman-Lands.,60,93
5:06,-1,Will Hill Turnover.,60,93
5:05,193,Jalen Adaway Steal.,60,93
5:00,193,Nike Sibande made Jumper. Assisted by Isaiah Coleman-Lands.,60,95
4:52,-1,Will Hill made Three Point Jumper.,63,95
4:34,-1,Foul on Trey Kelley.,63,95
4:34,193,Precious Ayah made Free Throw.,63,96
4:34,193,Precious Ayah made Free Throw.,63,97
4:08,-1,Stanley Christian missed Jumper.,63,97
4:08,-1,Rio Grande Offensive Rebound.,63,97
3:54,-1,Will Hill made Three Point Jumper.,66,97
3:41,193,Jalen Adaway made Three Point Jumper. Assisted by Dalonte Brown.,66,100
3:27,-1,Trey Kelley made Jumper.,68,100
3:08,193,Nike Sibande made Three Point Jumper. Assisted by Precious Ayah.,68,103
2:53,-1,Will Hill missed Jumper.,68,103
2:53,193,Miami (OH) Defensive Rebound.,68,103
2:52,-1,Foul on Stanley Christian.,68,103
2:52,193,Official TV Timeout,68,103
2:52,193,Nike Sibande made Free Throw.,68,104
2:52,193,Nike Sibande made Free Throw.,68,105
2:45,193,Foul on Michael Ritchie.,68,105
2:45,-1,DeVon Price missed Free Throw.,68,105
2:45,-1,Rio Grande Deadball Team Rebound.,68,105
2:45,-1,DeVon Price made Free Throw.,69,105
2:31,193,Precious Ayah missed Jumper.,69,105
2:31,-1,Greg Wallace Defensive Rebound.,69,105
2:29,193,Foul on Michael Ritchie.,69,105
2:29,-1,Greg Wallace made Free Throw.,70,105
2:29,-1,Greg Wallace missed Free Throw.,70,105
2:29,193,Precious Ayah Defensive Rebound.,70,105
2:07,-1,Foul on Greg Wallace.,70,105
2:07,193,Michael Ritchie missed Free Throw.,70,105
2:07,193,Miami (OH) Deadball Team Rebound.,70,105
2:07,193,Michael Ritchie made Free Throw.,70,106
1:46,-1,Trey Kelley missed Three Point Jumper.,70,106
1:46,193,Precious Ayah Defensive Rebound.,70,106
1:19,193,Grant Pitman made Three Point Jumper. Assisted by Isaiah Coleman-Lands.,70,109
1:08,-1,Greg Wallace Turnover.,70,109
1:08,193,Grant Pitman Steal.,70,109
0:38,193,Michael Ritchie Turnover.,70,109
0:37,-1,Ajdin Maksumic Steal.,70,109
0:35,-1,Ajdin Maksumic Turnover.,70,109
0:34,193,Isaiah Coleman-Lands Steal.,70,109
0:05,193,Foul on Jake Wright.,70,109
0:05,193,Jake Wright Turnover.,70,109
0:01,-1,Raul Timoner missed Layup.,70,109
0:01,193,Grant Pitman Defensive Rebound.,70,109
0:00,193,End of Game,70,109
