UC Riverside,149,Montana,27
4:36,27,Foul on Alex Larsson.,15,25
4:36,149,Ahmaad Rorie made Free Throw.,15,26
4:36,149,Ahmaad Rorie made Free Throw.,15,27
4:24,27,Jayvon Brown missed Jumper.,15,27
4:24,149,Bobby Moorehead Defensive Rebound.,15,27
4:12,149,Ahmaad Rorie missed Three Point Jumper.,15,27
4:12,27,James Jackson Defensive Rebound.,15,27
3:57,27,Alex Larsson made Layup. Assisted by Chance Murray.,17,27
3:42,149,Sayeed Pridgett made Layup. Assisted by Bobby Moorehead.,17,29
3:24,149,Official TV Timeout,17,29
3:10,27,Chance Murray Turnover.,17,29
3:10,149,Sayeed Pridgett Steal.,17,29
2:44,149,Sayeed Pridgett missed Three Point Jumper.,17,29
2:44,27,Brandon Rosser Defensive Rebound.,17,29
2:29,27,Jayvon Brown made Layup.,19,29
2:20,149,Ahmaad Rorie made Layup.,19,31
2:01,27,James Jackson Turnover.,19,31
1:44,149,Sayeed Pridgett missed Layup.,19,31
1:44,27,Brandon Rosser Block.,19,31
1:37,27,Jayvon Brown Defensive Rebound.,19,31
1:37,27,UC Riverside  Timeout,19,31
1:21,27,James Jackson Turnover.,19,31
1:19,149,Ahmaad Rorie Steal.,19,31
1:15,149,Bobby Moorehead missed Layup.,19,31
1:15,149,Jamar Akoh Offensive Rebound.,19,31
1:09,149,Jamar Akoh made Layup.,19,33
0:49,27,Chance Murray made Jumper.,21,33
0:43,149,Montana  Timeout,21,33
0:32,149,Ahmaad Rorie missed Three Point Jumper.,21,33
0:32,27,Brandon Rosser Defensive Rebound.,21,33
0:04,27,James Jackson missed Layup.,21,33
0:04,27,Jayvon Brown Offensive Rebound.,21,33
0:00,27,Jayvon Brown missed Three Point Jumper.,21,33
0:00,27,UC Riverside Deadball Team Rebound.,21,33
0:00,149,End of 1st half,21,33
19:50,149,Fabijan Krslovic missed Jumper.,21,33
19:50,27,Chance Murray Defensive Rebound.,21,33
19:36,27,Menno Dijkstra made Layup. Assisted by Chance Murray.,23,33
19:17,149,Bobby Moorehead missed Three Point Jumper.,23,33
19:17,149,Jamar Akoh Offensive Rebound.,23,33
19:02,27,Foul on Brandon Rosser.,23,33
18:46,149,Bobby Moorehead made Three Point Jumper. Assisted by Michael Oguine.,23,36
18:31,27,Dikymbe Martin missed Jumper.,23,36
18:31,149,Jamar Akoh Block.,23,36
18:28,149,Bobby Moorehead Defensive Rebound.,23,36
18:28,149,Bobby Moorehead made Layup.,23,38
18:28,27,Foul on Brandon Rosser.,23,38
18:28,149,Bobby Moorehead made Free Throw.,23,39
18:11,27,Dikymbe Martin missed Three Point Jumper.,23,39
18:11,149,Michael Oguine Block.,23,39
18:08,149,Jamar Akoh Defensive Rebound.,23,39
18:02,149,Michael Oguine missed Layup.,23,39
18:02,149,Bobby Moorehead Offensive Rebound.,23,39
18:00,27,Foul on Chance Murray.,23,39
17:54,27,Foul on Ajani Kennedy.,23,39
17:54,149,Michael Oguine made Free Throw.,23,40
17:54,149,Michael Oguine made Free Throw.,23,41
17:41,27,Menno Dijkstra missed Three Point Jumper.,23,41
17:41,149,Michael Oguine Defensive Rebound.,23,41
17:33,149,Foul on Jamar Akoh.,23,41
17:33,149,Jamar Akoh Turnover.,23,41
17:21,27,Alex Larsson missed Layup.,23,41
17:21,149,Jamar Akoh Block.,23,41
17:20,149,Montana Defensive Rebound.,23,41
17:08,149,Fabijan Krslovic made Layup. Assisted by Jamar Akoh.,23,43
17:06,27,UC Riverside  Timeout,23,43
16:48,27,Jayvon Brown Turnover.,23,43
16:34,149,Michael Oguine missed Three Point Jumper.,23,43
16:34,149,Ahmaad Rorie Offensive Rebound.,23,43
16:30,27,Foul on Idy Diallo.,23,43
16:23,149,Ahmaad Rorie made Three Point Jumper. Assisted by Bobby Moorehead.,23,46
15:57,27,Chance Murray missed Jumper.,23,46
15:57,149,Bobby Moorehead Defensive Rebound.,23,46
15:51,27,Foul on Koh Flippin.,23,46
15:51,149,Official TV Timeout,23,46
15:34,149,Michael Oguine made Jumper. Assisted by Jamar Akoh.,23,48
15:10,27,Brandon Rosser missed Jumper.,23,48
15:10,149,Sayeed Pridgett Defensive Rebound.,23,48
15:00,27,Foul on Koh Flippin.,23,48
15:00,149,Michael Oguine made Free Throw.,23,49
15:00,149,Michael Oguine made Free Throw.,23,50
14:41,27,Chance Murray missed Jumper.,23,50
14:41,149,Sayeed Pridgett Defensive Rebound.,23,50
14:32,149,Foul on Sayeed Pridgett.,23,50
14:32,149,Sayeed Pridgett Turnover.,23,50
14:12,27,Idy Diallo Turnover.,23,50
14:11,149,Jamar Akoh Steal.,23,50
14:09,149,Ahmaad Rorie Turnover.,23,50
13:46,149,Foul on Jamar Akoh.,23,50
13:29,27,Dominick Pickett Turnover.,23,50
13:18,149,Timmy Falls Turnover.,23,50
13:13,27,Alec Hickman made Layup.,25,50
12:53,149,Jamar Akoh Turnover.,25,50
12:53,27,Ajani Kennedy Turnover.,25,50
12:46,149,Karl Nicholas Turnover.,25,50
12:33,27,Ajani Kennedy made Jumper.,27,50
12:23,149,Ahmaad Rorie made Jumper.,27,52
11:57,27,Ajani Kennedy missed Jumper.,27,52
11:57,27,Ajani Kennedy Offensive Rebound.,27,52
11:53,27,Alec Hickman missed Three Point Jumper.,27,52
11:53,149,Karl Nicholas Defensive Rebound.,27,52
11:43,149,Official TV Timeout,27,52
11:43,149,Sayeed Pridgett Turnover.,27,52
11:38,27,Eric Rwahwire missed Three Point Jumper.,27,52
11:38,149,Karl Nicholas Defensive Rebound.,27,52
11:21,27,Foul on Eric Rwahwire.,27,52
11:21,149,Karl Nicholas made Free Throw.,27,53
11:21,149,Karl Nicholas missed Free Throw.,27,53
11:21,27,Idy Diallo Defensive Rebound.,27,53
11:07,27,Eric Rwahwire Turnover.,27,53
11:04,149,Sayeed Pridgett Steal.,27,53
10:59,149,Timmy Falls missed Three Point Jumper.,27,53
10:59,149,Karl Nicholas Offensive Rebound.,27,53
10:39,149,Sayeed Pridgett missed Layup.,27,53
10:39,27,Idy Diallo Block.,27,53
10:35,27,Dikymbe Martin Defensive Rebound.,27,53
10:31,27,DJ Sylvester made Jumper.,29,53
10:31,149,Foul on Sayeed Pridgett.,29,53
10:31,27,DJ Sylvester made Free Throw.,30,53
10:09,27,Foul on Idy Diallo.,30,53
10:09,149,Karl Nicholas missed Free Throw.,30,53
10:09,149,Montana Deadball Team Rebound.,30,53
10:09,149,Karl Nicholas made Free Throw.,30,54
9:56,27,Alec Hickman missed Three Point Jumper.,30,54
9:56,149,Bobby Moorehead Defensive Rebound.,30,54
9:41,149,Fabijan Krslovic made Jumper.,30,56
9:17,27,DJ Sylvester made Jumper.,32,56
9:03,149,Jamar Akoh missed Jumper.,32,56
9:03,149,Michael Oguine Offensive Rebound.,32,56
8:56,149,Michael Oguine missed Layup.,32,56
8:56,149,Jamar Akoh Offensive Rebound.,32,56
8:51,149,Jamar Akoh made Layup.,32,58
8:47,27,Dikymbe Martin missed Three Point Jumper.,32,58
8:47,149,Ahmaad Rorie Defensive Rebound.,32,58
8:39,149,Ahmaad Rorie Turnover.,32,58
8:37,27,Dikymbe Martin Steal.,32,58
8:36,27,Dikymbe Martin Turnover.,32,58
8:13,149,Jamar Akoh made Jumper.,32,60
8:13,27,Foul on Brandon Rosser.,32,60
8:13,149,Jamar Akoh made Free Throw.,32,61
7:48,27,Alex Larsson made Jumper.,34,61
7:33,149,Ahmaad Rorie made Jumper.,34,63
7:25,149,Foul on Trever Spoja.,34,63
7:25,149,Official TV Timeout,34,63
7:25,27,DJ Sylvester made Free Throw.,35,63
7:25,27,DJ Sylvester made Free Throw.,36,63
7:07,149,Trever Spoja missed Three Point Jumper.,36,63
7:07,27,DJ Sylvester Defensive Rebound.,36,63
6:54,27,DJ Sylvester Turnover.,36,63
6:41,149,Bobby Moorehead missed Jumper.,36,63
6:41,149,Michael Oguine Offensive Rebound.,36,63
6:40,149,Michael Oguine missed Jumper.,36,63
6:40,149,Michael Oguine missed Free Throw.,36,63
6:40,27,UC Riverside Defensive Rebound.,36,63
6:40,149,Michael Oguine Offensive Rebound.,36,63
6:40,27,Foul on Alex Larsson.,36,63
6:40,149,Michael Oguine missed Free Throw.,36,63
6:40,27,DJ Sylvester Defensive Rebound.,36,63
6:34,27,DJ Sylvester made Three Point Jumper.,39,63
6:17,149,Michael Oguine Turnover.,39,63
6:17,149,Montana  Timeout,39,63
6:00,149,Foul on Michael Oguine.,39,63
6:00,27,Koh Flippin made Free Throw.,40,63
6:00,27,Koh Flippin made Free Throw.,41,63
6:00,27,Koh Flippin made Free Throw.,42,63
5:53,149,Lars Espe Turnover.,42,63
5:51,27,Koh Flippin Steal.,42,63
5:47,27,DJ Sylvester made Dunk. Assisted by Koh Flippin.,44,63
5:30,27,Foul on Chance Murray.,44,63
5:30,149,Ahmaad Rorie missed Free Throw.,44,63
5:30,149,Montana Deadball Team Rebound.,44,63
5:30,149,Ahmaad Rorie made Free Throw.,44,64
5:16,149,Foul on Lars Espe.,44,64
5:16,27,Koh Flippin missed Free Throw.,44,64
5:16,149,Jamar Akoh Defensive Rebound.,44,64
5:02,149,Timmy Falls Turnover.,44,64
5:02,27,Brandon Rosser Steal.,44,64
5:02,149,Foul on Timmy Falls.,44,64
5:02,27,Brandon Rosser made Free Throw.,45,64
5:02,27,Brandon Rosser made Free Throw.,46,64
4:50,149,Ahmaad Rorie missed Jumper.,46,64
4:50,27,Chance Murray Defensive Rebound.,46,64
4:44,27,Chance Murray Turnover.,46,64
4:43,149,Michael Oguine Steal.,46,64
4:31,149,Michael Oguine made Jumper.,46,66
4:31,27,Foul on Idy Diallo.,46,66
4:31,149,Michael Oguine made Free Throw.,46,67
4:25,27,Brandon Rosser made Jumper.,48,67
4:08,149,Jamar Akoh Turnover.,48,67
4:05,27,Ajani Kennedy Steal.,48,67
3:58,27,Koh Flippin missed Three Point Jumper.,48,67
3:58,149,Michael Oguine Block.,48,67
3:56,27,Koh Flippin Offensive Rebound.,48,67
3:47,27,Brandon Rosser made Three Point Jumper.,51,67
3:28,149,Michael Oguine made Layup.,51,69
2:55,149,Foul on Bobby Moorehead.,51,69
2:55,149,Official TV Timeout,51,69
2:55,27,DJ Sylvester made Free Throw.,52,69
2:55,27,DJ Sylvester made Free Throw.,53,69
2:55,27,DJ Sylvester made Free Throw.,54,69
2:34,149,Ahmaad Rorie made Jumper.,54,71
2:14,27,James Jackson made Three Point Jumper.,57,71
2:04,27,Foul on Brandon Rosser.,57,71
2:04,149,Jamar Akoh made Free Throw.,57,72
2:04,149,Jamar Akoh made Free Throw.,57,73
1:53,27,Koh Flippin made Three Point Jumper.,60,73
1:30,27,Foul on James Jackson.,60,73
1:30,149,Jamar Akoh made Free Throw.,60,74
1:30,149,Jamar Akoh made Free Throw.,60,75
1:19,27,Koh Flippin Turnover.,60,75
1:09,27,Foul on James Jackson.,60,75
1:09,149,Jamar Akoh made Free Throw.,60,76
1:09,149,Jamar Akoh made Free Throw.,60,77
0:43,149,Foul on Jamar Akoh.,60,77
0:43,27,DJ Sylvester made Free Throw.,61,77
0:43,27,DJ Sylvester missed Free Throw.,61,77
0:43,149,Bobby Moorehead Defensive Rebound.,61,77
0:27,149,Ahmaad Rorie Turnover.,61,77
0:17,27,Koh Flippin missed Three Point Jumper.,61,77
0:17,149,Bobby Moorehead Defensive Rebound.,61,77
0:00,149,End of Game,61,77
