Loyola Marymount,264,Washington,2351
8:36,2351,Foul on Zafir Williams.,55,56
8:36,264,Nahziah Carter made Free Throw.,55,57
8:21,2351,Steven Haney Turnover.,55,57
8:19,264,Nahziah Carter Steal.,55,57
8:16,264,Nahziah Carter missed Layup.,55,57
8:16,264,Jaylen Nowell Offensive Rebound.,55,57
8:09,264,Jaylen Nowell made Layup.,55,59
7:57,2351,Jeffery McClendon missed Three Point Jumper.,55,59
7:57,264,Hameir Wright Defensive Rebound.,55,59
7:28,264,Nahziah Carter missed Three Point Jumper.,55,59
7:28,264,Sam Timmins Offensive Rebound.,55,59
7:26,264,Sam Timmins made Layup.,55,61
7:06,2351,Cameron Allen made Free Throw.,56,61
7:06,264,Foul on Sam Timmins.,56,61
7:06,2351,Cameron Allen made Free Throw.,57,61
6:46,264,Nahziah Carter made Three Point Jumper. Assisted by Jaylen Nowell.,57,64
6:29,2351,James Batemon made Jumper.,59,64
6:13,264,Hameir Wright Turnover.,59,64
6:08,2351,Steven Haney made Three Point Jumper. Assisted by James Batemon.,62,64
5:48,264,David Crisp missed Jumper.,62,64
5:48,2351,Mattias Markusson Block.,62,64
5:46,2351,James Batemon Defensive Rebound.,62,64
5:40,2351,Steven Haney made Three Point Jumper. Assisted by Eli Scott.,65,64
5:39,264,Foul on Nahziah Carter.,65,64
5:39,2351,Steven Haney made Free Throw.,66,64
5:23,2351,Foul on Cameron Allen.,66,64
5:22,264,Jaylen Nowell missed Free Throw.,66,64
5:22,264,Washington Deadball Team Rebound.,66,64
5:22,264,Jaylen Nowell made Free Throw.,66,65
5:15,264,Foul on Sam Timmins.,66,65
5:15,2351,Steven Haney made Free Throw.,68,65
5:15,2351,Steven Haney made Free Throw.,67,65
4:48,264,Noah Dickerson made Jumper.,68,67
4:39,2351,Eli Scott made Layup. Assisted by Steven Haney.,70,67
4:07,264,Noah Dickerson missed Jumper.,70,67
4:07,2351,Steven Haney Defensive Rebound.,70,67
3:41,2351,James Batemon missed Jumper.,70,67
3:41,264,Matisse Thybulle Block.,70,67
3:38,264,Hameir Wright Defensive Rebound.,70,67
3:21,264,David Crisp missed Three Point Jumper.,70,67
3:21,264,Washington Deadball Team Rebound.,70,67
3:18,264,Official TV Timeout,70,67
3:18,264,Noah Dickerson made Free Throw.,70,68
3:18,264,Official TV Timeout,70,69
3:18,264,Noah Dickerson made Free Throw.,70,69
3:18,264,Official TV Timeout,70,69
3:14,2351,Foul on Mattias Markusson.,70,69
3:13,2351,James Batemon Turnover.,70,69
2:59,264,Matisse Thybulle missed Three Point Jumper.,70,69
2:59,264,Washington Deadball Team Rebound.,70,69
2:59,2351,Foul on Mikail Simmons.,70,69
2:59,264,Noah Dickerson made Free Throw.,70,70
2:59,264,Noah Dickerson missed Free Throw.,70,70
2:59,2351,Eli Scott Defensive Rebound.,70,70
2:41,2351,Eli Scott missed Jumper.,70,70
2:41,264,Hameir Wright Block.,70,70
2:39,264,Noah Dickerson Defensive Rebound.,70,70
2:24,264,David Crisp missed Three Point Jumper.,70,70
2:24,2351,Zafir Williams Defensive Rebound.,70,70
1:54,2351,Zafir Williams missed Jumper.,70,70
1:54,2351,Eli Scott Offensive Rebound.,70,70
1:51,2351,Eli Scott missed Jumper.,70,70
1:51,264,Noah Dickerson Defensive Rebound.,70,70
1:48,2351,Foul on James Batemon.,70,70
1:48,264,Noah Dickerson made Free Throw.,70,71
1:48,264,Noah Dickerson made Free Throw.,70,72
1:41,264,Foul on Noah Dickerson.,70,72
1:41,2351,Eli Scott made Free Throw.,71,72
1:41,2351,Eli Scott made Free Throw.,72,72
1:21,264,Noah Dickerson made Dunk. Assisted by Hameir Wright.,72,74
1:12,2351,Loyola Marymount  Timeout,72,74
1:00,2351,Zafir Williams missed Jumper.,72,74
1:00,264,Matisse Thybulle Block.,72,74
0:58,2351,Zafir Williams Offensive Rebound.,72,74
0:55,2351,Cameron Allen missed Three Point Jumper.,72,74
0:55,264,Matisse Thybulle Defensive Rebound.,72,74
0:33,264,Jaylen Nowell made Jumper.,72,76
0:32,264,Washington  Timeout,72,76
0:16,2351,Steven Haney missed Three Point Jumper.,72,76
0:16,264,Noah Dickerson Defensive Rebound.,72,76
0:13,2351,Foul on Zafir Williams.,72,76
0:12,264,Noah Dickerson made Free Throw.,72,77
0:12,264,Noah Dickerson made Free Throw.,72,78
0:07,2351,James Batemon made Jumper.,74,78
0:07,264,Foul on Jaylen Nowell.,74,78
0:07,2351,James Batemon made Free Throw.,75,78
0:07,2351,Loyola Marymount  Timeout,75,78
0:06,2351,Foul on Cameron Allen.,75,78
0:06,264,Noah Dickerson made Free Throw.,75,79
0:06,264,Noah Dickerson made Free Throw.,75,80
0:03,2351,Cameron Allen made Three Point Jumper. Assisted by James Batemon.,78,80
0:00,264,End of Game,78,80
