Milligan,Error,William &amp; Mary,2729
6:42,-1,Milligan Defensive Rebound.,23,41
6:41,2729,Foul on Cole Harrison.,23,41
6:41,2729,Official TV Timeout,23,41
6:31,2729,Foul on Cole Harrison.,23,41
6:31,-1,Aaron Levarity made Free Throw.,24,41
6:31,-1,Aaron Levarity made Free Throw.,25,41
6:21,2729,Connor Burchfield made Three Point Jumper. Assisted by David Cohn.,25,44
6:07,-1,David Casaday missed Three Point Jumper.,25,44
6:07,-1,Aaron Levarity Offensive Rebound.,25,44
5:51,-1,Trey Johnsen missed Layup.,25,44
5:51,2729,Nathan Knight Defensive Rebound.,25,44
5:36,2729,Nathan Knight made Layup. Assisted by Connor Burchfield.,25,46
5:14,2729,Foul on Justin Pierce.,25,46
5:14,-1,Daxton Bostian missed Free Throw.,25,46
5:14,-1,Milligan Deadball Team Rebound.,25,46
5:14,-1,Daxton Bostian made Free Throw.,26,46
5:14,-1,Daxton Bostian made Free Throw.,27,46
4:54,2729,Matt Milon missed Three Point Jumper.,27,46
4:54,-1,Will Robinson Defensive Rebound.,27,46
4:42,-1,Daxton Bostian made Three Point Jumper. Assisted by Tyler Faulkenberry.,30,46
4:19,2729,Nathan Knight made Layup.,30,48
3:55,2729,Foul on Paul Rowley.,30,48
3:55,2729,Official TV Timeout,30,48
3:46,-1,Daxton Bostian missed Three Point Jumper.,30,48
3:46,2729,Connor Burchfield Defensive Rebound.,30,48
3:29,2729,Paul Rowley missed Three Point Jumper.,30,48
3:29,2729,David Cohn Offensive Rebound.,30,48
3:24,2729,Connor Burchfield made Three Point Jumper. Assisted by David Cohn.,30,51
3:09,-1,Tyler Faulkenberry missed Three Point Jumper.,30,51
3:09,2729,Nathan Knight Defensive Rebound.,30,51
2:57,2729,Nathan Knight missed Three Point Jumper.,30,51
2:57,-1,Aaron Levarity Defensive Rebound.,30,51
2:31,-1,Aaron Levarity missed Layup.,30,51
2:31,2729,Nathan Knight Block.,30,51
2:30,2729,Paul Rowley Defensive Rebound.,30,51
2:23,-1,Foul on Tyler Faulkenberry.,30,51
2:23,2729,Paul Rowley missed Free Throw.,30,51
2:23,2729,William & Mary Deadball Team Rebound.,30,51
2:23,2729,Paul Rowley made Free Throw.,30,52
2:09,-1,Will Buckner made Layup. Assisted by Daxton Bostian.,32,52
1:52,2729,Matt Milon made Three Point Jumper. Assisted by Nathan Knight.,32,55
1:22,-1,Will Buckner missed Jumper.,32,55
1:22,2729,Connor Burchfield Defensive Rebound.,32,55
1:14,2729,Connor Burchfield Turnover.,32,55
1:04,-1,David Casaday made Jumper. Assisted by Bo Pless.,34,55
0:40,2729,Oliver Tot Turnover.,34,55
0:40,2729,Foul on Oliver Tot.,34,55
0:24,-1,David Casaday missed Three Point Jumper.,34,55
0:24,-1,Mike Featherston Offensive Rebound.,34,55
0:20,-1,Mike Featherston missed Layup.,34,55
0:20,2729,Nathan Knight Block.,34,55
0:19,-1,Mike Featherston Offensive Rebound.,34,55
0:13,-1,Daxton Bostian missed Three Point Jumper.,34,55
0:13,2729,Matt Milon Defensive Rebound.,34,55
0:01,-1,Foul on Bo Pless.,34,55
0:01,2729,Matt Milon made Free Throw.,34,56
0:01,2729,Matt Milon made Free Throw.,34,57
0:01,2729,Matt Milon made Free Throw.,34,58
0:00,2729,End of 1st half,34,58
19:40,-1,Will Robinson made Three Point Jumper. Assisted by Aaron Levarity.,37,58
19:22,2729,Justin Pierce made Layup. Assisted by Nathan Knight.,37,60
18:56,-1,Aaron Levarity Turnover.,37,60
18:56,2729,Matt Milon Steal.,37,60
18:37,2729,Justin Pierce Turnover.,37,60
18:37,-1,Daxton Bostian Steal.,37,60
18:34,2729,Foul on David Cohn.,37,60
18:26,-1,Bo Pless Turnover.,37,60
18:24,2729,Justin Pierce Steal.,37,60
18:22,2729,Justin Pierce made Dunk.,37,62
17:55,-1,Bo Pless made Three Point Jumper. Assisted by Daxton Bostian.,40,62
17:36,2729,Connor Burchfield made Three Point Jumper. Assisted by Nathan Knight.,40,65
17:10,-1,Bo Pless Turnover.,40,65
17:08,2729,Nathan Knight Steal.,40,65
17:06,2729,Nathan Knight made Dunk.,40,67
16:59,-1,David Casaday missed Three Point Jumper.,40,67
16:59,2729,Matt Milon Defensive Rebound.,40,67
16:51,2729,Justin Pierce made Layup. Assisted by David Cohn.,40,69
16:51,-1,Foul on David Casaday.,40,69
16:51,2729,Justin Pierce made Free Throw.,40,70
16:37,-1,Aaron Levarity missed Layup.,40,70
16:37,2729,Nathan Knight Block.,40,70
16:36,2729,Nathan Knight Defensive Rebound.,40,70
16:31,2729,David Cohn Turnover.,40,70
16:30,-1,Daxton Bostian Steal.,40,70
16:26,-1,Bo Pless missed Three Point Jumper.,40,70
16:26,-1,Aaron Levarity Offensive Rebound.,40,70
16:22,-1,Aaron Levarity missed Layup.,40,70
16:22,2729,Nathan Knight Defensive Rebound.,40,70
16:15,2729,Justin Pierce made Layup. Assisted by David Cohn.,40,72
15:52,2729,Foul on Justin Pierce.,40,72
15:52,2729,Official TV Timeout,40,72
15:52,-1,Will Robinson made Free Throw.,41,72
15:52,-1,Will Robinson missed Free Throw.,41,72
15:52,2729,Justin Pierce Defensive Rebound.,41,72
15:34,2729,Matt Milon made Three Point Jumper. Assisted by David Cohn.,41,75
15:11,-1,Will Robinson missed Three Point Jumper.,41,75
15:11,2729,Justin Pierce Defensive Rebound.,41,75
15:03,-1,Foul on Bo Pless.,41,75
14:51,2729,Cole Harrison made Layup. Assisted by Justin Pierce.,41,77
14:31,-1,Will Buckner missed Three Point Jumper.,41,77
14:31,2729,Justin Pierce Defensive Rebound.,41,77
14:20,2729,David Cohn missed Three Point Jumper.,41,77
14:20,-1,Daxton Bostian Defensive Rebound.,41,77
14:10,-1,Daxton Bostian missed Jumper.,41,77
14:10,2729,Connor Burchfield Defensive Rebound.,41,77
14:05,-1,Foul on David Casaday.,41,77
14:03,2729,Justin Pierce made Free Throw.,41,78
14:03,2729,Justin Pierce made Free Throw.,41,79
13:48,-1,Mike Featherston missed Jumper.,41,79
13:48,2729,William & Mary Defensive Rebound.,41,79
13:36,2729,Jihar Williams missed Three Point Jumper.,41,79
13:36,-1,Daxton Bostian Defensive Rebound.,41,79
13:17,-1,Will Buckner missed Jumper.,41,79
13:17,2729,Oliver Tot Defensive Rebound.,41,79
13:05,2729,Cole Harrison missed Jumper.,41,79
13:05,2729,Luke Loewe Offensive Rebound.,41,79
13:03,2729,Luke Loewe made Two Point Tip Shot.,41,81
12:50,-1,David Casaday made Layup.,43,81
12:24,2729,Jihar Williams missed Layup.,43,81
12:24,-1,Will Buckner Defensive Rebound.,43,81
12:11,-1,Tyler Faulkenberry missed Layup.,43,81
12:11,2729,Jihar Williams Block.,43,81
12:10,2729,Paul Rowley Defensive Rebound.,43,81
12:04,2729,Jihar Williams missed Three Point Jumper.,43,81
12:04,-1,Mike Featherston Defensive Rebound.,43,81
12:00,2729,Foul on Oliver Tot.,43,81
12:00,2729,Official TV Timeout,43,81
11:53,-1,David Casaday made Three Point Jumper.,46,81
11:41,-1,Foul on Josh Lamb.,46,81
11:36,2729,Jihar Williams made Three Point Jumper. Assisted by Luke Loewe.,46,84
11:24,-1,Will Buckner Turnover.,46,84
11:06,2729,Cole Harrison made Layup. Assisted by Paul Rowley.,46,86
10:56,-1,Desean Green made Layup.,48,86
10:36,-1,Foul on Desean Green.,48,86
10:36,2729,Cole Harrison made Free Throw.,48,87
10:36,2729,Cole Harrison made Free Throw.,48,88
10:28,2729,Foul on Luke Loewe.,48,88
10:22,-1,David Casaday Turnover.,48,88
10:21,2729,Jihar Williams Steal.,48,88
10:15,2729,Luke Loewe missed Three Point Jumper.,48,88
10:15,2729,Cole Harrison Offensive Rebound.,48,88
10:11,2729,Cole Harrison missed Layup.,48,88
10:11,-1,Tyler Faulkenberry Defensive Rebound.,48,88
10:06,-1,Tyler Faulkenberry missed Three Point Jumper.,48,88
10:06,2729,Luke Loewe Defensive Rebound.,48,88
9:56,2729,Luke Loewe made Three Point Jumper. Assisted by Paul Rowley.,48,91
9:46,-1,Desean Green made Layup.,50,91
9:44,-1,Milligan  Timeout,50,91
9:26,2729,Oliver Tot missed Three Point Jumper.,50,91
9:26,-1,Desean Green Defensive Rebound.,50,91
9:16,-1,Tyler Faulkenberry missed Three Point Jumper.,50,91
9:16,2729,Jihar Williams Defensive Rebound.,50,91
9:08,2729,Luke Loewe made Layup. Assisted by Oliver Tot.,50,93
8:52,-1,Tyler Faulkenberry made Three Point Jumper. Assisted by Will Buckner.,53,93
8:37,2729,Justin Pierce made Three Point Jumper. Assisted by Paul Rowley.,53,96
8:22,-1,Desean Green missed Layup.,53,96
8:22,2729,Luke Loewe Block.,53,96
8:20,2729,Justin Pierce Defensive Rebound.,53,96
8:14,2729,Justin Pierce missed Layup.,53,96
8:14,-1,Will Buckner Block.,53,96
8:13,-1,Will Buckner Defensive Rebound.,53,96
8:08,-1,Desean Green Turnover.,53,96
8:07,2729,Paul Rowley Steal.,53,96
8:02,2729,Justin Pierce made Layup. Assisted by Luke Loewe.,53,98
8:01,2729,William & Mary  Timeout,53,98
7:52,-1,Nathan Hastings missed Three Point Jumper.,53,98
7:52,2729,Justin Pierce Defensive Rebound.,53,98
7:48,2729,David Cohn Turnover.,53,98
7:35,2729,Foul on Justin Pierce.,53,98
7:29,-1,Tyler Faulkenberry made Jumper.,55,98
7:09,2729,Nathan Knight made Dunk. Assisted by David Cohn.,55,100
6:57,-1,Nathan Hastings made Jumper. Assisted by Desean Green.,57,100
6:40,2729,Nathan Knight made Three Point Jumper. Assisted by Justin Pierce.,57,103
6:20,-1,Nathan Hastings missed Jumper.,57,103
6:20,2729,Justin Pierce Defensive Rebound.,57,103
6:13,2729,Justin Pierce missed Three Point Jumper.,57,103
6:13,-1,Josh Lamb Defensive Rebound.,57,103
6:00,-1,Nathan Hastings made Free Throw.,58,103
6:00,2729,Foul on Nathan Knight.,58,103
6:00,-1,Nathan Hastings made Free Throw.,59,103
5:45,2729,Cole Harrison made Layup. Assisted by Luke Loewe.,59,105
5:35,-1,Trey Johnsen Turnover.,59,105
5:34,2729,Luke Loewe Steal.,59,105
5:32,-1,Foul on Desean Green.,59,105
5:32,2729,Luke Loewe made Free Throw.,59,106
5:32,2729,Luke Loewe made Free Throw.,59,107
5:20,2729,Foul on Luke Loewe.,59,107
5:20,-1,David Casaday missed Free Throw.,59,107
5:20,-1,Milligan Deadball Team Rebound.,59,107
5:20,-1,David Casaday missed Free Throw.,59,107
5:20,2729,Cole Harrison Defensive Rebound.,59,107
4:59,-1,Foul on Jacob Cawood.,59,107
4:59,2729,Oliver Tot made Free Throw.,59,108
4:59,2729,Oliver Tot made Free Throw.,59,109
4:48,-1,Jacob Cawood made Layup. Assisted by David Casaday.,61,109
4:34,2729,Cole Harrison made Layup. Assisted by Luke Loewe.,61,111
4:10,-1,Nathan Hastings missed Three Point Jumper.,61,111
4:10,2729,Oliver Tot Defensive Rebound.,61,111
4:08,-1,Foul on Jacob Cawood.,61,111
4:05,2729,Oliver Tot missed Free Throw.,61,111
4:05,-1,Nathan Hastings Defensive Rebound.,61,111
3:52,2729,Foul on Oliver Tot.,61,111
3:52,2729,Official TV Timeout,61,111
3:52,-1,Mike Featherston missed Free Throw.,61,111
3:52,2729,Amir Shafi Defensive Rebound.,61,111
3:49,2729,Amir Shafi Turnover.,61,111
3:48,-1,Mike Featherston Steal.,61,111
3:45,-1,Nathan Hastings missed Jumper.,61,111
3:45,2729,Luke Loewe Defensive Rebound.,61,111
3:35,2729,Jihar Williams made Three Point Jumper. Assisted by Tommy Papas.,61,114
3:23,2729,Foul on Amir Shafi.,61,114
3:23,-1,Nathan Hastings made Free Throw.,62,114
3:23,-1,Nathan Hastings made Free Throw.,63,114
3:10,2729,Omar Mostafa missed Layup.,63,114
3:10,-1,Mike Featherston Defensive Rebound.,63,114
3:02,-1,Tyler Faulkenberry missed Three Point Jumper.,63,114
3:02,2729,Luke Loewe Defensive Rebound.,63,114
2:59,-1,Foul on Josh Lamb.,63,114
2:59,2729,Luke Loewe made Free Throw.,63,115
2:59,2729,Luke Loewe made Free Throw.,63,116
2:50,-1,Josh Lamb made Jumper.,65,116
2:39,2729,Tommy Papas made Jumper.,65,118
2:19,-1,Jacob Cawood made Jumper. Assisted by Josh Lamb.,67,118
2:04,2729,Amir Shafi made Three Point Jumper. Assisted by Tommy Papas.,67,121
1:48,-1,Tyler Faulkenberry Turnover.,67,121
1:48,2729,Amir Shafi Steal.,67,121
1:44,2729,Amir Shafi missed Layup.,67,121
1:44,2729,Luke Loewe Offensive Rebound.,67,121
1:40,-1,Foul on Jacob Cawood.,67,121
1:40,2729,Luke Loewe made Free Throw.,67,122
1:40,2729,Luke Loewe made Free Throw.,67,123
1:16,-1,Jacob Cawood Turnover.,67,123
1:02,2729,Jihar Williams made Three Point Jumper.,67,126
0:44,-1,Trey Johnsen missed Jumper.,67,126
0:44,2729,Amir Shafi Defensive Rebound.,67,126
0:29,2729,Omar Mostafa Turnover.,67,126
0:28,-1,Trey Johnsen Steal.,67,126
0:25,-1,Josh Lamb made Layup. Assisted by Trey Johnsen.,69,126
0:00,2729,End of Game,69,126
