Siena,2803,Bryant,2561
10:19,2561,Nico Clareth missed Layup.,24,13
10:19,2561,Prince Oduro Offensive Rebound.,24,13
10:17,2561,Prince Oduro missed Layup.,24,13
10:17,2561,Nico Clareth Offensive Rebound.,24,13
10:14,2561,Nico Clareth made Layup.,26,13
10:04,2803,Ikenna Ndugba made Layup.,26,15
9:44,2803,Foul on Gus Riley.,26,15
9:44,2561,Prince Oduro missed Free Throw.,26,15
9:44,2561,Siena Deadball Team Rebound.,26,15
9:44,2561,Prince Oduro missed Free Throw.,26,15
9:44,2803,Ikenna Ndugba Defensive Rebound.,26,15
9:27,2803,Ikenna Ndugba made Three Point Jumper.,26,18
9:12,2561,Nico Clareth missed Dunk.,26,18
9:12,2561,Roman Penn Offensive Rebound.,26,18
9:09,2561,Ahsante Shivers Turnover.,26,18
9:09,2561,Foul on Ahsante Shivers.,26,18
8:55,2803,Sabastian Townes made Jumper.,26,20
8:26,2561,Khalil Richard made Jumper.,28,20
8:12,2561,Foul on Nico Clareth.,28,20
8:12,2803,Bosko Kostur made Free Throw.,28,21
8:12,2803,Bosko Kostur made Free Throw.,28,22
7:46,2561,Roman Penn made Layup.,30,22
7:22,2803,Hunter Ware missed Jumper.,30,22
7:22,2561,Evan Fisher Defensive Rebound.,30,22
7:21,2803,Foul on Bosko Kostur.,30,22
7:21,2803,Official TV Timeout,30,22
7:21,2561,Nico Clareth made Free Throw.,31,22
7:21,2561,Nico Clareth made Free Throw.,32,22
7:01,2803,Hunter Ware made Layup.,32,24
6:45,2561,Ahsante Shivers Turnover.,32,24
6:45,2803,Hunter Ware Steal.,32,24
6:45,2561,Foul on Evan Fisher.,32,24
6:45,2803,Hunter Ware made Free Throw.,32,25
6:45,2803,Hunter Ware made Free Throw.,32,26
6:26,2561,Christian Bentley Turnover.,32,26
6:05,2803,Bosko Kostur missed Layup.,32,26
6:05,2803,Brandon Carroll Offensive Rebound.,32,26
5:58,2561,Foul on Kadeem Smithen.,32,26
5:58,2803,Brandon Carroll missed Free Throw.,32,26
5:58,2803,Bryant Deadball Team Rebound.,32,26
5:58,2803,Brandon Carroll made Free Throw.,32,27
5:43,2561,Nico Clareth missed Three Point Jumper.,32,27
5:43,2561,Kadeem Smithen Offensive Rebound.,32,27
5:20,2803,Foul on Ikenna Ndugba.,32,27
5:20,2561,Roman Penn made Free Throw.,33,27
5:20,2561,Roman Penn missed Free Throw.,33,27
5:20,2803,Ikenna Ndugba Defensive Rebound.,33,27
5:02,2803,Brandon Carroll made Layup. Assisted by Ryan Layman.,33,29
4:47,2561,Sammy Friday missed Layup.,33,29
4:47,2803,Hunter Ware Defensive Rebound.,33,29
4:39,2803,Hunter Ware missed Layup.,33,29
4:39,2561,Kadeem Smithen Defensive Rebound.,33,29
4:34,2561,Jordan Horn made Layup. Assisted by Kadeem Smithen.,35,29
4:06,2803,Ikenna Ndugba missed Jumper.,35,29
4:06,2561,Kadeem Smithen Defensive Rebound.,35,29
3:59,2803,Foul on Hunter Ware.,35,29
3:59,2803,Official TV Timeout,35,29
3:59,2561,Roman Penn made Free Throw.,36,29
3:59,2561,Roman Penn made Free Throw.,37,29
3:59,2803,Taylor McHugh Turnover.,37,29
3:59,2561,Kadeem Smithen Steal.,37,29
3:56,2561,Jordan Horn Turnover.,37,29
3:39,2561,Foul on Roman Penn.,37,29
3:39,2803,Ikenna Ndugba made Free Throw.,37,30
3:39,2803,Ikenna Ndugba made Free Throw.,37,31
3:27,2561,Evan Fisher missed Jumper.,37,31
3:27,2803,Ryan Layman Defensive Rebound.,37,31
3:08,2803,Brandon Carroll missed Three Point Jumper.,37,31
3:08,2561,Evan Fisher Defensive Rebound.,37,31
2:58,2561,Nico Clareth missed Jumper.,37,31
2:58,2561,Kadeem Smithen Offensive Rebound.,37,31
2:56,2561,Kadeem Smithen made Layup.,39,31
2:46,2803,Bryant  Timeout,39,31
2:27,2803,Ikenna Ndugba missed Three Point Jumper.,39,31
2:27,2803,Bosko Kostur Offensive Rebound.,39,31
2:25,2561,Foul on Roman Penn.,39,31
2:25,2803,Bosko Kostur made Free Throw.,39,32
2:25,2803,Bosko Kostur made Free Throw.,39,33
2:12,2561,Khalil Richard Turnover.,39,33
1:55,2561,Foul on Kadeem Smithen.,39,33
1:55,2803,Hunter Ware missed Free Throw.,39,33
1:55,2803,Bryant Deadball Team Rebound.,39,33
1:55,2803,Hunter Ware made Free Throw.,39,34
1:25,2561,Jordan Horn made Three Point Jumper.,42,34
1:15,2803,Ikenna Ndugba missed Layup.,42,34
1:15,2561,Christian Bentley Defensive Rebound.,42,34
0:52,2561,Jordan Horn missed Three Point Jumper.,42,34
0:52,2561,Nico Clareth Offensive Rebound.,42,34
0:48,2803,Foul on Taylor McHugh.,42,34
0:48,2561,Jordan Horn made Free Throw.,43,34
0:48,2561,Jordan Horn made Free Throw.,44,34
0:34,2803,Sabastian Townes made Layup. Assisted by Hunter Ware.,44,36
0:02,2803,Foul on Hunter Ware.,44,36
0:02,2561,Christian Bentley made Free Throw.,45,36
0:02,2561,Christian Bentley made Free Throw.,46,36
0:02,2561,Siena  Timeout,46,36
0:00,2803,End of 1st half,46,36
19:59,2803,Ryan Layman Turnover.,46,36
19:57,2561,Roman Penn Steal.,46,36
19:49,2803,Foul on Taylor McHugh.,46,36
19:43,2561,Christian Bentley Turnover.,46,36
19:15,2803,Sabastian Townes missed Jumper.,46,36
19:15,2561,Ahsante Shivers Defensive Rebound.,46,36
18:46,2561,Christian Bentley missed Layup.,46,36
18:46,2803,Sabastian Townes Defensive Rebound.,46,36
18:36,2803,Taylor McHugh missed Layup.,46,36
18:36,2561,Sammy Friday Defensive Rebound.,46,36
18:34,2803,Foul on Taylor McHugh.,46,36
18:09,2561,Ahsante Shivers Turnover.,46,36
17:52,2561,Foul on Prince Oduro.,46,36
17:40,2803,Bosko Kostur made Jumper. Assisted by Hunter Ware.,46,38
17:25,2561,Roman Penn Turnover.,46,38
17:25,2561,Siena  Timeout,46,38
17:25,2803,Official TV Timeout,46,38
17:12,2803,Bosko Kostur missed Jumper.,46,38
17:12,2561,Roman Penn Defensive Rebound.,46,38
17:02,2561,Ahsante Shivers Turnover.,46,38
17:02,2561,Foul on Ahsante Shivers.,46,38
16:45,2803,Bosko Kostur Turnover.,46,38
16:43,2561,Jordan Horn Steal.,46,38
16:41,2803,Foul on Brandon Carroll.,46,38
16:40,2561,Jordan Horn made Three Point Jumper. Assisted by Evan Fisher.,49,38
16:28,2803,Hunter Ware missed Jumper.,49,38
16:28,2561,Roman Penn Defensive Rebound.,49,38
16:04,2561,Roman Penn made Three Point Jumper. Assisted by Evan Fisher.,52,38
15:59,2803,Bryant  Timeout,52,38
15:59,2803,Official TV Timeout,52,38
15:45,2803,Sabastian Townes missed Jumper.,52,38
15:45,2561,Nico Clareth Defensive Rebound.,52,38
15:36,2561,Jordan Horn missed Three Point Jumper.,52,38
15:36,2803,Hunter Ware Defensive Rebound.,52,38
15:23,2561,Foul on Nico Clareth.,52,38
15:23,2803,Taylor McHugh made Free Throw.,52,39
15:23,2803,Taylor McHugh missed Free Throw.,52,39
15:23,2561,Jordan Horn Defensive Rebound.,52,39
15:12,2803,Foul on Hunter Ware.,52,39
15:12,2561,Nico Clareth made Free Throw.,53,39
15:12,2561,Nico Clareth made Free Throw.,54,39
14:58,2803,Ikenna Ndugba missed Three Point Jumper.,54,39
14:58,2803,Taylor McHugh Offensive Rebound.,54,39
14:53,2803,Taylor McHugh missed Layup.,54,39
14:53,2561,Jordan Horn Block.,54,39
14:51,2561,Nico Clareth Defensive Rebound.,54,39
14:46,2561,Jordan Horn made Jumper.,56,39
14:28,2561,Foul on Nico Clareth.,56,39
14:12,2803,Bosko Kostur made Layup.,56,41
13:44,2561,Jordan Horn missed Three Point Jumper.,56,41
13:44,2561,Roman Penn Offensive Rebound.,56,41
13:24,2561,Khalil Richard made Three Point Jumper.,59,41
13:04,2803,Sabastian Townes made Layup.,59,43
12:59,2561,Roman Penn Turnover.,59,43
12:59,2803,Tanner Johnson made Three Point Jumper. Assisted by Taylor McHugh.,59,46
12:30,2561,Roman Penn missed Three Point Jumper.,59,46
12:30,2561,Evan Fisher Offensive Rebound.,59,46
12:26,2561,Evan Fisher made Layup.,61,46
12:16,2803,Tanner Johnson missed Three Point Jumper.,61,46
12:16,2561,Khalil Richard Defensive Rebound.,61,46
12:04,2561,Prince Oduro Turnover.,61,46
12:04,2561,Foul on Prince Oduro.,61,46
11:52,2803,Sabastian Townes made Layup.,61,48
11:25,2561,Evan Fisher missed Three Point Jumper.,61,48
11:25,2803,Brandon Carroll Defensive Rebound.,61,48
11:14,2803,Sabastian Townes Turnover.,61,48
11:14,2803,Foul on Sabastian Townes.,61,48
11:14,2803,Official TV Timeout,61,48
10:49,2561,Roman Penn missed Three Point Jumper.,61,48
10:49,2561,Evan Fisher Offensive Rebound.,61,48
10:42,2561,Khalil Richard missed Jumper.,61,48
10:42,2803,Brandon Carroll Defensive Rebound.,61,48
10:32,2803,Sabastian Townes missed Jumper.,61,48
10:32,2561,Evan Fisher Defensive Rebound.,61,48
10:01,2561,Khalil Richard missed Jumper.,61,48
10:01,2803,Brandon Carroll Defensive Rebound.,61,48
9:53,2803,Sabastian Townes made Layup. Assisted by Ikenna Ndugba.,61,50
9:52,2561,Foul on Nico Clareth.,61,50
9:52,2803,Sabastian Townes made Free Throw.,61,51
9:36,2561,Kadeem Smithen made Three Point Jumper.,64,51
9:00,2803,Brandon Carroll missed Three Point Jumper.,64,51
9:00,2561,Roman Penn Defensive Rebound.,64,51
8:54,2803,Foul on Ikenna Ndugba.,64,51
8:33,2803,Foul on Bosko Kostur.,64,51
8:33,2561,Prince Oduro missed Free Throw.,64,51
8:33,2561,Siena Deadball Team Rebound.,64,51
8:33,2561,Prince Oduro missed Free Throw.,64,51
8:33,2803,Ikenna Ndugba Defensive Rebound.,64,51
8:20,2561,Foul on Prince Oduro.,64,51
8:20,2803,Sabastian Townes made Free Throw.,64,52
8:20,2803,Sabastian Townes made Free Throw.,64,53
8:02,2561,Kadeem Smithen missed Jumper.,64,53
8:02,2561,Kadeem Smithen Offensive Rebound.,64,53
7:56,2561,Kadeem Smithen made Two Point Tip Shot.,66,53
7:45,2803,Bosko Kostur missed Jumper.,66,53
7:45,2561,Jordan Horn Defensive Rebound.,66,53
7:25,2561,Jordan Horn missed Three Point Jumper.,66,53
7:25,2803,Sabastian Townes Defensive Rebound.,66,53
7:13,2803,Official TV Timeout,66,53
7:12,2803,Ikenna Ndugba Turnover.,66,53
6:47,2561,Nico Clareth made Three Point Jumper. Assisted by Roman Penn.,69,53
6:21,2803,Ikenna Ndugba made Three Point Jumper.,69,56
6:01,2561,Khalil Richard made Jumper.,71,56
5:44,2803,Bryant  Timeout,71,56
5:34,2803,Ikenna Ndugba missed Jumper.,71,56
5:34,2561,Nico Clareth Defensive Rebound.,71,56
5:30,2803,Foul on Bosko Kostur.,71,56
5:30,2561,Nico Clareth made Free Throw.,72,56
5:30,2561,Nico Clareth made Free Throw.,73,56
5:19,2803,Tanner Johnson made Three Point Jumper. Assisted by Ikenna Ndugba.,73,59
4:44,2561,Roman Penn made Three Point Jumper. Assisted by Nico Clareth.,76,59
4:31,2803,Sabastian Townes made Layup. Assisted by Taylor McHugh.,76,61
4:27,2803,Bryant  Timeout,76,61
4:27,2803,Official TV Timeout,76,61
4:12,2561,Nico Clareth made Three Point Jumper.,79,61
3:53,2803,Ikenna Ndugba made Three Point Jumper. Assisted by Taylor McHugh.,79,64
3:26,2561,Nico Clareth missed Three Point Jumper.,79,64
3:26,2803,Taylor McHugh Defensive Rebound.,79,64
3:18,2803,Ikenna Ndugba missed Layup.,79,64
3:18,2561,Evan Fisher Defensive Rebound.,79,64
3:05,2561,Siena  Timeout,79,64
3:00,2803,Foul on Ikenna Ndugba.,79,64
3:00,2561,Roman Penn made Free Throw.,80,64
3:00,2561,Roman Penn made Free Throw.,81,64
2:49,2561,Foul on Nico Clareth.,81,64
2:49,2803,Sabastian Townes made Free Throw.,81,65
2:49,2803,Sabastian Townes made Free Throw.,81,66
2:45,2803,Foul on Ryan Layman.,81,66
2:45,2561,Ahsante Shivers made Free Throw.,82,66
2:45,2561,Ahsante Shivers made Free Throw.,83,66
2:34,2803,Ikenna Ndugba missed Three Point Jumper.,83,66
2:34,2803,Ikenna Ndugba Offensive Rebound.,83,66
2:28,2803,Ikenna Ndugba missed Three Point Jumper.,83,66
2:28,2561,Ahsante Shivers Defensive Rebound.,83,66
1:58,2561,Roman Penn made Jumper.,85,66
1:47,2803,Tanner Johnson missed Three Point Jumper.,85,66
1:47,2561,Roman Penn Defensive Rebound.,85,66
1:17,2561,Ahsante Shivers made Layup.,87,66
1:01,2803,Ikenna Ndugba missed Jumper.,87,66
1:01,2803,Tanner Johnson Offensive Rebound.,87,66
0:59,2803,Tanner Johnson made Layup.,87,68
0:31,2561,Ahsante Shivers missed Layup.,87,68
0:31,2803,Sabastian Townes Block.,87,68
0:31,2561,Siena Offensive Rebound.,87,68
0:30,2561,Khalil Richard missed Three Point Jumper.,87,68
0:30,2803,Ryan Layman Defensive Rebound.,87,68
0:16,2803,Tanner Johnson missed Layup.,87,68
0:16,2561,Evan Fisher Defensive Rebound.,87,68
0:00,2803,End of Game,87,68
