UC Riverside,2541,Santa Clara,27
8:12,2541,Jared Brownridge missed Jumper.,16,23
8:12,27,Malik Thames Defensive Rebound.,16,23
7:54,27,Dikymbe Martin missed Jumper.,16,23
7:54,2541,Jarvis Pugh Defensive Rebound.,16,23
7:45,2541,Matt Hauser missed Layup.,16,23
7:45,27,Menno Dijkstra Block.,16,23
7:43,27,Menno Dijkstra Defensive Rebound.,16,23
7:35,27,Dikymbe Martin missed Three Point Jumper.,16,23
7:35,2541,Kai Healy Defensive Rebound.,16,23
7:26,27,Foul on Dikymbe Martin.,16,23
7:26,2541,Official TV Timeout,16,23
7:23,27,Foul on Malik Thames.,16,23
7:22,2541,Matt Hauser made Free Throw.,16,24
7:22,2541,Matt Hauser missed Free Throw.,16,24
7:22,27,Secean Johnson Defensive Rebound.,16,24
7:13,27,Gentrey Thomas missed Layup.,16,24
7:13,2541,Matt Hauser Defensive Rebound.,16,24
7:00,2541,Matt Hauser made Three Point Jumper.,16,27
6:53,2541,Foul on Nate Kratch.,16,27
6:53,27,Secean Johnson made Free Throw.,17,27
6:53,27,Secean Johnson made Free Throw.,18,27
6:24,2541,Matt Hauser missed Three Point Jumper.,18,27
6:24,27,Secean Johnson Defensive Rebound.,18,27
6:02,27,Secean Johnson made Three Point Jumper. Assisted by Gentrey Thomas.,21,27
5:47,27,Foul on Chance Murray.,21,27
5:47,2541,Matt Hauser missed Free Throw.,21,27
5:47,27,Secean Johnson Defensive Rebound.,21,27
5:34,27,Secean Johnson missed Layup.,21,27
5:34,2541,Kai Healy Defensive Rebound.,21,27
5:27,2541,Kai Healy made Layup.,21,29
5:25,2541,Foul on Kai Healy.,21,29
5:25,27,Brandon Rosser made Free Throw.,22,29
5:23,27,Brandon Rosser made Free Throw.,23,29
4:51,27,Foul on Alex Larsson.,23,29
4:51,2541,Kai Healy made Free Throw.,23,30
4:51,2541,Kai Healy made Free Throw.,23,31
4:38,27,Gentrey Thomas made Three Point Jumper. Assisted by Secean Johnson.,26,31
4:14,2541,Matt Hauser missed Jumper.,26,31
4:14,2541,Matt Hauser Offensive Rebound.,26,31
4:11,27,Foul on Secean Johnson.,26,31
4:11,2541,Kai Healy made Free Throw.,26,32
4:11,2541,Kai Healy made Free Throw.,26,33
3:52,27,Brandon Rosser Turnover.,26,33
3:52,27,Foul on Brandon Rosser.,26,33
3:52,2541,Official TV Timeout,26,33
3:43,27,UC Riverside  Timeout,26,33
3:25,2541,Emmanuel Ndumanya made Dunk. Assisted by Matt Hauser.,26,35
2:59,27,Gentrey Thomas missed Layup.,26,35
2:59,2541,Kai Healy Defensive Rebound.,26,35
2:29,2541,Nate Kratch missed Jumper.,26,35
2:29,27,Chance Murray Defensive Rebound.,26,35
2:28,2541,Foul on Emmanuel Ndumanya.,26,35
2:28,27,Chance Murray made Free Throw.,27,35
2:28,27,Chance Murray made Free Throw.,28,35
2:05,2541,Henrik Jadersten made Layup. Assisted by Kai Healy.,28,37
1:51,27,Menno Dijkstra made Layup. Assisted by Chance Murray.,30,37
1:45,2541,Nate Kratch Turnover.,30,37
1:44,27,Dikymbe Martin Steal.,30,37
1:41,27,Dikymbe Martin missed Layup.,30,37
1:41,27,Malik Thames Offensive Rebound.,30,37
1:26,27,Menno Dijkstra made Layup. Assisted by Dikymbe Martin.,32,37
1:00,2541,Kai Healy missed Layup.,32,37
1:00,27,Chance Murray Defensive Rebound.,32,37
0:39,27,Malik Thames missed Three Point Jumper.,32,37
0:39,2541,Kai Healy Defensive Rebound.,32,37
0:05,2541,Santa Clara  Turnover.,32,37
0:02,27,Malik Thames missed Jumper.,32,37
0:02,2541,Henrik Jadersten Defensive Rebound.,32,37
0:00,2541,End of 1st half,32,37
19:47,27,Gentrey Thomas Turnover.,32,37
19:46,2541,Jared Brownridge Steal.,32,37
19:37,27,Foul on Menno Dijkstra.,32,37
19:32,2541,Henrik Jadersten missed Three Point Jumper.,32,37
19:32,27,Chance Murray Defensive Rebound.,32,37
19:23,27,Brandon Rosser missed Three Point Jumper.,32,37
19:23,2541,Nate Kratch Defensive Rebound.,32,37
19:09,2541,Nate Kratch missed Jumper.,32,37
19:09,27,Brandon Rosser Defensive Rebound.,32,37
18:55,2541,Foul on Matt Hauser.,32,37
18:50,2541,Foul on Henrik Jadersten.,32,37
18:50,27,Brandon Rosser made Free Throw.,33,37
18:50,27,Brandon Rosser made Free Throw.,34,37
18:36,2541,Jarvis Pugh missed Layup.,34,37
18:36,27,Brandon Rosser Block.,34,37
18:35,2541,Jarvis Pugh Offensive Rebound.,34,37
18:26,2541,Matt Hauser missed Jumper.,34,37
18:26,27,Menno Dijkstra Defensive Rebound.,34,37
18:12,27,Brandon Rosser missed Jumper.,34,37
18:12,2541,Jarvis Pugh Defensive Rebound.,34,37
18:04,2541,Nate Kratch made Layup. Assisted by Matt Hauser.,34,39
17:41,27,Chance Murray missed Jumper.,34,39
17:41,2541,Nate Kratch Defensive Rebound.,34,39
17:18,2541,Matt Hauser Turnover.,34,39
17:11,27,Gentrey Thomas missed Three Point Jumper.,34,39
17:11,2541,Kai Healy Defensive Rebound.,34,39
17:01,2541,Matt Hauser missed Jumper.,34,39
17:01,27,Alex Larsson Defensive Rebound.,34,39
16:46,27,Secean Johnson made Jumper.,36,39
16:30,2541,Jarvis Pugh made Layup. Assisted by Matt Hauser.,36,41
16:30,27,Foul on Secean Johnson.,36,41
16:30,2541,Jarvis Pugh made Free Throw.,36,42
16:13,2541,Foul on Jared Brownridge.,36,42
16:11,27,Chance Murray missed Layup.,36,42
16:11,27,UC Riverside Offensive Rebound.,36,42
16:03,27,Alex Larsson missed Layup.,36,42
16:03,2541,Jarvis Pugh Defensive Rebound.,36,42
16:03,27,Foul on Alex Larsson.,36,42
15:38,2541,Jared Brownridge Turnover.,36,42
15:37,27,Malik Thames Steal.,36,42
15:30,27,Alex Larsson missed Layup.,36,42
15:30,2541,Kai Healy Defensive Rebound.,36,42
15:21,2541,Nate Kratch made Three Point Jumper. Assisted by Jarvis Pugh.,36,45
15:03,27,Dikymbe Martin missed Jumper.,36,45
15:03,2541,Jared Brownridge Defensive Rebound.,36,45
14:54,2541,Nate Kratch missed Three Point Jumper.,36,45
14:54,27,Brandon Rosser Defensive Rebound.,36,45
14:45,27,Chance Murray missed Jumper.,36,45
14:45,2541,Kai Healy Defensive Rebound.,36,45
14:39,27,Foul on Malik Thames.,36,45
14:39,2541,Official TV Timeout,36,45
14:20,2541,Jared Brownridge missed Three Point Jumper.,36,45
14:20,27,Brandon Rosser Defensive Rebound.,36,45
14:04,2541,Foul on Jarvis Pugh.,36,45
13:49,27,Malik Thames Turnover.,36,45
13:48,2541,Matt Hauser Steal.,36,45
13:38,2541,Matt Hauser missed Jumper.,36,45
13:38,2541,Emmanuel Ndumanya Offensive Rebound.,36,45
13:37,27,Foul on Menno Dijkstra.,36,45
13:35,2541,Jared Brownridge made Layup. Assisted by Matt Hauser.,36,47
13:16,27,Gentrey Thomas missed Three Point Jumper.,36,47
13:16,2541,Kai Healy Defensive Rebound.,36,47
13:00,2541,Kai Healy made Layup.,36,49
12:57,27,UC Riverside  Timeout,36,49
12:57,2541,Official TV Timeout,36,49
12:38,27,Secean Johnson missed Jumper.,36,49
12:38,2541,Emmanuel Ndumanya Block.,36,49
12:36,27,Secean Johnson Offensive Rebound.,36,49
12:35,27,Chance Murray Turnover.,36,49
12:15,2541,Matt Hauser made Jumper. Assisted by Kai Healy.,36,51
11:54,27,Gentrey Thomas made Layup. Assisted by Malik Thames.,38,51
11:47,2541,Jared Brownridge missed Layup.,38,51
11:47,27,Gentrey Thomas Defensive Rebound.,38,51
11:38,27,Secean Johnson made Three Point Jumper. Assisted by Malik Thames.,41,51
11:02,2541,Nate Kratch made Three Point Jumper. Assisted by Jared Brownridge.,41,54
10:56,2541,Official TV Timeout,41,54
10:43,27,Brandon Rosser Turnover.,41,54
10:41,2541,Jarvis Pugh Steal.,41,54
10:17,2541,Nate Kratch made Layup. Assisted by Jarvis Pugh.,41,56
10:17,27,Foul on Brandon Rosser.,41,56
10:17,2541,Nate Kratch made Free Throw.,41,57
9:55,2541,Foul on Kai Healy.,41,57
9:48,27,Eric Rwahwire made Three Point Jumper. Assisted by Chance Murray.,44,57
9:16,2541,Nate Kratch missed Layup.,44,57
9:16,2541,Emmanuel Ndumanya Offensive Rebound.,44,57
8:58,2541,Matt Hauser made Jumper. Assisted by Kai Healy.,44,59
8:27,27,Eric Rwahwire missed Jumper.,44,59
8:27,27,UC Riverside Offensive Rebound.,44,59
8:16,27,Gentrey Thomas Turnover.,44,59
8:15,2541,Jarvis Pugh Steal.,44,59
8:14,27,Foul on Chance Murray.,44,59
8:13,2541,Kai Healy made Free Throw.,44,60
8:13,2541,Kai Healy made Free Throw.,44,61
8:00,27,Alex Larsson made Layup. Assisted by Malik Thames.,46,61
7:48,2541,Jared Brownridge missed Layup.,46,61
7:48,2541,Henrik Jadersten Offensive Rebound.,46,61
7:45,2541,Henrik Jadersten made Two Point Tip Shot.,46,63
7:27,27,Gentrey Thomas missed Three Point Jumper.,46,63
7:27,2541,Kai Healy Defensive Rebound.,46,63
7:01,2541,Henrik Jadersten made Jumper. Assisted by Kai Healy.,46,65
7:01,27,Foul on Malik Thames.,46,65
7:01,2541,Official TV Timeout,46,65
7:01,2541,Henrik Jadersten made Free Throw.,46,66
6:48,27,Eric Rwahwire Turnover.,46,66
6:47,2541,Nate Kratch Steal.,46,66
6:39,27,Foul on Alex Larsson.,46,66
6:39,2541,Henrik Jadersten missed Free Throw.,46,66
6:39,27,Menno Dijkstra Defensive Rebound.,46,66
6:34,27,Secean Johnson missed Three Point Jumper.,46,66
6:34,2541,Henrik Jadersten Defensive Rebound.,46,66
6:18,2541,Matt Hauser made Three Point Jumper.,46,69
5:48,2541,Foul on Nate Kratch.,46,69
5:42,27,Menno Dijkstra missed Layup.,46,69
5:42,2541,Jared Brownridge Defensive Rebound.,46,69
5:31,27,Foul on Secean Johnson.,46,69
5:31,2541,Jared Brownridge made Free Throw.,46,70
5:31,2541,Jared Brownridge made Free Throw.,46,71
5:09,27,Dikymbe Martin Turnover.,46,71
5:08,2541,Emmanuel Ndumanya Steal.,46,71
4:52,27,Foul on Dikymbe Martin.,46,71
4:52,2541,Matt Hauser made Free Throw.,46,72
4:52,2541,Matt Hauser made Free Throw.,46,73
4:33,27,Gentrey Thomas missed Jumper.,46,73
4:33,2541,Emmanuel Ndumanya Defensive Rebound.,46,73
4:19,2541,Jared Brownridge missed Three Point Jumper.,46,73
4:19,2541,Emmanuel Ndumanya Offensive Rebound.,46,73
4:13,2541,Jared Brownridge Turnover.,46,73
4:12,27,Chance Murray Steal.,46,73
4:04,27,Gentrey Thomas missed Layup.,46,73
4:04,2541,Matt Hauser Defensive Rebound.,46,73
4:02,2541,Emmanuel Ndumanya Turnover.,46,73
4:02,2541,Foul on Emmanuel Ndumanya.,46,73
3:53,27,Malik Thames missed Three Point Jumper.,46,73
3:53,27,UC Riverside Offensive Rebound.,46,73
3:50,2541,Official TV Timeout,46,73
3:42,27,James Jackson made Jumper.,48,73
3:12,2541,Matt Hauser Turnover.,48,73
2:58,27,James Jackson missed Layup.,48,73
2:58,2541,Emmanuel Ndumanya Defensive Rebound.,48,73
2:45,2541,Jared Brownridge missed Three Point Jumper.,48,73
2:45,2541,Nate Kratch Offensive Rebound.,48,73
2:20,2541,Nate Kratch made Jumper. Assisted by Matt Hauser.,48,75
2:04,27,Dikymbe Martin missed Jumper.,48,75
2:04,2541,Emmanuel Ndumanya Defensive Rebound.,48,75
1:32,2541,Kai Healy missed Three Point Jumper.,48,75
1:32,27,Dikymbe Martin Defensive Rebound.,48,75
1:23,27,Malik Thames made Jumper. Assisted by Dikymbe Martin.,50,75
1:08,2541,Santa Clara  Timeout,50,75
0:49,2541,Evan Crawford missed Layup.,50,75
0:49,2541,Matt Hubbard Offensive Rebound.,50,75
0:46,27,Foul on James Jackson.,50,75
0:46,2541,Matt Hubbard made Free Throw.,50,76
0:46,2541,Matt Hubbard made Free Throw.,50,77
0:34,27,James Jackson missed Three Point Jumper.,50,77
0:34,27,Brandon Rosser Offensive Rebound.,50,77
0:17,27,Koh Flippin made Three Point Jumper. Assisted by James Jackson.,53,77
0:00,2541,End of Game,53,77
