New Hope Christian College,Error,Portland State,2502
15:28,-1,Phillip Cook Defensive Rebound.,8,12
15:17,-1,Steven Shares made Jumper.,10,12
15:04,2502,Zach Gengler made Layup. Assisted by Bryce Canda.,10,14
14:49,-1,Phillip Cook made Jumper. Assisted by Isiah Large.,12,14
14:41,2502,De'Sean Parsons made Jumper.,12,16
14:26,2502,Foul on Zach Gengler.,12,16
14:18,-1,Isiah Large made Three Point Jumper. Assisted by Kainoa Petersen.,15,16
14:03,2502,Calaen Robinson missed Three Point Jumper.,15,16
14:03,-1,Kainoa Petersen Defensive Rebound.,15,16
13:51,-1,Steven Shares made Jumper.,17,16
13:26,2502,Traylin Farris Turnover.,17,16
13:07,2502,Foul on Montie Leunen.,17,16
13:07,-1,Steven Shares missed Free Throw.,17,16
13:07,-1,New Hope Christian College Deadball Team Rebound.,17,16
13:07,-1,Steven Shares made Free Throw.,18,16
13:01,2502,Montie Leunen Turnover.,18,16
12:58,-1,Steven Shares Steal.,18,16
12:54,-1,Steven Shares missed Jumper.,18,16
12:54,2502,Montie Leunen Defensive Rebound.,18,16
12:44,2502,Deontae North Turnover.,18,16
12:42,-1,Isiah Large Steal.,18,16
12:39,-1,Isiah Large made Layup.,20,16
12:22,2502,Brandon Hollins missed Dunk.,20,16
12:22,2502,Deontae North Offensive Rebound.,20,16
12:11,-1,Foul on Isiah Large.,20,16
12:11,2502,Deontae North made Free Throw.,20,17
12:11,2502,Deontae North made Free Throw.,20,18
11:53,-1,Andrew Vela missed Three Point Jumper.,20,18
11:53,2502,Khari Holloway Defensive Rebound.,20,18
11:45,2502,Khari Holloway Turnover.,20,18
11:43,-1,Josiah Lynch Steal.,20,18
11:37,-1,Jaylen Rose missed Three Point Jumper.,20,18
11:37,2502,Deontae North Defensive Rebound.,20,18
11:25,2502,Montie Leunen missed Three Point Jumper.,20,18
11:25,-1,New Hope Christian College Defensive Rebound.,20,18
11:20,2502,Official TV Timeout,20,18
11:07,-1,Phillip Cook missed Jumper.,20,18
11:07,2502,Brandon Hollins Block.,20,18
11:06,-1,Phillip Cook Offensive Rebound.,20,18
11:05,-1,Phillip Cook made Jumper.,22,18
11:05,2502,Foul on Brandon Hollins.,22,18
11:05,-1,Phillip Cook made Free Throw.,23,18
10:49,2502,Calaen Robinson made Layup.,23,20
10:40,-1,Phillip Cook Turnover.,23,20
10:38,2502,Calaen Robinson Steal.,23,20
10:34,2502,Calaen Robinson missed Three Point Jumper.,23,20
10:34,-1,Phillip Cook Defensive Rebound.,23,20
10:25,-1,Phillip Cook missed Three Point Jumper.,23,20
10:25,2502,Deontae North Defensive Rebound.,23,20
10:18,2502,Deontae North missed Three Point Jumper.,23,20
10:18,-1,Andrew Vela Defensive Rebound.,23,20
10:09,-1,Andrew Vela missed Layup.,23,20
10:09,2502,Montie Leunen Defensive Rebound.,23,20
9:56,2502,Deontae North made Jumper.,23,22
9:38,-1,Jaylen Rose made Three Point Jumper. Assisted by Steven Shares.,26,22
9:19,2502,Khari Holloway made Three Point Jumper.,26,25
9:00,-1,Jaylen Rose Turnover.,26,25
8:58,2502,Calaen Robinson Steal.,26,25
8:56,2502,Deontae North made Layup. Assisted by Calaen Robinson.,26,27
8:45,-1,Steven Shares made Three Point Jumper.,29,27
8:33,2502,Brandon Hollins made Layup. Assisted by Calaen Robinson.,29,29
8:21,-1,Steven Shares missed Layup.,29,29
8:21,2502,Montie Leunen Defensive Rebound.,29,29
8:10,2502,Montie Leunen missed Three Point Jumper.,29,29
8:10,2502,Khari Holloway Offensive Rebound.,29,29
8:00,2502,Deontae North missed Three Point Jumper.,29,29
8:00,2502,Montie Leunen Offensive Rebound.,29,29
7:56,-1,Foul on Steven Shares.,29,29
7:56,2502,Official TV Timeout,29,29
7:56,2502,Zach Gengler missed Jumper.,29,29
7:56,2502,Deontae North Offensive Rebound.,29,29
7:52,2502,Deontae North missed Jumper.,29,29
7:51,2502,Brandon Hollins Offensive Rebound.,29,29
7:46,-1,Foul on Phillip Cook.,29,29
7:46,2502,Brandon Hollins missed Free Throw.,29,29
7:46,2502,Portland St Deadball Team Rebound.,29,29
7:46,2502,Brandon Hollins made Free Throw.,29,30
7:32,-1,Isiah Large missed Three Point Jumper.,29,30
7:32,2502,De'Sean Parsons Defensive Rebound.,29,30
7:23,2502,Bryce Canda missed Three Point Jumper.,29,30
7:23,2502,Deontae North Offensive Rebound.,29,30
7:19,2502,Deontae North missed Jumper.,29,30
7:19,-1,Phillip Cook Defensive Rebound.,29,30
7:10,-1,Phillip Cook missed Layup.,29,30
7:10,-1,Phillip Cook Offensive Rebound.,29,30
6:50,-1,Kainoa Petersen Turnover.,29,30
6:48,2502,Bryce Canda Steal.,29,30
6:47,2502,Bryce Canda Turnover.,29,30
6:45,-1,Jaylen Rose Steal.,29,30
6:43,-1,Kainoa Petersen made Layup. Assisted by Jaylen Rose.,31,30
6:33,2502,Brandon Hollins made Dunk. Assisted by Zach Gengler.,31,32
6:16,-1,Jaylen Rose Turnover.,31,32
6:14,2502,Deontae North Steal.,31,32
6:12,2502,Deontae North made Layup.,31,34
5:52,-1,Isiah Large made Layup.,33,34
5:25,2502,De'Sean Parsons missed Jumper.,33,34
5:25,-1,Phillip Cook Defensive Rebound.,33,34
5:13,-1,Jaylen Rose made Three Point Jumper. Assisted by Phillip Cook.,36,34
4:51,2502,Deontae North missed Three Point Jumper.,36,34
4:51,2502,Deontae North Offensive Rebound.,36,34
4:48,-1,Foul on Kainoa Petersen.,36,34
4:32,-1,Foul on Phillip Cook.,36,34
4:32,2502,Traylin Farris made Free Throw.,36,35
4:32,2502,Traylin Farris made Free Throw.,36,36
4:21,-1,Kainoa Petersen missed Jumper.,36,36
4:21,2502,Traylin Farris Block.,36,36
4:19,-1,Kainoa Petersen Offensive Rebound.,36,36
4:19,2502,Foul on Michael Mayhew.,36,36
4:19,-1,Kainoa Petersen made Free Throw.,37,36
4:19,-1,Kainoa Petersen made Free Throw.,38,36
4:11,2502,Calaen Robinson made Jumper.,38,38
3:42,-1,Sasha Lomakin Turnover.,38,38
3:41,2502,Calaen Robinson Steal.,38,38
3:39,2502,Michael Mayhew missed Jumper.,38,38
3:39,-1,Josiah Lynch Block.,38,38
3:39,2502,Portland St Offensive Rebound.,38,38
3:39,2502,Official TV Timeout,38,38
3:39,2502,Traylin Farris made Dunk.,38,40
3:27,-1,Josiah Lynch made Three Point Jumper. Assisted by Steven Shares.,41,40
3:14,2502,Traylin Farris made Jumper. Assisted by Calaen Robinson.,41,42
2:54,-1,Steven Shares Turnover.,41,42
2:52,2502,Calaen Robinson Steal.,41,42
2:41,2502,Calaen Robinson missed Three Point Jumper.,41,42
2:41,2502,Traylin Farris Offensive Rebound.,41,42
2:36,2502,Michael Mayhew made Three Point Jumper. Assisted by Traylin Farris.,41,45
2:20,-1,Isiah Large made Three Point Jumper.,44,45
2:05,2502,Calaen Robinson missed Three Point Jumper.,44,45
2:05,2502,De'Sean Parsons Offensive Rebound.,44,45
2:01,2502,De'Sean Parsons made Layup.,44,47
1:52,-1,Josiah Lynch made Jumper. Assisted by Steven Shares.,46,47
1:37,2502,Traylin Farris made Jumper. Assisted by Calaen Robinson.,46,49
1:16,-1,Kainoa Petersen made Three Point Jumper. Assisted by Isiah Large.,49,49
0:50,2502,Calaen Robinson made Three Point Jumper.,49,52
0:30,-1,Kainoa Petersen made Three Point Jumper. Assisted by Steven Shares.,52,52
0:02,2502,De'Sean Parsons missed Jumper.,52,52
0:02,2502,Traylin Farris Offensive Rebound.,52,52
0:00,2502,End of 1st half,52,52
19:45,-1,Phillip Cook missed Jumper.,52,52
19:45,2502,Traylin Farris Defensive Rebound.,52,52
19:37,-1,Foul on Sasha Lomakin.,52,52
19:37,2502,De'Sean Parsons missed Free Throw.,52,52
19:37,2502,Portland St Deadball Team Rebound.,52,52
19:37,2502,De'Sean Parsons missed Free Throw.,52,52
19:37,-1,Kainoa Petersen Defensive Rebound.,52,52
19:23,-1,Sasha Lomakin missed Three Point Jumper.,52,52
19:23,2502,Traylin Farris Defensive Rebound.,52,52
19:17,2502,De'Sean Parsons made Layup. Assisted by Bryce Canda.,52,54
19:04,-1,Steven Shares made Jumper.,54,54
18:46,2502,Bryce Canda made Layup.,54,56
18:26,-1,Isiah Large missed Jumper.,54,56
18:26,-1,Phillip Cook Offensive Rebound.,54,56
18:20,-1,Phillip Cook Turnover.,54,56
18:19,2502,Traylin Farris Steal.,54,56
18:17,-1,Foul on Steven Shares.,54,56
18:17,2502,De'Sean Parsons made Free Throw.,54,57
18:17,2502,De'Sean Parsons made Free Throw.,54,58
17:53,-1,Kainoa Petersen made Layup. Assisted by Steven Shares.,56,58
17:46,2502,De'Sean Parsons missed Layup.,56,58
17:46,-1,Kainoa Petersen Block.,56,58
17:46,2502,Portland St Offensive Rebound.,56,58
17:45,-1,Foul on Kainoa Petersen.,56,58
17:30,2502,Bryce Canda missed Jumper.,56,58
17:30,-1,Steven Shares Defensive Rebound.,56,58
17:20,-1,Isiah Large missed Layup.,56,58
17:20,2502,Bryce Canda Defensive Rebound.,56,58
17:14,2502,Bryce Canda Turnover.,56,58
17:03,-1,Steven Shares made Jumper. Assisted by Phillip Cook.,58,58
16:38,2502,Traylin Farris made Layup.,58,60
16:21,2502,Foul on Traylin Farris.,58,60
16:21,-1,Josiah Lynch made Free Throw.,59,60
16:21,-1,Josiah Lynch made Free Throw.,60,60
16:10,2502,De'Sean Parsons made Layup.,60,62
15:54,-1,Isiah Large made Jumper.,62,62
15:40,2502,Traylin Farris missed Jumper.,62,62
15:40,2502,De'Sean Parsons Offensive Rebound.,62,62
15:34,2502,De'Sean Parsons made Jumper.,62,64
15:27,2502,Foul on Traylin Farris.,62,64
15:27,2502,Official TV Timeout,62,64
15:15,-1,Josiah Lynch made Three Point Jumper. Assisted by Steven Shares.,65,64
14:55,2502,Calaen Robinson missed Three Point Jumper.,65,64
14:55,2502,Portland St Offensive Rebound.,65,64
14:50,-1,Foul on Steven Shares.,65,64
14:50,2502,Traylin Farris missed Free Throw.,65,64
14:50,2502,Portland St Deadball Team Rebound.,65,64
14:50,2502,Traylin Farris missed Free Throw.,65,64
14:50,2502,Khari Holloway Offensive Rebound.,65,64
14:47,2502,Calaen Robinson missed Three Point Jumper.,65,64
14:47,-1,Sasha Lomakin Defensive Rebound.,65,64
14:39,-1,Jaylen Rose missed Three Point Jumper.,65,64
14:39,2502,De'Sean Parsons Defensive Rebound.,65,64
14:31,2502,Khari Holloway made Layup. Assisted by Calaen Robinson.,65,66
14:14,-1,Steven Shares Turnover.,65,66
14:13,2502,Deontae North Steal.,65,66
13:59,2502,Traylin Farris made Jumper. Assisted by Khari Holloway.,65,68
13:43,-1,Steven Shares missed Three Point Jumper.,65,68
13:43,2502,Traylin Farris Defensive Rebound.,65,68
13:27,2502,De'Sean Parsons missed Jumper.,65,68
13:27,-1,Isiah Large Defensive Rebound.,65,68
13:16,-1,Isiah Large missed Three Point Jumper.,65,68
13:16,2502,Traylin Farris Defensive Rebound.,65,68
13:00,2502,Calaen Robinson missed Layup.,65,68
13:00,-1,Andrew Vela Defensive Rebound.,65,68
12:47,-1,Steven Shares missed Jumper.,65,68
12:47,2502,De'Sean Parsons Defensive Rebound.,65,68
12:38,2502,Khari Holloway missed Three Point Jumper.,65,68
12:38,2502,Traylin Farris Offensive Rebound.,65,68
12:34,2502,Traylin Farris made Jumper.,65,70
12:14,-1,Jaylen Rose made Layup. Assisted by Steven Shares.,67,70
12:12,-1,New Hope Christian College  Timeout,67,70
11:59,2502,Traylin Farris made Jumper. Assisted by Montie Leunen.,67,72
11:48,-1,Sasha Lomakin missed Three Point Jumper.,67,72
11:48,2502,Khari Holloway Defensive Rebound.,67,72
11:36,2502,Traylin Farris made Jumper. Assisted by Calaen Robinson.,67,74
11:16,-1,Kainoa Petersen missed Three Point Jumper.,67,74
11:16,2502,Deontae North Defensive Rebound.,67,74
11:08,2502,Calaen Robinson missed Jumper.,67,74
11:08,-1,Jaylen Rose Defensive Rebound.,67,74
11:00,-1,Isiah Large made Layup.,69,74
10:46,2502,Traylin Farris made Jumper. Assisted by Calaen Robinson.,69,76
10:18,-1,Steven Shares missed Jumper.,69,76
10:18,2502,Montie Leunen Block.,69,76
10:14,2502,Traylin Farris Defensive Rebound.,69,76
10:09,2502,Calaen Robinson made Layup. Assisted by Traylin Farris.,69,78
9:54,-1,Jaylen Rose missed Three Point Jumper.,69,78
9:54,2502,Traylin Farris Defensive Rebound.,69,78
9:45,2502,Traylin Farris made Layup. Assisted by Deontae North.,69,80
9:43,-1,New Hope Christian College  Timeout,69,80
9:43,2502,Official TV Timeout,69,80
9:31,-1,Kainoa Petersen made Jumper. Assisted by Steven Shares.,71,80
9:04,2502,Deontae North made Jumper.,71,82
8:50,-1,Steven Shares Turnover.,71,82
8:48,2502,Brandon Hollins Steal.,71,82
8:44,2502,Deontae North missed Three Point Jumper.,71,82
8:44,2502,Brandon Hollins Offensive Rebound.,71,82
8:40,2502,Brandon Hollins made Jumper.,71,84
8:34,-1,Steven Shares missed Three Point Jumper.,71,84
8:34,2502,Brandon Hollins Defensive Rebound.,71,84
8:12,2502,Montie Leunen missed Jumper.,71,84
8:12,2502,Brandon Hollins Offensive Rebound.,71,84
8:09,2502,Brandon Hollins made Jumper.,71,86
7:59,-1,Kainoa Petersen missed Three Point Jumper.,71,86
7:59,-1,Kainoa Petersen Offensive Rebound.,71,86
7:50,-1,Kainoa Petersen Turnover.,71,86
7:50,-1,Foul on Kainoa Petersen.,71,86
7:50,2502,Official TV Timeout,71,86
7:25,2502,Deontae North made Jumper.,71,88
6:59,-1,Jaylen Rose Turnover.,71,88
6:58,2502,Brandon Hollins Steal.,71,88
6:56,2502,Deontae North made Layup. Assisted by Brandon Hollins.,71,90
6:40,-1,Josiah Lynch Turnover.,71,90
6:39,2502,Calaen Robinson Steal.,71,90
6:36,2502,Calaen Robinson made Layup.,71,92
6:15,-1,Steven Shares made Three Point Jumper.,74,92
5:53,2502,Deontae North Turnover.,74,92
5:52,-1,Steven Shares Steal.,74,92
5:48,-1,Steven Shares missed Jumper.,74,92
5:48,2502,Khari Holloway Defensive Rebound.,74,92
5:26,2502,Brandon Hollins made Jumper. Assisted by Calaen Robinson.,74,94
5:07,-1,Steven Shares made Three Point Jumper. Assisted by Sasha Lomakin.,77,94
4:57,2502,Calaen Robinson missed Three Point Jumper.,77,94
4:57,-1,Josiah Lynch Defensive Rebound.,77,94
4:49,-1,Steven Shares missed Jumper.,77,94
4:49,2502,Deontae North Defensive Rebound.,77,94
4:28,2502,Brandon Hollins Turnover.,77,94
4:14,-1,Steven Shares missed Jumper.,77,94
4:14,2502,Brandon Hollins Defensive Rebound.,77,94
4:08,2502,Brandon Hollins Turnover.,77,94
4:07,-1,Josiah Lynch Steal.,77,94
4:05,-1,Steven Shares made Jumper.,79,94
4:00,2502,Brandon Hollins made Jumper.,79,96
3:40,2502,Brandon Hollins made Layup. Assisted by Montie Leunen.,79,98
3:23,-1,Steven Shares missed Three Point Jumper.,79,98
3:23,2502,Brandon Hollins Defensive Rebound.,79,98
3:16,2502,Zach Gengler made Jumper. Assisted by Khari Holloway.,79,100
2:55,-1,Steven Shares missed Jumper.,79,100
2:55,2502,Zach Gengler Defensive Rebound.,79,100
2:47,2502,Deontae North made Layup. Assisted by Zach Gengler.,79,102
2:31,-1,Isiah Large missed Three Point Jumper.,79,102
2:31,2502,Deontae North Defensive Rebound.,79,102
2:22,2502,Brandon Hollins missed Dunk.,79,102
2:22,-1,Isiah Large Defensive Rebound.,79,102
2:17,-1,Isiah Large missed Jumper.,79,102
2:17,2502,Zach Gengler Defensive Rebound.,79,102
2:12,2502,Official TV Timeout,79,102
2:06,-1,Foul on Kainoa Petersen.,79,102
2:06,2502,Brendan Rumel missed Free Throw.,79,102
2:06,2502,Portland St Deadball Team Rebound.,79,102
2:06,2502,Brendan Rumel made Free Throw.,79,103
1:56,-1,Josiah Lynch missed Three Point Jumper.,79,103
1:56,2502,Tyrell Henderson Defensive Rebound.,79,103
1:45,2502,Brendan Rumel missed Jumper.,79,103
1:45,-1,Josiah Lynch Defensive Rebound.,79,103
1:38,-1,Jaylen Rose missed Jumper.,79,103
1:38,2502,Tyrell Henderson Defensive Rebound.,79,103
1:23,2502,Michael Mayhew made Three Point Jumper. Assisted by Tyrell Henderson.,79,106
1:08,-1,Emerson Hoffman missed Three Point Jumper.,79,106
1:08,2502,Montie Leunen Defensive Rebound.,79,106
1:02,2502,Brendan Rumel made Layup. Assisted by Khari Holloway.,79,108
0:43,-1,Sasha Lomakin missed Jumper.,79,108
0:43,2502,Khari Holloway Defensive Rebound.,79,108
0:39,2502,Michael Mayhew missed Layup.,79,108
0:39,2502,Michael Mayhew Offensive Rebound.,79,108
0:35,2502,Michael Mayhew made Jumper.,79,110
0:28,-1,Josiah Lynch missed Jumper.,79,110
0:28,2502,Michael Mayhew Defensive Rebound.,79,110
0:00,2502,End of Game,79,110
