Central Connecticut,43,Yale,2115
4:59,2115,Tidell Pierre Offensive Rebound.,18,33
4:57,43,Foul on Eric Monroe.,18,33
4:57,2115,Tidell Pierre made Free Throw.,19,33
4:57,2115,Tidell Pierre made Free Throw.,20,33
4:35,43,Anthony Dallier made Three Point Jumper. Assisted by Sam Downey.,20,36
4:14,2115,Tidell Pierre made Layup.,22,36
4:00,43,Alex Copeland Turnover.,22,36
3:59,2115,Tafari Whittingham Steal.,22,36
3:49,43,Foul on Anthony Dallier.,22,36
3:49,43,Official TV Timeout,22,36
3:49,2115,Khalen Cumberlander made Free Throw.,23,36
3:49,2115,Khalen Cumberlander missed Free Throw.,23,36
3:49,43,Miye Oni Defensive Rebound.,23,36
3:27,43,Sam Downey missed Jumper.,23,36
3:27,43,Miye Oni Offensive Rebound.,23,36
3:26,43,Miye Oni missed Dunk.,23,36
3:25,43,Sam Downey Offensive Rebound.,23,36
3:23,2115,Foul on Tidell Pierre.,23,36
3:23,43,Sam Downey made Free Throw.,23,37
3:23,43,Sam Downey made Free Throw.,23,38
3:00,2115,Chris Williams missed Three Point Jumper.,23,38
3:00,43,Miye Oni Block.,23,38
3:00,2115,Central Connecticut St Offensive Rebound.,23,38
2:56,43,Foul on Miye Oni.,23,38
2:56,2115,Austin Nehls made Free Throw.,24,38
2:56,2115,Austin Nehls made Free Throw.,25,38
2:56,2115,Austin Nehls made Free Throw.,26,38
2:33,43,Anthony Dallier made Three Point Jumper. Assisted by Blake Reynolds.,26,41
2:15,2115,Austin Nehls Turnover.,26,41
1:53,43,Foul on Miye Oni.,26,41
1:53,43,Miye Oni Turnover.,26,41
1:34,2115,Tidell Pierre missed Layup.,26,41
1:34,43,Jordan Bruner Block.,26,41
1:33,2115,Tafari Whittingham Offensive Rebound.,26,41
1:32,2115,Tafari Whittingham Turnover.,26,41
1:14,43,Eric Monroe missed Three Point Jumper.,26,41
1:14,2115,Austin Nehls Defensive Rebound.,26,41
0:48,2115,Tidell Pierre made Layup. Assisted by Khalen Cumberlander.,28,41
0:44,43,Yale  Timeout,28,41
0:34,2115,Foul on Austin Nehls.,28,41
0:34,43,Trey Phills missed Free Throw.,28,41
0:34,43,Yale Deadball Team Rebound.,28,41
0:34,43,Trey Phills made Free Throw.,28,42
0:28,2115,Khalen Cumberlander Turnover.,28,42
0:26,43,Trey Phills Steal.,28,42
0:24,43,Alex Copeland made Layup.,28,44
0:17,2115,Central Connecticut St  Timeout,28,44
0:06,2115,Khalen Cumberlander Turnover.,28,44
0:06,43,Noah Yates Steal.,28,44
0:01,43,Alex Copeland missed Three Point Jumper.,28,44
0:01,43,Yale Offensive Rebound.,28,44
0:00,43,End of 1st half,28,44
19:41,2115,Khalen Cumberlander missed Three Point Jumper.,28,44
19:41,43,Sam Downey Defensive Rebound.,28,44
19:22,43,Anthony Dallier missed Three Point Jumper.,28,44
19:22,2115,Tidell Pierre Defensive Rebound.,28,44
19:13,2115,Kevin Seymour made Jumper. Assisted by Khalen Cumberlander.,30,44
18:56,43,Sam Downey made Layup. Assisted by Anthony Dallier.,30,46
18:38,2115,Khalen Cumberlander Turnover.,30,46
18:18,43,Foul on Miye Oni.,30,46
18:18,43,Miye Oni Turnover.,30,46
17:53,43,Foul on Sam Downey.,30,46
17:53,2115,Tafari Whittingham made Free Throw.,31,46
17:53,2115,Tafari Whittingham made Free Throw.,32,46
17:29,43,Blake Reynolds missed Three Point Jumper.,32,46
17:29,43,Anthony Dallier Offensive Rebound.,32,46
17:24,43,Alex Copeland missed Three Point Jumper.,32,46
17:24,43,Jordan Bruner Offensive Rebound.,32,46
17:18,43,Trey Phills made Dunk.,32,48
16:56,2115,Kevin Seymour made Jumper.,34,48
16:41,43,Alex Copeland made Three Point Jumper. Assisted by Trey Phills.,34,51
16:24,2115,Kevin Seymour missed Jumper.,34,51
16:24,43,Blake Reynolds Defensive Rebound.,34,51
16:18,2115,Foul on Khalen Cumberlander.,34,51
16:18,43,Trey Phills made Free Throw.,34,52
16:18,43,Trey Phills missed Free Throw.,34,52
16:18,43,Jordan Bruner Offensive Rebound.,34,52
16:06,43,Alex Copeland made Layup.,34,54
15:58,2115,Central Connecticut St  Timeout,34,54
15:33,2115,Tidell Pierre missed Layup.,34,54
15:33,43,Jordan Bruner Block.,34,54
15:32,2115,Tafari Whittingham Offensive Rebound.,34,54
15:31,2115,Tafari Whittingham made Layup.,36,54
14:57,43,Blake Reynolds made Layup. Assisted by Alex Copeland.,36,56
14:34,2115,Kevin Seymour missed Three Point Jumper.,36,56
14:34,43,Anthony Dallier Defensive Rebound.,36,56
14:24,43,Blake Reynolds missed Layup.,36,56
14:24,43,Blake Reynolds Offensive Rebound.,36,56
14:23,43,Blake Reynolds missed Layup.,36,56
14:23,2115,Tafari Whittingham Defensive Rebound.,36,56
14:11,2115,Austin Nehls made Jumper.,38,56
13:53,43,Trey Phills missed Three Point Jumper.,38,56
13:53,2115,Kevin Seymour Defensive Rebound.,38,56
13:45,2115,Kevin Seymour missed Jumper.,38,56
13:45,43,Yale Defensive Rebound.,38,56
13:43,43,Official TV Timeout,38,56
13:29,43,Foul on Trey Phills.,38,56
13:29,43,Trey Phills Turnover.,38,56
13:18,2115,Austin Nehls missed Three Point Jumper.,38,56
13:18,2115,Tidell Pierre Offensive Rebound.,38,56
13:16,43,Foul on Sam Downey.,38,56
13:16,2115,Tidell Pierre made Free Throw.,39,56
13:16,2115,Tidell Pierre missed Free Throw.,39,56
13:16,43,Jordan Bruner Defensive Rebound.,39,56
12:53,43,Jordan Bruner missed Jumper.,39,56
12:53,43,Blake Reynolds Offensive Rebound.,39,56
12:47,43,Jordan Bruner made Dunk. Assisted by Blake Reynolds.,39,58
12:41,43,Foul on Anthony Dallier.,39,58
12:33,2115,Austin Nehls made Three Point Jumper. Assisted by Chris Williams.,42,58
12:20,43,Blake Reynolds missed Three Point Jumper.,42,58
12:20,43,Jordan Bruner Offensive Rebound.,42,58
12:16,43,Alex Copeland made Layup. Assisted by Jordan Bruner.,42,60
12:03,2115,Tidell Pierre missed Layup.,42,60
12:03,2115,Tidell Pierre Offensive Rebound.,42,60
12:01,2115,Tidell Pierre missed Layup.,42,60
12:01,43,Yale Defensive Rebound.,42,60
11:35,43,Alex Copeland made Jumper.,42,62
11:22,2115,Khalen Cumberlander missed Three Point Jumper.,42,62
11:22,43,Miye Oni Defensive Rebound.,42,62
11:02,43,Foul on Jordan Bruner.,42,62
11:02,43,Jordan Bruner Turnover.,42,62
11:02,43,Official TV Timeout,42,62
10:38,2115,Chris Williams missed Layup.,42,62
10:38,43,Miye Oni Block.,42,62
10:36,43,Miye Oni Defensive Rebound.,42,62
10:34,43,Miye Oni Turnover.,42,62
10:33,2115,Khalen Cumberlander Steal.,42,62
10:27,2115,Tafari Whittingham made Layup. Assisted by Austin Nehls.,44,62
10:05,43,Miye Oni made Three Point Jumper.,44,65
9:36,2115,Chris Williams missed Three Point Jumper.,44,65
9:35,43,Yale Defensive Rebound.,44,65
9:16,43,Miye Oni made Three Point Jumper. Assisted by Blake Reynolds.,44,68
8:57,2115,Khalen Cumberlander missed Jumper.,44,68
8:57,43,Alex Copeland Defensive Rebound.,44,68
8:51,43,Alex Copeland missed Layup.,44,68
8:51,2115,Kevin Seymour Defensive Rebound.,44,68
8:40,2115,Austin Nehls made Three Point Jumper.,47,68
8:40,43,Foul on Anthony Dallier.,47,68
8:40,2115,Tafari Whittingham missed Free Throw.,47,68
8:40,2115,Tafari Whittingham Offensive Rebound.,47,68
8:38,2115,Tafari Whittingham missed Layup.,47,68
8:38,2115,Khalen Cumberlander Offensive Rebound.,47,68
8:11,2115,Austin Nehls made Three Point Jumper. Assisted by Kevin Seymour.,50,68
7:48,2115,Foul on Khalen Cumberlander.,50,68
7:48,43,Official TV Timeout,50,68
7:39,43,Miye Oni made Three Point Jumper.,50,71
7:20,2115,Foul on Harrison Kay.,50,71
7:20,2115,Harrison Kay Turnover.,50,71
7:04,2115,Foul on Khalen Cumberlander.,50,71
7:04,43,Alex Copeland made Free Throw.,50,72
7:04,43,Alex Copeland made Free Throw.,50,73
6:51,2115,Austin Nehls Turnover.,50,73
6:31,43,Sam Downey made Layup. Assisted by Jordan Bruner.,50,75
6:09,2115,Chris Williams missed Three Point Jumper.,50,75
6:09,43,Miye Oni Defensive Rebound.,50,75
6:04,43,Miye Oni Turnover.,50,75
6:04,2115,Harrison Kay Steal.,50,75
6:03,2115,Tafari Whittingham made Layup. Assisted by Harrison Kay.,52,75
5:44,43,Eric Monroe Turnover.,52,75
5:43,2115,Chris Williams Steal.,52,75
5:34,2115,Harrison Kay made Layup. Assisted by Kevin Seymour.,54,75
5:16,43,Miye Oni made Three Point Jumper. Assisted by Alex Copeland.,54,78
4:54,2115,Kevin Seymour Turnover.,54,78
4:43,43,Jordan Bruner Turnover.,54,78
4:43,2115,Kevin Seymour Steal.,54,78
4:37,2115,Austin Nehls missed Layup.,54,78
4:37,2115,Tafari Whittingham Offensive Rebound.,54,78
4:36,2115,Tafari Whittingham made Two Point Tip Shot.,56,78
4:17,43,Jordan Bruner made Three Point Jumper. Assisted by Anthony Dallier.,56,81
3:54,43,Foul on Jordan Bruner.,56,81
3:54,43,Official TV Timeout,56,81
3:54,2115,Tafari Whittingham missed Free Throw.,56,81
3:54,43,Jordan Bruner Defensive Rebound.,56,81
3:42,2115,Foul on Chris Williams.,56,81
3:29,43,Jordan Bruner Turnover.,56,81
3:15,2115,Harrison Kay Turnover.,56,81
3:03,43,Sam Downey made Layup. Assisted by Anthony Dallier.,56,83
2:49,2115,Khalen Cumberlander made Three Point Jumper. Assisted by Antwann Anderson.,59,83
2:29,43,Thomas Ryan missed Three Point Jumper.,59,83
2:29,2115,Harrison Kay Defensive Rebound.,59,83
2:19,43,Foul on Noah Yates.,59,83
2:19,2115,Donyell Marshall Jr. missed Free Throw.,59,83
2:19,2115,Central Connecticut St Deadball Team Rebound.,59,83
2:19,2115,Donyell Marshall Jr. missed Free Throw.,59,83
2:19,43,Thomas Ryan Defensive Rebound.,59,83
2:05,43,Thomas Ryan missed Jumper.,59,83
2:05,43,Sam Downey Offensive Rebound.,59,83
2:03,43,Sam Downey missed Two Point Tip Shot.,59,83
2:03,43,Thomas Ryan Offensive Rebound.,59,83
2:01,2115,Foul on Khalen Cumberlander.,59,83
1:52,43,Anthony Dallier missed Three Point Jumper.,59,83
1:52,43,Sam Downey Offensive Rebound.,59,83
1:40,43,Yale  Timeout,59,83
1:30,43,Noah Yates made Three Point Jumper. Assisted by Anthony Dallier.,59,86
1:18,2115,Antwann Anderson Turnover.,59,86
1:17,43,Eric Monroe Steal.,59,86
1:15,43,Eric Monroe made Layup.,59,88
0:56,2115,Harrison Kay missed Layup.,59,88
0:56,43,Jordan Bruner Defensive Rebound.,59,88
0:46,2115,Foul on Harrison Kay.,59,88
0:46,43,Thomas Ryan made Free Throw.,59,89
0:46,43,Thomas Ryan made Free Throw.,59,90
0:26,2115,Antwann Anderson missed Jumper.,59,90
0:26,43,Jordan Bruner Defensive Rebound.,59,90
0:00,43,End of Game,59,90
