Urbana,Error,Wright State,2750
15:09,-1,Charles Sweatt-Washington missed Three Point Jumper.,19,50
15:09,2750,Grant Benzinger Defensive Rebound.,19,50
14:47,2750,Foul on Alan Vest.,19,50
14:47,2750,Alan Vest Turnover.,19,50
14:37,-1,Jimmy Weinke Turnover.,19,50
14:35,2750,Tye Wilburn Steal.,19,50
14:18,2750,Justin Mitchell made Layup.,19,52
14:09,-1,Jimmy Weinke Turnover.,19,52
14:08,2750,Tye Wilburn Steal.,19,52
14:05,2750,Justin Mitchell made Layup. Assisted by Tye Wilburn.,19,54
14:05,-1,Foul on DeQuan Abrom.,19,54
14:05,2750,Justin Mitchell made Free Throw.,19,55
13:53,-1,Aj Washington missed Layup.,19,55
13:53,2750,Mark Alstork Block.,19,55
13:51,2750,Mark Alstork Defensive Rebound.,19,55
13:47,2750,Mark Hughes missed Three Point Jumper.,19,55
13:47,2750,Tye Wilburn Offensive Rebound.,19,55
13:35,-1,Foul on Charles Sweatt-Washington.,19,55
13:20,2750,Alan Vest Turnover.,19,55
13:19,-1,Aj Washington Steal.,19,55
13:17,2750,Foul on Mark Hughes.,19,55
13:17,-1,DeQuan Abrom missed Free Throw.,19,55
13:17,-1,Urbana Deadball Team Rebound.,19,55
13:17,-1,DeQuan Abrom missed Free Throw.,19,55
13:17,-1,Aj Washington Offensive Rebound.,19,55
13:13,-1,Aj Washington Turnover.,19,55
13:12,2750,Mark Alstork Steal.,19,55
12:57,2750,Mark Alstork missed Jumper.,19,55
12:57,-1,DeQuan Abrom Defensive Rebound.,19,55
12:51,2750,Foul on Tye Wilburn.,19,55
12:44,-1,Jahmere Howze Turnover.,19,55
12:44,2750,Alan Vest Steal.,19,55
12:40,2750,Alan Vest missed Jumper.,19,55
12:40,2750,Mark Hughes Offensive Rebound.,19,55
12:37,2750,Mark Hughes missed Two Point Tip Shot.,19,55
12:37,-1,Aj Washington Defensive Rebound.,19,55
12:33,-1,Foul on DeQuan Abrom.,19,55
12:33,-1,DeQuan Abrom Turnover.,19,55
12:14,2750,Steven Davis Turnover.,19,55
12:13,-1,Jahmere Howze Steal.,19,55
12:07,-1,Jahmere Howze missed Jumper.,19,55
12:07,2750,Mike La Tulip Defensive Rebound.,19,55
12:04,-1,Foul on Demetrius Carr.,19,55
11:44,2750,Tye Wilburn Turnover.,19,55
11:44,2750,Official TV Timeout,19,55
11:33,2750,Foul on Mark Hughes.,19,55
11:33,-1,DeQuan Abrom missed Free Throw.,19,55
11:33,-1,Urbana Deadball Team Rebound.,19,55
11:33,-1,DeQuan Abrom made Free Throw.,20,55
11:24,2750,Mike La Tulip made Three Point Jumper. Assisted by Grant Benzinger.,20,58
11:07,-1,DeQuan Abrom missed Three Point Jumper.,20,58
11:07,2750,Mike La Tulip Defensive Rebound.,20,58
10:55,2750,Mark Alstork Turnover.,20,58
10:42,-1,Aj Washington missed Layup.,20,58
10:42,2750,Mike La Tulip Defensive Rebound.,20,58
10:36,2750,Mark Alstork missed Layup.,20,58
10:36,2750,Steven Davis Offensive Rebound.,20,58
10:33,2750,Steven Davis made Two Point Tip Shot.,20,60
10:22,-1,Charles Sweatt-Washington Turnover.,20,60
10:21,2750,Mark Alstork Steal.,20,60
10:19,2750,Steven Davis made Dunk. Assisted by Mark Alstork.,20,62
10:03,-1,DeQuan Abrom made Jumper.,22,62
9:38,-1,Foul on Charles Sweatt-Washington.,22,62
9:38,2750,Justin Mitchell made Free Throw.,22,63
9:38,2750,Justin Mitchell made Free Throw.,22,64
9:21,-1,Tyler Ellis missed Three Point Jumper.,22,64
9:21,2750,Wright St Deadball Team Rebound.,22,64
9:06,2750,Mark Alstork missed Layup.,22,64
9:06,-1,Carlas Jackson Block.,22,64
9:05,-1,Aj Washington Defensive Rebound.,22,64
9:04,2750,Foul on Mark Alstork.,22,64
8:42,2750,Foul on Steven Davis.,22,64
8:42,-1,Aj Washington made Free Throw.,23,64
8:42,-1,Aj Washington made Free Throw.,24,64
8:26,2750,Justin Mitchell made Layup.,24,66
8:26,-1,Foul on Aj Washington.,24,66
8:26,2750,Justin Mitchell made Free Throw.,24,67
7:58,-1,Dalton Payton missed Three Point Jumper.,24,67
7:58,2750,Justin Mitchell Defensive Rebound.,24,67
7:46,2750,Steven Davis made Three Point Jumper. Assisted by Justin Mitchell.,24,70
7:33,-1,DeQuan Abrom missed Jumper.,24,70
7:33,2750,Justin Mitchell Defensive Rebound.,24,70
7:24,2750,Mike La Tulip missed Three Point Jumper.,24,70
7:24,2750,Grant Benzinger Offensive Rebound.,24,70
7:14,2750,Steven Davis made Three Point Jumper. Assisted by Grant Benzinger.,24,73
6:47,-1,Tyler Ellis missed Jumper.,24,73
6:47,-1,Tyler Ellis Offensive Rebound.,24,73
6:44,-1,Tyler Ellis Turnover.,24,73
6:43,2750,Steven Davis Steal.,24,73
6:36,2750,Justin Mitchell made Jumper.,24,75
6:34,2750,Wright St  Timeout,24,75
6:04,2750,Foul on Trey Stacey.,24,75
6:04,-1,Dalton Payton missed Free Throw.,24,75
6:04,-1,Urbana Deadball Team Rebound.,24,75
6:04,-1,Dalton Payton made Free Throw.,25,75
5:45,-1,Foul on Ethan Snapp.,25,75
5:45,2750,Mark Hughes made Free Throw.,25,76
5:45,2750,Mark Hughes made Free Throw.,25,77
5:28,-1,Jimmy Weinke missed Three Point Jumper.,25,77
5:28,2750,Tye Wilburn Defensive Rebound.,25,77
5:15,2750,Trey Stacey Turnover.,25,77
5:14,-1,Jahmere Howze Steal.,25,77
5:07,-1,Dalton Payton missed Three Point Jumper.,25,77
5:07,-1,Jahmere Howze Offensive Rebound.,25,77
5:04,-1,Jahmere Howze missed Layup.,25,77
5:04,-1,Jahmere Howze Offensive Rebound.,25,77
5:02,-1,Jahmere Howze made Two Point Tip Shot.,27,77
4:49,2750,Tye Wilburn missed Layup.,27,77
4:49,-1,Dalton Payton Defensive Rebound.,27,77
4:29,-1,Jahmere Howze Turnover.,27,77
4:29,2750,Tye Wilburn Steal.,27,77
4:20,2750,Trey Stacey made Three Point Jumper. Assisted by Mark Hughes.,27,80
4:00,-1,Jahmere Howze made Jumper.,29,80
3:33,2750,Trey Stacey made Jumper.,29,82
3:13,-1,Demetrius Carr missed Jumper.,29,82
3:13,2750,Tye Wilburn Defensive Rebound.,29,82
3:04,2750,Official TV Timeout,29,82
2:48,2750,Tye Wilburn Turnover.,29,82
2:47,-1,Jimmy Weinke Steal.,29,82
2:34,-1,Dalton Payton missed Jumper.,29,82
2:34,2750,Ryan Custer Block.,29,82
2:33,-1,Ethan Snapp Offensive Rebound.,29,82
2:23,-1,Andre Hawes made Three Point Jumper. Assisted by Jimmy Weinke.,32,82
1:55,2750,Adam Giles missed Jumper.,32,82
1:55,-1,Aj Washington Block.,32,82
1:53,2750,Wright St Deadball Team Rebound.,32,82
1:53,-1,Foul on Dalton Payton.,32,82
1:53,2750,Ryan Custer missed Free Throw.,32,82
1:53,-1,Aj Washington Defensive Rebound.,32,82
1:41,-1,Andre Hawes missed Three Point Jumper.,32,82
1:41,-1,Carlas Jackson Offensive Rebound.,32,82
1:37,-1,Carlas Jackson missed Jumper.,32,82
1:37,-1,Urbana Deadball Team Rebound.,32,82
1:34,2750,Foul on Ryan Custer.,32,82
1:34,-1,Jahmere Howze missed Free Throw.,32,82
1:34,2750,Alan Vest Defensive Rebound.,32,82
1:21,2750,Adam Giles Turnover.,32,82
1:20,-1,Jahmere Howze Steal.,32,82
1:18,-1,Jahmere Howze missed Layup.,32,82
1:18,2750,Tye Wilburn Defensive Rebound.,32,82
0:59,2750,Alan Vest missed Three Point Jumper.,32,82
0:59,-1,Jahmere Howze Defensive Rebound.,32,82
0:47,-1,Carlas Jackson missed Three Point Jumper.,32,82
0:47,2750,Trey Stacey Defensive Rebound.,32,82
0:19,2750,Trey Stacey made Three Point Jumper. Assisted by Alan Vest.,32,85
0:06,2750,Foul on Alan Vest.,32,85
0:06,-1,Carlas Jackson made Free Throw.,33,85
0:06,-1,Carlas Jackson missed Free Throw.,33,85
0:06,-1,Urbana Deadball Team Rebound.,33,85
0:06,-1,Carlas Jackson made Free Throw.,34,85
0:00,2750,End of Game,34,85
