Dartmouth,42,Hartford,159
11:14,159,Dartmouth Deadball Team Rebound.,38,41
11:14,159,Evan Boudreaux made Free Throw.,39,41
11:04,42,Jalen Ross made Jumper.,39,43
10:47,42,Foul on John Carroll.,39,43
10:47,159,Evan Boudreaux made Free Throw.,40,43
10:47,159,Evan Boudreaux made Free Throw.,41,43
10:32,42,Jack Hobbs made Three Point Jumper. Assisted by John Carroll.,41,46
10:10,42,Foul on John Carroll.,41,46
10:10,159,Evan Boudreaux made Free Throw.,42,46
10:10,159,Evan Boudreaux made Free Throw.,43,46
10:10,159,Dartmouth  Timeout,43,46
9:52,42,John Carroll made Layup. Assisted by Jalen Ross.,43,48
9:52,159,Foul on Mike Fleming.,43,48
9:52,42,John Carroll missed Free Throw.,43,48
9:52,159,Guilien Smith Defensive Rebound.,43,48
9:29,159,Evan Boudreaux made Jumper. Assisted by Ian Sistare.,45,48
9:15,42,John Carroll made Layup. Assisted by Jason Dunne.,45,50
9:02,159,Evan Boudreaux missed Layup.,45,50
9:02,42,John Carroll Block.,45,50
9:02,159,Dartmouth Offensive Rebound.,45,50
8:51,159,Mike Fleming made Layup. Assisted by Ian Sistare.,47,50
8:33,159,Foul on Guilien Smith.,47,50
8:28,159,Foul on Evan Boudreaux.,47,50
8:28,42,Jalen Ross missed Free Throw.,47,50
8:28,159,Ian Sistare Defensive Rebound.,47,50
8:05,42,Foul on John Carroll.,47,50
8:05,159,Guilien Smith made Free Throw.,48,50
8:05,159,Guilien Smith made Free Throw.,49,50
7:52,42,Jason Dunne made Three Point Jumper.,49,53
7:30,42,Foul on TreVaughn Wilkerson.,49,53
7:30,42,Official TV Timeout,49,53
7:30,159,Guilien Smith made Free Throw.,50,53
7:30,159,Guilien Smith made Free Throw.,51,53
7:14,42,Jack Hobbs missed Three Point Jumper.,51,53
7:14,159,Guilien Smith Defensive Rebound.,51,53
6:57,159,Evan Boudreaux made Three Point Jumper. Assisted by Ian Sistare.,54,53
6:35,42,TreVaughn Wilkerson made Layup. Assisted by Jalen Ross.,54,55
6:17,159,Ian Sistare missed Three Point Jumper.,54,55
6:17,42,Jack Hobbs Defensive Rebound.,54,55
6:15,159,Foul on Evan Boudreaux.,54,55
6:10,42,Jack Hobbs missed Free Throw.,54,55
6:10,159,Ian Sistare Defensive Rebound.,54,55
5:59,159,Evan Boudreaux missed Three Point Jumper.,54,55
5:59,42,Jason Dunne Defensive Rebound.,54,55
5:48,42,J.R. Lynch missed Three Point Jumper.,54,55
5:48,159,Ian Sistare Defensive Rebound.,54,55
5:48,42,Foul on Hassan Attia.,54,55
5:48,159,Ian Sistare made Free Throw.,55,55
5:48,159,Ian Sistare made Free Throw.,56,55
5:24,42,Jason Dunne missed Layup.,56,55
5:24,159,Guilien Smith Defensive Rebound.,56,55
5:05,42,Foul on John Carroll.,56,55
5:05,159,Ike Ngwudo missed Free Throw.,56,55
5:05,159,Dartmouth Deadball Team Rebound.,56,55
5:05,159,Ike Ngwudo missed Free Throw.,56,55
5:05,42,Jason Dunne Defensive Rebound.,56,55
4:51,42,Jalen Ross missed Jumper.,56,55
4:51,159,Evan Boudreaux Defensive Rebound.,56,55
4:25,159,Foul on Ike Ngwudo.,56,55
4:25,159,Ike Ngwudo Turnover.,56,55
4:18,42,Jason Dunne Turnover.,56,55
4:01,159,Guilien Smith made Jumper.,58,55
3:50,42,J.R. Lynch made Three Point Jumper. Assisted by Jalen Ross.,58,58
3:50,42,Official TV Timeout,58,58
3:31,159,Ian Sistare made Layup.,60,58
3:09,42,Jalen Ross missed Layup.,60,58
3:09,159,Evan Boudreaux Block.,60,58
3:09,42,Hartford Offensive Rebound.,60,58
3:04,42,Jalen Ross made Jumper.,60,60
3:04,159,Foul on Guilien Smith.,60,60
3:04,42,Jalen Ross made Free Throw.,60,61
2:43,159,Miles Wright missed Three Point Jumper.,60,61
2:43,42,J.R. Lynch Defensive Rebound.,60,61
2:17,42,Jack Hobbs made Three Point Jumper. Assisted by Jalen Ross.,60,64
2:08,159,Dartmouth  Timeout,60,64
1:56,159,Guilien Smith missed Three Point Jumper.,60,64
1:56,159,Evan Boudreaux Offensive Rebound.,60,64
1:50,159,Evan Boudreaux made Layup.,62,64
1:27,42,J.R. Lynch missed Jumper.,62,64
1:27,159,Ian Sistare Defensive Rebound.,62,64
1:04,159,Guilien Smith made Three Point Jumper. Assisted by Miles Wright.,65,64
0:47,42,Hartford  Timeout,65,64
0:43,42,Jalen Ross made Jumper.,65,66
0:33,159,Dartmouth  Timeout,65,66
0:16,159,Miles Wright missed Three Point Jumper.,65,66
0:16,42,Jack Hobbs Block.,65,66
0:16,159,Dartmouth Offensive Rebound.,65,66
0:14,159,Evan Boudreaux missed Three Point Jumper.,65,66
0:14,42,TreVaughn Wilkerson Block.,65,66
0:12,159,Dartmouth  Turnover.,65,66
0:12,42,Hartford Deadball Team Rebound.,65,66
0:10,42,Foul on Max Twyman.,65,66
0:10,42,J.R. Lynch made Free Throw.,65,67
0:10,42,J.R. Lynch made Free Throw.,65,68
0:10,42,Hartford  Timeout,65,68
0:07,42,Foul on Jason Dunne.,65,68
0:07,159,Brendan Barry made Free Throw.,66,68
0:07,159,Brendan Barry missed Free Throw.,66,68
0:07,42,Jalen Ross Defensive Rebound.,66,68
0:04,159,Foul on Brendan Barry.,66,68
0:04,42,Jalen Ross made Free Throw.,66,69
0:04,42,Jalen Ross made Free Throw.,66,70
