North Carolina Central,99,LSU,2428
14:26,99,Foul on Craig Victor II.,20,14
14:26,99,Official TV Timeout,20,14
14:26,2428,Patrick Cole missed Free Throw.,20,14
14:21,99,Craig Victor II Defensive Rebound.,20,14
14:14,99,Craig Victor II missed Jumper.,20,14
14:14,2428,North Carolina Central Defensive Rebound.,20,14
14:00,2428,Dajuan Graf made Layup.,22,14
13:43,99,Wayde Sims missed Three Point Jumper.,22,14
13:43,99,Antonio Blakeney Offensive Rebound.,22,14
13:32,99,Antonio Blakeney missed Jumper.,22,14
13:32,2428,Patrick Cole Defensive Rebound.,22,14
13:26,2428,Patrick Cole made Three Point Jumper.,25,14
13:10,99,Skylar Mays Turnover.,25,14
12:56,2428,Will Ransom made Layup. Assisted by Patrick Cole.,27,14
12:43,99,Duop Reath Turnover.,27,14
12:30,2428,Patrick Cole Turnover.,27,14
12:09,99,Duop Reath Turnover.,27,14
11:52,2428,Patrick Cole Turnover.,27,14
11:52,99,Wayde Sims Steal.,27,14
11:50,2428,Foul on Rashaun Madison.,27,14
11:50,99,Official TV Timeout,27,14
11:48,99,Aaron Epps made Jumper. Assisted by Jalyn Patterson.,27,16
11:27,2428,Ron Trapps missed Three Point Jumper.,27,16
11:27,99,Aaron Epps Defensive Rebound.,27,16
11:17,99,Aaron Epps missed Three Point Jumper.,27,16
11:17,99,Aaron Epps Offensive Rebound.,27,16
11:12,99,Jalyn Patterson missed Three Point Jumper.,27,16
11:12,2428,Pablo Rivas Defensive Rebound.,27,16
11:06,2428,Jump Ball won by North Carolina Central,27,16
10:44,2428,Dajuan Graf Turnover.,27,16
10:34,2428,Foul on Pablo Rivas.,27,16
10:24,99,Jalyn Patterson missed Jumper.,27,16
10:24,99,Wayde Sims Offensive Rebound.,27,16
10:17,99,Wayde Sims missed Jumper.,27,16
10:17,2428,Patrick Cole Defensive Rebound.,27,16
10:11,2428,Dajuan Graf missed Jumper.,27,16
10:10,99,Wayde Sims Defensive Rebound.,27,16
10:08,99,Brandon Sampson made Layup. Assisted by Jalyn Patterson.,27,18
10:08,2428,Foul on Will Ransom.,27,18
10:08,99,Brandon Sampson missed Free Throw.,27,18
10:08,2428,Will Ransom Defensive Rebound.,27,18
9:47,2428,Will Ransom Turnover.,27,18
9:30,2428,Foul on Pablo Rivas.,27,18
9:30,99,Craig Victor II made Free Throw.,27,19
9:30,99,Craig Victor II made Free Throw.,27,20
9:08,2428,Patrick Cole missed Jumper.,27,20
9:08,99,Brandon Sampson Defensive Rebound.,27,20
8:55,99,Jalyn Patterson missed Three Point Jumper.,27,20
8:55,2428,Will Ransom Defensive Rebound.,27,20
8:42,2428,Del'Vin Dickerson made Layup.,29,20
8:27,99,Wayde Sims Turnover.,29,20
8:27,2428,Will Ransom Steal.,29,20
8:21,2428,Patrick Cole missed Jumper.,29,20
8:21,2428,Ron Trapps Offensive Rebound.,29,20
8:10,2428,Patrick Cole made Layup. Assisted by Ron Trapps.,31,20
7:54,99,Brandon Sampson missed Three Point Jumper.,31,20
7:54,2428,Patrick Cole Defensive Rebound.,31,20
7:43,2428,Del'Vin Dickerson made Layup. Assisted by Patrick Cole.,33,20
7:28,99,Brandon Sampson missed Three Point Jumper.,33,20
7:28,99,Duop Reath Offensive Rebound.,33,20
7:28,99,Duop Reath made Two Point Tip Shot.,33,22
6:58,2428,Del'Vin Dickerson missed Jumper.,33,22
6:58,99,Craig Victor II Defensive Rebound.,33,22
6:51,99,Brandon Sampson made Dunk. Assisted by Skylar Mays.,33,24
6:47,99,Official TV Timeout,33,24
6:35,2428,Dajuan Graf made Layup.,35,24
6:35,99,Foul on Skylar Mays.,35,24
6:35,2428,Dajuan Graf missed Free Throw.,35,24
6:35,99,Duop Reath Defensive Rebound.,35,24
6:23,99,Foul on Brandon Sampson.,35,24
6:23,99,Brandon Sampson Turnover.,35,24
6:12,2428,Dajuan Graf made Layup. Assisted by Patrick Cole.,37,24
5:47,99,Antonio Blakeney missed Three Point Jumper.,37,24
5:47,99,Craig Victor II Offensive Rebound.,37,24
5:34,99,Antonio Blakeney Turnover.,37,24
5:34,2428,Patrick Cole Steal.,37,24
5:18,2428,Ron Trapps missed Three Point Jumper.,37,24
5:18,99,Craig Victor II Defensive Rebound.,37,24
5:10,99,Antonio Blakeney made Layup.,37,26
4:51,2428,Del'Vin Dickerson missed Three Point Jumper.,37,26
4:51,99,Antonio Blakeney Defensive Rebound.,37,26
4:38,99,Antonio Blakeney made Three Point Jumper.,37,29
4:19,2428,Patrick Cole missed Layup.,37,29
4:19,2428,Will Ransom Offensive Rebound.,37,29
4:19,2428,Will Ransom made Two Point Tip Shot.,39,29
4:04,99,Brandon Sampson made Three Point Jumper.,39,32
3:42,2428,Dajuan Graf Turnover.,39,32
3:42,99,Craig Victor II Steal.,39,32
3:37,99,Skylar Mays Turnover.,39,32
3:37,2428,Ron Trapps Steal.,39,32
3:33,2428,Foul on Ron Trapps.,39,32
3:33,2428,Ron Trapps Turnover.,39,32
3:32,99,Official TV Timeout,39,32
3:21,99,Craig Victor II missed Jumper.,39,32
3:21,99,Craig Victor II Offensive Rebound.,39,32
3:21,99,Craig Victor II missed Two Point Tip Shot.,39,32
3:21,2428,Will Ransom Block.,39,32
3:21,2428,Patrick Cole Defensive Rebound.,39,32
2:54,2428,Will Ransom made Layup. Assisted by Patrick Cole.,41,32
2:41,99,Skylar Mays missed Three Point Jumper.,41,32
2:41,99,Craig Victor II Offensive Rebound.,41,32
2:31,99,Craig Victor II made Layup.,41,34
2:17,2428,Pablo Rivas made Dunk. Assisted by Patrick Cole.,43,34
1:56,99,Craig Victor II missed Layup.,43,34
1:56,2428,Will Ransom Block.,43,34
1:56,2428,Patrick Cole Defensive Rebound.,43,34
1:49,2428,Patrick Cole Turnover.,43,34
1:42,99,Skylar Mays made Layup.,43,36
1:14,2428,Patrick Cole Turnover.,43,36
1:14,99,Duop Reath Steal.,43,36
1:09,99,Duop Reath Turnover.,43,36
1:09,2428,Pablo Rivas Steal.,43,36
1:07,2428,Pablo Rivas missed Dunk.,43,36
1:07,99,Duop Reath Defensive Rebound.,43,36
1:06,99,Foul on Skylar Mays.,43,36
1:06,99,Skylar Mays Turnover.,43,36
0:36,2428,Patrick Cole Turnover.,43,36
0:36,99,LSU  Timeout,43,36
0:09,99,Brandon Sampson missed Three Point Jumper.,43,36
0:09,2428,North Carolina Central Deadball Team Rebound.,43,36
0:07,2428,North Carolina Central  Timeout,43,36
0:00,99,End of 1st half,43,36
20:00,99,Jump Ball won by LSU,43,36
19:45,2428,Foul on Rashaun Madison.,43,36
19:36,99,Brandon Sampson missed Three Point Jumper.,43,36
19:36,99,Antonio Blakeney Offensive Rebound.,43,36
19:12,99,Antonio Blakeney made Jumper.,43,38
18:46,2428,Rashaun Madison Turnover.,43,38
18:46,99,Brandon Sampson Steal.,43,38
18:34,99,Craig Victor II Turnover.,43,38
18:26,2428,Patrick Cole made Jumper.,45,38
18:05,99,Skylar Mays missed Layup.,45,38
18:05,2428,Del'Vin Dickerson Block.,45,38
18:05,2428,Del'Vin Dickerson Defensive Rebound.,45,38
17:58,2428,Patrick Cole Turnover.,45,38
17:38,99,Skylar Mays made Three Point Jumper. Assisted by Antonio Blakeney.,45,41
17:12,2428,Patrick Cole Turnover.,45,41
17:12,99,Craig Victor II Steal.,45,41
16:54,99,Antonio Blakeney made Three Point Jumper. Assisted by Skylar Mays.,45,44
16:25,2428,Patrick Cole made Three Point Jumper.,48,44
16:04,99,Foul on Skylar Mays.,48,44
16:04,99,Skylar Mays Turnover.,48,44
15:55,2428,Patrick Cole made Layup.,50,44
15:53,2428,Technical Foul on Patrick Cole.,50,44
15:53,2428,Foul on Patrick Cole.,50,44
15:53,99,Official TV Timeout,50,44
15:53,99,Skylar Mays missed Free Throw.,50,44
15:53,99,LSU Deadball Team Rebound.,50,44
15:53,99,Skylar Mays made Free Throw.,50,45
15:37,99,Antonio Blakeney made Jumper.,50,47
15:22,99,Foul on Jalyn Patterson.,50,47
15:22,2428,Dajuan Graf made Free Throw.,51,47
15:22,2428,Dajuan Graf made Free Throw.,52,47
14:59,99,Foul on Craig Victor II.,52,47
14:59,99,Craig Victor II Turnover.,52,47
14:47,2428,Patrick Cole missed Jumper.,52,47
14:47,2428,Patrick Cole Offensive Rebound.,52,47
14:24,99,Foul on Kieran Hayward.,52,47
14:09,2428,Foul on Del'Vin Dickerson.,52,47
14:09,2428,Del'Vin Dickerson Turnover.,52,47
13:58,2428,Foul on Will Ransom.,52,47
13:49,99,Antonio Blakeney made Three Point Jumper. Assisted by Craig Victor II.,52,50
13:16,2428,Will Ransom missed Layup.,52,50
13:16,99,Duop Reath Defensive Rebound.,52,50
12:59,99,Antonio Blakeney missed Three Point Jumper.,52,50
12:59,99,Kieran Hayward Offensive Rebound.,52,50
12:50,99,Craig Victor II missed Layup.,52,50
12:50,99,LSU Offensive Rebound.,52,50
12:46,2428,Foul on Patrick Cole.,52,50
12:38,99,Antonio Blakeney made Three Point Jumper. Assisted by Jalyn Patterson.,52,53
12:16,2428,Patrick Cole missed Layup.,52,53
12:16,99,Duop Reath Block.,52,53
12:16,99,Jalyn Patterson Defensive Rebound.,52,53
12:06,99,Craig Victor II made Dunk. Assisted by Jalyn Patterson.,52,55
12:03,2428,North Carolina Central  Timeout,52,55
11:51,2428,Ron Trapps Turnover.,52,55
11:51,99,Official TV Timeout,52,55
11:34,99,Jalyn Patterson missed Jumper.,52,55
11:34,99,Craig Victor II Offensive Rebound.,52,55
11:34,99,Craig Victor II missed Two Point Tip Shot.,52,55
11:34,2428,Patrick Cole Defensive Rebound.,52,55
11:23,2428,Pablo Rivas made Dunk. Assisted by Patrick Cole.,54,55
11:11,99,Aaron Epps missed Three Point Jumper.,54,55
11:11,2428,Ron Trapps Defensive Rebound.,54,55
10:59,2428,Patrick Cole missed Jumper.,54,55
10:59,99,Aaron Epps Block.,54,55
10:59,2428,North Carolina Central Offensive Rebound.,54,55
10:55,2428,Patrick Cole made Jumper.,56,55
10:41,2428,Foul on Ron Trapps.,56,55
10:31,99,Craig Victor II made Layup.,56,57
10:04,2428,Ron Trapps missed Three Point Jumper.,56,57
10:04,99,Aaron Epps Defensive Rebound.,56,57
9:46,99,Foul on Antonio Blakeney.,56,57
9:46,99,Antonio Blakeney Turnover.,56,57
9:26,99,Foul on Aaron Epps.,56,57
9:26,2428,Patrick Cole made Free Throw.,57,57
9:26,2428,Patrick Cole made Free Throw.,58,57
9:12,99,Craig Victor II missed Layup.,58,57
9:12,2428,Will Ransom Block.,58,57
9:12,99,LSU Offensive Rebound.,58,57
9:01,99,Craig Victor II missed Jumper.,58,57
9:01,2428,Dajuan Graf Defensive Rebound.,58,57
8:49,2428,Dajuan Graf Turnover.,58,57
8:49,99,Brandon Sampson Steal.,58,57
8:45,99,Brandon Sampson made Layup.,58,59
8:31,2428,Patrick Cole Turnover.,58,59
8:09,99,Duop Reath missed Layup.,58,59
8:09,2428,Will Ransom Defensive Rebound.,58,59
7:56,2428,Pablo Rivas missed Three Point Jumper.,58,59
7:56,99,Jalyn Patterson Defensive Rebound.,58,59
7:44,99,Aaron Epps Turnover.,58,59
7:44,99,Official TV Timeout,58,59
7:29,2428,Dajuan Graf missed Jumper.,58,59
7:29,99,Antonio Blakeney Defensive Rebound.,58,59
7:26,2428,Foul on Patrick Cole.,58,59
7:26,99,Antonio Blakeney missed Free Throw.,58,59
7:26,2428,Pablo Rivas Defensive Rebound.,58,59
7:12,2428,Pablo Rivas Turnover.,58,59
7:12,99,Wayde Sims Steal.,58,59
7:05,99,Brandon Sampson made Three Point Jumper. Assisted by Antonio Blakeney.,58,62
6:40,2428,Patrick Cole missed Jumper.,58,62
6:40,99,Wayde Sims Block.,58,62
6:40,2428,North Carolina Central Offensive Rebound.,58,62
6:36,2428,Patrick Cole missed Three Point Jumper.,58,62
6:36,99,LSU Defensive Rebound.,58,62
6:14,2428,Foul on Ron Trapps.,58,62
6:14,99,Antonio Blakeney made Free Throw.,58,63
6:14,99,Antonio Blakeney missed Free Throw.,58,63
6:14,2428,Patrick Cole Defensive Rebound.,58,63
5:58,2428,Dajuan Graf made Three Point Jumper. Assisted by Patrick Cole.,61,63
5:55,2428,North Carolina Central  Timeout,61,63
5:41,99,Wayde Sims missed Layup.,61,63
5:41,99,Duop Reath Offensive Rebound.,61,63
5:28,99,Duop Reath missed Jumper.,61,63
5:28,2428,Will Ransom Block.,61,63
5:28,99,Duop Reath Offensive Rebound.,61,63
5:18,99,Duop Reath made Layup.,61,65
5:10,2428,Patrick Cole missed Layup.,61,65
5:10,2428,Will Ransom Offensive Rebound.,61,65
5:10,2428,Will Ransom made Two Point Tip Shot.,63,65
4:54,99,Antonio Blakeney missed Jumper.,63,65
4:54,2428,Dajuan Graf Defensive Rebound.,63,65
4:40,2428,Ron Trapps missed Three Point Jumper.,63,65
4:40,2428,Pablo Rivas Offensive Rebound.,63,65
4:25,2428,Pablo Rivas missed Jumper.,63,65
4:25,2428,Will Ransom Offensive Rebound.,63,65
4:25,2428,Will Ransom made Two Point Tip Shot.,65,65
4:12,99,Brandon Sampson missed Dunk.,65,65
4:12,2428,Ron Trapps Defensive Rebound.,65,65
4:04,2428,Patrick Cole Turnover.,65,65
4:04,99,Duop Reath Steal.,65,65
3:59,99,Antonio Blakeney made Layup.,65,67
3:32,2428,Patrick Cole missed Layup.,65,67
3:32,2428,Will Ransom Offensive Rebound.,65,67
3:23,2428,Dajuan Graf missed Three Point Jumper.,65,67
3:23,99,Duop Reath Defensive Rebound.,65,67
3:20,99,Jalyn Patterson Turnover.,65,67
3:20,99,Official TV Timeout,65,67
3:04,99,Foul on Craig Victor II.,65,67
3:04,2428,Patrick Cole made Free Throw.,66,67
3:04,2428,Patrick Cole missed Free Throw.,66,67
3:04,99,Craig Victor II Defensive Rebound.,66,67
2:42,99,Antonio Blakeney made Jumper. Assisted by Jalyn Patterson.,66,69
2:13,2428,Patrick Cole missed Three Point Jumper.,66,69
2:13,2428,Dajuan Graf Offensive Rebound.,66,69
2:11,99,Foul on Jalyn Patterson.,66,69
2:11,2428,Dajuan Graf missed Free Throw.,66,69
2:11,99,Antonio Blakeney Defensive Rebound.,66,69
1:57,99,Jalyn Patterson missed Three Point Jumper.,66,69
1:57,99,LSU Offensive Rebound.,66,69
1:43,99,Jalyn Patterson Turnover.,66,69
1:20,2428,Patrick Cole missed Three Point Jumper.,66,69
1:20,99,Craig Victor II Defensive Rebound.,66,69
1:19,2428,Foul on Will Ransom.,66,69
1:19,99,Craig Victor II missed Free Throw.,66,69
1:19,2428,Will Ransom Defensive Rebound.,66,69
1:14,2428,North Carolina Central  Timeout,66,69
0:55,2428,Rashaun Madison missed Three Point Jumper.,66,69
0:55,99,Antonio Blakeney Defensive Rebound.,66,69
0:25,99,Jalyn Patterson Turnover.,66,69
0:25,2428,Ron Trapps Steal.,66,69
0:17,2428,Ron Trapps missed Three Point Jumper.,66,69
0:17,2428,North Carolina Central Offensive Rebound.,66,69
0:11,2428,Patrick Cole missed Three Point Jumper.,66,69
0:11,99,Brandon Sampson Block.,66,69
0:11,2428,North Carolina Central Offensive Rebound.,66,69
0:10,2428,Patrick Cole Turnover.,66,69
0:10,2428,Foul on Rashaun Madison.,66,69
0:10,99,Brandon Sampson made Free Throw.,66,70
0:10,99,Brandon Sampson missed Free Throw.,66,70
0:10,2428,Patrick Cole Defensive Rebound.,66,70
0:03,99,Foul on Duop Reath.,66,70
0:03,2428,Patrick Cole missed Free Throw.,66,70
0:03,2428,North Carolina Central Deadball Team Rebound.,66,70
0:03,2428,Patrick Cole missed Free Throw.,66,70
0:03,2428,North Carolina Central Offensive Rebound.,66,70
0:00,99,End of Game,66,70
