Bethesda,Error,CSU Bakersfield,2934
13:56,-1,Robert Bush made Three Point Jumper.,10,18
13:44,2934,Damiyne Durham missed Jumper.,10,18
13:44,2934,Shon Briggs Offensive Rebound.,10,18
13:39,-1,Foul on Khalfani Williams.,10,18
13:39,2934,Shon Briggs missed Free Throw.,10,18
13:39,2934,CSU Bakersfield Deadball Team Rebound.,10,18
13:39,2934,Shon Briggs made Free Throw.,10,19
13:26,-1,Alex Smith missed Three Point Jumper.,10,19
13:26,2934,Foul on Fallou Ndoye.,10,19
13:26,-1,Bethesda University Offensive Rebound.,10,19
13:25,-1,Jarrell Tate missed Jumper.,10,19
13:25,2934,Fallou Ndoye Block.,10,19
13:25,2934,Fallou Ndoye Defensive Rebound.,10,19
13:23,2934,Damiyne Durham Turnover.,10,19
13:21,-1,Jarrell Tate Steal.,10,19
13:19,2934,Foul on Justin Pride.,10,19
13:13,-1,Khalfani Williams missed Jumper.,10,19
13:13,2934,Damiyne Durham Defensive Rebound.,10,19
13:05,2934,Fallou Ndoye Turnover.,10,19
13:05,2934,Foul on Fallou Ndoye.,10,19
12:44,-1,Buddha Boyd made Layup. Assisted by Robert Bush.,12,19
12:22,2934,Damiyne Durham made Jumper. Assisted by James Suber.,12,21
12:03,-1,Jarrell Tate missed Layup.,12,21
12:03,-1,Khalfani Williams Offensive Rebound.,12,21
11:59,2934,Foul on Jaylin Airington.,12,21
11:59,2934,Official TV Timeout,12,21
11:59,-1,Khalfani Williams made Free Throw.,13,21
11:59,-1,Khalfani Williams made Free Throw.,14,21
11:43,2934,Damiyne Durham made Three Point Jumper. Assisted by Brent Wrapp.,14,24
11:21,-1,Alex Smith missed Three Point Jumper.,14,24
11:21,2934,James Suber Defensive Rebound.,14,24
11:12,2934,James Suber Turnover.,14,24
11:12,-1,Buddha Boyd Steal.,14,24
11:11,-1,Buddha Boyd made Three Point Jumper.,17,24
10:59,2934,Damiyne Durham made Three Point Jumper. Assisted by Dedrick Basile.,17,27
10:40,2934,Foul on Brent Wrapp.,17,27
10:38,-1,Robert Bush made Three Point Jumper. Assisted by Jarrell Tate.,20,27
10:11,2934,Dedrick Basile made Three Point Jumper. Assisted by Brent Wrapp.,20,30
9:57,-1,Buddha Boyd Turnover.,20,30
9:57,-1,Foul on Buddha Boyd.,20,30
9:37,2934,Jaylin Airington made Dunk. Assisted by Dedrick Basile.,20,32
9:37,-1,Foul on Khalfani Williams.,20,32
9:37,2934,Jaylin Airington missed Free Throw.,20,32
9:37,-1,Jarrell Tate Defensive Rebound.,20,32
9:29,2934,Foul on Dedrick Basile.,20,32
9:29,-1,Robert Bush made Free Throw.,21,32
9:29,-1,Robert Bush made Free Throw.,22,32
9:07,2934,Taze Moore Turnover.,22,32
8:54,-1,Robert Bush made Three Point Jumper. Assisted by Jarrell Tate.,25,32
8:37,2934,Jaylin Airington missed Three Point Jumper.,25,32
8:37,2934,Moataz Aly Offensive Rebound.,25,32
8:33,2934,Damiyne Durham made Three Point Jumper. Assisted by Moataz Aly.,25,35
8:13,-1,Jarrell Tate Turnover.,25,35
8:13,-1,Foul on Jarrell Tate.,25,35
8:08,2934,Damiyne Durham missed Three Point Jumper.,25,35
8:08,-1,Bethesda University Defensive Rebound.,25,35
7:42,-1,Jarrell Tate made Three Point Jumper. Assisted by Buddha Boyd.,28,35
7:24,2934,Moataz Aly Turnover.,28,35
7:24,2934,Official TV Timeout,28,35
7:07,2934,Foul on Shon Briggs.,28,35
7:07,-1,Gabriel Adersteg made Free Throw.,29,35
7:07,-1,Gabriel Adersteg made Free Throw.,30,35
6:54,2934,Dedrick Basile made Three Point Jumper. Assisted by Shon Briggs.,30,38
6:34,-1,Buddha Boyd made Three Point Jumper. Assisted by CJ Johnson.,33,38
6:12,2934,Dedrick Basile missed Three Point Jumper.,33,38
6:12,-1,CJ Johnson Defensive Rebound.,33,38
6:02,-1,CJ Johnson missed Three Point Jumper.,33,38
6:02,-1,Bethesda University Offensive Rebound.,33,38
5:58,-1,Jarrell Tate missed Jumper.,33,38
5:58,2934,Shon Briggs Defensive Rebound.,33,38
5:46,2934,Shon Briggs missed Layup.,33,38
5:46,2934,Jaylin Airington Offensive Rebound.,33,38
5:33,-1,Foul on Buddha Boyd.,33,38
5:33,2934,Jaylin Airington made Free Throw.,33,39
5:33,2934,Jaylin Airington made Free Throw.,33,40
5:24,-1,Jarrell Tate Turnover.,33,40
5:01,2934,Jaylin Airington missed Layup.,33,40
5:01,2934,Shon Briggs Offensive Rebound.,33,40
4:50,2934,Brent Wrapp missed Three Point Jumper.,33,40
4:50,2934,Justin Pride Offensive Rebound.,33,40
4:29,2934,Jaylin Airington Turnover.,33,40
4:23,-1,Jarrell Tate Turnover.,33,40
4:23,-1,Foul on Jarrell Tate.,33,40
4:10,2934,Fallou Ndoye missed Layup.,33,40
4:10,-1,Jordan Watson Defensive Rebound.,33,40
3:48,-1,Gabriel Adersteg Turnover.,33,40
3:48,2934,Official TV Timeout,33,40
3:29,2934,Shon Briggs Turnover.,33,40
3:23,-1,Eddie LaTorre made Three Point Jumper. Assisted by CJ Johnson.,36,40
3:08,2934,Dedrick Basile made Three Point Jumper. Assisted by Shon Briggs.,36,43
3:02,-1,Travis Divita Turnover.,36,43
3:02,2934,Dedrick Basile made Three Point Jumper. Assisted by Justin Pride.,36,46
2:23,-1,Travis Divita Turnover.,36,46
2:22,2934,Jaylin Airington Steal.,36,46
2:20,2934,Dedrick Basile made Layup. Assisted by Jaylin Airington.,36,48
2:17,-1,Bethesda University  Timeout,36,48
2:01,-1,Travis Divita missed Three Point Jumper.,36,48
2:01,2934,Justin Pride Defensive Rebound.,36,48
1:52,2934,Dedrick Basile missed Three Point Jumper.,36,48
1:52,-1,Jordan Watson Defensive Rebound.,36,48
1:43,-1,Eddie LaTorre Turnover.,36,48
1:42,2934,Dedrick Basile Steal.,36,48
1:41,-1,Foul on Eddie LaTorre.,36,48
1:41,2934,Dedrick Basile made Free Throw.,36,49
1:41,2934,Dedrick Basile made Free Throw.,36,50
1:33,-1,CJ Johnson missed Three Point Jumper.,36,50
1:33,2934,Jaylin Airington Defensive Rebound.,36,50
1:30,-1,Foul on Jordan Watson.,36,50
1:30,2934,Jaylin Airington missed Free Throw.,36,50
1:30,2934,CSU Bakersfield Deadball Team Rebound.,36,50
1:30,2934,Jaylin Airington made Free Throw.,36,51
1:20,-1,Alex Reynolds Turnover.,36,51
1:19,2934,Taze Moore Steal.,36,51
1:14,2934,Dedrick Basile made Three Point Jumper. Assisted by Taze Moore.,36,54
1:03,-1,Eddie LaTorre missed Jumper.,36,54
1:03,2934,Shon Briggs Defensive Rebound.,36,54
0:54,2934,Taze Moore made Layup.,36,56
0:39,-1,Buddha Boyd Turnover.,36,56
0:39,2934,Taze Moore Steal.,36,56
0:35,2934,Jaylin Airington made Dunk. Assisted by Dedrick Basile.,36,58
0:13,2934,Foul on Justin Pride.,36,58
0:13,-1,Buddha Boyd missed Free Throw.,36,58
0:13,2934,Shon Briggs Defensive Rebound.,36,58
0:02,2934,Dedrick Basile made Layup.,36,60
0:00,2934,End of 1st half,36,60
19:45,2934,Shon Briggs missed Jumper.,36,60
19:45,-1,Alex Smith Defensive Rebound.,36,60
19:36,-1,Jarrell Tate made Three Point Jumper.,39,60
19:14,2934,Dedrick Basile made Three Point Jumper. Assisted by Brent Wrapp.,39,63
19:04,-1,Dock Gooch made Three Point Jumper. Assisted by Jarrell Tate.,42,63
18:32,2934,Dedrick Basile made Layup. Assisted by Brent Wrapp.,42,65
18:17,-1,Alex Smith missed Three Point Jumper.,42,65
18:17,2934,Jaylin Airington Defensive Rebound.,42,65
17:48,2934,Dedrick Basile missed Three Point Jumper.,42,65
17:48,-1,Eddie LaTorre Defensive Rebound.,42,65
17:45,2934,Foul on James Suber.,42,65
17:24,-1,Alex Smith missed Jumper.,42,65
17:24,2934,Jaylin Airington Defensive Rebound.,42,65
16:56,2934,Jaylin Airington missed Jumper.,42,65
16:56,-1,Dock Gooch Defensive Rebound.,42,65
16:50,-1,Jarrell Tate missed Three Point Jumper.,42,65
16:50,2934,Jaylin Airington Defensive Rebound.,42,65
16:40,2934,Shon Briggs Turnover.,42,65
16:39,-1,Jarrell Tate Steal.,42,65
16:36,2934,Foul on Brent Wrapp.,42,65
16:36,-1,Jarrell Tate missed Free Throw.,42,65
16:36,-1,Bethesda University Deadball Team Rebound.,42,65
16:36,-1,Jarrell Tate missed Free Throw.,42,65
16:36,2934,Shon Briggs Defensive Rebound.,42,65
16:17,2934,Shon Briggs made Jumper.,42,67
16:04,2934,Foul on Taze Moore.,42,67
15:56,-1,Lawrence Weatherall made Layup. Assisted by Jarrell Tate.,44,67
15:40,2934,Shon Briggs missed Jumper.,44,67
15:40,-1,Buddha Boyd Defensive Rebound.,44,67
15:34,-1,Buddha Boyd made Three Point Jumper.,47,67
15:16,2934,Fallou Ndoye made Layup. Assisted by Taze Moore.,47,69
15:16,-1,Foul on Dock Gooch.,47,69
15:16,2934,Official TV Timeout,47,69
15:16,2934,Fallou Ndoye missed Free Throw.,47,69
15:16,2934,Damiyne Durham Offensive Rebound.,47,69
15:07,2934,Taze Moore missed Three Point Jumper.,47,69
15:07,2934,Fallou Ndoye Offensive Rebound.,47,69
15:03,2934,Fallou Ndoye made Two Point Tip Shot.,47,71
14:43,-1,Dock Gooch made Three Point Jumper.,50,71
14:25,-1,Foul on Dock Gooch.,50,71
14:17,2934,Damiyne Durham missed Three Point Jumper.,50,71
14:17,2934,Fallou Ndoye Offensive Rebound.,50,71
14:12,2934,Fallou Ndoye missed Jumper.,50,71
14:12,-1,Lawrence Weatherall Block.,50,71
14:12,-1,Lawrence Weatherall Defensive Rebound.,50,71
14:03,-1,Jarrell Tate Turnover.,50,71
14:02,2934,Justin Pride Steal.,50,71
13:58,2934,Damiyne Durham made Dunk. Assisted by Shon Briggs.,50,73
13:50,-1,Lawrence Weatherall Turnover.,50,73
13:49,2934,Taze Moore Steal.,50,73
13:48,2934,Damiyne Durham Turnover.,50,73
13:47,-1,Khalfani Williams Steal.,50,73
13:38,-1,Alex Smith made Three Point Jumper. Assisted by Jarrell Tate.,53,73
13:21,2934,Damiyne Durham made Layup.,53,75
13:14,-1,Alex Smith missed Three Point Jumper.,53,75
13:14,-1,Bethesda University Offensive Rebound.,53,75
13:04,2934,Foul on Justin Pride.,53,75
12:55,-1,Jarrell Tate missed Three Point Jumper.,53,75
12:55,2934,CSU Bakersfield Defensive Rebound.,53,75
12:39,2934,Damiyne Durham made Three Point Jumper. Assisted by Shon Briggs.,53,78
12:33,2934,Foul on Taze Moore.,53,78
12:16,-1,Lawrence Weatherall made Three Point Jumper. Assisted by Jarrell Tate.,56,78
11:50,2934,Fallou Ndoye made Jumper. Assisted by Jaylin Airington.,56,80
11:35,2934,Foul on Shon Briggs.,56,80
11:35,2934,Official TV Timeout,56,80
11:35,-1,Jarrell Tate made Free Throw.,57,80
11:35,-1,Jarrell Tate missed Free Throw.,57,80
11:35,2934,Fallou Ndoye Defensive Rebound.,57,80
11:22,2934,Fallou Ndoye Turnover.,57,80
11:22,2934,Foul on Fallou Ndoye.,57,80
11:13,-1,Robert Bush missed Three Point Jumper.,57,80
11:13,2934,Damiyne Durham Defensive Rebound.,57,80
11:00,2934,Damiyne Durham missed Three Point Jumper.,57,80
11:00,-1,Khalfani Williams Defensive Rebound.,57,80
10:52,-1,Robert Bush Turnover.,57,80
10:52,-1,Foul on Robert Bush.,57,80
10:39,2934,Brent Wrapp made Jumper.,57,82
10:30,-1,Lawrence Weatherall missed Three Point Jumper.,57,82
10:30,2934,Jaylin Airington Defensive Rebound.,57,82
10:09,2934,Fallou Ndoye Turnover.,57,82
9:54,2934,Foul on James Suber.,57,82
9:54,-1,Khalfani Williams missed Free Throw.,57,82
9:54,-1,Bethesda University Deadball Team Rebound.,57,82
9:54,-1,Khalfani Williams missed Free Throw.,57,82
9:54,2934,Dedrick Basile Defensive Rebound.,57,82
9:38,2934,Damiyne Durham Turnover.,57,82
9:32,-1,Jarrell Tate made Layup.,59,82
9:04,2934,Dedrick Basile missed Three Point Jumper.,59,82
9:04,2934,Damiyne Durham Offensive Rebound.,59,82
8:54,2934,Damiyne Durham missed Three Point Jumper.,59,82
8:54,2934,James Suber Offensive Rebound.,59,82
8:50,2934,James Suber missed Two Point Tip Shot.,59,82
8:50,-1,Khalfani Williams Block.,59,82
8:49,2934,James Suber Offensive Rebound.,59,82
8:47,-1,Foul on Robert Bush.,59,82
8:45,-1,Bethesda University  Timeout,59,82
8:45,2934,Damiyne Durham missed Three Point Jumper.,59,82
8:45,2934,James Suber Offensive Rebound.,59,82
8:38,2934,Bray Barnes made Layup. Assisted by James Suber.,59,84
8:22,2934,Foul on Bray Barnes.,59,84
8:22,-1,Khalfani Williams made Free Throw.,60,84
8:22,-1,Khalfani Williams made Free Throw.,61,84
7:50,2934,Brent Wrapp missed Three Point Jumper.,61,84
7:50,2934,CSU Bakersfield Offensive Rebound.,61,84
7:50,2934,Damiyne Durham missed Three Point Jumper.,61,84
7:50,-1,Jarrell Tate Defensive Rebound.,61,84
7:27,-1,Jordan Watson missed Layup.,61,84
7:27,2934,Dedrick Basile Defensive Rebound.,61,84
7:21,2934,Dedrick Basile missed Layup.,61,84
7:21,2934,James Suber Offensive Rebound.,61,84
7:17,2934,James Suber made Two Point Tip Shot.,61,86
7:09,-1,Jarrell Tate Turnover.,61,86
7:08,2934,James Suber Steal.,61,86
7:06,2934,Damiyne Durham Turnover.,61,86
7:06,-1,Lawrence Weatherall Steal.,61,86
7:02,-1,Jarrell Tate made Dunk. Assisted by Lawrence Weatherall.,63,86
6:37,2934,Damiyne Durham Turnover.,63,86
6:21,-1,Buddha Boyd missed Jumper.,63,86
6:21,2934,James Suber Defensive Rebound.,63,86
6:13,2934,Taze Moore Turnover.,63,86
6:11,-1,Jordan Watson Steal.,63,86
6:05,2934,Foul on Brent Wrapp.,63,86
6:05,-1,Jarrell Tate made Free Throw.,64,86
6:05,-1,Jarrell Tate made Free Throw.,65,86
5:45,2934,Brent Wrapp Turnover.,65,86
5:30,-1,Jordan Watson Turnover.,65,86
5:29,2934,Shon Briggs Steal.,65,86
5:26,2934,Dedrick Basile made Layup.,65,88
5:19,-1,Jordan Watson missed Layup.,65,88
5:19,2934,James Suber Defensive Rebound.,65,88
5:12,2934,Dedrick Basile missed Three Point Jumper.,65,88
5:12,-1,Bethesda University Defensive Rebound.,65,88
4:50,-1,CJ Johnson missed Layup.,65,88
4:50,2934,James Suber Defensive Rebound.,65,88
4:48,-1,Foul on CJ Johnson.,65,88
4:34,2934,Justin Pride made Layup.,65,90
4:25,-1,Gabriel Adersteg missed Three Point Jumper.,65,90
4:25,2934,Justin Pride Defensive Rebound.,65,90
4:15,2934,Shon Briggs made Layup. Assisted by Dedrick Basile.,65,92
4:05,-1,Bethesda University  Timeout,65,92
3:58,-1,Eddie LaTorre missed Three Point Jumper.,65,92
3:58,-1,CJ Johnson Offensive Rebound.,65,92
3:55,-1,CJ Johnson missed Two Point Tip Shot.,65,92
3:55,2934,Taze Moore Defensive Rebound.,65,92
3:50,2934,Justin Pride Turnover.,65,92
3:40,-1,Buddha Boyd made Three Point Jumper. Assisted by Jarrell Tate.,68,92
3:30,2934,Moataz Aly made Dunk. Assisted by Taze Moore.,68,94
3:22,-1,Eddie LaTorre missed Layup.,68,94
3:22,2934,Moataz Aly Block.,68,94
3:19,2934,Moataz Aly Defensive Rebound.,68,94
3:16,-1,Foul on Jarrell Tate.,68,94
3:05,2934,Justin Pride missed Jumper.,68,94
3:05,2934,Fallou Ndoye Offensive Rebound.,68,94
3:01,-1,Foul on Alex Reynolds.,68,94
3:01,2934,Fallou Ndoye missed Free Throw.,68,94
3:01,-1,Buddha Boyd Defensive Rebound.,68,94
2:59,-1,Buddha Boyd Turnover.,68,94
2:59,2934,Justin Pride Steal.,68,94
2:48,2934,Fallou Ndoye missed Jumper.,68,94
2:48,-1,Buddha Boyd Defensive Rebound.,68,94
2:46,2934,Foul on Moataz Aly.,68,94
2:46,-1,Buddha Boyd made Free Throw.,69,94
2:46,-1,Buddha Boyd made Free Throw.,70,94
2:11,2934,Bray Barnes Turnover.,70,94
2:11,2934,Foul on Bray Barnes.,70,94
2:06,2934,Foul on Fallou Ndoye.,70,94
2:06,2934,Foul on Bray Barnes.,70,94
2:06,-1,Alex Reynolds made Free Throw.,71,94
2:06,-1,Eddie LaTorre made Free Throw.,72,94
2:06,-1,Eddie LaTorre missed Free Throw.,72,94
2:06,-1,Buddha Boyd missed Three Point Jumper.,72,94
2:06,-1,Eddie LaTorre Offensive Rebound.,72,94
2:06,-1,Alex Reynolds Offensive Rebound.,72,94
2:06,-1,Alex Reynolds missed Free Throw.,72,94
2:06,2934,Bray Barnes Defensive Rebound.,72,94
2:06,2934,Foul on Fallou Ndoye.,72,94
1:50,2934,Jaylin Airington missed Jumper.,72,94
1:50,2934,Fallou Ndoye Offensive Rebound.,72,94
1:37,2934,Fallou Ndoye made Free Throw.,72,95
1:37,2934,Fallou Ndoye made Free Throw.,72,96
1:25,-1,Alex Reynolds missed Jumper.,72,96
1:25,2934,Bray Barnes Defensive Rebound.,72,96
1:25,-1,Foul on CJ Johnson.,72,96
1:25,2934,Bray Barnes made Free Throw.,72,97
1:25,2934,Bray Barnes missed Free Throw.,72,97
1:25,-1,Eddie LaTorre Defensive Rebound.,72,97
1:18,-1,Jarrell Tate made Three Point Jumper. Assisted by Alex Reynolds.,75,97
1:08,-1,Foul on Buddha Boyd.,75,97
1:08,-1,Bethesda University  Timeout,75,97
1:08,2934,Taze Moore made Free Throw.,75,98
1:08,2934,Taze Moore made Free Throw.,75,99
1:02,-1,Alex Reynolds missed Three Point Jumper.,75,99
1:02,2934,Fallou Ndoye Defensive Rebound.,75,99
0:53,-1,Foul on Eddie LaTorre.,75,99
0:53,2934,Jaylin Airington made Free Throw.,75,100
0:53,2934,Jaylin Airington made Free Throw.,75,101
0:46,-1,Alex Reynolds made Three Point Jumper. Assisted by Jarrell Tate.,78,101
0:35,-1,Foul on Eddie LaTorre.,78,101
0:35,2934,Jaylin Airington missed Free Throw.,78,101
0:35,2934,CSU Bakersfield Deadball Team Rebound.,78,101
0:35,2934,Jaylin Airington made Free Throw.,78,102
0:26,-1,Jarrell Tate missed Jumper.,78,102
0:26,2934,Fallou Ndoye Defensive Rebound.,78,102
0:24,-1,Foul on CJ Johnson.,78,102
0:24,2934,Fallou Ndoye made Free Throw.,78,103
0:24,2934,Fallou Ndoye made Free Throw.,78,104
0:16,-1,Alex Reynolds missed Three Point Jumper.,78,104
0:16,2934,Fallou Ndoye Defensive Rebound.,78,104
0:15,-1,Foul on Buddha Boyd.,78,104
0:15,2934,Fallou Ndoye missed Free Throw.,78,104
0:15,2934,CSU Bakersfield Deadball Team Rebound.,78,104
0:15,2934,Fallou Ndoye missed Free Throw.,78,104
0:15,2934,Bray Barnes Offensive Rebound.,78,104
0:09,-1,Foul on CJ Johnson.,78,104
0:08,2934,Taze Moore made Free Throw.,78,105
0:08,2934,Taze Moore missed Free Throw.,78,105
0:08,2934,Moataz Aly Offensive Rebound.,78,105
0:00,2934,End of Game,78,105
