Charleston,151,East Carolina,232
7:21,232,Cameron Johnson made Three Point Jumper. Assisted by Joe Chealey.,13,5
6:52,232,Foul on Evan Bailey.,13,5
6:47,151,Deng Riak Turnover.,13,5
6:46,232,Cameron Johnson Steal.,13,5
6:43,232,Cameron Johnson missed Layup.,13,5
6:43,151,Jeremy Sheppard Defensive Rebound.,13,5
6:36,151,B.J. Tyson missed Layup.,13,5
6:36,232,Nick Harris Defensive Rebound.,13,5
6:26,232,Joe Chealey missed Layup.,13,5
6:26,151,B.J. Tyson Block.,13,5
6:25,151,East Carolina Defensive Rebound.,13,5
6:13,151,B.J. Tyson Turnover.,13,5
6:12,232,Cameron Johnson Steal.,13,5
5:53,232,Cameron Johnson made Jumper.,15,5
5:30,151,Kentrell Barkley missed Three Point Jumper.,15,5
5:30,232,Nick Harris Defensive Rebound.,15,5
5:18,232,Evan Bailey missed Three Point Jumper.,15,5
5:18,232,Nick Harris Offensive Rebound.,15,5
4:56,232,Grant Riller missed Three Point Jumper.,15,5
4:56,151,Jeremy Sheppard Defensive Rebound.,15,5
4:45,151,Andre Washington missed Jumper.,15,5
4:45,232,Nick Harris Defensive Rebound.,15,5
4:35,232,Joe Chealey missed Layup.,15,5
4:35,232,Nick Harris Offensive Rebound.,15,5
4:33,151,Foul on Andre Washington.,15,5
4:11,232,Grant Riller made Jumper.,17,5
3:59,151,B.J. Tyson Turnover.,17,5
3:57,232,Joe Chealey Steal.,17,5
3:55,232,Foul on Grant Riller.,17,5
3:55,232,Grant Riller Turnover.,17,5
3:55,151,Official TV Timeout,17,5
3:27,151,Andre Washington made Jumper. Assisted by Jeremy Sheppard.,17,7
3:05,232,Cameron Johnson missed Jumper.,17,7
3:05,232,Nick Harris Offensive Rebound.,17,7
2:59,232,Jarrell Brantley missed Layup.,17,7
2:59,232,Jarrell Brantley Offensive Rebound.,17,7
2:56,232,Jarrell Brantley missed Jumper.,17,7
2:56,232,Nick Harris Offensive Rebound.,17,7
2:52,232,Nick Harris made Jumper.,19,7
2:36,151,Michel Nzege Turnover.,19,7
2:21,232,Jarrell Brantley missed Jumper.,19,7
2:21,232,Marquise Pointer Offensive Rebound.,19,7
2:19,232,Marquise Pointer made Jumper.,21,7
2:09,151,Caleb White missed Three Point Jumper.,21,7
2:09,151,Jeremy Sheppard Offensive Rebound.,21,7
2:06,151,Jeremy Sheppard missed Jumper.,21,7
2:06,151,Andre Washington Offensive Rebound.,21,7
1:48,151,Caleb White made Three Point Jumper. Assisted by Jeremy Sheppard.,21,10
1:30,232,Nick Harris made Dunk. Assisted by Joe Chealey.,23,10
1:05,151,Clarence Williams missed Layup.,23,10
1:05,232,Cameron Johnson Defensive Rebound.,23,10
0:56,151,Foul on Clarence Williams.,23,10
0:52,232,Nick Harris Turnover.,23,10
0:52,151,Clarence Williams Steal.,23,10
0:31,151,Clarence Williams Turnover.,23,10
0:30,232,Nick Harris Steal.,23,10
0:05,232,Joe Chealey missed Layup.,23,10
0:05,151,Andre Washington Defensive Rebound.,23,10
0:01,151,Caleb White made Three Point Jumper. Assisted by Jeremy Sheppard.,23,13
0:00,151,End of 1st half,23,13
19:45,151,B.J. Tyson missed Layup.,23,13
19:45,232,Cameron Johnson Defensive Rebound.,23,13
19:23,232,Cameron Johnson missed Layup.,23,13
19:23,232,Nick Harris Offensive Rebound.,23,13
19:19,232,Nick Harris made Two Point Tip Shot.,25,13
18:58,151,Andre Washington missed Jumper.,25,13
18:58,232,Cameron Johnson Defensive Rebound.,25,13
18:51,232,Jarrell Brantley made Three Point Jumper. Assisted by Joe Chealey.,28,13
18:32,151,Clarence Williams missed Jumper.,28,13
18:32,232,Joe Chealey Defensive Rebound.,28,13
18:15,232,Jarrell Brantley made Layup.,30,13
18:12,151,East Carolina  Timeout,30,13
17:55,151,B.J. Tyson Turnover.,30,13
17:39,232,Jarrell Brantley missed Jumper.,30,13
17:39,151,Andre Washington Defensive Rebound.,30,13
17:30,151,Caleb White missed Three Point Jumper.,30,13
17:30,232,Cameron Johnson Defensive Rebound.,30,13
17:18,151,Foul on Kentrell Barkley.,30,13
17:17,232,Joe Chealey made Free Throw.,31,13
17:17,232,Joe Chealey made Free Throw.,32,13
17:01,151,B.J. Tyson missed Three Point Jumper.,32,13
17:01,232,Joe Chealey Defensive Rebound.,32,13
16:51,232,Cameron Johnson missed Three Point Jumper.,32,13
16:51,151,Andre Washington Defensive Rebound.,32,13
16:42,151,Jeremy Sheppard missed Jumper.,32,13
16:42,151,Andre Washington Offensive Rebound.,32,13
16:27,151,Foul on Jeremy Sheppard.,32,13
16:27,151,Jeremy Sheppard Turnover.,32,13
16:17,232,Cameron Johnson made Three Point Jumper. Assisted by Joe Chealey.,35,13
15:47,151,B.J. Tyson missed Layup.,35,13
15:47,232,Nick Harris Defensive Rebound.,35,13
15:34,232,Nick Harris missed Layup.,35,13
15:33,151,Caleb White Block.,35,13
15:32,151,Andre Washington Defensive Rebound.,35,13
15:27,232,Foul on Joe Chealey.,35,13
15:27,151,Official TV Timeout,35,13
15:27,151,Caleb White missed Jumper.,35,13
15:27,151,East Carolina Offensive Rebound.,35,13
15:06,151,Jeremy Sheppard missed Three Point Jumper.,35,13
15:06,232,Marquise Pointer Block.,35,13
15:03,232,Cameron Johnson Defensive Rebound.,35,13
14:44,232,Joe Chealey missed Jumper.,35,13
14:44,151,Kentrell Barkley Defensive Rebound.,35,13
14:35,151,Kentrell Barkley missed Jumper.,35,13
14:35,232,Joe Chealey Defensive Rebound.,35,13
14:26,232,Joe Chealey made Three Point Jumper. Assisted by Marquise Pointer.,38,13
14:04,151,B.J. Tyson missed Jumper.,38,13
14:04,232,Jarrell Brantley Defensive Rebound.,38,13
13:42,232,Joe Chealey missed Three Point Jumper.,38,13
13:42,232,Chevez Goodwin Offensive Rebound.,38,13
13:36,232,Jarrell Brantley made Layup. Assisted by Chevez Goodwin.,40,13
13:34,151,East Carolina  Timeout,40,13
13:12,151,Caleb White missed Three Point Jumper.,40,13
13:12,232,Marquise Pointer Defensive Rebound.,40,13
13:04,151,Foul on Michel Nzege.,40,13
13:04,232,Joe Chealey made Free Throw.,41,13
13:04,232,Joe Chealey made Free Throw.,42,13
12:44,232,Foul on Chevez Goodwin.,42,13
12:34,151,Jeremy Sheppard made Layup.,42,15
12:34,232,Foul on Evan Bailey.,42,15
12:34,151,Jeremy Sheppard made Free Throw.,42,16
12:19,232,Marquise Pointer missed Jumper.,42,16
12:19,151,Deng Riak Defensive Rebound.,42,16
12:11,151,Foul on Jeremy Sheppard.,42,16
12:11,151,Jeremy Sheppard Turnover.,42,16
11:49,151,Foul on Andre Washington.,42,16
11:49,151,Official TV Timeout,42,16
11:40,232,Jarrell Brantley missed Layup.,42,16
11:40,232,Chevez Goodwin Offensive Rebound.,42,16
11:39,151,Foul on Elijah Hughes.,42,16
11:22,232,Jarrell Brantley missed Jumper.,42,16
11:22,151,Andre Washington Defensive Rebound.,42,16
11:09,151,Jeremy Sheppard made Layup.,42,18
10:41,232,Foul on Evan Bailey.,42,18
10:41,232,Evan Bailey Turnover.,42,18
10:24,151,Elijah Hughes missed Three Point Jumper.,42,18
10:24,232,Chevez Goodwin Defensive Rebound.,42,18
10:02,232,Evan Bailey missed Three Point Jumper.,42,18
10:02,151,Deng Riak Defensive Rebound.,42,18
9:50,151,Jeremy Sheppard made Layup.,42,20
9:31,232,Jarrell Brantley missed Jumper.,42,20
9:31,151,Deng Riak Defensive Rebound.,42,20
9:11,232,Foul on Chevez Goodwin.,42,20
8:56,151,Jeremy Sheppard missed Jumper.,42,20
8:56,151,Andre Washington Offensive Rebound.,42,20
8:53,151,Andre Washington made Jumper.,42,22
8:48,232,Foul on Joe Chealey.,42,22
8:48,232,Joe Chealey Turnover.,42,22
8:43,232,Foul on Grant Riller.,42,22
8:43,151,Caleb White made Free Throw.,42,23
8:43,151,Caleb White missed Free Throw.,42,23
8:43,151,East Carolina Deadball Team Rebound.,42,23
8:43,151,Caleb White made Free Throw.,42,24
8:24,232,Joe Chealey missed Jumper.,42,24
8:24,232,Nick Harris Offensive Rebound.,42,24
8:20,232,Nick Harris missed Jumper.,42,24
8:20,151,Andre Washington Block.,42,24
8:19,151,Andre Washington Defensive Rebound.,42,24
8:13,151,Jeremy Sheppard missed Layup.,42,24
8:13,151,Andre Washington Offensive Rebound.,42,24
8:10,151,Andre Washington made Jumper.,42,26
7:56,232,Charleston  Timeout,42,26
7:38,232,Joe Chealey made Layup.,44,26
7:22,151,Andre Washington made Jumper. Assisted by Jeremy Sheppard.,44,28
6:58,232,Jaylen McManus missed Three Point Jumper.,44,28
6:58,151,Andre Washington Defensive Rebound.,44,28
6:38,151,Jeremy Sheppard made Jumper.,44,30
6:06,232,Joe Chealey missed Jumper.,44,30
6:06,151,Andre Washington Block.,44,30
6:03,232,Joe Chealey Offensive Rebound.,44,30
6:03,232,Charleston  Turnover.,44,30
5:42,151,Andre Washington Turnover.,44,30
5:18,232,Jarrell Brantley made Layup. Assisted by Marquise Pointer.,46,30
5:07,232,Foul on Marquise Pointer.,46,30
5:07,151,Jeremy Sheppard made Free Throw.,46,31
5:07,151,Jeremy Sheppard made Free Throw.,46,32
5:03,232,Nick Harris Turnover.,46,32
4:56,151,Andre Washington Turnover.,46,32
4:31,232,Jarrell Brantley missed Three Point Jumper.,46,32
4:31,232,Nick Harris Offensive Rebound.,46,32
4:15,232,Joe Chealey missed Layup.,46,32
4:15,151,Caleb White Block.,46,32
4:14,232,Charleston Offensive Rebound.,46,32
4:07,232,Marquise Pointer missed Jumper.,46,32
4:07,151,Elijah Hughes Defensive Rebound.,46,32
3:42,232,Foul on Cameron Johnson.,46,32
3:42,151,Official TV Timeout,46,32
3:42,151,Caleb White made Free Throw.,46,33
3:42,151,Caleb White made Free Throw.,46,34
3:15,232,Cameron Johnson missed Three Point Jumper.,46,34
3:15,151,Elijah Hughes Defensive Rebound.,46,34
2:50,232,Foul on Marquise Pointer.,46,34
2:50,151,Elijah Hughes missed Free Throw.,46,34
2:50,151,East Carolina Deadball Team Rebound.,46,34
2:50,151,Elijah Hughes made Free Throw.,46,35
2:46,151,Foul on Deng Riak.,46,35
2:46,232,Joe Chealey made Free Throw.,47,35
2:46,232,Joe Chealey made Free Throw.,48,35
2:35,151,Jeremy Sheppard Turnover.,48,35
2:34,232,Cameron Johnson Steal.,48,35
2:29,151,Foul on Caleb White.,48,35
2:29,232,Cameron Johnson missed Jumper.,48,35
2:29,232,Jarrell Brantley Offensive Rebound.,48,35
2:29,232,Jarrell Brantley made Free Throw.,49,35
2:29,232,Jarrell Brantley made Free Throw.,50,35
2:17,151,Deng Riak missed Three Point Jumper.,50,35
2:17,232,Joe Chealey Defensive Rebound.,50,35
1:47,232,Joe Chealey made Three Point Jumper. Assisted by Cameron Johnson.,53,35
1:30,151,Caleb White missed Three Point Jumper.,53,35
1:30,232,Marquise Pointer Defensive Rebound.,53,35
1:01,232,Foul on Joe Chealey.,53,35
1:01,232,Joe Chealey Turnover.,53,35
0:48,151,Caleb White missed Jumper.,53,35
0:48,232,Cameron Johnson Block.,53,35
0:46,232,Jarrell Brantley Defensive Rebound.,53,35
0:20,232,Foul on Jarrell Brantley.,53,35
0:20,232,Jarrell Brantley Turnover.,53,35
0:13,151,Jeremy Sheppard missed Three Point Jumper.,53,35
0:13,232,Jarrell Brantley Defensive Rebound.,53,35
0:00,151,End of Game,53,35
