Goucher,Error,Loyola (MD),2352
10:54,-1,Pat Goralski Offensive Rebound.,11,17
10:48,-1,Pat Goralski missed Layup.,11,17
10:48,2352,Ian Langendoerfer Block.,11,17
10:47,2352,Andrew Kostecka Defensive Rebound.,11,17
10:44,2352,Andrew Kostecka made Layup. Assisted by Isaiah Hart.,11,19
10:28,-1,Pat Goralski made Layup. Assisted by Timmy O'Farrell.,13,19
10:04,2352,Andrew Kostecka made Layup. Assisted by Cam Gregory.,13,21
9:49,-1,Timmy O'Farrell Turnover.,13,21
9:31,2352,Andrew Kostecka made Jumper. Assisted by Isaiah Hart.,13,23
9:09,-1,Gabe Ceribelli missed Three Point Jumper.,13,23
9:09,2352,Ian Langendoerfer Defensive Rebound.,13,23
9:01,-1,Foul on Timmy O'Farrell.,13,23
9:01,2352,Cam Gregory made Free Throw.,13,24
9:01,2352,Cam Gregory made Free Throw.,13,25
8:58,-1,Devon Esslinger missed Layup.,13,25
8:58,-1,Devon Esslinger Offensive Rebound.,13,25
8:54,-1,Devon Esslinger missed Jumper.,13,25
8:54,2352,Sam Norton Defensive Rebound.,13,25
8:46,2352,Cam Gregory made Layup. Assisted by Isaiah Hart.,13,27
8:45,-1,Goucher  Timeout,13,27
8:27,-1,Dwayne Morton Turnover.,13,27
8:11,2352,Andre Walker Turnover.,13,27
8:09,-1,Dwayne Morton Steal.,13,27
8:07,-1,Dwayne Morton missed Layup.,13,27
8:07,2352,Sam Norton Block.,13,27
8:07,-1,Goucher Offensive Rebound.,13,27
7:55,-1,Uvan Stewart made Jumper.,15,27
7:41,2352,Official TV Timeout,15,27
7:40,2352,Andrew Kostecka missed Three Point Jumper.,15,27
7:40,2352,Cam Gregory Offensive Rebound.,15,27
7:35,2352,Cam Gregory missed Jumper.,15,27
7:35,-1,Goucher Defensive Rebound.,15,27
7:19,-1,John Baker missed Three Point Jumper.,15,27
7:19,2352,Cam Gregory Defensive Rebound.,15,27
6:54,2352,Andrew Kostecka made Jumper. Assisted by Andre Walker.,15,29
6:34,-1,John Baker Turnover.,15,29
6:33,2352,Andrew Kostecka Steal.,15,29
6:15,2352,Cam Gregory made Layup. Assisted by Isaiah Hart.,15,31
5:49,-1,Dwayne Morton missed Jumper.,15,31
5:49,2352,Cam Gregory Block.,15,31
5:47,2352,Sam Norton Defensive Rebound.,15,31
5:37,2352,Cam Gregory made Layup. Assisted by Sam Norton.,15,33
5:07,-1,Gabe Ceribelli Turnover.,15,33
5:06,2352,Brent Holcombe Steal.,15,33
5:02,2352,Andre Walker missed Three Point Jumper.,15,33
5:02,2352,James Fives Offensive Rebound.,15,33
4:58,-1,Foul on Timmy O'Farrell.,15,33
4:58,2352,James Fives made Free Throw.,15,34
4:55,2352,James Fives missed Free Throw.,15,34
4:55,-1,Pat Goralski Defensive Rebound.,15,34
4:46,-1,Devon Esslinger Turnover.,15,34
4:36,2352,Nevell Provo made Three Point Jumper. Assisted by Andre Walker.,15,37
4:14,-1,Gabe Ceribelli missed Layup.,15,37
4:14,2352,James Fives Block.,15,37
4:13,2352,Andre Walker Defensive Rebound.,15,37
4:09,2352,Andre Walker made Layup.,15,39
3:49,-1,Nate Kaniut missed Three Point Jumper.,15,39
3:49,2352,Ian Langendoerfer Defensive Rebound.,15,39
3:39,2352,Nevell Provo made Three Point Jumper. Assisted by Ian Langendoerfer.,15,42
3:20,-1,Gabe Ceribelli missed Three Point Jumper.,15,42
3:20,-1,Devon Esslinger Offensive Rebound.,15,42
3:09,-1,Nate Kaniut missed Layup.,15,42
3:09,2352,James Fives Defensive Rebound.,15,42
3:02,2352,Andre Walker missed Three Point Jumper.,15,42
3:02,2352,Brent Holcombe Offensive Rebound.,15,42
2:55,-1,Foul on Pat Goralski.,15,42
2:55,2352,Official TV Timeout,15,42
2:55,2352,Brent Holcombe missed Free Throw.,15,42
2:55,-1,Pat Goralski Defensive Rebound.,15,42
2:41,-1,Uvan Stewart Turnover.,15,42
2:38,2352,Brent Holcombe Steal.,15,42
2:36,2352,Brent Holcombe missed Layup.,15,42
2:36,-1,Uvan Stewart Defensive Rebound.,15,42
2:36,2352,Foul on Brent Holcombe.,15,42
2:16,-1,Uvan Stewart Turnover.,15,42
2:13,2352,Nevell Provo Steal.,15,42
2:10,2352,Brent Holcombe missed Layup.,15,42
2:10,-1,Pat Goralski Block.,15,42
2:06,-1,Pat Goralski Defensive Rebound.,15,42
1:53,-1,Nate Kaniut missed Jumper.,15,42
1:53,2352,Brent Holcombe Defensive Rebound.,15,42
1:51,-1,Foul on Pat Goralski.,15,42
1:51,2352,Brent Holcombe made Free Throw.,15,43
1:51,2352,Brent Holcombe made Free Throw.,15,44
1:40,2352,Foul on Brent Holcombe.,15,44
1:28,-1,Goucher  Turnover.,15,44
1:14,2352,Nevell Provo missed Jumper.,15,44
1:14,-1,John Baker Defensive Rebound.,15,44
0:44,-1,Pat Goralski missed Three Point Jumper.,15,44
0:44,2352,Cam Gregory Defensive Rebound.,15,44
0:33,2352,Nevell Provo missed Three Point Jumper.,15,44
0:33,-1,Devon Esslinger Defensive Rebound.,15,44
0:19,2352,Foul on Nevell Provo.,15,44
0:13,-1,Devon Esslinger made Jumper. Assisted by John Baker.,17,44
0:06,2352,Nevell Provo missed Three Point Jumper.,17,44
0:06,2352,Sam Norton Offensive Rebound.,17,44
0:02,2352,Sam Norton missed Jumper.,17,44
0:02,2352,Loyola (MD) Offensive Rebound.,17,44
0:00,2352,End of 1st half,17,44
19:49,-1,Uvan Stewart missed Jumper.,17,44
19:49,2352,Andrew Kostecka Defensive Rebound.,17,44
19:35,-1,Foul on Devon Esslinger.,17,44
19:35,2352,Andrew Kostecka made Free Throw.,17,45
19:35,2352,Andrew Kostecka made Free Throw.,17,46
19:29,-1,Pat Goralski made Jumper.,19,46
19:05,2352,Cam Gregory made Layup.,19,48
18:36,2352,Foul on Sam Norton.,19,48
18:30,-1,Dwayne Morton missed Three Point Jumper.,19,48
18:30,2352,Andre Walker Defensive Rebound.,19,48
18:22,2352,Andre Walker missed Three Point Jumper.,19,48
18:22,2352,Cam Gregory Offensive Rebound.,19,48
18:19,2352,Cam Gregory made Layup.,19,50
18:18,-1,Foul on Gabe Ceribelli.,19,50
18:18,2352,Cam Gregory missed Free Throw.,19,50
18:18,-1,Devon Esslinger Defensive Rebound.,19,50
17:53,-1,Pat Goralski missed Jumper.,19,50
17:53,2352,Andrew Kostecka Defensive Rebound.,19,50
17:44,2352,Cam Gregory made Layup. Assisted by Andre Walker.,19,52
17:24,-1,Devon Esslinger Turnover.,19,52
17:23,2352,Cam Gregory Steal.,19,52
17:17,2352,Andre Walker Turnover.,19,52
17:07,-1,Uvan Stewart made Three Point Jumper. Assisted by Dwayne Morton.,22,52
16:55,-1,Foul on Dwayne Morton.,22,52
16:55,2352,Andrew Kostecka missed Free Throw.,22,52
16:55,2352,Loyola (MD) Deadball Team Rebound.,22,52
16:55,2352,Andrew Kostecka made Free Throw.,22,53
16:55,2352,Andrew Kostecka made Free Throw.,22,54
16:47,2352,Foul on Sam Norton.,22,54
16:35,-1,Dwayne Morton Turnover.,22,54
16:25,2352,Nevell Provo missed Three Point Jumper.,22,54
16:25,-1,Devon Esslinger Defensive Rebound.,22,54
16:10,-1,Uvan Stewart missed Three Point Jumper.,22,54
16:10,2352,Cam Gregory Defensive Rebound.,22,54
15:52,2352,Andrew Kostecka missed Layup.,22,54
15:52,-1,Devon Esslinger Defensive Rebound.,22,54
15:45,-1,Justin Berger made Three Point Jumper. Assisted by Gabe Ceribelli.,25,54
15:30,2352,Andrew Kostecka missed Three Point Jumper.,25,54
15:30,2352,Cam Gregory Offensive Rebound.,25,54
15:27,2352,Cam Gregory made Layup.,25,56
14:58,-1,Gabe Ceribelli missed Layup.,25,56
14:58,2352,Cam Gregory Defensive Rebound.,25,56
14:50,2352,Andrew Kostecka Turnover.,25,56
14:47,-1,Devon Esslinger Steal.,25,56
14:45,-1,Dwayne Morton missed Jumper.,25,56
14:45,-1,Goucher Offensive Rebound.,25,56
14:42,2352,Official TV Timeout,25,56
14:40,-1,Nate Kaniut missed Three Point Jumper.,25,56
14:40,2352,James Fives Defensive Rebound.,25,56
14:27,2352,Ian Langendoerfer Turnover.,25,56
14:17,-1,Nate Kaniut Turnover.,25,56
14:17,2352,Isaiah Hart Steal.,25,56
14:17,-1,Foul on Nate Kaniut.,25,56
14:07,2352,Brent Holcombe made Layup.,25,58
13:48,-1,Timmy O'Farrell missed Three Point Jumper.,25,58
13:48,2352,Nevell Provo Defensive Rebound.,25,58
13:40,2352,Brent Holcombe made Layup. Assisted by Nevell Provo.,25,60
13:17,-1,Justin Berger made Layup.,27,60
13:02,2352,Isaiah Hart made Jumper. Assisted by James Fives.,27,62
12:35,2352,Foul on James Fives.,27,62
12:35,-1,John Baker made Free Throw.,28,62
12:35,-1,John Baker missed Free Throw.,28,62
12:35,2352,James Fives Defensive Rebound.,28,62
12:27,2352,James Fives missed Three Point Jumper.,28,62
12:27,-1,Timmy O'Farrell Defensive Rebound.,28,62
12:06,-1,Devon Esslinger made Jumper.,30,62
11:52,2352,James Fives made Three Point Jumper. Assisted by Nevell Provo.,30,65
11:34,-1,Devon Esslinger missed Jumper.,30,65
11:34,2352,Brent Holcombe Block.,30,65
11:32,2352,Brent Holcombe Defensive Rebound.,30,65
11:30,2352,Brent Holcombe Turnover.,30,65
11:29,-1,Timmy O'Farrell Steal.,30,65
11:25,-1,Justin Berger missed Three Point Jumper.,30,65
11:25,-1,Devon Esslinger Offensive Rebound.,30,65
11:20,-1,Devon Esslinger made Jumper.,32,65
11:07,2352,Brent Holcombe made Jumper. Assisted by James Fives.,32,67
10:55,-1,Devon Esslinger missed Jumper.,32,67
10:55,2352,Ian Langendoerfer Defensive Rebound.,32,67
10:46,2352,James Fives missed Layup.,32,67
10:46,-1,Nate Kaniut Defensive Rebound.,32,67
10:39,-1,Timmy O'Farrell missed Three Point Jumper.,32,67
10:39,2352,Brent Holcombe Defensive Rebound.,32,67
10:30,2352,James Fives made Three Point Jumper. Assisted by Luke Johnson.,32,70
10:18,2352,Foul on Ian Langendoerfer.,32,70
10:18,2352,Official TV Timeout,32,70
10:18,-1,John Baker missed Free Throw.,32,70
10:18,-1,Goucher Deadball Team Rebound.,32,70
10:18,-1,John Baker made Free Throw.,33,70
9:58,2352,Andre Walker missed Three Point Jumper.,33,70
9:58,-1,Devon Esslinger Defensive Rebound.,33,70
9:32,-1,Mj Victor missed Layup.,33,70
9:32,2352,Andrew Kostecka Block.,33,70
9:31,-1,Dwayne Morton Offensive Rebound.,33,70
9:26,-1,Dwayne Morton Turnover.,33,70
9:25,2352,Cam Gregory Steal.,33,70
9:22,2352,Ian Langendoerfer Turnover.,33,70
9:21,-1,Timmy O'Farrell Steal.,33,70
9:17,2352,Foul on Cam Gregory.,33,70
9:17,-1,Devon Esslinger made Free Throw.,34,70
9:17,-1,Devon Esslinger missed Free Throw.,34,70
9:17,2352,Cam Gregory Defensive Rebound.,34,70
9:06,2352,Luke Johnson made Three Point Jumper. Assisted by Andre Walker.,34,73
8:42,-1,Dwayne Morton missed Three Point Jumper.,34,73
8:42,2352,Cam Gregory Defensive Rebound.,34,73
8:32,2352,Andre Walker missed Layup.,34,73
8:32,-1,Devon Esslinger Block.,34,73
8:32,2352,Loyola (MD) Offensive Rebound.,34,73
8:31,2352,Ian Langendoerfer missed Jumper.,34,73
8:31,2352,Luke Johnson Offensive Rebound.,34,73
8:26,2352,Andrew Kostecka made Three Point Jumper. Assisted by Luke Johnson.,34,76
8:01,-1,Uvan Stewart Turnover.,34,76
7:43,2352,Andre Walker missed Layup.,34,76
7:43,2352,Andre Walker Offensive Rebound.,34,76
7:41,2352,Andre Walker made Two Point Tip Shot.,34,78
7:24,-1,Dwayne Morton made Jumper.,36,78
7:13,2352,Andre Walker made Three Point Jumper.,36,81
6:45,-1,Dwayne Morton made Jumper.,38,81
6:30,2352,Luke Johnson missed Three Point Jumper.,38,81
6:30,2352,Andrew Kostecka Offensive Rebound.,38,81
6:25,2352,Andre Walker made Three Point Jumper. Assisted by Andrew Kostecka.,38,84
6:09,-1,Mj Victor missed Jumper.,38,84
6:09,-1,Pat Goralski Offensive Rebound.,38,84
6:07,2352,Foul on Luke Johnson.,38,84
6:07,2352,Official TV Timeout,38,84
6:00,-1,Dwayne Morton made Layup.,40,84
5:47,2352,Brent Holcombe missed Jumper.,40,84
5:47,-1,Gabe Ceribelli Defensive Rebound.,40,84
5:31,-1,Gabe Ceribelli missed Jumper.,40,84
5:31,2352,Brent Holcombe Defensive Rebound.,40,84
5:23,2352,Brent Holcombe made Three Point Jumper. Assisted by Matt Staubi.,40,87
5:05,-1,Gabe Ceribelli made Three Point Jumper.,43,87
4:53,2352,Nevell Provo missed Three Point Jumper.,43,87
4:53,2352,Brent Holcombe Offensive Rebound.,43,87
4:41,2352,Brent Holcombe missed Layup.,43,87
4:41,-1,Pat Goralski Defensive Rebound.,43,87
4:17,-1,Dwayne Morton missed Jumper.,43,87
4:17,2352,Brent Holcombe Defensive Rebound.,43,87
4:08,2352,Sam Norton made Layup. Assisted by Luke Johnson.,43,89
3:53,-1,Gabe Ceribelli missed Three Point Jumper.,43,89
3:53,2352,Luke Johnson Defensive Rebound.,43,89
3:46,2352,Brent Holcombe missed Three Point Jumper.,43,89
3:46,-1,John Baker Defensive Rebound.,43,89
3:38,-1,Gabe Ceribelli missed Three Point Jumper.,43,89
3:38,2352,Loyola (MD) Defensive Rebound.,43,89
3:33,2352,Official TV Timeout,43,89
3:17,2352,Sam Norton Turnover.,43,89
3:17,2352,Foul on Sam Norton.,43,89
2:53,-1,Dwayne Morton missed Jumper.,43,89
2:53,2352,Sam Norton Defensive Rebound.,43,89
2:48,2352,Matt Staubi Turnover.,43,89
2:47,-1,Timmy O'Farrell Steal.,43,89
2:42,-1,Dwayne Morton missed Layup.,43,89
2:42,2352,Sam Norton Block.,43,89
2:42,2352,Brent Holcombe Defensive Rebound.,43,89
2:34,2352,Luke Johnson made Three Point Jumper. Assisted by Matt Staubi.,43,92
2:14,-1,Timmy O'Farrell missed Three Point Jumper.,43,92
2:14,-1,Devon Esslinger Offensive Rebound.,43,92
2:08,-1,Devon Esslinger Turnover.,43,92
2:07,2352,Ethan Norton Steal.,43,92
2:01,2352,Sam Norton made Three Point Jumper. Assisted by Ethan Norton.,43,95
1:34,2352,Foul on Matt Staubi.,43,95
1:34,-1,Dwayne Morton made Free Throw.,44,95
1:34,-1,Dwayne Morton made Free Throw.,45,95
1:15,2352,Sam Norton missed Jumper.,45,95
1:15,2352,Brent Holcombe Offensive Rebound.,45,95
1:07,2352,Ethan Norton missed Three Point Jumper.,45,95
1:07,-1,John Baker Defensive Rebound.,45,95
0:41,-1,Dwayne Morton missed Three Point Jumper.,45,95
0:41,2352,Sam Norton Defensive Rebound.,45,95
0:34,-1,Foul on Dwayne Morton.,45,95
0:34,2352,Ethan Norton made Free Throw.,45,96
0:34,2352,Ethan Norton made Free Throw.,45,97
0:15,-1,Timmy O'Farrell Turnover.,45,97
0:00,2352,End of Game,45,97
