American,160,New Hampshire,44
15:30,44,Sa'eed Nelson made Three Point Jumper.,56,37
15:15,160,John Ogwuche missed Layup.,56,37
15:15,44,Larry Motuzis Defensive Rebound.,56,37
15:10,44,Larry Motuzis missed Layup.,56,37
15:10,160,Jacoby Armstrong Defensive Rebound.,56,37
15:04,44,Foul on Marvin Bragg.,56,37
15:01,44,Foul on Cheikh Diallo.,56,37
14:40,160,John Ogwuche missed Jumper.,56,37
14:40,160,Tanner Leissner Offensive Rebound.,56,37
14:36,44,Foul on Nick Macarchuk.,56,37
14:36,160,Tanner Leissner made Free Throw.,56,38
14:36,160,Tanner Leissner missed Free Throw.,56,38
14:36,44,Larry Motuzis Defensive Rebound.,56,38
14:09,44,Cheikh Diallo Turnover.,56,38
14:07,160,Tanner Leissner Steal.,56,38
14:00,160,Tanner Leissner missed Layup.,56,38
14:00,44,Sa'eed Nelson Defensive Rebound.,56,38
13:54,160,Foul on John Ogwuche.,56,38
13:54,44,Sa'eed Nelson missed Free Throw.,56,38
13:54,44,American Deadball Team Rebound.,56,38
13:54,44,Sa'eed Nelson missed Free Throw.,56,38
13:54,160,Iba Camara Defensive Rebound.,56,38
13:40,160,Josh Hopkins made Three Point Jumper. Assisted by Elijah Jordan.,56,41
13:15,44,Larry Motuzis Turnover.,56,41
13:14,160,Elijah Jordan Steal.,56,41
13:09,160,Iba Camara made Layup. Assisted by Elijah Jordan.,56,43
13:00,44,American  Timeout,56,43
12:39,44,Nick Macarchuk Turnover.,56,43
12:37,160,Keon Burns Steal.,56,43
12:34,160,Josh Hopkins missed Three Point Jumper.,56,43
12:34,44,Sa'eed Nelson Defensive Rebound.,56,43
12:14,44,Larry Motuzis missed Three Point Jumper.,56,43
12:14,160,Josh Hopkins Defensive Rebound.,56,43
12:01,160,Tanner Leissner made Three Point Jumper. Assisted by Elijah Jordan.,56,46
11:33,44,Sam Iorio missed Three Point Jumper.,56,46
11:33,160,Tanner Leissner Defensive Rebound.,56,46
11:32,44,Foul on Larry Motuzis.,56,46
11:32,160,Official TV Timeout,56,46
11:32,160,Tanner Leissner missed Free Throw.,56,46
11:32,44,Jesse Little Defensive Rebound.,56,46
11:04,44,Sam Iorio missed Three Point Jumper.,56,46
11:04,160,Tanner Leissner Defensive Rebound.,56,46
10:53,160,Elijah Jordan missed Jumper.,56,46
10:53,160,New Hampshire Offensive Rebound.,56,46
10:38,160,Iba Camara made Layup.,56,48
10:18,44,Sa'eed Nelson missed Layup.,56,48
10:18,44,Jesse Little Offensive Rebound.,56,48
10:14,44,Jesse Little missed Layup.,56,48
10:14,160,Tanner Leissner Defensive Rebound.,56,48
10:05,160,Iba Camara Turnover.,56,48
10:04,44,Sa'eed Nelson Steal.,56,48
10:02,160,Foul on Josh Hopkins.,56,48
10:02,44,Sa'eed Nelson made Free Throw.,57,48
10:02,44,Sa'eed Nelson made Free Throw.,58,48
9:48,160,Keon Burns made Three Point Jumper. Assisted by Elijah Jordan.,58,51
9:17,44,Nick Macarchuk Turnover.,58,51
9:16,160,Iba Camara Steal.,58,51
9:06,44,Foul on Nick Macarchuk.,58,51
9:06,160,Tanner Leissner made Free Throw.,58,52
9:06,160,Tanner Leissner made Free Throw.,58,53
8:40,44,Sa'eed Nelson missed Three Point Jumper.,58,53
8:40,160,Iba Camara Defensive Rebound.,58,53
8:28,160,Iba Camara missed Layup.,58,53
8:28,160,Keon Burns Offensive Rebound.,58,53
8:24,160,Tanner Leissner made Layup. Assisted by Keon Burns.,58,55
8:24,44,Foul on Jesse Little.,58,55
8:24,160,Tanner Leissner made Free Throw.,58,56
8:00,44,Marvin Bragg missed Three Point Jumper.,58,56
8:00,160,Iba Camara Defensive Rebound.,58,56
7:48,44,Foul on Jesse Little.,58,56
7:48,160,Official TV Timeout,58,56
7:48,160,Tanner Leissner made Free Throw.,58,57
7:48,160,Tanner Leissner made Free Throw.,58,58
7:23,44,Larry Motuzis missed Three Point Jumper.,58,58
7:23,160,New Hampshire Defensive Rebound.,58,58
7:12,160,Jordan Reed Turnover.,58,58
7:11,44,Sam Iorio Steal.,58,58
7:07,44,Sam Iorio Turnover.,58,58
7:06,160,Tanner Leissner Steal.,58,58
6:57,160,Keon Burns made Three Point Jumper.,58,61
6:53,160,Foul on Iba Camara.,58,61
6:30,160,Foul on Iba Camara.,58,61
6:30,44,Cheikh Diallo made Free Throw.,59,61
6:30,44,Cheikh Diallo missed Free Throw.,59,61
6:30,160,Iba Camara Defensive Rebound.,59,61
6:29,44,Foul on Sam Iorio.,59,61
6:29,160,Iba Camara missed Free Throw.,59,61
6:29,160,New Hampshire Deadball Team Rebound.,59,61
6:29,160,Iba Camara made Free Throw.,59,62
6:21,44,Sam Iorio made Layup. Assisted by Sa'eed Nelson.,61,62
6:04,160,Tanner Leissner missed Three Point Jumper.,61,62
6:04,160,Tanner Leissner Offensive Rebound.,61,62
5:59,44,Foul on Cheikh Diallo.,61,62
5:59,160,Tanner Leissner made Free Throw.,61,63
5:59,160,Tanner Leissner missed Free Throw.,61,63
5:59,44,Sa'eed Nelson Defensive Rebound.,61,63
5:45,44,Sa'eed Nelson missed Three Point Jumper.,61,63
5:45,44,Sa'eed Nelson Offensive Rebound.,61,63
5:41,160,Foul on Iba Camara.,61,63
5:41,44,Sa'eed Nelson missed Free Throw.,61,63
5:41,44,American Deadball Team Rebound.,61,63
5:41,44,Sa'eed Nelson made Free Throw.,62,63
5:30,160,Keon Burns missed Three Point Jumper.,62,63
5:30,44,Larry Motuzis Defensive Rebound.,62,63
4:51,44,Matt Cimino missed Jumper.,62,63
4:51,160,Jacoby Armstrong Defensive Rebound.,62,63
4:32,44,Foul on Larry Motuzis.,62,63
4:32,160,Tanner Leissner missed Free Throw.,62,63
4:32,160,New Hampshire Deadball Team Rebound.,62,63
4:32,160,Tanner Leissner made Free Throw.,62,64
4:16,44,Sa'eed Nelson missed Jumper.,62,64
4:16,44,Sa'eed Nelson Offensive Rebound.,62,64
4:12,44,Sa'eed Nelson missed Layup.,62,64
4:12,160,Jacoby Armstrong Defensive Rebound.,62,64
4:12,44,Foul on Sam Iorio.,62,64
4:12,160,Jacoby Armstrong made Free Throw.,62,65
4:12,160,Jacoby Armstrong made Free Throw.,62,66
3:54,160,Foul on Jacoby Armstrong.,62,66
3:54,160,Official TV Timeout,62,66
3:54,44,Larry Motuzis made Free Throw.,63,66
3:54,44,Larry Motuzis made Free Throw.,64,66
3:32,44,Foul on Nick Macarchuk.,64,66
3:32,160,Tanner Leissner made Free Throw.,64,67
3:32,160,Tanner Leissner made Free Throw.,64,68
3:12,44,Larry Motuzis made Three Point Jumper. Assisted by Drew LaMont.,67,68
2:51,44,Foul on Drew LaMont.,67,68
2:51,160,Jacoby Armstrong made Free Throw.,67,69
2:51,160,Jacoby Armstrong made Free Throw.,67,70
2:35,44,Larry Motuzis made Three Point Jumper. Assisted by Cheikh Diallo.,70,70
2:02,160,Jacoby Armstrong Turnover.,70,70
2:01,44,Cheikh Diallo Steal.,70,70
1:48,44,Sa'eed Nelson missed Three Point Jumper.,70,70
1:48,160,Tanner Leissner Defensive Rebound.,70,70
1:27,160,Tanner Leissner Turnover.,70,70
1:25,44,Cheikh Diallo Steal.,70,70
1:23,160,Foul on Jordan Reed.,70,70
1:23,44,Larry Motuzis made Free Throw.,71,70
1:23,44,Larry Motuzis missed Free Throw.,71,70
1:23,160,Keon Burns Defensive Rebound.,71,70
1:06,160,Tanner Leissner missed Three Point Jumper.,71,70
1:06,44,Larry Motuzis Defensive Rebound.,71,70
0:42,44,Larry Motuzis missed Three Point Jumper.,71,70
0:42,44,Drew LaMont Offensive Rebound.,71,70
0:39,160,Foul on Iba Camara.,71,70
0:39,44,Drew LaMont missed Free Throw.,71,70
0:39,44,American Deadball Team Rebound.,71,70
0:39,44,Drew LaMont missed Free Throw.,71,70
0:39,160,Keon Burns Defensive Rebound.,71,70
0:26,160,Tanner Leissner missed Layup.,71,70
0:26,44,Jesse Little Defensive Rebound.,71,70
0:21,160,Foul on Keon Burns.,71,70
0:21,44,Sa'eed Nelson made Free Throw.,72,70
0:21,44,Sa'eed Nelson made Free Throw.,73,70
0:16,160,Josh Hopkins missed Three Point Jumper.,73,70
0:16,160,Keon Burns Offensive Rebound.,73,70
0:13,160,Jordan Reed missed Three Point Jumper.,73,70
0:13,160,New Hampshire Offensive Rebound.,73,70
0:10,160,New Hampshire  Timeout,73,70
0:06,160,Tanner Leissner missed Three Point Jumper.,73,70
0:06,44,Jesse Little Block.,73,70
0:04,44,Sa'eed Nelson Defensive Rebound.,73,70
0:03,160,Foul on Tanner Leissner.,73,70
0:03,44,Sa'eed Nelson missed Free Throw.,73,70
0:03,44,American Deadball Team Rebound.,73,70
0:03,44,Sa'eed Nelson made Free Throw.,74,70
0:03,160,Jordan Reed missed Three Point Jumper.,74,70
0:03,44,American Defensive Rebound.,74,70
0:00,160,End of Game,74,70
