NC Wesleyan,Error,Delaware,48
12:26,48,Jacob Cushing Turnover.,11,23
12:15,48,Foul on Chyree Walker.,11,23
12:03,-1,Ricardo Bullock missed Jumper.,11,23
12:03,48,Skye Johnson Defensive Rebound.,11,23
11:59,48,Official TV Timeout,11,23
11:42,48,Skye Johnson Turnover.,11,23
11:42,48,Foul on Skye Johnson.,11,23
11:25,-1,A.J. Frye missed Jumper.,11,23
11:25,48,Ryan Allen Defensive Rebound.,11,23
11:12,-1,Foul on Ricardo Bullock.,11,23
11:12,48,Chyree Walker missed Free Throw.,11,23
11:12,48,Delaware Deadball Team Rebound.,11,23
11:12,48,Chyree Walker missed Free Throw.,11,23
11:12,-1,Ricardo Bullock Defensive Rebound.,11,23
10:59,-1,Chris Braswell missed Three Point Jumper.,11,23
10:59,-1,Damon McDowell Offensive Rebound.,11,23
10:34,-1,A.J. Frye made Layup.,13,23
10:15,48,Ryan Daly missed Jumper.,13,23
10:15,48,Skye Johnson Offensive Rebound.,13,23
10:08,48,Skye Johnson made Layup. Assisted by Ryan Allen.,13,25
9:49,-1,Damon McDowell Turnover.,13,25
9:47,48,Skye Johnson Steal.,13,25
9:45,48,Ryan Daly made Layup. Assisted by Skye Johnson.,13,27
9:17,-1,Chris Braswell missed Jumper.,13,27
9:17,48,Ryan Daly Defensive Rebound.,13,27
9:11,48,Ryan Daly made Layup.,13,29
8:55,-1,Ricardo Bullock made Layup. Assisted by Damon McDowell.,15,29
8:37,-1,Foul on Chris Braswell.,15,29
8:23,48,Ryan Allen made Three Point Jumper. Assisted by Darian Bryant.,15,32
7:57,-1,Robert Wilson made Jumper. Assisted by A.J. Frye.,17,32
7:39,48,Darian Bryant Turnover.,17,32
7:36,-1,Adrian Moore Steal.,17,32
7:35,-1,Robert Wilson made Layup.,19,32
7:13,48,Ryan Allen missed Three Point Jumper.,19,32
7:13,48,Derrick Woods Offensive Rebound.,19,32
7:10,48,Derrick Woods made Layup.,19,34
7:00,-1,Foul on Adrian Moore.,19,34
7:00,-1,Adrian Moore Turnover.,19,34
7:00,48,Official TV Timeout,19,34
6:46,48,Jacob Cushing Turnover.,19,34
6:44,-1,Damon McDowell Steal.,19,34
6:43,48,Foul on Darian Bryant.,19,34
6:43,-1,Damon McDowell missed Free Throw.,19,34
6:43,-1,NC Wesleyan Deadball Team Rebound.,19,34
6:43,-1,Damon McDowell missed Free Throw.,19,34
6:43,48,Derrick Woods Defensive Rebound.,19,34
6:18,48,Derrick Woods Turnover.,19,34
5:57,-1,Cameron Martin missed Three Point Jumper.,19,34
5:57,48,Derrick Woods Defensive Rebound.,19,34
5:43,48,Derrick Woods made Three Point Jumper. Assisted by Ryan Allen.,19,37
5:28,48,Foul on Anthony Mosley.,19,37
5:16,-1,Robert Wilson Turnover.,19,37
5:15,48,Ryan Allen Steal.,19,37
5:09,48,Jacob Cushing made Layup.,19,39
4:56,-1,Justin Tankelewicz missed Three Point Jumper.,19,39
4:56,48,Derrick Woods Defensive Rebound.,19,39
4:45,48,Ryan Allen Turnover.,19,39
4:44,-1,Robert Wilson Steal.,19,39
4:40,-1,Justin Tankelewicz missed Layup.,19,39
4:40,48,Jacob Cushing Defensive Rebound.,19,39
4:33,48,Kevin Anderson made Three Point Jumper. Assisted by Ryan Allen.,19,42
4:04,-1,Robert Wilson missed Jumper.,19,42
4:04,48,Ryan Allen Defensive Rebound.,19,42
3:54,48,Derrick Woods made Jumper.,19,44
3:32,-1,Cameron Martin made Three Point Jumper. Assisted by Justin Tankelewicz.,22,44
3:14,-1,Foul on Ricardo Bullock.,22,44
3:14,48,Official TV Timeout,22,44
3:14,48,Derrick Woods made Free Throw.,22,45
3:14,48,Derrick Woods made Free Throw.,22,46
3:02,-1,Greg Joseph missed Jumper.,22,46
3:02,48,Chyree Walker Block.,22,46
3:00,48,Ryan Daly Defensive Rebound.,22,46
2:55,48,Kevin Anderson missed Layup.,22,46
2:55,-1,A.J. Frye Defensive Rebound.,22,46
2:44,-1,Cameron Martin missed Jumper.,22,46
2:44,48,Ryan Allen Defensive Rebound.,22,46
2:33,48,Ryan Daly missed Jumper.,22,46
2:33,-1,A.J. Frye Defensive Rebound.,22,46
2:20,-1,Cameron Martin made Three Point Jumper. Assisted by Greg Joseph.,25,46
2:05,48,Chyree Walker missed Layup.,25,46
2:05,-1,A.J. Frye Defensive Rebound.,25,46
1:50,-1,Malique Judd Turnover.,25,46
1:50,48,Ryan Daly Steal.,25,46
1:50,48,Delaware  Timeout,25,46
1:40,48,Ryan Daly made Layup.,25,48
1:27,-1,Cameron Martin Turnover.,25,48
1:25,48,Kevin Anderson Steal.,25,48
1:24,48,Kevin Anderson Turnover.,25,48
1:22,-1,Cameron Martin Turnover.,25,48
1:03,48,Chyree Walker missed Jumper.,25,48
1:03,-1,Cameron Martin Defensive Rebound.,25,48
0:54,-1,Justin Tankelewicz made Three Point Jumper. Assisted by Cameron Martin.,28,48
0:34,48,Jacob Cushing missed Three Point Jumper.,28,48
0:34,-1,Cameron Martin Defensive Rebound.,28,48
0:09,48,Foul on Kevin Anderson.,28,48
0:09,-1,A.J. Frye made Free Throw.,29,48
0:09,-1,A.J. Frye made Free Throw.,30,48
0:03,48,Ryan Daly missed Three Point Jumper.,30,48
0:03,48,Jacob Cushing Offensive Rebound.,30,48
0:00,48,End of 1st half,30,48
19:51,48,Ryan Daly missed Three Point Jumper.,30,48
19:51,48,Derrick Woods Offensive Rebound.,30,48
19:20,48,Anthony Mosley made Layup.,30,50
19:15,-1,Adrian Moore Turnover.,30,50
19:14,48,Kevin Anderson Steal.,30,50
19:13,48,Kevin Anderson made Layup.,30,52
19:12,-1,NC Wesleyan  Timeout,30,52
18:45,-1,Justin Tankelewicz made Three Point Jumper. Assisted by Adrian Moore.,33,52
18:26,-1,Foul on Adrian Moore.,33,52
18:26,48,Anthony Mosley missed Free Throw.,33,52
18:26,48,Delaware Deadball Team Rebound.,33,52
18:26,48,Anthony Mosley made Free Throw.,33,53
18:18,-1,A.J. Frye made Jumper.,35,53
18:01,48,Ryan Daly missed Layup.,35,53
18:01,-1,A.J. Frye Defensive Rebound.,35,53
17:53,-1,Justin Tankelewicz made Three Point Jumper. Assisted by Chris Braswell.,38,53
17:26,48,Kevin Anderson missed Layup.,38,53
17:26,48,Kevin Anderson Offensive Rebound.,38,53
17:18,-1,Foul on Robert Wilson.,38,53
17:18,48,Ryan Daly made Free Throw.,38,54
17:18,48,Ryan Daly made Free Throw.,38,55
17:09,-1,A.J. Frye missed Three Point Jumper.,38,55
17:09,48,Ryan Daly Defensive Rebound.,38,55
17:02,48,Ryan Daly Turnover.,38,55
17:01,-1,Chris Braswell Steal.,38,55
16:58,-1,Justin Tankelewicz made Three Point Jumper. Assisted by Chris Braswell.,41,55
16:26,48,Ryan Daly made Layup. Assisted by Derrick Woods.,41,57
16:14,-1,Adrian Moore missed Three Point Jumper.,41,57
16:14,-1,Robert Wilson Offensive Rebound.,41,57
16:08,-1,Robert Wilson made Jumper.,43,57
15:44,48,Derrick Woods made Jumper.,43,59
15:21,-1,Adrian Moore made Jumper.,45,59
15:07,-1,Foul on Robert Wilson.,45,59
15:07,48,Official TV Timeout,45,59
14:47,48,Ryan Allen missed Jumper.,45,59
14:47,-1,Ricardo Bullock Block.,45,59
14:45,-1,Ricardo Bullock Defensive Rebound.,45,59
14:42,-1,Ricardo Bullock Turnover.,45,59
14:41,48,Anthony Mosley Steal.,45,59
14:40,48,Anthony Mosley Turnover.,45,59
14:16,-1,Robert Wilson missed Three Point Jumper.,45,59
14:16,48,Ryan Allen Defensive Rebound.,45,59
14:11,48,Ryan Allen Turnover.,45,59
14:10,-1,Chris Braswell Steal.,45,59
14:07,-1,Justin Tankelewicz missed Three Point Jumper.,45,59
14:07,-1,Robert Wilson Offensive Rebound.,45,59
14:02,48,Foul on Ryan Allen.,45,59
14:02,-1,Robert Wilson made Free Throw.,46,59
14:02,-1,Robert Wilson missed Free Throw.,46,59
14:02,48,Jacob Cushing Defensive Rebound.,46,59
13:40,48,Skye Johnson made Jumper.,46,61
13:21,-1,Ricardo Bullock Turnover.,46,61
13:21,-1,Foul on Ricardo Bullock.,46,61
13:02,48,Ryan Allen missed Jumper.,46,61
13:02,-1,Ricardo Bullock Defensive Rebound.,46,61
12:48,-1,Justin Tankelewicz missed Three Point Jumper.,46,61
12:48,48,Skye Johnson Defensive Rebound.,46,61
12:37,48,Skye Johnson missed Layup.,46,61
12:37,-1,A.J. Frye Defensive Rebound.,46,61
12:29,-1,Chris Braswell made Jumper.,48,61
12:10,48,Kevin Anderson made Three Point Jumper. Assisted by Jacob Cushing.,48,64
11:38,-1,Chris Braswell missed Jumper.,48,64
11:38,48,Skye Johnson Defensive Rebound.,48,64
11:29,-1,Foul on Malique Judd.,48,64
11:29,48,Official TV Timeout,48,64
11:19,48,Kevin Anderson made Three Point Jumper. Assisted by Anthony Mosley.,48,67
11:01,48,Foul on Kevin Anderson.,48,67
10:55,48,Foul on Kevin Anderson.,48,67
10:55,-1,Adrian Moore made Free Throw.,49,67
10:55,-1,Adrian Moore missed Free Throw.,49,67
10:55,-1,Malique Judd Offensive Rebound.,49,67
10:50,-1,Cameron Martin Turnover.,49,67
10:43,48,Ryan Allen missed Three Point Jumper.,49,67
10:43,-1,NC Wesleyan Defensive Rebound.,49,67
10:26,-1,A.J. Frye made Jumper.,51,67
10:08,48,Derrick Woods missed Jumper.,51,67
10:08,48,Derrick Woods Offensive Rebound.,51,67
10:06,-1,Foul on A.J. Frye.,51,67
10:06,48,Derrick Woods missed Free Throw.,51,67
10:06,48,Delaware Deadball Team Rebound.,51,67
10:06,48,Derrick Woods made Free Throw.,51,68
9:52,-1,Adrian Moore missed Layup.,51,68
9:52,48,Derrick Woods Defensive Rebound.,51,68
9:46,48,Ryan Allen Turnover.,51,68
9:42,-1,A.J. Frye Steal.,51,68
9:38,-1,Justin Tankelewicz missed Layup.,51,68
9:38,-1,Malique Judd Offensive Rebound.,51,68
9:34,-1,Malique Judd missed Jumper.,51,68
9:34,-1,Malique Judd Offensive Rebound.,51,68
9:29,-1,A.J. Frye made Layup.,53,68
9:27,48,Foul on Derrick Woods.,53,68
9:27,-1,A.J. Frye made Free Throw.,54,68
9:11,48,Kevin Anderson made Layup.,54,70
9:02,-1,A.J. Frye missed Layup.,54,70
9:02,48,Darian Bryant Defensive Rebound.,54,70
8:46,-1,Foul on Cameron Martin.,54,70
8:46,48,Skye Johnson made Free Throw.,54,71
8:46,48,Skye Johnson missed Free Throw.,54,71
8:46,-1,A.J. Frye Defensive Rebound.,54,71
8:36,48,Foul on Ryan Daly.,54,71
8:28,-1,Adrian Moore missed Jumper.,54,71
8:28,48,Kevin Anderson Defensive Rebound.,54,71
8:16,-1,Foul on Adrian Moore.,54,71
8:16,48,Ryan Daly made Free Throw.,54,72
8:16,48,Ryan Daly missed Free Throw.,54,72
8:16,48,Delaware Offensive Rebound.,54,72
8:05,48,Chyree Walker missed Jumper.,54,72
8:05,48,Chyree Walker Offensive Rebound.,54,72
8:01,48,Chyree Walker missed Jumper.,54,72
8:01,-1,Malique Judd Defensive Rebound.,54,72
7:49,-1,Justin Tankelewicz missed Three Point Jumper.,54,72
7:49,-1,A.J. Frye Offensive Rebound.,54,72
7:46,48,Foul on Chyree Walker.,54,72
7:46,48,Official TV Timeout,54,72
7:22,-1,Chris Sause made Layup. Assisted by Robert Wilson.,56,72
7:06,48,Ryan Allen missed Three Point Jumper.,56,72
7:06,48,Darian Bryant Offensive Rebound.,56,72
7:03,-1,Foul on Justin Tankelewicz.,56,72
7:02,48,Darian Bryant missed Free Throw.,56,72
7:02,48,Delaware Deadball Team Rebound.,56,72
7:02,48,Darian Bryant made Free Throw.,56,73
6:53,-1,Justin Tankelewicz made Three Point Jumper. Assisted by Chris Braswell.,59,73
6:27,48,Chyree Walker missed Layup.,59,73
6:27,48,Chyree Walker Offensive Rebound.,59,73
6:21,48,Chyree Walker made Two Point Tip Shot.,59,75
6:17,-1,Chris Braswell missed Jumper.,59,75
6:17,-1,Chris Sause Offensive Rebound.,59,75
6:15,48,Foul on Skye Johnson.,59,75
6:15,-1,Chris Sause made Free Throw.,60,75
6:15,-1,Chris Sause made Free Throw.,61,75
6:06,-1,Foul on Chris Sause.,61,75
6:06,48,Darian Bryant made Free Throw.,61,76
6:06,48,Darian Bryant missed Free Throw.,61,76
6:06,48,Ryan Daly Offensive Rebound.,61,76
5:48,-1,Foul on Chris Braswell.,61,76
5:48,48,Ryan Daly missed Free Throw.,61,76
5:48,48,Delaware Deadball Team Rebound.,61,76
5:48,48,Ryan Daly missed Free Throw.,61,76
5:48,-1,Chris Braswell Defensive Rebound.,61,76
5:39,-1,Chris Braswell Turnover.,61,76
5:38,48,Ryan Allen Steal.,61,76
5:21,48,Kevin Anderson missed Three Point Jumper.,61,76
5:21,-1,Chris Braswell Defensive Rebound.,61,76
5:15,-1,Justin Tankelewicz missed Three Point Jumper.,61,76
5:15,48,Ryan Daly Defensive Rebound.,61,76
5:05,48,Derrick Woods made Layup. Assisted by Kevin Anderson.,61,78
4:39,-1,Chris Braswell Turnover.,61,78
4:37,48,Darian Bryant Steal.,61,78
4:35,48,Darian Bryant made Layup.,61,80
4:17,-1,Justin Tankelewicz Turnover.,61,80
4:16,48,Kevin Anderson Steal.,61,80
4:16,-1,Foul on Chris Braswell.,61,80
4:16,48,Kevin Anderson missed Free Throw.,61,80
4:16,48,Delaware Deadball Team Rebound.,61,80
4:16,48,Kevin Anderson made Free Throw.,61,81
4:03,-1,Chris Sause missed Jumper.,61,81
4:03,48,Anthony Mosley Defensive Rebound.,61,81
3:57,48,Ryan Allen missed Three Point Jumper.,61,81
3:57,48,Chyree Walker Offensive Rebound.,61,81
3:40,48,Derrick Woods made Layup.,61,83
3:17,-1,Chris Sause made Three Point Jumper. Assisted by Robert Wilson.,64,83
3:15,-1,NC Wesleyan  Timeout,64,83
3:15,48,Official TV Timeout,64,83
2:55,48,Ryan Allen missed Jumper.,64,83
2:55,48,Derrick Woods Offensive Rebound.,64,83
2:50,48,Connor Rufo missed Jumper.,64,83
2:50,48,Jacob Cushing Offensive Rebound.,64,83
2:47,48,Jacob Cushing missed Two Point Tip Shot.,64,83
2:47,-1,Josh Covington Defensive Rebound.,64,83
2:33,48,Foul on Anthony Mosley.,64,83
2:33,-1,Adrian Moore made Free Throw.,65,83
2:33,-1,Adrian Moore made Free Throw.,66,83
2:21,-1,Foul on Vernon McWhite.,66,83
2:21,48,Ryan Allen made Free Throw.,66,84
2:21,48,Ryan Allen missed Free Throw.,66,84
2:21,-1,Vernon McWhite Defensive Rebound.,66,84
2:15,-1,Josh Covington missed Three Point Jumper.,66,84
2:15,-1,Chris Sause Offensive Rebound.,66,84
2:13,-1,Chris Sause missed Layup.,66,84
2:13,-1,Vernon McWhite Offensive Rebound.,66,84
2:13,-1,Vernon McWhite missed Two Point Tip Shot.,66,84
2:13,48,Ryan Allen Defensive Rebound.,66,84
2:07,48,Jacob Cushing missed Three Point Jumper.,66,84
2:07,-1,NC Wesleyan Deadball Team Rebound.,66,84
1:58,48,Foul on Chyree Walker.,66,84
1:56,-1,Chris Sause missed Free Throw.,66,84
1:56,48,Jacob Cushing Defensive Rebound.,66,84
1:40,48,Ryan Allen made Jumper.,66,86
1:29,-1,NC Wesleyan  Timeout,66,86
1:17,-1,Mitch Layton missed Jumper.,66,86
1:17,48,Chyree Walker Defensive Rebound.,66,86
1:01,48,Ryan Allen missed Layup.,66,86
1:01,-1,Brian Frazier Defensive Rebound.,66,86
0:54,-1,Brian Frazier missed Jumper.,66,86
0:54,-1,Brian Frazier Offensive Rebound.,66,86
0:50,-1,Kaymon Mitchell made Jumper. Assisted by Brian Frazier.,68,86
0:25,48,Jacob Cushing made Jumper.,68,88
0:02,-1,Kaymon Mitchell missed Jumper.,68,88
0:02,-1,Mitch Layton Offensive Rebound.,68,88
0:01,-1,Mitch Layton made Jumper.,70,88
0:01,48,Foul on Connor Rufo.,70,88
0:01,-1,Mitch Layton missed Free Throw.,70,88
0:01,48,Jacob Cushing Defensive Rebound.,70,88
0:00,48,End of Game,68,88
