Sacramento State,302,UC Davis,16
8:15,302,TJ Shorts II Steal.,10,20
7:56,302,Chima Moneke missed Layup.,10,20
7:56,16,Justin Strings Defensive Rebound.,10,20
7:50,16,Izayah Mauriohoohoo-Le'Afa missed Three Point Jumper.,10,20
7:50,302,Garrison Goode Defensive Rebound.,10,20
7:36,302,Siler Schneider made Layup.,10,22
7:30,302,Official TV Timeout,10,22
7:17,16,Joshua Patton missed Jumper.,10,22
7:17,302,Chima Moneke Defensive Rebound.,10,22
6:56,16,Foul on Izayah Mauriohoohoo-Le'Afa.,10,22
6:56,302,Siler Schneider missed Free Throw.,10,22
6:56,16,Joshua Patton Defensive Rebound.,10,22
6:36,16,Jordan Tolbert Turnover.,10,22
6:28,302,TJ Shorts II missed Layup.,10,22
6:28,16,Joshua Patton Defensive Rebound.,10,22
6:21,16,Jordan Tolbert missed Layup.,10,22
6:21,16,Joshua Patton Offensive Rebound.,10,22
6:19,16,Joshua Patton missed Dunk.,10,22
6:19,302,TJ Shorts II Defensive Rebound.,10,22
6:12,302,Michael Onyebalu made Layup.,10,24
5:56,16,Justin Strings missed Jumper.,10,24
5:56,302,UC Davis Defensive Rebound.,10,24
5:34,302,Siler Schneider missed Jumper.,10,24
5:34,16,Justin Strings Defensive Rebound.,10,24
5:30,16,Justin Strings Turnover.,10,24
5:29,302,Siler Schneider Steal.,10,24
5:25,302,Chima Moneke made Layup.,10,26
5:07,16,Justin Strings made Dunk. Assisted by Izayah Mauriohoohoo-Le'Afa.,12,26
4:49,302,Siler Schneider made Jumper. Assisted by TJ Shorts II.,12,28
4:35,16,Justin Strings missed Three Point Jumper.,12,28
4:35,302,Michael Onyebalu Turnover.,12,28
4:35,16,Joshua Patton Offensive Rebound.,12,28
4:35,16,Joshua Patton made Free Throw.,13,28
4:35,16,Joshua Patton made Free Throw.,14,28
4:17,302,Siler Schneider Turnover.,14,28
4:16,16,Jordan Tolbert Steal.,14,28
3:54,302,Official TV Timeout,14,28
3:47,16,Kevin Hicks made Three Point Jumper. Assisted by Joshua Patton.,17,28
3:31,16,Foul on Joshua Patton.,17,28
3:31,302,Chima Moneke made Free Throw.,17,29
3:31,302,Chima Moneke missed Free Throw.,17,29
3:31,16,Bryce Fowler Defensive Rebound.,17,29
3:19,16,Foul on Justin Strings.,17,29
3:19,16,Justin Strings Turnover.,17,29
2:58,302,A.J. John made Layup.,17,31
2:46,16,Jordan Tolbert missed Jumper.,17,31
2:46,302,Delveion Jackson Defensive Rebound.,17,31
2:33,302,Siler Schneider missed Jumper.,17,31
2:33,16,Justin Strings Defensive Rebound.,17,31
2:24,16,Kevin Hicks missed Jumper.,17,31
2:24,302,Chima Moneke Defensive Rebound.,17,31
2:23,16,Foul on Bryce Fowler.,17,31
2:23,302,Chima Moneke missed Free Throw.,17,31
2:23,302,UC Davis Deadball Team Rebound.,17,31
2:23,302,Chima Moneke missed Free Throw.,17,31
2:23,16,Justin Strings Defensive Rebound.,17,31
1:56,16,Jordan Tolbert Turnover.,17,31
1:56,302,Delveion Jackson Steal.,17,31
1:52,302,Chima Moneke made Layup.,17,33
1:43,16,Izayah Mauriohoohoo-Le'Afa missed Layup.,17,33
1:43,302,Chima Moneke Defensive Rebound.,17,33
1:20,302,Arell Hennings missed Three Point Jumper.,17,33
1:20,302,Chima Moneke Offensive Rebound.,17,33
1:14,302,UC Davis  Timeout,17,33
1:05,302,Chima Moneke missed Jumper.,17,33
1:05,16,Jordan Tolbert Defensive Rebound.,17,33
0:51,302,Foul on A.J. John.,17,33
0:51,16,Justin Strings made Free Throw.,18,33
0:51,16,Justin Strings missed Free Throw.,18,33
0:51,302,A.J. John Defensive Rebound.,18,33
0:36,302,Siler Schneider made Three Point Jumper.,18,36
0:12,302,Foul on Chima Moneke.,18,36
0:12,16,Justin Strings made Free Throw.,19,36
0:12,16,Justin Strings made Free Throw.,20,36
0:00,302,End of 1st half,20,36
19:50,302,Chima Moneke missed Jumper.,20,36
19:50,302,Garrison Goode Offensive Rebound.,20,36
19:44,16,Foul on Izayah Mauriohoohoo-Le'Afa.,20,36
19:44,302,Chima Moneke made Free Throw.,20,37
19:44,302,Chima Moneke missed Free Throw.,20,37
19:44,16,Justin Strings Defensive Rebound.,20,37
19:24,16,Kevin Hicks made Three Point Jumper. Assisted by Jordan Tolbert.,23,37
18:55,302,Chima Moneke missed Layup.,23,37
18:55,16,Joshua Patton Block.,23,37
18:54,302,Chima Moneke Offensive Rebound.,23,37
18:53,302,Chima Moneke missed Layup.,23,37
18:53,16,Joshua Patton Block.,23,37
18:52,16,Joshua Patton Defensive Rebound.,23,37
18:47,16,Justin Strings made Three Point Jumper. Assisted by Jordan Tolbert.,26,37
18:26,16,Foul on Joshua Patton.,26,37
18:08,302,Garrison Goode missed Layup.,26,37
18:06,302,UC Davis Offensive Rebound.,26,37
18:00,302,Chima Moneke Turnover.,26,37
18:00,16,Calvin Martin Steal.,26,37
17:55,16,Izayah Mauriohoohoo-Le'Afa missed Layup.,26,37
17:55,302,Chima Moneke Defensive Rebound.,26,37
17:43,16,Foul on Jordan Tolbert.,26,37
17:32,302,Michael Onyebalu Turnover.,26,37
17:19,16,Izayah Mauriohoohoo-Le'Afa missed Jumper.,26,37
17:19,302,Michael Onyebalu Defensive Rebound.,26,37
17:02,302,TJ Shorts II missed Layup.,26,37
17:02,16,Justin Strings Defensive Rebound.,26,37
16:53,16,Kevin Hicks made Three Point Jumper. Assisted by Jordan Tolbert.,29,37
16:32,302,A.J. John missed Three Point Jumper.,29,37
16:32,16,Kevin Hicks Defensive Rebound.,29,37
16:22,16,Jordan Tolbert made Free Throw.,30,37
16:22,16,Jordan Tolbert made Free Throw.,31,37
16:22,16,Jordan Tolbert made Free Throw.,32,37
16:21,302,Foul on A.J. John.,32,37
16:00,302,Garrison Goode Turnover.,32,37
15:57,16,Bryce Fowler Steal.,32,37
15:56,16,Jordan Tolbert missed Layup.,32,37
15:56,302,Joe Mooney Defensive Rebound.,32,37
15:34,302,Delveion Jackson Turnover.,32,37
15:34,302,Official TV Timeout,32,37
15:07,16,Justin Strings Turnover.,32,37
14:56,302,Chima Moneke Turnover.,32,37
14:32,16,Kevin Hicks missed Three Point Jumper.,32,37
14:32,302,TJ Shorts II Defensive Rebound.,32,37
14:15,302,A.J. John made Layup. Assisted by Delveion Jackson.,32,39
13:58,16,Justin Strings Turnover.,32,39
13:57,302,Chima Moneke Steal.,32,39
13:49,16,Foul on Bryce Fowler.,32,39
13:49,302,Chima Moneke made Free Throw.,32,40
13:49,302,Chima Moneke missed Free Throw.,32,40
13:49,302,A.J. John Offensive Rebound.,32,40
13:29,302,A.J. John made Dunk. Assisted by Delveion Jackson.,32,42
13:05,16,Izayah Mauriohoohoo-Le'Afa missed Jumper.,32,42
13:05,302,Chima Moneke Defensive Rebound.,32,42
12:34,302,Delveion Jackson missed Three Point Jumper.,32,42
12:34,16,Justin Strings Defensive Rebound.,32,42
12:13,16,Foul on Justin Strings.,32,42
12:13,16,Justin Strings Turnover.,32,42
11:56,302,Siler Schneider missed Jumper.,32,42
11:56,302,Garrison Goode Offensive Rebound.,32,42
11:54,302,Garrison Goode missed Layup.,32,42
11:54,16,Sacramento State Defensive Rebound.,32,42
11:52,302,Foul on Garrison Goode.,32,42
11:52,302,Official TV Timeout,32,42
11:42,16,Jeff Wu missed Jumper.,32,42
11:42,16,Chibueze Jacobs Offensive Rebound.,32,42
11:35,16,Jeff Wu missed Three Point Jumper.,32,42
11:35,16,Joshua Patton Offensive Rebound.,32,42
11:33,302,Foul on Garrison Goode.,32,42
11:20,16,Joshua Patton missed Jumper.,32,42
11:20,16,Chibueze Jacobs Offensive Rebound.,32,42
11:13,16,Jordan Tolbert missed Jumper.,32,42
11:13,302,Siler Schneider Block.,32,42
11:11,302,Garrison Goode Defensive Rebound.,32,42
10:55,302,Chima Moneke Turnover.,32,42
10:55,16,Joshua Patton Steal.,32,42
10:45,302,Foul on Arell Hennings.,32,42
10:26,16,Jordan Tolbert missed Layup.,32,42
10:26,302,Chima Moneke Defensive Rebound.,32,42
10:07,302,Chima Moneke missed Jumper.,32,42
10:07,16,Jeff Wu Defensive Rebound.,32,42
9:56,16,Foul on Chibueze Jacobs.,32,42
9:56,16,Chibueze Jacobs Turnover.,32,42
9:46,302,Siler Schneider missed Three Point Jumper.,32,42
9:46,16,Jeff Wu Defensive Rebound.,32,42
9:28,16,Joshua Patton made Jumper.,34,42
9:27,302,Foul on Garrison Goode.,34,42
9:27,16,Joshua Patton made Free Throw.,35,42
9:17,302,Chima Moneke Turnover.,35,42
9:07,16,Justin Strings Turnover.,35,42
8:49,302,Siler Schneider Turnover.,35,42
8:48,16,Joshua Patton Steal.,35,42
8:45,16,Jeff Wu made Layup. Assisted by Joshua Patton.,37,42
8:20,302,TJ Shorts II missed Three Point Jumper.,37,42
8:20,302,A.J. John Offensive Rebound.,37,42
8:16,16,Foul on Joshua Patton.,37,42
8:16,302,A.J. John missed Free Throw.,37,42
8:16,16,Jordan Tolbert Defensive Rebound.,37,42
7:58,302,Foul on Garrison Goode.,37,42
7:58,302,Official TV Timeout,37,42
7:44,16,Justin Strings made Three Point Jumper. Assisted by Izayah Mauriohoohoo-Le'Afa.,40,42
7:20,302,TJ Shorts II made Layup.,40,44
7:05,16,Justin Strings missed Three Point Jumper.,40,44
7:05,302,Chima Moneke Defensive Rebound.,40,44
6:46,302,TJ Shorts II made Layup.,40,46
6:32,16,Jordan Tolbert made Three Point Jumper. Assisted by Chibueze Jacobs.,43,46
6:12,302,TJ Shorts II missed Layup.,43,46
6:12,302,Chima Moneke Offensive Rebound.,43,46
6:09,302,Chima Moneke made Layup.,43,48
5:45,16,Justin Strings missed Jumper.,43,48
5:45,302,Chima Moneke Defensive Rebound.,43,48
5:16,302,Siler Schneider made Three Point Jumper. Assisted by TJ Shorts II.,43,51
5:14,302,UC Davis  Timeout,43,51
5:04,16,Kevin Hicks missed Three Point Jumper.,43,51
5:04,16,Justin Strings Offensive Rebound.,43,51
4:55,16,Izayah Mauriohoohoo-Le'Afa missed Three Point Jumper.,43,51
4:55,302,Chima Moneke Defensive Rebound.,43,51
4:29,302,UC Davis  Timeout,43,51
4:28,302,Siler Schneider missed Jumper.,43,51
4:28,16,Justin Strings Defensive Rebound.,43,51
4:11,16,Jordan Tolbert Turnover.,43,51
4:10,302,Chima Moneke Steal.,43,51
3:44,302,Siler Schneider made Three Point Jumper.,43,54
3:23,16,Justin Strings Turnover.,43,54
3:11,302,Chima Moneke made Jumper. Assisted by TJ Shorts II.,43,56
3:03,16,Jordan Tolbert Turnover.,43,56
3:02,302,TJ Shorts II Steal.,43,56
3:01,16,Foul on Jordan Tolbert.,43,56
3:01,302,TJ Shorts II made Free Throw.,43,57
3:01,302,TJ Shorts II missed Free Throw.,43,57
3:01,16,Bryce Fowler Defensive Rebound.,43,57
3:00,302,Foul on Michael Onyebalu.,43,57
3:00,16,Bryce Fowler missed Free Throw.,43,57
3:00,302,Delveion Jackson Defensive Rebound.,43,57
2:46,16,Foul on Bryce Fowler.,43,57
2:46,302,Chima Moneke made Free Throw.,43,58
2:46,302,Chima Moneke made Free Throw.,43,59
2:26,16,Justin Strings Turnover.,43,59
2:26,302,Chima Moneke Steal.,43,59
2:12,302,TJ Shorts II Turnover.,43,59
2:00,16,Justin Strings missed Jumper.,43,59
2:00,302,Delveion Jackson Defensive Rebound.,43,59
1:53,302,UC Davis  Timeout,43,59
1:45,302,Delveion Jackson made Layup. Assisted by TJ Shorts II.,43,61
1:38,16,Justin Strings made Layup. Assisted by Izayah Mauriohoohoo-Le'Afa.,45,61
1:09,302,Siler Schneider Turnover.,45,61
1:08,16,Jeff Wu Steal.,45,61
1:07,16,Jeff Wu made Layup.,47,61
0:55,302,Chima Moneke made Dunk. Assisted by TJ Shorts II.,47,63
0:49,16,Kevin Hicks missed Layup.,47,63
0:49,302,Siler Schneider Block.,47,63
0:48,302,Siler Schneider Defensive Rebound.,47,63
0:37,16,Foul on Justin Strings.,47,63
0:37,302,TJ Shorts II missed Free Throw.,47,63
0:37,302,UC Davis Deadball Team Rebound.,47,63
0:37,302,TJ Shorts II made Free Throw.,47,64
0:29,16,Jamion Wright Turnover.,47,64
0:29,302,TJ Shorts II Steal.,47,64
0:00,302,End of Game,47,64
