Western Carolina,113,Massachusetts,2717
4:12,2717,Onno Steger Turnover.,30,33
3:48,113,C.J. Anderson made Layup. Assisted by Chris Baldwin.,30,35
3:34,2717,Deriece Parks missed Three Point Jumper.,30,35
3:34,113,Carl Pierre Defensive Rebound.,30,35
3:20,2717,Foul on Onno Steger.,30,35
3:20,113,Official TV Timeout,30,35
3:20,113,Carl Pierre made Free Throw.,30,36
3:20,113,Carl Pierre made Free Throw.,30,37
2:57,113,Foul on Chris Baldwin.,30,37
2:57,2717,Devin Peterson missed Free Throw.,30,37
2:57,113,Khalea Turner-Morris Defensive Rebound.,30,37
2:36,113,Carl Pierre missed Three Point Jumper.,30,37
2:36,2717,Marc Gosselin Defensive Rebound.,30,37
2:15,2717,Foul on Marc Gosselin.,30,37
2:15,2717,Marc Gosselin Turnover.,30,37
1:56,113,Luwane Pipkins missed Three Point Jumper.,30,37
1:56,2717,Mike Amius Defensive Rebound.,30,37
1:30,2717,Devin Peterson missed Layup.,30,37
1:30,113,Khalea Turner-Morris Defensive Rebound.,30,37
1:15,113,Carl Pierre made Three Point Jumper. Assisted by C.J. Anderson.,30,40
1:12,113,UMass  Timeout,30,40
0:59,2717,Deriece Parks Turnover.,30,40
0:58,113,Unique McLean Steal.,30,40
0:55,113,Luwane Pipkins made Layup. Assisted by Rayshawn Miller.,30,42
0:26,113,Foul on Carl Pierre.,30,42
0:26,2717,Devin Peterson made Free Throw.,31,42
0:26,2717,Devin Peterson made Free Throw.,32,42
0:04,113,Luwane Pipkins missed Layup.,32,42
0:04,2717,Mike Amius Block.,32,42
0:02,2717,Deriece Parks Defensive Rebound.,32,42
0:01,113,Foul on C.J. Anderson.,32,42
0:01,2717,Devin Peterson made Free Throw.,33,42
0:01,2717,Devin Peterson made Free Throw.,34,42
0:01,2717,Devin Peterson made Free Throw.,35,42
0:00,113,End of 1st half,32,42
19:44,113,Rashaan Holloway made Layup. Assisted by Rayshawn Miller.,35,44
19:33,2717,Matt Halvorsen missed Three Point Jumper.,35,44
19:33,2717,Marc Gosselin Offensive Rebound.,35,44
19:30,113,Foul on C.J. Anderson.,35,44
19:29,113,Foul on Rayshawn Miller.,35,44
19:29,2717,Matt Halvorsen missed Free Throw.,35,44
19:29,2717,Western Carolina Deadball Team Rebound.,35,44
19:29,2717,Matt Halvorsen made Free Throw.,36,44
19:10,113,Malik Hines Turnover.,36,44
18:50,113,Foul on Rayshawn Miller.,36,44
18:50,2717,Matt Halvorsen made Free Throw.,37,44
18:50,2717,Matt Halvorsen made Free Throw.,38,44
18:50,2717,Matt Halvorsen missed Free Throw.,38,44
18:50,113,Rashaan Holloway Defensive Rebound.,38,44
18:45,113,C.J. Anderson missed Three Point Jumper.,38,44
18:45,113,Malik Hines Offensive Rebound.,38,44
18:28,113,C.J. Anderson missed Three Point Jumper.,38,44
18:28,113,Malik Hines Offensive Rebound.,38,44
18:22,113,Malik Hines made Layup.,38,46
18:08,2717,Mike Amius Turnover.,38,46
17:34,113,Carl Pierre missed Three Point Jumper.,38,46
17:34,2717,Deriece Parks Defensive Rebound.,38,46
17:25,2717,Deriece Parks missed Three Point Jumper.,38,46
17:25,113,UMass Defensive Rebound.,38,46
17:09,113,Luwane Pipkins Turnover.,38,46
16:51,2717,Matt Halvorsen missed Jumper.,38,46
16:51,113,Rashaan Holloway Defensive Rebound.,38,46
16:37,113,Luwane Pipkins missed Jumper.,38,46
16:37,113,Malik Hines Offensive Rebound.,38,46
16:34,113,Carl Pierre missed Jumper.,38,46
16:34,113,UMass Offensive Rebound.,38,46
16:08,113,Rashaan Holloway Turnover.,38,46
16:07,2717,Matt Halvorsen Steal.,38,46
16:05,113,Foul on Carl Pierre.,38,46
16:05,2717,Matt Halvorsen made Free Throw.,39,46
16:05,2717,Matt Halvorsen made Free Throw.,40,46
15:46,113,Rayshawn Miller Turnover.,40,46
15:45,2717,Haboubacar Mutombo Steal.,40,46
15:35,113,Official TV Timeout,40,46
15:21,2717,Matt Halvorsen missed Three Point Jumper.,40,46
15:21,113,Malik Hines Defensive Rebound.,40,46
14:55,113,Malik Hines made Layup. Assisted by Luwane Pipkins.,40,48
14:37,2717,Marc Gosselin Turnover.,40,48
14:16,113,Unique McLean Turnover.,40,48
14:14,2717,Marc Gosselin Steal.,40,48
13:51,2717,Marc Gosselin made Jumper.,42,48
13:39,113,C.J. Anderson missed Layup.,42,48
13:39,2717,Marc Gosselin Block.,42,48
13:36,113,C.J. Anderson Offensive Rebound.,42,48
13:29,113,Chris Baldwin Turnover.,42,48
13:27,2717,Marc Gosselin Steal.,42,48
13:09,2717,Marc Gosselin made Jumper. Assisted by Charlendez Brooks.,44,48
12:55,113,Luwane Pipkins missed Three Point Jumper.,44,48
12:55,113,Malik Hines Offensive Rebound.,44,48
12:51,2717,Foul on Charlendez Brooks.,44,48
12:45,113,Chris Baldwin Turnover.,44,48
12:17,2717,Haboubacar Mutombo Turnover.,44,48
12:03,2717,Foul on Charlendez Brooks.,44,48
12:03,113,Unique McLean made Free Throw.,44,49
12:03,113,Unique McLean made Free Throw.,44,50
11:48,2717,Desmond Johnson made Layup.,46,50
11:48,113,Foul on Unique McLean.,46,50
11:48,113,Official TV Timeout,46,50
11:48,2717,Desmond Johnson made Free Throw.,47,50
11:38,113,Rayshawn Miller made Jumper. Assisted by Unique McLean.,47,52
11:38,2717,Foul on Marc Gosselin.,47,52
11:38,113,Rayshawn Miller made Free Throw.,47,53
11:05,2717,Maurice Smith missed Three Point Jumper.,47,53
11:05,2717,Desmond Johnson Offensive Rebound.,47,53
11:00,2717,Desmond Johnson made Layup.,49,53
10:47,113,Luwane Pipkins Turnover.,49,53
10:45,2717,Desmond Johnson Steal.,49,53
10:42,113,Foul on Unique McLean.,49,53
10:42,2717,Desmond Johnson made Free Throw.,50,53
10:42,2717,Desmond Johnson missed Free Throw.,50,53
10:42,113,Chris Baldwin Defensive Rebound.,50,53
10:14,113,Rayshawn Miller missed Three Point Jumper.,50,53
10:14,2717,Western Carolina Deadball Team Rebound.,50,53
10:14,113,Foul on Malik Hines.,50,53
10:14,2717,Desmond Johnson made Free Throw.,51,53
10:14,2717,Desmond Johnson made Free Throw.,52,53
10:04,2717,Foul on Desmond Johnson.,52,53
9:44,113,Rayshawn Miller missed Three Point Jumper.,52,53
9:44,113,UMass Offensive Rebound.,52,53
9:42,2717,Foul on Deriece Parks.,52,53
9:33,113,Chris Baldwin made Layup. Assisted by Luwane Pipkins.,52,55
9:07,2717,Maurice Smith made Jumper.,54,55
8:55,113,Rayshawn Miller made Three Point Jumper. Assisted by Luwane Pipkins.,54,58
8:28,2717,Onno Steger Turnover.,54,58
8:28,2717,Western Carolina  Timeout,54,58
8:05,113,Luwane Pipkins made Three Point Jumper. Assisted by C.J. Anderson.,54,61
7:47,2717,Mike Amius Turnover.,54,61
7:47,113,Official TV Timeout,54,61
7:21,113,Carl Pierre missed Three Point Jumper.,54,61
7:21,2717,Deriece Parks Defensive Rebound.,54,61
7:19,2717,Deriece Parks Turnover.,54,61
7:01,113,Malik Hines made Layup. Assisted by Luwane Pipkins.,54,63
7:01,2717,Foul on Devin Peterson.,54,63
7:01,113,Malik Hines made Free Throw.,54,64
6:51,2717,Devin Peterson Turnover.,54,64
6:49,113,Luwane Pipkins Steal.,54,64
6:47,113,Carl Pierre made Dunk. Assisted by Luwane Pipkins.,54,66
6:44,2717,Western Carolina  Timeout,54,66
6:26,2717,Deriece Parks missed Layup.,54,66
6:26,113,Rashaan Holloway Block.,54,66
6:23,2717,Adam Sledd Offensive Rebound.,54,66
6:21,2717,Adam Sledd made Layup.,56,66
6:05,113,Carl Pierre made Three Point Jumper. Assisted by Luwane Pipkins.,56,69
5:43,2717,Matt Halvorsen missed Three Point Jumper.,56,69
5:43,113,Luwane Pipkins Defensive Rebound.,56,69
5:37,113,Foul on Rashaan Holloway.,56,69
5:37,113,Rashaan Holloway Turnover.,56,69
5:36,113,Foul on C.J. Anderson.,56,69
5:36,2717,Desmond Johnson made Free Throw.,57,69
5:36,2717,Desmond Johnson made Free Throw.,58,69
5:22,113,Luwane Pipkins missed Three Point Jumper.,58,69
5:22,2717,Desmond Johnson Defensive Rebound.,58,69
5:12,2717,Adam Sledd missed Layup.,58,69
5:12,113,Rashaan Holloway Block.,58,69
5:09,2717,Adam Sledd Offensive Rebound.,58,69
5:07,2717,Adam Sledd made Layup.,60,69
4:46,113,Rayshawn Miller missed Three Point Jumper.,60,69
4:46,2717,Marc Gosselin Defensive Rebound.,60,69
4:44,2717,Marc Gosselin Turnover.,60,69
4:40,113,UMass  Timeout,60,69
4:29,113,Chris Baldwin missed Layup.,60,69
4:29,2717,Desmond Johnson Defensive Rebound.,60,69
4:20,2717,Desmond Johnson missed Layup.,60,69
4:20,2717,Haboubacar Mutombo Offensive Rebound.,60,69
4:16,2717,Haboubacar Mutombo missed Layup.,60,69
4:16,113,Chris Baldwin Defensive Rebound.,60,69
3:55,113,Rayshawn Miller made Jumper. Assisted by Luwane Pipkins.,60,71
3:25,113,Foul on Rayshawn Miller.,60,71
3:25,113,Official TV Timeout,60,71
3:25,2717,Desmond Johnson made Free Throw.,61,71
3:25,2717,Desmond Johnson made Free Throw.,62,71
3:10,113,Rayshawn Miller missed Three Point Jumper.,62,71
3:10,113,Malik Hines Offensive Rebound.,62,71
3:06,113,Malik Hines made Layup.,62,73
2:55,2717,Matt Halvorsen missed Three Point Jumper.,62,73
2:55,2717,Maurice Smith Offensive Rebound.,62,73
2:40,2717,Adam Sledd made Layup. Assisted by Desmond Johnson.,64,73
2:14,113,Luwane Pipkins made Three Point Jumper. Assisted by C.J. Anderson.,64,76
1:57,2717,Matt Halvorsen made Three Point Jumper. Assisted by Desmond Johnson.,67,76
1:37,113,C.J. Anderson missed Layup.,67,76
1:37,113,Malik Hines Offensive Rebound.,67,76
1:33,113,Malik Hines made Two Point Tip Shot.,67,78
1:11,2717,Maurice Smith missed Layup.,67,78
1:11,113,Chris Baldwin Block.,67,78
1:08,2717,Maurice Smith Offensive Rebound.,67,78
1:08,113,Foul on Chris Baldwin.,67,78
1:08,2717,Maurice Smith made Free Throw.,68,78
1:08,2717,Maurice Smith missed Free Throw.,68,78
1:08,2717,Haboubacar Mutombo Offensive Rebound.,68,78
1:03,2717,Matt Halvorsen made Three Point Jumper. Assisted by Haboubacar Mutombo.,71,78
0:39,2717,Foul on Adam Sledd.,71,78
0:39,113,C.J. Anderson missed Free Throw.,71,78
0:39,113,UMass Deadball Team Rebound.,71,78
0:39,113,C.J. Anderson made Free Throw.,71,79
0:31,113,Foul on Carl Pierre.,71,79
0:30,2717,Matt Halvorsen made Free Throw.,72,79
0:30,2717,Matt Halvorsen made Free Throw.,73,79
0:28,2717,Foul on Marc Gosselin.,73,79
0:28,113,C.J. Anderson made Free Throw.,73,80
0:28,113,C.J. Anderson made Free Throw.,73,81
0:21,2717,Matt Halvorsen Turnover.,73,81
0:21,113,Luwane Pipkins Steal.,73,81
0:21,2717,Foul on Ashley Williams.,73,81
0:21,113,Luwane Pipkins made Free Throw.,73,82
0:21,113,Luwane Pipkins made Free Throw.,73,83
0:12,2717,Matt Halvorsen missed Three Point Jumper.,73,83
0:12,113,Rayshawn Miller Defensive Rebound.,73,83
0:07,2717,Foul on Matt Halvorsen.,73,83
0:07,113,Luwane Pipkins made Free Throw.,73,84
0:07,113,Luwane Pipkins made Free Throw.,73,85
0:00,2717,Desmond Johnson made Three Point Jumper.,76,85
0:00,113,End of Game,76,85
