Wisconsin,26,UCLA,275
13:55,275,Andy Van Vliet Defensive Rebound.,7,9
13:44,275,Khalil Iverson made Layup. Assisted by Brevin Pritzl.,9,9
13:30,275,Foul on Andy Van Vliet.,9,9
13:30,26,Gyorgy Goloman missed Free Throw.,9,9
13:30,26,UCLA Deadball Team Rebound.,9,9
13:30,26,Gyorgy Goloman made Free Throw.,9,10
13:09,26,Foul on Kris Wilkes.,9,10
12:58,275,Ethan Happ made Layup.,11,10
12:25,26,Chris Smith missed Jumper.,11,10
12:25,275,Ethan Happ Defensive Rebound.,11,10
12:17,275,Ethan Happ made Layup.,13,10
11:57,26,Gyorgy Goloman made Layup.,13,12
11:57,26,Official TV Timeout,13,12
11:56,275,Foul on Alex Illikainen.,13,12
11:56,26,Official TV Timeout,13,12
11:56,26,Gyorgy Goloman made Free Throw.,13,13
11:30,275,Ethan Happ made Layup. Assisted by Alex Illikainen.,15,13
10:59,26,Prince Ali made Jumper.,15,15
10:45,275,Ethan Happ Turnover.,15,15
10:36,26,Thomas Welsh missed Three Point Jumper.,15,15
10:36,275,Brad Davison Defensive Rebound.,15,15
10:21,275,Kobe King missed Three Point Jumper.,15,15
10:21,26,UCLA Defensive Rebound.,15,15
10:04,26,Alex Olesinski missed Three Point Jumper.,15,15
10:04,275,Ethan Happ Defensive Rebound.,15,15
10:00,26,Foul on Prince Ali.,15,15
10:00,26,Technical Foul on Prince Ali.,15,15
10:00,275,Brad Davison missed Free Throw.,15,15
10:00,275,Wisconsin Deadball Team Rebound.,15,15
10:00,275,Brad Davison made Free Throw.,16,15
9:39,275,Khalil Iverson made Dunk. Assisted by Ethan Happ.,18,15
9:24,275,Foul on Kobe King.,18,15
9:24,26,Chris Smith made Free Throw.,18,16
9:24,26,Chris Smith made Free Throw.,18,17
8:59,275,D'Mitrik Trice made Jumper.,20,17
8:48,26,Prince Ali Turnover.,20,17
8:21,275,Brad Davison missed Three Point Jumper.,20,17
8:21,26,UCLA Defensive Rebound.,20,17
8:06,26,Gyorgy Goloman made Jumper.,20,19
7:53,275,Brad Davison Turnover.,20,19
7:53,275,Foul on Brad Davison.,20,19
7:53,26,Official TV Timeout,20,19
7:36,26,Chris Smith Turnover.,20,19
7:36,26,Foul on Chris Smith.,20,19
7:21,275,Khalil Iverson made Dunk. Assisted by Ethan Happ.,22,19
7:00,275,Ethan Happ Block.,22,19
7:00,26,Prince Ali missed Layup.,22,19
7:00,275,Ethan Happ Defensive Rebound.,22,19
6:31,275,Brevin Pritzl missed Three Point Jumper.,22,19
6:31,26,Gyorgy Goloman Defensive Rebound.,22,19
6:15,26,Gyorgy Goloman made Three Point Jumper. Assisted by Kris Wilkes.,22,22
6:01,275,D'Mitrik Trice made Jumper.,24,22
5:49,26,Aaron Holiday made Layup.,24,24
5:34,275,Brevin Pritzl missed Three Point Jumper.,24,24
5:34,275,Alex Illikainen Offensive Rebound.,24,24
5:24,275,Ethan Happ made Jumper.,26,24
5:14,26,Thomas Welsh made Jumper. Assisted by Aaron Holiday.,26,26
4:56,26,Foul on Gyorgy Goloman.,26,26
4:46,275,Brad Davison made Three Point Jumper.,29,26
4:31,26,Aaron Holiday missed Three Point Jumper.,29,26
4:31,26,Kris Wilkes Offensive Rebound.,29,26
4:25,26,Kris Wilkes Turnover.,29,26
4:24,275,Brad Davison Steal.,29,26
4:00,275,D'Mitrik Trice made Layup.,31,26
3:51,26,Jaylen Hands Turnover.,31,26
3:51,26,Foul on Jaylen Hands.,31,26
3:51,26,Official TV Timeout,31,26
3:35,275,Khalil Iverson missed Three Point Jumper.,31,26
3:35,26,Aaron Holiday Defensive Rebound.,31,26
3:27,26,Gyorgy Goloman Turnover.,31,26
3:27,26,Foul on Gyorgy Goloman.,31,26
3:12,275,D'Mitrik Trice missed Three Point Jumper.,31,26
3:12,26,Thomas Welsh Defensive Rebound.,31,26
3:03,26,Kris Wilkes missed Jumper.,31,26
3:03,275,D'Mitrik Trice Defensive Rebound.,31,26
2:58,26,Foul on Thomas Welsh.,31,26
2:57,275,Kobe King made Free Throw.,32,26
2:57,275,Kobe King made Free Throw.,33,26
2:43,26,Prince Ali Turnover.,33,26
2:23,275,Brad Davison missed Three Point Jumper.,33,26
2:23,275,Khalil Iverson Offensive Rebound.,33,26
2:18,26,Foul on Gyorgy Goloman.,33,26
2:18,275,Khalil Iverson made Free Throw.,34,26
2:18,275,Khalil Iverson made Free Throw.,35,26
2:10,26,Prince Ali Turnover.,35,26
1:51,275,Brad Davison made Three Point Jumper. Assisted by Ethan Happ.,38,26
1:48,26,UCLA  Timeout,38,26
1:41,275,Foul on Khalil Iverson.,38,26
1:41,26,Alex Olesinski made Free Throw.,38,27
1:41,26,Alex Olesinski missed Free Throw.,38,27
1:41,275,Khalil Iverson Defensive Rebound.,38,27
1:18,275,Ethan Happ missed Layup.,38,27
1:18,26,Chris Smith Block.,38,27
1:16,26,Alex Olesinski Defensive Rebound.,38,27
1:11,26,Jaylen Hands made Jumper.,38,29
0:49,275,Ethan Happ missed Jumper.,38,29
0:49,26,Thomas Welsh Defensive Rebound.,38,29
0:40,26,Thomas Welsh missed Three Point Jumper.,38,29
0:40,275,D'Mitrik Trice Defensive Rebound.,38,29
0:25,275,Wisconsin  Timeout,38,29
0:14,26,Foul on Aaron Holiday.,38,29
0:14,275,D'Mitrik Trice missed Free Throw.,38,29
0:14,275,Wisconsin Deadball Team Rebound.,38,29
0:14,275,D'Mitrik Trice missed Free Throw.,38,29
0:13,26,UCLA Defensive Rebound.,38,29
0:01,26,Aaron Holiday made Layup.,38,31
0:00,26,End of 1st half,38,31
19:47,275,Ethan Happ made Layup.,40,31
19:35,275,Foul on D'Mitrik Trice.,40,31
19:27,26,Jaylen Hands missed Three Point Jumper.,40,31
19:27,26,Kris Wilkes Offensive Rebound.,40,31
19:22,26,Kris Wilkes made Jumper.,40,33
19:04,275,D'Mitrik Trice missed Three Point Jumper.,40,33
19:04,26,Gyorgy Goloman Defensive Rebound.,40,33
18:59,26,Gyorgy Goloman Turnover.,40,33
18:59,26,Foul on Gyorgy Goloman.,40,33
18:52,275,D'Mitrik Trice missed Three Point Jumper.,40,33
18:52,26,UCLA Deadball Team Rebound.,40,33
18:49,275,Foul on Aleem Ford.,40,33
18:38,26,Aaron Holiday made Layup.,40,35
18:23,275,Brad Davison missed Three Point Jumper.,40,35
18:23,26,Aaron Holiday Defensive Rebound.,40,35
18:16,26,Jaylen Hands made Three Point Jumper. Assisted by Aaron Holiday.,40,38
17:51,275,Ethan Happ missed Layup.,40,38
17:51,26,Thomas Welsh Defensive Rebound.,40,38
17:45,26,Kris Wilkes missed Three Point Jumper.,40,38
17:45,26,Alex Olesinski Offensive Rebound.,40,38
17:38,26,Alex Olesinski made Layup. Assisted by Thomas Welsh.,40,40
17:18,26,Foul on Kris Wilkes.,40,40
17:17,26,Official TV Timeout,40,40
17:08,275,Brad Davison missed Jumper.,40,40
17:08,26,Kris Wilkes Defensive Rebound.,40,40
16:53,26,Jaylen Hands made Layup.,40,42
16:37,26,Foul on Alex Olesinski.,40,42
16:21,275,Aleem Ford missed Jumper.,40,42
16:21,275,Khalil Iverson Offensive Rebound.,40,42
16:05,275,Kobe King made Jumper.,42,42
15:57,26,Kris Wilkes made Jumper.,42,44
15:31,275,Kobe King made Jumper.,44,44
15:22,275,Foul on Khalil Iverson.,44,44
15:22,26,Official TV Timeout,44,44
15:20,26,Official TV Timeout,44,44
15:15,26,Aaron Holiday made Layup.,44,46
15:08,275,Brad Davison Turnover.,44,46
15:08,275,Foul on Brad Davison.,44,46
14:53,26,Prince Ali made Three Point Jumper. Assisted by Aaron Holiday.,44,49
14:33,275,Brevin Pritzl missed Three Point Jumper.,44,49
14:33,275,Ethan Happ Offensive Rebound.,44,49
14:27,275,Ethan Happ Turnover.,44,49
14:25,26,Aaron Holiday Steal.,44,49
14:19,26,Alex Olesinski made Three Point Jumper. Assisted by Prince Ali.,44,52
14:07,275,Wisconsin  Timeout,44,52
13:48,26,Foul on Alex Olesinski.,44,52
13:48,275,Ethan Happ made Free Throw.,45,52
13:48,275,Ethan Happ made Free Throw.,46,52
13:23,275,Foul on D'Mitrik Trice.,46,52
13:19,26,Prince Ali made Three Point Jumper. Assisted by Alex Olesinski.,46,55
12:56,275,Khalil Iverson Turnover.,46,55
12:55,26,Aaron Holiday Steal.,46,55
12:52,26,Prince Ali missed Layup.,46,55
12:52,275,Khalil Iverson Defensive Rebound.,46,55
12:45,275,Brad Davison made Three Point Jumper. Assisted by Ethan Happ.,49,55
12:19,26,Thomas Welsh missed Jumper.,49,55
12:19,275,Brad Davison Defensive Rebound.,49,55
11:55,275,Kobe King made Three Point Jumper. Assisted by Khalil Iverson.,52,55
11:29,275,Foul on Ethan Happ.,52,55
11:29,26,Official TV Timeout,52,55
11:28,26,Official TV Timeout,52,55
11:21,26,Aaron Holiday missed Jumper.,52,55
11:21,275,D'Mitrik Trice Defensive Rebound.,52,55
11:13,26,Foul on Alex Olesinski.,52,55
11:13,275,Khalil Iverson missed Free Throw.,52,55
11:13,275,Wisconsin Deadball Team Rebound.,52,55
11:13,275,Khalil Iverson made Free Throw.,53,55
10:55,26,Thomas Welsh missed Jumper.,53,55
10:55,275,D'Mitrik Trice Defensive Rebound.,53,55
10:25,275,Ethan Happ missed Jumper.,53,55
10:25,26,Chris Smith Defensive Rebound.,53,55
10:01,26,Prince Ali made Jumper.,53,57
9:50,26,Foul on Aaron Holiday.,53,57
9:50,275,D'Mitrik Trice missed Free Throw.,53,57
9:50,275,Wisconsin Deadball Team Rebound.,53,57
9:50,275,D'Mitrik Trice made Free Throw.,54,57
9:31,26,Gyorgy Goloman Turnover.,54,57
9:29,275,Aleem Ford Steal.,54,57
9:19,275,Ethan Happ made Dunk. Assisted by D'Mitrik Trice.,56,57
9:07,275,Foul on D'Mitrik Trice.,56,57
9:07,26,Aaron Holiday missed Free Throw.,56,57
9:07,275,Ethan Happ Defensive Rebound.,56,57
8:59,26,Foul on Aaron Holiday.,56,57
8:59,275,D'Mitrik Trice made Free Throw.,57,57
8:59,275,D'Mitrik Trice made Free Throw.,58,57
8:41,26,Thomas Welsh Turnover.,58,57
8:20,275,Ethan Happ made Jumper.,60,57
8:06,26,Chris Smith missed Jumper.,60,57
8:06,275,Ethan Happ Defensive Rebound.,60,57
7:51,26,Official TV Timeout,60,57
7:40,275,Brad Davison made Jumper.,62,57
7:23,26,Jaylen Hands missed Jumper.,62,57
7:23,275,Wisconsin Defensive Rebound.,62,57
7:03,275,Ethan Happ Turnover.,62,57
7:02,26,Kris Wilkes Steal.,62,57
6:51,26,Gyorgy Goloman missed Jumper.,62,57
6:51,275,Khalil Iverson Defensive Rebound.,62,57
6:29,275,Khalil Iverson missed Layup.,62,57
6:29,26,Gyorgy Goloman Defensive Rebound.,62,57
6:14,26,Thomas Welsh missed Jumper.,62,57
6:14,26,Thomas Welsh Offensive Rebound.,62,57
6:14,275,Foul on Ethan Happ.,62,57
6:14,26,Thomas Welsh made Free Throw.,62,58
6:14,26,Thomas Welsh made Free Throw.,62,59
5:50,275,D'Mitrik Trice missed Three Point Jumper.,62,59
5:50,26,Thomas Welsh Defensive Rebound.,62,59
5:44,26,Gyorgy Goloman Turnover.,62,59
5:34,275,Brad Davison missed Three Point Jumper.,62,59
5:34,26,Kris Wilkes Defensive Rebound.,62,59
5:20,275,Foul on Brad Davison.,62,59
5:20,26,Thomas Welsh missed Free Throw.,62,59
5:20,275,Ethan Happ Defensive Rebound.,62,59
4:58,26,Foul on Kris Wilkes.,62,59
4:58,275,Ethan Happ missed Free Throw.,62,59
4:58,275,Wisconsin Deadball Team Rebound.,62,59
4:58,275,Ethan Happ made Free Throw.,63,59
4:43,26,Thomas Welsh missed Jumper.,63,59
4:43,275,Wisconsin Defensive Rebound.,63,59
4:24,275,Khalil Iverson Turnover.,63,59
4:09,26,Chris Smith Turnover.,63,59
4:08,275,Ethan Happ Steal.,63,59
3:52,26,Foul on Kris Wilkes.,63,59
3:52,26,Official TV Timeout,63,59
3:52,275,Brad Davison made Free Throw.,64,59
3:52,275,Brad Davison made Free Throw.,65,59
3:40,26,Prince Ali Turnover.,65,59
3:40,26,Foul on Prince Ali.,65,59
3:29,275,Brad Davison Turnover.,65,59
3:28,26,Thomas Welsh Steal.,65,59
3:25,26,Jaylen Hands made Three Point Jumper. Assisted by Aaron Holiday.,65,62
3:00,275,Ethan Happ made Layup.,67,62
2:47,26,Aaron Holiday made Three Point Jumper. Assisted by Jaylen Hands.,67,65
2:45,26,UCLA  Timeout,67,65
2:24,275,Brad Davison missed Jumper.,67,65
2:24,26,Thomas Welsh Defensive Rebound.,67,65
2:16,275,Foul on Ethan Happ.,67,65
2:16,26,Aaron Holiday made Free Throw.,67,66
2:16,26,Aaron Holiday made Free Throw.,67,67
2:03,275,Khalil Iverson Turnover.,67,67
2:02,26,Prince Ali Steal.,67,67
1:45,26,Prince Ali Turnover.,67,67
1:44,275,Khalil Iverson Steal.,67,67
1:27,275,Khalil Iverson Turnover.,67,67
1:27,26,Aaron Holiday Steal.,67,67
1:24,26,UCLA  Timeout,67,67
1:14,26,Gyorgy Goloman Turnover.,67,67
1:00,275,Aleem Ford missed Three Point Jumper.,67,67
1:00,26,Gyorgy Goloman Defensive Rebound.,67,67
0:45,26,Aaron Holiday made Three Point Jumper.,67,70
0:33,275,D'Mitrik Trice made Layup.,69,70
0:32,26,Gyorgy Goloman Turnover.,69,70
0:31,275,Brad Davison Steal.,69,70
0:31,26,Foul on Gyorgy Goloman.,69,70
0:31,275,Khalil Iverson missed Free Throw.,69,70
0:31,275,Wisconsin Deadball Team Rebound.,69,70
0:31,275,Khalil Iverson made Free Throw.,70,70
0:13,26,UCLA  Timeout,70,70
0:01,26,Aaron Holiday made Layup.,70,72
0:00,26,End of Game,70,72
