Houston Baptist,259,Virginia Tech,2277
7:34,2277,Josh Ibarra Offensive Rebound.,22,24
7:31,2277,Josh Ibarra missed Two Point Tip Shot.,22,24
7:31,2277,Ian DuBose Offensive Rebound.,22,24
7:26,2277,Ian DuBose made Layup.,24,24
7:19,259,made Three Point Jumper. Assisted by Devin Wilson.,24,27
7:06,2277,Ian DuBose made Three Point Jumper. Assisted by Josh Ibarra.,27,27
6:41,259,Ahmed Hill Turnover.,27,27
6:41,259,Official TV Timeout,27,27
6:19,2277,David Caraher made Three Point Jumper. Assisted by Braxton Bonds.,30,27
5:59,259,missed Layup.,30,27
5:59,2277,Braxton Bonds Defensive Rebound.,30,27
5:40,2277,Josh Ibarra made Jumper. Assisted by Braxton Bonds.,32,27
5:15,259,Ahmed Hill made Three Point Jumper.,32,30
4:46,2277,Turnover.,32,30
4:43,259,Justin Bibbs made Layup. Assisted by Devin Wilson.,32,32
4:37,2277,Philip McKenzie missed Layup.,32,32
4:37,259,Ahmed Hill Defensive Rebound.,32,32
4:30,259,Tyrie Jackson made Layup. Assisted by Ahmed Hill.,32,34
4:07,2277,Josh Ibarra missed Jumper.,32,34
4:07,259,Tyrie Jackson Defensive Rebound.,32,34
4:00,2277,Foul on  .,32,34
4:00,259,Official TV Timeout,32,34
4:00,259,Devin Wilson missed Free Throw.,32,34
4:00,259,Virginia Tech Deadball Team Rebound.,32,34
4:00,259,Devin Wilson missed Free Throw.,32,34
4:00,2277,Josh Ibarra Defensive Rebound.,32,34
3:41,2277,Josh Ibarra made Layup.,34,34
3:17,259,Turnover.,34,34
2:52,2277,made Jumper.,36,34
2:27,259,Justin Bibbs made Three Point Jumper. Assisted by Ahmed Hill.,36,37
2:11,2277,David Caraher missed Three Point Jumper.,36,37
2:11,2277,Ian DuBose Offensive Rebound.,36,37
2:06,2277,Ian DuBose missed Layup.,36,37
2:06,259,Ahmed Hill Defensive Rebound.,36,37
2:01,2277,Foul on  .,36,37
2:01,259,Ahmed Hill made Free Throw.,36,38
2:01,259,Ahmed Hill made Free Throw.,36,39
1:46,2277,Josh Ibarra missed Layup.,36,39
1:46,259,Justin Bibbs Defensive Rebound.,36,39
1:36,259,Ahmed Hill missed Three Point Jumper.,36,39
1:36,2277,Ian DuBose Defensive Rebound.,36,39
1:16,2277,Ian DuBose missed Three Point Jumper.,36,39
1:16,259,Tyrie Jackson Defensive Rebound.,36,39
1:09,2277,Foul on Braxton Bonds.,36,39
1:09,259,Ahmed Hill made Free Throw.,36,40
1:09,259,Ahmed Hill made Free Throw.,36,41
0:45,2277,Josh Ibarra made Jumper.,38,41
0:31,259,Virginia Tech  Timeout,38,41
0:12,259,Justin Bibbs made Three Point Jumper.,38,44
0:02,2277,Josh Ibarra missed Jumper.,38,44
0:02,259,Justin Bibbs Defensive Rebound.,38,44
0:00,259,End of 1st half,38,44
19:48,2277,Ian DuBose Turnover.,38,44
19:36,259,Justin Bibbs made Jumper.,38,46
19:24,2277,Josh Ibarra made Layup. Assisted by Braxton Bonds.,40,46
19:11,259,Ahmed Hill Turnover.,40,46
18:46,2277,made Three Point Jumper. Assisted by Braxton Bonds.,43,46
18:27,259,Nickeil Alexander-Walker missed Layup.,43,46
18:27,259,Offensive Rebound.,43,46
18:20,259,Ahmed Hill made Three Point Jumper. Assisted by Justin Robinson.,43,49
17:54,2277,Braxton Bonds Turnover.,43,49
17:37,259,Justin Bibbs made Layup. Assisted by Justin Robinson.,43,51
17:15,259,Foul on  .,43,51
17:15,2277,Josh Ibarra missed Free Throw.,43,51
17:15,2277,Houston Baptist Deadball Team Rebound.,43,51
17:15,2277,Josh Ibarra missed Free Throw.,43,51
17:15,259,Nickeil Alexander-Walker Defensive Rebound.,43,51
16:58,259,P.J. Horne Turnover.,43,51
16:58,259,Foul on P.J. Horne.,43,51
16:48,2277,Josh Ibarra made Dunk. Assisted by Braxton Bonds.,45,51
16:31,259,Ahmed Hill made Three Point Jumper. Assisted by Justin Robinson.,45,54
16:09,2277,David Caraher missed Jumper.,45,54
16:09,259,Justin Robinson Block.,45,54
16:09,259,Virginia Tech Defensive Rebound.,45,54
15:58,2277,Foul on Ian DuBose.,45,54
15:58,259,Official TV Timeout,45,54
15:58,259,P.J. Horne made Free Throw.,45,55
15:58,259,P.J. Horne made Free Throw.,45,56
15:46,2277,made Layup.,47,56
15:46,259,Foul on Ahmed Hill.,47,56
15:46,2277,missed Free Throw.,47,56
15:46,259,Chris Clarke Defensive Rebound.,47,56
15:40,259,Ahmed Hill Turnover.,47,56
15:27,2277,Ian DuBose made Layup.,49,56
15:20,259,Ahmed Hill made Three Point Jumper. Assisted by Justin Robinson.,49,59
14:56,2277,Tim Myles missed Jumper.,49,59
14:56,259,Ahmed Hill Defensive Rebound.,49,59
14:37,259,Justin Robinson made Three Point Jumper.,49,62
14:13,2277,Braxton Bonds made Layup.,51,62
14:13,2277,Houston Baptist  Timeout,51,62
14:08,2277,Foul on  .,51,62
13:45,259,Justin Bibbs Turnover.,51,62
13:18,2277,Braxton Bonds Turnover.,51,62
13:16,259,Justin Robinson Steal.,51,62
13:15,259,Justin Robinson made Free Throw.,51,63
13:15,2277,Foul on Ian DuBose.,51,63
13:14,259,Justin Robinson made Layup.,51,65
13:00,2277,Ian DuBose missed Jumper.,51,65
13:00,2277,Braxton Bonds Offensive Rebound.,51,65
12:57,2277,Braxton Bonds made Layup.,53,65
12:38,259,Justin Bibbs missed Three Point Jumper.,53,65
12:38,2277,Braxton Bonds Defensive Rebound.,53,65
12:28,2277,Ian DuBose missed Layup.,53,65
12:28,2277,Tim Myles Offensive Rebound.,53,65
12:25,2277,Tim Myles missed Two Point Tip Shot.,53,65
12:25,259,Defensive Rebound.,53,65
12:20,259,Ahmed Hill missed Three Point Jumper.,53,65
12:20,2277,Tim Myles Defensive Rebound.,53,65
12:10,2277,Ian DuBose missed Three Point Jumper.,53,65
12:10,259,Ahmed Hill Defensive Rebound.,53,65
12:07,2277,Foul on Tim Myles.,53,65
11:43,2277,Foul on David Caraher.,53,65
11:43,259,Official TV Timeout,53,65
11:43,259,made Free Throw.,53,66
11:43,259,made Free Throw.,53,67
11:21,259,Foul on  .,53,67
11:09,2277,David Caraher missed Jumper.,53,67
11:09,259,Chris Clarke Defensive Rebound.,53,67
10:46,259,Justin Bibbs made Three Point Jumper. Assisted by Wabissa Bede.,53,70
10:31,2277,Philip McKenzie missed Three Point Jumper.,53,70
10:31,259,Justin Bibbs Defensive Rebound.,53,70
10:15,259,Wabissa Bede missed Layup.,53,70
10:15,2277,Josh Ibarra Defensive Rebound.,53,70
10:10,259,Foul on Justin Bibbs.,53,70
10:10,2277,Oliver Lynch-Daniels made Free Throw.,54,70
10:10,2277,Oliver Lynch-Daniels made Free Throw.,55,70
9:48,259,Ahmed Hill made Three Point Jumper. Assisted by Justin Bibbs.,55,73
9:38,2277,Josh Ibarra missed Layup.,55,73
9:38,259,Wabissa Bede Defensive Rebound.,55,73
9:36,2277,Foul on Philip McKenzie.,55,73
9:14,259,Wabissa Bede made Jumper.,55,75
8:54,2277,Jalon Gates missed Three Point Jumper.,55,75
8:54,259,Ahmed Hill Defensive Rebound.,55,75
8:44,259,P.J. Horne made Layup. Assisted by Chris Clarke.,55,77
8:32,2277,Oliver Lynch-Daniels missed Jumper.,55,77
8:32,259,Ahmed Hill Defensive Rebound.,55,77
8:27,259,Ahmed Hill Turnover.,55,77
8:08,2277,Chukuka Emili missed Three Point Jumper.,55,77
8:08,259,Wabissa Bede Defensive Rebound.,55,77
8:07,2277,Foul on Ian DuBose.,55,77
8:07,259,Wabissa Bede made Free Throw.,55,78
8:07,259,Wabissa Bede made Free Throw.,55,79
7:50,2277,Jalon Gates missed Three Point Jumper.,55,79
7:50,259,Virginia Tech Defensive Rebound.,55,79
7:47,259,Official TV Timeout,55,79
7:30,259,Wabissa Bede Turnover.,55,79
7:29,2277,Ian DuBose Steal.,55,79
7:24,2277,Oliver Lynch-Daniels Turnover.,55,79
7:23,259,Chris Clarke Steal.,55,79
7:20,259,Justin Bibbs made Dunk. Assisted by Chris Clarke.,55,81
7:10,2277,Josh Ibarra missed Layup.,55,81
7:10,259,P.J. Horne Block.,55,81
7:09,2277,David Caraher Offensive Rebound.,55,81
6:49,2277,Ian DuBose Turnover.,55,81
6:36,259,Justin Bibbs missed Three Point Jumper.,55,81
6:36,2277,Ian DuBose Defensive Rebound.,55,81
6:25,259,Foul on Nickeil Alexander-Walker.,55,81
6:25,2277,David Caraher made Free Throw.,56,81
6:25,2277,David Caraher missed Free Throw.,56,81
6:25,259,Chris Clarke Defensive Rebound.,56,81
6:02,259,Justin Robinson made Three Point Jumper.,56,84
5:44,2277,Josh Ibarra missed Jumper.,56,84
5:44,2277,Houston Baptist Offensive Rebound.,56,84
5:39,2277,David Caraher Turnover.,56,84
5:18,259,Wabissa Bede made Layup.,56,86
5:09,2277,Oliver Lynch-Daniels made Jumper.,58,86
5:02,259,Justin Robinson missed Layup.,58,86
5:02,2277,Josh Ibarra Defensive Rebound.,58,86
4:55,2277,David Caraher missed Layup.,58,86
4:55,259,Chris Clarke Block.,58,86
4:54,259,Chris Clarke Defensive Rebound.,58,86
4:50,2277,Foul on Josh Ibarra.,58,86
4:50,259,Wabissa Bede made Free Throw.,58,87
4:50,259,Wabissa Bede made Free Throw.,58,88
4:27,2277,Ian DuBose made Jumper.,60,88
4:11,259,P.J. Horne made Three Point Jumper. Assisted by Justin Robinson.,60,91
3:48,2277,David Caraher made Three Point Jumper. Assisted by Ian DuBose.,63,91
3:25,259,Wabissa Bede made Three Point Jumper. Assisted by Chris Clarke.,63,94
3:17,259,Foul on Justin Robinson.,63,94
3:17,259,Official TV Timeout,63,94
3:17,2277,David Caraher missed Free Throw.,63,94
3:17,2277,Houston Baptist Deadball Team Rebound.,63,94
3:17,2277,David Caraher missed Free Throw.,63,94
3:17,259,Chris Clarke Defensive Rebound.,63,94
3:13,259,Chris Clarke Turnover.,63,94
3:12,2277,Braxton Bonds Steal.,63,94
3:02,2277,David Caraher made Jumper. Assisted by Philip McKenzie.,65,94
2:32,259,Justin Robinson Turnover.,65,94
2:30,2277,David Caraher Steal.,65,94
2:29,2277,Braxton Bonds missed Layup.,65,94
2:29,259,P.J. Horne Block.,65,94
2:26,2277,Oliver Lynch-Daniels Offensive Rebound.,65,94
2:25,2277,Oliver Lynch-Daniels missed Layup.,65,94
2:25,2277,Braxton Bonds Offensive Rebound.,65,94
2:21,2277,Braxton Bonds made Layup.,67,94
2:12,2277,Foul on Oliver Lynch-Daniels.,67,94
2:12,259,Wabissa Bede made Free Throw.,67,95
2:12,259,Wabissa Bede made Free Throw.,67,96
2:04,259,Foul on Tyrie Jackson.,67,96
2:04,2277,Stephen O'Suji made Free Throw.,68,96
2:04,2277,Stephen O'Suji made Free Throw.,69,96
1:39,259,Tyrie Jackson made Three Point Jumper.,69,99
1:21,2277,Oliver Lynch-Daniels made Jumper.,71,99
1:01,259,P.J. Horne Turnover.,71,99
0:54,259,Foul on Devin Wilson.,71,99
0:54,2277,Chukuka Emili made Free Throw.,72,99
0:54,2277,Chukuka Emili made Free Throw.,73,99
0:35,259,Justin Ammerman Turnover.,73,99
0:14,2277,Tyquon Jordan missed Layup.,73,99
0:14,259,Nickeil Alexander-Walker Block.,73,99
0:12,259,Devin Wilson Defensive Rebound.,73,99
0:09,259,Justin Ammerman missed Layup.,73,99
0:09,2277,Michael Saladin Defensive Rebound.,73,99
0:03,2277,Tyquon Jordan missed Three Point Jumper.,73,99
0:03,259,Nick Fullard Defensive Rebound.,73,99
0:00,259,End of Game,73,99
