Michigan,Error,Chaminade,130
5:50,-1,Braden Koelliker missed Free Throw.,30,15
5:50,-1,Chaminade Deadball Team Rebound.,30,15
5:50,-1,Braden Koelliker made Free Throw.,30,16
5:33,130,Eli Brooks missed Three Point Jumper.,30,16
5:33,-1,Justin Bridges Defensive Rebound.,30,16
5:23,-1,Justin Bridges made Three Point Jumper. Assisted by Dantley Walker.,30,19
5:02,130,Duncan Robinson missed Three Point Jumper.,30,19
5:02,-1,Braden Koelliker Defensive Rebound.,30,19
5:00,130,Foul on Charles Matthews.,30,19
4:49,-1,Justin Bridges missed Layup.,30,19
4:49,-1,Brett Reed Offensive Rebound.,30,19
4:49,-1,Brett Reed missed Two Point Tip Shot.,30,19
4:49,130,Eli Brooks Defensive Rebound.,30,19
4:34,130,Jon Teske made Dunk. Assisted by Duncan Robinson.,32,19
4:10,-1,Austin Pope missed Three Point Jumper.,32,19
4:10,-1,Nicholas Anderson Offensive Rebound.,32,19
4:01,-1,Brett Reed Turnover.,32,19
4:01,130,Charles Matthews Steal.,32,19
3:55,-1,Foul on Justin Bridges.,32,19
3:55,-1,Official TV Timeout,32,19
3:53,130,Duncan Robinson missed Three Point Jumper.,32,19
3:53,-1,Austin Pope Defensive Rebound.,32,19
3:31,-1,Justin Bridges Turnover.,32,19
3:31,130,Eli Brooks Steal.,32,19
3:11,130,Muhammad-Ali Abdur-Rahkman made Jumper.,34,19
2:49,-1,Justin Bridges Turnover.,34,19
2:38,130,Jon Teske made Layup. Assisted by Eli Brooks.,36,19
2:38,-1,Foul on Brett Reed.,36,19
2:38,130,Jon Teske missed Free Throw.,36,19
2:38,-1,Erik Scheive Defensive Rebound.,36,19
2:27,-1,Erik Scheive missed Three Point Jumper.,36,19
2:27,-1,Austin Pope Offensive Rebound.,36,19
2:18,130,Foul on Eli Brooks.,36,19
2:18,-1,Austin Pope made Free Throw.,36,20
2:18,-1,Austin Pope missed Free Throw.,36,20
2:18,130,Muhammad-Ali Abdur-Rahkman Defensive Rebound.,36,20
2:07,130,Eli Brooks missed Three Point Jumper.,36,20
2:07,-1,Chaminade Defensive Rebound.,36,20
1:48,-1,Braden Koelliker made Jumper. Assisted by Dantley Walker.,36,22
1:29,-1,Foul on Braden Koelliker.,36,22
1:29,130,Muhammad-Ali Abdur-Rahkman made Free Throw.,37,22
1:29,130,Muhammad-Ali Abdur-Rahkman made Free Throw.,38,22
1:00,130,Foul on Isaiah Livers.,38,22
1:00,-1,Braden Koelliker made Free Throw.,38,23
1:00,-1,Braden Koelliker missed Free Throw.,38,23
1:00,-1,Erik Scheive Offensive Rebound.,38,23
0:53,-1,Grant Dressler Turnover.,38,23
0:43,130,Muhammad-Ali Abdur-Rahkman made Three Point Jumper. Assisted by Eli Brooks.,41,23
0:27,-1,Erik Scheive missed Jumper.,41,23
0:27,-1,Erik Scheive Offensive Rebound.,41,23
0:26,130,Foul on Jon Teske.,41,23
0:26,-1,Erik Scheive made Free Throw.,41,24
0:26,-1,Erik Scheive made Free Throw.,41,25
0:14,130,Michigan  Timeout,41,25
0:02,130,Charles Matthews made Three Point Jumper. Assisted by Muhammad-Ali Abdur-Rahkman.,44,25
0:00,-1,End of 1st half,44,25
20:00,-1,Jump Ball won by Chaminade,44,25
19:31,-1,Austin Pope missed Layup.,44,25
19:31,-1,Erik Scheive Offensive Rebound.,44,25
19:31,-1,Erik Scheive missed Two Point Tip Shot.,44,25
19:31,130,Charles Matthews Block.,44,25
19:31,-1,Austin Pope Offensive Rebound.,44,25
19:24,-1,Austin Pope made Layup.,44,27
19:24,130,Foul on Charles Matthews.,44,27
19:24,-1,Austin Pope made Free Throw.,44,28
19:16,-1,Foul on Grant Dressler.,44,28
19:06,130,Duncan Robinson missed Jumper.,44,28
19:06,-1,Austin Pope Defensive Rebound.,44,28
18:50,-1,Grant Dressler missed Three Point Jumper.,44,28
18:50,130,Charles Matthews Defensive Rebound.,44,28
18:37,-1,Foul on Erik Scheive.,44,28
18:37,130,Eli Brooks made Free Throw.,45,28
18:37,130,Eli Brooks made Free Throw.,46,28
18:22,-1,Austin Pope Turnover.,46,28
18:22,130,Muhammad-Ali Abdur-Rahkman Steal.,46,28
18:13,130,Moritz Wagner made Three Point Jumper. Assisted by Muhammad-Ali Abdur-Rahkman.,49,28
17:48,-1,Brett Reed missed Jumper.,49,28
17:48,130,Eli Brooks Block.,49,28
17:48,130,Moritz Wagner Defensive Rebound.,49,28
17:36,130,Eli Brooks missed Three Point Jumper.,49,28
17:36,-1,Dantley Walker Defensive Rebound.,49,28
17:27,-1,Brett Reed missed Layup.,49,28
17:27,130,Michigan Defensive Rebound.,49,28
17:11,130,Charles Matthews made Layup.,51,28
16:57,-1,Braden Koelliker made Three Point Jumper. Assisted by Austin Pope.,51,31
16:26,130,Eli Brooks missed Three Point Jumper.,51,31
16:26,-1,Grant Dressler Defensive Rebound.,51,31
16:13,-1,Austin Pope missed Dunk.,51,31
16:13,130,Charles Matthews Block.,51,31
16:13,130,Eli Brooks Defensive Rebound.,51,31
16:05,130,Duncan Robinson made Three Point Jumper. Assisted by Charles Matthews.,54,31
15:43,-1,Dantley Walker made Three Point Jumper.,54,34
15:18,130,Duncan Robinson made Three Point Jumper. Assisted by Charles Matthews.,57,34
14:45,-1,Austin Pope missed Three Point Jumper.,57,34
14:45,130,Duncan Robinson Defensive Rebound.,57,34
14:37,130,Duncan Robinson missed Three Point Jumper.,57,34
14:37,-1,Austin Pope Defensive Rebound.,57,34
14:27,-1,Dantley Walker made Jumper.,57,36
14:06,-1,Foul on Grant Dressler.,57,36
14:06,-1,Official TV Timeout,57,36
14:06,130,Charles Matthews made Free Throw.,58,36
14:06,130,Charles Matthews made Free Throw.,59,36
13:50,-1,Erik Scheive made Jumper. Assisted by Justin Bridges.,59,38
13:22,130,Moritz Wagner made Layup.,61,38
13:07,-1,Erik Scheive missed Three Point Jumper.,61,38
13:07,130,Charles Matthews Defensive Rebound.,61,38
13:00,130,Duncan Robinson missed Three Point Jumper.,61,38
13:00,-1,Justin Bridges Defensive Rebound.,61,38
12:48,-1,Grant Dressler missed Layup.,61,38
12:48,130,Moritz Wagner Defensive Rebound.,61,38
12:40,130,Moritz Wagner missed Three Point Jumper.,61,38
12:40,-1,Grant Dressler Defensive Rebound.,61,38
12:22,-1,Erik Scheive made Layup. Assisted by Nicholas Anderson.,61,40
12:01,130,Charles Matthews made Dunk.,63,40
11:42,-1,Grant Dressler made Three Point Jumper. Assisted by Nicholas Anderson.,63,43
11:23,130,Muhammad-Ali Abdur-Rahkman made Three Point Jumper. Assisted by Charles Matthews.,66,43
11:08,130,Foul on Jaaron Simmons.,66,43
11:08,-1,Official TV Timeout,66,43
11:08,-1,Braden Koelliker made Free Throw.,66,44
11:08,-1,Braden Koelliker made Free Throw.,66,45
10:48,130,Jordan Poole Turnover.,66,45
10:48,-1,Austin Pope Steal.,66,45
10:39,-1,Nicholas Anderson missed Three Point Jumper.,66,45
10:39,130,Isaiah Livers Defensive Rebound.,66,45
10:30,130,Moritz Wagner made Dunk. Assisted by Muhammad-Ali Abdur-Rahkman.,68,45
10:00,-1,Austin Pope made Layup.,68,47
9:43,130,Muhammad-Ali Abdur-Rahkman made Layup.,70,47
9:22,130,Foul on Jordan Poole.,70,47
9:22,-1,Dantley Walker missed Three Point Jumper.,70,47
9:22,-1,Braden Koelliker Offensive Rebound.,70,47
9:22,-1,Austin Pope made Jumper.,70,49
8:34,130,Muhammad-Ali Abdur-Rahkman made Three Point Jumper.,73,49
8:25,-1,Braden Koelliker made Layup.,73,51
8:09,-1,Foul on Austin Pope.,73,51
8:03,-1,Foul on Nicholas Anderson.,73,51
8:03,130,Jon Teske missed Free Throw.,73,51
8:03,130,Michigan Deadball Team Rebound.,73,51
8:03,130,Jon Teske missed Free Throw.,73,51
8:03,-1,Brett Reed Defensive Rebound.,73,51
7:52,-1,Dantley Walker missed Three Point Jumper.,73,51
7:52,130,Muhammad-Ali Abdur-Rahkman Defensive Rebound.,73,51
7:42,130,Duncan Robinson made Three Point Jumper. Assisted by Muhammad-Ali Abdur-Rahkman.,76,51
7:15,-1,Austin Pope Turnover.,76,51
7:15,130,Muhammad-Ali Abdur-Rahkman Steal.,76,51
7:13,-1,Foul on Dantley Walker.,76,51
7:13,-1,Official TV Timeout,76,51
7:08,130,Jon Teske made Layup. Assisted by Zavier Simpson.,78,51
6:43,-1,Nicholas Anderson missed Jumper.,78,51
6:43,130,Jon Teske Defensive Rebound.,78,51
6:34,-1,Foul on Erik Scheive.,78,51
6:34,130,Charles Matthews missed Free Throw.,78,51
6:34,130,Michigan Deadball Team Rebound.,78,51
6:34,130,Charles Matthews made Free Throw.,79,51
6:16,-1,Justin Bridges Turnover.,79,51
6:16,130,Zavier Simpson Steal.,79,51
6:00,130,Zavier Simpson missed Three Point Jumper.,79,51
6:00,130,Austin Davis Offensive Rebound.,79,51
5:52,130,Austin Davis missed Layup.,79,51
5:52,130,Austin Davis Offensive Rebound.,79,51
5:52,130,Austin Davis made Two Point Tip Shot.,81,51
5:39,-1,Erik Scheive missed Jumper.,81,51
5:39,-1,Justin Bridges Offensive Rebound.,81,51
5:31,-1,Justin Bridges missed Three Point Jumper.,81,51
5:31,130,Charles Matthews Defensive Rebound.,81,51
5:22,130,Michigan  Timeout,81,51
5:22,-1,Official TV Timeout,81,51
5:16,130,Jordan Poole made Three Point Jumper.,84,51
5:02,-1,Justin Bridges made Layup.,84,53
4:40,130,Isaiah Livers Turnover.,84,53
4:40,-1,Justin Bridges Steal.,84,53
4:34,-1,Foul on Justin Bridges.,84,53
4:34,-1,Justin Bridges Turnover.,84,53
4:19,130,Ibi Watson made Layup.,86,53
4:08,-1,Austin Pope Turnover.,86,53
4:08,130,Zavier Simpson Steal.,86,53
4:02,130,Isaiah Livers made Dunk. Assisted by Zavier Simpson.,88,53
3:49,-1,Grant Dressler missed Three Point Jumper.,88,53
3:49,130,Austin Davis Defensive Rebound.,88,53
3:42,130,Isaiah Livers made Three Point Jumper. Assisted by Ibi Watson.,91,53
3:35,-1,Chaminade  Timeout,91,53
3:35,-1,Official TV Timeout,91,53
3:15,-1,Justin Bridges missed Layup.,91,53
3:15,130,Isaiah Livers Block.,91,53
3:15,-1,Brett Reed Offensive Rebound.,91,53
3:05,-1,Brett Reed made Layup.,91,55
2:55,130,Zavier Simpson made Layup.,93,55
2:34,-1,Nate Pollard made Jumper.,93,57
2:22,130,Austin Davis made Dunk. Assisted by Zavier Simpson.,95,57
2:00,-1,Justin Bridges Turnover.,95,57
2:00,130,Jordan Poole Steal.,95,57
1:58,-1,Foul on Justin Bridges.,95,57
1:58,130,Jordan Poole made Free Throw.,96,57
1:58,130,Jordan Poole made Free Throw.,97,57
1:47,-1,Brett Reed made Layup.,97,59
1:25,130,Jordan Poole missed Three Point Jumper.,97,59
1:25,130,Austin Davis Offensive Rebound.,97,59
1:08,130,Isaiah Livers made Three Point Jumper. Assisted by Jordan Poole.,100,59
0:52,-1,Brett Reed made Layup.,100,61
0:52,-1,Chaminade  Timeout,100,61
0:34,-1,Foul on Eliet Donley.,100,61
0:34,130,Brent Hibbitts made Free Throw.,101,61
0:34,130,Brent Hibbitts made Free Throw.,102,61
0:24,-1,Nicholas Anderson Turnover.,102,61
0:17,130,Jordan Poole Turnover.,102,61
0:16,-1,Masa Swain made Layup. Assisted by Nicholas Anderson.,102,63
0:16,130,Foul on Austin Davis.,102,63
0:16,-1,Masa Swain missed Free Throw.,102,63
0:16,-1,Nate Pollard Offensive Rebound.,102,63
0:13,130,Foul on Austin Davis.,102,63
0:13,-1,Nate Pollard made Free Throw.,102,64
0:13,-1,Nate Pollard missed Free Throw.,102,64
0:13,130,Austin Davis Defensive Rebound.,102,64
0:00,-1,End of Game,102,64
