Evansville,278,Fresno State,339
7:59,339,Ryan Taylor Turnover.,14,12
7:58,278,Jahmel Taylor Steal.,14,12
7:54,278,Jahmel Taylor missed Layup.,14,12
7:54,278,Terrell Carter II Offensive Rebound.,14,12
7:52,278,Terrell Carter II made Layup.,14,14
7:21,339,Ryan Taylor missed Jumper.,14,14
7:21,278,Bryson Williams Defensive Rebound.,14,14
6:57,278,Deshon Taylor missed Layup.,14,14
6:57,339,Dalen Traore Defensive Rebound.,14,14
6:31,278,Foul on Jahmel Taylor.,14,14
6:31,278,Official TV Timeout,14,14
6:31,339,Noah Frederking made Free Throw.,15,14
6:31,339,Noah Frederking made Free Throw.,16,14
6:12,339,Foul on Dalen Traore.,16,14
6:12,278,Jahmel Taylor made Free Throw.,16,15
6:12,278,Jahmel Taylor made Free Throw.,16,16
5:52,339,Blake Simmons made Three Point Jumper. Assisted by K.J. Riley.,19,16
5:32,278,Terrell Carter II made Jumper. Assisted by Jahmel Taylor.,19,18
5:00,339,K.J. Riley missed Jumper.,19,18
5:00,278,Terrell Carter II Defensive Rebound.,19,18
4:54,278,Johnny McWilliams made Three Point Jumper. Assisted by Terrell Carter II.,19,21
4:36,278,Foul on Terrell Carter II.,19,21
4:36,339,K.J. Riley made Free Throw.,20,21
4:36,339,K.J. Riley made Free Throw.,21,21
4:22,278,Deshon Taylor made Layup.,21,23
4:06,339,Foul on K.J. Riley.,21,23
4:06,339,K.J. Riley Turnover.,21,23
3:53,278,Deshon Taylor missed Three Point Jumper.,21,23
3:53,339,Dainius Chatkevicius Defensive Rebound.,21,23
3:37,339,Noah Frederking made Three Point Jumper. Assisted by Blake Simmons.,24,23
3:15,278,Bryson Williams missed Jumper.,24,23
3:15,339,Ryan Taylor Defensive Rebound.,24,23
3:09,339,Ryan Taylor Turnover.,24,23
3:08,278,Bryson Williams Steal.,24,23
2:57,278,Terrell Carter II missed Jumper.,24,23
2:57,339,Ryan Taylor Defensive Rebound.,24,23
2:47,339,Ryan Taylor missed Jumper.,24,23
2:47,339,Evansville Deadball Team Rebound.,24,23
2:45,278,Foul on Bryson Williams.,24,23
2:45,278,Official TV Timeout,24,23
2:45,339,Dainius Chatkevicius missed Free Throw.,24,23
2:45,278,Terrell Carter II Defensive Rebound.,24,23
2:15,278,Terrell Carter II missed Jumper.,24,23
2:15,339,Dainius Chatkevicius Block.,24,23
2:15,339,Dainius Chatkevicius Defensive Rebound.,24,23
1:58,339,Ryan Taylor missed Jumper.,24,23
1:58,278,Bryson Williams Defensive Rebound.,24,23
1:35,278,Jahmel Taylor missed Three Point Jumper.,24,23
1:35,339,John Hall Defensive Rebound.,24,23
1:11,339,Ryan Taylor missed Jumper.,24,23
1:11,278,Bryson Williams Defensive Rebound.,24,23
1:02,278,Johnny McWilliams made Three Point Jumper. Assisted by Deshon Taylor.,24,26
0:37,339,Ryan Taylor Turnover.,24,26
0:36,278,Bryson Williams Steal.,24,26
0:34,278,Bryson Williams made Dunk.,24,28
0:31,339,Evansville  Timeout,24,28
0:05,339,John Hall made Layup.,26,28
0:00,278,End of 1st half,26,28
19:48,339,Dalen Traore missed Jumper.,26,28
19:48,278,Deshon Taylor Defensive Rebound.,26,28
19:20,278,Ray Bowles Jr. missed Jumper.,26,28
19:20,339,Dalen Traore Defensive Rebound.,26,28
19:10,339,Dru Smith made Layup.,28,28
18:49,278,Jaron Hopkins missed Jumper.,28,28
18:49,278,Bryson Williams Offensive Rebound.,28,28
18:47,339,Foul on Dalen Traore.,28,28
18:47,278,Bryson Williams missed Free Throw.,28,28
18:47,278,Fresno State Deadball Team Rebound.,28,28
18:47,278,Bryson Williams missed Free Throw.,28,28
18:47,339,Duane Gibson Defensive Rebound.,28,28
18:34,339,Duane Gibson missed Layup.,28,28
18:34,278,Ray Bowles Jr. Defensive Rebound.,28,28
18:28,278,Deshon Taylor missed Layup.,28,28
18:28,339,Dru Smith Block.,28,28
18:28,278,Fresno State Offensive Rebound.,28,28
18:08,278,Deshon Taylor missed Jumper.,28,28
18:08,339,Blake Simmons Defensive Rebound.,28,28
17:48,339,Dru Smith made Layup.,30,28
17:47,278,Foul on Sam Bittner.,30,28
17:47,339,Dru Smith made Free Throw.,31,28
17:33,278,Sam Bittner made Three Point Jumper. Assisted by Deshon Taylor.,31,31
17:14,339,Duane Gibson missed Layup.,31,31
17:14,278,Bryson Williams Defensive Rebound.,31,31
17:08,278,Jaron Hopkins made Jumper.,31,33
16:44,339,Dru Smith missed Jumper.,31,33
16:44,278,Bryson Williams Defensive Rebound.,31,33
16:28,278,Bryson Williams missed Jumper.,31,33
16:28,278,Deshon Taylor Offensive Rebound.,31,33
16:22,278,Jaron Hopkins missed Three Point Jumper.,31,33
16:22,339,Evansville Defensive Rebound.,31,33
15:54,339,Blake Simmons missed Three Point Jumper.,31,33
15:54,278,Bryson Williams Defensive Rebound.,31,33
15:41,278,Ray Bowles Jr. made Jumper.,31,35
15:19,339,Ryan Taylor made Layup.,33,35
15:15,278,Official TV Timeout,33,35
15:05,278,Foul on Jaron Hopkins.,33,35
15:05,278,Jaron Hopkins Turnover.,33,35
14:47,339,Dainius Chatkevicius made Layup. Assisted by Ryan Taylor.,35,35
14:33,278,Deshon Taylor made Layup.,35,37
14:09,339,Duane Gibson missed Jumper.,35,37
14:09,339,Evansville Deadball Team Rebound.,35,37
14:07,278,Foul on Bryson Williams.,35,37
13:55,339,Duane Gibson missed Layup.,35,37
13:55,278,Terrell Carter II Block.,35,37
13:53,278,Terrell Carter II Defensive Rebound.,35,37
13:49,278,Terrell Carter II Turnover.,35,37
13:47,339,Duane Gibson Steal.,35,37
13:37,339,Ryan Taylor made Jumper.,37,37
13:23,278,Jahmel Taylor made Three Point Jumper. Assisted by Deshon Taylor.,37,40
13:06,339,Dainius Chatkevicius missed Jumper.,37,40
13:06,278,Sam Bittner Block.,37,40
13:06,339,Evansville Offensive Rebound.,37,40
13:02,278,Foul on Terrell Carter II.,37,40
13:02,339,Dainius Chatkevicius made Free Throw.,38,40
13:02,339,Dainius Chatkevicius made Free Throw.,39,40
12:51,278,Johnny McWilliams missed Layup.,39,40
12:51,339,Dru Smith Defensive Rebound.,39,40
12:46,278,Foul on Johnny McWilliams.,39,40
12:39,339,Blake Simmons made Layup.,41,40
12:18,278,Bryson Williams missed Jumper.,41,40
12:18,339,K.J. Riley Defensive Rebound.,41,40
12:08,339,Foul on Dru Smith.,41,40
12:08,339,Dru Smith Turnover.,41,40
12:08,278,Jahmel Taylor Steal.,41,40
12:00,278,Bryson Williams Turnover.,41,40
11:59,278,Official TV Timeout,41,40
11:50,278,Foul on Johnny McWilliams.,41,40
11:33,339,Duane Gibson made Layup.,43,40
11:00,278,Ray Bowles Jr. missed Jumper.,43,40
11:00,339,Duane Gibson Defensive Rebound.,43,40
10:52,339,Duane Gibson Turnover.,43,40
10:42,278,Deshon Taylor missed Layup.,43,40
10:42,278,Jaron Hopkins Offensive Rebound.,43,40
10:40,278,Jaron Hopkins made Two Point Tip Shot.,43,42
10:07,339,Duane Gibson missed Jumper.,43,42
10:07,278,Jahmel Taylor Defensive Rebound.,43,42
10:05,339,Foul on John Hall.,43,42
10:05,278,Bryson Williams made Dunk. Assisted by Jahmel Taylor.,43,44
10:05,339,Blake Simmons made Three Point Jumper.,46,44
10:05,278,Deshon Taylor missed Layup.,46,44
10:05,339,K.J. Riley Defensive Rebound.,46,44
10:05,339,K.J. Riley Turnover.,46,44
10:05,278,Deshon Taylor Steal.,46,44
10:04,339,Foul on Duane Gibson.,46,44
9:43,278,Bryson Williams missed Free Throw.,46,44
9:43,278,Fresno State Deadball Team Rebound.,46,44
9:33,278,Bryson Williams missed Free Throw.,46,44
9:33,339,Blake Simmons Defensive Rebound.,46,44
8:24,339,Dru Smith made Three Point Jumper.,49,44
8:05,278,Deshon Taylor missed Three Point Jumper.,49,44
8:05,339,Duane Gibson Defensive Rebound.,49,44
7:42,339,Blake Simmons missed Jumper.,49,44
7:42,278,Bryson Williams Block.,49,44
7:42,278,Fresno State Defensive Rebound.,49,44
7:42,278,Official TV Timeout,49,44
7:35,278,Jahmel Taylor made Three Point Jumper. Assisted by Deshon Taylor.,49,47
7:10,339,Ryan Taylor made Three Point Jumper.,52,47
6:50,278,Jahmel Taylor made Three Point Jumper. Assisted by Jaron Hopkins.,52,50
6:11,339,Dru Smith Turnover.,52,50
6:10,278,Ray Bowles Jr. Steal.,52,50
5:58,278,Jaron Hopkins missed Jumper.,52,50
5:58,339,Evansville Defensive Rebound.,52,50
5:36,339,John Hall missed Layup.,52,50
5:36,278,Ray Bowles Jr. Defensive Rebound.,52,50
5:15,278,Foul on Bryson Williams.,52,50
5:15,278,Bryson Williams Turnover.,52,50
4:54,339,Blake Simmons made Three Point Jumper. Assisted by Dru Smith.,55,50
4:37,278,Bryson Williams made Layup. Assisted by Ray Bowles Jr..,55,52
4:17,339,Foul on John Hall.,55,52
4:02,339,Duane Gibson Defensive Rebound.,55,52
4:02,278,Jaron Hopkins missed Layup.,55,52
3:50,339,Duane Gibson made Layup.,57,52
3:32,278,Bryson Williams missed Jumper.,57,52
3:32,278,Ray Bowles Jr. Offensive Rebound.,57,52
3:30,278,Ray Bowles Jr. made Two Point Tip Shot.,57,54
3:30,278,Fresno State  Timeout,57,54
3:29,278,Official TV Timeout,57,54
3:29,278,Official TV Timeout,57,54
3:03,339,Ryan Taylor Turnover.,57,54
3:03,278,Deshon Taylor Steal.,57,54
2:57,278,Ray Bowles Jr. Turnover.,57,54
2:56,339,Dru Smith Steal.,57,54
2:28,339,Ryan Taylor missed Jumper.,57,54
2:25,339,Evansville Offensive Rebound.,57,54
2:06,339,Ryan Taylor missed Layup.,57,54
2:06,278,Ray Bowles Jr. Defensive Rebound.,57,54
1:59,278,Deshon Taylor missed Three Point Jumper.,57,54
1:59,278,Fresno State Deadball Team Rebound.,57,54
1:55,339,Foul on Duane Gibson.,57,54
1:45,278,Jahmel Taylor missed Three Point Jumper.,57,54
1:45,339,Duane Gibson Defensive Rebound.,57,54
1:31,339,Duane Gibson Turnover.,57,54
1:31,278,Jaron Hopkins Steal.,57,54
1:31,339,Foul on Duane Gibson.,57,54
1:31,278,Jaron Hopkins missed Free Throw.,57,54
1:31,339,Dru Smith Defensive Rebound.,57,54
1:17,339,Evansville  Timeout,57,54
1:08,339,Ryan Taylor missed Three Point Jumper.,57,54
1:08,278,Jahmel Taylor Defensive Rebound.,57,54
0:57,278,Deshon Taylor missed Three Point Jumper.,57,54
0:57,278,Bryson Williams Offensive Rebound.,57,54
0:49,278,Fresno State  Timeout,57,54
0:42,278,Jahmel Taylor missed Three Point Jumper.,57,54
0:42,278,Jaron Hopkins Offensive Rebound.,57,54
0:36,339,Foul on Ryan Taylor.,57,54
0:36,278,Deshon Taylor made Free Throw.,57,55
0:36,278,Deshon Taylor made Free Throw.,57,56
0:36,278,Deshon Taylor made Free Throw.,57,57
0:08,339,Ryan Taylor made Jumper.,59,57
0:03,278,Jaron Hopkins missed Three Point Jumper.,59,57
0:03,339,Dainius Chatkevicius Defensive Rebound.,59,57
0:00,278,End of Game,59,57
