Shenandoah,Error,William &amp; Mary,2729
5:56,2828,Derrick Perry Defensive Rebound.,13,37
5:52,2828,Derrick Perry missed Layup.,13,37
5:52,2729,William & Mary Defensive Rebound.,13,37
5:38,2729,Nathan Knight made Layup. Assisted by David Cohn.,13,39
5:21,2828,Jonah Meredith missed Three Point Jumper.,13,39
5:21,2729,Paul Rowley Defensive Rebound.,13,39
5:04,2729,David Cohn missed Three Point Jumper.,13,39
5:04,2828,Jonah Meredith Defensive Rebound.,13,39
4:46,2828,Alan Dabney missed Jumper.,13,39
4:46,2729,Paul Rowley Defensive Rebound.,13,39
4:32,2729,Nathan Knight missed Jumper.,13,39
4:32,2828,Shenandoah Defensive Rebound.,13,39
4:20,2828,Gustavo Gonzalez missed Jumper.,13,39
4:20,2729,Matt Milon Defensive Rebound.,13,39
4:00,2729,Luke Loewe missed Layup.,13,39
4:00,2828,Gustavo Gonzalez Defensive Rebound.,13,39
3:54,2828,Jalyn Jarrett missed Layup.,13,39
3:54,2729,Paul Rowley Block.,13,39
3:53,2729,William & Mary Defensive Rebound.,13,39
3:49,2729,Official TV Timeout,13,39
3:30,2828,Foul on Alan Dabney.,13,39
3:17,2729,Jihar Williams made Three Point Jumper. Assisted by Cole Harrison.,13,42
2:52,2828,Avery White made Layup.,15,42
2:42,2729,Jihar Williams Turnover.,15,42
2:41,2828,Kwa McDonald Steal.,15,42
2:37,2828,Kwa McDonald missed Layup.,15,42
2:37,2729,Jihar Williams Block.,15,42
2:36,2828,Kwa McDonald Offensive Rebound.,15,42
2:34,2828,Kwa McDonald made Layup.,17,42
2:06,2729,Connor Burchfield made Three Point Jumper. Assisted by Luke Loewe.,17,45
1:36,2828,Alan Dabney missed Layup.,17,45
1:36,2729,Cole Harrison Block.,17,45
1:35,2729,Cole Harrison Defensive Rebound.,17,45
1:29,2729,Connor Burchfield missed Three Point Jumper.,17,45
1:29,2729,Luke Loewe Offensive Rebound.,17,45
1:24,2729,Oliver Tot Turnover.,17,45
1:06,2828,Jalyn Jarrett missed Three Point Jumper.,17,45
1:06,2828,Alan Dabney Offensive Rebound.,17,45
1:00,2828,Kwa McDonald missed Three Point Jumper.,17,45
1:00,2828,Shenandoah Offensive Rebound.,17,45
0:58,2729,Foul on Luke Loewe.,17,45
0:49,2828,Avery White made Three Point Jumper. Assisted by Jalyn Jarrett.,20,45
0:33,2828,Foul on Gustavo Gonzalez.,20,45
0:16,2729,Luke Loewe made Layup.,20,47
0:03,2828,Avery White missed Three Point Jumper.,20,47
0:03,2729,Connor Burchfield Defensive Rebound.,20,47
0:00,2729,Connor Burchfield made Three Point Jumper.,20,50
0:00,2729,End of 1st half,20,50
19:48,2828,Derrick Perry missed Jumper.,20,50
19:48,2729,Nathan Knight Block.,20,50
19:47,2729,David Cohn Defensive Rebound.,20,50
19:43,2729,Paul Rowley missed Three Point Jumper.,20,50
19:43,2828,Jordan Hunter Defensive Rebound.,20,50
19:27,2828,Kwa McDonald made Three Point Jumper. Assisted by Jordan Hunter.,23,50
19:06,2729,Nathan Knight made Layup. Assisted by David Cohn.,23,52
19:06,2828,Foul on Derrick Perry.,23,52
19:06,2729,Nathan Knight made Free Throw.,23,53
18:46,2828,Jonah Meredith made Layup.,25,53
18:34,2729,Nathan Knight made Layup.,25,55
18:31,2828,Jordan Hunter Turnover.,25,55
18:12,2729,David Cohn missed Three Point Jumper.,25,55
18:12,2828,Jalyn Jarrett Defensive Rebound.,25,55
17:48,2828,Kwa McDonald missed Jumper.,25,55
17:48,2828,Shenandoah Offensive Rebound.,25,55
17:42,2828,Kwa McDonald Turnover.,25,55
17:41,2729,Nathan Knight Steal.,25,55
17:31,2828,Foul on Christian Meredith.,25,55
17:20,2729,Justin Pierce missed Layup.,25,55
17:20,2729,Justin Pierce Offensive Rebound.,25,55
17:19,2729,Justin Pierce missed Layup.,25,55
17:19,2729,Nathan Knight Offensive Rebound.,25,55
17:16,2729,Nathan Knight missed Layup.,25,55
17:16,2828,Christian Meredith Block.,25,55
17:16,2729,Nathan Knight Offensive Rebound.,25,55
17:16,2828,Foul on Christian Meredith.,25,55
17:16,2729,Nathan Knight missed Free Throw.,25,55
17:16,2729,William & Mary Deadball Team Rebound.,25,55
17:16,2729,Nathan Knight made Free Throw.,25,56
16:58,2828,Jalyn Jarrett missed Jumper.,25,56
16:58,2729,Nathan Knight Defensive Rebound.,25,56
16:37,2729,Paul Rowley made Three Point Jumper. Assisted by David Cohn.,25,59
16:28,2828,Jonah Meredith Turnover.,25,59
16:19,2828,Foul on Jalyn Jarrett.,25,59
16:10,2729,David Cohn missed Layup.,25,59
16:10,2729,David Cohn Offensive Rebound.,25,59
16:06,2729,Matt Milon missed Three Point Jumper.,25,59
16:06,2828,Christopher Chaney Defensive Rebound.,25,59
16:01,2729,Foul on Matt Milon.,25,59
16:01,2729,Official TV Timeout,25,59
15:41,2828,Jonah Meredith missed Three Point Jumper.,25,59
15:41,2729,Nathan Knight Defensive Rebound.,25,59
15:31,2729,Justin Pierce missed Layup.,25,59
15:31,2828,Christopher Chaney Defensive Rebound.,25,59
15:23,2828,Seth Myers made Layup. Assisted by Jonah Meredith.,27,59
15:09,2729,Paul Rowley made Three Point Jumper. Assisted by David Cohn.,27,62
14:51,2828,Seth Myers made Jumper. Assisted by Jonah Meredith.,29,62
14:35,2729,Justin Pierce made Three Point Jumper. Assisted by David Cohn.,29,65
14:17,2828,Jonah Meredith made Jumper. Assisted by Seth Myers.,31,65
13:53,2729,Nathan Knight missed Layup.,31,65
13:53,2729,Nathan Knight Offensive Rebound.,31,65
13:51,2729,Nathan Knight missed Layup.,31,65
13:51,2828,Christopher Chaney Defensive Rebound.,31,65
13:45,2828,Aaron Patterson missed Three Point Jumper.,31,65
13:45,2729,Paul Rowley Defensive Rebound.,31,65
13:29,2729,Paul Rowley made Three Point Jumper. Assisted by David Cohn.,31,68
13:16,2828,Jonah Meredith Turnover.,31,68
13:05,2729,Jihar Williams Turnover.,31,68
12:44,2828,Aj Cabbagestalk made Layup.,33,68
12:37,2729,William & Mary  Timeout,33,68
12:19,2729,Cole Harrison Turnover.,33,68
12:19,2729,Foul on Cole Harrison.,33,68
12:02,2828,Christopher Chaney missed Jumper.,33,68
12:02,2828,Christopher Chaney Offensive Rebound.,33,68
11:59,2828,Christopher Chaney made Layup.,35,68
11:59,2729,Foul on Cole Harrison.,35,68
11:59,2729,Official TV Timeout,35,68
11:59,2828,Christopher Chaney made Free Throw.,36,68
11:58,2729,Oliver Tot Turnover.,36,68
11:57,2828,Christopher Chaney Steal.,36,68
11:54,2828,Christopher Chaney Turnover.,36,68
11:54,2828,Foul on Christopher Chaney.,36,68
11:41,2729,Cole Harrison made Jumper. Assisted by Oliver Tot.,36,70
11:17,2828,Christopher Chaney Turnover.,36,70
11:01,2729,Luke Loewe Turnover.,36,70
10:50,2828,Gustavo Gonzalez missed Jumper.,36,70
10:50,2729,Connor Burchfield Defensive Rebound.,36,70
10:41,2729,Jihar Williams missed Three Point Jumper.,36,70
10:41,2828,Shenandoah Defensive Rebound.,36,70
10:26,2828,Gary Burley missed Layup.,36,70
10:26,2729,Cole Harrison Defensive Rebound.,36,70
10:16,2729,Connor Burchfield made Three Point Jumper. Assisted by Luke Loewe.,36,73
9:51,2828,Gustavo Gonzalez missed Jumper.,36,73
9:51,2729,Connor Burchfield Defensive Rebound.,36,73
9:32,2729,Cole Harrison missed Jumper.,36,73
9:32,2729,Oliver Tot Offensive Rebound.,36,73
9:27,2729,William & Mary  Timeout,36,73
9:24,2729,Connor Burchfield missed Three Point Jumper.,36,73
9:24,2729,Cole Harrison Offensive Rebound.,36,73
9:20,2729,Cole Harrison missed Layup.,36,73
9:20,2828,Chris Oates Defensive Rebound.,36,73
9:12,2828,Chris Oates missed Layup.,36,73
9:12,2729,Oliver Tot Block.,36,73
9:11,2729,Cole Harrison Defensive Rebound.,36,73
8:54,2828,Foul on Chris Oates.,36,73
8:54,2729,Oliver Tot made Free Throw.,36,74
8:54,2729,Oliver Tot made Free Throw.,36,75
8:37,2828,Aj Cabbagestalk Turnover.,36,75
8:37,2729,Justin Pierce Steal.,36,75
8:28,2828,Gary Burley Block.,36,75
8:28,2729,Matt Milon missed Layup.,36,75
8:28,2828,Alan Dabney Defensive Rebound.,36,75
8:17,2828,Aaron Patterson made Three Point Jumper. Assisted by Aj Cabbagestalk.,39,75
8:02,2729,Matt Milon made Three Point Jumper. Assisted by Justin Pierce.,39,78
7:42,2828,Aj Cabbagestalk made Jumper.,41,78
7:20,2729,Matt Milon made Three Point Jumper. Assisted by David Cohn.,41,81
7:05,2828,Aj Cabbagestalk Turnover.,41,81
7:05,2729,Matt Milon Steal.,41,81
7:05,2729,Official TV Timeout,41,81
6:53,2729,Connor Burchfield made Three Point Jumper. Assisted by Nathan Knight.,41,84
6:51,2729,William & Mary  Timeout,41,84
6:19,2729,Foul on Jihar Williams.,41,84
6:17,2828,Gustavo Gonzalez missed Three Point Jumper.,41,84
6:17,2729,Jihar Williams Defensive Rebound.,41,84
5:56,2729,Luke Loewe made Three Point Jumper. Assisted by Oliver Tot.,41,87
5:41,2828,Aaron Patterson missed Three Point Jumper.,41,87
5:41,2729,Jihar Williams Defensive Rebound.,41,87
5:35,2729,Omar Mostafa made Three Point Jumper. Assisted by Jihar Williams.,41,90
5:26,2828,Aj Cabbagestalk made Layup.,43,90
5:26,2729,Foul on Luke Loewe.,43,90
5:26,2828,Aj Cabbagestalk missed Free Throw.,43,90
5:26,2729,Oliver Tot Defensive Rebound.,43,90
5:11,2729,Jihar Williams made Three Point Jumper. Assisted by Oliver Tot.,43,93
4:37,2828,Gustavo Gonzalez missed Layup.,43,93
4:37,2729,Cole Harrison Block.,43,93
4:34,2828,Gustavo Gonzalez Offensive Rebound.,43,93
4:33,2828,Gustavo Gonzalez missed Jumper.,43,93
4:33,2729,Jihar Williams Defensive Rebound.,43,93
4:04,2828,Foul on Gary Burley.,43,93
4:04,2729,Omar Mostafa made Free Throw.,43,94
4:04,2729,Omar Mostafa made Free Throw.,43,95
3:48,2828,Avery White made Three Point Jumper.,46,95
3:14,2729,Amir Shafi Turnover.,46,95
3:11,2828,Avery White Steal.,46,95
3:11,2729,Official TV Timeout,46,95
3:06,2828,Alan Dabney missed Layup.,46,95
3:06,2828,Shenandoah Offensive Rebound.,46,95
3:02,2828,Avery White Turnover.,46,95
3:01,2729,Jihar Williams Steal.,46,95
3:00,2729,Jihar Williams made Layup.,46,97
3:00,2828,Foul on Chris Oates.,46,97
3:00,2729,Jihar Williams missed Free Throw.,46,97
3:00,2729,Amir Shafi Offensive Rebound.,46,97
2:57,2729,Tommy Papas missed Three Point Jumper.,46,97
2:57,2729,Amir Shafi Offensive Rebound.,46,97
2:50,2828,Foul on Alan Dabney.,46,97
2:50,2729,Luke Loewe missed Free Throw.,46,97
2:50,2828,Gary Burley Defensive Rebound.,46,97
2:47,2729,Foul on Jihar Williams.,46,97
2:35,2828,Chris Oates missed Three Point Jumper.,46,97
2:35,2828,Alan Dabney Offensive Rebound.,46,97
2:33,2729,Foul on Tommy Papas.,46,97
2:33,2828,Alan Dabney made Free Throw.,47,97
2:33,2828,Alan Dabney made Free Throw.,48,97
2:14,2729,Jihar Williams missed Three Point Jumper.,48,97
2:14,2828,Alan Dabney Defensive Rebound.,48,97
1:58,2828,Alan Dabney made Layup.,50,97
1:52,2729,Luke Loewe made Layup.,50,99
1:39,2828,Avery White Turnover.,50,99
1:38,2729,Omar Mostafa Steal.,50,99
1:35,2729,Omar Mostafa made Layup.,50,101
1:16,2828,Gary Burley missed Jumper.,50,101
1:16,2828,Alan Dabney Offensive Rebound.,50,101
1:13,2729,Foul on Jihar Williams.,50,101
1:13,2828,Alan Dabney made Free Throw.,51,101
1:13,2828,Alan Dabney made Free Throw.,52,101
1:01,2729,Tommy Papas missed Jumper.,52,101
1:01,2828,Alan Dabney Defensive Rebound.,52,101
0:55,2828,Alan Dabney Turnover.,52,101
0:55,2729,Omar Mostafa Steal.,52,101
0:52,2729,Luke Loewe made Layup. Assisted by Jihar Williams.,52,103
0:29,2729,Foul on Amir Shafi.,52,103
0:29,2828,Alan Dabney made Free Throw.,53,103
0:29,2828,Alan Dabney made Free Throw.,54,103
0:00,2729,End of Game,54,103
