Morehead St,85,IUPUI,2413
2:55,85,T.J. Henderson made Free Throw.,52,60
2:55,85,T.J. Henderson made Free Throw.,52,61
2:34,2413,Adrian Hicks made Three Point Jumper. Assisted by Malek Green.,55,61
2:17,85,Evan Hall made Layup. Assisted by T.J. Henderson.,55,63
1:58,2413,Lamontray Harris missed Three Point Jumper.,55,63
1:55,85,Aaron Brennan Defensive Rebound.,55,63
1:36,85,Aaron Brennan missed Three Point Jumper.,55,63
1:34,85,Evan Hall Offensive Rebound.,55,63
1:32,85,Evan Hall missed Layup.,55,63
1:31,85,D.J. McCall Offensive Rebound.,55,63
1:30,85,D.J. McCall made Two Point Tip Shot.,55,65
1:16,2413,Malek Green made Layup. Assisted by Adrian Hicks.,57,65
0:44,85,Nick Rogers missed Jumper.,57,65
0:44,85,IUPUI Offensive Rebound.,57,65
0:43,85,IUPUI  Turnover.,57,65
0:36,2413,Adrian Hicks missed Three Point Jumper.,57,65
0:34,2413,Malek Green Offensive Rebound.,57,65
0:27,2413,Djimon Henson made Layup.,59,65
0:27,85,Official TV Timeout,59,65
0:27,2413,Morehead State  Timeout,59,65
0:23,2413,Foul on James Baker.,59,65
0:23,85,T.J. Henderson made Free Throw.,59,66
0:23,85,T.J. Henderson missed Free Throw.,59,66
0:23,2413,Lamontray Harris Defensive Rebound.,59,66
0:13,85,Foul on D.J. McCall.,59,66
0:13,2413,Malek Green made Free Throw.,60,66
0:13,2413,Malek Green made Free Throw.,61,66
0:13,85,IUPUI  Timeout,61,66
0:12,2413,Foul on Malek Green.,61,66
0:12,85,Aaron Brennan missed Free Throw.,61,66
0:12,85,IUPUI Deadball Team Rebound.,61,66
0:12,85,Aaron Brennan made Free Throw.,61,67
0:07,2413,Jordan Walker missed Three Point Jumper.,61,67
0:01,85,Ron Patterson Defensive Rebound.,61,67
0:00,85,End of Game,61,67
