Richmond,2132,Cincinnati,257
8:07,2132,Cane Broome Steal.,27,55
8:04,2132,Cane Broome made Dunk.,27,57
7:45,257,Grant Golden missed Jumper.,27,57
7:45,2132,Trevor Moore Defensive Rebound.,27,57
7:35,2132,Gary Clark missed Three Point Jumper.,27,57
7:35,2132,Kyle Washington Offensive Rebound.,27,57
7:28,257,Foul on Julius Johnson.,27,57
7:28,2132,Official TV Timeout,27,57
7:28,2132,Cane Broome missed Free Throw.,27,57
7:28,2132,Cincinnati Deadball Team Rebound.,27,57
7:28,2132,Cane Broome made Free Throw.,27,58
7:28,2132,Cane Broome made Free Throw.,27,59
7:09,257,Nathan Cayo made Layup.,29,59
6:40,2132,Trevor Moore made Three Point Jumper. Assisted by Gary Clark.,29,62
6:20,2132,Foul on Trevor Moore.,29,62
6:20,257,Solly Stansbury made Free Throw.,30,62
6:20,257,Solly Stansbury missed Free Throw.,30,62
6:20,2132,Tre Scott Defensive Rebound.,30,62
5:57,2132,Cane Broome missed Jumper.,30,62
5:57,257,Nathan Cayo Block.,30,62
5:55,257,Joe Kirby Offensive Rebound.,30,62
5:47,257,Jacob Gilyard made Three Point Jumper. Assisted by De'Monte Buckingham.,33,62
5:39,257,Foul on Grant Golden.,33,62
5:39,2132,Kyle Washington made Free Throw.,33,63
5:39,2132,Kyle Washington made Free Throw.,33,64
5:30,257,Jordan Madrid-Andrews Turnover.,33,64
5:07,2132,Nysier Brooks made Layup. Assisted by Keith Williams.,33,66
4:38,257,De'Monte Buckingham Turnover.,33,66
4:37,2132,Trevor Moore Steal.,33,66
4:11,257,Foul on Jordan Madrid-Andrews.,33,66
4:11,2132,Tre Scott made Free Throw.,33,67
4:11,2132,Tre Scott missed Free Throw.,33,67
4:11,257,Julius Johnson Defensive Rebound.,33,67
3:57,257,Jacob Gilyard made Three Point Jumper. Assisted by Julius Johnson.,36,67
3:33,2132,Foul on Keith Williams.,36,67
3:33,2132,Keith Williams Turnover.,36,67
3:33,2132,Official TV Timeout,36,67
3:11,257,Nathan Cayo made Jumper. Assisted by Jacob Gilyard.,38,67
2:46,2132,Trevor Moore made Three Point Jumper. Assisted by Justin Jenifer.,38,70
2:23,257,Joe Kirby made Three Point Jumper. Assisted by Jacob Gilyard.,41,70
1:56,2132,Keith Williams Turnover.,41,70
1:29,2132,Foul on Sam Martin.,41,70
1:29,257,Jacob Gilyard made Free Throw.,42,70
1:29,257,Jacob Gilyard made Free Throw.,43,70
1:18,257,Foul on Julius Johnson.,43,70
1:18,2132,Sam Martin made Free Throw.,43,71
1:18,2132,Sam Martin made Free Throw.,43,72
1:01,257,Jacob Gilyard missed Jumper.,43,72
1:01,2132,Nysier Brooks Block.,43,72
0:59,257,Nathan Cayo Offensive Rebound.,43,72
0:55,257,Joe Kirby made Three Point Jumper. Assisted by Nathan Cayo.,46,72
0:39,2132,Foul on Trevor Moore.,46,72
0:39,2132,Trevor Moore Turnover.,46,72
0:34,2132,Foul on Sam Martin.,46,72
0:34,257,Jacob Gilyard made Free Throw.,47,72
0:34,257,Jacob Gilyard made Free Throw.,48,72
0:11,2132,Jackson Bart missed Layup.,48,72
0:11,257,Jordan Madrid-Andrews Block.,48,72
0:08,257,Jacob Gilyard Defensive Rebound.,48,72
0:05,257,Julius Johnson missed Layup.,48,72
0:05,2132,Trevor Moore Defensive Rebound.,48,72
0:01,2132,Jackson Bart made Three Point Jumper. Assisted by Trevor Moore.,48,75
0:00,2132,End of Game,48,75
