Northland College,Error,North Dakota,155
7:33,-1,Gus Farrell made Layup. Assisted by Brandon Galland.,39,71
7:19,155,Billy Brown missed Three Point Jumper.,39,71
7:19,-1,Brandon Galland Defensive Rebound.,39,71
7:13,-1,Jake Dunbar missed Three Point Jumper.,39,71
7:13,155,Billy Brown Defensive Rebound.,39,71
7:07,155,Official TV Timeout,39,71
7:00,155,Jafar Kinsey missed Three Point Jumper.,39,71
7:00,-1,Brandon Galland Defensive Rebound.,39,71
6:49,-1,Brandon Galland missed Jumper.,39,71
6:49,155,Marlon Stewart Defensive Rebound.,39,71
6:40,155,Dale Jones missed Three Point Jumper.,39,71
6:40,155,Jafar Kinsey Offensive Rebound.,39,71
6:40,-1,Foul on Kyler Hagen.,39,71
6:40,155,Jafar Kinsey missed Free Throw.,39,71
6:40,155,North Dakota Deadball Team Rebound.,39,71
6:40,155,Jafar Kinsey made Free Throw.,39,72
6:28,-1,Brandon Galland made Layup.,41,72
6:28,155,Foul on Jafar Kinsey.,41,72
6:28,-1,Brandon Galland missed Free Throw.,41,72
6:28,155,Dale Jones Defensive Rebound.,41,72
6:20,155,Dale Jones missed Three Point Jumper.,41,72
6:18,155,Dale Jones Offensive Rebound.,41,72
6:10,155,Conner Avants Turnover.,41,72
5:45,-1,Kyler Hagen missed Three Point Jumper.,41,72
5:44,155,Jafar Kinsey Defensive Rebound.,41,72
5:14,155,Cortez Seales made Layup.,41,74
5:02,155,Foul on Tray Buchanan.,41,74
5:02,-1,Brandon Galland made Free Throw.,42,74
5:02,-1,Brandon Galland made Free Throw.,43,74
4:45,155,Billy Brown missed Three Point Jumper.,43,74
4:45,-1,Brandon Galland Defensive Rebound.,43,74
4:44,155,Foul on Kienan Walter.,43,74
4:44,-1,Brandon Galland made Free Throw.,44,74
4:44,-1,Brandon Galland made Free Throw.,45,74
4:16,155,Kienan Walter Turnover.,45,74
4:05,-1,Kyler Hagen missed Three Point Jumper.,45,74
4:05,155,Jafar Kinsey Block.,45,74
4:04,155,Cortez Seales Defensive Rebound.,45,74
3:58,155,Cortez Seales missed Jumper.,45,74
3:58,-1,Nathan Nicholls Defensive Rebound.,45,74
3:50,-1,Brandon Galland made Three Point Jumper.,48,74
3:19,155,Tray Buchanan missed Layup.,48,74
3:18,155,Tray Buchanan Offensive Rebound.,48,74
2:48,155,Billy Brown Turnover.,48,74
2:48,155,Official TV Timeout,48,74
2:39,-1,Tyler Van Vlack missed Layup.,48,74
2:39,155,Cortez Seales Block.,48,74
2:38,155,Tray Buchanan Defensive Rebound.,48,74
2:21,155,Billy Brown missed Three Point Jumper.,48,74
2:21,-1,Brandon Galland Defensive Rebound.,48,74
1:57,-1,Harrison Lucas Turnover.,48,74
1:56,155,Tray Buchanan Steal.,48,74
1:41,155,Tray Buchanan made Three Point Jumper. Assisted by Cortez Seales.,48,77
1:25,-1,Brandon Galland missed Three Point Jumper.,48,77
1:25,155,Kienan Walter Defensive Rebound.,48,77
1:08,155,Kienan Walter made Jumper. Assisted by Cortez Seales.,48,79
0:49,-1,Benny Larry Jr. missed Three Point Jumper.,48,79
0:49,-1,Brandon Galland Offensive Rebound.,48,79
0:44,-1,Brandon Galland missed Jumper.,48,79
0:44,-1,Northland Offensive Rebound.,48,79
0:31,-1,Harrison Lucas missed Jumper.,48,79
0:31,-1,Nathan Nicholls Offensive Rebound.,48,79
0:02,-1,Benny Larry Jr. missed Jumper.,48,79
0:02,-1,Nathan Nicholls Offensive Rebound.,48,79
0:00,155,End of Game,48,79
