Oral Roberts,2492,Pepperdine,198
7:27,198,Emmanuel Nzekwesi Defensive Rebound.,27,20
7:15,198,Albert Owens made Layup. Assisted by R.J. Fuqua.,29,20
7:14,2492,Pepperdine  Timeout,29,20
7:03,2492,Kameron Edwards missed Jumper.,29,20
7:03,198,Emmanuel Nzekwesi Block.,29,20
7:02,2492,Pepperdine Offensive Rebound.,29,20
6:57,2492,Kameron Edwards made Dunk. Assisted by Elijah Lee.,29,22
6:41,198,Austin Ruder missed Three Point Jumper.,29,22
6:41,2492,Elijah Lee Defensive Rebound.,29,22
6:28,2492,Harrison Meads Turnover.,29,22
6:13,198,Albert Owens missed Layup.,29,22
6:13,2492,Kameron Edwards Defensive Rebound.,29,22
6:05,2492,Trae Berhow Turnover.,29,22
5:39,198,Sam Kearns missed Three Point Jumper.,29,22
5:39,198,Albert Owens Offensive Rebound.,29,22
5:36,198,Albert Owens made Layup.,31,22
5:12,198,Foul on Jontray Harris.,31,22
5:12,2492,Trae Berhow made Free Throw.,31,23
5:12,2492,Trae Berhow made Free Throw.,31,24
4:55,198,Emmanuel Nzekwesi made Layup. Assisted by Albert Owens.,33,24
4:39,198,Foul on Emmanuel Nzekwesi.,33,24
4:39,2492,Kameron Edwards made Free Throw.,33,25
4:39,2492,Kameron Edwards missed Free Throw.,33,25
4:39,198,Albert Owens Defensive Rebound.,33,25
4:17,198,R.J. Fuqua missed Jumper.,33,25
4:17,2492,Pepperdine Deadball Team Rebound.,33,25
3:57,2492,Elijah Lee made Three Point Jumper. Assisted by Amadi Udenyi.,33,28
3:50,198,Foul on Jontray Harris.,33,28
3:50,198,Jontray Harris Turnover.,33,28
3:50,2492,Official TV Timeout,33,28
3:29,2492,Amadi Udenyi Turnover.,33,28
3:28,198,Emmanuel Nzekwesi Steal.,33,28
3:07,2492,Foul on Trae Berhow.,33,28
3:07,198,Emmanuel Nzekwesi made Free Throw.,34,28
3:07,198,Emmanuel Nzekwesi made Free Throw.,35,28
2:47,2492,Matthew Atewe Turnover.,35,28
2:25,198,Albert Owens missed Jumper.,35,28
2:25,2492,Trae Berhow Defensive Rebound.,35,28
2:23,198,Foul on Emmanuel Nzekwesi.,35,28
2:23,2492,Trae Berhow made Free Throw.,35,29
2:23,2492,Trae Berhow made Free Throw.,35,30
2:03,198,Albert Owens missed Jumper.,35,30
2:03,2492,Trae Berhow Defensive Rebound.,35,30
1:53,198,Foul on Kellen Manek.,35,30
1:53,2492,Amadi Udenyi made Free Throw.,35,31
1:53,2492,Amadi Udenyi missed Free Throw.,35,31
1:53,198,Albert Owens Defensive Rebound.,35,31
1:23,198,Javan White made Jumper. Assisted by Jontray Harris.,37,31
1:03,198,Foul on Sam Kearns.,37,31
1:03,2492,Elijah Lee missed Free Throw.,37,31
1:03,2492,Pepperdine Deadball Team Rebound.,37,31
1:03,2492,Elijah Lee missed Free Throw.,37,31
1:03,198,Javan White Defensive Rebound.,37,31
0:44,198,Albert Owens Turnover.,37,31
0:43,2492,Amadi Udenyi Steal.,37,31
0:40,198,Foul on Sam Kearns.,37,31
0:40,2492,Amadi Udenyi made Free Throw.,37,32
0:40,2492,Amadi Udenyi made Free Throw.,37,33
0:11,198,Javan White made Three Point Jumper. Assisted by Sam Kearns.,40,33
0:01,2492,Amadi Udenyi missed Three Point Jumper.,40,33
0:01,2492,Pepperdine Deadball Team Rebound.,40,33
0:00,2492,End of 1st half,40,33
19:43,198,Austin Ruder made Three Point Jumper. Assisted by Emmanuel Nzekwesi.,43,33
19:24,2492,Trae Berhow made Jumper.,43,35
19:07,2492,Foul on Trae Berhow.,43,35
19:07,198,Albert Owens made Free Throw.,44,35
19:07,198,Albert Owens made Free Throw.,45,35
18:56,2492,Matthew Atewe made Dunk. Assisted by Colbey Ross.,45,37
18:43,198,Albert Owens made Layup. Assisted by Emmanuel Nzekwesi.,47,37
18:23,2492,Colbey Ross missed Three Point Jumper.,47,37
18:23,198,Emmanuel Nzekwesi Defensive Rebound.,47,37
18:20,2492,Foul on Kameron Edwards.,47,37
18:05,198,Emmanuel Nzekwesi missed Three Point Jumper.,47,37
18:05,2492,Colbey Ross Defensive Rebound.,47,37
17:45,2492,Kameron Edwards missed Layup.,47,37
17:45,198,Albert Owens Defensive Rebound.,47,37
17:20,198,Albert Owens missed Jumper.,47,37
17:20,198,Emmanuel Nzekwesi Offensive Rebound.,47,37
17:17,198,Sam Kearns made Three Point Jumper. Assisted by Emmanuel Nzekwesi.,50,37
17:09,198,Foul on Albert Owens.,50,37
17:03,2492,Foul on Kameron Edwards.,50,37
17:03,2492,Kameron Edwards Turnover.,50,37
16:53,2492,Foul on Nolan Taylor.,50,37
16:50,2492,Foul on Nolan Taylor.,50,37
16:49,198,Emmanuel Nzekwesi made Jumper. Assisted by Sam Kearns.,52,37
16:29,2492,Amadi Udenyi made Layup.,52,39
16:20,198,Albert Owens missed Layup.,52,39
16:20,2492,Nolan Taylor Defensive Rebound.,52,39
16:13,2492,Trae Berhow made Three Point Jumper. Assisted by Amadi Udenyi.,52,42
15:53,198,Emmanuel Nzekwesi made Layup. Assisted by Sam Kearns.,54,42
15:53,2492,Foul on Trae Berhow.,54,42
15:53,2492,Official TV Timeout,54,42
15:53,198,Emmanuel Nzekwesi missed Free Throw.,54,42
15:53,2492,Darnell Dunn Defensive Rebound.,54,42
15:26,2492,Colbey Ross Turnover.,54,42
15:25,198,Javan White Steal.,54,42
15:17,198,Austin Ruder missed Three Point Jumper.,54,42
15:17,2492,Trae Berhow Defensive Rebound.,54,42
15:15,198,Foul on Emmanuel Nzekwesi.,54,42
15:01,2492,Nolan Taylor missed Layup.,54,42
15:01,2492,Darnell Dunn Offensive Rebound.,54,42
14:59,2492,Darnell Dunn made Layup.,54,44
14:50,198,Javan White Turnover.,54,44
14:37,2492,Trae Berhow missed Three Point Jumper.,54,44
14:37,198,Austin Ruder Defensive Rebound.,54,44
14:26,2492,Foul on Trae Berhow.,54,44
14:26,198,Javan White made Free Throw.,55,44
14:26,198,Javan White missed Free Throw.,55,44
14:26,198,Austin Ruder Offensive Rebound.,55,44
14:24,198,Austin Ruder missed Layup.,55,44
14:24,2492,Jade' Smith Defensive Rebound.,55,44
14:03,2492,Colbey Ross made Jumper.,55,46
13:42,198,Austin Ruder missed Three Point Jumper.,55,46
13:42,2492,Pepperdine Defensive Rebound.,55,46
13:25,2492,Darnell Dunn missed Jumper.,55,46
13:25,198,R.J. Fuqua Defensive Rebound.,55,46
12:55,198,Sam Kearns missed Three Point Jumper.,55,46
12:55,198,Chris Miller Offensive Rebound.,55,46
12:51,198,Oral Roberts  Turnover.,55,46
12:40,2492,Jade' Smith missed Three Point Jumper.,55,46
12:40,198,Austin Ruder Defensive Rebound.,55,46
12:14,198,Austin Ruder missed Three Point Jumper.,55,46
12:14,2492,Darnell Dunn Defensive Rebound.,55,46
12:07,2492,Colbey Ross made Three Point Jumper.,55,49
11:37,198,R.J. Fuqua missed Three Point Jumper.,55,49
11:37,198,Javan White Offensive Rebound.,55,49
11:34,198,Austin Ruder made Three Point Jumper. Assisted by Javan White.,58,49
11:32,198,Oral Roberts  Timeout,58,49
11:17,198,Foul on Chris Miller.,58,49
11:17,2492,Official TV Timeout,58,49
11:17,2492,Darnell Dunn made Free Throw.,58,50
11:17,2492,Darnell Dunn made Free Throw.,58,51
11:01,198,Albert Owens missed Jumper.,58,51
11:01,2492,Knox Hellums Defensive Rebound.,58,51
10:47,2492,Knox Hellums missed Three Point Jumper.,58,51
10:47,2492,Jade' Smith Offensive Rebound.,58,51
10:43,2492,Darnell Dunn made Layup. Assisted by Jade' Smith.,58,53
10:23,198,Emmanuel Nzekwesi missed Jumper.,58,53
10:23,198,Javan White Offensive Rebound.,58,53
10:18,198,Javan White missed Layup.,58,53
10:18,2492,Darnell Dunn Block.,58,53
10:18,2492,Harrison Meads Defensive Rebound.,58,53
9:56,2492,Colbey Ross made Three Point Jumper.,58,56
9:36,198,Javan White made Layup. Assisted by Sam Kearns.,60,56
9:16,2492,Darnell Dunn Turnover.,60,56
9:16,198,Sam Kearns Steal.,60,56
9:16,198,Oral Roberts  Timeout,60,56
9:02,198,Javan White Turnover.,60,56
8:51,2492,Colbey Ross made Jumper.,60,58
8:29,198,Albert Owens made Layup. Assisted by Sam Kearns.,62,58
8:15,198,Foul on Javan White.,62,58
8:15,2492,Colbey Ross made Free Throw.,62,59
8:15,2492,Colbey Ross made Free Throw.,62,60
8:02,198,Emmanuel Nzekwesi missed Layup.,62,60
8:01,2492,Harrison Meads Block.,62,60
8:00,198,Oral Roberts Offensive Rebound.,62,60
7:59,2492,Official TV Timeout,62,60
7:43,198,Oral Roberts  Turnover.,62,60
7:30,198,Foul on R.J. Fuqua.,62,60
7:30,2492,Colbey Ross made Free Throw.,62,61
7:30,2492,Colbey Ross made Free Throw.,62,62
7:08,198,Emmanuel Nzekwesi Turnover.,62,62
7:07,2492,Colbey Ross Steal.,62,62
6:54,2492,Colbey Ross made Jumper.,62,64
6:40,198,Albert Owens made Layup. Assisted by Emmanuel Nzekwesi.,64,64
6:23,2492,Kameron Edwards missed Jumper.,64,64
6:23,198,Emmanuel Nzekwesi Defensive Rebound.,64,64
6:11,198,Emmanuel Nzekwesi made Dunk.,66,64
5:58,2492,Colbey Ross missed Layup.,66,64
5:58,198,Emmanuel Nzekwesi Block.,66,64
5:58,2492,Pepperdine Offensive Rebound.,66,64
5:58,2492,Pepperdine  Timeout,66,64
5:45,2492,Knox Hellums made Three Point Jumper. Assisted by Nolan Taylor.,66,67
5:27,198,Emmanuel Nzekwesi missed Jumper.,66,67
5:27,2492,Kameron Edwards Defensive Rebound.,66,67
5:19,2492,Kameron Edwards Turnover.,66,67
4:58,198,Albert Owens made Layup. Assisted by Sam Kearns.,68,67
4:29,2492,Kameron Edwards made Jumper.,68,69
4:28,198,Foul on Albert Owens.,68,69
4:28,2492,Kameron Edwards made Free Throw.,68,70
4:17,2492,Foul on Colbey Ross.,68,70
4:17,198,Sam Kearns made Free Throw.,69,70
4:17,198,Sam Kearns made Free Throw.,70,70
4:05,2492,Nolan Taylor made Layup. Assisted by Colbey Ross.,70,72
3:43,2492,Foul on Kameron Edwards.,70,72
3:43,2492,Official TV Timeout,70,72
3:43,198,Emmanuel Nzekwesi missed Free Throw.,70,72
3:43,198,Oral Roberts Deadball Team Rebound.,70,72
3:43,198,Emmanuel Nzekwesi missed Free Throw.,70,72
3:43,2492,Jade' Smith Defensive Rebound.,70,72
3:40,198,Foul on Sam Kearns.,70,72
3:40,2492,Jade' Smith missed Free Throw.,70,72
3:40,2492,Trae Berhow Offensive Rebound.,70,72
3:34,2492,Trae Berhow Turnover.,70,72
3:14,198,Emmanuel Nzekwesi missed Jumper.,70,72
3:14,2492,Trae Berhow Defensive Rebound.,70,72
2:51,2492,Colbey Ross made Jumper.,70,74
2:22,198,Austin Ruder made Layup.,72,74
1:50,2492,Nolan Taylor made Layup. Assisted by Knox Hellums.,72,76
1:28,198,Austin Ruder missed Three Point Jumper.,72,76
1:28,2492,Jade' Smith Defensive Rebound.,72,76
1:09,198,Foul on R.J. Fuqua.,72,76
1:09,2492,Colbey Ross missed Free Throw.,72,76
1:09,2492,Pepperdine Deadball Team Rebound.,72,76
1:09,2492,Colbey Ross made Free Throw.,72,77
1:00,198,Sam Kearns missed Three Point Jumper.,72,77
1:00,198,Emmanuel Nzekwesi Offensive Rebound.,72,77
0:54,198,Sam Kearns made Jumper.,74,77
0:53,2492,Official TV Timeout,74,77
0:53,198,Oral Roberts  Timeout,74,77
0:25,2492,Colbey Ross missed Three Point Jumper.,74,77
0:25,2492,Pepperdine Offensive Rebound.,74,77
0:21,2492,Pepperdine  Timeout,74,77
0:19,198,Foul on Emmanuel Nzekwesi.,74,77
0:19,2492,Darnell Dunn made Free Throw.,74,78
0:19,2492,Darnell Dunn missed Free Throw.,74,78
0:19,198,Sam Kearns Defensive Rebound.,74,78
0:07,198,Emmanuel Nzekwesi made Jumper. Assisted by R.J. Fuqua.,76,78
0:07,2492,Foul on Amadi Udenyi.,76,78
0:07,2492,Pepperdine  Timeout,76,78
0:07,198,Emmanuel Nzekwesi missed Free Throw.,76,78
0:07,2492,Jade' Smith Defensive Rebound.,76,78
0:06,198,Foul on R.J. Fuqua.,76,78
0:06,2492,Jade' Smith made Free Throw.,76,79
0:06,2492,Jade' Smith made Free Throw.,76,80
0:03,198,Austin Ruder missed Three Point Jumper.,76,80
0:03,2492,Trae Berhow Defensive Rebound.,76,80
0:00,2492,End of Game,76,80
