Longwood,2430,UNC Greensboro,2344
12:42,2430,Marvin Smith missed Three Point Jumper.,17,11
12:42,2344,Boaz Williams Defensive Rebound.,17,11
12:31,2344,B.K. Ashe Turnover.,17,11
12:14,2344,Foul on Chris Shields.,17,11
12:14,2430,Kyrin Galloway made Free Throw.,17,12
12:14,2430,Kyrin Galloway missed Free Throw.,17,12
12:14,2344,B.K. Ashe Defensive Rebound.,17,12
12:01,2344,Chris Shields Turnover.,17,12
11:46,2430,James Dickey Turnover.,17,12
11:46,2430,Official TV Timeout,17,12
11:37,2344,Boaz Williams missed Layup.,17,12
11:37,2430,Francis Alonso Defensive Rebound.,17,12
11:31,2430,Malik Massey missed Three Point Jumper.,17,12
11:31,2430,Isaiah Miller Offensive Rebound.,17,12
11:27,2430,Isaiah Miller made Layup.,17,14
11:09,2430,Foul on Isaiah Miller.,17,14
11:01,2344,Charles Glover Turnover.,17,14
11:00,2430,Malik Massey Steal.,17,14
10:57,2430,Isaiah Miller missed Dunk.,17,14
10:57,2344,Kamil Chapman Defensive Rebound.,17,14
10:50,2344,Kamil Chapman missed Layup.,17,14
10:50,2430,James Dickey Block.,17,14
10:49,2430,Isaiah Miller Defensive Rebound.,17,14
10:38,2430,Jordy Kuiper missed Three Point Jumper.,17,14
10:38,2344,Chris Shields Defensive Rebound.,17,14
10:23,2344,Chris Shields missed Jumper.,17,14
10:23,2430,James Dickey Defensive Rebound.,17,14
10:06,2430,Jordy Kuiper made Three Point Jumper. Assisted by Malik Massey.,17,17
9:53,2344,Kamil Chapman Turnover.,17,17
9:53,2430,James Dickey Steal.,17,17
9:51,2430,Francis Alonso made Three Point Jumper. Assisted by James Dickey.,17,20
9:47,2344,Longwood  Timeout,17,20
9:34,2344,Chris Shields missed Three Point Jumper.,17,20
9:34,2430,Justin Jordan Defensive Rebound.,17,20
9:28,2430,Francis Alonso missed Three Point Jumper.,17,20
9:28,2430,Isaiah Miller Offensive Rebound.,17,20
9:23,2430,Isaiah Miller made Layup.,17,22
9:05,2344,Damarion Geter made Layup.,19,22
8:51,2430,Francis Alonso missed Three Point Jumper.,19,22
8:51,2430,Jordy Kuiper Offensive Rebound.,19,22
8:34,2430,Kyrin Galloway missed Three Point Jumper.,19,22
8:34,2344,Chris Shields Defensive Rebound.,19,22
8:17,2430,Foul on Kyrin Galloway.,19,22
8:17,2344,Damarion Geter made Free Throw.,20,22
8:17,2344,Damarion Geter made Free Throw.,21,22
8:04,2430,Marvin Smith Turnover.,21,22
8:04,2430,Foul on Marvin Smith.,21,22
7:48,2344,Jordan Cintron Turnover.,21,22
7:47,2430,Justin Jordan Steal.,21,22
7:35,2430,Jordy Kuiper made Three Point Jumper. Assisted by Kylia Sykes.,21,25
6:58,2344,B.K. Ashe made Layup.,23,25
6:45,2430,James Dickey missed Jumper.,23,25
6:45,2344,Damarion Geter Defensive Rebound.,23,25
6:30,2344,B.K. Ashe missed Three Point Jumper.,23,25
6:30,2430,James Dickey Defensive Rebound.,23,25
6:20,2430,Jordy Kuiper missed Three Point Jumper.,23,25
6:20,2344,Jordan Cintron Defensive Rebound.,23,25
5:59,2430,Foul on James Dickey.,23,25
5:59,2430,Official TV Timeout,23,25
5:59,2344,Jordan Cintron missed Free Throw.,23,25
5:59,2344,Longwood Deadball Team Rebound.,23,25
5:59,2344,Jordan Cintron made Free Throw.,24,25
5:35,2430,Kyrin Galloway missed Three Point Jumper.,24,25
5:35,2344,Charles Glover Defensive Rebound.,24,25
5:20,2344,JaShaun Smith missed Jumper.,24,25
5:20,2430,Demetrius Troy Defensive Rebound.,24,25
4:55,2430,James Dickey Turnover.,24,25
4:45,2430,Foul on Malik Massey.,24,25
4:45,2344,B.K. Ashe missed Free Throw.,24,25
4:45,2344,Longwood Deadball Team Rebound.,24,25
4:45,2344,B.K. Ashe made Free Throw.,25,25
4:35,2430,Demetrius Troy missed Three Point Jumper.,25,25
4:35,2430,Kyrin Galloway Offensive Rebound.,25,25
4:28,2430,Kyrin Galloway made Layup.,25,27
4:12,2344,Boaz Williams Turnover.,25,27
3:51,2430,Official TV Timeout,25,27
3:45,2430,Demetrius Troy Turnover.,25,27
3:38,2344,B.K. Ashe Steal.,25,27
3:36,2344,Kamil Chapman missed Three Point Jumper.,25,27
3:36,2430,Kyrin Galloway Defensive Rebound.,25,27
3:29,2430,Demetrius Troy made Three Point Jumper.,25,30
2:57,2344,B.K. Ashe made Layup.,27,30
2:48,2430,Demetrius Troy missed Three Point Jumper.,27,30
2:48,2344,Charles Glover Defensive Rebound.,27,30
2:34,2430,Foul on Isaiah Miller.,27,30
2:34,2344,Charles Glover made Free Throw.,28,30
2:34,2344,Charles Glover made Free Throw.,29,30
2:30,2430,Demetrius Troy Turnover.,29,30
2:20,2344,B.K. Ashe Turnover.,29,30
2:19,2430,Malik Massey Steal.,29,30
2:07,2430,Jordy Kuiper missed Layup.,29,30
2:07,2344,Damarion Geter Block.,29,30
2:05,2430,Kylia Sykes Offensive Rebound.,29,30
2:03,2430,Malik Massey made Three Point Jumper. Assisted by Demetrius Troy.,29,33
1:35,2344,Jordan Cintron Turnover.,29,33
1:34,2430,Demetrius Troy Steal.,29,33
1:19,2430,James Dickey Turnover.,29,33
1:17,2344,B.K. Ashe Steal.,29,33
1:14,2344,B.K. Ashe missed Layup.,29,33
1:14,2430,James Dickey Block.,29,33
1:13,2344,B.K. Ashe Offensive Rebound.,29,33
0:57,2344,Charles Glover Turnover.,29,33
0:57,2430,Kylia Sykes Steal.,29,33
0:49,2430,Demetrius Troy Turnover.,29,33
0:49,2430,Foul on Demetrius Troy.,29,33
0:34,2344,Damarion Geter Turnover.,29,33
0:34,2344,Foul on Damarion Geter.,29,33
0:07,2344,Foul on Jordan Cintron.,29,33
0:01,2430,Jordy Kuiper missed Three Point Jumper.,29,33
0:01,2430,UNC Greensboro Deadball Team Rebound.,29,33
0:00,2430,End of 1st half,29,33
19:37,2344,Charles Glover missed Three Point Jumper.,29,33
19:37,2430,James Dickey Defensive Rebound.,29,33
19:18,2430,James Dickey missed Jumper.,29,33
19:18,2430,James Dickey Offensive Rebound.,29,33
19:09,2430,Marvin Smith made Jumper.,29,35
18:53,2344,Chris Shields missed Layup.,29,35
18:53,2430,Jordy Kuiper Defensive Rebound.,29,35
18:45,2430,Francis Alonso missed Three Point Jumper.,29,35
18:45,2344,Longwood Defensive Rebound.,29,35
18:20,2344,Damarion Geter made Jumper. Assisted by B.K. Ashe.,31,35
18:11,2430,Marvin Smith missed Three Point Jumper.,31,35
18:11,2430,UNC Greensboro Offensive Rebound.,31,35
18:03,2430,Francis Alonso made Three Point Jumper. Assisted by Demetrius Troy.,31,38
17:39,2344,JaShaun Smith missed Three Point Jumper.,31,38
17:39,2430,Marvin Smith Defensive Rebound.,31,38
17:27,2430,Marvin Smith missed Jumper.,31,38
17:27,2344,JaShaun Smith Defensive Rebound.,31,38
17:17,2344,B.K. Ashe Turnover.,31,38
16:51,2344,Foul on B.K. Ashe.,31,38
16:51,2430,Francis Alonso made Free Throw.,31,39
16:51,2430,Francis Alonso made Free Throw.,31,40
16:28,2344,Damarion Geter missed Layup.,31,40
16:28,2430,James Dickey Block.,31,40
16:23,2430,Demetrius Troy Defensive Rebound.,31,40
16:16,2430,Demetrius Troy Turnover.,31,40
16:14,2344,Charles Glover Steal.,31,40
16:06,2430,Foul on Francis Alonso.,31,40
16:06,2344,Charles Glover missed Free Throw.,31,40
16:06,2344,Longwood Deadball Team Rebound.,31,40
16:06,2344,Charles Glover made Free Throw.,32,40
15:49,2430,Official TV Timeout,32,40
15:29,2430,UNC Greensboro  Turnover.,32,40
15:18,2344,B.K. Ashe Turnover.,32,40
15:17,2430,Jordy Kuiper Steal.,32,40
15:08,2430,Kyrin Galloway made Layup. Assisted by Demetrius Troy.,32,42
15:08,2344,Foul on B.K. Ashe.,32,42
15:08,2430,Kyrin Galloway missed Free Throw.,32,42
15:08,2344,Jordan Cintron Defensive Rebound.,32,42
14:52,2344,Jordan Cintron missed Jumper.,32,42
14:52,2430,Kyrin Galloway Defensive Rebound.,32,42
14:42,2430,Demetrius Troy missed Three Point Jumper.,32,42
14:42,2430,Kyrin Galloway Offensive Rebound.,32,42
14:28,2430,Kyrin Galloway made Jumper.,32,44
14:02,2344,Jordan Cintron missed Three Point Jumper.,32,44
14:02,2430,Jordy Kuiper Defensive Rebound.,32,44
13:47,2430,Marvin Smith missed Layup.,32,44
13:47,2430,UNC Greensboro Offensive Rebound.,32,44
13:38,2430,Jordy Kuiper made Three Point Jumper. Assisted by Demetrius Troy.,32,47
13:21,2344,Longwood  Timeout,32,47
13:13,2344,B.K. Ashe missed Layup.,32,47
13:13,2430,James Dickey Block.,32,47
13:10,2344,B.K. Ashe Offensive Rebound.,32,47
13:07,2430,Foul on Jordy Kuiper.,32,47
13:07,2344,JaShaun Smith missed Free Throw.,32,47
13:07,2344,Longwood Deadball Team Rebound.,32,47
13:07,2344,JaShaun Smith made Free Throw.,33,47
12:57,2430,Jordy Kuiper Turnover.,33,47
12:47,2344,Boaz Williams Turnover.,33,47
12:24,2430,Isaiah Miller missed Jumper.,33,47
12:24,2430,James Dickey Offensive Rebound.,33,47
12:22,2430,James Dickey missed Layup.,33,47
12:22,2344,Charles Glover Defensive Rebound.,33,47
12:14,2344,B.K. Ashe missed Three Point Jumper.,33,47
12:14,2430,Isaiah Miller Defensive Rebound.,33,47
11:57,2430,Marvin Smith made Layup.,33,49
11:34,2344,Damarion Geter made Jumper.,35,49
11:02,2430,Isaiah Miller made Jumper.,35,51
10:36,2344,Charles Glover missed Layup.,35,51
10:36,2430,James Dickey Block.,35,51
10:35,2430,Jordy Kuiper Defensive Rebound.,35,51
10:28,2344,Foul on B.K. Ashe.,35,51
10:28,2430,Official TV Timeout,35,51
10:28,2430,Malik Massey made Free Throw.,35,52
10:28,2430,Malik Massey made Free Throw.,35,53
10:11,2344,Kamil Chapman made Three Point Jumper. Assisted by JaShaun Smith.,38,53
9:42,2430,Isaiah Miller missed Jumper.,38,53
9:42,2430,James Dickey Offensive Rebound.,38,53
9:40,2430,James Dickey missed Layup.,38,53
9:40,2430,UNC Greensboro Offensive Rebound.,38,53
9:32,2430,Kylia Sykes missed Three Point Jumper.,38,53
9:32,2344,Jordan Cintron Defensive Rebound.,38,53
9:16,2430,Foul on Isaiah Miller.,38,53
9:16,2344,Chris Shields Turnover.,38,53
9:16,2430,Malik Massey Steal.,38,53
9:16,2430,Malik Massey made Layup.,38,55
8:41,2344,Kamil Chapman missed Three Point Jumper.,38,55
8:41,2430,James Dickey Defensive Rebound.,38,55
8:26,2430,Francis Alonso Turnover.,38,55
8:26,2430,Foul on Francis Alonso.,38,55
8:17,2344,Jordan Cintron missed Layup.,38,55
8:17,2430,James Dickey Defensive Rebound.,38,55
8:10,2430,Malik Massey missed Three Point Jumper.,38,55
8:07,2344,Foul on Damarion Geter.,38,55
8:07,2430,UNC Greensboro Deadball Team Rebound.,38,55
8:00,2430,Official TV Timeout,38,55
8:00,2344,Foul on Jordan Cintron.,38,55
7:51,2430,Kylia Sykes Turnover.,38,55
7:33,2344,B.K. Ashe missed Jumper.,38,55
7:33,2430,Jordy Kuiper Defensive Rebound.,38,55
7:24,2430,Kylia Sykes missed Three Point Jumper.,38,55
7:24,2344,Damarion Geter Defensive Rebound.,38,55
7:00,2430,Foul on Kylia Sykes.,38,55
6:56,2344,B.K. Ashe Turnover.,38,55
6:55,2430,Marvin Smith Steal.,38,55
6:53,2430,Marvin Smith Turnover.,38,55
6:53,2430,Foul on Marvin Smith.,38,55
6:38,2344,Charles Glover missed Three Point Jumper.,38,55
6:38,2430,Jordy Kuiper Defensive Rebound.,38,55
6:27,2430,Marvin Smith missed Three Point Jumper.,38,55
6:27,2344,Jordan Cintron Defensive Rebound.,38,55
6:07,2344,Damarion Geter Turnover.,38,55
6:06,2430,Justin Jordan Steal.,38,55
5:59,2344,Foul on Chris Shields.,38,55
5:59,2430,Kyrin Galloway made Free Throw.,38,56
5:59,2430,Kyrin Galloway made Free Throw.,38,57
5:46,2344,B.K. Ashe missed Three Point Jumper.,38,57
5:46,2430,Jordy Kuiper Defensive Rebound.,38,57
5:27,2344,Foul on Jordan Cintron.,38,57
5:27,2430,Francis Alonso made Free Throw.,38,58
5:27,2430,Francis Alonso missed Free Throw.,38,58
5:27,2344,Damarion Geter Defensive Rebound.,38,58
5:22,2344,B.K. Ashe Turnover.,38,58
5:11,2430,Marvin Smith made Three Point Jumper. Assisted by Jordy Kuiper.,38,61
4:58,2344,Jordan Cintron missed Layup.,38,61
4:58,2430,James Dickey Defensive Rebound.,38,61
4:53,2430,Marvin Smith made Three Point Jumper. Assisted by Francis Alonso.,38,64
4:48,2344,Longwood  Timeout,38,64
4:35,2344,B.K. Ashe Turnover.,38,64
4:34,2430,Justin Jordan Steal.,38,64
4:30,2430,Kyrin Galloway made Layup. Assisted by Justin Jordan.,38,66
4:23,2344,Kamil Chapman Turnover.,38,66
4:04,2430,James Dickey Turnover.,38,66
3:57,2344,Kamil Chapman Turnover.,38,66
3:57,2430,Official TV Timeout,38,66
3:46,2430,Isaiah Miller missed Three Point Jumper.,38,66
3:46,2430,Kyrin Galloway Offensive Rebound.,38,66
3:43,2344,Foul on Boaz Williams.,38,66
3:43,2430,Kyrin Galloway missed Free Throw.,38,66
3:43,2430,UNC Greensboro Deadball Team Rebound.,38,66
3:43,2430,Kyrin Galloway missed Free Throw.,38,66
3:43,2430,James Dickey Offensive Rebound.,38,66
3:38,2430,Demetrius Troy missed Three Point Jumper.,38,66
3:38,2344,Longwood Defensive Rebound.,38,66
3:10,2430,Foul on Kyrin Galloway.,38,66
3:10,2344,Jordan Cintron missed Free Throw.,38,66
3:10,2344,Longwood Deadball Team Rebound.,38,66
3:10,2344,Jordan Cintron made Free Throw.,39,66
2:44,2430,James Dickey Turnover.,39,66
2:43,2344,Boaz Williams Steal.,39,66
2:38,2430,Foul on Kyrin Galloway.,39,66
2:38,2344,Kamil Chapman made Free Throw.,40,66
2:38,2344,Kamil Chapman missed Free Throw.,40,66
2:38,2430,UNC Greensboro Defensive Rebound.,40,66
2:30,2430,Demetrius Troy Turnover.,40,66
2:29,2344,Jordan Cintron Steal.,40,66
2:25,2344,Jordan Cintron Turnover.,40,66
2:24,2430,Justin Jordan Steal.,40,66
2:19,2344,Foul on Boaz Williams.,40,66
2:19,2430,Demetrius Troy missed Free Throw.,40,66
2:19,2430,UNC Greensboro Deadball Team Rebound.,40,66
2:10,2344,Pernell Adgei missed Three Point Jumper.,40,66
2:10,2430,Garrett Collins Defensive Rebound.,40,66
1:40,2430,Justin Jordan Turnover.,40,66
1:39,2344,Chris Shields Steal.,40,66
1:35,2430,Foul on Garrett Collins.,40,66
1:35,2344,Dominic Ezeani missed Free Throw.,40,66
1:35,2344,Longwood Deadball Team Rebound.,40,66
1:35,2344,Dominic Ezeani missed Free Throw.,40,66
1:35,2430,Justin Jordan Defensive Rebound.,40,66
1:12,2430,Garrett Collins made Layup. Assisted by Kylia Sykes.,40,68
1:02,2344,Kamil Chapman missed Layup.,40,68
1:02,2430,Garrett Collins Block.,40,68
1:01,2430,Garrett Collins Defensive Rebound.,40,68
0:44,2344,Foul on Kamil Chapman.,40,68
0:44,2344,Kamil Chapman Turnover.,40,68
0:30,2430,Garrett Collins made Three Point Jumper. Assisted by Kylia Sykes.,40,71
0:12,2344,Boaz Williams missed Jumper.,40,71
0:12,2344,Jordan Cintron Offensive Rebound.,40,71
0:10,2430,Foul on Lloyd Burgess.,40,71
0:10,2344,Jordan Cintron missed Free Throw.,40,71
0:10,2344,Longwood Deadball Team Rebound.,40,71
0:10,2344,Jordan Cintron missed Free Throw.,40,71
0:10,2430,Lloyd Burgess Defensive Rebound.,40,71
0:00,2430,End of Game,40,71
