Radford,153,North Carolina,2515
11:56,153,Luke Maye Offensive Rebound.,39,64
11:53,2515,Foul on Ed Polite Jr..,39,64
11:53,153,Official TV Timeout,39,64
11:53,153,Luke Maye missed Free Throw.,39,64
11:53,2515,Donald Hicks Defensive Rebound.,39,64
11:35,2515,Ed Polite Jr. missed Jumper.,39,64
11:35,153,Luke Maye Defensive Rebound.,39,64
11:27,153,Luke Maye Turnover.,39,64
11:15,2515,Christian Bradford Turnover.,39,64
11:15,153,Seventh Woods Steal.,39,64
11:09,153,Seventh Woods made Dunk.,39,66
10:47,2515,Christian Bradford missed Three Point Jumper.,39,66
10:47,153,Seventh Woods Defensive Rebound.,39,66
10:35,153,Tony Bradley made Jumper. Assisted by Nate Britt.,39,68
10:20,2515,Donald Hicks missed Jumper.,39,68
10:20,153,Luke Maye Defensive Rebound.,39,68
10:08,153,Nate Britt made Three Point Jumper. Assisted by Tony Bradley.,39,71
9:41,2515,Christian Bradford made Jumper.,41,71
9:39,2515,Radford  Timeout,41,71
9:25,153,Seventh Woods missed Jumper.,41,71
9:25,2515,Donald Hicks Defensive Rebound.,41,71
9:02,2515,Christian Bradford missed Jumper.,41,71
9:02,153,Brandon Robinson Defensive Rebound.,41,71
8:53,2515,Foul on Randy Phillips.,41,71
8:53,153,Tony Bradley made Free Throw.,41,72
8:53,153,Tony Bradley made Free Throw.,41,73
8:35,2515,Justin Cousin missed Three Point Jumper.,41,73
8:35,153,Nate Britt Defensive Rebound.,41,73
8:30,153,Brandon Robinson missed Three Point Jumper.,41,73
8:30,153,Luke Maye Offensive Rebound.,41,73
8:17,153,Luke Maye missed Jumper.,41,73
8:17,153,Brandon Robinson Offensive Rebound.,41,73
8:17,153,Brandon Robinson missed Two Point Tip Shot.,41,73
8:17,2515,Christian Bradford Defensive Rebound.,41,73
8:06,153,Foul on Luke Maye.,41,73
8:06,2515,Christian Bradford made Free Throw.,42,73
8:06,2515,Christian Bradford made Free Throw.,43,73
7:56,153,Isaiah Hicks made Layup.,43,75
7:56,2515,Foul on Devonnte Holland.,43,75
7:56,153,Official TV Timeout,43,75
7:56,153,Isaiah Hicks made Free Throw.,43,76
7:48,2515,Christian Lutete missed Three Point Jumper.,43,76
7:48,153,Nate Britt Defensive Rebound.,43,76
7:35,153,Kennedy Meeks missed Jumper.,43,76
7:35,153,Isaiah Hicks Offensive Rebound.,43,76
7:32,2515,Foul on Devonnte Holland.,43,76
7:32,153,Isaiah Hicks made Free Throw.,43,77
7:32,153,Isaiah Hicks made Free Throw.,43,78
7:01,2515,Ed Polite Jr. Turnover.,43,78
7:01,153,Seventh Woods Steal.,43,78
6:53,153,Seventh Woods missed Jumper.,43,78
6:53,2515,Christian Lutete Defensive Rebound.,43,78
6:50,2515,Christian Lutete Turnover.,43,78
6:50,153,Brandon Robinson Steal.,43,78
6:49,2515,Foul on Christian Lutete.,43,78
6:49,153,Brandon Robinson made Free Throw.,43,79
6:49,153,Brandon Robinson made Free Throw.,43,80
6:26,2515,Caleb Tanner made Three Point Jumper. Assisted by Justin Cousin.,46,80
6:17,153,Seventh Woods Turnover.,46,80
6:04,2515,Caleb Tanner missed Three Point Jumper.,46,80
6:04,2515,Devonnte Holland Offensive Rebound.,46,80
5:57,153,Foul on Isaiah Hicks.,46,80
5:57,2515,Devonnte Holland missed Free Throw.,46,80
5:57,2515,Radford Deadball Team Rebound.,46,80
5:57,2515,Devonnte Holland missed Free Throw.,46,80
5:57,153,Tony Bradley Defensive Rebound.,46,80
5:48,153,Tony Bradley missed Layup.,46,80
5:48,2515,Devonnte Holland Block.,46,80
5:48,2515,Ed Polite Jr. Defensive Rebound.,46,80
5:35,2515,Caleb Tanner missed Three Point Jumper.,46,80
5:35,153,Justin Jackson Defensive Rebound.,46,80
5:23,2515,Foul on Ed Polite Jr..,46,80
5:23,153,Isaiah Hicks missed Free Throw.,46,80
5:23,153,North Carolina Deadball Team Rebound.,46,80
5:23,153,Isaiah Hicks made Free Throw.,46,81
4:57,2515,Sterling Christy made Layup. Assisted by Justin Cousin.,48,81
4:47,153,Kennedy Meeks missed Layup.,48,81
4:47,153,Kennedy Meeks Offensive Rebound.,48,81
4:43,153,Kennedy Meeks missed Layup.,48,81
4:43,2515,Devonnte Holland Defensive Rebound.,48,81
4:29,2515,Donald Hicks missed Three Point Jumper.,48,81
4:29,153,Kennedy Meeks Defensive Rebound.,48,81
4:14,153,Kennedy Meeks made Layup. Assisted by Justin Jackson.,48,83
3:53,2515,Christian Lutete Turnover.,48,83
3:53,153,Kenny Williams Steal.,48,83
3:43,153,Kennedy Meeks made Layup.,48,85
3:43,2515,Foul on Donald Hicks.,48,85
3:43,153,Official TV Timeout,48,85
3:43,153,Kennedy Meeks missed Free Throw.,48,85
3:43,2515,Sterling Christy Defensive Rebound.,48,85
3:19,2515,Christian Bradford missed Three Point Jumper.,48,85
3:19,153,Kennedy Meeks Defensive Rebound.,48,85
3:01,153,Kennedy Meeks made Layup.,48,87
2:42,2515,Sterling Christy missed Jumper.,48,87
2:42,153,Tony Bradley Block.,48,87
2:42,153,Tony Bradley Defensive Rebound.,48,87
2:33,153,Justin Jackson made Layup. Assisted by Seventh Woods.,48,89
2:33,153,North Carolina  Timeout,48,89
2:18,2515,Christian Bradford missed Jumper.,48,89
2:18,153,Tony Bradley Defensive Rebound.,48,89
1:52,2515,Foul on Sterling Christy.,48,89
1:52,153,Tony Bradley missed Free Throw.,48,89
1:52,153,North Carolina Deadball Team Rebound.,48,89
1:52,153,Tony Bradley made Free Throw.,48,90
1:35,2515,Christian Lutete missed Three Point Jumper.,48,90
1:35,2515,Radford Offensive Rebound.,48,90
1:30,2515,Donald Hicks Turnover.,48,90
1:16,153,Brandon Robinson Turnover.,48,90
1:16,2515,Christian Bradford Steal.,48,90
1:10,2515,Donald Hicks missed Three Point Jumper.,48,90
1:10,153,Brandon Robinson Defensive Rebound.,48,90
1:01,2515,Foul on Darius Bolstad.,48,90
1:01,153,Shea Rush made Free Throw.,48,91
1:01,153,Shea Rush made Free Throw.,48,92
0:44,2515,Christian Bradford made Jumper.,50,92
0:36,153,Shea Rush missed Layup.,50,92
0:36,2515,Sterling Christy Defensive Rebound.,50,92
0:30,2515,Sterling Christy missed Three Point Jumper.,50,92
0:30,153,Stilman White Defensive Rebound.,50,92
0:09,153,Stilman White made Three Point Jumper. Assisted by Brandon Robinson.,50,95
0:01,2515,Brian Rodriguez missed Jumper.,50,95
0:01,153,Aaron Rohlman Defensive Rebound.,50,95
0:00,153,End of Game,50,95
