North Carolina A&amp;T,87,Notre Dame,2448
4:07,87,Matt Ryan Defensive Rebound.,20,38
3:58,87,Rex Pflueger made Three Point Jumper. Assisted by V.J. Beachem.,20,41
3:32,2448,Davaris McGowens made Layup. Assisted by Raymon Pratt.,22,41
3:13,87,Temple Gibbs missed Three Point Jumper.,22,41
3:13,2448,Aaron Scales Defensive Rebound.,22,41
2:50,2448,Davaris McGowens Turnover.,22,41
2:49,87,Temple Gibbs Steal.,22,41
2:45,87,Rex Pflueger made Layup. Assisted by Temple Gibbs.,22,43
2:33,2448,Davaris McGowens missed Layup.,22,43
2:33,87,Rex Pflueger Block.,22,43
2:32,87,Temple Gibbs Defensive Rebound.,22,43
2:23,87,Matt Ryan missed Three Point Jumper.,22,43
2:23,2448,Aaron Scales Defensive Rebound.,22,43
2:11,2448,Aaron Scales made Jumper.,24,43
2:04,87,Notre Dame  Timeout,24,43
1:39,87,Temple Gibbs missed Layup.,24,43
1:39,87,Elijah Burns Offensive Rebound.,24,43
1:33,87,V.J. Beachem missed Three Point Jumper.,24,43
1:33,87,John Mooney Offensive Rebound.,24,43
1:31,2448,Foul on Martin Jones.,24,43
1:31,87,John Mooney made Free Throw.,24,44
1:31,87,John Mooney made Free Throw.,24,45
1:02,2448,Martin Jones missed Three Point Jumper.,24,45
1:02,87,Temple Gibbs Defensive Rebound.,24,45
0:53,87,Steve Vasturia missed Three Point Jumper.,24,45
0:53,2448,Aaron Scales Defensive Rebound.,24,45
0:42,87,Foul on Temple Gibbs.,24,45
0:42,2448,Sam Hunt made Free Throw.,25,45
0:42,2448,Sam Hunt made Free Throw.,26,45
0:15,87,Elijah Burns missed Three Point Jumper.,26,45
0:15,2448,Sam Hunt Defensive Rebound.,26,45
0:01,2448,Sam Hunt made Three Point Jumper. Assisted by Eliel Gonzalez.,29,45
0:00,87,End of 1st half,29,45
19:47,2448,Sam Hunt missed Three Point Jumper.,29,45
19:47,87,Bonzie Colson Defensive Rebound.,29,45
19:23,87,Bonzie Colson missed Jumper.,29,45
19:23,87,Bonzie Colson Offensive Rebound.,29,45
19:16,87,V.J. Beachem made Jumper.,29,47
18:52,2448,Raymon Pratt missed Three Point Jumper.,29,47
18:52,87,Bonzie Colson Defensive Rebound.,29,47
18:37,87,Steve Vasturia missed Three Point Jumper.,29,47
18:37,2448,Davaris McGowens Defensive Rebound.,29,47
18:24,2448,Sam Hunt made Three Point Jumper.,32,47
18:10,2448,Foul on Aaron Scales.,32,47
18:07,87,Bonzie Colson made Layup. Assisted by Matt Farrell.,32,49
17:57,87,Foul on Martinas Geben.,32,49
17:46,2448,Sam Hunt missed Three Point Jumper.,32,49
17:46,2448,Aaron Scales Offensive Rebound.,32,49
17:42,2448,Raymon Pratt missed Three Point Jumper.,32,49
17:42,87,Martinas Geben Defensive Rebound.,32,49
17:32,87,Martinas Geben made Dunk. Assisted by Matt Farrell.,32,51
17:10,2448,Davaris McGowens missed Jumper.,32,51
17:10,87,Bonzie Colson Defensive Rebound.,32,51
17:02,87,V.J. Beachem made Three Point Jumper.,32,54
16:47,2448,Eliel Gonzalez Turnover.,32,54
16:45,87,Martinas Geben Steal.,32,54
16:40,87,Bonzie Colson made Jumper. Assisted by Steve Vasturia.,32,56
16:39,2448,North Carolina A&T  Timeout,32,56
16:28,2448,Eliel Gonzalez missed Jumper.,32,56
16:28,2448,Davaris McGowens Offensive Rebound.,32,56
16:27,87,Foul on Martinas Geben.,32,56
16:27,2448,Davaris McGowens made Free Throw.,33,56
16:27,2448,Davaris McGowens missed Free Throw.,33,56
16:27,87,Martinas Geben Defensive Rebound.,33,56
16:13,87,V.J. Beachem missed Three Point Jumper.,33,56
16:13,2448,Martin Jones Defensive Rebound.,33,56
15:45,2448,Davaris McGowens missed Layup.,33,56
15:45,2448,Davaris McGowens Offensive Rebound.,33,56
15:44,2448,Davaris McGowens missed Layup.,33,56
15:44,87,Bonzie Colson Block.,33,56
15:42,2448,Eliel Gonzalez Offensive Rebound.,33,56
15:40,2448,Eliel Gonzalez missed Layup.,33,56
15:40,2448,Eliel Gonzalez Offensive Rebound.,33,56
15:24,2448,Sam Hunt missed Three Point Jumper.,33,56
15:24,87,Matt Farrell Defensive Rebound.,33,56
15:21,87,Matt Farrell made Layup.,33,58
15:21,2448,Foul on Martin Jones.,33,58
15:21,87,Official TV Timeout,33,58
15:21,87,Matt Farrell made Free Throw.,33,59
14:59,2448,Aaron Scales made Jumper.,35,59
14:42,2448,Foul on Eliel Gonzalez.,35,59
14:42,87,V.J. Beachem made Free Throw.,35,60
14:42,87,V.J. Beachem made Free Throw.,35,61
14:30,2448,Joshua Mullins missed Jumper.,35,61
14:30,87,Austin Torres Defensive Rebound.,35,61
14:20,87,V.J. Beachem made Dunk. Assisted by Austin Torres.,35,63
13:48,2448,Eliel Gonzalez made Layup.,37,63
13:28,87,Austin Torres missed Layup.,37,63
13:28,2448,Aaron Scales Block.,37,63
13:26,87,Bonzie Colson Offensive Rebound.,37,63
13:18,87,Matt Farrell made Three Point Jumper.,37,66
13:10,87,Foul on Matt Farrell.,37,66
12:57,2448,Sam Hunt made Three Point Jumper. Assisted by Joshua Mullins.,40,66
12:30,87,Steve Vasturia made Three Point Jumper. Assisted by Temple Gibbs.,40,69
12:21,2448,Sam Hunt missed Three Point Jumper.,40,69
12:21,87,Austin Torres Defensive Rebound.,40,69
12:16,87,Rex Pflueger made Layup. Assisted by Austin Torres.,40,71
12:16,2448,Foul on Sam Hunt.,40,71
12:16,87,Rex Pflueger made Free Throw.,40,72
11:57,2448,Eliel Gonzalez missed Three Point Jumper.,40,72
11:57,87,Matt Ryan Defensive Rebound.,40,72
11:44,87,Matt Ryan made Three Point Jumper. Assisted by Temple Gibbs.,40,75
11:23,2448,Aaron Scales made Jumper.,42,75
11:01,87,Matt Ryan made Three Point Jumper. Assisted by Martinas Geben.,42,78
10:39,2448,Amari Hamilton missed Three Point Jumper.,42,78
10:39,87,Rex Pflueger Block.,42,78
10:37,2448,Aaron Scales Offensive Rebound.,42,78
10:35,87,Foul on Martinas Geben.,42,78
10:35,87,Official TV Timeout,42,78
10:35,2448,Aaron Scales made Free Throw.,43,78
10:35,2448,Aaron Scales missed Free Throw.,43,78
10:35,2448,Eliel Gonzalez Offensive Rebound.,43,78
10:18,2448,Eliel Gonzalez made Jumper.,45,78
10:05,87,Rex Pflueger missed Three Point Jumper.,45,78
10:05,2448,Eliel Gonzalez Defensive Rebound.,45,78
9:57,2448,Sam Hunt missed Jumper.,45,78
9:57,87,Rex Pflueger Defensive Rebound.,45,78
9:50,87,Austin Torres missed Layup.,45,78
9:50,2448,Raymon Pratt Defensive Rebound.,45,78
9:33,2448,Raymon Pratt missed Jumper.,45,78
9:33,87,Matt Ryan Defensive Rebound.,45,78
9:20,87,Temple Gibbs made Three Point Jumper. Assisted by Rex Pflueger.,45,81
9:03,2448,Sam Hunt made Three Point Jumper. Assisted by Raymon Pratt.,48,81
8:47,87,Bonzie Colson made Jumper. Assisted by Rex Pflueger.,48,83
8:34,2448,Sam Hunt missed Three Point Jumper.,48,83
8:34,87,Matt Ryan Defensive Rebound.,48,83
8:26,87,Rex Pflueger made Dunk. Assisted by Temple Gibbs.,48,85
8:13,2448,Foul on Aaron Scales.,48,85
8:13,2448,Aaron Scales Turnover.,48,85
7:53,87,Steve Vasturia missed Layup.,48,85
7:53,87,Steve Vasturia Offensive Rebound.,48,85
7:53,2448,Foul on Davaris McGowens.,48,85
7:53,87,Official TV Timeout,48,85
7:53,87,Steve Vasturia made Free Throw.,48,86
7:53,87,Steve Vasturia made Free Throw.,48,87
7:29,2448,Sam Hunt missed Three Point Jumper.,48,87
7:29,2448,Eliel Gonzalez Offensive Rebound.,48,87
7:02,2448,Eliel Gonzalez missed Jumper.,48,87
7:02,87,John Mooney Defensive Rebound.,48,87
6:50,87,Bonzie Colson Turnover.,48,87
6:47,2448,Sam Hunt Steal.,48,87
6:43,2448,Martin Jones missed Three Point Jumper.,48,87
6:43,2448,Davaris McGowens Offensive Rebound.,48,87
6:26,2448,Davaris McGowens made Jumper.,50,87
6:10,87,Matt Farrell missed Three Point Jumper.,50,87
6:10,2448,North Carolina A&T Defensive Rebound.,50,87
5:53,2448,Davaris McGowens Turnover.,50,87
5:41,87,V.J. Beachem made Jumper.,50,89
5:17,2448,Raymon Pratt missed Jumper.,50,89
5:17,87,V.J. Beachem Defensive Rebound.,50,89
5:01,87,V.J. Beachem made Three Point Jumper. Assisted by Steve Vasturia.,50,92
4:43,2448,Sam Hunt Turnover.,50,92
4:42,87,Elijah Burns Steal.,50,92
4:38,87,V.J. Beachem made Dunk. Assisted by Matt Farrell.,50,94
4:12,2448,Sam Hunt made Three Point Jumper. Assisted by Eliel Gonzalez.,53,94
3:55,87,Austin Torres Turnover.,53,94
3:54,2448,Sam Hunt Steal.,53,94
3:43,2448,Martin Jones missed Three Point Jumper.,53,94
3:43,87,Rex Pflueger Defensive Rebound.,53,94
3:35,87,Matt Ryan made Jumper.,53,96
3:08,2448,Sam Hunt missed Three Point Jumper.,53,96
3:08,87,Matt Ryan Defensive Rebound.,53,96
3:03,87,Temple Gibbs Turnover.,53,96
3:03,2448,Amari Hamilton Steal.,53,96
3:03,87,Official TV Timeout,53,96
2:55,2448,Martin Jones missed Jumper.,53,96
2:55,87,Rex Pflueger Defensive Rebound.,53,96
2:34,2448,Foul on Aaron Scales.,53,96
2:34,87,Elijah Burns made Free Throw.,53,97
2:34,87,Elijah Burns made Free Throw.,53,98
2:14,2448,Amari Hamilton missed Three Point Jumper.,53,98
2:14,87,Notre Dame Defensive Rebound.,53,98
2:00,87,Matt Ryan made Three Point Jumper. Assisted by Temple Gibbs.,53,101
1:37,2448,Eliel Gonzalez Turnover.,53,101
1:36,87,Matt Ryan Steal.,53,101
1:32,87,Rex Pflueger missed Dunk.,53,101
1:32,87,Elijah Burns Offensive Rebound.,53,101
1:25,87,Temple Gibbs made Three Point Jumper. Assisted by Austin Torres.,53,104
1:15,2448,Eliel Gonzalez missed Three Point Jumper.,53,104
1:15,87,Elijah Burns Defensive Rebound.,53,104
1:03,87,Matt Ryan made Three Point Jumper. Assisted by Temple Gibbs.,53,107
0:42,2448,Amari Hamilton missed Three Point Jumper.,53,107
0:42,87,Rex Pflueger Defensive Rebound.,53,107
0:41,87,Notre Dame  Timeout,53,107
0:24,87,Matt Gregory missed Three Point Jumper.,53,107
0:24,2448,Aaron Scales Defensive Rebound.,53,107
0:00,87,End of Game,53,107
