Crowley's Ridge College,Error,Tennessee Tech,2635
5:11,-1,Foul on Fred Moore.,22,35
4:50,2635,Hakeem Rogers made Three Point Jumper. Assisted by Savonte Frazier.,22,38
4:34,-1,Chris Bernard made Three Point Jumper. Assisted by Fred Moore.,25,38
4:17,2635,Hakeem Rogers missed Three Point Jumper.,25,38
4:17,-1,Keyon Dorsey Defensive Rebound.,25,38
3:47,-1,Chris Bernard Turnover.,25,38
3:46,2635,Hakeem Rogers Steal.,25,38
3:44,-1,Foul on Montrel James.,25,38
3:44,2635,Official TV Timeout,25,38
3:40,2635,Savonte Frazier missed Layup.,25,38
3:40,2635,Tennessee Tech Offensive Rebound.,25,38
3:25,2635,JaCardo Hawkins missed Three Point Jumper.,25,38
3:25,-1,Donnie Stapleton Defensive Rebound.,25,38
3:11,-1,Wyatt Summers Turnover.,25,38
3:10,2635,Hakeem Rogers Steal.,25,38
3:08,-1,Foul on Hunter Turner.,25,38
3:08,2635,Hakeem Rogers made Free Throw.,25,39
3:08,2635,Hakeem Rogers made Free Throw.,25,40
2:37,-1,Donovan Tritschler missed Three Point Jumper.,25,40
2:37,2635,JaCardo Hawkins Defensive Rebound.,25,40
2:18,-1,Foul on Cade Niswonger.,25,40
2:18,2635,Aleksa Jugovic made Free Throw.,25,41
2:18,2635,Aleksa Jugovic made Free Throw.,25,42
2:04,2635,Foul on Hakeem Rogers.,25,42
2:03,-1,Donovan Tritschler Turnover.,25,42
2:02,2635,Mason Ramsey Steal.,25,42
1:44,2635,Aleksa Jugovic missed Three Point Jumper.,25,42
1:44,2635,Mason Ramsey Offensive Rebound.,25,42
1:30,-1,Foul on Ben Vance.,25,42
1:30,2635,Mason Ramsey missed Free Throw.,25,42
1:30,2635,JaCardo Hawkins Offensive Rebound.,25,42
1:22,2635,Savonte Frazier made Layup. Assisted by Hakeem Rogers.,25,44
1:22,-1,Foul on Donovan Tritschler.,25,44
1:22,2635,Savonte Frazier made Free Throw.,25,45
1:22,-1,Crowley's Ridge  Timeout,25,45
0:59,-1,Ben Vance missed Jumper.,25,45
0:59,2635,Mason Ramsey Defensive Rebound.,25,45
0:41,-1,Foul on Ben Vance.,25,45
0:41,2635,Mason Ramsey made Free Throw.,25,46
0:41,2635,Mason Ramsey missed Free Throw.,25,46
0:41,-1,Donovan Tritschler Defensive Rebound.,25,46
0:26,2635,Foul on Mason Ramsey.,25,46
0:26,-1,Crowley's Ridge  Timeout,25,46
0:25,-1,Donnie Stapleton made Layup. Assisted by Shaquille Culbreath.,27,46
0:00,2635,Savonte Frazier missed Jumper.,27,46
0:00,-1,Crowley's Ridge Defensive Rebound.,27,46
0:00,2635,End of 1st half,27,46
19:51,2635,Micaiah Henry missed Jumper.,27,46
19:51,2635,Micaiah Henry Offensive Rebound.,27,46
19:49,2635,Micaiah Henry made Two Point Tip Shot.,27,48
19:31,2635,Foul on Aleksa Jugovic.,27,48
19:30,-1,Hunter Turner Turnover.,27,48
19:29,2635,Savonte Frazier Steal.,27,48
19:26,-1,Foul on Shaquille Culbreath.,27,48
19:26,2635,Savonte Frazier made Free Throw.,27,49
19:26,2635,Savonte Frazier made Free Throw.,27,50
19:15,-1,James Vance missed Layup.,27,50
19:15,2635,Kajon Mack Block.,27,50
19:13,2635,Micaiah Henry Defensive Rebound.,27,50
19:08,2635,Aleksa Jugovic missed Three Point Jumper.,27,50
19:08,2635,Mason Ramsey Offensive Rebound.,27,50
19:05,2635,Mason Ramsey missed Layup.,27,50
19:05,2635,Mason Ramsey Offensive Rebound.,27,50
19:03,2635,Mason Ramsey Turnover.,27,50
19:03,-1,James Vance Steal.,27,50
18:56,-1,Wyatt Summers missed Three Point Jumper.,27,50
18:56,2635,Kajon Mack Defensive Rebound.,27,50
18:49,2635,Savonte Frazier missed Layup.,27,50
18:49,-1,Shaquille Culbreath Block.,27,50
18:47,2635,Kajon Mack Offensive Rebound.,27,50
18:47,-1,Foul on James Vance.,27,50
18:47,2635,Kajon Mack missed Free Throw.,27,50
18:47,2635,Tennessee Tech Deadball Team Rebound.,27,50
18:47,2635,Kajon Mack missed Free Throw.,27,50
18:47,-1,Crowley's Ridge Defensive Rebound.,27,50
18:33,2635,Foul on Micaiah Henry.,27,50
18:28,-1,Wyatt Summers missed Three Point Jumper.,27,50
18:28,2635,Tennessee Tech Defensive Rebound.,27,50
18:08,2635,Mason Ramsey missed Three Point Jumper.,27,50
18:08,-1,Shaquille Culbreath Defensive Rebound.,27,50
18:01,-1,Shaquille Culbreath Turnover.,27,50
17:50,2635,Kajon Mack missed Three Point Jumper.,27,50
17:50,-1,Cade Niswonger Defensive Rebound.,27,50
17:40,-1,Cade Niswonger missed Three Point Jumper.,27,50
17:40,-1,Chris Bernard Offensive Rebound.,27,50
17:32,2635,Foul on Mason Ramsey.,27,50
17:17,-1,Chris Bernard made Three Point Jumper. Assisted by Cade Niswonger.,30,50
17:02,2635,Colton Blevins missed Layup.,30,50
17:02,2635,Colton Blevins Offensive Rebound.,30,50
17:00,2635,Colton Blevins missed Layup.,30,50
17:00,2635,Colton Blevins Offensive Rebound.,30,50
17:00,-1,Foul on Wyatt Summers.,30,50
17:00,2635,Colton Blevins missed Free Throw.,30,50
17:00,2635,Tennessee Tech Deadball Team Rebound.,30,50
17:00,2635,Colton Blevins made Free Throw.,30,51
16:53,-1,Shaquille Culbreath Turnover.,30,51
16:45,2635,Mason Ramsey made Layup. Assisted by Aleksa Jugovic.,30,53
16:27,-1,Shaquille Culbreath made Layup.,32,53
16:09,2635,Mason Ramsey missed Three Point Jumper.,32,53
16:09,-1,Wyatt Summers Defensive Rebound.,32,53
15:47,-1,Devin Graves made Three Point Jumper. Assisted by Cade Niswonger.,35,53
15:23,2635,JaCardo Hawkins missed Layup.,35,53
15:23,-1,Wyatt Summers Defensive Rebound.,35,53
15:06,-1,Cade Niswonger Turnover.,35,53
15:06,2635,Official TV Timeout,35,53
14:45,2635,Aleksa Jugovic missed Jumper.,35,53
14:45,-1,Devin Graves Block.,35,53
14:43,2635,JaCardo Hawkins Offensive Rebound.,35,53
14:40,2635,JaCardo Hawkins made Layup.,35,55
14:28,-1,Foul on Shaquille Culbreath.,35,55
14:28,-1,Shaquille Culbreath Turnover.,35,55
14:08,2635,Hakeem Rogers made Three Point Jumper. Assisted by JaCardo Hawkins.,35,58
13:53,2635,Foul on Stephaun Adams.,35,58
13:44,-1,Hunter Turner missed Three Point Jumper.,35,58
13:44,2635,Stephaun Adams Defensive Rebound.,35,58
13:35,-1,Foul on Chris Bernard.,35,58
13:30,2635,Aleksa Jugovic missed Three Point Jumper.,35,58
13:30,-1,Cade Niswonger Defensive Rebound.,35,58
13:22,-1,Devin Graves missed Three Point Jumper.,35,58
13:22,2635,Stephaun Adams Defensive Rebound.,35,58
13:08,2635,Hakeem Rogers made Three Point Jumper. Assisted by JaCardo Hawkins.,35,61
12:57,-1,Wyatt Summers Turnover.,35,61
12:56,2635,Hakeem Rogers Steal.,35,61
12:53,2635,Hakeem Rogers missed Layup.,35,61
12:53,2635,JaCardo Hawkins Offensive Rebound.,35,61
12:51,2635,JaCardo Hawkins made Two Point Tip Shot.,35,63
12:36,-1,Hunter Turner Turnover.,35,63
12:23,2635,JaCardo Hawkins missed Three Point Jumper.,35,63
12:23,-1,Hunter Turner Defensive Rebound.,35,63
12:16,2635,Foul on Hakeem Rogers.,35,63
12:08,-1,Fred Moore made Layup. Assisted by Shaquille Culbreath.,37,63
11:58,2635,JaCardo Hawkins made Layup.,37,65
11:44,-1,Cade Niswonger missed Three Point Jumper.,37,65
11:44,2635,Hakeem Rogers Defensive Rebound.,37,65
11:37,2635,Markell Henderson missed Layup.,37,65
11:37,-1,Shaquille Culbreath Defensive Rebound.,37,65
11:30,-1,Foul on Shaquille Culbreath.,37,65
11:30,-1,Shaquille Culbreath Turnover.,37,65
11:30,2635,Official TV Timeout,37,65
11:11,2635,Stephaun Adams missed Three Point Jumper.,37,65
11:11,-1,Chris Bernard Defensive Rebound.,37,65
11:05,-1,Chris Bernard Turnover.,37,65
10:57,2635,Markell Henderson made Jumper.,37,67
10:43,-1,Chris Bernard made Three Point Jumper. Assisted by Montrel James.,40,67
10:33,-1,Foul on Fred Moore.,40,67
10:33,2635,Markell Henderson made Free Throw.,40,68
10:33,2635,Markell Henderson made Free Throw.,40,69
10:19,-1,Chris Bernard missed Layup.,40,69
10:19,2635,JaCardo Hawkins Block.,40,69
10:18,-1,Crowley's Ridge Offensive Rebound.,40,69
10:02,-1,Donnie Stapleton missed Layup.,40,69
10:02,2635,Micaiah Henry Block.,40,69
10:02,2635,Tennessee Tech Defensive Rebound.,40,69
10:02,2635,JaCardo Hawkins Turnover.,40,69
10:01,-1,Montrel James Steal.,40,69
9:57,2635,Foul on JaCardo Hawkins.,40,69
9:57,-1,Montrel James missed Free Throw.,40,69
9:57,-1,Crowley's Ridge Deadball Team Rebound.,40,69
9:57,-1,Montrel James missed Free Throw.,40,69
9:57,2635,JaCardo Hawkins Defensive Rebound.,40,69
9:44,2635,Hakeem Rogers made Three Point Jumper. Assisted by Stephaun Adams.,40,72
9:27,-1,Shaquille Culbreath missed Layup.,40,72
9:27,2635,Micaiah Henry Block.,40,72
9:26,2635,Micaiah Henry Defensive Rebound.,40,72
9:12,2635,JaCardo Hawkins made Jumper. Assisted by Savonte Frazier.,40,74
8:46,-1,Keyon Dorsey made Layup.,42,74
8:31,2635,Hakeem Rogers missed Three Point Jumper.,42,74
8:31,-1,Montrel James Defensive Rebound.,42,74
8:18,-1,Shaquille Culbreath Turnover.,42,74
8:07,2635,Hakeem Rogers missed Three Point Jumper.,42,74
8:07,-1,Keyon Dorsey Defensive Rebound.,42,74
7:55,2635,Foul on Markell Henderson.,42,74
7:55,2635,Official TV Timeout,42,74
7:55,-1,Hunter Turner made Free Throw.,43,74
7:55,-1,Hunter Turner made Free Throw.,44,74
7:37,2635,Stephaun Adams Turnover.,44,74
7:36,-1,Shaquille Culbreath Steal.,44,74
7:33,-1,Cade Niswonger missed Layup.,44,74
7:33,2635,Hakeem Rogers Block.,44,74
7:32,-1,Crowley's Ridge Offensive Rebound.,44,74
7:25,-1,Keyon Dorsey missed Jumper.,44,74
7:25,2635,Stephaun Adams Defensive Rebound.,44,74
7:19,2635,Markell Henderson made Dunk. Assisted by Stephaun Adams.,44,76
7:08,-1,Wyatt Summers missed Three Point Jumper.,44,76
7:08,2635,Savonte Frazier Defensive Rebound.,44,76
7:01,2635,Hakeem Rogers missed Three Point Jumper.,44,76
7:01,2635,Colton Blevins Offensive Rebound.,44,76
6:58,2635,Colton Blevins made Jumper.,44,78
6:39,-1,Hunter Turner missed Layup.,44,78
6:39,2635,Tennessee Tech Defensive Rebound.,44,78
6:30,2635,JaCardo Hawkins missed Layup.,44,78
6:30,2635,Colton Blevins Offensive Rebound.,44,78
6:27,2635,Colton Blevins missed Layup.,44,78
6:27,-1,Keyon Dorsey Defensive Rebound.,44,78
6:23,-1,Keyon Dorsey missed Layup.,44,78
6:23,-1,Hunter Turner Offensive Rebound.,44,78
6:20,-1,Hunter Turner made Two Point Tip Shot.,46,78
6:01,2635,Stephaun Adams missed Three Point Jumper.,46,78
6:01,-1,Shaquille Culbreath Defensive Rebound.,46,78
5:56,-1,Hunter Turner missed Layup.,46,78
5:56,2635,Savonte Frazier Block.,46,78
5:55,2635,Stephaun Adams Defensive Rebound.,46,78
5:46,2635,Markell Henderson missed Three Point Jumper.,46,78
5:46,2635,Colton Blevins Offensive Rebound.,46,78
5:45,2635,Colton Blevins made Layup.,46,80
5:43,2635,Tennessee Tech  Timeout,46,80
5:31,-1,Shaquille Culbreath missed Three Point Jumper.,46,80
5:31,-1,Hunter Turner Offensive Rebound.,46,80
5:27,-1,Hunter Turner missed Layup.,46,80
5:27,2635,Colton Blevins Defensive Rebound.,46,80
5:21,2635,Markell Henderson made Layup. Assisted by Hakeem Rogers.,46,82
5:12,2635,Foul on Markell Henderson.,46,82
5:12,-1,Cade Niswonger missed Free Throw.,46,82
5:12,-1,Crowley's Ridge Deadball Team Rebound.,46,82
5:12,-1,Cade Niswonger made Free Throw.,47,82
5:01,2635,Hakeem Rogers made Layup. Assisted by JaCardo Hawkins.,47,84
4:50,-1,Donovan Tritschler missed Three Point Jumper.,47,84
4:50,2635,Savonte Frazier Defensive Rebound.,47,84
4:41,2635,Hakeem Rogers made Three Point Jumper. Assisted by Savonte Frazier.,47,87
4:29,-1,Donovan Tritschler made Layup. Assisted by Chris Bernard.,49,87
3:57,2635,Savonte Frazier made Layup. Assisted by Hakeem Rogers.,49,89
3:48,-1,Wyatt Summers missed Three Point Jumper.,49,89
3:48,2635,Hakeem Rogers Defensive Rebound.,49,89
3:18,2635,Hakeem Rogers made Three Point Jumper. Assisted by Markell Henderson.,49,92
3:05,2635,Foul on Micaiah Henry.,49,92
3:05,2635,Official TV Timeout,49,92
3:05,-1,Keyon Dorsey made Free Throw.,50,92
3:05,-1,Keyon Dorsey made Free Throw.,51,92
2:54,2635,Savonte Frazier missed Layup.,51,92
2:54,-1,Devin Graves Block.,51,92
2:54,2635,Tennessee Tech Offensive Rebound.,51,92
2:53,2635,Colton Blevins made Jumper. Assisted by Savonte Frazier.,51,94
2:31,-1,Devin Graves missed Three Point Jumper.,51,94
2:31,2635,Micaiah Henry Defensive Rebound.,51,94
2:17,2635,Colton Blevins missed Three Point Jumper.,51,94
2:17,2635,Colton Blevins Offensive Rebound.,51,94
2:08,2635,Colton Blevins missed Three Point Jumper.,51,94
2:08,-1,Devin Graves Defensive Rebound.,51,94
1:48,-1,Shaquille Culbreath missed Layup.,51,94
1:48,2635,Colton Blevins Defensive Rebound.,51,94
1:45,2635,Colton Blevins Turnover.,51,94
1:44,-1,Shaquille Culbreath Steal.,51,94
1:42,-1,Shaquille Culbreath missed Layup.,51,94
1:42,-1,Donovan Tritschler Offensive Rebound.,51,94
1:39,-1,Donovan Tritschler missed Jumper.,51,94
1:39,2635,Colton Blevins Defensive Rebound.,51,94
1:35,-1,Foul on DeAndre Cullins.,51,94
1:35,2635,Markell Henderson made Free Throw.,51,95
1:35,2635,Markell Henderson made Free Throw.,51,96
1:20,-1,Tyler Vowell Turnover.,51,96
1:19,2635,Colton Blevins Steal.,51,96
1:10,2635,Micaiah Henry made Layup. Assisted by Savonte Frazier.,51,98
0:42,-1,Noah Shrable missed Three Point Jumper.,51,98
0:42,2635,Savonte Frazier Defensive Rebound.,51,98
0:34,2635,Colton Blevins missed Layup.,51,98
0:34,-1,Donovan Tritschler Defensive Rebound.,51,98
0:28,-1,Donovan Tritschler missed Layup.,51,98
0:28,2635,Markell Henderson Block.,51,98
0:26,2635,Hakeem Rogers Defensive Rebound.,51,98
0:00,2635,End of Game,51,98
