Florida Gulf Coast,290,Georgia Southern,526
14:28,526,Marc-Eddy Norelia Defensive Rebound.,16,6
13:56,526,Brandon Goodwin made Jumper.,18,6
13:51,290,Georgia Southern  Timeout,18,6
13:41,290,Ike Smith missed Jumper.,18,6
13:41,290,Ike Smith Offensive Rebound.,18,6
13:37,290,Ike Smith missed Jumper.,18,6
13:37,526,Demetris Morant Block.,18,6
13:34,526,Demetris Morant Defensive Rebound.,18,6
13:31,526,Rayjon Tucker made Dunk. Assisted by Reggie Reid.,20,6
13:17,290,Jake Allsmiller made Three Point Jumper. Assisted by Tookie Brown.,20,9
13:02,526,Reggie Reid Turnover.,20,9
13:01,290,Jake Allsmiller Steal.,20,9
12:55,290,Ike Smith made Layup.,20,11
12:55,526,Foul on Demetris Morant.,20,11
12:55,290,Ike Smith missed Free Throw.,20,11
12:55,526,Antravious Simmons Defensive Rebound.,20,11
12:23,526,Christian Terrell missed Jumper.,20,11
12:23,290,Shawn O'Connell Block.,20,11
12:20,290,Shawn O'Connell Defensive Rebound.,20,11
12:04,290,Ike Smith made Jumper.,20,13
11:43,526,Reggie Reid Turnover.,20,13
11:42,290,Jake Allsmiller Steal.,20,13
11:29,290,Tookie Brown made Layup.,20,15
11:21,526,Florida Gulf Coast  Timeout,20,15
11:04,526,Brandon Goodwin missed Three Point Jumper.,20,15
11:04,526,Antravious Simmons Offensive Rebound.,20,15
10:58,526,Antravious Simmons missed Layup.,20,15
10:58,290,Tookie Brown Defensive Rebound.,20,15
10:53,526,Foul on Zach Johnson.,20,15
10:53,290,Tookie Brown made Free Throw.,20,16
10:53,290,Tookie Brown made Free Throw.,20,17
10:39,526,Christian Terrell missed Three Point Jumper.,20,17
10:39,290,Tookie Brown Defensive Rebound.,20,17
10:35,526,Foul on Kevin Mickle.,20,17
10:22,526,Foul on Antravious Simmons.,20,17
10:21,290,B.J. Gladden made Layup. Assisted by Tookie Brown.,20,19
10:07,526,Zach Johnson Turnover.,20,19
10:06,290,Tookie Brown Steal.,20,19
9:55,290,Tookie Brown missed Three Point Jumper.,20,19
9:55,526,Kevin Mickle Defensive Rebound.,20,19
9:41,526,Zach Johnson missed Layup.,20,19
9:41,290,Ike Smith Block.,20,19
9:38,290,Mike Hughes Defensive Rebound.,20,19
9:32,290,Ike Smith made Dunk. Assisted by Mike Hughes.,20,21
9:14,526,Brandon Goodwin missed Three Point Jumper.,20,21
9:14,290,Mike Hughes Defensive Rebound.,20,21
9:05,290,Mike Hughes missed Three Point Jumper.,20,21
9:05,526,Antravious Simmons Defensive Rebound.,20,21
8:51,526,Zach Johnson made Three Point Jumper. Assisted by Brandon Goodwin.,23,21
8:27,290,B.J. Gladden missed Three Point Jumper.,23,21
8:27,526,Zach Johnson Defensive Rebound.,23,21
8:11,526,Christian Terrell made Three Point Jumper. Assisted by Brandon Goodwin.,26,21
7:53,290,B.J. Gladden missed Layup.,26,21
7:53,526,Kevin Mickle Defensive Rebound.,26,21
7:47,526,Christian Terrell made Layup. Assisted by Brandon Goodwin.,28,21
7:47,290,Official TV Timeout,28,21
7:36,290,Ike Smith Turnover.,28,21
7:21,526,Marc-Eddy Norelia made Layup. Assisted by Zach Johnson.,30,21
7:08,290,Ike Smith Turnover.,30,21
7:08,526,Zach Johnson Steal.,30,21
7:06,526,Brandon Goodwin made Dunk. Assisted by Zach Johnson.,32,21
6:46,526,Foul on RaySean Scott Jr..,32,21
6:46,290,Mike Hughes made Free Throw.,32,22
6:46,290,Mike Hughes made Free Throw.,32,23
6:39,526,Marc-Eddy Norelia made Dunk. Assisted by Brandon Goodwin.,34,23
6:15,526,Foul on Marc-Eddy Norelia.,34,23
6:15,290,Devonte Boykins made Free Throw.,34,24
6:15,290,Devonte Boykins missed Free Throw.,34,24
6:15,526,Antravious Simmons Defensive Rebound.,34,24
5:47,290,Foul on Coye Simmons.,34,24
5:30,526,Brandon Goodwin missed Three Point Jumper.,34,24
5:30,290,Devonte Boykins Defensive Rebound.,34,24
5:22,290,Mike Hughes missed Three Point Jumper.,34,24
5:22,290,Coye Simmons Offensive Rebound.,34,24
5:17,290,Coye Simmons Turnover.,34,24
5:16,526,Brandon Goodwin Steal.,34,24
5:14,526,Rayjon Tucker made Dunk. Assisted by Brandon Goodwin.,36,24
4:44,290,Mike Hughes missed Three Point Jumper.,36,24
4:44,526,RaySean Scott Jr. Defensive Rebound.,36,24
4:37,526,Brandon Goodwin missed Layup.,36,24
4:37,290,Shawn O'Connell Block.,36,24
4:36,526,Florida Gulf Coast Offensive Rebound.,36,24
4:32,526,RaySean Scott Jr. Turnover.,36,24
4:31,290,Shawn O'Connell Steal.,36,24
4:26,290,Ike Smith made Layup.,36,26
4:26,526,Foul on RaySean Scott Jr..,36,26
4:26,290,Ike Smith made Free Throw.,36,27
4:15,526,Zach Johnson Turnover.,36,27
4:02,290,Tookie Brown made Three Point Jumper. Assisted by Ike Smith.,36,30
3:43,526,Reggie Reid Turnover.,36,30
3:42,290,Tookie Brown Steal.,36,30
3:39,290,Tookie Brown made Layup.,36,32
3:39,526,Foul on Rayjon Tucker.,36,32
3:39,290,Official TV Timeout,36,32
3:39,290,Tookie Brown made Free Throw.,36,33
3:15,526,RaySean Scott Jr. missed Three Point Jumper.,36,33
3:15,526,Antravious Simmons Offensive Rebound.,36,33
3:05,526,Antravious Simmons made Layup. Assisted by Zach Johnson.,38,33
2:47,290,Shawn O'Connell missed Three Point Jumper.,38,33
2:47,526,Antravious Simmons Defensive Rebound.,38,33
2:35,526,Zach Johnson Turnover.,38,33
2:34,290,Ike Smith Steal.,38,33
2:31,290,Mike Hughes missed Three Point Jumper.,38,33
2:31,526,Florida Gulf Coast Defensive Rebound.,38,33
2:15,526,Antravious Simmons missed Layup.,38,33
2:15,526,Antravious Simmons Offensive Rebound.,38,33
2:04,290,Foul on Montae Glenn.,38,33
2:04,526,Antravious Simmons missed Free Throw.,38,33
2:04,526,Florida Gulf Coast Deadball Team Rebound.,38,33
2:04,526,Antravious Simmons missed Free Throw.,38,33
2:04,290,Montae Glenn Defensive Rebound.,38,33
1:40,290,Tookie Brown missed Three Point Jumper.,38,33
1:40,290,Montae Glenn Offensive Rebound.,38,33
1:34,290,Montae Glenn missed Jumper.,38,33
1:34,526,Antravious Simmons Block.,38,33
1:32,526,Antravious Simmons Defensive Rebound.,38,33
1:28,526,Christian Terrell missed Layup.,38,33
1:28,526,Kevin Mickle Offensive Rebound.,38,33
1:26,526,Kevin Mickle made Jumper.,40,33
1:04,290,Tookie Brown Turnover.,40,33
0:38,526,RaySean Scott Jr. made Layup. Assisted by Zach Johnson.,42,33
0:08,290,Jake Allsmiller missed Three Point Jumper.,42,33
0:08,526,RaySean Scott Jr. Block.,42,33
0:06,526,Antravious Simmons Defensive Rebound.,42,33
0:01,526,RaySean Scott Jr. missed Jumper.,42,33
0:01,290,Mike Hughes Defensive Rebound.,42,33
0:00,290,End of 1st half,42,33
19:50,290,Ike Smith missed Jumper.,42,33
19:50,290,Montae Glenn Offensive Rebound.,42,33
19:47,290,Montae Glenn made Jumper.,42,35
19:31,526,Antravious Simmons Turnover.,42,35
19:31,290,Tookie Brown Steal.,42,35
19:28,290,Tookie Brown made Layup.,42,37
18:56,526,Zach Johnson made Three Point Jumper. Assisted by Brandon Goodwin.,45,37
18:33,290,Montae Glenn made Dunk. Assisted by Mike Hughes.,45,39
18:16,526,Christian Terrell made Three Point Jumper. Assisted by Brandon Goodwin.,48,39
17:51,290,Shawn O'Connell missed Jumper.,48,39
17:51,526,Zach Johnson Defensive Rebound.,48,39
17:45,526,Christian Terrell made Layup. Assisted by Zach Johnson.,50,39
17:14,290,Mike Hughes missed Jumper.,50,39
17:14,526,Demetris Morant Block.,50,39
17:11,526,Demetris Morant Defensive Rebound.,50,39
17:08,526,Brandon Goodwin made Dunk. Assisted by Zach Johnson.,52,39
16:43,526,Foul on Zach Johnson.,52,39
16:34,290,Tookie Brown missed Jumper.,52,39
16:34,526,Demetris Morant Defensive Rebound.,52,39
16:28,526,Christian Terrell missed Layup.,52,39
16:28,526,Demetris Morant Offensive Rebound.,52,39
16:22,526,Demetris Morant made Two Point Tip Shot.,54,39
16:19,290,Official TV Timeout,54,39
16:06,526,Foul on Brandon Goodwin.,54,39
16:06,290,Mike Hughes made Free Throw.,54,40
16:06,290,Mike Hughes made Free Throw.,54,41
15:51,526,Zach Johnson made Jumper.,56,41
15:23,290,Mike Hughes missed Layup.,56,41
15:23,526,Demetris Morant Defensive Rebound.,56,41
15:16,290,Foul on Devonte Boykins.,56,41
15:16,290,Official TV Timeout,56,41
15:12,526,Christian Terrell missed Three Point Jumper.,56,41
15:12,290,Devonte Boykins Defensive Rebound.,56,41
15:03,290,Ike Smith made Dunk.,56,43
15:03,526,Foul on Christian Terrell.,56,43
15:03,290,Ike Smith made Free Throw.,56,44
14:47,526,Brandon Goodwin missed Three Point Jumper.,56,44
14:47,290,Ike Smith Defensive Rebound.,56,44
14:38,290,Devonte Boykins Turnover.,56,44
14:37,526,Marc-Eddy Norelia Steal.,56,44
14:34,526,Marc-Eddy Norelia made Layup.,58,44
14:18,290,B.J. Gladden missed Three Point Jumper.,58,44
14:18,526,Brandon Goodwin Defensive Rebound.,58,44
14:02,290,Foul on Devonte Boykins.,58,44
13:46,526,Brandon Goodwin Turnover.,58,44
13:45,290,Coye Simmons Steal.,58,44
13:40,290,B.J. Gladden made Layup. Assisted by Ike Smith.,58,46
13:10,526,Zach Johnson made Three Point Jumper. Assisted by Brandon Goodwin.,61,46
12:45,290,Ike Smith missed Jumper.,61,46
12:45,526,Demetris Morant Defensive Rebound.,61,46
12:29,526,Zach Johnson missed Three Point Jumper.,61,46
12:29,526,Antravious Simmons Offensive Rebound.,61,46
12:24,290,Foul on Coye Simmons.,61,46
12:24,526,Antravious Simmons made Free Throw.,62,46
12:24,526,Antravious Simmons made Free Throw.,63,46
12:10,526,Foul on Reggie Reid.,63,46
12:00,290,B.J. Gladden made Layup.,63,48
12:00,526,Foul on RaySean Scott Jr..,63,48
12:00,290,Official TV Timeout,63,48
11:59,290,B.J. Gladden missed Free Throw.,63,48
11:59,526,RaySean Scott Jr. Defensive Rebound.,63,48
11:39,526,Demetris Morant made Dunk. Assisted by Reggie Reid.,65,48
11:21,290,B.J. Gladden made Three Point Jumper. Assisted by Tookie Brown.,65,51
11:06,526,Demetris Morant made Dunk. Assisted by Zach Johnson.,67,51
10:44,526,Foul on RaySean Scott Jr..,67,51
10:44,290,B.J. Gladden made Free Throw.,67,52
10:44,290,B.J. Gladden missed Free Throw.,67,52
10:44,526,Demetris Morant Defensive Rebound.,67,52
10:28,526,Antravious Simmons made Layup. Assisted by Demetris Morant.,69,52
10:00,290,Tookie Brown made Three Point Jumper.,69,55
9:57,290,Georgia Southern  Timeout,69,55
9:29,526,Christian Terrell missed Three Point Jumper.,69,55
9:29,290,Georgia Southern Defensive Rebound.,69,55
9:15,290,Tookie Brown Turnover.,69,55
9:15,290,Foul on Tookie Brown.,69,55
8:58,526,Demetris Morant Turnover.,69,55
8:43,290,Ike Smith made Layup.,69,57
8:24,290,Foul on Tookie Brown.,69,57
8:24,526,Zach Johnson missed Free Throw.,69,57
8:24,526,Florida Gulf Coast Deadball Team Rebound.,69,57
8:24,526,Zach Johnson made Free Throw.,70,57
8:09,290,Coye Simmons Turnover.,70,57
8:09,290,Foul on Coye Simmons.,70,57
7:54,290,Foul on Tookie Brown.,70,57
7:54,290,Official TV Timeout,70,57
7:54,526,Antravious Simmons made Free Throw.,71,57
7:54,526,Antravious Simmons missed Free Throw.,71,57
7:54,290,Coye Simmons Defensive Rebound.,71,57
7:30,290,Mike Hughes made Layup.,71,59
7:30,526,Foul on Christian Terrell.,71,59
7:30,290,Mike Hughes made Free Throw.,71,60
7:14,526,Zach Johnson made Layup.,73,60
6:57,290,Tookie Brown Turnover.,73,60
6:56,526,Brandon Goodwin Steal.,73,60
6:49,290,Foul on B.J. Gladden.,73,60
6:49,526,Brandon Goodwin missed Free Throw.,73,60
6:49,526,Florida Gulf Coast Deadball Team Rebound.,73,60
6:49,526,Brandon Goodwin made Free Throw.,74,60
6:49,526,Florida Gulf Coast  Timeout,74,60
6:39,290,Ike Smith made Jumper.,74,62
6:39,526,Foul on Rayjon Tucker.,74,62
6:39,290,Ike Smith made Free Throw.,74,63
6:28,526,Zach Johnson Turnover.,74,63
6:27,526,Foul on Zach Johnson.,74,63
6:27,290,Mike Hughes made Free Throw.,74,64
6:27,290,Mike Hughes made Free Throw.,74,65
6:01,526,Zach Johnson Turnover.,74,65
5:51,290,Tookie Brown missed Layup.,74,65
5:51,526,Demetris Morant Defensive Rebound.,74,65
5:46,526,Rayjon Tucker made Layup.,76,65
5:46,290,Foul on Jake Allsmiller.,76,65
5:46,526,Rayjon Tucker made Free Throw.,77,65
5:32,290,Tookie Brown made Dunk.,77,67
5:16,526,Zach Johnson missed Jumper.,77,67
5:16,290,Montae Glenn Defensive Rebound.,77,67
5:09,290,Georgia Southern  Timeout,77,67
5:06,290,Mike Hughes missed Three Point Jumper.,77,67
5:06,290,Montae Glenn Offensive Rebound.,77,67
5:02,290,Montae Glenn missed Jumper.,77,67
5:02,526,Demetris Morant Block.,77,67
5:00,290,Mike Hughes Offensive Rebound.,77,67
4:56,526,Foul on Zach Johnson.,77,67
4:56,290,Montae Glenn missed Free Throw.,77,67
4:56,290,Georgia Southern Deadball Team Rebound.,77,67
4:56,290,Montae Glenn made Free Throw.,77,68
4:24,526,Florida Gulf Coast  Turnover.,77,68
4:11,290,Ike Smith missed Jumper.,77,68
4:11,290,Montae Glenn Offensive Rebound.,77,68
4:07,290,Montae Glenn missed Layup.,77,68
4:07,526,Demetris Morant Defensive Rebound.,77,68
3:56,526,Marc-Eddy Norelia missed Layup.,77,68
3:56,290,Georgia Southern Defensive Rebound.,77,68
3:54,290,Official TV Timeout,77,68
3:48,290,Ike Smith made Layup.,77,70
3:36,526,Marc-Eddy Norelia Turnover.,77,70
3:35,290,Tookie Brown Steal.,77,70
3:33,290,Tookie Brown made Layup.,77,72
3:08,526,Marc-Eddy Norelia made Layup. Assisted by Brandon Goodwin.,79,72
2:43,290,Mike Hughes made Layup.,79,74
2:33,526,Brandon Goodwin Turnover.,79,74
2:32,290,Mike Hughes Steal.,79,74
2:30,290,Mike Hughes missed Layup.,79,74
2:30,290,Ike Smith Offensive Rebound.,79,74
2:26,290,Ike Smith made Two Point Tip Shot.,79,76
2:18,526,Florida Gulf Coast  Timeout,79,76
1:55,526,Brandon Goodwin missed Layup.,79,76
1:55,526,Rayjon Tucker Offensive Rebound.,79,76
1:51,526,Rayjon Tucker made Jumper.,81,76
1:50,290,Foul on Montae Glenn.,81,76
1:50,526,Rayjon Tucker missed Free Throw.,81,76
1:50,290,Ike Smith Defensive Rebound.,81,76
1:34,526,Foul on Rayjon Tucker.,81,76
1:34,290,Montae Glenn made Free Throw.,81,77
1:34,290,Montae Glenn missed Free Throw.,81,77
1:34,526,Zach Johnson Defensive Rebound.,81,77
1:14,526,Demetris Morant Turnover.,81,77
1:13,290,Ike Smith Steal.,81,77
1:05,290,Mike Hughes missed Layup.,81,77
1:05,526,Demetris Morant Block.,81,77
1:03,526,Florida Gulf Coast Defensive Rebound.,81,77
0:36,526,Christian Terrell made Three Point Jumper.,84,77
0:26,290,Tookie Brown made Layup.,84,79
0:23,290,Foul on Tookie Brown.,84,79
0:23,526,Brandon Goodwin missed Free Throw.,84,79
0:23,526,Florida Gulf Coast Deadball Team Rebound.,84,79
0:23,526,Brandon Goodwin made Free Throw.,85,79
0:12,290,Jake Allsmiller missed Three Point Jumper.,85,79
0:12,526,Zach Johnson Defensive Rebound.,85,79
0:06,290,Foul on Mike Hughes.,85,79
0:06,526,Rayjon Tucker missed Free Throw.,85,79
0:06,526,Florida Gulf Coast Deadball Team Rebound.,85,79
0:06,526,Rayjon Tucker missed Free Throw.,85,79
0:06,290,Ike Smith Defensive Rebound.,85,79
0:00,290,Jake Allsmiller made Three Point Jumper. Assisted by Ike Smith.,85,82
0:00,290,End of Game,85,82
