Eastern Washington,2547,Seattle,331
11:07,331,Mario Soto Defensive Rebound.,33,47
10:53,331,Mario Soto made Three Point Jumper. Assisted by Jacob Wiley.,36,47
10:35,2547,Emmanuel Chibuogwu made Layup. Assisted by Brendan Westendorf.,36,49
10:25,331,Felix Von Hofe missed Jumper.,36,49
10:25,2547,Emmanuel Chibuogwu Defensive Rebound.,36,49
10:05,331,Foul on Jacob Wiley.,36,49
10:05,2547,Official TV Timeout,36,49
10:05,2547,William Powell missed Free Throw.,36,49
10:05,2547,Seattle Deadball Team Rebound.,36,49
10:05,2547,William Powell made Free Throw.,36,50
9:46,331,Felix Von Hofe missed Three Point Jumper.,36,50
9:46,2547,Aaron Menzies Defensive Rebound.,36,50
9:37,2547,Zack Moore Turnover.,36,50
9:37,331,Mario Soto Steal.,36,50
9:31,331,Bogdan Bliznyuk missed Jumper.,36,50
9:31,331,Eastern Washington Offensive Rebound.,36,50
9:23,331,Sir Washington missed Three Point Jumper.,36,50
9:23,2547,Brendan Westendorf Defensive Rebound.,36,50
9:05,2547,Brendan Westendorf missed Jumper.,36,50
9:05,331,Jacob Wiley Defensive Rebound.,36,50
8:49,331,Bogdan Bliznyuk made Jumper.,38,50
8:47,331,Eastern Washington  Timeout,38,50
8:39,2547,Foul on Emmanuel Chibuogwu.,38,50
8:39,2547,Emmanuel Chibuogwu Turnover.,38,50
8:25,331,Mario Soto missed Three Point Jumper.,38,50
8:25,2547,Malik Montoya Defensive Rebound.,38,50
8:24,331,Foul on Bogdan Bliznyuk.,38,50
8:16,2547,Aaron Menzies missed Jumper.,38,50
8:16,331,Mason Peatling Block.,38,50
8:15,2547,Seattle Offensive Rebound.,38,50
8:15,2547,William Powell missed Jumper.,38,50
8:15,331,Mason Peatling Defensive Rebound.,38,50
7:57,331,Bogdan Bliznyuk made Three Point Jumper. Assisted by Ty Gibson.,41,50
7:57,331,Eastern Washington  Timeout,41,50
7:57,2547,Official TV Timeout,41,50
7:44,2547,Aaron Menzies made Layup. Assisted by Brendan Westendorf.,41,52
7:29,331,Ty Gibson made Three Point Jumper. Assisted by Mason Peatling.,44,52
7:07,2547,Emmanuel Chibuogwu missed Three Point Jumper.,44,52
7:07,331,Eastern Washington Defensive Rebound.,44,52
6:40,331,Bogdan Bliznyuk missed Jumper.,44,52
6:40,331,Luka Vulikic Offensive Rebound.,44,52
6:23,331,Luka Vulikic Turnover.,44,52
6:23,2547,Brendan Westendorf Steal.,44,52
6:22,331,Foul on Felix Von Hofe.,44,52
6:15,331,Foul on Jesse Hunt.,44,52
6:15,2547,William Powell made Free Throw.,44,53
6:15,2547,William Powell missed Free Throw.,44,53
6:15,331,Jacob Wiley Defensive Rebound.,44,53
5:59,331,Felix Von Hofe made Three Point Jumper. Assisted by Jacob Wiley.,47,53
5:40,2547,Malik Montoya missed Layup.,47,53
5:40,331,Felix Von Hofe Defensive Rebound.,47,53
5:27,331,Jacob Wiley missed Jumper.,47,53
5:27,2547,Aaron Menzies Block.,47,53
5:25,2547,Aaron Menzies Defensive Rebound.,47,53
5:17,2547,Malik Montoya missed Three Point Jumper.,47,53
5:17,331,Bogdan Bliznyuk Defensive Rebound.,47,53
5:15,2547,Foul on Malik Montoya.,47,53
5:04,331,Felix Von Hofe missed Three Point Jumper.,47,53
5:04,2547,Aaron Menzies Block.,47,53
5:03,2547,William Powell Defensive Rebound.,47,53
4:59,331,Foul on Ty Gibson.,47,53
