Arkansas State,135,Minnesota,2032
9:34,135,Reggie Lynch Defensive Rebound.,12,16
9:29,2032,Foul on Connor Kern.,12,16
9:29,135,Akeem Springs made Free Throw.,12,17
9:29,135,Akeem Springs made Free Throw.,12,18
9:11,2032,Tamas Bruce missed Layup.,12,18
9:07,135,Jordan Murphy Defensive Rebound.,12,18
8:41,135,Dupree McBrayer Turnover.,12,18
8:31,135,Foul on Nate Mason.,12,18
8:19,135,Foul on Reggie Lynch.,12,18
8:03,135,Foul on Dupree McBrayer.,12,18
8:03,2032,Devin Carter made Free Throw.,13,18
8:03,2032,Devin Carter made Free Throw.,14,18
7:57,2032,Official TV Timeout,14,18
7:57,2032,Foul on Rashad Lindsey.,14,18
7:57,135,Dupree McBrayer made Free Throw.,14,19
7:57,135,Dupree McBrayer made Free Throw.,14,20
7:40,2032,Devin Carter Turnover.,14,20
7:24,135,Jordan Murphy made Dunk. Assisted by Bakary Konate.,14,22
7:00,2032,Deven Simms missed Three Point Jumper.,14,22
6:56,135,Jordan Murphy Defensive Rebound.,14,22
6:46,135,Bakary Konate missed Jumper.,14,22
6:42,135,Michael Hurt Offensive Rebound.,14,22
6:41,135,Michael Hurt made Layup.,14,24
6:35,2032,Arkansas St  Timeout,14,24
6:18,2032,Deven Simms made Layup.,16,24
6:17,135,Foul on Bakary Konate.,16,24
6:17,2032,Deven Simms made Free Throw.,17,24
6:06,135,Dupree McBrayer made Layup. Assisted by Nate Mason.,17,26
5:33,2032,Connor Kern made Three Point Jumper. Assisted by Rashad Lindsey.,20,26
5:16,2032,Foul on Deven Simms.,20,26
5:16,135,Nate Mason made Free Throw.,20,27
5:16,135,Nate Mason missed Free Throw.,20,27
5:16,2032,Devin Carter Defensive Rebound.,20,27
4:56,2032,Devin Carter missed Three Point Jumper.,20,27
4:53,135,Dupree McBrayer Defensive Rebound.,20,27
4:27,135,Jordan Murphy Turnover.,20,27
4:27,2032,Salif Boudie Steal.,20,27
4:12,135,Akeem Springs made Three Point Jumper. Assisted by Dupree McBrayer.,20,30
4:11,2032,Deven Simms Turnover.,20,30
4:11,135,Nate Mason Steal.,20,30
3:52,2032,Salif Boudie missed Jumper.,20,30
3:48,2032,Deven Simms Offensive Rebound.,20,30
3:47,2032,Deven Simms missed Layup.,20,30
3:47,135,Bakary Konate Defensive Rebound.,20,30
3:47,135,Official TV Timeout,20,30
3:47,2032,Foul on Deven Simms.,20,30
3:47,135,Bakary Konate made Free Throw.,20,31
3:47,135,Bakary Konate made Free Throw.,20,32
3:24,2032,C.J. Foster Turnover.,20,32
3:24,135,Dupree McBrayer Steal.,20,32
3:21,135,Eric Curry missed Layup.,20,32
3:17,2032,C.J. Foster Defensive Rebound.,20,32
3:13,2032,Rashad Lindsey missed Three Point Jumper.,20,32
3:09,135,Akeem Springs Defensive Rebound.,20,32
3:03,135,missed Three Point Jumper.,20,32
3:00,135,Minnesota Offensive Rebound.,20,32
3:00,135,Minnesota  Timeout,20,32
2:54,135,Nate Mason made Three Point Jumper.,20,35
2:30,135,Foul on Eric Curry.,20,35
2:30,2032,Donte Thomas made Free Throw.,21,35
2:30,2032,Donte Thomas made Free Throw.,22,35
2:17,135,Jordan Murphy made Layup. Assisted by Nate Mason.,22,37
1:46,2032,Rashad Lindsey made Three Point Jumper. Assisted by Donte Thomas.,25,37
1:26,135,Akeem Springs missed Jumper.,25,37
1:22,2032,Arkansas St Defensive Rebound.,25,37
1:07,135,Foul on Eric Curry.,25,37
1:07,2032,Arkansas St Deadball Team Rebound.,25,37
1:07,2032,Donte Thomas missed Free Throw.,25,37
1:07,2032,Donte Thomas made Free Throw.,26,37
1:02,135,Akeem Springs made Three Point Jumper. Assisted by Nate Mason.,26,40
0:42,2032,Devin Carter missed Three Point Jumper.,26,40
0:39,135,Akeem Springs Defensive Rebound.,26,40
0:15,135,Nate Mason missed Jumper.,26,40
0:13,2032,Donte Thomas Defensive Rebound.,26,40
0:02,2032,Rashad Lindsey missed Three Point Jumper.,26,40
0:01,135,Minnesota Defensive Rebound.,26,40
0:00,135,End of 1st half,26,40
19:51,135,Nate Mason Turnover.,26,40
19:51,2032,Devin Carter Steal.,26,40
19:49,2032,Devin Carter made Layup.,28,40
19:24,135,Reggie Lynch missed Layup.,28,40
19:20,2032,Tamas Bruce Defensive Rebound.,28,40
19:06,135,Foul on Reggie Lynch.,28,40
19:03,2032,Devin Carter Turnover.,28,40
19:03,135,Dupree McBrayer Steal.,28,40
18:48,135,Dupree McBrayer made Three Point Jumper. Assisted by Nate Mason.,28,43
18:30,2032,Tamas Bruce made Layup. Assisted by Donte Thomas.,30,43
18:23,2032,Foul on Tamas Bruce.,30,43
18:23,135,Amir Coffey made Free Throw.,30,44
18:23,135,Amir Coffey missed Free Throw.,30,44
18:23,2032,C.J. Foster Defensive Rebound.,30,44
18:05,2032,Devin Carter missed Three Point Jumper.,30,44
17:58,135,Jordan Murphy Defensive Rebound.,30,44
17:56,135,Jordan Murphy Turnover.,30,44
17:56,2032,Tamas Bruce Steal.,30,44
17:54,2032,C.J. Foster made Layup. Assisted by Tamas Bruce.,32,44
17:40,2032,Foul on Donte Thomas.,32,44
17:40,135,Reggie Lynch missed Free Throw.,32,44
17:40,135,Minnesota Deadball Team Rebound.,32,44
17:40,135,Reggie Lynch made Free Throw.,32,45
17:22,2032,Devin Carter Turnover.,32,45
17:22,135,Amir Coffey Steal.,32,45
17:21,135,Amir Coffey Turnover.,32,45
17:20,2032,Donte Thomas Turnover.,32,45
17:08,135,Foul on Amir Coffey.,32,45
17:08,135,Amir Coffey Turnover.,32,45
16:57,2032,Donte Thomas made Jumper.,34,45
16:38,135,Jordan Murphy missed Layup.,34,45
16:38,2032,Devin Carter Block.,34,45
16:38,2032,Tamas Bruce Defensive Rebound.,34,45
16:38,135,Foul on Jordan Murphy.,34,45
16:25,2032,Donte Thomas Turnover.,34,45
16:25,135,Amir Coffey Steal.,34,45
16:23,2032,Foul on Deven Simms.,34,45
16:19,2032,Foul on Donte Thomas.,34,45
16:10,135,Amir Coffey Turnover.,34,45
15:50,2032,Foul on Salif Boudie.,34,45
15:50,2032,Salif Boudie Turnover.,34,45
15:50,135,Official TV Timeout,34,45
15:36,135,Nate Mason made Jumper.,34,47
15:11,2032,Devin Carter missed Jumper.,34,47
15:10,135,Jordan Murphy Defensive Rebound.,34,47
15:04,135,Dupree McBrayer made Jumper.,34,49
14:45,2032,Rashad Lindsey made Jumper.,36,49
14:17,135,Dupree McBrayer Turnover.,36,49
14:17,2032,Devin Carter Steal.,36,49
14:14,2032,Rashad Lindsey made Layup. Assisted by Devin Carter.,38,49
13:54,135,Dupree McBrayer made Layup. Assisted by Amir Coffey.,38,51
13:31,2032,Deven Simms missed Jumper.,38,51
13:31,135,Nate Mason Defensive Rebound.,38,51
13:31,2032,Foul on Salif Boudie.,38,51
13:17,135,Nate Mason missed Jumper.,38,51
13:17,135,Minnesota Offensive Rebound.,38,51
12:59,135,Eric Curry missed Three Point Jumper.,38,51
12:55,2032,Donte Thomas Defensive Rebound.,38,51
12:52,2032,Donte Thomas Turnover.,38,51
12:52,135,Eric Curry Steal.,38,51
12:49,135,Amir Coffey made Dunk. Assisted by Eric Curry.,38,53
12:27,2032,C.J. Foster Turnover.,38,53
12:27,135,Nate Mason Steal.,38,53
12:25,135,Nate Mason made Layup.,38,55
12:25,2032,Arkansas St  Timeout,38,55
12:09,2032,Tamas Bruce made Layup. Assisted by Donte Thomas.,40,55
11:53,135,Nate Mason missed Three Point Jumper.,40,55
11:49,2032,Tamas Bruce Defensive Rebound.,40,55
11:43,2032,Deven Simms made Layup.,42,55
11:23,135,Amir Coffey Turnover.,42,55
11:23,2032,Devin Carter Steal.,42,55
11:17,2032,Devin Carter made Three Point Jumper.,45,55
10:52,135,Official TV Timeout,45,55
10:52,2032,Foul on Donte Thomas.,45,55
10:52,135,Nate Mason made Free Throw.,45,56
10:52,135,Nate Mason missed Free Throw.,45,56
10:52,2032,Tamas Bruce Defensive Rebound.,45,56
10:30,2032,Deven Simms Turnover.,45,56
10:30,135,Jordan Murphy Steal.,45,56
10:24,135,Jordan Murphy made Layup. Assisted by Akeem Springs.,45,58
9:59,2032,Connor Kern made Three Point Jumper. Assisted by Rashad Lindsey.,48,58
9:39,135,Jordan Murphy made Dunk. Assisted by Eric Curry.,48,60
9:39,2032,Foul on Tamas Bruce.,48,60
9:39,135,Jordan Murphy made Free Throw.,48,61
9:39,2032,Deven Simms Turnover.,48,61
9:30,135,Eric Curry missed Free Throw.,48,62
9:30,2032,Foul on Tamas Bruce.,48,61
9:30,135,Eric Curry made Free Throw.,48,62
9:30,2032,Salif Boudie Defensive Rebound.,48,62
9:20,2032,Rashad Lindsey made Layup.,50,62
9:06,135,Akeem Springs Turnover.,50,62
9:06,2032,Devin Carter Steal.,50,62
9:03,2032,Devin Carter made Dunk.,52,62
8:43,2032,Foul on C.J. Foster.,52,62
8:43,135,Dupree McBrayer made Free Throw.,52,63
8:43,135,Dupree McBrayer missed Free Throw.,52,63
8:43,2032,Salif Boudie Defensive Rebound.,52,63
8:19,135,Foul on Michael Hurt.,52,63
8:19,2032,Devin Carter made Free Throw.,53,63
8:19,2032,Devin Carter made Free Throw.,54,63
8:06,135,Foul on Reggie Lynch.,54,63
8:06,135,Reggie Lynch Turnover.,54,63
8:06,135,Minnesota  Timeout,54,63
7:46,2032,Devin Carter missed Three Point Jumper.,54,63
7:42,135,Eric Curry Defensive Rebound.,54,63
7:34,135,Foul on Jordan Murphy.,54,63
7:34,135,Jordan Murphy Turnover.,54,63
7:21,2032,Rashad Lindsey missed Jumper.,54,63
7:18,2032,Salif Boudie Offensive Rebound.,54,63
7:14,2032,Devin Carter made Layup.,56,63
6:52,135,Jordan Murphy made Layup.,56,65
6:52,2032,Foul on Devin Carter.,56,65
6:52,135,Jordan Murphy missed Free Throw.,56,65
6:52,2032,Rashad Lindsey Defensive Rebound.,56,65
6:29,2032,Rashad Lindsey Turnover.,56,65
6:29,135,Bakary Konate Steal.,56,65
6:20,135,Dupree McBrayer missed Layup.,56,65
6:19,135,Jordan Murphy Offensive Rebound.,56,65
6:19,2032,Foul on Connor Kern.,56,65
6:19,135,Jordan Murphy made Free Throw.,56,66
6:19,135,Jordan Murphy made Free Throw.,56,67
6:07,2032,Donte Thomas Turnover.,56,67
6:07,135,Amir Coffey Steal.,56,67
6:04,2032,Foul on Connor Kern.,56,67
6:04,135,Amir Coffey made Free Throw.,56,68
6:04,135,Amir Coffey made Free Throw.,56,69
5:41,135,Foul on Bakary Konate.,56,69
5:41,2032,Devin Carter made Free Throw.,57,69
5:41,2032,Devin Carter made Free Throw.,58,69
5:23,135,Amir Coffey Turnover.,58,69
5:23,2032,Devin Carter Steal.,58,69
5:18,2032,Devin Carter missed Layup.,58,69
5:14,2032,Salif Boudie Offensive Rebound.,58,69
5:12,2032,Salif Boudie made Two Point Tip Shot.,60,69
4:53,135,Nate Mason missed Three Point Jumper.,60,69
4:49,2032,Connor Kern Defensive Rebound.,60,69
4:45,2032,Devin Carter made Three Point Jumper. Assisted by Donte Thomas.,63,69
4:29,135,Eric Curry missed Jumper.,63,69
4:26,2032,Salif Boudie Defensive Rebound.,63,69
4:21,135,Foul on Jordan Murphy.,63,69
4:21,2032,Arkansas St Deadball Team Rebound.,63,69
4:21,2032,Deven Simms missed Free Throw.,63,69
4:21,2032,Deven Simms made Free Throw.,64,69
4:04,2032,Foul on Rashad Lindsey.,64,69
4:04,135,Dupree McBrayer made Free Throw.,64,70
4:04,135,Dupree McBrayer made Free Throw.,64,71
3:47,2032,Donte Thomas missed Jumper.,64,71
3:41,135,Eric Curry Defensive Rebound.,64,71
3:35,135,Nate Mason missed Layup.,64,71
3:31,2032,Salif Boudie Defensive Rebound.,64,71
3:28,2032,Devin Carter missed Three Point Jumper.,64,71
3:24,2032,Salif Boudie Offensive Rebound.,64,71
3:23,2032,Salif Boudie made Two Point Tip Shot.,66,71
3:00,135,Akeem Springs made Three Point Jumper. Assisted by Dupree McBrayer.,66,74
2:42,2032,Devin Carter missed Jumper.,66,74
2:39,2032,Devin Carter Offensive Rebound.,66,74
2:39,2032,Devin Carter missed Jumper.,66,74
2:39,135,Eric Curry Block.,66,74
2:39,2032,Arkansas St Offensive Rebound.,66,74
2:39,135,Official TV Timeout,66,74
2:29,2032,Devin Carter missed Three Point Jumper.,66,74
2:27,135,Eric Curry Defensive Rebound.,66,74
2:02,135,Amir Coffey made Layup. Assisted by Dupree McBrayer.,66,76
1:42,2032,Deven Simms missed Layup.,66,76
1:38,135,Eric Curry Defensive Rebound.,66,76
1:29,135,Eric Curry made Layup. Assisted by Nate Mason.,66,78
1:12,2032,Devin Carter missed Three Point Jumper.,66,78
1:10,135,Akeem Springs Defensive Rebound.,66,78
0:46,135,Akeem Springs missed Three Point Jumper.,66,78
0:43,2032,Donte Thomas Defensive Rebound.,66,78
0:41,2032,Devin Carter made Layup. Assisted by Donte Thomas.,68,78
0:40,2032,Arkansas St  Timeout,68,78
0:34,135,Dupree McBrayer made Dunk. Assisted by Amir Coffey.,68,80
0:18,2032,Deven Simms made Three Point Jumper. Assisted by C.J. Foster.,71,80
0:16,2032,Foul on Deven Simms.,71,80
0:16,135,Minnesota Deadball Team Rebound.,71,80
0:16,135,Akeem Springs missed Free Throw.,71,80
0:16,135,Akeem Springs made Free Throw.,71,81
0:12,2032,Salif Boudie made Layup. Assisted by Rashad Lindsey.,73,81
0:10,2032,Foul on Devin Carter.,73,81
0:10,135,Akeem Springs made Free Throw.,73,82
0:10,135,Akeem Springs missed Free Throw.,73,82
0:10,2032,Deven Simms Defensive Rebound.,73,82
0:04,2032,Rashad Lindsey made Layup.,75,82
0:00,135,End of Game,75,82
