Richmond,198,Oral Roberts,257
13:44,198,Kris Martin Steal.,8,14
13:40,198,Emmanuel Nzekwesi missed Layup.,8,14
13:40,257,T.J. Cline Defensive Rebound.,8,14
13:35,257,Nick Sherod made Jumper.,10,14
13:01,198,Albert Owens missed Jumper.,10,14
13:01,257,Marshall Wood Defensive Rebound.,10,14
12:53,257,T.J. Cline made Layup. Assisted by ShawnDre' Jones.,12,14
12:36,198,Albert Owens Turnover.,12,14
12:36,198,Foul on Albert Owens.,12,14
12:32,257,Khwan Fore made Layup.,14,14
12:15,198,Jalen Bradley missed Jumper.,14,14
12:15,198,Chris Miller Offensive Rebound.,14,14
12:11,198,Chris Miller made Jumper.,14,16
11:55,257,Nick Sherod made Jumper.,16,16
11:36,198,Aaron Anderson Turnover.,16,16
11:31,257,Official TV Timeout,16,16
11:21,257,Nick Sherod missed Three Point Jumper.,16,16
11:21,198,Aaron Young Defensive Rebound.,16,16
11:05,198,Jalen Bradley made Three Point Jumper. Assisted by Darian Harris.,16,19
10:51,257,De'Monte Buckingham made Jumper.,18,19
10:39,198,Kris Martin made Jumper. Assisted by Jalen Bradley.,18,21
10:17,257,De'Monte Buckingham missed Three Point Jumper.,18,21
10:17,198,Kris Martin Defensive Rebound.,18,21
10:04,198,Kris Martin Turnover.,18,21
10:02,257,Khwan Fore Steal.,18,21
10:01,198,Foul on Kris Martin.,18,21
10:00,257,Khwan Fore missed Free Throw.,18,21
10:00,257,Richmond Deadball Team Rebound.,18,21
10:00,257,Khwan Fore missed Free Throw.,18,21
10:00,198,Aaron Anderson Defensive Rebound.,18,21
9:57,257,Foul on Julius Johnson.,18,21
9:42,257,Foul on Julius Johnson.,18,21
9:42,198,Chris Miller missed Free Throw.,18,21
9:42,198,Oral Roberts Deadball Team Rebound.,18,21
9:42,198,Chris Miller made Free Throw.,18,22
9:30,198,Foul on Chris Miller.,18,22
9:29,198,Foul on Chris Miller.,18,22
9:29,257,Marshall Wood missed Layup.,18,22
9:29,257,T.J. Cline Offensive Rebound.,18,22
9:27,257,T.J. Cline missed Layup.,18,22
9:27,198,Aaron Anderson Defensive Rebound.,18,22
9:17,198,Aaron Anderson missed Three Point Jumper.,18,22
9:17,257,T.J. Cline Defensive Rebound.,18,22
9:17,198,Foul on Aaron Young.,18,22
9:17,257,T.J. Cline made Free Throw.,19,22
9:17,257,T.J. Cline made Free Throw.,20,22
9:04,198,Aaron Anderson made Layup.,20,24
8:50,257,Marshall Wood missed Three Point Jumper.,20,24
8:50,198,Aaron Anderson Defensive Rebound.,20,24
8:39,257,Foul on Marshall Wood.,20,24
8:39,198,Emmanuel Nzekwesi missed Free Throw.,20,24
8:39,198,Oral Roberts Deadball Team Rebound.,20,24
8:39,198,Emmanuel Nzekwesi made Free Throw.,20,25
8:20,257,ShawnDre' Jones missed Layup.,20,25
8:20,198,Kris Martin Block.,20,25
8:20,257,Richmond Offensive Rebound.,20,25
8:13,257,T.J. Cline made Layup. Assisted by Nick Sherod.,22,25
7:44,198,Darian Harris missed Three Point Jumper.,22,25
7:44,198,Emmanuel Nzekwesi Offensive Rebound.,22,25
7:39,198,Emmanuel Nzekwesi missed Jumper.,22,25
7:39,257,Nick Sherod Defensive Rebound.,22,25
7:30,257,T.J. Cline made Layup. Assisted by Nick Sherod.,24,25
7:30,198,Foul on Emmanuel Nzekwesi.,24,25
7:30,198,Official TV Timeout,24,25
7:30,257,T.J. Cline made Free Throw.,25,25
7:21,198,Aaron Anderson Turnover.,25,25
7:19,257,T.J. Cline Steal.,25,25
7:17,198,Foul on Aaron Anderson.,25,25
7:17,257,De'Monte Buckingham missed Free Throw.,25,25
7:17,257,Richmond Deadball Team Rebound.,25,25
7:17,257,De'Monte Buckingham made Free Throw.,26,25
7:05,257,Foul on Kwesi Abakah.,26,25
7:05,198,Kris Martin made Free Throw.,26,26
7:05,198,Kris Martin made Free Throw.,26,27
6:45,257,Nick Sherod made Layup. Assisted by T.J. Cline.,28,27
6:33,198,Kris Martin made Three Point Jumper.,28,30
6:23,257,Marshall Wood made Dunk. Assisted by T.J. Cline.,30,30
6:02,198,Kris Martin missed Jumper.,30,30
6:02,198,Albert Owens Offensive Rebound.,30,30
5:59,257,Foul on ShawnDre' Jones.,30,30
5:59,198,Albert Owens missed Free Throw.,30,30
5:59,198,Oral Roberts Deadball Team Rebound.,30,30
5:59,198,Albert Owens missed Free Throw.,30,30
5:59,257,T.J. Cline Defensive Rebound.,30,30
5:47,257,T.J. Cline made Layup. Assisted by ShawnDre' Jones.,32,30
5:24,198,Jontray Harris made Layup.,32,32
5:11,257,ShawnDre' Jones missed Three Point Jumper.,32,32
5:11,198,Albert Owens Defensive Rebound.,32,32
4:53,198,Aaron Young missed Three Point Jumper.,32,32
4:53,257,T.J. Cline Defensive Rebound.,32,32
4:38,257,T.J. Cline made Layup. Assisted by ShawnDre' Jones.,34,32
4:13,257,Foul on Khwan Fore.,34,32
4:13,198,Kris Martin made Free Throw.,34,33
4:13,198,Kris Martin made Free Throw.,34,34
4:00,257,Marshall Wood Turnover.,34,34
3:57,198,Aaron Young Steal.,34,34
3:50,257,Foul on Marshall Wood.,34,34
3:50,198,Official TV Timeout,34,34
3:50,198,Jalen Bradley made Free Throw.,34,35
3:50,198,Jalen Bradley made Free Throw.,34,36
3:38,257,Khwan Fore missed Layup.,34,36
3:38,257,De'Monte Buckingham Offensive Rebound.,34,36
3:36,257,Nick Sherod missed Three Point Jumper.,34,36
3:36,198,Jalen Bradley Defensive Rebound.,34,36
3:16,198,Chris Miller Turnover.,34,36
3:15,257,De'Monte Buckingham Steal.,34,36
3:12,198,Foul on Jontray Harris.,34,36
3:12,257,De'Monte Buckingham made Free Throw.,35,36
3:12,257,De'Monte Buckingham made Free Throw.,36,36
2:57,198,Kris Martin missed Jumper.,36,36
2:57,257,T.J. Cline Defensive Rebound.,36,36
2:39,257,Khwan Fore made Layup. Assisted by T.J. Cline.,38,36
2:26,257,Foul on Khwan Fore.,38,36
2:26,198,Aaron Young made Free Throw.,38,37
2:26,198,Aaron Young made Free Throw.,38,38
2:16,257,T.J. Cline missed Layup.,38,38
2:16,198,Jalen Bradley Defensive Rebound.,38,38
2:05,198,Emmanuel Nzekwesi missed Three Point Jumper.,38,38
2:05,198,Darian Harris Offensive Rebound.,38,38
2:01,198,Jalen Bradley made Jumper. Assisted by Darian Harris.,38,40
1:51,257,T.J. Cline missed Jumper.,38,40
1:51,257,T.J. Cline Offensive Rebound.,38,40
1:50,198,Foul on Emmanuel Nzekwesi.,38,40
1:50,257,T.J. Cline missed Free Throw.,38,40
1:50,257,Richmond Deadball Team Rebound.,38,40
1:50,257,T.J. Cline missed Free Throw.,38,40
1:50,198,Darian Harris Defensive Rebound.,38,40
1:32,198,Darian Harris missed Three Point Jumper.,38,40
1:32,257,Joe Kirby Defensive Rebound.,38,40
1:22,257,T.J. Cline Turnover.,38,40
1:03,257,Foul on Joe Kirby.,38,40
1:03,198,Aaron Young made Free Throw.,38,41
1:03,198,Aaron Young made Free Throw.,38,42
0:50,257,Nick Sherod missed Three Point Jumper.,38,42
0:50,198,Aaron Young Offensive Rebound.,38,42
0:36,198,Oral Roberts  Timeout,38,42
0:26,198,Kris Martin missed Three Point Jumper.,38,42
0:26,257,Joe Kirby Defensive Rebound.,38,42
0:04,257,Joe Kirby made Three Point Jumper. Assisted by De'Monte Buckingham.,41,42
0:00,198,End of 1st half,41,42
19:42,198,Jalen Bradley missed Three Point Jumper.,41,42
19:42,257,De'Monte Buckingham Defensive Rebound.,41,42
19:26,198,Foul on Aaron Anderson.,41,42
19:26,257,ShawnDre' Jones missed Free Throw.,41,42
19:26,257,Richmond Deadball Team Rebound.,41,42
19:26,257,ShawnDre' Jones made Free Throw.,42,42
19:17,198,Jalen Bradley Turnover.,42,42
19:17,257,T.J. Cline Steal.,42,42
19:07,257,Julius Johnson made Layup. Assisted by ShawnDre' Jones.,44,42
18:54,198,Albert Owens missed Jumper.,44,42
18:54,198,Emmanuel Nzekwesi Offensive Rebound.,44,42
18:52,198,Emmanuel Nzekwesi made Layup.,44,44
18:38,257,T.J. Cline missed Three Point Jumper.,44,44
18:38,198,Jalen Bradley Defensive Rebound.,44,44
18:31,198,Aaron Anderson missed Layup.,44,44
18:31,198,Albert Owens Offensive Rebound.,44,44
18:29,198,Albert Owens made Layup.,44,46
18:29,257,Foul on Khwan Fore.,44,46
18:29,198,Albert Owens missed Free Throw.,44,46
18:29,198,Aaron Anderson Offensive Rebound.,44,46
18:07,198,Emmanuel Nzekwesi missed Layup.,44,46
18:07,257,Marshall Wood Block.,44,46
18:06,257,ShawnDre' Jones Defensive Rebound.,44,46
18:02,198,Foul on Aaron Anderson.,44,46
17:59,257,T.J. Cline made Free Throw.,45,46
17:59,257,T.J. Cline made Free Throw.,46,46
17:46,198,Albert Owens Turnover.,46,46
17:45,257,Marshall Wood Steal.,46,46
17:39,257,ShawnDre' Jones Turnover.,46,46
17:37,198,Darian Harris Steal.,46,46
17:28,198,Jalen Bradley missed Three Point Jumper.,46,46
17:28,257,T.J. Cline Defensive Rebound.,46,46
17:13,257,De'Monte Buckingham Turnover.,46,46
16:51,257,Foul on De'Monte Buckingham.,46,46
16:43,198,Jalen Bradley made Jumper. Assisted by Darian Harris.,46,48
16:24,257,T.J. Cline made Jumper.,48,48
16:02,198,Albert Owens made Layup.,48,50
16:02,257,Foul on Marshall Wood.,48,50
16:02,198,Albert Owens missed Free Throw.,48,50
16:02,257,T.J. Cline Defensive Rebound.,48,50
15:45,257,Marshall Wood missed Three Point Jumper.,48,50
15:45,198,Albert Owens Defensive Rebound.,48,50
15:31,198,Darian Harris missed Jumper.,48,50
15:31,257,T.J. Cline Defensive Rebound.,48,50
15:25,257,Nick Sherod Turnover.,48,50
15:24,198,Aaron Young Steal.,48,50
15:13,198,Albert Owens made Layup. Assisted by Kris Martin.,48,52
14:53,257,T.J. Cline Turnover.,48,52
14:52,198,Kris Martin Steal.,48,52
14:48,198,Jalen Bradley made Layup.,48,54
14:30,198,Foul on Albert Owens.,48,54
14:29,198,Official TV Timeout,48,54
14:15,257,T.J. Cline missed Three Point Jumper.,48,54
14:15,257,ShawnDre' Jones Offensive Rebound.,48,54
14:04,257,ShawnDre' Jones made Jumper.,50,54
13:43,198,Kris Martin made Three Point Jumper. Assisted by Darian Harris.,50,57
13:22,198,Foul on Aaron Young.,50,57
13:10,257,T.J. Cline made Jumper. Assisted by Nick Sherod.,52,57
12:57,198,Jalen Bradley missed Jumper.,52,57
12:57,257,T.J. Cline Defensive Rebound.,52,57
12:48,257,Nick Sherod missed Jumper.,52,57
12:48,198,Oral Roberts Defensive Rebound.,52,57
12:30,257,Foul on Nick Sherod.,52,57
12:29,198,Kris Martin missed Jumper.,52,57
12:29,257,Marshall Wood Defensive Rebound.,52,57
12:17,198,Foul on Darian Harris.,52,57
12:06,257,ShawnDre' Jones missed Layup.,52,57
12:06,198,Aaron Young Block.,52,57
12:06,257,Richmond Offensive Rebound.,52,57
11:51,257,ShawnDre' Jones made Jumper. Assisted by Kwesi Abakah.,54,57
11:30,257,Foul on Kwesi Abakah.,54,57
11:30,198,Official TV Timeout,54,57
11:30,198,Jontray Harris missed Free Throw.,54,57
11:30,198,Oral Roberts Deadball Team Rebound.,54,57
11:30,198,Jontray Harris missed Free Throw.,54,57
11:30,198,Jontray Harris Offensive Rebound.,54,57
11:20,198,Jontray Harris missed Three Point Jumper.,54,57
11:20,198,Darian Harris Offensive Rebound.,54,57
11:13,198,Albert Owens missed Jumper.,54,57
11:13,198,Albert Owens Offensive Rebound.,54,57
11:11,198,Albert Owens made Two Point Tip Shot.,54,59
10:56,257,T.J. Cline missed Three Point Jumper.,54,59
10:56,257,Richmond Offensive Rebound.,54,59
10:36,257,ShawnDre' Jones missed Three Point Jumper.,54,59
10:36,198,Jontray Harris Defensive Rebound.,54,59
10:09,198,Darian Harris made Three Point Jumper. Assisted by Kris Martin.,54,62
9:41,257,Khwan Fore missed Three Point Jumper.,54,62
9:41,257,Julius Johnson Offensive Rebound.,54,62
9:30,257,Khwan Fore made Layup. Assisted by T.J. Cline.,56,62
9:06,257,Foul on ShawnDre' Jones.,56,62
8:50,198,Albert Owens made Layup. Assisted by Jalen Bradley.,56,64
8:40,257,T.J. Cline missed Layup.,56,64
8:40,198,Albert Owens Block.,56,64
8:39,257,T.J. Cline Offensive Rebound.,56,64
8:35,257,Khwan Fore missed Layup.,56,64
8:35,198,Kris Martin Block.,56,64
8:34,257,Richmond Offensive Rebound.,56,64
8:25,257,ShawnDre' Jones made Layup.,58,64
8:00,198,Aaron Young missed Three Point Jumper.,58,64
8:00,257,ShawnDre' Jones Defensive Rebound.,58,64
7:52,198,Foul on Kris Martin.,58,64
7:50,198,Official TV Timeout,58,64
7:44,257,Joe Kirby missed Layup.,58,64
7:44,257,T.J. Cline Offensive Rebound.,58,64
7:36,257,T.J. Cline missed Layup.,58,64
7:36,198,Jalen Bradley Defensive Rebound.,58,64
7:15,257,Foul on Julius Johnson.,58,64
7:15,198,Kris Martin missed Free Throw.,58,64
7:15,257,Marshall Wood Defensive Rebound.,58,64
6:53,257,Khwan Fore made Layup. Assisted by ShawnDre' Jones.,60,64
6:36,198,Albert Owens made Dunk. Assisted by Aaron Anderson.,60,66
6:14,257,ShawnDre' Jones missed Three Point Jumper.,60,66
6:14,198,Jalen Bradley Defensive Rebound.,60,66
5:56,198,Jalen Bradley missed Jumper.,60,66
5:56,257,Marshall Wood Defensive Rebound.,60,66
5:48,257,T.J. Cline missed Layup.,60,66
5:48,257,Joe Kirby Offensive Rebound.,60,66
5:46,198,Foul on Albert Owens.,60,66
5:46,257,T.J. Cline made Free Throw.,61,66
5:46,257,T.J. Cline made Free Throw.,62,66
5:42,198,Kris Martin Turnover.,62,66
5:21,257,Khwan Fore made Layup. Assisted by T.J. Cline.,64,66
5:04,198,Chris Miller Turnover.,64,66
5:04,198,Foul on Chris Miller.,64,66
4:39,257,T.J. Cline missed Three Point Jumper.,64,66
4:39,198,Kris Martin Defensive Rebound.,64,66
4:22,198,Darian Harris made Three Point Jumper. Assisted by Jalen Bradley.,64,69
4:04,257,T.J. Cline made Layup. Assisted by Marshall Wood.,66,69
4:03,257,Richmond  Turnover.,66,69
3:37,257,Foul on Marshall Wood.,66,69
3:37,198,Official TV Timeout,66,69
3:37,198,Kris Martin made Free Throw.,66,70
3:37,198,Kris Martin missed Free Throw.,66,70
3:37,257,De'Monte Buckingham Defensive Rebound.,66,70
3:17,257,De'Monte Buckingham missed Three Point Jumper.,66,70
3:17,198,Kris Martin Defensive Rebound.,66,70
2:53,198,Jalen Bradley made Jumper. Assisted by Darian Harris.,66,72
2:53,257,Foul on T.J. Cline.,66,72
2:53,198,Jalen Bradley made Free Throw.,66,73
2:32,257,ShawnDre' Jones made Layup.,68,73
2:22,257,Foul on De'Monte Buckingham.,68,73
2:22,198,Darian Harris made Free Throw.,68,74
2:22,198,Darian Harris made Free Throw.,68,75
2:15,257,Khwan Fore missed Layup.,68,75
2:15,257,Khwan Fore Offensive Rebound.,68,75
2:09,257,De'Monte Buckingham made Layup. Assisted by ShawnDre' Jones.,70,75
2:07,257,Richmond  Timeout,70,75
1:42,257,Foul on Khwan Fore.,70,75
1:42,198,Aaron Anderson missed Free Throw.,70,75
1:42,198,Oral Roberts Deadball Team Rebound.,70,75
1:42,198,Aaron Anderson made Free Throw.,70,76
1:36,257,T.J. Cline missed Jumper.,70,76
1:36,198,Darian Harris Defensive Rebound.,70,76
1:26,198,Albert Owens Turnover.,70,76
1:26,257,T.J. Cline Steal.,70,76
1:14,257,Khwan Fore Turnover.,70,76
1:07,257,Foul on T.J. Cline.,70,76
1:07,198,Aaron Young made Free Throw.,70,77
1:07,198,Aaron Young made Free Throw.,70,78
1:06,257,Khwan Fore Turnover.,70,78
1:01,198,Jalen Bradley Steal.,70,78
1:01,198,Oral Roberts  Timeout,70,78
0:59,257,Foul on Julius Johnson.,70,78
0:59,198,Kris Martin made Free Throw.,70,79
0:59,198,Kris Martin made Free Throw.,70,80
0:50,198,Foul on Aaron Young.,70,80
0:50,257,T.J. Cline made Free Throw.,71,80
0:50,257,T.J. Cline made Free Throw.,72,80
0:47,257,Foul on De'Monte Buckingham.,72,80
0:47,198,Jalen Bradley made Free Throw.,72,81
0:47,198,Jalen Bradley made Free Throw.,72,82
0:41,257,Khwan Fore Turnover.,72,82
0:40,198,Kris Martin Steal.,72,82
0:39,257,Foul on Khwan Fore.,72,82
0:39,198,Kris Martin made Free Throw.,72,83
0:39,198,Kris Martin made Free Throw.,72,84
0:33,257,ShawnDre' Jones missed Three Point Jumper.,72,84
0:33,198,Darian Harris Defensive Rebound.,72,84
0:23,257,Foul on Marshall Wood.,72,84
0:23,198,Aaron Anderson made Free Throw.,72,85
0:23,198,Aaron Anderson made Free Throw.,72,86
0:17,257,Nick Sherod missed Three Point Jumper.,72,86
0:17,257,Joe Kirby Offensive Rebound.,72,86
0:12,257,Joe Kirby missed Two Point Tip Shot.,72,86
0:12,198,Albert Owens Defensive Rebound.,72,86
0:12,257,Foul on Joe Kirby.,72,86
0:12,198,Albert Owens missed Free Throw.,72,86
0:12,198,Oral Roberts Deadball Team Rebound.,72,86
0:12,198,Albert Owens made Free Throw.,72,87
0:08,257,Julius Johnson missed Three Point Jumper.,72,87
0:08,198,Aaron Young Defensive Rebound.,72,87
0:00,198,End of Game,72,87
