Princeton,2329,Lehigh,163
14:31,163,Pete Miller Defensive Rebound.,40,45
14:22,163,Amir Bell missed Jumper.,40,45
14:22,2329,Kyle Leufroy Defensive Rebound.,40,45
13:59,2329,Jordan Cohen made Jumper.,40,47
13:45,163,Steven Cook made Layup. Assisted by Hans Brase.,42,47
13:36,163,Foul on Amir Bell.,42,47
13:12,2329,Kyle Leufroy Turnover.,42,47
13:11,163,Steven Cook Steal.,42,47
13:06,163,Steven Cook missed Layup.,42,47
13:06,163,Henry Caruso Offensive Rebound.,42,47
13:04,2329,Foul on Kyle Leufroy.,42,47
13:04,2329,Foul on Kyle Leufroy.,42,47
12:51,163,Henry Caruso Turnover.,42,47
12:32,2329,Brandon Alston Turnover.,42,47
12:07,163,Hans Brase missed Layup.,42,47
12:07,2329,Matt Holba Defensive Rebound.,42,47
11:59,2329,Tim Kempton made Layup. Assisted by Brandon Alston.,42,49
11:39,2329,Foul on Tim Kempton.,42,49
11:39,163,Princeton  Timeout,42,49
11:39,163,Henry Caruso made Free Throw.,43,49
11:39,163,Henry Caruso made Free Throw.,44,49
11:20,2329,Brandon Alston missed Jumper.,44,49
11:20,163,Spencer Weisz Defensive Rebound.,44,49
10:59,163,Aaron Young missed Three Point Jumper.,44,49
10:59,2329,Pat Andree Defensive Rebound.,44,49
10:53,2329,Pat Andree missed Three Point Jumper.,44,49
10:53,2329,Austin Price Offensive Rebound.,44,49
10:38,163,Foul on Devin Cannady.,44,49
10:20,2329,Austin Price made Three Point Jumper.,44,52
10:01,163,Devin Cannady made Three Point Jumper. Assisted by Spencer Weisz.,47,52
10:00,163,Princeton  Timeout,47,52
9:38,2329,Jordan Cohen made Jumper.,47,54
9:26,163,Devin Cannady made Layup.,49,54
9:16,163,Foul on Steven Cook.,49,54
9:16,2329,Austin Price made Free Throw.,49,55
9:16,2329,Austin Price made Free Throw.,49,56
9:04,163,Foul on Pete Miller.,49,56
9:04,163,Pete Miller Turnover.,49,56
8:43,2329,Austin Price made Jumper.,49,58
8:26,163,Myles Stephens missed Layup.,49,58
8:26,163,Myles Stephens Offensive Rebound.,49,58
8:13,163,Pete Miller missed Layup.,49,58
8:13,2329,Lehigh Defensive Rebound.,49,58
7:53,2329,Pat Andree missed Jumper.,49,58
7:53,163,Amir Bell Defensive Rebound.,49,58
7:42,163,Amir Bell missed Three Point Jumper.,49,58
7:42,2329,Pat Andree Defensive Rebound.,49,58
7:23,2329,Foul on Austin Price.,49,58
7:23,2329,Austin Price Turnover.,49,58
7:23,163,Princeton  Timeout,49,58
7:12,2329,Foul on Brandon Alston.,49,58
6:50,163,Steven Cook made Layup.,51,58
6:29,163,Foul on Myles Stephens.,51,58
6:29,2329,Tim Kempton made Free Throw.,51,59
6:29,2329,Tim Kempton made Free Throw.,51,60
6:20,163,Myles Stephens made Dunk. Assisted by Devin Cannady.,53,60
6:02,163,Foul on Myles Stephens.,53,60
6:02,2329,Tim Kempton made Free Throw.,53,61
6:02,2329,Tim Kempton made Free Throw.,53,62
5:50,163,Spencer Weisz missed Three Point Jumper.,53,62
5:50,163,Steven Cook Offensive Rebound.,53,62
5:42,163,Steven Cook made Layup.,55,62
5:42,2329,Foul on Kyle Leufroy.,55,62
5:42,163,Steven Cook made Free Throw.,56,62
5:16,2329,Tim Kempton made Layup.,56,64
4:54,163,Spencer Weisz made Three Point Jumper. Assisted by Steven Cook.,59,64
4:32,2329,Foul on Jordan Cohen.,59,64
4:32,2329,Jordan Cohen Turnover.,59,64
4:20,163,Spencer Weisz made Layup.,61,64
4:02,2329,Tim Kempton missed Layup.,61,64
4:02,2329,Austin Price Offensive Rebound.,61,64
3:58,2329,Brandon Alston missed Three Point Jumper.,61,64
3:58,163,Henry Caruso Defensive Rebound.,61,64
3:45,163,Henry Caruso made Layup.,63,64
3:44,2329,Lehigh  Timeout,63,64
3:26,2329,Tim Kempton missed Jumper.,63,64
3:26,163,Steven Cook Defensive Rebound.,63,64
3:16,163,Myles Stephens missed Layup.,63,64
3:16,2329,Pat Andree Block.,63,64
3:13,2329,Tim Kempton Defensive Rebound.,63,64
3:07,2329,Pat Andree missed Jumper.,63,64
3:07,163,Devin Cannady Defensive Rebound.,63,64
2:46,163,Devin Cannady missed Jumper.,63,64
2:46,2329,Brandon Alston Turnover.,63,64
2:18,2329,Foul on Brandon Alston.,63,64
2:06,163,Steven Cook Turnover.,63,64
2:05,2329,Austin Price Steal.,63,64
1:54,2329,Tim Kempton made Layup. Assisted by Jordan Cohen.,63,66
1:54,163,Foul on Devin Cannady.,63,66
1:54,2329,Tim Kempton made Free Throw.,63,67
1:50,163,Princeton  Timeout,63,67
1:42,163,Spencer Weisz missed Three Point Jumper.,63,67
1:42,2329,Matt Holba Defensive Rebound.,63,67
1:11,2329,Austin Price made Three Point Jumper.,63,70
1:11,163,Foul on Amir Bell.,63,70
1:11,2329,Tim Kempton made Free Throw.,63,71
1:11,2329,Tim Kempton missed Free Throw.,63,71
1:11,163,Steven Cook Defensive Rebound.,63,71
0:58,163,Steven Cook missed Layup.,63,71
0:58,2329,Tim Kempton Defensive Rebound.,63,71
0:53,163,Foul on Steven Cook.,63,71
0:53,2329,Jordan Cohen made Free Throw.,63,72
0:53,2329,Jordan Cohen made Free Throw.,63,73
0:46,163,Devin Cannady missed Three Point Jumper.,63,73
0:46,2329,Austin Price Defensive Rebound.,63,73
0:44,163,Foul on Devin Cannady.,63,73
0:44,2329,Austin Price made Free Throw.,63,74
0:44,2329,Austin Price missed Free Throw.,63,74
0:44,163,Spencer Weisz Defensive Rebound.,63,74
0:36,2329,Foul on Matt Holba.,63,74
0:36,163,Spencer Weisz made Free Throw.,64,74
0:36,163,Spencer Weisz made Free Throw.,65,74
0:17,2329,Matt Holba made Dunk. Assisted by Jordan Cohen.,65,76
0:07,163,Hans Brase made Layup.,67,76
0:00,2329,End of Game,67,76
