Xavier,2460,Northern Iowa,2752
14:37,2460,Klint Carlson missed Jumper.,3,7
14:37,2752,J.P. Macura Defensive Rebound.,3,7
14:29,2752,J.P. Macura Turnover.,3,7
14:28,2460,Klint Carlson Steal.,3,7
14:13,2460,Bennett Koch missed Layup.,3,7
14:13,2752,Quentin Goodin Defensive Rebound.,3,7
13:49,2752,Trevon Bluiett made Jumper.,5,7
13:30,2460,Juwan McCloud Turnover.,5,7
13:29,2752,J.P. Macura Steal.,5,7
13:28,2752,J.P. Macura Turnover.,5,7
13:27,2460,Juwan McCloud Steal.,5,7
13:23,2460,Jeremy Morgan made Three Point Jumper. Assisted by Klint Carlson.,5,10
13:03,2752,Trevon Bluiett made Jumper.,7,10
12:40,2460,Jeremy Morgan Turnover.,7,10
12:40,2752,Trevon Bluiett Steal.,7,10
12:32,2752,Trevon Bluiett missed Three Point Jumper.,7,10
12:32,2752,Xavier Offensive Rebound.,7,10
12:30,2460,Foul on Ted Friedman.,7,10
12:28,2752,Trevon Bluiett missed Jumper.,7,10
12:28,2460,Jeremy Morgan Defensive Rebound.,7,10
12:25,2752,Foul on J.P. Macura.,7,10
12:09,2460,Hunter Rhodes missed Layup.,7,10
12:09,2752,J.P. Macura Defensive Rebound.,7,10
11:44,2752,Edmond Sumner missed Layup.,7,10
11:44,2460,Jordan Ashton Defensive Rebound.,7,10
11:23,2460,Jeremy Morgan made Jumper.,7,12
11:23,2752,Foul on Trevon Bluiett.,7,12
11:23,2460,Jeremy Morgan made Free Throw.,7,13
11:11,2752,J.P. Macura missed Jumper.,7,13
11:11,2460,Jordan Ashton Defensive Rebound.,7,13
10:52,2460,Hunter Rhodes made Three Point Jumper. Assisted by Jeremy Morgan.,7,16
10:38,2752,J.P. Macura made Three Point Jumper. Assisted by Trevon Bluiett.,10,16
10:08,2460,Jeremy Morgan made Three Point Jumper.,10,19
9:50,2752,J.P. Macura made Three Point Jumper. Assisted by Edmond Sumner.,13,19
9:32,2460,Ted Friedman Turnover.,13,19
9:32,2460,Foul on Ted Friedman.,13,19
9:20,2752,Trevon Bluiett made Jumper.,15,19
8:58,2460,Klint Carlson made Layup. Assisted by Juwan McCloud.,15,21
8:29,2752,Trevon Bluiett missed Three Point Jumper.,15,21
8:29,2752,Tyrique Jones Offensive Rebound.,15,21
8:25,2752,Tyrique Jones made Two Point Tip Shot.,17,21
8:00,2460,Klint Carlson missed Layup.,17,21
8:00,2752,Tyrique Jones Defensive Rebound.,17,21
7:38,2752,Edmond Sumner missed Layup.,17,21
7:38,2752,Edmond Sumner Offensive Rebound.,17,21
7:36,2752,Edmond Sumner missed Layup.,17,21
7:36,2752,Edmond Sumner Offensive Rebound.,17,21
7:33,2752,Edmond Sumner made Layup.,19,21
7:16,2460,Klint Carlson missed Layup.,19,21
7:16,2460,Northern Iowa Offensive Rebound.,19,21
7:13,2460,Official TV Timeout,19,21
7:02,2460,Bennett Koch missed Layup.,19,21
7:02,2752,Quentin Goodin Defensive Rebound.,19,21
6:57,2752,Edmond Sumner Turnover.,19,21
6:57,2752,Foul on Edmond Sumner.,19,21
6:39,2752,Foul on Tyrique Jones.,19,21
6:39,2460,Bennett Koch missed Free Throw.,19,21
6:39,2460,Northern Iowa Deadball Team Rebound.,19,21
6:39,2460,Bennett Koch made Free Throw.,19,22
6:09,2752,Trevon Bluiett made Three Point Jumper. Assisted by Edmond Sumner.,22,22
5:42,2752,Foul on Sean O'Mara.,22,22
5:42,2460,Bennett Koch missed Free Throw.,22,22
5:42,2752,Trevon Bluiett Defensive Rebound.,22,22
5:15,2752,Edmond Sumner made Layup.,24,22
4:45,2460,Bennett Koch Turnover.,24,22
4:44,2752,RaShid Gaston Steal.,24,22
4:41,2752,Quentin Goodin made Layup.,26,22
4:41,2460,Foul on Spencer Haldeman.,26,22
4:41,2752,Quentin Goodin missed Free Throw.,26,22
4:41,2460,Jeremy Morgan Defensive Rebound.,26,22
4:19,2460,Wyatt Lohaus missed Jumper.,26,22
4:19,2752,Trevon Bluiett Defensive Rebound.,26,22
4:05,2752,RaShid Gaston Turnover.,26,22
3:53,2460,Spencer Haldeman missed Three Point Jumper.,26,22
3:53,2752,J.P. Macura Defensive Rebound.,26,22
3:44,2460,Official TV Timeout,26,22
3:44,2460,Foul on Jeremy Morgan.,26,22
3:38,2752,J.P. Macura missed Jumper.,26,22
3:38,2460,Jeremy Morgan Defensive Rebound.,26,22
3:21,2460,Jordan Ashton Turnover.,26,22
3:19,2752,Malcolm Bernard Steal.,26,22
3:07,2752,Trevon Bluiett missed Three Point Jumper.,26,22
3:07,2460,Jordan Ashton Defensive Rebound.,26,22
2:56,2460,Jeremy Morgan made Three Point Jumper. Assisted by Juwan McCloud.,26,25
2:34,2752,Malcolm Bernard Turnover.,26,25
2:34,2460,Jeremy Morgan Steal.,26,25
2:19,2460,Klint Carlson missed Layup.,26,25
2:19,2752,Malcolm Bernard Defensive Rebound.,26,25
2:01,2752,J.P. Macura missed Layup.,26,25
2:01,2460,Jeremy Morgan Defensive Rebound.,26,25
1:52,2460,Klint Carlson made Three Point Jumper. Assisted by Jeremy Morgan.,26,28
1:36,2752,Trevon Bluiett missed Jumper.,26,28
1:36,2752,RaShid Gaston Offensive Rebound.,26,28
1:32,2752,RaShid Gaston made Layup.,28,28
1:10,2460,Juwan McCloud missed Three Point Jumper.,28,28
1:10,2752,Malcolm Bernard Defensive Rebound.,28,28
0:50,2752,Edmond Sumner missed Three Point Jumper.,28,28
0:50,2752,Xavier Offensive Rebound.,28,28
0:49,2460,Foul on Wyatt Lohaus.,28,28
0:49,2752,Xavier  Timeout,28,28
0:44,2752,Edmond Sumner missed Layup.,28,28
0:44,2460,Bennett Koch Defensive Rebound.,28,28
0:24,2460,Bennett Koch made Jumper.,28,30
0:04,2460,Foul on Spencer Haldeman.,28,30
0:04,2752,Edmond Sumner made Free Throw.,29,30
0:04,2752,Edmond Sumner made Free Throw.,30,30
0:00,2460,End of 1st half,30,30
19:51,2752,Edmond Sumner made Layup.,32,30
19:51,2460,Foul on Bennett Koch.,32,30
19:51,2752,Edmond Sumner made Free Throw.,33,30
19:38,2752,Foul on Edmond Sumner.,33,30
19:38,2460,Juwan McCloud missed Free Throw.,33,30
19:38,2460,Northern Iowa Deadball Team Rebound.,33,30
19:38,2460,Juwan McCloud made Free Throw.,33,31
19:24,2752,Edmond Sumner made Jumper.,35,31
19:00,2460,Bennett Koch missed Layup.,35,31
19:00,2752,Sean O'Mara Defensive Rebound.,35,31
18:51,2752,Edmond Sumner missed Three Point Jumper.,35,31
18:51,2460,Jeremy Morgan Defensive Rebound.,35,31
18:41,2752,Foul on J.P. Macura.,35,31
18:28,2460,Wyatt Lohaus missed Jumper.,35,31
18:28,2752,Trevon Bluiett Defensive Rebound.,35,31
18:16,2752,RaShid Gaston missed Layup.,35,31
18:16,2460,Northern Iowa Defensive Rebound.,35,31
17:48,2460,Jeremy Morgan made Three Point Jumper. Assisted by Bennett Koch.,35,34
17:28,2752,Trevon Bluiett made Jumper.,37,34
17:10,2752,Foul on RaShid Gaston.,37,34
16:59,2460,Wyatt Lohaus missed Three Point Jumper.,37,34
16:59,2460,Klint Carlson Offensive Rebound.,37,34
16:55,2752,Foul on Trevon Bluiett.,37,34
16:34,2460,Bennett Koch Turnover.,37,34
16:33,2752,Edmond Sumner Steal.,37,34
16:32,2460,Foul on Wyatt Lohaus.,37,34
16:32,2752,Edmond Sumner missed Free Throw.,37,34
16:32,2752,Xavier Deadball Team Rebound.,37,34
16:32,2752,Edmond Sumner made Free Throw.,38,34
16:14,2460,Klint Carlson missed Jumper.,38,34
16:14,2752,Trevon Bluiett Defensive Rebound.,38,34
16:01,2752,Trevon Bluiett missed Three Point Jumper.,38,34
16:01,2752,RaShid Gaston Offensive Rebound.,38,34
15:57,2752,RaShid Gaston made Layup.,40,34
15:46,2752,Foul on Edmond Sumner.,40,34
15:46,2460,Official TV Timeout,40,34
15:35,2460,Ted Friedman Turnover.,40,34
15:35,2460,Foul on Ted Friedman.,40,34
15:26,2752,Edmond Sumner made Jumper.,42,34
15:00,2460,Spencer Haldeman missed Three Point Jumper.,42,34
15:00,2460,Ted Friedman Offensive Rebound.,42,34
14:53,2460,Jeremy Morgan missed Three Point Jumper.,42,34
14:53,2752,J.P. Macura Defensive Rebound.,42,34
14:45,2752,J.P. Macura missed Three Point Jumper.,42,34
14:45,2460,Jordan Ashton Defensive Rebound.,42,34
14:10,2460,Northern Iowa  Turnover.,42,34
13:57,2752,Tyrique Jones Turnover.,42,34
13:57,2752,Foul on Tyrique Jones.,42,34
13:47,2752,Foul on Tyrique Jones.,42,34
13:47,2460,Bennett Koch missed Free Throw.,42,34
13:47,2752,Trevon Bluiett Defensive Rebound.,42,34
13:38,2752,Trevon Bluiett made Jumper. Assisted by Quentin Goodin.,44,34
13:29,2460,Northern Iowa  Timeout,44,34
13:14,2460,Bennett Koch Turnover.,44,34
13:12,2752,J.P. Macura Steal.,44,34
13:06,2752,Malcolm Bernard made Three Point Jumper. Assisted by J.P. Macura.,47,34
12:50,2752,Foul on Malcolm Bernard.,47,34
12:50,2460,Jeremy Morgan made Free Throw.,47,35
12:50,2460,Jeremy Morgan made Free Throw.,47,36
12:38,2752,J.P. Macura made Layup.,49,36
12:19,2460,Jeremy Morgan missed Layup.,49,36
12:19,2460,Jordan Ashton Offensive Rebound.,49,36
12:13,2752,Foul on J.P. Macura.,49,36
12:13,2460,Official TV Timeout,49,36
12:13,2460,Jeremy Morgan made Free Throw.,49,37
12:13,2460,Jeremy Morgan missed Free Throw.,49,37
12:13,2752,Trevon Bluiett Defensive Rebound.,49,37
12:06,2460,Jeremy Morgan missed Three Point Jumper.,49,37
12:06,2752,Xavier Deadball Team Rebound.,49,37
11:49,2460,Jeremy Morgan Block.,51,37
11:49,2752,RaShid Gaston missed Jumper.,49,37
11:49,2752,Quentin Goodin made Dunk.,51,37
11:48,2460,Spencer Haldeman Defensive Rebound.,51,37
11:31,2460,Spencer Haldeman missed Three Point Jumper.,51,37
11:31,2752,Trevon Bluiett Defensive Rebound.,51,37
11:21,2460,Jeremy Morgan missed Jumper.,51,37
11:21,2752,RaShid Gaston Defensive Rebound.,51,37
11:19,2752,Trevon Bluiett missed Three Point Jumper.,51,37
11:19,2460,Jeremy Morgan Defensive Rebound.,51,37
10:54,2752,Trevon Bluiett missed Three Point Jumper.,51,37
10:51,2460,Jeremy Morgan Block.,51,37
10:51,2752,RaShid Gaston Offensive Rebound.,51,37
10:49,2752,RaShid Gaston missed Layup.,51,37
10:49,2460,Northern Iowa Defensive Rebound.,51,37
10:49,2752,Foul on RaShid Gaston.,51,37
10:49,2460,Spencer Haldeman missed Free Throw.,51,37
10:49,2460,Northern Iowa Deadball Team Rebound.,51,37
10:49,2460,Spencer Haldeman made Free Throw.,51,38
10:33,2752,Edmond Sumner made Layup.,53,38
9:51,2460,Foul on Spencer Haldeman.,53,38
9:50,2460,Jeremy Morgan made Free Throw.,54,39
9:50,2752,Edmond Sumner made Free Throw.,54,38
9:50,2460,Jeremy Morgan made Free Throw.,54,40
9:21,2752,Foul on Malcolm Bernard.,54,40
9:04,2752,Trevon Bluiett Turnover.,54,40
9:03,2460,Jeremy Morgan Steal.,54,40
8:54,2460,Bennett Koch made Layup. Assisted by Juwan McCloud.,54,42
8:33,2752,Trevon Bluiett missed Three Point Jumper.,54,42
8:33,2460,Bennett Koch Defensive Rebound.,54,42
8:19,2460,Bennett Koch Turnover.,54,42
8:17,2752,Quentin Goodin Steal.,54,42
8:13,2752,Quentin Goodin made Layup.,56,42
7:54,2752,Foul on Malcolm Bernard.,56,42
7:54,2460,Official TV Timeout,56,42
7:54,2460,Klint Carlson missed Free Throw.,56,42
7:54,2460,Northern Iowa Deadball Team Rebound.,56,42
7:54,2460,Klint Carlson made Free Throw.,56,43
7:40,2752,Sean O'Mara missed Layup.,56,43
7:40,2460,Jeremy Morgan Block.,56,43
7:37,2460,Klint Carlson Defensive Rebound.,56,43
7:25,2460,Jeremy Morgan missed Three Point Jumper.,56,43
7:25,2460,Jeremy Morgan Offensive Rebound.,56,43
7:15,2460,Jeremy Morgan missed Layup.,56,43
7:15,2752,Sean O'Mara Defensive Rebound.,56,43
6:46,2752,Trevon Bluiett missed Jumper.,56,43
6:46,2460,Juwan McCloud Defensive Rebound.,56,43
6:26,2460,Bennett Koch Turnover.,56,43
6:08,2752,Edmond Sumner Turnover.,56,43
6:08,2752,Foul on Edmond Sumner.,56,43
5:53,2460,Juwan McCloud missed Three Point Jumper.,56,43
5:53,2460,Jeremy Morgan Offensive Rebound.,56,43
5:47,2752,Foul on Trevon Bluiett.,56,43
5:47,2460,Bennett Koch made Free Throw.,56,44
5:47,2460,Bennett Koch made Free Throw.,56,45
5:17,2752,Malcolm Bernard missed Three Point Jumper.,56,45
5:17,2752,Xavier Offensive Rebound.,56,45
5:16,2752,Xavier  Turnover.,56,45
5:06,2752,Foul on J.P. Macura.,56,45
5:06,2460,Wyatt Lohaus missed Free Throw.,56,45
5:06,2460,Northern Iowa Deadball Team Rebound.,56,45
5:06,2460,Wyatt Lohaus made Free Throw.,56,46
4:46,2752,Trevon Bluiett missed Layup.,56,46
4:46,2752,Tyrique Jones Offensive Rebound.,56,46
4:42,2752,Tyrique Jones missed Two Point Tip Shot.,56,46
4:42,2460,Klint Carlson Defensive Rebound.,56,46
4:28,2460,Bennett Koch Turnover.,56,46
4:25,2752,Xavier  Timeout,56,46
4:16,2752,Tyrique Jones made Dunk. Assisted by Trevon Bluiett.,58,46
3:52,2460,Klint Carlson missed Three Point Jumper.,58,46
3:52,2752,RaShid Gaston Defensive Rebound.,58,46
3:32,2752,Malcolm Bernard Turnover.,58,46
3:31,2460,Wyatt Lohaus Steal.,58,46
3:20,2460,Jordan Ashton made Layup.,58,48
2:49,2752,J.P. Macura missed Three Point Jumper.,58,48
2:49,2460,Jordan Ashton Defensive Rebound.,58,48
2:40,2460,Juwan McCloud missed Layup.,58,48
2:40,2752,RaShid Gaston Block.,58,48
2:40,2752,RaShid Gaston Defensive Rebound.,58,48
2:18,2752,Edmond Sumner Turnover.,58,48
2:16,2460,Juwan McCloud Steal.,58,48
2:09,2460,Juwan McCloud made Layup.,58,50
1:50,2752,Edmond Sumner missed Jumper.,58,50
1:50,2460,Jeremy Morgan Defensive Rebound.,58,50
1:35,2460,Jordan Ashton made Three Point Jumper. Assisted by Juwan McCloud.,58,53
1:23,2752,Xavier  Timeout,58,53
1:02,2460,Foul on Wyatt Lohaus.,58,53
0:59,2460,Foul on Juwan McCloud.,58,53
0:57,2460,Foul on Jeremy Morgan.,58,53
0:57,2752,Trevon Bluiett made Free Throw.,59,53
0:57,2752,Trevon Bluiett made Free Throw.,60,53
0:52,2460,Juwan McCloud Turnover.,60,53
0:51,2752,J.P. Macura Steal.,60,53
0:49,2460,Foul on Jordan Ashton.,60,53
0:49,2460,Klint Carlson Defensive Rebound.,60,53
0:40,2460,Klint Carlson missed Three Point Jumper.,60,53
0:40,2752,RaShid Gaston Defensive Rebound.,60,53
0:39,2460,Foul on Jeremy Morgan.,60,53
0:39,2752,RaShid Gaston made Free Throw.,61,53
0:39,2752,RaShid Gaston made Free Throw.,62,53
0:34,2460,Jordan Ashton made Three Point Jumper. Assisted by Jeremy Morgan.,62,56
0:32,2460,Foul on Spencer Haldeman.,62,56
0:32,2752,J.P. Macura made Free Throw.,63,56
0:32,2752,J.P. Macura made Free Throw.,64,56
0:25,2460,Klint Carlson made Three Point Jumper. Assisted by Jeremy Morgan.,64,59
0:24,2460,Northern Iowa  Timeout,64,59
0:20,2460,Foul on Jeremy Morgan.,64,59
0:20,2752,Trevon Bluiett made Free Throw.,65,59
0:20,2752,Trevon Bluiett missed Free Throw.,65,59
0:20,2460,Jordan Ashton Defensive Rebound.,65,59
0:09,2460,Jeremy Morgan missed Three Point Jumper.,65,59
0:09,2752,Trevon Bluiett Defensive Rebound.,65,59
0:06,2460,Foul on Klint Carlson.,65,59
0:06,2752,Trevon Bluiett made Free Throw.,66,59
0:06,2752,Trevon Bluiett made Free Throw.,67,59
0:01,2460,Spencer Haldeman missed Three Point Jumper.,67,59
0:01,2752,Edmond Sumner Defensive Rebound.,67,59
0:00,2752,J.P. Macura missed Free Throw.,67,59
0:00,2752,Xavier Deadball Team Rebound.,67,59
0:00,2460,End of Game,67,59
