Long Beach State,26,UCLA,299
5:57,299,Loren Jackson made Free Throw.,23,35
5:57,299,Loren Jackson made Free Throw.,24,35
5:48,26,Lonzo Ball made Three Point Jumper.,24,38
5:23,299,Justin Bibbins missed Three Point Jumper.,24,38
5:23,26,Isaac Hamilton Defensive Rebound.,24,38
5:14,26,Lonzo Ball missed Jumper.,24,38
5:14,26,UCLA Offensive Rebound.,24,38
5:10,26,Isaac Hamilton missed Three Point Jumper.,24,38
5:10,299,Roschon Prince Defensive Rebound.,24,38
4:50,299,Roschon Prince made Jumper. Assisted by Noah Blackwell.,26,38
4:33,26,Aaron Holiday made Layup.,26,40
4:21,299,Justin Bibbins made Three Point Jumper.,29,40
4:00,26,Lonzo Ball made Dunk. Assisted by Isaac Hamilton.,29,42
3:38,299,Evan Payne missed Three Point Jumper.,29,42
3:38,26,Isaac Hamilton Defensive Rebound.,29,42
3:34,299,Foul on Evan Payne.,29,42
3:34,26,Official TV Timeout,29,42
3:19,26,Thomas Welsh missed Jumper.,29,42
3:19,26,Thomas Welsh Offensive Rebound.,29,42
3:13,26,Thomas Welsh made Jumper. Assisted by Lonzo Ball.,29,44
2:44,299,Gabe Levin Turnover.,29,44
2:31,26,Isaac Hamilton missed Three Point Jumper.,29,44
2:31,299,Justin Bibbins Defensive Rebound.,29,44
2:23,299,Javonntie Jackson Turnover.,29,44
2:12,26,Bryce Alford made Three Point Jumper. Assisted by Lonzo Ball.,29,47
2:07,299,Long Beach St  Timeout,29,47
1:52,299,Noah Blackwell made Three Point Jumper. Assisted by Gabe Levin.,32,47
1:34,26,Bryce Alford made Three Point Jumper. Assisted by Isaac Hamilton.,32,50
1:20,299,Noah Blackwell Turnover.,32,50
1:19,26,Bryce Alford Steal.,32,50
1:12,26,Lonzo Ball missed Three Point Jumper.,32,50
1:12,299,Gabe Levin Defensive Rebound.,32,50
1:06,299,Noah Blackwell made Three Point Jumper. Assisted by Justin Bibbins.,35,50
1:03,26,UCLA  Timeout,35,50
0:40,26,Thomas Welsh made Layup.,35,52
0:38,299,Gabe Levin missed Layup.,35,52
0:38,26,Thomas Welsh Block.,35,52
0:35,299,Long Beach St Offensive Rebound.,35,52
0:29,299,Justin Bibbins Turnover.,35,52
0:27,26,Lonzo Ball made Dunk.,35,54
0:19,299,Loren Jackson made Jumper.,37,54
0:02,299,Foul on Noah Blackwell.,37,54
0:02,26,Lonzo Ball made Free Throw.,37,55
0:02,26,Lonzo Ball made Free Throw.,37,56
0:00,26,End of 1st half,37,56
19:42,299,Noah Blackwell missed Jumper.,37,56
19:42,26,TJ Leaf Defensive Rebound.,37,56
19:26,26,TJ Leaf missed Layup.,37,56
19:26,299,Temidayo Yussuf Block.,37,56
19:23,26,TJ Leaf Offensive Rebound.,37,56
19:21,26,TJ Leaf made Layup.,37,58
19:05,299,Jordan Griffin missed Layup.,37,58
19:05,26,Thomas Welsh Defensive Rebound.,37,58
18:56,26,TJ Leaf made Three Point Jumper. Assisted by Isaac Hamilton.,37,61
18:38,299,Noah Blackwell made Three Point Jumper. Assisted by Temidayo Yussuf.,40,61
18:36,299,Long Beach St  Timeout,40,61
18:18,26,TJ Leaf made Layup.,40,63
18:04,26,Foul on Thomas Welsh.,40,63
18:04,299,Gabe Levin missed Free Throw.,40,63
18:04,299,Long Beach St Deadball Team Rebound.,40,63
18:04,299,Gabe Levin made Free Throw.,41,63
18:00,26,Bryce Alford made Three Point Jumper. Assisted by Lonzo Ball.,41,66
17:40,299,Noah Blackwell missed Jumper.,41,66
17:40,26,Thomas Welsh Defensive Rebound.,41,66
17:28,26,Isaac Hamilton made Three Point Jumper. Assisted by Bryce Alford.,41,69
17:11,26,Foul on TJ Leaf.,41,69
17:08,299,Jordan Griffin made Layup. Assisted by Temidayo Yussuf.,43,69
16:54,26,Bryce Alford missed Three Point Jumper.,43,69
16:54,299,Gabe Levin Defensive Rebound.,43,69
16:45,299,Justin Bibbins made Jumper.,45,69
16:12,26,Thomas Welsh made Dunk.,45,71
16:03,299,Gabe Levin Turnover.,45,71
15:50,26,Bryce Alford missed Layup.,45,71
15:50,26,Thomas Welsh Offensive Rebound.,45,71
15:47,26,Thomas Welsh made Two Point Tip Shot.,45,73
15:41,299,Jordan Griffin made Three Point Jumper. Assisted by Justin Bibbins.,48,73
15:31,299,Foul on Temidayo Yussuf.,48,73
15:31,26,Official TV Timeout,48,73
15:31,26,TJ Leaf made Free Throw.,48,74
15:31,26,TJ Leaf made Free Throw.,48,75
15:05,299,Noah Blackwell missed Three Point Jumper.,48,75
15:05,26,Aaron Holiday Defensive Rebound.,48,75
14:56,299,Foul on Justin Bibbins.,48,75
14:54,26,Isaac Hamilton made Three Point Jumper. Assisted by Lonzo Ball.,48,78
14:41,299,Justin Bibbins Turnover.,48,78
14:40,26,TJ Leaf Steal.,48,78
14:37,299,Foul on Justin Bibbins.,48,78
14:25,26,Aaron Holiday made Jumper.,48,80
14:12,299,Loren Jackson Turnover.,48,80
14:11,26,Isaac Hamilton Steal.,48,80
14:09,26,Isaac Hamilton made Layup.,48,82
13:55,299,Gabe Levin made Layup.,50,82
13:54,299,Long Beach St  Timeout,50,82
13:45,299,Foul on Loren Jackson.,50,82
13:42,26,Isaac Hamilton made Three Point Jumper. Assisted by Aaron Holiday.,50,85
13:16,299,Gabe Levin missed Three Point Jumper.,50,85
13:16,26,Thomas Welsh Defensive Rebound.,50,85
13:10,299,Foul on Gabe Levin.,50,85
13:03,26,Aaron Holiday made Layup.,50,87
12:54,299,Javonntie Jackson Turnover.,50,87
12:52,26,Aaron Holiday Steal.,50,87
12:49,26,TJ Leaf missed Layup.,50,87
12:49,299,Gabe Levin Defensive Rebound.,50,87
12:39,299,Jordan Griffin made Three Point Jumper. Assisted by Loren Jackson.,53,87
12:23,26,TJ Leaf made Layup.,53,89
12:23,299,Foul on Javonntie Jackson.,53,89
12:23,26,TJ Leaf made Free Throw.,53,90
12:10,299,Loren Jackson missed Layup.,53,90
12:10,26,Thomas Welsh Defensive Rebound.,53,90
12:04,26,Gyorgy Goloman missed Layup.,53,90
12:04,299,Gabe Levin Block.,53,90
12:01,299,Jordan Griffin Defensive Rebound.,53,90
11:54,299,Loren Jackson missed Three Point Jumper.,53,90
11:54,26,Gyorgy Goloman Defensive Rebound.,53,90
11:42,299,Foul on Loren Jackson.,53,90
11:42,26,Official TV Timeout,53,90
11:42,26,Aaron Holiday made Free Throw.,53,91
11:42,26,Aaron Holiday made Free Throw.,53,92
11:23,299,Noah Blackwell Turnover.,53,92
11:22,26,Lonzo Ball Steal.,53,92
11:19,26,Bryce Alford missed Layup.,53,92
11:19,299,Noah Blackwell Block.,53,92
11:19,26,UCLA Offensive Rebound.,53,92
11:17,26,Thomas Welsh made Jumper. Assisted by Lonzo Ball.,53,94
11:07,26,Foul on Thomas Welsh.,53,94
10:58,26,Foul on Gyorgy Goloman.,53,94
10:58,299,LaRond Williams made Free Throw.,54,94
10:58,299,LaRond Williams missed Free Throw.,54,94
10:58,26,Thomas Welsh Defensive Rebound.,54,94
10:53,26,Lonzo Ball made Dunk. Assisted by Bryce Alford.,54,96
10:31,299,Noah Blackwell made Three Point Jumper. Assisted by Loren Jackson.,57,96
10:15,26,Thomas Welsh missed Jumper.,57,96
10:15,299,LaRond Williams Defensive Rebound.,57,96
9:48,299,Roschon Prince made Layup. Assisted by Loren Jackson.,59,96
9:48,26,Foul on Thomas Welsh.,59,96
9:48,299,Roschon Prince made Free Throw.,60,96
9:39,26,Aaron Holiday missed Three Point Jumper.,60,96
9:39,299,Justin Bibbins Defensive Rebound.,60,96
9:32,299,Evan Payne made Layup. Assisted by Justin Bibbins.,62,96
9:16,26,TJ Leaf missed Jumper.,62,96
9:16,299,Loren Jackson Defensive Rebound.,62,96
8:59,299,Justin Bibbins missed Jumper.,62,96
8:59,299,Roschon Prince Offensive Rebound.,62,96
8:54,299,Loren Jackson missed Jumper.,62,96
8:54,26,TJ Leaf Defensive Rebound.,62,96
8:48,26,Lonzo Ball made Layup. Assisted by TJ Leaf.,62,98
8:19,26,Foul on TJ Leaf.,62,98
8:18,299,LaRond Williams made Free Throw.,63,98
8:18,299,LaRond Williams missed Free Throw.,63,98
8:18,26,TJ Leaf Defensive Rebound.,63,98
8:01,26,Aaron Holiday made Jumper. Assisted by Bryce Alford.,63,100
7:37,299,LaRond Williams Turnover.,63,100
7:36,26,Bryce Alford Steal.,63,100
7:31,26,Gyorgy Goloman made Dunk. Assisted by Aaron Holiday.,63,102
7:15,299,Justin Bibbins Turnover.,63,102
7:13,26,Aaron Holiday Steal.,63,102
7:10,26,Lonzo Ball made Dunk. Assisted by Aaron Holiday.,63,104
7:00,299,Long Beach St  Timeout,63,104
7:00,26,Official TV Timeout,63,104
6:34,299,Loren Jackson made Jumper.,65,104
6:15,299,Foul on Roschon Prince.,65,104
6:15,26,Gyorgy Goloman made Free Throw.,65,105
6:15,26,Gyorgy Goloman made Free Throw.,65,106
5:46,299,Evan Payne missed Jumper.,65,106
5:46,26,UCLA Deadball Team Rebound.,65,106
5:38,26,Bryce Alford Turnover.,65,106
5:16,26,Foul on Gyorgy Goloman.,65,106
5:16,299,Roschon Prince missed Free Throw.,65,106
5:16,299,Long Beach St Deadball Team Rebound.,65,106
5:16,299,Roschon Prince made Free Throw.,66,106
4:58,26,Isaac Hamilton missed Jumper.,66,106
4:58,299,Gabe Levin Defensive Rebound.,66,106
4:43,299,Roschon Prince Turnover.,66,106
4:42,26,Bryce Alford Steal.,66,106
4:39,26,Foul on Bryce Alford.,66,106
4:39,26,Bryce Alford Turnover.,66,106
4:27,299,Gabe Levin Turnover.,66,106
4:26,26,Bryce Alford Steal.,66,106
4:20,26,Aaron Holiday made Jumper.,66,108
4:03,299,Roschon Prince made Dunk. Assisted by Gabe Levin.,68,108
3:49,26,Isaac Hamilton missed Jumper.,68,108
3:49,299,Gabe Levin Defensive Rebound.,68,108
3:41,299,Evan Payne missed Three Point Jumper.,68,108
3:41,26,Ikenna Okwarabizie Defensive Rebound.,68,108
3:22,26,Gyorgy Goloman made Layup.,68,110
3:15,26,Foul on Ikenna Okwarabizie.,68,110
3:15,26,Official TV Timeout,68,110
3:15,299,Roschon Prince made Free Throw.,69,110
3:15,299,Roschon Prince made Free Throw.,70,110
2:51,26,Jerrold Smith made Layup.,70,112
2:24,299,Loren Jackson made Jumper.,72,112
2:24,26,Foul on Alec Wulff.,72,112
2:24,299,Loren Jackson missed Free Throw.,72,112
2:24,26,Ikenna Okwarabizie Defensive Rebound.,72,112
1:54,26,Alec Wulff missed Three Point Jumper.,72,112
1:54,299,Anson Moye Defensive Rebound.,72,112
1:47,26,Foul on Jerrold Smith.,72,112
1:47,299,Loren Jackson missed Free Throw.,72,112
1:47,299,Long Beach St Deadball Team Rebound.,72,112
1:47,299,Loren Jackson made Free Throw.,73,112
1:38,26,Jerrold Smith Turnover.,73,112
1:36,299,Loren Jackson Steal.,73,112
1:35,299,Loren Jackson made Layup.,75,112
1:14,26,Jerrold Smith made Jumper.,75,114
1:03,299,Barry Ogalue Turnover.,75,114
0:45,26,Ikenna Okwarabizie Turnover.,75,114
0:44,299,Alex Rifkind Steal.,75,114
0:39,299,Alex Rifkind missed Three Point Jumper.,75,114
0:39,299,Quentin Shropshire Offensive Rebound.,75,114
0:29,299,Quentin Shropshire made Jumper. Assisted by Barry Ogalue.,77,114
0:00,26,End of Game,77,114
