Northern Kentucky,193,Miami (OH),94
6:58,94,Drew McDonald made Layup. Assisted by Jalen Tate.,20,21
6:46,193,Jake Wright made Three Point Jumper. Assisted by Zach McCormick.,20,24
6:22,94,Jeff Garrett Turnover.,20,24
6:21,193,Zach McCormick Steal.,20,24
5:53,193,Zach McCormick missed Three Point Jumper.,20,24
5:53,94,Lavone Holland II Defensive Rebound.,20,24
5:48,94,Foul on Jeff Garrett.,20,24
5:48,94,Jeff Garrett Turnover.,20,24
5:32,193,Darius Harper missed Layup.,20,24
5:32,94,Drew McDonald Defensive Rebound.,20,24
5:22,94,Lavone Holland II made Three Point Jumper.,23,24
4:57,193,Dion Wade missed Jumper.,23,24
4:57,94,Northern Kentucky Defensive Rebound.,23,24
4:55,193,Foul on Dion Wade.,23,24
4:36,94,Lavone Holland II made Three Point Jumper. Assisted by Drew McDonald.,26,24
4:24,193,Michael Weathers Turnover.,26,24
3:56,193,Foul on Marcus Weathers.,26,24
3:56,193,Official TV Timeout,26,24
3:56,94,Jordan Garnett made Free Throw.,27,24
3:56,94,Jordan Garnett made Free Throw.,28,24
3:28,193,Marcus Weathers missed Three Point Jumper.,28,24
3:28,94,Drew McDonald Defensive Rebound.,28,24
3:15,94,Drew McDonald made Layup. Assisted by Jordan Garnett.,30,24
2:54,94,Foul on Brandon Maxwell.,30,24
2:54,193,Michael Weathers made Free Throw.,30,25
2:54,193,Michael Weathers made Free Throw.,30,26
2:43,94,Lavone Holland II made Jumper.,32,26
2:25,193,Dion Wade Turnover.,32,26
2:16,94,Lavone Holland II missed Layup.,32,26
2:16,193,Miami (OH) Defensive Rebound.,32,26
2:15,94,Foul on Carson Williams.,32,26
2:15,193,Rod Mills Jr. made Free Throw.,32,27
2:15,193,Rod Mills Jr. made Free Throw.,32,28
2:03,94,Drew McDonald missed Three Point Jumper.,32,28
2:03,193,Dion Wade Defensive Rebound.,32,28
1:52,193,Michael Weathers missed Layup.,32,28
1:52,94,Lavone Holland II Block.,32,28
1:49,94,Drew McDonald Defensive Rebound.,32,28
1:43,94,Foul on Drew McDonald.,32,28
1:43,94,Drew McDonald Turnover.,32,28
1:26,193,Michael Weathers Turnover.,32,28
1:25,94,Drew McDonald Steal.,32,28
1:19,94,Drew McDonald missed Layup.,32,28
1:19,193,Ben Eke Kazee Block.,32,28
1:17,94,Drew McDonald Offensive Rebound.,32,28
1:14,193,Foul on Rod Mills Jr..,32,28
1:14,94,Carson Williams made Free Throw.,33,28
1:14,94,Carson Williams made Free Throw.,34,28
1:00,193,Rod Mills Jr. Turnover.,34,28
0:45,94,Lavone Holland II missed Jumper.,34,28
0:45,193,Dion Wade Defensive Rebound.,34,28
0:33,193,Miami (OH)  Timeout,34,28
0:18,193,Michael Weathers missed Jumper.,34,28
0:18,94,Jordan Garnett Defensive Rebound.,34,28
0:01,94,Lavone Holland II missed Jumper.,34,28
0:01,193,Dion Wade Block.,34,28
0:01,94,Northern Kentucky Offensive Rebound.,34,28
0:00,193,End of 1st half,34,28
19:48,94,Carson Williams made Layup. Assisted by Drew McDonald.,36,28
19:17,94,Foul on Drew McDonald.,36,28
19:17,193,Michael Weathers made Free Throw.,36,29
19:17,193,Michael Weathers made Free Throw.,36,30
18:54,193,Foul on Darius Harper.,36,30
18:54,94,Jalen Tate missed Free Throw.,36,30
18:54,94,Northern Kentucky Deadball Team Rebound.,36,30
18:54,94,Jalen Tate made Free Throw.,37,30
18:46,193,Jake Wright missed Three Point Jumper.,37,30
18:46,94,Lavone Holland II Defensive Rebound.,37,30
18:34,94,Drew McDonald missed Jumper.,37,30
18:34,193,Abdoulaye Harouna Defensive Rebound.,37,30
18:27,94,Foul on Jalen Tate.,37,30
18:27,193,Abdoulaye Harouna made Free Throw.,37,31
18:27,193,Abdoulaye Harouna made Free Throw.,37,32
18:18,94,Foul on Drew McDonald.,37,32
18:18,94,Drew McDonald Turnover.,37,32
18:09,94,Foul on Jalen Tate.,37,32
18:05,193,Rod Mills Jr. Turnover.,37,32
17:58,193,Foul on Jake Wright.,37,32
17:54,94,Jeff Garrett missed Layup.,37,32
17:54,94,Jeff Garrett Offensive Rebound.,37,32
17:50,193,Foul on Darius Harper.,37,32
17:50,94,Jeff Garrett missed Free Throw.,37,32
17:50,94,Northern Kentucky Deadball Team Rebound.,37,32
17:50,94,Jeff Garrett made Free Throw.,38,32
17:24,193,Rod Mills Jr. Turnover.,38,32
17:24,94,Carson Williams Steal.,38,32
17:24,94,Northern Kentucky  Timeout,38,32
17:11,193,Foul on Rod Mills Jr..,38,32
16:52,94,Brandon Maxwell Turnover.,38,32
16:52,193,Abdoulaye Harouna Steal.,38,32
16:32,94,Foul on Lavone Holland II.,38,32
16:18,193,Michael Weathers missed Jumper.,38,32
16:18,94,Brandon Maxwell Defensive Rebound.,38,32
15:50,94,Drew McDonald Turnover.,38,32
15:48,193,Abdoulaye Harouna Steal.,38,32
15:34,193,Rod Mills Jr. missed Three Point Jumper.,38,32
15:34,193,Dion Wade Offensive Rebound.,38,32
15:31,193,Dion Wade made Layup.,38,34
15:18,94,Lavone Holland II missed Three Point Jumper.,38,34
15:18,193,Abdoulaye Harouna Defensive Rebound.,38,34
14:48,193,Michael Weathers made Three Point Jumper.,38,37
14:21,94,Drew McDonald made Three Point Jumper. Assisted by Lavone Holland II.,41,37
14:12,193,Abdoulaye Harouna missed Three Point Jumper.,41,37
14:12,193,Dion Wade Offensive Rebound.,41,37
14:09,193,Dion Wade made Jumper.,41,39
13:58,94,Drew McDonald missed Layup.,41,39
13:58,193,Michael Weathers Block.,41,39
13:56,94,Drew McDonald Offensive Rebound.,41,39
13:51,94,Cole Murray made Three Point Jumper.,44,39
13:31,193,Michael Weathers Turnover.,44,39
13:30,94,Lavone Holland II Steal.,44,39
13:20,94,Brandon Maxwell missed Three Point Jumper.,44,39
13:20,193,Marcus Weathers Defensive Rebound.,44,39
13:18,94,Foul on Jordan Garnett.,44,39
13:18,193,Official TV Timeout,44,39
12:57,193,Darius Harper made Layup.,44,41
12:38,94,Drew McDonald missed Jumper.,44,41
12:38,193,Marcus Weathers Block.,44,41
12:38,94,Northern Kentucky Offensive Rebound.,44,41
12:33,94,Cole Murray made Layup. Assisted by Lavone Holland II.,46,41
12:02,193,Jake Wright missed Three Point Jumper.,46,41
12:02,94,Drew McDonald Defensive Rebound.,46,41
11:52,94,Lavone Holland II missed Layup.,46,41
11:52,193,Dion Wade Defensive Rebound.,46,41
11:20,193,Milos Jovic missed Three Point Jumper.,46,41
11:20,193,Marcus Weathers Offensive Rebound.,46,41
11:20,193,Official TV Timeout,46,41
11:20,94,Foul on Jordan Garnett.,46,41
11:20,193,Marcus Weathers made Free Throw.,46,42
11:20,193,Marcus Weathers missed Free Throw.,46,42
11:20,94,Jalen Tate Defensive Rebound.,46,42
11:07,94,Drew McDonald made Layup. Assisted by Cole Murray.,48,42
10:51,193,Michael Weathers missed Layup.,48,42
10:51,193,Michael Weathers Offensive Rebound.,48,42
10:46,94,Foul on Blake Spellman.,48,42
10:46,193,Jake Wright missed Free Throw.,48,42
10:46,94,Cole Murray Defensive Rebound.,48,42
10:36,94,Jeff Garrett missed Three Point Jumper.,48,42
10:36,193,Michael Weathers Defensive Rebound.,48,42
10:29,193,Jake Wright missed Three Point Jumper.,48,42
10:29,94,Jordan Garnett Defensive Rebound.,48,42
10:14,94,Drew McDonald made Jumper.,50,42
9:59,193,Jake Wright made Three Point Jumper. Assisted by Michael Weathers.,50,45
9:39,94,Blake Spellman missed Three Point Jumper.,50,45
9:39,94,Drew McDonald Offensive Rebound.,50,45
9:37,94,Drew McDonald missed Jumper.,50,45
9:37,193,Michael Weathers Block.,50,45
9:36,193,Michael Weathers Defensive Rebound.,50,45
9:31,193,Michael Weathers made Layup.,50,47
9:17,193,Foul on Michael Weathers.,50,47
9:07,94,Cole Murray made Three Point Jumper. Assisted by Lavone Holland II.,53,47
8:47,193,Darius Harper missed Layup.,53,47
8:47,94,Lavone Holland II Defensive Rebound.,53,47
8:39,94,Blake Spellman Turnover.,53,47
8:29,193,Michael Weathers missed Layup.,53,47
8:29,94,Lavone Holland II Defensive Rebound.,53,47
8:16,94,Cole Murray made Three Point Jumper. Assisted by Jordan Garnett.,56,47
7:52,193,Rod Mills Jr. Turnover.,56,47
7:51,193,Official TV Timeout,56,47
7:32,193,Foul on Michael Weathers.,56,47
7:08,94,Lavone Holland II missed Layup.,56,47
7:08,193,Michael Weathers Defensive Rebound.,56,47
6:59,193,Marcus Weathers missed Layup.,56,47
6:59,94,Blake Spellman Defensive Rebound.,56,47
6:44,94,Cole Murray missed Three Point Jumper.,56,47
6:44,193,Miami (OH) Defensive Rebound.,56,47
6:33,193,Dion Wade made Layup. Assisted by Abdoulaye Harouna.,56,49
6:12,94,Lavone Holland II made Layup.,58,49
6:12,193,Foul on Dion Wade.,58,49
6:12,94,Lavone Holland II missed Free Throw.,58,49
6:12,193,Marcus Weathers Defensive Rebound.,58,49
6:06,193,Abdoulaye Harouna missed Three Point Jumper.,58,49
6:06,193,Dion Wade Offensive Rebound.,58,49
6:03,94,Foul on Drew McDonald.,58,49
6:03,193,Dion Wade missed Free Throw.,58,49
6:03,94,Drew McDonald Defensive Rebound.,58,49
5:54,94,Lavone Holland II missed Jumper.,58,49
5:54,193,Marcus Weathers Defensive Rebound.,58,49
5:36,193,Michael Weathers missed Jumper.,58,49
5:36,94,Lavone Holland II Block.,58,49
5:36,94,Northern Kentucky Defensive Rebound.,58,49
5:24,94,Foul on Lavone Holland II.,58,49
5:24,193,Michael Weathers missed Free Throw.,58,49
5:24,193,Miami (OH) Deadball Team Rebound.,58,49
5:24,193,Michael Weathers made Free Throw.,58,50
5:01,94,Lavone Holland II made Three Point Jumper.,61,50
4:39,193,Jake Wright made Three Point Jumper.,61,53
4:35,193,Miami (OH)  Timeout,61,53
4:21,94,Drew McDonald missed Layup.,61,53
4:21,193,Marcus Weathers Block.,61,53
4:20,193,Abdoulaye Harouna Defensive Rebound.,61,53
4:14,94,Foul on Cole Murray.,61,53
4:14,193,Michael Weathers made Free Throw.,61,54
4:14,193,Michael Weathers made Free Throw.,61,55
3:55,94,Drew McDonald Turnover.,61,55
3:54,193,Michael Weathers Steal.,61,55
3:52,193,Michael Weathers made Dunk.,61,57
3:44,94,Northern Kentucky  Timeout,61,57
3:44,193,Official TV Timeout,61,57
3:34,94,Cole Murray missed Three Point Jumper.,61,57
3:34,193,Marcus Weathers Defensive Rebound.,61,57
3:26,193,Michael Weathers Turnover.,61,57
3:25,94,Jalen Tate Steal.,61,57
3:21,193,Foul on Michael Weathers.,61,57
3:21,94,Lavone Holland II made Free Throw.,62,57
3:21,94,Lavone Holland II made Free Throw.,63,57
2:59,193,Jake Wright missed Jumper.,63,57
2:59,193,Dion Wade Offensive Rebound.,63,57
2:54,94,Foul on Lavone Holland II.,63,57
2:54,193,Dion Wade made Free Throw.,63,58
2:54,193,Dion Wade made Free Throw.,63,59
2:42,94,Cole Murray missed Three Point Jumper.,63,59
2:42,193,Marcus Weathers Defensive Rebound.,63,59
2:29,193,Jake Wright missed Three Point Jumper.,63,59
2:29,94,Cole Murray Defensive Rebound.,63,59
2:05,94,Lavone Holland II made Layup. Assisted by Drew McDonald.,65,59
1:57,193,Miami (OH)  Timeout,65,59
1:53,94,Foul on Jalen Tate.,65,59
1:53,193,Michael Weathers made Free Throw.,65,60
1:53,193,Michael Weathers made Free Throw.,65,61
1:37,94,Drew McDonald made Jumper.,67,61
1:04,193,Abdoulaye Harouna missed Three Point Jumper.,67,61
1:04,94,Jordan Garnett Defensive Rebound.,67,61
0:56,94,Northern Kentucky  Timeout,67,61
0:56,193,Foul on Abdoulaye Harouna.,67,61
0:56,94,Lavone Holland II made Free Throw.,68,61
0:56,94,Lavone Holland II made Free Throw.,69,61
0:45,193,Abdoulaye Harouna made Layup.,69,63
0:44,193,Miami (OH)  Timeout,69,63
0:42,193,Foul on Dion Wade.,69,63
0:42,94,Drew McDonald missed Free Throw.,69,63
0:42,94,Northern Kentucky Deadball Team Rebound.,69,63
0:42,94,Drew McDonald made Free Throw.,70,63
0:31,193,Abdoulaye Harouna missed Jumper.,70,63
0:31,94,Cole Murray Block.,70,63
0:30,94,Northern Kentucky Defensive Rebound.,70,63
0:27,193,Foul on Abdoulaye Harouna.,70,63
0:27,94,Drew McDonald made Free Throw.,71,63
0:27,94,Drew McDonald made Free Throw.,72,63
0:19,193,Michael Weathers made Layup.,72,65
0:17,193,Foul on Jake Wright.,72,65
0:17,94,Lavone Holland II made Free Throw.,73,65
0:17,94,Lavone Holland II made Free Throw.,74,65
0:12,193,Michael Weathers made Layup.,74,67
0:09,193,Foul on Marcus Weathers.,74,67
0:09,94,Drew McDonald missed Free Throw.,74,67
0:09,94,Northern Kentucky Deadball Team Rebound.,74,67
0:09,94,Drew McDonald made Free Throw.,75,67
0:08,94,Foul on Jalen Tate.,75,67
0:08,193,Michael Weathers missed Free Throw.,75,67
0:08,193,Miami (OH) Deadball Team Rebound.,75,67
0:08,193,Michael Weathers made Free Throw.,75,68
0:07,193,Foul on Marcus Weathers.,75,68
0:07,94,Drew McDonald made Free Throw.,76,68
0:07,94,Drew McDonald made Free Throw.,77,68
0:02,193,Michael Weathers made Jumper.,77,70
0:01,193,Foul on Michael Weathers.,77,70
0:01,94,Jordan Garnett made Free Throw.,78,70
0:01,94,Jordan Garnett made Free Throw.,79,70
0:00,193,End of Game,79,70
