Sam Houston State,2635,Tennessee Tech,2534
11:12,2635,Aleksa Jugovic made Three Point Jumper. Assisted by Kajon Mack.,57,42
10:57,2534,Albert Almanza made Three Point Jumper. Assisted by Jovante' Spivey.,60,42
10:45,2635,JaCardo Hawkins made Layup. Assisted by Kajon Mack.,60,44
10:34,2534,Christopher Galbreath Jr. missed Jumper.,60,44
10:34,2635,JaCardo Hawkins Defensive Rebound.,60,44
10:23,2635,Mason Ramsey made Layup. Assisted by Stephaun Adams.,60,46
10:20,2635,Tennessee Tech  Timeout,60,46
9:55,2534,Jovante' Spivey missed Three Point Jumper.,60,46
9:55,2635,Aleksa Jugovic Defensive Rebound.,60,46
9:37,2534,Foul on Cameron Delaney.,60,46
9:33,2534,Foul on Albert Almanza.,60,46
9:30,2635,Stephaun Adams missed Three Point Jumper.,60,46
9:30,2635,Mason Ramsey Offensive Rebound.,60,46
9:27,2534,Foul on Torry Butler.,60,46
9:27,2635,Mason Ramsey made Free Throw.,60,47
9:27,2635,Mason Ramsey made Free Throw.,60,48
9:20,2534,John Dewey III Turnover.,60,48
9:01,2635,Mason Ramsey made Jumper.,60,50
9:01,2534,Foul on Aurimas Majauskas.,60,50
9:01,2635,Mason Ramsey made Free Throw.,60,51
8:54,2534,John Dewey III Turnover.,60,51
8:54,2635,Aleksa Jugovic Steal.,60,51
8:39,2635,Stephaun Adams missed Jumper.,60,51
8:39,2635,Tennessee Tech Offensive Rebound.,60,51
8:33,2635,JaCardo Hawkins made Dunk. Assisted by Stephaun Adams.,60,53
8:32,2534,Foul on Christopher Galbreath Jr..,60,53
8:32,2635,JaCardo Hawkins made Free Throw.,60,54
8:22,2534,Christopher Galbreath Jr. made Layup. Assisted by Jamal Williams.,62,54
7:45,2635,Stephaun Adams missed Jumper.,62,54
7:45,2534,Christopher Galbreath Jr. Defensive Rebound.,62,54
7:36,2635,Foul on Hakeem Rogers.,62,54
7:36,2635,Official TV Timeout,62,54
7:36,2534,Paul Baxter made Free Throw.,63,54
7:36,2534,Paul Baxter made Free Throw.,64,54
7:18,2635,Hakeem Rogers missed Three Point Jumper.,64,54
7:18,2534,Torry Butler Defensive Rebound.,64,54
7:08,2534,Christopher Galbreath Jr. missed Jumper.,64,54
7:08,2635,Courtney Alexander II Defensive Rebound.,64,54
6:54,2534,Foul on Torry Butler.,64,54
6:54,2635,Mason Ramsey made Free Throw.,64,55
6:54,2635,Mason Ramsey missed Free Throw.,64,55
6:54,2534,Aurimas Majauskas Defensive Rebound.,64,55
6:43,2534,Jamal Williams missed Layup.,64,55
6:43,2534,Christopher Galbreath Jr. Offensive Rebound.,64,55
6:38,2534,Christopher Galbreath Jr. made Layup. Assisted by Dakarai Henderson.,66,55
6:20,2635,Aleksa Jugovic made Three Point Jumper. Assisted by Courtney Alexander II.,66,58
6:11,2534,Dakarai Henderson made Three Point Jumper. Assisted by Jamal Williams.,69,58
5:55,2635,Hakeem Rogers missed Jumper.,69,58
5:55,2635,Courtney Alexander II Offensive Rebound.,69,58
5:54,2635,Courtney Alexander II missed Two Point Tip Shot.,69,58
5:54,2534,Paul Baxter Defensive Rebound.,69,58
5:33,2635,Tennessee Tech Defensive Rebound.,69,58
5:33,2534,Aurimas Majauskas missed Jumper.,69,58
5:16,2635,Aleksa Jugovic made Three Point Jumper. Assisted by Kajon Mack.,69,61
5:03,2534,Christopher Galbreath Jr. Turnover.,69,61
4:41,2635,Mason Ramsey made Jumper. Assisted by JaCardo Hawkins.,69,63
4:20,2534,Dakarai Henderson missed Jumper.,69,63
4:20,2635,Kajon Mack Defensive Rebound.,69,63
4:18,2534,Foul on Albert Almanza.,69,63
4:18,2635,Kajon Mack made Free Throw.,69,64
4:18,2635,Kajon Mack made Free Throw.,69,65
3:56,2534,Aurimas Majauskas made Layup. Assisted by Jamal Williams.,71,65
3:42,2635,Kajon Mack Turnover.,71,65
3:42,2534,Paul Baxter Steal.,71,65
3:39,2534,Paul Baxter made Dunk.,73,65
3:15,2635,JaCardo Hawkins missed Layup.,73,65
3:15,2534,Jamal Williams Defensive Rebound.,73,65
3:10,2635,Foul on Aleksa Jugovic.,73,65
3:10,2635,Official TV Timeout,73,65
3:10,2534,Paul Baxter made Free Throw.,74,65
3:10,2534,Paul Baxter missed Free Throw.,74,65
3:10,2635,Stephaun Adams Defensive Rebound.,74,65
2:57,2635,Aleksa Jugovic made Layup. Assisted by Stephaun Adams.,74,67
2:33,2534,Dakarai Henderson missed Three Point Jumper.,74,67
2:33,2635,JaCardo Hawkins Defensive Rebound.,74,67
2:14,2534,Foul on Aurimas Majauskas.,74,67
2:14,2635,Kajon Mack missed Free Throw.,74,67
2:14,2635,Tennessee Tech Deadball Team Rebound.,74,67
2:14,2635,Kajon Mack made Free Throw.,74,68
1:49,2534,Jamal Williams missed Jumper.,74,68
1:49,2635,Kajon Mack Defensive Rebound.,74,68
1:41,2635,Kajon Mack missed Three Point Jumper.,74,68
1:41,2534,Sam Houston St Defensive Rebound.,74,68
1:39,2635,Foul on Stephaun Adams.,74,68
1:39,2534,Paul Baxter made Free Throw.,75,68
1:39,2534,Paul Baxter made Free Throw.,76,68
1:29,2635,Stephaun Adams made Layup.,76,70
1:29,2534,Foul on Dakarai Henderson.,76,70
1:29,2635,Stephaun Adams made Free Throw.,76,71
1:07,2534,Christopher Galbreath Jr. Turnover.,76,71
1:07,2534,Foul on Christopher Galbreath Jr..,76,71
0:52,2635,Stephaun Adams missed Three Point Jumper.,76,71
0:52,2534,Christopher Galbreath Jr. Defensive Rebound.,76,71
0:45,2635,Foul on Kajon Mack.,76,71
0:45,2534,John Dewey III missed Free Throw.,76,71
0:45,2534,Sam Houston St Deadball Team Rebound.,76,71
0:45,2534,John Dewey III made Free Throw.,77,71
0:45,2534,Sam Houston St  Timeout,77,71
0:30,2635,Kajon Mack missed Three Point Jumper.,77,71
0:30,2635,JaCardo Hawkins Offensive Rebound.,77,71
0:27,2635,Stephaun Adams Offensive Rebound.,77,71
0:26,2635,Stephaun Adams missed Layup.,77,71
0:26,2534,Christopher Galbreath Jr. Defensive Rebound.,77,71
0:24,2635,Foul on JaCardo Hawkins.,77,71
0:24,2534,Christopher Galbreath Jr. missed Free Throw.,77,71
0:24,2534,Sam Houston St Deadball Team Rebound.,77,71
0:24,2534,Christopher Galbreath Jr. made Free Throw.,78,71
0:16,2635,Stephaun Adams missed Layup.,78,71
0:16,2534,Christopher Galbreath Jr. Defensive Rebound.,78,71
0:00,2635,End of Game,78,71
