Cincinnati,213,Penn State,2132
10:29,2132,Kyle Washington made Jumper.,16,9
10:06,213,Payton Banks missed Three Point Jumper.,16,9
10:06,2132,Kyle Washington Defensive Rebound.,16,9
9:56,2132,Gary Clark made Layup. Assisted by Kyle Washington.,18,9
9:41,213,Payton Banks missed Three Point Jumper.,18,9
9:41,2132,Jarron Cumberland Defensive Rebound.,18,9
9:32,2132,Troy Caupain missed Three Point Jumper.,18,9
9:32,213,Shep Garner Defensive Rebound.,18,9
9:29,213,Shep Garner Turnover.,18,9
9:09,2132,Kyle Washington made Layup.,20,9
8:46,2132,Foul on Gary Clark.,20,9
8:46,213,Mike Watkins made Free Throw.,20,10
8:46,213,Mike Watkins missed Free Throw.,20,10
8:46,2132,Kyle Washington Defensive Rebound.,20,10
8:46,2132,Kyle Washington Turnover.,20,10
8:42,213,Isaiah Washington Turnover.,20,10
8:37,2132,Troy Caupain made Layup. Assisted by Gary Clark.,22,10
8:37,213,Penn State  Timeout,22,10
8:24,213,Tony Carr missed Three Point Jumper.,22,10
8:24,2132,Troy Caupain Defensive Rebound.,22,10
8:08,2132,Troy Caupain Turnover.,22,10
7:51,213,Shep Garner missed Three Point Jumper.,22,10
7:51,2132,Cincinnati Defensive Rebound.,22,10
7:45,213,Official TV Timeout,22,10
7:28,213,Foul on Payton Banks.,22,10
7:23,2132,Kyle Washington made Layup. Assisted by Jarron Cumberland.,24,10
7:02,213,Terrence Samuel Turnover.,24,10
6:44,2132,Kyle Washington missed Jumper.,24,10
6:44,213,Julian Moore Defensive Rebound.,24,10
6:26,2132,Foul on Jacob Evans.,24,10
6:12,213,Julian Moore missed Jumper.,24,10
6:12,2132,Gary Clark Defensive Rebound.,24,10
6:02,2132,Jarron Cumberland made Jumper.,26,10
5:46,213,Julian Moore Turnover.,26,10
5:46,2132,Jarron Cumberland Steal.,26,10
5:40,2132,Troy Caupain made Layup.,28,10
5:39,213,Penn State  Timeout,28,10
5:18,213,Payton Banks Turnover.,28,10
5:18,2132,Jacob Evans Steal.,28,10
5:13,2132,Foul on Jacob Evans.,28,10
5:13,2132,Jacob Evans Turnover.,28,10
4:59,213,Payton Banks missed Three Point Jumper.,28,10
4:59,2132,Troy Caupain Defensive Rebound.,28,10
4:32,2132,Kyle Washington missed Jumper.,28,10
4:32,213,Mike Watkins Block.,28,10
4:32,213,Mike Watkins Defensive Rebound.,28,10
4:24,213,Foul on Shep Garner.,28,10
4:24,213,Shep Garner Turnover.,28,10
4:01,2132,Troy Caupain made Jumper.,30,10
3:42,213,Payton Banks missed Jumper.,30,10
3:42,2132,Troy Caupain Defensive Rebound.,30,10
3:32,2132,Jarron Cumberland missed Three Point Jumper.,30,10
3:32,213,Mike Watkins Defensive Rebound.,30,10
3:29,213,Mike Watkins Turnover.,30,10
3:29,213,Official TV Timeout,30,10
3:24,2132,Troy Caupain missed Three Point Jumper.,30,10
3:24,2132,Gary Clark Offensive Rebound.,30,10
3:17,2132,Gary Clark made Jumper.,32,10
3:03,213,Terrence Samuel Turnover.,32,10
3:03,2132,Gary Clark Steal.,32,10
2:59,213,Foul on Nazeer Bostick.,32,10
2:59,2132,Kyle Washington missed Free Throw.,32,10
2:59,213,Nazeer Bostick Defensive Rebound.,32,10
2:39,2132,Foul on Gary Clark.,32,10
2:39,213,Lamar Stevens made Free Throw.,32,11
2:39,213,Lamar Stevens made Free Throw.,32,12
2:30,2132,Troy Caupain Turnover.,32,12
2:30,213,Mike Watkins Steal.,32,12
2:25,2132,Foul on Kyle Washington.,32,12
2:25,213,Lamar Stevens made Free Throw.,32,13
2:25,213,Lamar Stevens made Free Throw.,32,14
2:17,213,Foul on Shep Garner.,32,14
2:17,2132,Justin Jenifer missed Free Throw.,32,14
2:17,213,Mike Watkins Defensive Rebound.,32,14
2:10,213,Shep Garner missed Jumper.,32,14
2:00,2132,Kyle Washington Defensive Rebound.,32,14
1:55,2132,Kyle Washington missed Jumper.,32,14
1:55,213,Nazeer Bostick Defensive Rebound.,32,14
1:50,213,Tony Carr made Jumper.,32,16
1:31,2132,Jarron Cumberland missed Three Point Jumper.,32,16
1:31,2132,Cincinnati Offensive Rebound.,32,16
1:08,2132,Kyle Washington made Jumper.,34,16
0:56,213,Nazeer Bostick missed Jumper.,34,16
0:56,2132,Kyle Washington Defensive Rebound.,34,16
0:32,2132,Kyle Washington Turnover.,34,16
0:06,213,Shep Garner made Three Point Jumper. Assisted by Tony Carr.,34,19
0:00,213,End of 1st half,34,19
20:00,213,Jump Ball won by Penn State,34,19
19:34,213,Tony Carr missed Three Point Jumper.,34,19
19:34,2132,Troy Caupain Defensive Rebound.,34,19
19:03,2132,Kevin Johnson made Three Point Jumper. Assisted by Gary Clark.,37,19
18:47,213,Tony Carr missed Jumper.,37,19
18:47,2132,Kyle Washington Defensive Rebound.,37,19
18:24,2132,Troy Caupain missed Jumper.,37,19
18:24,213,Tony Carr Defensive Rebound.,37,19
18:21,2132,Foul on Gary Clark.,37,19
18:15,213,Shep Garner missed Three Point Jumper.,37,19
18:15,2132,Kyle Washington Defensive Rebound.,37,19
18:03,2132,Troy Caupain made Layup.,39,19
17:57,2132,Foul on Kevin Johnson.,39,19
17:57,213,Shep Garner made Free Throw.,39,20
17:57,213,Shep Garner made Free Throw.,39,21
17:23,2132,Troy Caupain missed Jumper.,39,21
17:23,2132,Kevin Johnson Offensive Rebound.,39,21
17:14,213,Foul on Payton Banks.,39,21
17:14,2132,Kyle Washington made Free Throw.,40,21
17:14,2132,Kyle Washington made Free Throw.,41,21
17:00,213,Payton Banks missed Three Point Jumper.,41,21
17:00,2132,Gary Clark Defensive Rebound.,41,21
16:45,2132,Troy Caupain missed Three Point Jumper.,41,21
16:45,2132,Cincinnati Offensive Rebound.,41,21
16:42,2132,Foul on Kyle Washington.,41,21
16:42,2132,Kyle Washington Turnover.,41,21
16:31,213,Shep Garner made Three Point Jumper. Assisted by Nazeer Bostick.,41,24
15:55,2132,Tre Scott made Layup. Assisted by Kyle Washington.,43,24
15:43,213,Shep Garner missed Three Point Jumper.,43,24
15:43,2132,Kyle Washington Defensive Rebound.,43,24
15:19,2132,Kyle Washington missed Jumper.,43,24
15:19,2132,Jacob Evans Offensive Rebound.,43,24
15:04,2132,Kyle Washington missed Layup.,43,24
15:04,213,Lamar Stevens Defensive Rebound.,43,24
14:55,213,Shep Garner missed Layup.,43,24
14:55,2132,Troy Caupain Defensive Rebound.,43,24
14:45,2132,Justin Jenifer missed Jumper.,43,24
14:45,2132,Jacob Evans Offensive Rebound.,43,24
14:37,2132,Kyle Washington made Jumper.,45,24
14:24,213,Shep Garner missed Three Point Jumper.,45,24
14:24,2132,Tre Scott Defensive Rebound.,45,24
13:56,2132,Kyle Washington missed Jumper.,45,24
13:56,213,Lamar Stevens Defensive Rebound.,45,24
13:44,213,Lamar Stevens made Jumper.,45,26
13:27,2132,Kevin Johnson missed Three Point Jumper.,45,26
13:27,213,Nazeer Bostick Defensive Rebound.,45,26
13:13,213,Julian Moore missed Jumper.,45,26
13:13,2132,Kevin Johnson Defensive Rebound.,45,26
13:05,2132,Cincinnati  Timeout,45,26
12:57,2132,Justin Jenifer made Three Point Jumper. Assisted by Troy Caupain.,48,26
12:28,213,Mike Watkins Turnover.,48,26
12:28,2132,Troy Caupain Steal.,48,26
12:08,2132,Nysier Brooks missed Jumper.,48,26
12:08,213,Lamar Stevens Block.,48,26
12:08,213,Mike Watkins Defensive Rebound.,48,26
12:01,2132,Foul on Nysier Brooks.,48,26
12:01,213,Official TV Timeout,48,26
12:01,213,Tony Carr made Free Throw.,48,27
12:01,213,Tony Carr made Free Throw.,48,28
11:45,2132,Foul on Nysier Brooks.,48,28
11:45,2132,Nysier Brooks Turnover.,48,28
11:44,213,Official TV Timeout,48,28
11:17,213,Foul on Tony Carr.,48,28
11:17,213,Tony Carr Turnover.,48,28
11:04,2132,Justin Jenifer missed Jumper.,48,28
11:04,2132,Kyle Washington Offensive Rebound.,48,28
11:01,2132,Foul on Kyle Washington.,48,28
11:01,2132,Kyle Washington Turnover.,48,28
10:34,213,Nazeer Bostick missed Jumper.,48,28
10:34,2132,Kyle Washington Defensive Rebound.,48,28
10:26,2132,Jacob Evans made Layup.,50,28
10:10,213,Mike Watkins missed Jumper.,50,28
10:10,2132,Gary Clark Defensive Rebound.,50,28
10:04,213,Foul on Nazeer Bostick.,50,28
10:04,2132,Troy Caupain missed Free Throw.,50,28
10:04,2132,Cincinnati Deadball Team Rebound.,50,28
10:04,2132,Troy Caupain made Free Throw.,51,28
9:56,213,Shep Garner made Three Point Jumper.,51,31
9:44,2132,Justin Jenifer Turnover.,51,31
9:44,213,Shep Garner Steal.,51,31
9:39,213,Shep Garner made Layup.,51,33
9:30,213,Foul on Shep Garner.,51,33
9:14,213,Foul on Payton Banks.,51,33
8:56,2132,Jacob Evans missed Three Point Jumper.,51,33
8:56,2132,Kyle Washington Offensive Rebound.,51,33
8:48,2132,Kyle Washington Turnover.,51,33
8:48,213,Tony Carr Steal.,51,33
8:41,213,Tony Carr missed Jumper.,51,33
8:41,2132,Troy Caupain Defensive Rebound.,51,33
8:32,2132,Foul on Gary Clark.,51,33
8:32,2132,Gary Clark Turnover.,51,33
8:18,213,Shep Garner missed Three Point Jumper.,51,33
8:18,2132,Jacob Evans Defensive Rebound.,51,33
8:13,213,Foul on Tony Carr.,51,33
8:00,2132,Jacob Evans made Three Point Jumper. Assisted by Troy Caupain.,54,33
7:48,213,Tony Carr made Jumper. Assisted by Payton Banks.,54,35
7:34,2132,Kyle Washington missed Jumper.,54,35
7:34,2132,Tre Scott Offensive Rebound.,54,35
7:34,2132,Tre Scott made Two Point Tip Shot.,56,35
7:20,2132,Jump Ball won by Cincinnati,56,35
7:20,213,Julian Moore Turnover.,56,35
7:20,2132,Jacob Evans Steal.,56,35
7:20,213,Official TV Timeout,56,35
6:56,2132,Troy Caupain made Three Point Jumper. Assisted by Justin Jenifer.,59,35
6:34,213,Nazeer Bostick missed Jumper.,59,35
6:34,2132,Kyle Washington Defensive Rebound.,59,35
6:17,2132,Jacob Evans made Jumper. Assisted by Troy Caupain.,61,35
5:52,2132,Foul on Justin Jenifer.,61,35
5:52,213,Tony Carr made Free Throw.,61,36
5:52,213,Tony Carr made Free Throw.,61,37
5:36,2132,Tre Scott made Jumper.,63,37
5:26,213,Mike Watkins made Dunk. Assisted by Tony Carr.,63,39
4:53,2132,Tre Scott missed Jumper.,63,39
4:53,2132,Kyle Washington Offensive Rebound.,63,39
4:45,2132,Kyle Washington made Layup.,65,39
4:37,213,Tony Carr made Jumper.,65,41
4:27,213,Foul on Tony Carr.,65,41
4:27,2132,Jacob Evans made Free Throw.,66,41
4:27,2132,Jacob Evans made Free Throw.,67,41
4:15,213,Lamar Stevens made Jumper. Assisted by Nazeer Bostick.,67,43
3:57,2132,Tre Scott made Jumper. Assisted by Kyle Washington.,69,43
3:30,213,Isaiah Washington Turnover.,69,43
3:30,2132,Kevin Johnson Steal.,69,43
3:01,2132,Kevin Johnson missed Jumper.,69,43
3:01,213,Shep Garner Defensive Rebound.,69,43
2:52,213,Nazeer Bostick made Layup.,69,45
2:35,2132,Kevin Johnson missed Three Point Jumper.,69,45
2:35,213,Shep Garner Defensive Rebound.,69,45
2:26,213,Shep Garner missed Three Point Jumper.,69,45
2:26,2132,Jacob Evans Defensive Rebound.,69,45
1:59,2132,Jacob Evans missed Three Point Jumper.,69,45
1:59,213,Nazeer Bostick Defensive Rebound.,69,45
1:48,213,Nazeer Bostick missed Jumper.,69,45
1:48,2132,Tre Scott Block.,69,45
1:48,2132,Kyle Washington Defensive Rebound.,69,45
1:36,2132,Kyle Washington missed Layup.,69,45
1:36,213,Shep Garner Defensive Rebound.,69,45
1:15,213,Shep Garner made Jumper.,69,47
1:11,213,Penn State  Timeout,69,47
0:50,2132,Nysier Brooks missed Jumper.,69,47
0:50,213,Mike Watkins Defensive Rebound.,69,47
0:40,213,Isaiah Washington made Three Point Jumper.,69,50
0:25,2132,Quadri Moore made Jumper.,71,50
0:10,213,Lamar Stevens missed Three Point Jumper.,71,50
0:10,2132,Nysier Brooks Defensive Rebound.,71,50
0:00,213,End of Game,71,50
