Villanova,2116,UCF,222
5:05,2116,Matt Williams missed Jumper.,26,20
5:05,222,Josh Hart Defensive Rebound.,26,20
4:56,222,Kris Jenkins missed Three Point Jumper.,26,20
4:56,2116,Djordjije Mumin Defensive Rebound.,26,20
4:46,2116,B.J. Taylor Turnover.,26,20
4:45,222,Josh Hart Steal.,26,20
4:40,222,Donte DiVincenzo missed Layup.,26,20
4:40,222,Donte DiVincenzo Offensive Rebound.,26,20
4:38,222,Donte DiVincenzo made Layup.,28,20
4:11,2116,B.J. Taylor missed Three Point Jumper.,28,20
4:11,2116,UCF Offensive Rebound.,28,20
4:08,222,Foul on Kris Jenkins.,28,20
4:08,2116,Matt Williams missed Three Point Jumper.,28,20
4:08,222,Kris Jenkins Defensive Rebound.,28,20
3:35,222,Mikal Bridges missed Three Point Jumper.,28,20
3:35,222,Darryl Reynolds Offensive Rebound.,28,20
3:26,222,Kris Jenkins missed Three Point Jumper.,28,20
3:26,222,Darryl Reynolds Offensive Rebound.,28,20
3:13,222,Eric Paschall missed Three Point Jumper.,28,20
3:13,222,Mikal Bridges Offensive Rebound.,28,20
3:07,222,Kris Jenkins missed Three Point Jumper.,28,20
3:07,2116,B.J. Taylor Defensive Rebound.,28,20
2:57,2116,Matt Williams missed Three Point Jumper.,28,20
2:57,222,Eric Paschall Defensive Rebound.,28,20
2:36,222,Jalen Brunson made Three Point Jumper.,31,20
2:07,222,Foul on Eric Paschall.,31,20
2:07,2116,Official TV Timeout,31,20
2:07,2116,Chad Brown missed Free Throw.,31,20
2:07,2116,UCF Deadball Team Rebound.,31,20
2:07,2116,Chad Brown made Free Throw.,31,21
1:53,2116,Foul on Djordjije Mumin.,31,21
1:50,2116,Foul on Chad Brown.,31,21
1:50,222,Mikal Bridges made Free Throw.,32,21
1:50,222,Mikal Bridges made Free Throw.,33,21
1:33,2116,Tacko Fall made Dunk. Assisted by Nathan Laing.,33,23
1:08,222,Donte DiVincenzo made Jumper.,35,23
0:39,2116,B.J. Taylor missed Jumper.,35,23
0:39,222,Donte DiVincenzo Defensive Rebound.,35,23
0:05,222,Villanova  Turnover.,35,23
0:00,2116,B.J. Taylor missed Layup.,35,23
0:00,222,Donte DiVincenzo Block.,35,23
0:00,2116,UCF Offensive Rebound.,35,23
0:00,2116,End of 1st half,35,23
19:48,222,Jalen Brunson missed Three Point Jumper.,35,23
19:48,2116,Tanksley Efianayi Defensive Rebound.,35,23
19:16,2116,B.J. Taylor made Jumper.,35,25
18:51,222,Jalen Brunson Turnover.,35,25
18:50,2116,Nick Banyard Steal.,35,25
18:46,2116,Matt Williams made Three Point Jumper. Assisted by Tanksley Efianayi.,35,28
18:25,222,Mikal Bridges Turnover.,35,28
18:10,2116,Tacko Fall made Dunk. Assisted by Matt Williams.,35,30
17:46,222,Kris Jenkins missed Jumper.,35,30
17:46,2116,UCF Deadball Team Rebound.,35,30
17:25,2116,Tanksley Efianayi missed Jumper.,35,30
17:25,2116,Tacko Fall Offensive Rebound.,35,30
17:23,222,Foul on Darryl Reynolds.,35,30
17:17,2116,Tanksley Efianayi Turnover.,35,30
17:00,222,Josh Hart Turnover.,35,30
16:58,2116,Matt Williams Steal.,35,30
16:50,2116,B.J. Taylor missed Three Point Jumper.,35,30
16:50,222,Jalen Brunson Defensive Rebound.,35,30
16:18,222,Jalen Brunson made Jumper.,37,30
15:59,222,Foul on Darryl Reynolds.,37,30
15:59,2116,Official TV Timeout,37,30
15:58,2116,Matt Williams made Jumper. Assisted by B.J. Taylor.,37,32
15:39,222,Josh Hart missed Three Point Jumper.,37,32
15:39,222,Josh Hart Offensive Rebound.,37,32
15:33,2116,Foul on Tanksley Efianayi.,37,32
15:10,222,Jalen Brunson missed Three Point Jumper.,37,32
15:10,2116,Tacko Fall Defensive Rebound.,37,32
15:07,222,Foul on Eric Paschall.,37,32
14:48,2116,B.J. Taylor Turnover.,37,32
14:47,222,Mikal Bridges Steal.,37,32
14:43,2116,Foul on Matt Williams.,37,32
14:43,222,Jalen Brunson made Free Throw.,38,32
14:43,222,Jalen Brunson made Free Throw.,39,32
14:14,2116,Matt Williams missed Jumper.,39,32
14:14,222,Mikal Bridges Defensive Rebound.,39,32
14:11,2116,Foul on Nick Banyard.,39,32
13:55,222,Kris Jenkins missed Jumper.,39,32
13:55,222,Eric Paschall Offensive Rebound.,39,32
13:51,222,Eric Paschall missed Two Point Tip Shot.,39,32
13:51,2116,Matt Williams Defensive Rebound.,39,32
13:28,2116,Matt Williams missed Jumper.,39,32
13:28,222,Mikal Bridges Defensive Rebound.,39,32
13:15,222,Donte DiVincenzo made Three Point Jumper.,42,32
12:53,2116,Nick Banyard made Three Point Jumper. Assisted by Tanksley Efianayi.,42,35
12:33,222,Kris Jenkins Turnover.,42,35
12:32,2116,B.J. Taylor Steal.,42,35
12:27,2116,Matt Williams missed Three Point Jumper.,42,35
12:27,222,Mikal Bridges Defensive Rebound.,42,35
12:17,222,Josh Hart Turnover.,42,35
12:00,2116,Nick Banyard missed Three Point Jumper.,42,35
12:00,222,Donte DiVincenzo Defensive Rebound.,42,35
11:32,222,Josh Hart missed Three Point Jumper.,42,35
11:32,222,Jalen Brunson Offensive Rebound.,42,35
11:24,222,Josh Hart made Three Point Jumper. Assisted by Jalen Brunson.,45,35
11:10,2116,B.J. Taylor missed Layup.,45,35
11:10,222,Mikal Bridges Block.,45,35
11:09,2116,Chad Brown Offensive Rebound.,45,35
11:06,2116,UCF  Timeout,45,35
11:02,2116,B.J. Taylor missed Three Point Jumper.,45,35
11:02,222,Kris Jenkins Defensive Rebound.,45,35
10:38,222,Jalen Brunson Turnover.,45,35
10:38,222,Foul on Jalen Brunson.,45,35
10:38,2116,Official TV Timeout,45,35
10:12,2116,Tanksley Efianayi Turnover.,45,35
9:57,222,Josh Hart made Jumper.,47,35
9:30,2116,B.J. Taylor missed Jumper.,47,35
9:30,222,Eric Paschall Defensive Rebound.,47,35
9:22,222,Jalen Brunson missed Jumper.,47,35
9:22,222,Villanova Offensive Rebound.,47,35
9:14,222,Mikal Bridges made Jumper.,49,35
8:55,2116,Tacko Fall made Layup. Assisted by Matt Williams.,49,37
8:55,222,Foul on Eric Paschall.,49,37
8:55,2116,Tacko Fall missed Free Throw.,49,37
8:55,222,Darryl Reynolds Defensive Rebound.,49,37
8:36,222,Kris Jenkins missed Three Point Jumper.,49,37
8:36,222,Josh Hart Offensive Rebound.,49,37
8:32,222,Josh Hart made Jumper.,51,37
8:21,2116,Matt Williams missed Three Point Jumper.,51,37
8:21,2116,Tacko Fall Offensive Rebound.,51,37
8:15,222,Foul on Darryl Reynolds.,51,37
7:55,2116,Tacko Fall made Dunk. Assisted by Nick Banyard.,51,39
7:34,222,Josh Hart made Jumper.,53,39
7:01,2116,Nick Banyard missed Jumper.,53,39
7:01,222,Josh Hart Defensive Rebound.,53,39
6:42,222,Jalen Brunson missed Jumper.,53,39
6:42,2116,Tacko Fall Defensive Rebound.,53,39
6:29,2116,B.J. Taylor made Jumper.,53,41
6:05,222,Donte DiVincenzo made Three Point Jumper. Assisted by Mikal Bridges.,56,41
5:53,2116,B.J. Taylor Turnover.,56,41
5:52,222,Mikal Bridges Steal.,56,41
5:51,222,Mikal Bridges made Dunk.,58,41
5:48,2116,UCF  Timeout,58,41
5:48,2116,Official TV Timeout,58,41
5:38,2116,Tacko Fall made Dunk. Assisted by Matt Williams.,58,43
5:15,222,Kris Jenkins made Jumper. Assisted by Donte DiVincenzo.,60,43
4:51,222,Foul on Kris Jenkins.,60,43
4:51,2116,B.J. Taylor missed Free Throw.,60,43
4:51,222,Kris Jenkins Defensive Rebound.,60,43
4:40,222,Eric Paschall made Three Point Jumper. Assisted by Josh Hart.,63,43
4:17,2116,Matt Williams made Layup.,63,45
3:50,222,Eric Paschall missed Three Point Jumper.,63,45
3:50,2116,B.J. Taylor Defensive Rebound.,63,45
3:39,2116,Matt Williams missed Jumper.,63,45
3:39,222,Mikal Bridges Defensive Rebound.,63,45
3:15,222,Donte DiVincenzo missed Three Point Jumper.,63,45
3:15,2116,Djordjije Mumin Defensive Rebound.,63,45
3:06,2116,Djordjije Mumin made Three Point Jumper. Assisted by B.J. Taylor.,63,48
2:48,222,Donte DiVincenzo missed Jumper.,63,48
2:48,2116,Djordjije Mumin Defensive Rebound.,63,48
2:36,2116,Tanksley Efianayi missed Three Point Jumper.,63,48
2:36,222,Donte DiVincenzo Defensive Rebound.,63,48
2:09,222,Mikal Bridges missed Three Point Jumper.,63,48
2:09,2116,Tacko Fall Defensive Rebound.,63,48
1:56,2116,Matt Williams made Layup.,63,50
1:53,222,Villanova  Timeout,63,50
1:49,2116,Foul on Djordjije Mumin.,63,50
1:19,222,Kris Jenkins missed Three Point Jumper.,63,50
1:19,2116,Matt Williams Defensive Rebound.,63,50
1:09,2116,Matt Williams missed Three Point Jumper.,63,50
1:09,2116,Tacko Fall Offensive Rebound.,63,50
1:09,2116,Tacko Fall made Dunk.,63,52
1:09,222,Foul on Darryl Reynolds.,63,52
0:58,222,Darryl Reynolds Defensive Rebound.,63,52
0:58,2116,Tacko Fall missed Free Throw.,63,52
0:56,2116,Foul on Djordjije Mumin.,63,52
0:55,222,Jalen Brunson made Layup. Assisted by Kris Jenkins.,65,52
0:51,222,Foul on Darryl Reynolds.,65,52
0:51,2116,B.J. Taylor made Free Throw.,65,53
0:51,2116,B.J. Taylor missed Free Throw.,65,53
0:51,222,Villanova Defensive Rebound.,65,53
0:44,2116,Foul on Nick Banyard.,65,53
0:41,222,Kris Jenkins Turnover.,65,53
0:41,2116,UCF  Timeout,65,53
0:33,2116,Matt Williams missed Layup.,65,53
0:33,2116,Tacko Fall Offensive Rebound.,65,53
0:30,2116,Tacko Fall made Dunk.,65,55
0:25,2116,Foul on Matt Williams.,65,55
0:25,222,Josh Hart made Free Throw.,66,55
0:25,222,Josh Hart made Free Throw.,67,55
0:20,2116,B.J. Taylor made Layup.,67,57
0:00,2116,End of Game,67,57
