Georgia Southern,2382,Mercer,290
18:11,2382,Ria'n Holland made Three Point Jumper. Assisted by Stephon Jelks.,42,38
17:46,290,Jake Allsmiller Turnover.,42,38
17:45,2382,Ria'n Holland Steal.,42,38
17:23,2382,Desmond Ringer missed Layup.,42,38
17:23,290,B.J. Gladden Block.,42,38
17:22,2382,Desmond Ringer Offensive Rebound.,42,38
17:17,290,Foul on Montae Glenn.,42,38
17:17,2382,Demetre Rivers made Free Throw.,42,39
17:17,2382,Demetre Rivers made Free Throw.,42,40
16:54,2382,Foul on Desmond Ringer.,42,40
16:54,290,Ike Smith made Free Throw.,43,40
16:54,290,Ike Smith made Free Throw.,44,40
16:45,2382,Demetre Rivers made Dunk. Assisted by Jordan Strawberry.,44,42
16:23,290,Ike Smith made Jumper. Assisted by Tookie Brown.,46,42
15:55,2382,Stephon Jelks Turnover.,46,42
15:55,290,Tookie Brown Steal.,46,42
15:55,2382,Official TV Timeout,46,42
15:37,290,Ike Smith made Layup.,48,42
15:37,2382,Foul on Demetre Rivers.,48,42
15:37,290,Ike Smith made Free Throw.,49,42
15:13,2382,Ria'n Holland made Layup.,49,44
14:47,290,B.J. Gladden made Three Point Jumper. Assisted by Devonte Boykins.,52,44
14:23,2382,Demetre Rivers made Layup. Assisted by Stephon Jelks.,52,46
14:02,290,B.J. Gladden missed Layup.,52,46
14:02,290,Coye Simmons Offensive Rebound.,52,46
13:59,290,Coye Simmons missed Jumper.,52,46
13:59,2382,Demetre Rivers Defensive Rebound.,52,46
13:39,2382,Desmond Ringer missed Jumper.,52,46
13:39,2382,Mercer Offensive Rebound.,52,46
13:30,2382,Ria'n Holland missed Three Point Jumper.,52,46
13:30,290,B.J. Gladden Defensive Rebound.,52,46
13:19,290,Tookie Brown Turnover.,52,46
13:17,2382,Ria'n Holland Steal.,52,46
13:14,2382,Ryan Johnson Turnover.,52,46
12:57,2382,Foul on Ryan Johnson.,52,46
12:49,290,Ike Smith missed Three Point Jumper.,52,46
12:49,2382,Ryan Johnson Defensive Rebound.,52,46
12:32,290,Foul on Ike Smith.,52,46
12:09,2382,Jordan Strawberry missed Jumper.,52,46
12:09,290,B.J. Gladden Block.,52,46
12:07,2382,Andrew Fishler Offensive Rebound.,52,46
12:07,2382,Andrew Fishler made Layup.,52,48
12:07,290,Foul on Coye Simmons.,52,48
12:07,2382,Andrew Fishler made Free Throw.,52,49
11:51,290,B.J. Gladden made Layup.,54,49
11:25,2382,Official TV Timeout,54,49
11:23,290,Devonte Boykins Defensive Rebound.,54,49
11:23,2382,Ryan Johnson missed Layup.,54,49
11:04,290,Montae Glenn missed Layup.,54,49
11:04,2382,Ryan Johnson Defensive Rebound.,54,49
11:02,290,Foul on Shawn O'Connell.,54,49
10:51,2382,Ross Cummings missed Three Point Jumper.,54,49
10:51,290,B.J. Gladden Defensive Rebound.,54,49
10:38,290,Tookie Brown missed Jumper.,54,49
10:38,290,Montae Glenn Offensive Rebound.,54,49
10:33,290,Montae Glenn missed Layup.,54,49
10:33,2382,Ryan Johnson Defensive Rebound.,54,49
10:21,2382,Ryan Johnson missed Three Point Jumper.,54,49
10:21,290,Tookie Brown Block.,54,49
10:18,290,Devonte Boykins Defensive Rebound.,54,49
10:11,2382,Foul on Ryan Johnson.,54,49
10:09,290,Ike Smith made Layup. Assisted by Tookie Brown.,56,49
9:53,290,Foul on Tookie Brown.,56,49
9:53,2382,Desmond Ringer made Free Throw.,56,50
9:53,2382,Desmond Ringer missed Free Throw.,56,50
9:53,290,B.J. Gladden Defensive Rebound.,56,50
9:37,290,B.J. Gladden made Jumper.,58,50
9:17,2382,Ross Cummings missed Three Point Jumper.,58,50
9:17,2382,Desmond Ringer Offensive Rebound.,58,50
9:08,2382,Desmond Ringer made Layup. Assisted by Stephon Jelks.,58,52
8:50,290,Montae Glenn Turnover.,58,52
8:25,2382,Desmond Ringer missed Dunk.,58,52
8:25,290,B.J. Gladden Block.,58,52
8:24,290,B.J. Gladden Defensive Rebound.,58,52
8:21,290,B.J. Gladden made Layup.,60,52
8:11,2382,Mercer  Timeout,60,52
7:55,2382,Ria'n Holland made Three Point Jumper. Assisted by Jordan Strawberry.,60,55
7:31,290,Tookie Brown missed Three Point Jumper.,60,55
7:31,290,Coye Simmons Offensive Rebound.,60,55
7:26,290,Devonte Boykins made Three Point Jumper. Assisted by Coye Simmons.,63,55
6:51,2382,Jordan Strawberry Turnover.,63,55
6:50,290,Tookie Brown Steal.,63,55
6:47,290,Tookie Brown missed Layup.,63,55
6:47,2382,Ria'n Holland Defensive Rebound.,63,55
6:38,290,Foul on B.J. Gladden.,63,55
6:38,2382,Official TV Timeout,63,55
6:38,2382,Demetre Rivers made Free Throw.,63,56
6:38,2382,Demetre Rivers made Free Throw.,63,57
6:24,290,Ike Smith missed Three Point Jumper.,63,57
6:24,2382,Jordan Strawberry Defensive Rebound.,63,57
5:55,2382,Stephon Jelks made Three Point Jumper. Assisted by Demetre Rivers.,63,60
5:25,290,Tookie Brown missed Three Point Jumper.,63,60
5:25,2382,Stephon Jelks Defensive Rebound.,63,60
4:57,2382,Jordan Strawberry missed Three Point Jumper.,63,60
4:57,2382,Desmond Ringer Offensive Rebound.,63,60
4:52,290,Foul on B.J. Gladden.,63,60
4:52,2382,Desmond Ringer made Free Throw.,63,61
4:52,2382,Desmond Ringer made Free Throw.,63,62
4:40,290,Ike Smith missed Jumper.,63,62
4:40,2382,Jordan Strawberry Defensive Rebound.,63,62
4:33,2382,Jordan Strawberry made Layup.,63,64
4:12,290,Jake Allsmiller missed Three Point Jumper.,63,64
4:12,2382,Stephon Jelks Defensive Rebound.,63,64
4:09,290,Foul on Shawn O'Connell.,63,64
4:09,2382,Stephon Jelks made Free Throw.,63,65
4:09,2382,Stephon Jelks made Free Throw.,63,66
4:01,290,Tookie Brown Turnover.,63,66
4:00,2382,Jordan Strawberry Steal.,63,66
3:58,2382,Jordan Strawberry made Layup.,63,68
3:48,290,Georgia Southern  Timeout,63,68
3:25,290,Jake Allsmiller missed Three Point Jumper.,63,68
3:25,2382,Ria'n Holland Defensive Rebound.,63,68
3:06,2382,Desmond Ringer made Dunk. Assisted by Stephon Jelks.,63,70
2:55,290,Ike Smith made Dunk.,65,70
2:25,2382,Ria'n Holland missed Jumper.,65,70
2:25,2382,Stephon Jelks Offensive Rebound.,65,70
1:56,2382,Jordan Strawberry missed Layup.,65,70
1:56,2382,Stephon Jelks Offensive Rebound.,65,70
1:54,290,Foul on Ike Smith.,65,70
1:54,2382,Stephon Jelks made Free Throw.,65,71
1:54,2382,Stephon Jelks made Free Throw.,65,72
1:32,290,B.J. Gladden missed Three Point Jumper.,65,72
1:32,2382,Ria'n Holland Defensive Rebound.,65,72
1:21,290,Foul on Devonte Boykins.,65,72
1:21,2382,Jordan Strawberry made Free Throw.,65,73
1:21,2382,Jordan Strawberry made Free Throw.,65,74
1:08,290,Jake Allsmiller missed Three Point Jumper.,65,74
1:08,2382,Desmond Ringer Defensive Rebound.,65,74
1:01,290,Foul on Jake Allsmiller.,65,74
1:00,2382,Jordan Strawberry made Free Throw.,65,75
1:00,2382,Jordan Strawberry made Free Throw.,65,76
0:58,290,Foul on B.J. Gladden.,65,76
0:58,2382,Desmond Ringer made Free Throw.,65,77
0:58,2382,Desmond Ringer made Free Throw.,65,78
0:47,2382,Foul on Demetre Rivers.,65,78
0:47,290,B.J. Gladden made Free Throw.,66,78
0:47,290,B.J. Gladden made Free Throw.,67,78
0:45,290,Foul on Aubrey McRae.,67,78
0:45,2382,Jordan Strawberry made Free Throw.,67,79
0:45,2382,Jordan Strawberry made Free Throw.,67,80
0:41,2382,Foul on Ria'n Holland.,67,80
0:41,290,Georgia Southern  Timeout,67,80
0:41,2382,Foul on Stephon Jelks.,67,80
0:40,290,Aubrey McRae missed Free Throw.,67,80
0:40,2382,Demetre Rivers Defensive Rebound.,67,80
0:25,2382,Ria'n Holland Turnover.,67,80
0:25,290,B.J. Gladden Steal.,67,80
0:23,2382,Foul on Ria'n Holland.,67,80
0:23,290,B.J. Gladden missed Free Throw.,67,80
0:23,290,Georgia Southern Deadball Team Rebound.,67,80
0:23,290,B.J. Gladden missed Free Throw.,67,80
0:23,2382,Stephon Jelks Defensive Rebound.,67,80
0:00,2382,End of Game,67,80
