Presentation College,Error,North Dakota,155
4:26,-1,Donnell Minton missed Three Point Jumper.,26,34
4:26,155,North Dakota Defensive Rebound.,26,34
4:12,155,Cortez Seales missed Jumper.,26,34
4:12,155,Cortez Seales Offensive Rebound.,26,34
4:08,155,Geno Crandall made Three Point Jumper. Assisted by Drick Bernstine.,26,37
3:54,-1,Quentin Canty Turnover.,26,37
3:53,155,Drick Bernstine Steal.,26,37
3:49,155,Geno Crandall made Layup. Assisted by Drick Bernstine.,26,39
3:33,-1,Quentin Canty Turnover.,26,39
3:32,155,Geno Crandall Steal.,26,39
3:28,155,Drick Bernstine made Dunk. Assisted by Geno Crandall.,26,41
3:24,-1,Presentation College  Timeout,26,41
3:10,-1,Brad Branch missed Three Point Jumper.,26,41
3:10,155,Drick Bernstine Defensive Rebound.,26,41
2:58,155,Geno Crandall missed Three Point Jumper.,26,41
2:58,-1,Bryan Jones Defensive Rebound.,26,41
2:34,-1,Quentin Canty made Layup. Assisted by Arroyo Edwards.,28,41
2:20,155,Billy Brown made Layup. Assisted by Conner Avants.,28,43
2:05,-1,Arroyo Edwards missed Three Point Jumper.,28,43
2:05,-1,Brad Branch Offensive Rebound.,28,43
1:56,-1,Donnell Minton made Three Point Jumper.,31,43
1:43,155,Drick Bernstine missed Jumper.,31,43
1:43,-1,Brad Branch Defensive Rebound.,31,43
1:30,-1,Arroyo Edwards made Three Point Jumper. Assisted by Quentin Canty.,34,43
1:12,155,Conner Avants made Jumper.,34,45
1:12,-1,Foul on Brad Branch.,34,45
1:12,155,Conner Avants made Free Throw.,34,46
0:55,-1,Arroyo Edwards Turnover.,34,46
0:54,155,Cortez Seales Steal.,34,46
0:48,155,Cortez Seales missed Jumper.,34,46
0:48,155,Drick Bernstine Offensive Rebound.,34,46
0:48,-1,Foul on Arroyo Edwards.,34,46
0:48,155,Drick Bernstine made Free Throw.,34,47
0:48,155,Drick Bernstine made Free Throw.,34,48
0:29,-1,Quentin Canty Turnover.,34,48
0:29,155,Cortez Seales Steal.,34,48
0:29,-1,Foul on Quentin Canty.,34,48
0:29,155,Drick Bernstine missed Free Throw.,34,48
0:29,155,North Dakota Deadball Team Rebound.,34,48
0:29,155,Drick Bernstine missed Free Throw.,34,48
0:29,155,Carson Shanks Offensive Rebound.,34,48
0:28,155,Carson Shanks made Jumper.,34,50
0:28,-1,Foul on Travis Barton.,34,50
0:20,-1,Presentation College  Timeout,34,50
0:03,-1,Travis Barton missed Three Point Jumper.,34,50
0:03,155,Carson Shanks Defensive Rebound.,34,50
0:01,155,Corey Baldwin made Three Point Jumper.,34,53
0:00,155,End of 1st half,34,50
19:35,-1,Elijah Valdez Turnover.,34,53
19:33,155,Quinton Hooker Steal.,34,53
19:29,155,Quinton Hooker made Layup.,34,55
19:00,-1,Arroyo Edwards Turnover.,34,55
18:56,155,Corey Baldwin Steal.,34,55
18:55,155,Geno Crandall missed Layup.,34,55
18:55,155,Geno Crandall Offensive Rebound.,34,55
18:46,155,Quinton Hooker made Three Point Jumper. Assisted by Drick Bernstine.,34,58
18:43,-1,Presentation College  Timeout,34,58
18:29,-1,Elijah Valdez Turnover.,34,58
18:29,155,Geno Crandall Steal.,34,58
18:14,155,Conner Avants made Layup.,34,60
17:58,-1,Donnell Minton made Three Point Jumper.,37,60
17:51,155,Corey Baldwin made Layup.,37,62
17:33,155,Foul on Conner Avants.,37,62
17:33,-1,Marcus Holman missed Free Throw.,37,62
17:33,-1,Presentation College Deadball Team Rebound.,37,62
17:33,-1,Marcus Holman made Free Throw.,38,62
17:29,-1,Foul on Marcus Holman.,38,62
17:19,-1,Foul on Elijah Valdez.,38,62
17:14,155,Corey Baldwin missed Layup.,38,62
17:14,-1,Arroyo Edwards Defensive Rebound.,38,62
17:00,-1,Aaron Samuels missed Jumper.,38,62
17:00,155,Drick Bernstine Defensive Rebound.,38,62
16:54,155,Drick Bernstine made Layup. Assisted by Quinton Hooker.,38,64
16:23,-1,Foul on Marcus Holman.,38,64
16:23,-1,Marcus Holman Turnover.,38,64
16:14,155,Foul on Carson Shanks.,38,64
16:14,155,Carson Shanks Turnover.,38,64
15:56,-1,Donnell Minton missed Three Point Jumper.,38,64
15:56,155,Drick Bernstine Defensive Rebound.,38,64
15:49,155,Official TV Timeout,38,64
15:34,-1,Donnell Minton Steal.,38,64
15:34,155,Drick Bernstine Turnover.,38,64
15:33,155,Foul on Cortez Seales.,38,64
15:21,-1,Aaron Samuels missed Jumper.,38,64
15:21,155,Drick Bernstine Defensive Rebound.,38,64
15:09,155,Quinton Hooker made Three Point Jumper. Assisted by Drick Bernstine.,38,67
14:48,-1,Elijah Valdez Turnover.,38,67
14:40,155,Quinton Hooker Steal.,38,67
14:38,155,Drick Bernstine made Dunk. Assisted by Quinton Hooker.,38,69
14:29,-1,Brad Branch made Three Point Jumper. Assisted by Aaron Samuels.,41,69
14:15,-1,Foul on Arroyo Edwards.,41,69
14:15,155,Carson Shanks made Free Throw.,41,70
14:15,155,Carson Shanks missed Free Throw.,41,70
14:15,-1,Donnell Minton Defensive Rebound.,41,70
14:06,-1,Arroyo Edwards missed Layup.,41,70
14:06,155,Josh Collins Defensive Rebound.,41,70
13:42,155,Billy Brown made Three Point Jumper. Assisted by Quinton Hooker.,41,73
13:17,-1,Elijah Valdez missed Three Point Jumper.,41,73
13:17,155,Quinton Hooker Defensive Rebound.,41,73
13:08,155,Carson Shanks missed Layup.,41,73
13:08,155,Billy Brown Offensive Rebound.,41,73
13:04,155,Billy Brown missed Three Point Jumper.,41,73
13:04,-1,Donnell Minton Defensive Rebound.,41,73
12:49,-1,Elijah Valdez missed Jumper.,41,73
12:49,155,Josh Collins Defensive Rebound.,41,73
12:41,-1,Foul on Elijah Valdez.,41,73
12:41,155,Josh Collins missed Free Throw.,41,73
12:41,155,North Dakota Deadball Team Rebound.,41,73
12:41,155,Josh Collins made Free Throw.,41,74
12:41,155,Foul on Carson Shanks.,41,74
12:23,155,Foul on Billy Brown.,41,74
12:20,-1,Travis Barton missed Three Point Jumper.,41,74
12:19,155,Corey Baldwin Defensive Rebound.,41,74
12:16,155,Corey Baldwin made Dunk. Assisted by Carson Shanks.,41,76
12:00,-1,Donnell Minton missed Three Point Jumper.,41,76
12:00,155,Corey Baldwin Defensive Rebound.,41,76
11:56,155,Billy Brown made Layup. Assisted by Corey Baldwin.,41,78
11:28,-1,Arroyo Edwards missed Three Point Jumper.,41,78
11:28,155,Billy Brown Defensive Rebound.,41,78
11:22,155,Josh Collins made Three Point Jumper. Assisted by Billy Brown.,41,81
11:16,-1,Presentation College  Timeout,41,81
11:07,155,Foul on Josh Collins.,41,81
11:07,-1,Lloyd Wheeler made Free Throw.,42,81
11:07,-1,Lloyd Wheeler made Free Throw.,43,81
10:50,155,Geno Crandall Turnover.,43,81
10:50,-1,Donnell Minton Steal.,43,81
10:43,-1,Marcus Gatlin made Jumper.,45,81
10:39,155,Kienan Walter missed Jumper.,45,81
10:39,-1,Marcus Gatlin Defensive Rebound.,45,81
10:18,-1,Lloyd Wheeler missed Layup.,45,81
10:18,155,Drick Bernstine Defensive Rebound.,45,81
10:06,155,Kienan Walter Turnover.,45,81
10:04,-1,Lloyd Wheeler Steal.,45,81
9:58,-1,Marcus Gatlin missed Jumper.,45,81
9:58,-1,Lloyd Wheeler Offensive Rebound.,45,81
9:54,-1,Bryan Jones missed Layup.,45,81
9:54,-1,Lloyd Wheeler Offensive Rebound.,45,81
9:51,-1,Lloyd Wheeler made Jumper.,47,81
9:27,155,North Dakota  Timeout,47,81
9:21,155,Kienan Walter missed Jumper.,47,81
9:21,-1,Lloyd Wheeler Defensive Rebound.,47,81
9:20,155,Foul on Kienan Walter.,47,81
9:20,-1,Lloyd Wheeler made Free Throw.,48,81
9:20,-1,Lloyd Wheeler made Free Throw.,49,81
9:02,155,Corey Baldwin made Three Point Jumper. Assisted by Drick Bernstine.,49,84
8:39,-1,Quentin Canty made Layup. Assisted by Marcus Gatlin.,51,84
8:22,155,Corey Baldwin missed Three Point Jumper.,51,84
8:22,-1,Marcus Gatlin Defensive Rebound.,51,84
8:15,-1,Technical Foul on Presentation College.,51,84
8:15,155,Billy Brown made Free Throw.,51,85
8:05,155,Foul on Kienan Walter.,51,85
8:05,-1,Marcus Holman made Free Throw.,52,85
8:05,-1,Marcus Holman missed Free Throw.,52,85
8:05,155,Josh Collins Defensive Rebound.,52,85
7:43,155,Geno Crandall made Layup.,52,87
7:11,-1,Quentin Canty made Three Point Jumper. Assisted by Marcus Gatlin.,55,87
6:56,155,Josh Collins made Jumper. Assisted by Geno Crandall.,55,89
6:44,-1,Marcus Gatlin missed Jumper.,55,89
6:44,155,Josh Collins Defensive Rebound.,55,89
6:39,155,Billy Brown made Layup. Assisted by Geno Crandall.,55,91
6:20,-1,Marcus Holman made Jumper.,57,91
6:13,155,Foul on Josh Collins.,57,91
6:13,155,Josh Collins Turnover.,57,91
6:13,155,Official TV Timeout,57,91
6:04,-1,Lloyd Wheeler missed Layup.,57,91
6:04,155,Thomas Blake Defensive Rebound.,57,91
5:41,155,Devon Pekas Turnover.,57,91
5:41,-1,Marcus Gatlin Steal.,57,91
5:35,-1,Quentin Canty missed Three Point Jumper.,57,91
5:35,155,Thomas Blake Defensive Rebound.,57,91
5:19,155,Kienan Walter missed Three Point Jumper.,57,91
5:19,155,Thomas Blake Offensive Rebound.,57,91
5:16,155,Billy Brown Turnover.,57,91
4:53,-1,Marcus Gatlin missed Jumper.,57,91
4:53,155,Devon Pekas Defensive Rebound.,57,91
4:43,155,Kienan Walter missed Three Point Jumper.,57,91
4:43,-1,Marcus Holman Defensive Rebound.,57,91
4:33,-1,Marcus Holman Turnover.,57,91
4:33,155,Thomas Blake Steal.,57,91
4:30,-1,Foul on Lloyd Wheeler.,57,91
4:30,155,Devon Pekas made Free Throw.,57,92
4:30,155,Devon Pekas missed Free Throw.,57,92
4:30,155,Thomas Blake Offensive Rebound.,57,92
4:21,-1,Elijah Valdez made Jumper.,59,92
4:09,155,Kienan Walter made Layup. Assisted by Devon Pekas.,59,94
3:59,155,Foul on Devon Pekas.,59,94
3:59,-1,Marcus Holman missed Free Throw.,59,94
3:59,-1,Presentation College Deadball Team Rebound.,59,94
3:52,-1,Elijah Valdez Turnover.,59,94
3:30,155,Billy Brown missed Jumper.,59,94
3:30,-1,Elijah Valdez Defensive Rebound.,59,94
3:09,-1,Elijah Valdez made Jumper.,61,94
2:49,155,Thomas Blake missed Three Point Jumper.,61,94
2:49,-1,Quentin Canty Defensive Rebound.,61,94
2:49,155,Official TV Timeout,61,94
2:28,-1,Lloyd Wheeler missed Jumper.,61,94
2:28,155,Devon Pekas Defensive Rebound.,61,94
2:12,155,Billy Brown made Three Point Jumper. Assisted by Thomas Blake.,61,97
1:41,-1,Lloyd Wheeler Turnover.,61,97
1:37,155,Kienan Walter Turnover.,61,97
1:36,-1,Lloyd Wheeler Steal.,61,97
1:33,-1,Lloyd Wheeler Turnover.,61,97
1:31,155,Thomas Blake Steal.,61,97
1:26,155,Kienan Walter missed Jumper.,61,97
1:26,-1,Travis Barton Defensive Rebound.,61,97
0:47,-1,Marcus Holman made Jumper.,63,97
0:25,155,Devon Pekas missed Three Point Jumper.,63,97
0:25,155,Josh Collins Offensive Rebound.,63,97
0:23,-1,Foul on Lloyd Wheeler.,63,97
0:23,155,Josh Collins made Free Throw.,63,98
0:23,155,Josh Collins made Free Throw.,63,99
0:06,155,Thomas Blake missed Jumper.,63,99
0:06,-1,Marcus Holman Defensive Rebound.,63,99
0:02,155,Josh Collins made Layup.,63,101
0:00,155,End of Game,65,99
