UTEP,344,Mississippi State,2638
3:07,344,Quinndary Weatherspoon made Free Throw.,27,29
3:07,344,Quinndary Weatherspoon made Free Throw.,27,30
2:54,344,Foul on Schnider Herard.,27,30
2:54,2638,Matt Willms made Free Throw.,28,30
2:54,2638,Matt Willms missed Free Throw.,28,30
2:54,344,Tyson Carter Defensive Rebound.,28,30
2:43,344,Mario Kegler missed Three Point Jumper.,28,30
2:43,2638,UTEP Defensive Rebound.,28,30
2:17,2638,Matt Willms made Jumper.,30,30
2:04,344,Mario Kegler missed Three Point Jumper.,30,30
2:04,2638,Dominic Artis Defensive Rebound.,30,30
1:55,2638,Dominic Artis made Layup. Assisted by Trey Touchet.,32,30
1:52,344,Mississippi St  Timeout,32,30
1:29,344,Eli Wright missed Jumper.,32,30
1:29,344,Schnider Herard Offensive Rebound.,32,30
1:18,344,Eli Wright missed Layup.,32,30
1:18,2638,Matt Willms Block.,32,30
1:17,2638,Omega Harris Defensive Rebound.,32,30
0:47,344,Foul on I.J. Ready.,32,30
0:47,2638,Omega Harris missed Free Throw.,32,30
0:47,2638,UTEP Deadball Team Rebound.,32,30
0:47,2638,Omega Harris made Free Throw.,33,30
0:25,344,Lamar Peters made Three Point Jumper. Assisted by Schnider Herard.,33,33
0:04,2638,Trey Touchet missed Three Point Jumper.,33,33
0:04,344,Tyson Carter Defensive Rebound.,33,33
0:00,344,End of 1st half,33,33
19:53,344,Foul on Quinndary Weatherspoon.,33,33
19:32,2638,Paul Thomas missed Jumper.,33,33
19:32,344,Tyson Carter Defensive Rebound.,33,33
19:24,344,Tyson Carter missed Three Point Jumper.,33,33
19:24,2638,Omega Harris Defensive Rebound.,33,33
19:15,2638,Matt Willms made Layup. Assisted by Omega Harris.,35,33
18:51,344,Quinndary Weatherspoon missed Jumper.,35,33
18:51,2638,Matt Willms Defensive Rebound.,35,33
18:37,2638,Jake Flaggert Turnover.,35,33
18:19,2638,Foul on Paul Thomas.,35,33
18:09,344,Tyson Carter missed Three Point Jumper.,35,33
18:09,2638,Matt Willms Defensive Rebound.,35,33
17:46,2638,Paul Thomas missed Jumper.,35,33
17:46,344,Quinndary Weatherspoon Defensive Rebound.,35,33
17:35,344,Mario Kegler Turnover.,35,33
17:13,344,Foul on Quinndary Weatherspoon.,35,33
16:55,2638,Omega Harris missed Jumper.,35,33
16:55,344,Mario Kegler Defensive Rebound.,35,33
16:45,344,Mario Kegler missed Layup.,35,33
16:45,2638,Matt Willms Defensive Rebound.,35,33
16:40,2638,Dominic Artis made Jumper.,37,33
16:40,344,Foul on Lamar Peters.,37,33
16:40,2638,Dominic Artis made Free Throw.,38,33
16:24,344,Mario Kegler missed Layup.,38,33
16:24,2638,Paul Thomas Block.,38,33
16:23,2638,UTEP Defensive Rebound.,38,33
16:09,344,Foul on Aric Holman.,38,33
15:58,2638,Omega Harris missed Three Point Jumper.,38,33
15:58,344,I.J. Ready Defensive Rebound.,38,33
15:55,344,I.J. Ready made Jumper.,38,35
15:50,2638,Paul Thomas Turnover.,38,35
15:35,344,Quinndary Weatherspoon missed Three Point Jumper.,38,35
15:35,2638,Matt Willms Defensive Rebound.,38,35
15:18,2638,Dominic Artis missed Jumper.,38,35
15:18,2638,Paul Thomas Offensive Rebound.,38,35
15:14,2638,Paul Thomas made Layup.,40,35
14:58,2638,Foul on Dominic Artis.,40,35
14:43,344,Aric Holman missed Three Point Jumper.,40,35
14:43,2638,Jake Flaggert Defensive Rebound.,40,35
14:36,344,Foul on Schnider Herard.,40,35
14:22,2638,Omega Harris Turnover.,40,35
14:21,344,I.J. Ready Steal.,40,35
14:08,344,Schnider Herard Turnover.,40,35
14:07,2638,Dominic Artis Steal.,40,35
14:04,2638,Omega Harris Turnover.,40,35
14:03,344,Aric Holman Steal.,40,35
14:02,344,Foul on I.J. Ready.,40,35
14:02,344,I.J. Ready Turnover.,40,35
13:48,2638,Paul Thomas made Layup. Assisted by Matt Willms.,42,35
13:48,344,Foul on Tyson Carter.,42,35
13:48,2638,Paul Thomas made Free Throw.,43,35
13:26,2638,Foul on Jake Flaggert.,43,35
13:19,344,Lamar Peters missed Jumper.,43,35
13:19,344,Aric Holman Offensive Rebound.,43,35
13:15,344,Aric Holman missed Two Point Tip Shot.,43,35
13:15,344,Mississippi St Offensive Rebound.,43,35
13:09,344,Lamar Peters made Three Point Jumper. Assisted by Tyson Carter.,43,38
13:07,2638,Foul on Matt Willms.,43,38
13:07,344,Lamar Peters made Free Throw.,43,39
12:43,2638,Dominic Artis missed Three Point Jumper.,43,39
12:43,344,Schnider Herard Defensive Rebound.,43,39
12:24,344,Tyson Carter made Three Point Jumper. Assisted by Lamar Peters.,43,42
12:04,2638,Matt Willms missed Jumper.,43,42
12:04,344,Mario Kegler Defensive Rebound.,43,42
11:56,344,Mario Kegler missed Three Point Jumper.,43,42
11:56,344,Schnider Herard Offensive Rebound.,43,42
11:50,344,Official TV Timeout,43,42
11:39,344,Tyson Carter missed Jumper.,43,42
11:39,2638,UTEP Defensive Rebound.,43,42
11:22,344,Foul on Lamar Peters.,43,42
11:22,2638,Dominic Artis missed Free Throw.,43,42
11:22,344,Tyson Carter Defensive Rebound.,43,42
11:15,344,Lamar Peters Turnover.,43,42
10:51,2638,Kelvin Jones Turnover.,43,42
10:32,2638,Foul on Kelvin Jones.,43,42
10:32,344,Quinndary Weatherspoon made Free Throw.,43,43
10:32,344,Quinndary Weatherspoon made Free Throw.,43,44
10:18,344,Foul on Quinndary Weatherspoon.,43,44
10:18,2638,Kelvin Jones made Free Throw.,44,44
10:18,2638,Kelvin Jones made Free Throw.,45,44
10:02,344,Mario Kegler made Layup. Assisted by Quinndary Weatherspoon.,45,46
9:35,2638,Omega Harris missed Three Point Jumper.,45,46
9:35,344,Mario Kegler Defensive Rebound.,45,46
9:27,2638,Foul on Kelvin Jones.,45,46
9:27,344,Quinndary Weatherspoon made Free Throw.,45,47
9:27,344,Quinndary Weatherspoon missed Free Throw.,45,47
9:27,2638,Paul Thomas Defensive Rebound.,45,47
9:10,2638,Matt Willms missed Jumper.,45,47
9:10,2638,Paul Thomas Offensive Rebound.,45,47
9:06,2638,Paul Thomas missed Layup.,45,47
9:06,344,Mario Kegler Defensive Rebound.,45,47
9:01,344,I.J. Ready Turnover.,45,47
9:00,2638,Dominic Artis Steal.,45,47
8:56,2638,Omega Harris missed Layup.,45,47
8:56,344,Tyson Carter Defensive Rebound.,45,47
8:44,344,Quinndary Weatherspoon missed Layup.,45,47
8:44,2638,Matt Willms Defensive Rebound.,45,47
8:22,2638,Foul on Paul Thomas.,45,47
8:22,2638,Paul Thomas Turnover.,45,47
8:06,344,I.J. Ready missed Jumper.,45,47
8:06,2638,Matt Willms Defensive Rebound.,45,47
7:48,2638,UTEP  Timeout,45,47
7:37,2638,Jake Flaggert missed Three Point Jumper.,45,47
7:37,344,Lamar Peters Defensive Rebound.,45,47
7:06,344,Aric Holman made Dunk. Assisted by Lamar Peters.,45,49
6:50,2638,Dominic Artis made Layup.,47,49
6:33,344,Quinndary Weatherspoon missed Layup.,47,49
6:33,2638,Matt Willms Defensive Rebound.,47,49
6:08,2638,Jake Flaggert missed Three Point Jumper.,47,49
6:08,2638,Dominic Artis Offensive Rebound.,47,49
5:51,2638,Dominic Artis made Layup.,49,49
5:23,344,Aric Holman made Jumper. Assisted by I.J. Ready.,49,51
5:18,344,Mississippi St  Timeout,49,51
5:05,344,Foul on Schnider Herard.,49,51
5:05,2638,Matt Willms made Free Throw.,50,51
5:05,2638,Matt Willms missed Free Throw.,50,51
5:05,344,Mario Kegler Defensive Rebound.,50,51
4:37,344,I.J. Ready made Jumper.,50,53
4:08,2638,Dominic Artis missed Jumper.,50,53
4:08,344,Quinndary Weatherspoon Defensive Rebound.,50,53
3:38,344,I.J. Ready missed Jumper.,50,53
3:38,2638,Omega Harris Defensive Rebound.,50,53
3:25,2638,Matt Willms missed Jumper.,50,53
3:25,2638,Matt Willms Offensive Rebound.,50,53
3:23,344,Foul on Aric Holman.,50,53
3:23,344,Official TV Timeout,50,53
3:23,2638,Matt Willms missed Free Throw.,50,53
3:23,2638,UTEP Deadball Team Rebound.,50,53
3:23,2638,Matt Willms made Free Throw.,51,53
3:13,344,Lamar Peters made Three Point Jumper. Assisted by Quinndary Weatherspoon.,51,56
2:55,2638,Dominic Artis made Three Point Jumper.,54,56
2:30,344,Quinndary Weatherspoon missed Three Point Jumper.,54,56
2:30,2638,Dominic Artis Defensive Rebound.,54,56
2:14,2638,UTEP  Timeout,54,56
1:58,2638,Omega Harris missed Jumper.,54,56
1:58,2638,Paul Thomas Offensive Rebound.,54,56
1:43,2638,Jake Flaggert Turnover.,54,56
1:43,344,Quinndary Weatherspoon Steal.,54,56
1:26,344,Foul on Aric Holman.,54,56
1:26,344,Aric Holman Turnover.,54,56
1:17,2638,Omega Harris missed Three Point Jumper.,54,56
1:17,344,Schnider Herard Defensive Rebound.,54,56
0:51,344,Lamar Peters made Three Point Jumper.,54,59
0:42,2638,Dominic Artis missed Three Point Jumper.,54,59
0:42,344,Quinndary Weatherspoon Defensive Rebound.,54,59
0:29,2638,Foul on Dominic Artis.,54,59
0:29,344,I.J. Ready made Free Throw.,54,60
0:29,344,I.J. Ready made Free Throw.,54,61
0:29,344,Mississippi St  Timeout,54,61
0:22,2638,Jake Flaggert missed Three Point Jumper.,54,61
0:22,344,Tyson Carter Defensive Rebound.,54,61
0:00,344,End of Game,54,61
