Stetson,151,East Carolina,56
14:44,151,Kentrell Barkley missed Three Point Jumper.,5,8
14:44,56,Angel Rivera Defensive Rebound.,5,8
14:33,56,Angel Rivera Turnover.,5,8
14:33,151,Clarence Williams Steal.,5,8
14:17,151,Caleb White missed Jumper.,5,8
14:16,56,Clay Verk Block.,5,8
14:15,56,Luke Doyle Defensive Rebound.,5,8
14:05,56,B.J. Glasford Turnover.,5,8
14:03,151,Kentrell Barkley Steal.,5,8
13:59,56,Foul on Luke Doyle.,5,8
13:49,151,Andre Washington made Jumper.,5,10
13:34,56,Leo Goodman missed Jumper.,5,10
13:34,151,Andre Washington Defensive Rebound.,5,10
13:26,56,Foul on Derick Newtwon.,5,10
13:20,151,B.J. Tyson missed Three Point Jumper.,5,10
13:20,56,B.J. Glasford Defensive Rebound.,5,10
13:07,56,Clay Verk made Layup. Assisted by B.J. Glasford.,7,10
12:42,151,Raquan Wilkins missed Three Point Jumper.,7,10
12:42,56,B.J. Glasford Defensive Rebound.,7,10
12:33,56,Leo Goodman missed Three Point Jumper.,7,10
12:33,151,Caleb White Defensive Rebound.,7,10
12:24,151,Raquan Wilkins Turnover.,7,10
12:09,56,Larry Dennis missed Layup.,7,10
12:09,151,Andre Washington Defensive Rebound.,7,10
11:59,151,Official TV Timeout,7,10
11:47,56,Foul on B.J. Glasford.,7,10
11:47,151,Andre Washington made Free Throw.,7,11
11:47,151,Andre Washington made Free Throw.,7,12
11:45,151,Foul on Andre Washington.,7,12
11:45,56,Derick Newtwon made Free Throw.,8,12
11:45,56,Derick Newtwon made Free Throw.,9,12
11:15,56,Foul on Larry Dennis.,9,12
11:08,151,B.J. Tyson made Three Point Jumper. Assisted by Kentrell Barkley.,9,15
10:53,56,Foul on Derick Newtwon.,9,15
10:53,56,Derick Newtwon Turnover.,9,15
10:38,151,Andre Washington made Jumper.,9,17
10:18,56,Kevin Ndahiro Turnover.,9,17
10:05,151,Caleb White missed Layup.,9,17
10:05,56,Kevin Ndahiro Block.,9,17
10:03,151,Kentrell Barkley Offensive Rebound.,9,17
9:54,151,Kentrell Barkley made Layup.,9,19
9:32,56,Derick Newtwon made Jumper.,11,19
9:07,56,Foul on Kevin Ndahiro.,11,19
9:07,151,Andre Washington made Free Throw.,11,20
9:07,151,Clarence Williams Turnover.,11,20
8:50,56,Luke Doyle missed Three Point Jumper.,11,20
8:50,151,Andre Washington Defensive Rebound.,11,20
8:40,56,Foul on Clay Verk.,11,20
8:40,151,Andre Washington made Free Throw.,11,21
8:40,151,Andre Washington made Free Throw.,11,22
8:27,56,B.J. Glasford missed Three Point Jumper.,11,22
8:27,151,Clarence Williams Defensive Rebound.,11,22
8:15,151,B.J. Tyson missed Layup.,11,22
8:15,151,Andre Washington Offensive Rebound.,11,22
8:13,151,Andre Washington made Jumper.,11,24
8:03,56,Divine Myles missed Jumper.,11,24
8:03,151,Clarence Williams Defensive Rebound.,11,24
7:41,151,Caleb White made Three Point Jumper. Assisted by Kentrell Barkley.,11,27
7:39,56,Stetson  Timeout,11,27
7:26,56,Foul on Clay Verk.,11,27
7:26,56,Clay Verk Turnover.,11,27
6:55,151,East Carolina  Turnover.,11,27
6:47,56,Larry Dennis made Layup. Assisted by Luke Doyle.,13,27
6:47,151,Foul on B.J. Tyson.,13,27
6:47,56,Larry Dennis made Free Throw.,14,27
6:36,151,Deng Riak made Jumper. Assisted by Kentrell Barkley.,14,29
6:18,56,Luke Doyle missed Layup.,14,29
6:18,151,Andre Washington Block.,14,29
6:17,56,Stetson Offensive Rebound.,14,29
6:15,56,B.J. Glasford missed Jumper.,14,29
6:15,151,Kentrell Barkley Defensive Rebound.,14,29
5:56,56,Foul on Larry Dennis.,14,29
5:56,151,Andre Washington missed Free Throw.,14,29
5:56,151,East Carolina Deadball Team Rebound.,14,29
5:56,151,Andre Washington missed Free Throw.,14,29
5:56,56,Larry Dennis Defensive Rebound.,14,29
5:46,56,B.J. Glasford missed Three Point Jumper.,14,29
5:46,151,Kentrell Barkley Defensive Rebound.,14,29
5:35,151,Caleb White missed Three Point Jumper.,14,29
5:35,151,East Carolina Offensive Rebound.,14,29
5:29,151,B.J. Tyson made Three Point Jumper. Assisted by Kentrell Barkley.,14,32
5:13,56,Larry Dennis missed Jumper.,14,32
5:13,151,Andre Washington Block.,14,32
5:12,56,Stetson Offensive Rebound.,14,32
4:59,56,Leo Goodman missed Three Point Jumper.,14,32
4:59,151,Kentrell Barkley Defensive Rebound.,14,32
4:48,151,Kentrell Barkley Turnover.,14,32
4:39,56,Leo Goodman missed Three Point Jumper.,14,32
4:39,151,Kentrell Barkley Defensive Rebound.,14,32
4:23,151,B.J. Tyson made Jumper.,14,34
4:10,56,Divine Myles missed Layup.,14,34
4:10,56,Divine Myles Offensive Rebound.,14,34
4:07,151,Foul on Deng Riak.,14,34
4:07,56,Divine Myles made Free Throw.,15,34
4:07,56,Divine Myles made Free Throw.,16,34
3:51,151,Deng Riak Turnover.,16,34
3:51,151,Official TV Timeout,16,34
3:35,151,Foul on Jabari Craig.,16,34
3:35,56,Larry Dennis missed Free Throw.,16,34
3:35,151,Deng Riak Defensive Rebound.,16,34
3:25,151,Foul on Deng Riak.,16,34
3:25,151,Deng Riak Turnover.,16,34
3:05,56,Leo Goodman missed Layup.,16,34
3:05,151,Jabari Craig Block.,16,34
3:04,151,Kentrell Barkley Defensive Rebound.,16,34
3:04,56,Foul on Larry Dennis.,16,34
3:04,151,Kentrell Barkley made Free Throw.,16,35
3:04,151,Kentrell Barkley missed Free Throw.,16,35
3:04,56,Divine Myles Defensive Rebound.,16,35
2:59,151,Foul on B.J. Tyson.,16,35
2:59,56,Divine Myles missed Free Throw.,16,35
2:59,56,Stetson Deadball Team Rebound.,16,35
2:59,56,Divine Myles missed Free Throw.,16,35
2:59,151,Jabari Craig Defensive Rebound.,16,35
2:35,151,Clarence Williams Turnover.,16,35
2:28,56,Angel Rivera made Layup.,18,35
2:01,151,Jabari Craig missed Jumper.,18,35
2:01,151,Clarence Williams Offensive Rebound.,18,35
1:56,151,Clarence Williams missed Layup.,18,35
1:56,56,Luke Doyle Defensive Rebound.,18,35
1:54,151,Foul on Jabari Craig.,18,35
1:54,56,Luke Doyle made Free Throw.,19,35
1:54,56,Luke Doyle missed Free Throw.,19,35
1:54,151,Andre Washington Defensive Rebound.,19,35
1:39,151,Clarence Williams missed Jumper.,19,35
1:39,151,Andre Washington Offensive Rebound.,19,35
1:33,151,Andre Washington missed Jumper.,19,35
1:33,56,Kevin Ndahiro Defensive Rebound.,19,35
1:26,56,Divine Myles made Layup.,21,35
1:20,151,East Carolina  Timeout,21,35
1:07,151,Caleb White Turnover.,21,35
1:07,56,Kevin Ndahiro Steal.,21,35
1:02,56,Luke Doyle missed Three Point Jumper.,21,35
1:02,151,Andre Washington Defensive Rebound.,21,35
0:51,151,Caleb White missed Three Point Jumper.,21,35
0:51,56,Divine Myles Defensive Rebound.,21,35
0:44,56,Luke Doyle made Layup. Assisted by Angel Rivera.,23,35
0:25,151,Caleb White made Jumper.,23,37
0:03,56,Luke Doyle missed Three Point Jumper.,23,37
0:03,56,Stetson Offensive Rebound.,23,37
0:00,151,End of 1st half,23,37
19:53,56,Derick Newtwon made Three Point Jumper. Assisted by Divine Myles.,26,37
19:32,151,Caleb White made Jumper.,26,39
19:11,56,Larry Dennis made Jumper. Assisted by Divine Myles.,28,39
18:50,151,Caleb White made Three Point Jumper. Assisted by Kentrell Barkley.,28,42
18:36,56,Derick Newtwon missed Three Point Jumper.,28,42
18:36,151,Andre Washington Defensive Rebound.,28,42
18:15,151,Clarence Williams missed Jumper.,28,42
18:15,151,Andre Washington Offensive Rebound.,28,42
18:12,56,Foul on Angel Rivera.,28,42
18:12,151,Andre Washington missed Free Throw.,28,42
18:12,151,East Carolina Deadball Team Rebound.,28,42
18:12,151,Andre Washington made Free Throw.,28,43
18:00,151,Foul on Clarence Williams.,28,43
18:00,56,Derick Newtwon made Free Throw.,29,43
18:00,56,Derick Newtwon made Free Throw.,30,43
17:46,151,B.J. Tyson missed Three Point Jumper.,30,43
17:46,151,Andre Washington Offensive Rebound.,30,43
17:41,56,Foul on Larry Dennis.,30,43
17:41,151,Andre Washington made Free Throw.,30,44
17:41,151,Andre Washington missed Free Throw.,30,44
17:41,151,Clarence Williams Offensive Rebound.,30,44
17:35,151,B.J. Tyson made Jumper. Assisted by Clarence Williams.,30,46
17:21,56,Derick Newtwon missed Three Point Jumper.,30,46
17:21,151,B.J. Tyson Defensive Rebound.,30,46
17:11,151,Kentrell Barkley missed Three Point Jumper.,30,46
17:11,56,Divine Myles Defensive Rebound.,30,46
17:03,56,Luke Doyle missed Three Point Jumper.,30,46
17:03,151,Caleb White Defensive Rebound.,30,46
16:40,151,Andre Washington made Jumper. Assisted by B.J. Tyson.,30,48
16:10,56,Kevin Ndahiro missed Dunk.,30,48
16:10,151,Clarence Williams Block.,30,48
16:09,151,B.J. Tyson Defensive Rebound.,30,48
16:05,151,Kentrell Barkley made Layup. Assisted by B.J. Tyson.,30,50
16:05,56,Stetson  Timeout,30,50
15:42,56,B.J. Glasford missed Three Point Jumper.,30,50
15:42,151,B.J. Tyson Defensive Rebound.,30,50
15:32,151,Kentrell Barkley Turnover.,30,50
15:32,56,Divine Myles Steal.,30,50
15:32,151,Foul on Kentrell Barkley.,30,50
15:32,151,Official TV Timeout,30,50
15:21,56,Leo Goodman missed Three Point Jumper.,30,50
15:21,151,Caleb White Defensive Rebound.,30,50
15:14,56,Foul on Leo Goodman.,30,50
15:02,151,Kentrell Barkley missed Jumper.,30,50
15:02,56,Leo Goodman Defensive Rebound.,30,50
14:52,56,Divine Myles Turnover.,30,50
14:52,151,Kentrell Barkley Steal.,30,50
14:47,151,Foul on Deng Riak.,30,50
14:47,151,Deng Riak Turnover.,30,50
14:35,56,Clay Verk made Three Point Jumper. Assisted by Divine Myles.,33,50
14:20,151,Caleb White Turnover.,33,50
14:10,56,Angel Rivera Turnover.,33,50
14:09,151,Jabari Craig Steal.,33,50
14:06,151,B.J. Tyson made Layup.,33,52
13:52,56,Leo Goodman missed Three Point Jumper.,33,52
13:52,151,Caleb White Defensive Rebound.,33,52
13:43,151,Caleb White made Three Point Jumper. Assisted by Kentrell Barkley.,33,55
13:17,151,Foul on Jabari Craig.,33,55
13:07,56,Leo Goodman missed Layup.,33,55
13:07,56,Clay Verk Offensive Rebound.,33,55
13:06,151,Foul on B.J. Tyson.,33,55
13:06,56,Clay Verk missed Free Throw.,33,55
13:06,56,Stetson Deadball Team Rebound.,33,55
13:06,56,Clay Verk missed Free Throw.,33,55
13:06,56,Leo Goodman Offensive Rebound.,33,55
13:02,56,Luke Doyle missed Three Point Jumper.,33,55
13:02,151,Clarence Williams Defensive Rebound.,33,55
12:55,56,Foul on Luke Doyle.,33,55
12:47,151,Jeremy Sheppard missed Three Point Jumper.,33,55
12:47,151,Jeremy Sheppard Offensive Rebound.,33,55
12:42,151,Deng Riak missed Layup.,33,55
12:42,56,Derick Newtwon Defensive Rebound.,33,55
12:40,151,Foul on Deng Riak.,33,55
12:30,56,Luke Doyle missed Layup.,33,55
12:30,151,Caleb White Defensive Rebound.,33,55
12:18,151,Clarence Williams missed Jumper.,33,55
12:18,56,Angel Rivera Defensive Rebound.,33,55
12:09,151,Foul on Jeremy Sheppard.,33,55
12:09,56,Angel Rivera made Free Throw.,34,55
12:09,56,Angel Rivera made Free Throw.,35,55
11:50,151,Jeremy Sheppard missed Three Point Jumper.,35,55
11:50,56,Stetson Defensive Rebound.,35,55
11:48,151,Official TV Timeout,35,55
11:40,56,Derick Newtwon missed Three Point Jumper.,35,55
11:40,151,Clarence Williams Defensive Rebound.,35,55
11:23,151,Jeremy Sheppard missed Jumper.,35,55
11:23,56,Derick Newtwon Defensive Rebound.,35,55
11:12,56,Angel Rivera missed Three Point Jumper.,35,55
11:12,151,Kentrell Barkley Defensive Rebound.,35,55
10:58,151,Caleb White missed Jumper.,35,55
10:58,56,Luke Doyle Defensive Rebound.,35,55
10:42,151,Foul on B.J. Tyson.,35,55
10:42,56,Derick Newtwon made Free Throw.,36,55
10:42,56,Derick Newtwon made Free Throw.,37,55
10:32,151,Foul on Clarence Williams.,37,55
10:32,151,Clarence Williams Turnover.,37,55
10:18,56,Divine Myles made Jumper.,39,55
9:54,151,Caleb White made Jumper. Assisted by Clarence Williams.,39,57
9:43,56,Clay Verk missed Three Point Jumper.,39,57
9:43,56,Angel Rivera Offensive Rebound.,39,57
9:41,151,Foul on Jeremy Sheppard.,39,57
9:41,56,Angel Rivera made Free Throw.,40,57
9:41,56,Angel Rivera made Free Throw.,41,57
9:24,151,Clarence Williams missed Jumper.,41,57
9:24,56,Divine Myles Defensive Rebound.,41,57
9:17,56,Luke Doyle missed Three Point Jumper.,41,57
9:17,151,East Carolina Defensive Rebound.,41,57
8:54,151,Kentrell Barkley made Layup. Assisted by Andre Washington.,41,59
8:53,56,Foul on Luke Doyle.,41,59
8:53,151,Kentrell Barkley made Free Throw.,41,60
8:39,56,Divine Myles missed Jumper.,41,60
8:39,151,Clarence Williams Defensive Rebound.,41,60
8:25,151,Clarence Williams Turnover.,41,60
8:25,56,B.J. Glasford Steal.,41,60
8:20,151,Foul on Caleb White.,41,60
8:20,56,Derick Newtwon made Free Throw.,42,60
8:20,56,Derick Newtwon made Free Throw.,43,60
8:06,56,Foul on Derick Newtwon.,43,60
8:02,151,Caleb White made Three Point Jumper. Assisted by Kentrell Barkley.,43,63
7:42,56,Derick Newtwon missed Layup.,43,63
7:42,151,Andre Washington Block.,43,63
7:41,151,Clarence Williams Defensive Rebound.,43,63
7:37,151,Caleb White made Three Point Jumper. Assisted by Jeremy Sheppard.,43,66
7:24,56,Stetson  Timeout,43,66
7:02,56,Divine Myles missed Layup.,43,66
7:02,56,Larry Dennis Offensive Rebound.,43,66
6:59,56,Larry Dennis missed Two Point Tip Shot.,43,66
6:59,56,Divine Myles Offensive Rebound.,43,66
6:57,56,Divine Myles missed Jumper.,43,66
6:57,56,Larry Dennis Offensive Rebound.,43,66
6:55,151,Foul on Andre Washington.,43,66
6:55,56,Larry Dennis missed Free Throw.,43,66
6:55,56,Stetson Deadball Team Rebound.,43,66
6:55,56,Larry Dennis made Free Throw.,44,66
6:38,151,Clarence Williams missed Three Point Jumper.,44,66
6:38,151,Kentrell Barkley Offensive Rebound.,44,66
6:35,151,Kentrell Barkley missed Layup.,44,66
6:35,56,Larry Dennis Block.,44,66
6:33,151,Clarence Williams Offensive Rebound.,44,66
6:32,151,Clarence Williams made Jumper.,44,68
6:11,56,Derick Newtwon missed Layup.,44,68
6:11,151,Andre Washington Block.,44,68
6:09,56,Stetson Offensive Rebound.,44,68
6:08,56,B.J. Glasford missed Three Point Jumper.,44,68
6:08,151,Kentrell Barkley Defensive Rebound.,44,68
6:02,56,Foul on Leo Goodman.,44,68
6:02,151,B.J. Tyson missed Free Throw.,44,68
6:02,151,East Carolina Deadball Team Rebound.,44,68
6:02,151,B.J. Tyson missed Free Throw.,44,68
6:02,151,Clarence Williams Offensive Rebound.,44,68
5:56,151,Caleb White missed Three Point Jumper.,44,68
5:56,56,Divine Myles Defensive Rebound.,44,68
5:49,56,B.J. Glasford missed Layup.,44,68
5:49,151,Kentrell Barkley Defensive Rebound.,44,68
5:39,56,Foul on B.J. Glasford.,44,68
5:39,151,Caleb White missed Free Throw.,44,68
5:39,151,East Carolina Deadball Team Rebound.,44,68
5:39,151,Caleb White made Free Throw.,44,69
5:21,56,Derick Newtwon made Layup. Assisted by Angel Rivera.,46,69
5:07,151,Clarence Williams missed Jumper.,46,69
5:07,151,Andre Washington Offensive Rebound.,46,69
5:03,151,Andre Washington made Jumper.,46,71
4:40,56,Angel Rivera missed Three Point Jumper.,46,71
4:40,151,East Carolina Defensive Rebound.,46,71
4:21,151,Caleb White missed Layup.,46,71
4:21,151,Deng Riak Offensive Rebound.,46,71
4:20,151,Deng Riak missed Jumper.,46,71
4:20,151,Andre Washington Offensive Rebound.,46,71
4:17,151,Andre Washington Turnover.,46,71
4:16,56,Angel Rivera Steal.,46,71
4:08,56,Derick Newtwon missed Three Point Jumper.,46,71
4:08,151,Andre Washington Defensive Rebound.,46,71
3:47,151,B.J. Tyson missed Jumper.,46,71
3:47,56,Derick Newtwon Defensive Rebound.,46,71
3:40,56,Divine Myles made Layup.,48,71
3:23,151,Deng Riak missed Jumper.,48,71
3:23,151,Andre Washington Offensive Rebound.,48,71
3:19,56,Foul on Leo Goodman.,48,71
3:19,151,Official TV Timeout,48,71
3:19,151,Andre Washington missed Free Throw.,48,71
3:19,56,Divine Myles Defensive Rebound.,48,71
3:13,56,Leo Goodman missed Three Point Jumper.,48,71
3:13,151,Andre Washington Defensive Rebound.,48,71
2:50,151,Raquan Wilkins Turnover.,48,71
2:40,56,Derick Newtwon missed Jumper.,48,71
2:40,151,Deng Riak Defensive Rebound.,48,71
2:31,151,B.J. Tyson made Layup. Assisted by Jeremy Sheppard.,48,73
2:16,56,Clay Verk Turnover.,48,73
1:48,151,Addison Hill Turnover.,48,73
1:48,56,Divine Myles Steal.,48,73
1:29,56,Divine Myles missed Three Point Jumper.,48,73
1:29,56,Clay Verk Offensive Rebound.,48,73
1:19,151,Foul on Justice Obasohan.,48,73
1:19,56,Divine Myles made Free Throw.,49,73
1:19,56,Divine Myles made Free Throw.,50,73
1:10,151,Addison Hill Turnover.,50,73
1:00,56,Derick Newtwon missed Layup.,50,73
1:00,151,Raquan Wilkins Defensive Rebound.,50,73
0:52,151,Jeremy Sheppard missed Three Point Jumper.,50,73
0:52,56,Divine Myles Defensive Rebound.,50,73
0:46,56,Angel Rivera missed Layup.,50,73
0:46,151,Addison Hill Defensive Rebound.,50,73
0:36,151,Addison Hill Turnover.,50,73
0:20,56,Clay Verk missed Three Point Jumper.,50,73
0:20,151,Jabari Craig Defensive Rebound.,50,73
0:11,151,Raquan Wilkins missed Three Point Jumper.,50,73
0:11,56,Stetson Defensive Rebound.,50,73
0:03,56,Derick Newtwon missed Three Point Jumper.,50,73
0:03,151,East Carolina Defensive Rebound.,50,73
0:00,151,End of Game,50,73
