Thomas (GA),Error,North Florida,2454
3:35,2454,Foul on Dallas Moore.,30,32
3:35,-1,Katrell Myers made Free Throw.,31,32
3:35,-1,Katrell Myers made Free Throw.,32,32
3:25,2454,Dallas Moore missed Three Point Jumper.,32,32
3:25,-1,Thomas (GA) Defensive Rebound.,32,32
3:08,-1,Javoris Cooks made Three Point Jumper. Assisted by William Cruz.,35,32
2:40,2454,Karlos Odum made Layup. Assisted by Wajid Aminu.,35,34
2:21,-1,Foul on Ivan Tomic.,35,34
2:21,-1,Ivan Tomic Turnover.,35,34
2:13,-1,Foul on Jalen Bonds.,35,34
2:13,2454,Nick Malonga missed Free Throw.,35,34
2:13,2454,North Florida Deadball Team Rebound.,35,34
2:13,2454,Nick Malonga made Free Throw.,35,35
1:55,-1,Ivan Tomic missed Three Point Jumper.,35,35
1:55,2454,Aaron Bodager Defensive Rebound.,35,35
1:38,2454,Karlos Odum made Layup. Assisted by Aaron Bodager.,35,37
1:24,2454,Foul on Wajid Aminu.,35,37
1:24,-1,Katrell Myers made Free Throw.,36,37
1:24,-1,Katrell Myers made Free Throw.,37,37
1:05,2454,Garrett Sams made Layup.,37,39
0:50,-1,Javoris Cooks made Three Point Jumper.,40,39
0:38,2454,Karlos Odum Turnover.,40,39
0:36,-1,Javoris Cooks Steal.,40,39
0:34,-1,Javoris Cooks made Layup.,42,39
0:25,2454,Dallas Moore made Three Point Jumper.,42,42
0:04,-1,Javoris Cooks made Three Point Jumper.,45,42
0:00,2454,End of 1st half,45,42
19:45,2454,Wajid Aminu made Jumper. Assisted by Dallas Moore.,45,44
19:12,-1,Javoris Cooks made Three Point Jumper.,48,44
18:58,2454,Aaron Bodager missed Three Point Jumper.,48,44
18:58,-1,Jamison Williams Defensive Rebound.,48,44
18:38,-1,Jamison Williams Turnover.,48,44
18:24,2454,Aaron Bodager Turnover.,48,44
18:24,2454,Foul on Aaron Bodager.,48,44
17:53,-1,Jamison Williams missed Three Point Jumper.,48,44
17:53,2454,Dallas Moore Block.,48,44
17:51,2454,Wajid Aminu Defensive Rebound.,48,44
17:51,2454,Wajid Aminu Turnover.,48,44
17:35,-1,Tre' Ford missed Layup.,48,44
17:35,2454,Dallas Moore Defensive Rebound.,48,44
17:29,2454,Dallas Moore Turnover.,48,44
17:07,-1,Tre' Ford made Layup.,50,44
16:51,-1,Foul on Tre' Ford.,50,44
16:38,-1,Foul on Ivan Tomic.,50,44
16:38,2454,Wajid Aminu made Free Throw.,50,45
16:38,2454,Wajid Aminu made Free Throw.,50,46
16:27,-1,Javoris Cooks missed Layup.,50,46
16:27,2454,Wajid Aminu Defensive Rebound.,50,46
16:18,2454,Dallas Moore missed Three Point Jumper.,50,46
16:18,-1,Javoris Cooks Defensive Rebound.,50,46
15:55,-1,Jamison Williams missed Jumper.,50,46
15:55,2454,North Florida Defensive Rebound.,50,46
15:55,-1,Foul on Katrell Myers.,50,46
15:55,2454,Official TV Timeout,50,46
15:51,-1,Foul on Javoris Cooks.,50,46
15:43,2454,Dallas Moore made Jumper.,50,48
15:29,-1,TJ Rines missed Three Point Jumper.,50,48
15:29,2454,Garrett Sams Defensive Rebound.,50,48
15:21,2454,Garrett Sams missed Layup.,50,48
15:21,-1,Javoris Cooks Defensive Rebound.,50,48
15:14,-1,Javoris Cooks made Layup.,52,48
14:54,2454,Dallas Moore missed Layup.,52,48
14:54,-1,Javoris Cooks Defensive Rebound.,52,48
14:48,-1,Katrell Myers missed Layup.,52,48
14:48,-1,Thomas (GA) Offensive Rebound.,52,48
14:34,-1,Jamison Williams missed Layup.,52,48
14:34,2454,Wajid Aminu Defensive Rebound.,52,48
14:18,2454,Garrett Sams made Three Point Jumper. Assisted by Dallas Moore.,52,51
13:58,-1,Ivan Tomic missed Three Point Jumper.,52,51
13:58,2454,Garrett Sams Defensive Rebound.,52,51
13:55,-1,Foul on William Cruz.,52,51
13:35,-1,Foul on Willie Holloway.,52,51
13:35,2454,Wajid Aminu made Free Throw.,52,52
13:35,2454,Wajid Aminu made Free Throw.,52,53
13:23,-1,William Cruz missed Three Point Jumper.,52,53
13:23,-1,Thomas (GA) Offensive Rebound.,52,53
13:18,-1,Katrell Myers missed Layup.,52,53
13:18,2454,Garrett Sams Block.,52,53
13:16,2454,Garrett Sams Defensive Rebound.,52,53
13:13,2454,Dallas Moore made Layup.,52,55
13:13,-1,Foul on William Cruz.,52,55
13:13,-1,Thomas (GA)  Timeout,52,55
13:13,2454,Dallas Moore made Free Throw.,52,56
12:59,-1,Jalen Bonds missed Jumper.,52,56
12:59,2454,Karlos Odum Defensive Rebound.,52,56
12:52,2454,Dallas Moore made Three Point Jumper.,52,59
12:41,2454,Foul on Dallas Moore.,52,59
12:29,-1,William Cruz missed Layup.,52,59
12:29,2454,Dallas Moore Defensive Rebound.,52,59
12:23,2454,Dallas Moore made Layup.,52,61
12:04,-1,Katrell Myers Turnover.,52,61
12:02,2454,Garrett Sams Steal.,52,61
11:59,2454,Aaron Bodager missed Three Point Jumper.,52,61
11:59,2454,Nick Malonga Offensive Rebound.,52,61
11:54,-1,Foul on Willie Holloway.,52,61
11:54,2454,Official TV Timeout,52,61
11:54,2454,Garrett Sams made Free Throw.,52,62
11:54,2454,Garrett Sams made Free Throw.,52,63
11:38,-1,Katrell Myers missed Layup.,52,63
11:38,2454,Wajid Aminu Defensive Rebound.,52,63
11:28,2454,Nick Malonga made Three Point Jumper. Assisted by Karlos Odum.,52,66
11:10,-1,Katrell Myers missed Layup.,52,66
11:10,2454,Wajid Aminu Defensive Rebound.,52,66
11:09,2454,Technical Foul on North Florida.,52,66
11:09,2454,Dallas Moore made Free Throw.,52,67
11:09,2454,Dallas Moore made Free Throw.,52,68
10:55,2454,Dallas Moore made Layup.,52,70
10:34,-1,Katrell Myers missed Jumper.,52,70
10:34,2454,Wajid Aminu Defensive Rebound.,52,70
10:12,2454,Wajid Aminu Turnover.,52,70
10:11,-1,Ivan Tomic Steal.,52,70
10:05,-1,Javoris Cooks missed Layup.,52,70
10:05,2454,Dallas Moore Defensive Rebound.,52,70
9:59,2454,Dallas Moore made Layup.,52,72
9:51,-1,Katrell Myers made Three Point Jumper. Assisted by Javoris Cooks.,55,72
9:48,-1,Thomas (GA)  Timeout,55,72
9:46,2454,Garrett Sams Turnover.,55,72
9:38,-1,Katrell Myers made Three Point Jumper.,58,72
9:33,2454,North Florida  Timeout,58,72
9:15,2454,Nick Malonga missed Layup.,58,72
9:15,-1,TJ Rines Defensive Rebound.,58,72
9:00,-1,Jamison Williams missed Layup.,58,72
9:00,2454,Wajid Aminu Block.,58,72
8:58,-1,Thomas (GA) Offensive Rebound.,58,72
8:49,-1,DJ Roulhac missed Layup.,58,72
8:49,2454,Karlos Odum Defensive Rebound.,58,72
8:38,2454,Wajid Aminu made Three Point Jumper. Assisted by Dallas Moore.,58,75
8:22,-1,Katrell Myers missed Layup.,58,75
8:22,2454,Karlos Odum Block.,58,75
8:22,-1,Thomas (GA) Offensive Rebound.,58,75
8:17,-1,Katrell Myers made Jumper.,60,75
8:02,2454,Dallas Moore Turnover.,60,75
8:00,-1,Jamison Williams Steal.,60,75
7:47,-1,Katrell Myers missed Jumper.,60,75
7:47,2454,Aaron Bodager Defensive Rebound.,60,75
7:32,2454,Wajid Aminu made Jumper. Assisted by Dallas Moore.,60,77
7:16,-1,DJ Roulhac missed Three Point Jumper.,60,77
7:16,2454,Nick Malonga Defensive Rebound.,60,77
7:09,2454,Dallas Moore made Three Point Jumper.,60,80
6:53,-1,Katrell Myers made Three Point Jumper.,63,80
6:37,2454,Dallas Moore made Three Point Jumper.,63,83
6:23,-1,Katrell Myers missed Layup.,63,83
6:23,2454,Aaron Bodager Defensive Rebound.,63,83
6:18,-1,Foul on Jamison Williams.,63,83
6:18,2454,Official TV Timeout,63,83
6:18,2454,Wajid Aminu made Free Throw.,63,84
6:18,2454,Wajid Aminu made Free Throw.,63,85
6:08,-1,Jalen Bonds made Layup.,65,85
5:59,2454,Garrett Sams made Three Point Jumper. Assisted by Dallas Moore.,65,88
5:47,-1,Jalen Bonds Turnover.,65,88
5:33,2454,Dallas Moore made Three Point Jumper.,65,91
5:17,-1,Jalen Bonds missed Jumper.,65,91
5:17,2454,Karlos Odum Defensive Rebound.,65,91
5:11,2454,Garrett Sams made Three Point Jumper. Assisted by Dallas Moore.,65,94
5:00,-1,Hezekiah Goodwin made Jumper.,67,94
4:53,2454,Garrett Sams made Three Point Jumper. Assisted by Dallas Moore.,67,97
4:50,2454,North Florida  Timeout,67,97
4:36,2454,Foul on Wajid Aminu.,67,97
4:36,-1,Javoris Cooks made Free Throw.,68,97
4:36,-1,Javoris Cooks missed Free Throw.,68,97
4:36,-1,Willie Holloway Offensive Rebound.,68,97
4:32,2454,Foul on Garrett Sams.,68,97
4:31,-1,Javoris Cooks missed Three Point Jumper.,68,97
4:31,2454,Aaron Bodager Defensive Rebound.,68,97
4:23,2454,Garrett Sams made Three Point Jumper. Assisted by Dallas Moore.,68,100
4:03,-1,William Cruz missed Three Point Jumper.,68,100
4:03,2454,Garrett Sams Defensive Rebound.,68,100
3:37,2454,Wajid Aminu missed Jumper.,68,100
3:37,-1,Ivan Tomic Defensive Rebound.,68,100
3:28,-1,Javoris Cooks missed Three Point Jumper.,68,100
3:28,2454,Wajid Aminu Defensive Rebound.,68,100
3:22,2454,Wajid Aminu Turnover.,68,100
3:22,2454,Official TV Timeout,68,100
3:15,-1,Willie Holloway made Jumper. Assisted by DJ Roulhac.,70,100
2:47,2454,CJ Fisher made Layup.,70,102
2:25,-1,Tre' Ford made Layup.,72,102
2:07,-1,Foul on Willie Holloway.,72,102
2:07,2454,Wajid Aminu missed Free Throw.,72,102
2:07,2454,North Florida Deadball Team Rebound.,72,102
2:07,2454,Wajid Aminu made Free Throw.,72,103
1:57,-1,Tre' Ford Turnover.,72,103
1:54,2454,Benedikt Haid Steal.,72,103
1:45,2454,Wajid Aminu Turnover.,72,103
1:45,2454,Foul on Wajid Aminu.,72,103
1:36,-1,Dante DiSipio missed Layup.,72,103
1:36,2454,Wajid Aminu Defensive Rebound.,72,103
1:15,-1,Foul on Dante DiSipio.,72,103
1:15,2454,Wajid Aminu made Free Throw.,72,104
1:15,2454,Wajid Aminu missed Free Throw.,72,104
1:15,-1,William Cruz Defensive Rebound.,72,104
1:08,2454,Foul on CJ Fisher.,72,104
1:08,-1,William Cruz made Free Throw.,73,104
1:08,-1,William Cruz missed Free Throw.,73,104
1:08,-1,Ivan Tomic Offensive Rebound.,73,104
1:04,-1,Ivan Tomic made Jumper.,75,104
0:50,-1,Foul on William Cruz.,75,104
0:50,2454,CJ Fisher missed Free Throw.,75,104
0:50,2454,North Florida Deadball Team Rebound.,75,104
0:50,2454,CJ Fisher made Free Throw.,75,105
0:45,2454,Foul on Osborn Blount.,75,105
0:45,-1,William Cruz missed Free Throw.,75,105
0:45,-1,Ivan Tomic Offensive Rebound.,75,105
0:32,-1,Dante DiSipio missed Layup.,75,105
0:32,2454,Benedikt Haid Defensive Rebound.,75,105
0:25,2454,Benedikt Haid made Three Point Jumper. Assisted by CJ Fisher.,75,108
0:13,2454,Foul on Karlos Odum.,75,108
0:13,-1,Ivan Tomic made Free Throw.,76,108
0:13,-1,Ivan Tomic made Free Throw.,77,108
0:12,-1,Foul on William Cruz.,77,108
0:12,2454,CJ Fisher made Free Throw.,77,109
0:12,2454,CJ Fisher made Free Throw.,77,110
0:07,-1,TJ Rines made Three Point Jumper.,80,110
0:00,2454,End of Game,80,110
