St. Edward's,Error,Rice,242
0:55,242,Marcus Evans Turnover.,26,49
0:54,-1,Ramir Burton Steal.,26,49
0:50,-1,Ramir Burton missed Layup.,26,49
0:50,242,Marquez Letcher-Ellis Defensive Rebound.,26,49
0:37,242,Marquez Letcher-Ellis missed Three Point Jumper.,26,49
0:37,-1,Sean Watkins Defensive Rebound.,26,49
0:08,-1,Ramir Burton missed Layup.,26,49
0:08,242,Connor Cashaw Defensive Rebound.,26,49
0:03,242,Connor Cashaw Turnover.,26,49
0:03,-1,Sean Watkins Steal.,26,49
0:01,-1,Ramir Burton made Layup. Assisted by Sean Watkins.,28,49
0:00,242,End of 1st half,28,49
19:52,-1,Ethan Gilbert missed Three Point Jumper.,28,49
19:52,-1,Ramir Burton Offensive Rebound.,28,49
19:36,-1,John Gramlich made Three Point Jumper. Assisted by Sean Watkins.,31,49
19:11,242,Austin Meyer Turnover.,31,49
18:57,-1,James Taylor missed Jumper.,31,49
18:57,242,Egor Koulechov Defensive Rebound.,31,49
18:36,242,Marcus Evans missed Jumper.,31,49
18:36,-1,James Taylor Defensive Rebound.,31,49
18:27,-1,John Gramlich missed Three Point Jumper.,31,49
18:27,242,Chad Lott Defensive Rebound.,31,49
18:20,-1,Foul on Ethan Gilbert.,31,49
18:20,242,Chad Lott made Free Throw.,31,50
18:20,242,Chad Lott made Free Throw.,31,51
17:57,-1,James Taylor made Three Point Jumper. Assisted by John Gramlich.,34,51
17:38,242,Chad Lott missed Jumper.,34,51
17:38,-1,Ramir Burton Defensive Rebound.,34,51
17:31,-1,James Taylor missed Three Point Jumper.,34,51
17:31,-1,Ethan Gilbert Offensive Rebound.,34,51
17:27,242,Foul on Austin Meyer.,34,51
17:25,-1,John Gramlich missed Jumper.,34,51
17:25,242,Andrew Drone Defensive Rebound.,34,51
17:11,-1,Foul on James Taylor.,34,51
17:11,242,Andrew Drone made Free Throw.,34,52
17:11,242,Andrew Drone made Free Throw.,34,53
17:00,242,Foul on Chad Lott.,34,53
17:00,-1,St. Edwards  Timeout,34,53
16:53,-1,John Gramlich missed Three Point Jumper.,34,53
16:53,242,Marcus Evans Defensive Rebound.,34,53
16:43,242,Andrew Drone missed Layup.,34,53
16:43,-1,Ramir Burton Block.,34,53
16:43,242,Rice Offensive Rebound.,34,53
16:29,242,Marcus Jackson made Layup.,34,55
16:17,-1,James Taylor missed Jumper.,34,55
16:17,242,Andrew Drone Block.,34,55
16:15,-1,St. Edwards Offensive Rebound.,34,55
16:12,242,Foul on Andrew Drone.,34,55
16:12,-1,Ramir Burton missed Free Throw.,34,55
16:12,-1,St. Edwards Deadball Team Rebound.,34,55
16:12,-1,Ramir Burton made Free Throw.,35,55
16:04,242,Marcus Evans Turnover.,35,55
16:02,-1,Cory McKendree Steal.,35,55
15:59,-1,John Gramlich Turnover.,35,55
15:47,-1,Foul on James Taylor.,35,55
15:47,242,Official TV Timeout,35,55
15:47,242,Andrew Drone missed Free Throw.,35,55
15:47,242,Rice Deadball Team Rebound.,35,55
15:47,242,Andrew Drone missed Free Throw.,35,55
15:47,-1,Cory McKendree Defensive Rebound.,35,55
15:34,-1,Ethan Gilbert made Three Point Jumper. Assisted by Landon Goesling.,38,55
15:22,242,Ako Adams Turnover.,38,55
15:10,-1,Ethan Gilbert missed Three Point Jumper.,38,55
15:10,242,Marquez Letcher-Ellis Defensive Rebound.,38,55
14:59,-1,Foul on Cory McKendree.,38,55
14:59,242,Marquez Letcher-Ellis missed Free Throw.,38,55
14:59,242,Rice Deadball Team Rebound.,38,55
14:59,242,Marquez Letcher-Ellis made Free Throw.,38,56
14:41,-1,Ethan Gilbert made Jumper. Assisted by Lucas Doria.,40,56
14:21,-1,Foul on Lucas Doria.,40,56
14:21,242,Egor Koulechov made Free Throw.,40,57
14:21,242,Egor Koulechov made Free Throw.,40,58
14:06,-1,Lucas Doria made Layup. Assisted by Cory McKendree.,42,58
14:06,242,Foul on Egor Koulechov.,42,58
14:06,242,Rice  Timeout,42,58
14:06,-1,Lucas Doria missed Free Throw.,42,58
14:06,242,Marquez Letcher-Ellis Defensive Rebound.,42,58
13:48,242,Egor Koulechov made Layup.,42,60
13:31,-1,Lucas Doria Turnover.,42,60
13:22,242,Marcus Evans missed Three Point Jumper.,42,60
13:22,-1,St. Edwards Offensive Rebound.,42,60
13:12,242,Foul on Ako Adams.,42,60
13:06,-1,Mark Paterson missed Three Point Jumper.,42,60
13:06,242,Rice Defensive Rebound.,42,60
12:51,-1,Cory McKendree missed Jumper.,42,60
12:51,242,Marcus Jackson Defensive Rebound.,42,60
12:42,-1,Foul on Mark Paterson.,42,60
12:35,242,Marcus Jackson made Jumper.,42,62
12:19,-1,Foul on Lucas Doria.,42,62
12:19,-1,Lucas Doria Turnover.,42,62
12:00,242,Ako Adams missed Three Point Jumper.,42,62
12:00,-1,Matthew Paterson Defensive Rebound.,42,62
11:53,-1,Landon Goesling missed Three Point Jumper.,42,62
11:53,242,Connor Cashaw Defensive Rebound.,42,62
11:44,242,Ako Adams made Layup. Assisted by Egor Koulechov.,42,64
11:23,-1,Landon Goesling missed Jumper.,42,64
11:23,242,Marquez Letcher-Ellis Defensive Rebound.,42,64
11:16,242,Marcus Jackson made Three Point Jumper. Assisted by Ako Adams.,42,67
10:54,-1,Landon Goesling made Jumper. Assisted by Mark Paterson.,44,67
10:41,-1,Foul on Mark Paterson.,44,67
10:41,242,Marquez Letcher-Ellis missed Free Throw.,44,67
10:41,-1,Alex Doche Defensive Rebound.,44,67
10:40,242,Foul on Tim Harrison.,44,67
10:24,242,Foul on Ako Adams.,44,67
10:24,-1,Landon Goesling missed Free Throw.,44,67
10:24,-1,St. Edwards Deadball Team Rebound.,44,67
10:24,-1,Landon Goesling made Free Throw.,45,67
10:14,242,Tim Harrison Turnover.,45,67
10:11,-1,Lucas Doria Steal.,45,67
10:06,-1,Matthew Paterson made Layup.,47,67
9:49,242,Marcus Jackson made Jumper.,47,69
9:27,-1,Landon Goesling missed Jumper.,47,69
9:27,242,Marquez Letcher-Ellis Defensive Rebound.,47,69
9:19,242,Marquez Letcher-Ellis Turnover.,47,69
9:08,-1,Mark Paterson missed Layup.,47,69
9:08,242,Marquez Letcher-Ellis Defensive Rebound.,47,69
8:58,242,Connor Cashaw missed Three Point Jumper.,47,69
8:58,242,Marquez Letcher-Ellis Offensive Rebound.,47,69
8:55,-1,Foul on Alex Doche.,47,69
8:55,242,Marquez Letcher-Ellis missed Free Throw.,47,69
8:55,-1,Mark Paterson Defensive Rebound.,47,69
8:34,-1,Alex Doche missed Layup.,47,69
8:34,242,Tim Harrison Defensive Rebound.,47,69
8:29,242,Marcus Jackson made Three Point Jumper. Assisted by Ako Adams.,47,72
8:18,242,Foul on Tim Harrison.,47,72
8:18,-1,Mark Paterson made Free Throw.,48,72
8:18,-1,Mark Paterson missed Free Throw.,48,72
8:18,242,Marcus Jackson Defensive Rebound.,48,72
8:01,242,Connor Cashaw made Layup.,48,74
7:39,-1,Mark Paterson made Three Point Jumper.,51,74
7:27,242,Official TV Timeout,51,74
7:14,242,Robert Martin Turnover.,51,74
7:05,-1,Sean Watkins missed Three Point Jumper.,51,74
7:05,242,Egor Koulechov Defensive Rebound.,51,74
6:51,242,Austin Meyer missed Jumper.,51,74
6:51,-1,John Gramlich Defensive Rebound.,51,74
6:44,-1,Ramir Burton missed Three Point Jumper.,51,74
6:44,242,Marcus Evans Defensive Rebound.,51,74
6:30,242,Egor Koulechov made Layup.,51,76
6:17,-1,John Gramlich missed Layup.,51,76
6:17,242,Robert Martin Defensive Rebound.,51,76
6:07,-1,Foul on Ethan Gilbert.,51,76
6:07,242,Egor Koulechov made Free Throw.,51,77
6:07,242,Egor Koulechov made Free Throw.,51,78
5:55,242,Foul on Robert Martin.,51,78
5:55,-1,Ramir Burton made Free Throw.,52,78
5:55,-1,Ramir Burton made Free Throw.,53,78
5:43,-1,Foul on John Gramlich.,53,78
5:43,242,Chad Lott missed Free Throw.,53,78
5:43,242,Rice Deadball Team Rebound.,53,78
5:43,242,Chad Lott made Free Throw.,53,79
5:27,-1,James Taylor missed Three Point Jumper.,53,79
5:27,242,Chad Lott Defensive Rebound.,53,79
5:24,242,Chad Lott Turnover.,53,79
5:14,-1,James Taylor missed Jumper.,53,79
5:14,242,Robert Martin Defensive Rebound.,53,79
5:04,242,Chad Lott made Dunk.,53,81
4:49,-1,Ethan Gilbert missed Three Point Jumper.,53,81
4:49,-1,Sean Watkins Offensive Rebound.,53,81
4:45,-1,Sean Watkins missed Layup.,53,81
4:45,-1,John Gramlich Offensive Rebound.,53,81
4:42,-1,John Gramlich made Layup.,55,81
4:39,242,Bishop Mency made Three Point Jumper. Assisted by Ako Adams.,55,84
4:19,-1,James Taylor missed Layup.,55,84
4:19,-1,James Taylor Offensive Rebound.,55,84
4:16,-1,James Taylor missed Layup.,55,84
4:16,242,Bishop Mency Defensive Rebound.,55,84
4:12,242,Ako Adams made Three Point Jumper. Assisted by Bishop Mency.,55,87
3:49,242,Foul on Chad Lott.,55,87
3:49,242,Official TV Timeout,55,87
3:49,-1,Ethan Gilbert missed Free Throw.,55,87
3:49,-1,St. Edwards Deadball Team Rebound.,55,87
3:49,-1,Ethan Gilbert made Free Throw.,56,87
3:43,242,Austin Meyer made Dunk. Assisted by Bishop Mency.,56,89
3:25,-1,Matthew Paterson Turnover.,56,89
3:12,242,Bishop Mency missed Three Point Jumper.,56,89
3:12,-1,Mark Paterson Defensive Rebound.,56,89
3:00,-1,Landon Goesling missed Jumper.,56,89
3:00,242,Austin Meyer Defensive Rebound.,56,89
2:53,242,Chad Lott Turnover.,56,89
2:36,-1,Landon Goesling made Layup. Assisted by Cory McKendree.,58,89
2:36,242,Foul on Addison Owen.,58,89
2:36,-1,Landon Goesling made Free Throw.,59,89
2:27,242,Addison Owen missed Three Point Jumper.,59,89
2:27,-1,Matthew Paterson Defensive Rebound.,59,89
2:21,242,Foul on Ako Adams.,59,89
2:21,-1,Mark Paterson made Free Throw.,60,89
2:21,242,Rice  Timeout,60,89
2:21,-1,Mark Paterson made Free Throw.,61,89
1:57,242,Tim Harrison made Jumper. Assisted by Addison Owen.,61,91
1:50,-1,St. Edwards  Timeout,61,91
1:44,-1,Lyndon Cook missed Jumper.,61,91
1:44,-1,Matthew Paterson Offensive Rebound.,61,91
1:40,-1,Matthew Paterson missed Layup.,61,91
1:40,242,Tim Harrison Defensive Rebound.,61,91
1:34,242,Addison Owen missed Three Point Jumper.,61,91
1:34,-1,Matthew Paterson Defensive Rebound.,61,91
1:27,-1,Alex Doche missed Three Point Jumper.,61,91
1:27,242,Tim Harrison Defensive Rebound.,61,91
1:05,242,Grant Youngkin missed Jumper.,61,91
1:05,242,Grant Youngkin Offensive Rebound.,61,91
0:53,242,Ako Adams made Jumper.,61,93
0:39,-1,Mark Paterson missed Three Point Jumper.,61,93
0:39,242,Tim Harrison Defensive Rebound.,61,93
0:19,242,Grant Youngkin missed Layup.,61,93
0:19,242,Grant Youngkin Offensive Rebound.,61,93
0:15,242,Grant Youngkin missed Layup.,61,93
0:15,-1,Justin Robinson Defensive Rebound.,61,93
0:11,-1,Justin Robinson Turnover.,61,93
0:09,242,Ako Adams Steal.,61,93
0:05,242,Tim Harrison missed Layup.,61,93
0:05,-1,Justin Robinson Defensive Rebound.,61,93
0:00,-1,Alex Doche made Three Point Jumper. Assisted by Justin Robinson.,64,93
0:00,242,End of Game,64,93
