North Carolina A&amp;T,279,Pacific,2448
14:41,2448,Davaris McGowens Offensive Rebound.,11,14
14:38,2448,Davaris McGowens missed Layup.,11,14
14:38,279,Tonko Vuko Defensive Rebound.,11,14
14:29,279,Jack Williams missed Layup.,11,14
14:29,2448,Eliel Gonzalez Block.,11,14
14:27,2448,Aaron Scales Defensive Rebound.,11,14
14:15,2448,Foul on Davaris McGowens.,11,14
14:15,2448,Davaris McGowens Turnover.,11,14
13:55,279,David Taylor missed Three Point Jumper.,11,14
13:55,2448,Davaris McGowens Defensive Rebound.,11,14
13:36,2448,Raymon Pratt made Jumper.,13,14
13:07,279,David Taylor missed Three Point Jumper.,13,14
13:07,2448,Sam Hunt Defensive Rebound.,13,14
12:55,2448,Sam Hunt missed Three Point Jumper.,13,14
12:55,279,Jack Williams Defensive Rebound.,13,14
12:46,279,Jack Williams missed Three Point Jumper.,13,14
12:46,279,Tonko Vuko Offensive Rebound.,13,14
12:24,279,David Taylor Turnover.,13,14
12:23,2448,Eliel Gonzalez Steal.,13,14
12:02,2448,Davaris McGowens missed Jumper.,13,14
12:02,279,Ray Bowles Defensive Rebound.,13,14
11:46,279,David Taylor missed Three Point Jumper.,13,14
11:46,2448,Sam Hunt Defensive Rebound.,13,14
11:27,2448,Foul on Eliel Gonzalez.,13,14
11:27,2448,Eliel Gonzalez Turnover.,13,14
11:27,279,Official TV Timeout,13,14
11:12,279,K.J. Smith missed Jumper.,13,14
11:12,2448,Austin Williams Defensive Rebound.,13,14
11:00,2448,Aaron Scales Turnover.,13,14
10:47,279,Anthony Townes made Layup. Assisted by D.J. Ursery.,13,16
10:20,2448,Raymon Pratt made Jumper.,15,16
9:52,279,Anthony Townes Turnover.,15,16
9:25,2448,Raymon Pratt missed Three Point Jumper.,15,16
9:25,279,K.J. Smith Defensive Rebound.,15,16
9:06,279,T.J. Wallace made Jumper.,15,18
8:49,279,Foul on D.J. Ursery.,15,18
8:42,279,Foul on T.J. Wallace.,15,18
8:42,2448,Nick Reese made Free Throw.,16,18
8:42,2448,Nick Reese missed Free Throw.,16,18
8:42,279,Anthony Townes Defensive Rebound.,16,18
8:16,279,T.J. Wallace made Layup.,16,20
7:59,2448,Foul on Austin Williams.,16,20
7:59,2448,Austin Williams Turnover.,16,20
7:59,279,Official TV Timeout,16,20
7:42,279,Anthony Townes missed Layup.,16,20
7:42,2448,Aaron Scales Block.,16,20
7:42,279,Pacific Offensive Rebound.,16,20
7:36,279,Ray Bowles missed Layup.,16,20
7:36,2448,James Whitaker Defensive Rebound.,16,20
7:05,2448,North Carolina A&T  Turnover.,16,20
6:51,279,Jack Williams Turnover.,16,20
6:50,2448,Austin Williams Steal.,16,20
6:44,2448,Sam Hunt missed Three Point Jumper.,16,20
6:44,279,T.J. Wallace Defensive Rebound.,16,20
6:37,2448,Foul on James Whitaker.,16,20
6:37,279,Anthony Townes missed Free Throw.,16,20
6:37,279,Pacific Deadball Team Rebound.,16,20
6:37,279,Anthony Townes made Free Throw.,16,21
6:06,2448,Amari Hamilton missed Three Point Jumper.,16,21
6:06,2448,James Whitaker Offensive Rebound.,16,21
6:03,2448,James Whitaker made Layup.,18,21
5:40,279,Jacob Lampkin made Jumper. Assisted by Ray Bowles.,18,23
5:11,2448,Nick Reese made Three Point Jumper. Assisted by Eliel Gonzalez.,21,23
4:53,279,David Taylor made Three Point Jumper. Assisted by Jacob Lampkin.,21,26
4:30,2448,Eliel Gonzalez missed Three Point Jumper.,21,26
4:30,2448,Nick Reese Offensive Rebound.,21,26
4:02,2448,Davaris McGowens missed Jumper.,21,26
4:02,279,Jacob Lampkin Defensive Rebound.,21,26
3:58,279,Official TV Timeout,21,26
3:39,279,Ray Bowles missed Three Point Jumper.,21,26
3:39,2448,Amari Hamilton Defensive Rebound.,21,26
3:14,2448,Nick Reese missed Three Point Jumper.,21,26
3:14,279,Jacob Lampkin Defensive Rebound.,21,26
2:50,279,T.J. Wallace Turnover.,21,26
2:22,2448,Eliel Gonzalez Turnover.,21,26
2:21,279,Anthony Townes Steal.,21,26
2:18,279,K.J. Smith Turnover.,21,26
2:17,2448,Nick Reese Steal.,21,26
2:14,2448,Davaris McGowens made Layup. Assisted by Nick Reese.,23,26
1:57,279,Anthony Townes made Layup. Assisted by Ray Bowles.,23,28
1:57,2448,Foul on Davaris McGowens.,23,28
1:57,279,Anthony Townes missed Free Throw.,23,28
1:57,2448,Davaris McGowens Defensive Rebound.,23,28
1:31,2448,Sam Hunt missed Jumper.,23,28
1:31,279,T.J. Wallace Block.,23,28
1:28,2448,North Carolina A&T Offensive Rebound.,23,28
1:26,2448,Raymon Pratt missed Jumper.,23,28
1:26,279,Jack Williams Defensive Rebound.,23,28
1:09,279,T.J. Wallace missed Jumper.,23,28
1:09,2448,Aaron Scales Defensive Rebound.,23,28
0:45,2448,Sam Hunt missed Three Point Jumper.,23,28
0:45,2448,Aaron Scales Offensive Rebound.,23,28
0:24,2448,Sam Hunt missed Three Point Jumper.,23,28
0:24,279,Ray Bowles Defensive Rebound.,23,28
0:17,279,Pacific  Timeout,23,28
0:03,279,Jack Williams missed Three Point Jumper.,23,28
0:03,279,Ray Bowles Offensive Rebound.,23,28
0:00,279,Ray Bowles missed Jumper.,23,28
0:00,279,Anthony Townes Offensive Rebound.,23,28
0:00,279,End of 1st half,23,28
19:40,279,Jacob Lampkin made Jumper.,23,30
19:23,279,Foul on David Taylor.,23,30
19:13,2448,James Whitaker missed Three Point Jumper.,23,30
19:13,279,Anthony Townes Defensive Rebound.,23,30
19:04,279,David Taylor made Three Point Jumper. Assisted by T.J. Wallace.,23,33
18:41,2448,Sam Hunt made Jumper.,25,33
18:39,279,Foul on Jacob Lampkin.,25,33
18:39,2448,James Whitaker made Free Throw.,26,33
18:22,279,David Taylor missed Three Point Jumper.,26,33
18:22,2448,North Carolina A&T Defensive Rebound.,26,33
18:09,2448,Davaris McGowens missed Jumper.,26,33
18:09,279,Anthony Townes Block.,26,33
18:09,2448,Davaris McGowens Offensive Rebound.,26,33
18:09,2448,Sam Hunt made Three Point Jumper. Assisted by Austin Williams.,29,33
18:09,279,Ray Bowles missed Jumper.,29,33
18:09,2448,Aaron Scales Block.,29,33
18:09,2448,Aaron Scales Defensive Rebound.,29,33
18:09,2448,James Whitaker missed Layup.,29,33
18:09,279,Anthony Townes Block.,29,33
18:09,279,T.J. Wallace Defensive Rebound.,29,33
18:09,279,David Taylor missed Three Point Jumper.,29,33
18:09,2448,Austin Williams Defensive Rebound.,29,33
18:09,2448,Davaris McGowens made Jumper. Assisted by Austin Williams.,31,33
17:57,279,Pacific  Turnover.,31,33
17:19,2448,Amari Hamilton missed Three Point Jumper.,31,33
17:19,279,Jacob Lampkin Defensive Rebound.,31,33
17:03,279,Jacob Lampkin made Layup. Assisted by Anthony Townes.,31,35
16:31,2448,Aaron Scales missed Jumper.,31,35
16:31,279,Jacob Lampkin Defensive Rebound.,31,35
16:28,2448,Foul on Davaris McGowens.,31,35
15:39,279,Official TV Timeout,31,35
15:22,279,Jacob Lampkin made Jumper. Assisted by Anthony Townes.,31,37
14:56,2448,James Whitaker missed Three Point Jumper.,31,37
14:56,2448,Aaron Scales Offensive Rebound.,31,37
14:54,279,Foul on Anthony Townes.,31,37
14:38,2448,James Whitaker missed Jumper.,31,37
14:38,279,D.J. Ursery Defensive Rebound.,31,37
14:29,279,Anthony Townes missed Jumper.,31,37
14:29,2448,Aaron Scales Defensive Rebound.,31,37
14:16,2448,Nick Reese missed Three Point Jumper.,31,37
14:16,279,Jacob Lampkin Defensive Rebound.,31,37
14:10,2448,Foul on James Whitaker.,31,37
14:10,279,D.J. Ursery missed Free Throw.,31,37
14:10,279,Pacific Deadball Team Rebound.,31,37
14:10,279,D.J. Ursery made Free Throw.,31,38
13:39,2448,Eliel Gonzalez missed Jumper.,31,38
13:39,279,Pacific Defensive Rebound.,31,38
13:26,279,Anthony Townes made Jumper. Assisted by D.J. Ursery.,31,40
13:08,279,Foul on Anthony Townes.,31,40
12:45,2448,Eliel Gonzalez missed Jumper.,31,40
12:45,2448,Aaron Scales Offensive Rebound.,31,40
12:41,2448,Aaron Scales made Layup.,33,40
12:27,279,Jack Williams missed Three Point Jumper.,33,40
12:27,279,Jacob Lampkin Offensive Rebound.,33,40
12:07,279,Jacob Lampkin missed Jumper.,33,40
12:07,2448,Nick Reese Defensive Rebound.,33,40
11:44,2448,Nick Reese missed Jumper.,33,40
11:44,279,D.J. Ursery Defensive Rebound.,33,40
11:31,2448,Foul on Aaron Scales.,33,40
11:31,279,Official TV Timeout,33,40
11:26,279,T.J. Wallace missed Jumper.,33,40
11:26,2448,Nick Reese Defensive Rebound.,33,40
11:03,2448,Raymon Pratt missed Three Point Jumper.,33,40
11:03,279,Tonko Vuko Defensive Rebound.,33,40
11:01,2448,Foul on Aaron Scales.,33,40
10:49,279,Jack Williams missed Three Point Jumper.,33,40
10:49,2448,Davaris McGowens Defensive Rebound.,33,40
10:47,279,Foul on Tonko Vuko.,33,40
10:36,279,Foul on Jack Williams.,33,40
10:29,2448,Sam Hunt made Jumper.,35,40
10:01,279,Ray Bowles missed Jumper.,35,40
10:01,2448,Raymon Pratt Defensive Rebound.,35,40
9:50,2448,Eliel Gonzalez Turnover.,35,40
9:50,279,Jack Williams Steal.,35,40
9:45,279,T.J. Wallace missed Jumper.,35,40
9:45,279,T.J. Wallace Offensive Rebound.,35,40
9:43,279,T.J. Wallace made Jumper.,35,42
9:25,279,Foul on T.J. Wallace.,35,42
9:25,2448,Sam Hunt made Free Throw.,36,42
9:25,2448,Sam Hunt made Free Throw.,37,42
8:55,279,Anthony Townes made Layup. Assisted by David Taylor.,37,44
8:33,2448,Sam Hunt made Layup.,39,44
8:23,279,Anthony Townes missed Layup.,39,44
8:23,2448,Davaris McGowens Defensive Rebound.,39,44
8:12,279,Foul on Ray Bowles.,39,44
8:12,2448,Raymon Pratt made Free Throw.,40,44
8:12,2448,Raymon Pratt missed Free Throw.,40,44
8:12,279,Anthony Townes Defensive Rebound.,40,44
7:55,279,Ray Bowles Turnover.,40,44
7:54,2448,Davaris McGowens Steal.,40,44
7:52,279,Foul on David Taylor.,40,44
7:52,279,Official TV Timeout,40,44
7:52,2448,Raymon Pratt missed Free Throw.,40,44
7:52,2448,North Carolina A&T Deadball Team Rebound.,40,44
7:52,2448,Raymon Pratt missed Free Throw.,40,44
7:52,279,D.J. Ursery Defensive Rebound.,40,44
7:37,279,Jack Williams made Jumper. Assisted by Ray Bowles.,40,46
7:18,2448,Foul on Davaris McGowens.,40,46
7:18,2448,Davaris McGowens Turnover.,40,46
7:04,279,Anthony Townes made Layup.,40,48
6:35,2448,Eliel Gonzalez made Jumper.,42,48
6:35,279,Foul on D.J. Ursery.,42,48
6:35,2448,Eliel Gonzalez missed Free Throw.,42,48
6:35,279,Anthony Townes Defensive Rebound.,42,48
6:12,279,Anthony Townes missed Jumper.,42,48
6:12,2448,Eliel Gonzalez Defensive Rebound.,42,48
6:10,279,Foul on Anthony Townes.,42,48
6:10,2448,Eliel Gonzalez missed Free Throw.,42,48
6:10,2448,North Carolina A&T Deadball Team Rebound.,42,48
6:10,2448,Eliel Gonzalez made Free Throw.,43,48
5:59,2448,Foul on Nick Reese.,43,48
5:55,279,Jack Williams missed Three Point Jumper.,43,48
5:55,279,Jacob Lampkin Offensive Rebound.,43,48
5:37,279,Ray Bowles missed Three Point Jumper.,43,48
5:37,279,Jacob Lampkin Offensive Rebound.,43,48
5:11,279,T.J. Wallace missed Jumper.,43,48
5:11,279,Jacob Lampkin Offensive Rebound.,43,48
5:09,279,Jacob Lampkin made Jumper.,43,50
5:09,2448,Foul on Nick Reese.,43,50
5:09,279,Jacob Lampkin missed Free Throw.,43,50
5:09,2448,Raymon Pratt Defensive Rebound.,43,50
4:40,2448,Eliel Gonzalez made Layup.,45,50
4:23,279,Jack Williams made Layup. Assisted by Jacob Lampkin.,45,52
4:23,2448,Foul on Sam Hunt.,45,52
4:23,279,Jack Williams made Free Throw.,45,53
4:09,2448,Raymon Pratt missed Layup.,45,53
4:09,279,D.J. Ursery Defensive Rebound.,45,53
3:53,2448,Foul on James Whitaker.,45,53
3:53,279,Official TV Timeout,45,53
3:53,279,D.J. Ursery made Free Throw.,45,54
3:53,279,D.J. Ursery made Free Throw.,45,55
3:40,2448,James Whitaker missed Jumper.,45,55
3:40,2448,Eliel Gonzalez Offensive Rebound.,45,55
3:34,2448,Eliel Gonzalez made Layup.,47,55
3:07,279,Foul on Jacob Lampkin.,47,55
3:07,279,Jacob Lampkin Turnover.,47,55
2:49,2448,Eliel Gonzalez made Jumper.,49,55
2:26,2448,Foul on James Whitaker.,49,55
2:26,279,Jacob Lampkin missed Free Throw.,49,55
2:26,279,Pacific Deadball Team Rebound.,49,55
2:26,279,Jacob Lampkin made Free Throw.,49,56
2:15,2448,James Whitaker missed Three Point Jumper.,49,56
2:15,2448,Raymon Pratt Offensive Rebound.,49,56
2:00,2448,Aaron Scales made Layup. Assisted by Eliel Gonzalez.,51,56
1:42,279,Foul on Ray Bowles.,51,56
1:42,279,Ray Bowles Turnover.,51,56
1:37,2448,North Carolina A&T  Timeout,51,56
1:25,279,Foul on Ray Bowles.,51,56
1:25,2448,Sam Hunt made Free Throw.,52,56
1:25,2448,Sam Hunt made Free Throw.,53,56
1:05,2448,Foul on Aaron Scales.,53,56
1:05,279,Anthony Townes made Free Throw.,53,57
1:05,279,Anthony Townes made Free Throw.,53,58
0:55,279,Foul on Ray Bowles.,53,58
0:55,2448,Eliel Gonzalez made Free Throw.,54,58
0:55,2448,Eliel Gonzalez made Free Throw.,55,58
0:47,2448,Foul on Eliel Gonzalez.,55,58
0:47,279,T.J. Wallace made Free Throw.,55,59
0:47,279,T.J. Wallace made Free Throw.,55,60
0:34,2448,Raymon Pratt missed Jumper.,55,60
0:34,279,Jacob Lampkin Defensive Rebound.,55,60
0:31,2448,Foul on Sam Hunt.,55,60
0:31,279,T.J. Wallace made Free Throw.,55,61
0:31,279,T.J. Wallace made Free Throw.,55,62
0:21,279,Foul on T.J. Wallace.,55,62
0:21,2448,Sam Hunt made Free Throw.,56,62
0:21,2448,Sam Hunt made Free Throw.,57,62
0:16,2448,Foul on Nick Reese.,57,62
0:16,279,T.J. Wallace made Free Throw.,57,63
0:16,279,T.J. Wallace made Free Throw.,57,64
0:11,2448,Foul on James Whitaker.,57,64
0:11,279,D.J. Ursery made Free Throw.,57,65
0:11,279,D.J. Ursery made Free Throw.,57,66
0:06,2448,Eliel Gonzalez missed Three Point Jumper.,57,66
0:06,279,Ray Bowles Defensive Rebound.,57,66
0:00,279,End of Game,57,66
