Eastern Washington,94,Northern Kentucky,331
8:30,94,Mason Faulkner Turnover.,39,57
8:20,331,Bogdan Bliznyuk missed Three Point Jumper.,39,57
8:20,331,Jacob Wiley Offensive Rebound.,39,57
8:11,331,Cody Benzel Turnover.,39,57
8:11,94,Mason Faulkner Steal.,39,57
7:41,94,Mason Faulkner missed Layup.,39,57
7:41,331,Jacob Wiley Defensive Rebound.,39,57
7:40,94,Official TV Timeout,39,57
7:20,331,Cody Benzel missed Three Point Jumper.,39,57
7:20,94,Mason Faulkner Block.,39,57
7:16,94,Lavone Holland II Defensive Rebound.,39,57
7:05,94,Carson Williams missed Layup.,39,57
7:05,331,Jesse Hunt Block.,39,57
7:05,94,Northern Kentucky Offensive Rebound.,39,57
6:53,94,Drew McDonald missed Three Point Jumper.,39,57
6:53,331,Jesse Hunt Defensive Rebound.,39,57
6:39,331,Jacob Wiley made Layup. Assisted by Sir Washington.,41,57
6:21,94,Cole Murray made Three Point Jumper. Assisted by Lavone Holland II.,41,60
5:55,331,Sir Washington missed Layup.,41,60
5:55,331,Sir Washington Offensive Rebound.,41,60
5:54,94,Foul on Lavone Holland II.,41,60
5:54,331,Sir Washington missed Free Throw.,41,60
5:54,331,Eastern Washington Deadball Team Rebound.,41,60
5:54,331,Sir Washington made Free Throw.,42,60
5:54,331,Eastern Washington  Timeout,42,60
5:30,94,Lavone Holland II Turnover.,42,60
5:13,331,Jesse Hunt missed Three Point Jumper.,42,60
5:13,94,Carson Williams Defensive Rebound.,42,60
4:46,94,Carson Williams made Layup. Assisted by Mason Faulkner.,42,62
4:23,331,Sir Washington made Layup.,44,62
4:14,331,Foul on Jesse Hunt.,44,62
4:14,94,Northern Kentucky  Timeout,44,62
4:14,94,Official TV Timeout,44,62
3:55,94,Drew McDonald missed Layup.,44,62
3:55,331,Luka Vulikic Block.,44,62
3:53,94,Cole Murray Offensive Rebound.,44,62
3:49,94,Lavone Holland II missed Three Point Jumper.,44,62
3:49,331,Jacob Wiley Defensive Rebound.,44,62
3:39,331,Jacob Wiley made Layup. Assisted by Bogdan Bliznyuk.,46,62
3:15,94,Lavone Holland II made Jumper. Assisted by Cole Murray.,46,64
3:15,331,Foul on Jacob Wiley.,46,64
3:15,94,Lavone Holland II made Free Throw.,46,65
3:02,331,Jacob Wiley missed Layup.,46,65
3:02,331,Jacob Wiley Offensive Rebound.,46,65
3:00,331,Jacob Wiley missed Layup.,46,65
3:00,94,Drew McDonald Defensive Rebound.,46,65
2:37,94,Mason Faulkner missed Three Point Jumper.,46,65
2:37,331,Jacob Wiley Defensive Rebound.,46,65
2:21,331,Jacob Wiley made Layup. Assisted by Luka Vulikic.,48,65
2:20,331,Eastern Washington  Timeout,48,65
1:57,94,Cole Murray missed Three Point Jumper.,48,65
1:57,331,Mason Peatling Defensive Rebound.,48,65
1:44,331,Luka Vulikic Turnover.,48,65
1:42,94,Cole Murray Steal.,48,65
1:40,94,Cole Murray made Layup.,48,67
1:24,331,Jesse Hunt missed Three Point Jumper.,48,67
1:24,331,Mason Peatling Offensive Rebound.,48,67
1:19,94,Foul on Mason Faulkner.,48,67
1:19,331,Luka Vulikic missed Free Throw.,48,67
1:19,94,Carson Williams Defensive Rebound.,48,67
1:13,331,Foul on Ty Gibson.,48,67
0:46,94,Brennan Gillis made Three Point Jumper. Assisted by Cole Murray.,48,70
0:34,331,Luka Vulikic Turnover.,48,70
0:33,94,Cole Murray Steal.,48,70
0:31,331,Foul on Ty Gibson.,48,70
0:31,94,Brennan Gillis missed Free Throw.,48,70
0:31,331,Mason Peatling Defensive Rebound.,48,70
0:17,331,Mason Peatling missed Three Point Jumper.,48,70
0:17,94,Matt Rosenwinkel Defensive Rebound.,48,70
0:00,94,End of Game,48,70
