LSU Shreveport,Error,Stephen F. Austin,2617
0:18,-1,CJ McGill made Free Throw.,33,46
0:14,2617,Stephen F. Austin  Timeout,33,46
0:01,2617,Leon Gilmore III missed Jumper.,33,46
0:01,2617,Kevon Harris Offensive Rebound.,33,46
0:00,2617,End of 1st half,33,46
19:50,-1,Tyrell Springer Turnover.,33,46
19:41,2617,TJ Holyfield made Layup. Assisted by Samuli Nieminen.,33,48
19:22,-1,Tyrell Springer missed Three Point Jumper.,33,48
19:22,2617,TJ Holyfield Defensive Rebound.,33,48
19:10,2617,TJ Holyfield made Jumper.,33,50
19:10,-1,Foul on Uzonna Akazi.,33,50
19:10,2617,TJ Holyfield made Free Throw.,33,51
18:57,-1,Benjamin Batts Turnover.,33,51
18:47,2617,Stephen F. Austin  Turnover.,33,51
18:31,-1,Greg Pollins missed Jumper.,33,51
18:31,2617,Stephen F. Austin Defensive Rebound.,33,51
18:20,2617,Kevon Harris made Three Point Jumper.,33,54
18:06,-1,Tyrell Springer made Jumper.,35,54
17:38,2617,TJ Holyfield missed Jumper.,35,54
17:38,-1,Josh Walker Defensive Rebound.,35,54
17:26,2617,Foul on Samuli Nieminen.,35,54
17:23,-1,Greg Pollins Turnover.,35,54
17:22,2617,Kevon Harris Steal.,35,54
17:17,2617,Foul on Samuli Nieminen.,35,54
17:17,2617,Samuli Nieminen Turnover.,35,54
17:08,2617,Foul on Ivan Canete.,35,54
17:03,-1,Tyrell Springer missed Layup.,35,54
17:03,2617,Isaiah Traylor Defensive Rebound.,35,54
16:52,2617,Dallas Cameron missed Three Point Jumper.,35,54
16:52,2617,Leon Gilmore III Offensive Rebound.,35,54
16:48,2617,Leon Gilmore III missed Jumper.,35,54
16:48,-1,Tyrell Springer Defensive Rebound.,35,54
16:38,-1,Rashard Owens made Three Point Jumper. Assisted by Benjamin Batts.,38,54
16:16,-1,Foul on Josh Walker.,38,54
15:58,2617,Kevon Harris Turnover.,38,54
15:58,2617,Foul on Kevon Harris.,38,54
15:56,2617,Official TV Timeout,38,54
15:49,-1,CJ McGill Turnover.,38,54
15:33,2617,Isaiah Traylor made Three Point Jumper. Assisted by Chase Winchester.,38,57
15:19,2617,Foul on Leon Gilmore III.,38,57
15:19,-1,Rashard Owens missed Free Throw.,38,57
15:19,-1,Louisiana State Shreveport Deadball Team Rebound.,38,57
15:19,-1,Rashard Owens made Free Throw.,39,57
15:07,-1,Foul on Greg Pollins.,39,57
15:07,2617,TJ Holyfield made Free Throw.,39,58
15:07,2617,TJ Holyfield made Free Throw.,39,59
14:54,-1,Greg Pollins Turnover.,39,59
14:42,-1,Foul on Greg Pollins.,39,59
14:42,2617,Chase Winchester made Free Throw.,39,60
14:42,2617,Chase Winchester made Free Throw.,39,61
14:33,-1,David Holmes missed Jumper.,39,61
14:33,2617,Dallas Cameron Defensive Rebound.,39,61
14:24,2617,Isaiah Traylor missed Jumper.,39,61
14:24,-1,CJ McGill Defensive Rebound.,39,61
14:15,-1,Benjamin Batts missed Jumper.,39,61
14:15,-1,David Holmes Offensive Rebound.,39,61
14:12,-1,David Holmes made Jumper.,41,61
13:57,2617,Isaiah Traylor made Three Point Jumper. Assisted by Leon Gilmore III.,41,64
13:38,2617,Foul on TJ Holyfield.,41,64
13:36,2617,Foul on Leon Gilmore III.,41,64
13:36,-1,Benjamin Batts missed Free Throw.,41,64
13:36,2617,Leon Gilmore III Defensive Rebound.,41,64
13:23,2617,Leon Gilmore III made Layup. Assisted by Dallas Cameron.,41,66
13:14,-1,Tyrell Springer missed Layup.,41,66
13:14,2617,Leon Gilmore III Defensive Rebound.,41,66
13:12,-1,Foul on Benjamin Batts.,41,66
12:53,2617,Chase Winchester missed Three Point Jumper.,41,66
12:53,2617,Leon Gilmore III Offensive Rebound.,41,66
12:48,2617,Dallas Cameron missed Three Point Jumper.,41,66
12:48,2617,Chase Winchester Offensive Rebound.,41,66
12:42,2617,Leon Gilmore III missed Dunk.,41,66
12:42,-1,Tyrell Springer Defensive Rebound.,41,66
12:28,-1,CJ McGill made Jumper.,43,66
12:19,2617,Dallas Cameron made Layup.,43,68
12:15,2617,Foul on Chase Winchester.,43,68
12:15,-1,CJ McGill made Free Throw.,44,68
12:15,-1,CJ McGill made Free Throw.,45,68
12:02,2617,Josh Huntley missed Jumper.,45,68
12:02,-1,CJ McGill Defensive Rebound.,45,68
11:50,-1,Josh Walker made Jumper.,47,68
11:30,-1,Foul on Tyrell Springer.,47,68
11:30,2617,Official TV Timeout,47,68
11:21,2617,Isaiah Traylor made Three Point Jumper. Assisted by TJ Holyfield.,47,71
11:08,-1,Foul on David Holmes.,47,71
11:08,-1,David Holmes Turnover.,47,71
10:57,2617,Ivan Canete Turnover.,47,71
10:56,-1,David Holmes Steal.,47,71
10:52,-1,Benjamin Batts made Three Point Jumper.,50,71
10:39,2617,TJ Holyfield made Three Point Jumper. Assisted by Ivan Canete.,50,74
10:19,-1,CJ McGill Turnover.,50,74
10:10,2617,Josh Huntley Turnover.,50,74
10:00,2617,Foul on Isaiah Traylor.,50,74
9:59,-1,Benjamin Batts made Free Throw.,51,74
9:59,-1,Benjamin Batts made Free Throw.,52,74
9:59,-1,Benjamin Batts made Free Throw.,53,74
9:53,2617,Chase Winchester missed Three Point Jumper.,53,74
9:53,-1,Benjamin Batts Defensive Rebound.,53,74
9:51,2617,Foul on Samuli Nieminen.,53,74
9:51,-1,Benjamin Batts made Free Throw.,54,74
9:51,-1,Benjamin Batts made Free Throw.,55,74
9:48,2617,Dallas Cameron Turnover.,55,74
9:47,-1,Benjamin Batts Steal.,55,74
9:46,-1,Benjamin Batts made Jumper.,57,74
9:22,2617,Leon Gilmore III Turnover.,57,74
9:20,-1,CJ McGill Steal.,57,74
9:17,-1,CJ McGill missed Three Point Jumper.,57,74
9:17,2617,Chase Winchester Defensive Rebound.,57,74
9:13,-1,Foul on Josh Walker.,57,74
9:13,2617,Stephen F. Austin  Timeout,57,74
9:13,2617,Chase Winchester missed Free Throw.,57,74
9:13,-1,Josh Walker Defensive Rebound.,57,74
8:59,-1,David Holmes missed Jumper.,57,74
8:59,2617,Leon Gilmore III Defensive Rebound.,57,74
8:44,-1,Foul on David Holmes.,57,74
8:44,2617,Jovan Grujic made Free Throw.,57,75
8:44,2617,Jovan Grujic made Free Throw.,57,76
8:35,-1,Benjamin Batts missed Three Point Jumper.,57,76
8:35,-1,Josh Walker Offensive Rebound.,57,76
8:29,-1,Malik Andrus Turnover.,57,76
8:22,-1,Foul on Malik Andrus.,57,76
8:22,2617,Dallas Cameron missed Free Throw.,57,76
8:22,2617,Stephen F. Austin Deadball Team Rebound.,57,76
8:22,2617,Dallas Cameron made Free Throw.,57,77
8:09,-1,CJ McGill made Jumper.,59,77
7:49,2617,Jovan Grujic Turnover.,59,77
7:48,2617,Official TV Timeout,59,77
7:17,-1,Louisiana State Shreveport  Turnover.,59,77
7:07,2617,Jovan Grujic made Layup. Assisted by Leon Gilmore III.,59,79
6:58,-1,Tyrell Springer made Layup.,61,79
6:40,-1,Foul on Greg Pollins.,61,79
6:40,2617,Jovan Grujic missed Free Throw.,61,79
6:40,2617,Stephen F. Austin Deadball Team Rebound.,61,79
6:40,2617,Jovan Grujic made Free Throw.,61,80
6:26,-1,CJ McGill missed Three Point Jumper.,61,80
6:26,2617,Dallas Cameron Defensive Rebound.,61,80
6:19,2617,Dallas Cameron Turnover.,61,80
5:47,-1,Louisiana State Shreveport  Turnover.,61,80
5:38,2617,Jovan Grujic made Layup. Assisted by Ivan Canete.,61,82
5:20,-1,Tyrell Springer Turnover.,61,82
5:06,2617,Ivan Canete Turnover.,61,82
5:04,-1,Josh Walker Steal.,61,82
5:01,-1,Tyrell Springer Turnover.,61,82
4:48,-1,Foul on CJ McGill.,61,82
4:48,2617,Ivan Canete made Free Throw.,61,83
4:48,2617,Ivan Canete made Free Throw.,61,84
4:25,-1,Louisiana State Shreveport  Timeout,61,84
4:19,2617,Foul on Josh Huntley.,61,84
4:19,-1,Tyrell Springer made Free Throw.,62,84
4:19,-1,Tyrell Springer made Free Throw.,63,84
4:12,2617,Ivan Canete Turnover.,63,84
3:58,-1,Tyrell Springer missed Three Point Jumper.,63,84
3:58,2617,Kevon Harris Defensive Rebound.,63,84
3:50,-1,Foul on David Holmes.,63,84
3:49,2617,Dallas Cameron missed Free Throw.,63,84
3:49,2617,Stephen F. Austin Deadball Team Rebound.,63,84
3:49,2617,Dallas Cameron made Free Throw.,63,85
3:42,-1,Benjamin Batts made Three Point Jumper. Assisted by Tyrell Springer.,66,85
3:31,2617,Isaiah Traylor missed Jumper.,66,85
3:31,-1,CJ McGill Defensive Rebound.,66,85
3:19,-1,Benjamin Batts missed Three Point Jumper.,66,85
3:19,2617,Josh Huntley Defensive Rebound.,66,85
3:11,2617,Kevon Harris made Layup. Assisted by Dallas Cameron.,66,87
2:39,-1,Josh Walker missed Jumper.,66,87
2:39,2617,Stephen F. Austin Defensive Rebound.,66,87
2:25,-1,Foul on David Holmes.,66,87
2:25,2617,Kevon Harris made Free Throw.,66,88
2:25,2617,Kevon Harris made Free Throw.,66,89
2:08,-1,CJ McGill missed Three Point Jumper.,66,89
2:08,2617,Ivan Canete Defensive Rebound.,66,89
2:01,2617,Kevon Harris made Layup. Assisted by Ivan Canete.,66,91
1:35,-1,David Holmes Turnover.,66,91
1:29,2617,Chase Winchester Turnover.,66,91
1:27,-1,Josh Walker Steal.,66,91
1:26,-1,Josh Walker made Layup.,68,91
1:16,2617,Chase Winchester missed Jumper.,68,91
1:16,2617,Jovan Grujic Offensive Rebound.,68,91
1:11,2617,Jovan Grujic missed Layup.,68,91
1:11,2617,Josh Huntley Offensive Rebound.,68,91
1:09,2617,Josh Huntley Turnover.,68,91
0:50,-1,CJ McGill made Three Point Jumper. Assisted by Josh Walker.,71,91
0:29,2617,Josh Huntley made Jumper. Assisted by Kevon Harris.,71,93
0:14,-1,Malik Andrus missed Three Point Jumper.,71,93
0:14,-1,Austin Helms Offensive Rebound.,71,93
0:08,-1,CJ McGill missed Three Point Jumper.,71,93
0:08,-1,Josh Walker Offensive Rebound.,71,93
0:03,2617,Josh Huntley Turnover.,73,93
0:03,-1,Josh Walker made Layup.,73,93
0:01,-1,Josh Walker Steal.,73,93
0:00,2617,End of Game,71,95
