UT San Antonio,357,Texas A&amp;M-CC,2636
15:01,2636,UT San Antonio Defensive Rebound.,7,6
14:30,2636,Gino Littles missed Three Point Jumper.,7,6
14:30,357,Rashawn Thomas Defensive Rebound.,7,6
14:20,357,Rashawn Thomas missed Layup.,7,6
14:20,2636,Nick Allen Block.,7,6
14:20,2636,Nick Billingsley Defensive Rebound.,7,6
14:11,2636,Nick Allen missed Three Point Jumper.,7,6
14:11,357,Elijah Schmidt Defensive Rebound.,7,6
13:58,2636,Foul on Nick Allen.,7,6
13:58,2636,Foul on Nick Billingsley.,7,6
13:55,357,Rashawn Thomas Turnover.,7,6
13:55,357,Foul on Rashawn Thomas.,7,6
13:38,2636,Nick Billingsley made Three Point Jumper. Assisted by Jeff Beverly.,10,6
13:27,357,Ehab Amin missed Layup.,10,6
13:27,357,Ehab Amin Offensive Rebound.,10,6
13:24,357,Ehab Amin made Layup.,10,8
13:03,2636,Jeff Beverly missed Jumper.,10,8
13:03,357,Joseph Kilgore Defensive Rebound.,10,8
12:39,357,Rashawn Thomas made Layup.,10,10
12:13,2636,Jeff Beverly Turnover.,10,10
11:57,2636,Foul on Nick Billingsley.,10,10
11:57,357,Official TV Timeout,10,10
11:57,357,Joseph Kilgore missed Free Throw.,10,10
11:57,2636,Lucas O'Brien Defensive Rebound.,10,10
11:29,2636,Austin Karrer made Three Point Jumper. Assisted by Gino Littles.,13,10
11:09,357,Ehab Amin made Layup.,13,12
10:44,357,Foul on Jake Kocher.,13,12
10:36,357,Foul on Elijah Schmidt.,13,12
10:14,2636,Mitar Stanojevic made Layup.,15,12
10:13,357,Foul on Elijah Schmidt.,15,12
10:13,2636,Mitar Stanojevic made Free Throw.,16,12
9:54,357,Kareem South Turnover.,16,12
9:33,2636,Gino Littles missed Jumper.,16,12
9:33,357,Joseph Kilgore Block.,16,12
9:33,2636,Lucas O'Brien Offensive Rebound.,16,12
9:29,2636,George Willborn III missed Three Point Jumper.,16,12
9:29,2636,Mitar Stanojevic Offensive Rebound.,16,12
9:20,2636,Gino Littles missed Three Point Jumper.,16,12
9:20,2636,UT San Antonio Offensive Rebound.,16,12
9:04,2636,Mitar Stanojevic missed Three Point Jumper.,16,12
9:04,357,Colin Hale Defensive Rebound.,16,12
8:55,357,Jake Kocher made Layup. Assisted by Colin Hale.,16,14
8:34,2636,George Willborn III made Layup. Assisted by Lucas O'Brien.,18,14
8:15,2636,Foul on Lucas O'Brien.,18,14
8:15,357,Rashawn Thomas made Free Throw.,18,15
8:15,357,Rashawn Thomas made Free Throw.,18,16
8:11,2636,Austin Karrer Turnover.,18,16
7:59,357,Rashawn Thomas missed Layup.,18,16
7:59,357,Rashawn Thomas Offensive Rebound.,18,16
7:56,2636,Foul on Jeff Beverly.,18,16
7:56,357,Official TV Timeout,18,16
7:56,357,Rashawn Thomas made Free Throw.,18,17
7:56,357,Rashawn Thomas made Free Throw.,18,18
7:33,2636,Giovanni De Nicolao Turnover.,18,18
7:15,357,Rashawn Thomas made Jumper. Assisted by Joseph Kilgore.,18,20
7:01,2636,Nick Billingsley missed Three Point Jumper.,18,20
7:01,357,Joseph Kilgore Defensive Rebound.,18,20
6:47,357,Rashawn Thomas missed Jumper.,18,20
6:47,2636,Lucas O'Brien Defensive Rebound.,18,20
6:26,357,Foul on Colin Hale.,18,20
6:14,2636,Nick Billingsley Turnover.,18,20
6:14,2636,Foul on Nick Billingsley.,18,20
5:57,357,Ehab Amin Turnover.,18,20
5:51,2636,George Willborn III made Layup.,20,20
5:37,357,Joseph Kilgore made Layup.,20,22
5:27,357,Foul on Joseph Kilgore.,20,22
5:27,2636,George Willborn III missed Free Throw.,20,22
5:27,2636,UT San Antonio Deadball Team Rebound.,20,22
5:27,2636,George Willborn III missed Free Throw.,20,22
5:27,357,Jake Kocher Defensive Rebound.,20,22
5:12,357,Ehab Amin made Layup.,20,24
4:45,2636,Mitar Stanojevic Turnover.,20,24
4:45,357,Jake Kocher Steal.,20,24
4:45,357,Jake Kocher made Layup.,20,26
4:45,357,Foul on Cole Martinez.,20,26
4:45,2636,Foul on Lucas O'Brien.,20,26
4:36,2636,Nick Billingsley made Three Point Jumper. Assisted by Gino Littles.,23,26
4:04,357,Cole Martinez missed Jumper.,23,26
4:04,2636,Byron Frohnen Defensive Rebound.,23,26
3:55,357,Foul on Rashawn Thomas.,23,26
3:55,357,Official TV Timeout,23,26
3:55,2636,Lucas O'Brien missed Free Throw.,23,26
3:55,2636,UT San Antonio Deadball Team Rebound.,23,26
3:55,2636,Lucas O'Brien missed Free Throw.,23,26
3:55,357,Rashawn Thomas Defensive Rebound.,23,26
3:41,357,Rashawn Thomas missed Three Point Jumper.,23,26
3:41,2636,George Willborn III Defensive Rebound.,23,26
3:31,2636,George Willborn III Turnover.,23,26
3:31,357,Jake Kocher Steal.,23,26
3:29,357,Joseph Kilgore missed Jumper.,23,26
3:29,357,Texas A&M-CC Offensive Rebound.,23,26
3:20,357,Rashawn Thomas missed Jumper.,23,26
3:20,357,Ehab Amin Offensive Rebound.,23,26
3:15,357,Ehab Amin missed Layup.,23,26
3:15,357,Ehab Amin Offensive Rebound.,23,26
3:03,2636,Foul on Byron Frohnen.,23,26
3:03,357,Rashawn Thomas made Free Throw.,23,27
3:03,357,Rashawn Thomas missed Free Throw.,23,27
3:03,357,Rashawn Thomas Offensive Rebound.,23,27
3:00,2636,Foul on Gino Littles.,23,27
2:57,357,Rashawn Thomas made Free Throw.,23,28
2:55,357,Rashawn Thomas made Free Throw.,23,29
2:48,2636,UT San Antonio  Turnover.,23,29
2:48,357,Ehab Amin missed Three Point Jumper.,23,29
2:48,357,Perry Francois Offensive Rebound.,23,29
2:48,357,Perry Francois made Layup.,23,31
2:36,2636,UT San Antonio  Timeout,23,31
2:10,357,Foul on Jake Kocher.,23,31
2:10,2636,Bola Alade missed Free Throw.,23,31
2:10,2636,UT San Antonio Deadball Team Rebound.,23,31
2:10,2636,Bola Alade made Free Throw.,24,31
2:00,357,Rashawn Thomas missed Jumper.,24,31
2:00,2636,Byron Frohnen Defensive Rebound.,24,31
1:37,2636,Bola Alade missed Jumper.,24,31
1:37,2636,Byron Frohnen Offensive Rebound.,24,31
1:34,2636,Byron Frohnen made Layup.,26,31
1:09,2636,Foul on James Ringholt.,26,31
1:09,357,Rashawn Thomas missed Free Throw.,26,31
1:09,357,Texas A&M-CC Deadball Team Rebound.,26,31
1:09,357,Rashawn Thomas made Free Throw.,26,32
0:39,2636,Bola Alade missed Three Point Jumper.,26,32
0:39,357,Joseph Kilgore Defensive Rebound.,26,32
0:30,357,Texas A&M-CC  Timeout,26,32
0:13,357,Cole Martinez missed Three Point Jumper.,26,32
0:13,2636,Austin Karrer Defensive Rebound.,26,32
0:00,357,End of 1st half,26,32
19:47,2636,Jeff Beverly missed Layup.,26,32
19:47,2636,Nick Allen Offensive Rebound.,26,32
19:42,2636,Nick Allen made Layup.,28,32
19:23,357,Cole Martinez missed Layup.,28,32
19:23,2636,Jeff Beverly Defensive Rebound.,28,32
19:03,2636,Byron Frohnen made Layup.,30,32
18:51,357,Ehab Amin missed Layup.,30,32
18:51,357,Ehab Amin Offensive Rebound.,30,32
18:47,357,Ehab Amin missed Layup.,30,32
18:47,2636,Gino Littles Defensive Rebound.,30,32
18:28,357,Foul on Rashawn Thomas.,30,32
18:28,2636,Nick Allen made Free Throw.,31,32
18:28,2636,Nick Allen made Free Throw.,32,32
18:14,357,Rashawn Thomas Turnover.,32,32
18:00,2636,Jeff Beverly missed Layup.,32,32
18:00,2636,Jeff Beverly Offensive Rebound.,32,32
17:58,2636,Jeff Beverly missed Layup.,32,32
17:57,357,Joseph Kilgore Defensive Rebound.,32,32
17:57,2636,Foul on Byron Frohnen.,32,32
17:57,357,Technical Foul on Rashawn Thomas.,32,32
17:57,357,Foul on Rashawn Thomas.,32,32
17:57,2636,Jeff Beverly made Free Throw.,33,32
17:57,2636,Jeff Beverly made Free Throw.,34,32
17:30,357,Kareem South missed Jumper.,34,32
17:30,357,Cole Martinez Offensive Rebound.,34,32
17:20,2636,Foul on Nick Allen.,34,32
17:16,357,Joseph Kilgore made Jumper.,34,34
16:46,357,Foul on Kareem South.,34,34
16:33,2636,Nick Allen made Layup.,36,34
16:10,357,Ehab Amin made Layup.,36,36
16:08,2636,Foul on Byron Frohnen.,36,36
16:08,357,Ehab Amin missed Free Throw.,36,36
16:08,2636,UT San Antonio Defensive Rebound.,36,36
15:56,357,Official TV Timeout,36,36
15:50,2636,Jeff Beverly made Layup. Assisted by Giovanni De Nicolao.,38,36
15:31,357,Kareem South made Layup.,38,38
15:29,2636,Foul on Giovanni De Nicolao.,38,38
15:29,357,Kareem South made Free Throw.,38,39
15:17,2636,Nick Billingsley missed Three Point Jumper.,38,39
15:17,357,Ehab Amin Defensive Rebound.,38,39
15:08,357,Ehab Amin made Layup.,38,41
15:07,2636,Foul on Nick Allen.,38,41
15:07,357,Ehab Amin made Free Throw.,38,42
14:46,2636,Nick Billingsley Turnover.,38,42
14:45,357,Ehab Amin Steal.,38,42
14:44,357,Ehab Amin made Layup.,38,44
14:27,2636,Gino Littles made Layup.,40,44
14:15,357,Ehab Amin made Jumper.,40,46
13:56,357,Foul on Ehab Amin.,40,46
13:41,2636,Nick Billingsley missed Three Point Jumper.,40,46
13:41,357,Joseph Kilgore Defensive Rebound.,40,46
13:32,357,Ehab Amin missed Layup.,40,46
13:32,2636,Nick Billingsley Defensive Rebound.,40,46
13:10,357,Foul on Cole Martinez.,40,46
13:01,2636,Nick Billingsley missed Three Point Jumper.,40,46
13:01,2636,Jeff Beverly Offensive Rebound.,40,46
12:49,2636,Gino Littles missed Three Point Jumper.,40,46
12:49,2636,Austin Karrer Offensive Rebound.,40,46
12:41,2636,Byron Frohnen made Layup. Assisted by Austin Karrer.,42,46
12:14,357,Kareem South made Layup.,42,48
11:56,357,Foul on David Bloom.,42,48
11:56,357,Official TV Timeout,42,48
11:51,2636,George Willborn III missed Free Throw.,42,48
11:51,2636,UT San Antonio Deadball Team Rebound.,42,48
11:51,2636,George Willborn III made Free Throw.,43,48
11:25,357,Kareem South missed Three Point Jumper.,43,48
11:25,2636,George Willborn III Defensive Rebound.,43,48
11:22,357,Foul on David Bloom.,43,48
11:22,2636,George Willborn III missed Free Throw.,43,48
11:22,357,Joseph Kilgore Defensive Rebound.,43,48
11:02,2636,Foul on Byron Frohnen.,43,48
11:02,357,Kareem South made Free Throw.,43,49
11:02,357,Kareem South missed Free Throw.,43,49
11:02,2636,Mitar Stanojevic Defensive Rebound.,43,49
10:48,2636,Giovanni De Nicolao missed Layup.,43,49
10:48,2636,Lucas O'Brien Offensive Rebound.,43,49
10:46,357,Foul on Jake Kocher.,43,49
10:46,2636,Lucas O'Brien made Free Throw.,44,49
10:46,2636,Lucas O'Brien missed Free Throw.,44,49
10:46,357,Ehab Amin Defensive Rebound.,44,49
10:41,357,Ehab Amin missed Layup.,44,49
10:41,357,Joseph Kilgore Offensive Rebound.,44,49
10:16,357,Colin Hale made Three Point Jumper.,44,52
10:06,357,Foul on Ehab Amin.,44,52
10:06,2636,Austin Karrer missed Free Throw.,44,52
10:06,357,Texas A&M-CC Defensive Rebound.,44,52
9:45,357,Ehab Amin missed Jumper.,44,52
9:45,2636,Jeff Beverly Defensive Rebound.,44,52
9:31,2636,Nick Billingsley Turnover.,44,52
9:30,357,Ehab Amin Steal.,44,52
9:27,357,Ehab Amin made Layup.,44,54
9:18,2636,Nick Billingsley made Three Point Jumper. Assisted by Giovanni De Nicolao.,47,54
8:39,357,Joseph Kilgore missed Three Point Jumper.,47,54
8:39,2636,Austin Karrer Defensive Rebound.,47,54
8:25,2636,Giovanni De Nicolao missed Layup.,47,54
8:25,357,Perry Francois Block.,47,54
8:25,2636,Lucas O'Brien Offensive Rebound.,47,54
8:21,357,Foul on Perry Francois.,47,54
8:21,2636,Lucas O'Brien missed Free Throw.,47,54
8:21,2636,UT San Antonio Deadball Team Rebound.,47,54
8:21,2636,Lucas O'Brien made Free Throw.,48,54
8:05,357,Ehab Amin missed Three Point Jumper.,48,54
8:05,2636,Jeff Beverly Defensive Rebound.,48,54
7:53,2636,Byron Frohnen missed Layup.,48,54
7:53,357,Ehab Amin Defensive Rebound.,48,54
7:46,2636,Foul on Jeff Beverly.,48,54
7:46,357,Official TV Timeout,48,54
7:46,357,Rashawn Thomas missed Free Throw.,48,54
7:46,357,Texas A&M-CC Deadball Team Rebound.,48,54
7:46,357,Rashawn Thomas made Free Throw.,48,55
7:37,2636,Jeff Beverly made Jumper.,50,55
7:23,2636,Foul on Giovanni De Nicolao.,50,55
7:23,357,Kareem South missed Free Throw.,50,55
7:23,357,Texas A&M-CC Deadball Team Rebound.,50,55
7:23,357,Kareem South made Free Throw.,50,56
7:05,2636,Giovanni De Nicolao Turnover.,50,56
6:45,357,Kareem South made Layup.,50,58
6:15,357,Foul on Colin Hale.,50,58
6:15,2636,Gino Littles missed Free Throw.,50,58
6:15,2636,UT San Antonio Deadball Team Rebound.,50,58
6:15,2636,Gino Littles made Free Throw.,51,58
5:54,357,Cole Martinez missed Three Point Jumper.,51,58
5:54,2636,UT San Antonio Defensive Rebound.,51,58
5:32,2636,Gino Littles made Layup.,53,58
5:01,357,Rashawn Thomas made Jumper.,53,60
5:01,2636,Foul on Jeff Beverly.,53,60
5:01,357,Rashawn Thomas made Free Throw.,53,61
4:54,2636,Giovanni De Nicolao missed Layup.,53,61
4:54,357,Kareem South Defensive Rebound.,53,61
4:31,357,Joseph Kilgore made Layup.,53,63
4:22,2636,Gino Littles missed Layup.,53,63
4:22,2636,Byron Frohnen Offensive Rebound.,53,63
4:16,2636,Giovanni De Nicolao made Three Point Jumper. Assisted by Nick Allen.,56,63
3:59,2636,UT San Antonio  Timeout,56,63
3:59,357,Official TV Timeout,56,63
3:46,357,Ehab Amin missed Three Point Jumper.,56,63
3:46,2636,Giovanni De Nicolao Defensive Rebound.,56,63
3:36,2636,Byron Frohnen Turnover.,56,63
3:36,357,Ehab Amin Steal.,56,63
3:36,2636,Foul on Jeff Beverly.,56,63
3:36,357,Official TV Timeout,56,63
3:36,357,Cole Martinez made Free Throw.,56,64
3:36,357,Cole Martinez made Free Throw.,56,65
3:25,2636,Giovanni De Nicolao made Layup.,58,65
2:56,357,Ehab Amin missed Layup.,58,65
2:56,2636,Nick Allen Defensive Rebound.,58,65
2:56,2636,Nick Allen Defensive Rebound.,58,65
2:49,2636,Nick Billingsley made Layup.,60,65
2:30,357,Rashawn Thomas made Layup.,60,67
2:30,2636,Foul on Nick Allen.,60,67
2:30,357,Rashawn Thomas made Free Throw.,60,68
2:16,2636,Nick Billingsley made Jumper.,62,68
2:06,357,Rashawn Thomas made Jumper. Assisted by Ehab Amin.,62,70
1:49,2636,Lucas O'Brien made Three Point Jumper. Assisted by Giovanni De Nicolao.,65,70
1:26,357,Rashawn Thomas Turnover.,65,70
1:26,357,Foul on Rashawn Thomas.,65,70
1:11,2636,Byron Frohnen made Layup.,67,70
1:08,2636,UT San Antonio  Timeout,67,70
0:49,357,Ehab Amin missed Layup.,67,70
0:49,2636,Nick Billingsley Block.,67,70
0:49,2636,Nick Billingsley Defensive Rebound.,67,70
0:45,2636,Gino Littles made Layup. Assisted by Nick Billingsley.,69,70
0:23,357,Joseph Kilgore made Dunk.,69,72
0:12,2636,Nick Billingsley missed Three Point Jumper.,69,72
0:12,357,Ehab Amin Defensive Rebound.,69,72
0:12,2636,Foul on Byron Frohnen.,69,72
0:08,357,Ehab Amin made Free Throw.,69,73
0:08,357,Ehab Amin missed Free Throw.,69,73
0:08,2636,Austin Karrer Defensive Rebound.,69,73
0:03,2636,Nick Billingsley missed Three Point Jumper.,69,73
0:01,2636,Giovanni De Nicolao Offensive Rebound.,69,73
0:01,2636,UT San Antonio  Timeout,69,73
0:01,2636,Nick Billingsley missed Three Point Jumper.,69,73
0:01,2636,UT San Antonio Deadball Team Rebound.,69,73
0:00,357,End of 2nd half,69,73
