New Hampshire,104,Boston University,160
18:57,104,Kyle Foreman made Jumper.,33,42
18:29,160,Jordan Reed missed Jumper.,33,42
18:29,160,Jaleen Smith Offensive Rebound.,33,42
18:24,160,Jaleen Smith Turnover.,33,42
18:23,104,Tyler Scanlon Steal.,33,42
18:19,104,Eric Fanning made Layup.,33,44
18:11,104,Boston University  Timeout,33,44
18:02,160,Daniel Dion made Three Point Jumper. Assisted by Jordan Reed.,36,44
17:43,104,Tyler Scanlon missed Three Point Jumper.,36,44
17:43,160,Jaleen Smith Defensive Rebound.,36,44
17:35,160,Jordan Reed missed Three Point Jumper.,36,44
17:35,104,Eric Fanning Defensive Rebound.,36,44
17:27,104,Cedric Hankerson missed Three Point Jumper.,36,44
17:27,160,Tanner Leissner Defensive Rebound.,36,44
17:19,160,Jaleen Smith missed Layup.,36,44
17:19,160,Jaleen Smith Offensive Rebound.,36,44
17:15,160,Daniel Dion missed Three Point Jumper.,36,44
17:15,104,Eric Fanning Defensive Rebound.,36,44
16:57,104,Kyle Foreman missed Layup.,36,44
16:57,160,Tanner Leissner Defensive Rebound.,36,44
16:46,160,Daniel Dion missed Three Point Jumper.,36,44
16:46,104,Boston University Defensive Rebound.,36,44
16:29,104,Justin Alston missed Layup.,36,44
16:29,160,Tanner Leissner Block.,36,44
16:27,160,Jaleen Smith Defensive Rebound.,36,44
16:21,160,Jaleen Smith made Layup.,38,44
16:06,104,Kyle Foreman Turnover.,38,44
15:49,160,Iba Camara made Layup.,40,44
15:28,104,Justin Alston made Layup. Assisted by Cedric Hankerson.,40,46
15:08,160,Tanner Leissner Turnover.,40,46
15:08,160,Foul on Tanner Leissner.,40,46
15:08,104,Official TV Timeout,40,46
14:53,104,Eric Fanning missed Three Point Jumper.,40,46
14:53,160,Jaleen Smith Defensive Rebound.,40,46
14:35,160,Kijana Love made Three Point Jumper. Assisted by Jaleen Smith.,43,46
14:07,104,Eric Fanning missed Jumper.,43,46
14:07,104,Justin Alston Offensive Rebound.,43,46
13:44,160,Foul on Kijana Love.,43,46
13:44,104,Eric Fanning made Free Throw.,43,47
13:44,104,Eric Fanning made Free Throw.,43,48
13:20,104,Foul on Cheddi Mosely.,43,48
13:20,160,Jaleen Smith made Free Throw.,44,48
13:20,160,Jaleen Smith made Free Throw.,45,48
13:08,104,Eric Fanning Turnover.,45,48
12:54,160,Iba Camara made Layup.,47,48
12:42,104,Eric Johnson missed Jumper.,47,48
12:42,104,Nick Havener Offensive Rebound.,47,48
12:36,104,Nick Havener made Two Point Tip Shot.,47,50
12:15,160,Kijana Love made Jumper.,49,50
12:03,160,Foul on Jaleen Smith.,49,50
12:03,104,Eric Fanning made Free Throw.,49,51
12:03,104,Eric Fanning made Free Throw.,49,52
11:48,160,Tanner Leissner missed Three Point Jumper.,49,52
11:48,104,Nick Havener Defensive Rebound.,49,52
11:40,160,Foul on Kijana Love.,49,52
11:40,104,Official TV Timeout,49,52
11:40,104,Cedric Hankerson made Free Throw.,49,53
11:40,104,Cedric Hankerson made Free Throw.,49,54
11:14,160,Iba Camara missed Layup.,49,54
11:14,104,Nick Havener Block.,49,54
11:13,104,Tyler Scanlon Defensive Rebound.,49,54
10:58,104,Foul on Nick Havener.,49,54
10:58,104,Nick Havener Turnover.,49,54
10:37,160,Jaleen Smith made Three Point Jumper. Assisted by Daniel Dion.,52,54
10:17,104,Cheddi Mosely made Three Point Jumper. Assisted by Kyle Foreman.,52,57
10:01,160,Kijana Love missed Jumper.,52,57
10:01,104,Nick Havener Defensive Rebound.,52,57
9:44,104,Kyle Foreman missed Layup.,52,57
9:44,104,Kyle Foreman Offensive Rebound.,52,57
9:42,104,Kyle Foreman Turnover.,52,57
9:28,160,Tanner Leissner made Layup. Assisted by Iba Camara.,54,57
9:13,104,Tyler Scanlon missed Three Point Jumper.,54,57
9:13,160,Iba Camara Defensive Rebound.,54,57
8:56,160,Iba Camara missed Layup.,54,57
8:56,160,Iba Camara Offensive Rebound.,54,57
8:54,104,Foul on Justin Alston.,54,57
8:54,160,Iba Camara missed Free Throw.,54,57
8:54,160,New Hampshire Deadball Team Rebound.,54,57
8:54,160,Iba Camara missed Free Throw.,54,57
8:54,104,Tyler Scanlon Defensive Rebound.,54,57
8:43,104,Cheddi Mosely missed Three Point Jumper.,54,57
8:43,160,Daniel Dion Defensive Rebound.,54,57
8:28,160,Jaleen Smith made Three Point Jumper.,57,57
8:05,160,Foul on Iba Camara.,57,57
8:01,104,Cedric Hankerson made Layup. Assisted by Tyler Scanlon.,57,59
7:46,104,Foul on Kyle Foreman.,57,59
7:46,104,Official TV Timeout,57,59
7:41,104,Foul on Justin Alston.,57,59
7:41,160,Tanner Leissner made Free Throw.,58,59
7:41,160,Tanner Leissner made Free Throw.,59,59
7:30,160,Foul on David Watkins.,59,59
7:28,104,Eric Fanning missed Jumper.,59,59
7:28,104,Nick Havener Offensive Rebound.,59,59
7:24,104,Nick Havener made Layup.,59,61
7:02,160,Tanner Leissner missed Three Point Jumper.,59,61
7:02,104,Cedric Hankerson Defensive Rebound.,59,61
6:58,104,Cedric Hankerson Turnover.,59,61
6:56,160,Jaleen Smith Steal.,59,61
6:56,160,Jaleen Smith Turnover.,59,61
6:44,160,Foul on Iba Camara.,59,61
6:44,104,Eric Fanning made Free Throw.,59,62
6:44,104,Eric Fanning made Free Throw.,59,63
6:31,160,Jaleen Smith made Layup.,61,63
6:05,104,Kyle Foreman missed Layup.,61,63
6:05,160,Jaleen Smith Defensive Rebound.,61,63
5:52,160,Tanner Leissner Turnover.,61,63
5:51,104,Kyle Foreman Steal.,61,63
5:42,104,Eric Fanning missed Layup.,61,63
5:42,160,Iba Camara Defensive Rebound.,61,63
5:36,104,Foul on Cheddi Mosely.,61,63
5:36,160,Iba Camara missed Free Throw.,61,63
5:36,160,New Hampshire Deadball Team Rebound.,61,63
5:36,160,Iba Camara missed Free Throw.,61,63
5:36,104,Eric Fanning Defensive Rebound.,61,63
5:09,104,Eric Johnson made Three Point Jumper.,61,66
4:49,104,Foul on Nick Havener.,61,66
4:49,160,Tanner Leissner made Free Throw.,62,66
4:49,160,Tanner Leissner made Free Throw.,63,66
4:31,104,Eric Fanning missed Jumper.,63,66
4:31,160,Jaleen Smith Defensive Rebound.,63,66
4:07,104,Foul on Eric Fanning.,63,66
4:07,160,Tanner Leissner made Free Throw.,64,66
4:07,160,Tanner Leissner made Free Throw.,65,66
3:46,104,Justin Alston missed Layup.,65,66
3:46,160,Tanner Leissner Block.,65,66
3:45,104,Eric Johnson Offensive Rebound.,65,66
3:36,104,Eric Johnson missed Three Point Jumper.,65,66
3:36,160,Jaleen Smith Defensive Rebound.,65,66
3:31,160,Iba Camara Turnover.,65,66
3:31,104,Official TV Timeout,65,66
3:15,104,Eric Fanning missed Layup.,65,66
3:15,104,Justin Alston Offensive Rebound.,65,66
3:12,104,Justin Alston made Two Point Tip Shot.,65,68
2:59,160,Tanner Leissner missed Jumper.,65,68
2:59,104,Cedric Hankerson Defensive Rebound.,65,68
2:47,104,Eric Fanning missed Three Point Jumper.,65,68
2:47,160,Jaleen Smith Defensive Rebound.,65,68
2:23,160,Tanner Leissner made Layup.,67,68
1:52,104,Eric Fanning missed Jumper.,67,68
1:52,160,Daniel Dion Defensive Rebound.,67,68
1:31,104,Foul on Justin Alston.,67,68
1:31,160,Tanner Leissner made Free Throw.,68,68
1:31,160,Tanner Leissner made Free Throw.,69,68
1:25,104,Boston University  Timeout,69,68
1:12,104,Cedric Hankerson made Three Point Jumper. Assisted by Kyle Foreman.,69,71
1:11,160,Foul on Daniel Dion.,69,71
1:11,104,Cedric Hankerson missed Free Throw.,69,71
1:11,160,Iba Camara Defensive Rebound.,69,71
0:54,160,Tanner Leissner missed Three Point Jumper.,69,71
0:54,160,Iba Camara Offensive Rebound.,69,71
0:38,160,Jaleen Smith Turnover.,69,71
0:38,160,Foul on Jaleen Smith.,69,71
0:19,104,Boston University  Timeout,69,71
0:13,104,Eric Fanning made Layup.,69,73
0:01,160,Tanner Leissner missed Three Point Jumper.,69,73
0:01,104,Justin Alston Defensive Rebound.,69,73
0:00,104,End of Game,69,73
