Portland,204,Oregon State,2501
12:17,204,Jaquori McLaughlin made Three Point Jumper. Assisted by Kendal Manuel.,11,10
11:54,2501,Foul on Alec Wintering.,11,10
11:54,2501,Alec Wintering Turnover.,11,10
11:54,204,Official TV Timeout,11,10
11:30,204,Jaquori McLaughlin missed Jumper.,11,10
11:30,2501,Gabe Taylor Defensive Rebound.,11,10
11:08,204,Foul on Jaquori McLaughlin.,11,10
10:49,2501,Jazz Johnson missed Jumper.,11,10
10:49,204,Jaquori McLaughlin Defensive Rebound.,11,10
10:42,204,Jaquori McLaughlin missed Layup.,11,10
10:42,2501,D'Marques Tyson Defensive Rebound.,11,10
10:33,2501,D'Marques Tyson made Three Point Jumper. Assisted by Alec Wintering.,14,10
10:01,204,Ben Kone missed Jumper.,14,10
10:01,2501,D'Marques Tyson Defensive Rebound.,14,10
9:51,2501,Alec Wintering Turnover.,14,10
9:50,204,Stephen Thompson Jr. Steal.,14,10
9:47,204,Stephen Thompson Jr. made Layup.,14,12
9:47,2501,Foul on Jazz Johnson.,14,12
9:47,204,Stephen Thompson Jr. made Free Throw.,14,13
9:33,204,Foul on Ben Kone.,14,13
9:18,2501,Jazz Johnson missed Three Point Jumper.,14,13
9:18,2501,Gabe Taylor Offensive Rebound.,14,13
9:06,2501,D'Marques Tyson made Jumper.,16,13
8:48,204,Stephen Thompson Jr. missed Three Point Jumper.,16,13
8:48,204,Gligorije Rakocevic Offensive Rebound.,16,13
8:26,204,Jaquori McLaughlin made Three Point Jumper. Assisted by Stephen Thompson Jr..,16,16
7:54,2501,Foul on Gabe Taylor.,16,16
7:54,2501,Gabe Taylor Turnover.,16,16
7:54,204,Official TV Timeout,16,16
7:36,204,Ben Kone missed Jumper.,16,16
7:36,204,Oregon St Offensive Rebound.,16,16
7:33,204,Ben Kone missed Jumper.,16,16
7:33,204,Gligorije Rakocevic Offensive Rebound.,16,16
7:32,204,Ronnie Stacy Turnover.,16,16
7:09,2501,Rashad Jackson Turnover.,16,16
7:08,204,Stephen Thompson Jr. Steal.,16,16
7:00,204,Gligorije Rakocevic missed Jumper.,16,16
7:00,2501,Rashad Jackson Defensive Rebound.,16,16
6:45,2501,Alec Wintering Turnover.,16,16
6:44,204,Stephen Thompson Jr. Steal.,16,16
6:41,204,Stephen Thompson Jr. Turnover.,16,16
6:40,2501,Portland  Timeout,16,16
6:21,204,Foul on Gligorije Rakocevic.,16,16
6:07,2501,D'Marques Tyson missed Three Point Jumper.,16,16
6:07,2501,Gabe Taylor Offensive Rebound.,16,16
6:03,2501,Gabe Taylor missed Layup.,16,16
6:03,2501,Chier Maker Offensive Rebound.,16,16
5:46,2501,D'Marques Tyson missed Three Point Jumper.,16,16
5:46,204,Gligorije Rakocevic Defensive Rebound.,16,16
5:15,204,Jaquori McLaughlin missed Three Point Jumper.,16,16
5:15,2501,Portland Deadball Team Rebound.,16,16
4:49,2501,Jazz Johnson Turnover.,16,16
4:48,204,Tanner Sanders Steal.,16,16
4:23,204,Kendal Manuel missed Three Point Jumper.,16,16
4:23,2501,Jazz Johnson Defensive Rebound.,16,16
4:14,2501,Alec Wintering missed Layup.,16,16
4:14,204,Drew Eubanks Defensive Rebound.,16,16
3:44,204,Drew Eubanks made Jumper.,16,18
3:27,204,Foul on Drew Eubanks.,16,18
3:27,204,Official TV Timeout,16,18
3:11,2501,Chier Maker made Layup.,18,18
2:51,2501,Foul on D'Marques Tyson.,18,18
2:51,204,Drew Eubanks made Free Throw.,18,19
2:51,204,Drew Eubanks made Free Throw.,18,20
2:39,2501,Jazz Johnson missed Layup.,18,20
2:39,204,Drew Eubanks Block.,18,20
2:38,204,Stephen Thompson Jr. Defensive Rebound.,18,20
2:33,204,Foul on Stephen Thompson Jr..,18,20
2:33,204,Stephen Thompson Jr. Turnover.,18,20
2:19,2501,Chier Maker made Layup.,20,20
1:50,204,Jaquori McLaughlin missed Jumper.,20,20
1:50,2501,D'Marques Tyson Defensive Rebound.,20,20
1:32,204,Foul on Ben Kone.,20,20
1:32,2501,Jazz Johnson made Free Throw.,21,20
1:32,2501,Jazz Johnson made Free Throw.,22,20
1:17,204,Kendal Manuel missed Layup.,22,20
1:17,204,Tanner Sanders Offensive Rebound.,22,20
1:08,204,Tanner Sanders missed Three Point Jumper.,22,20
1:08,2501,Gabe Taylor Defensive Rebound.,22,20
0:52,2501,Alec Wintering missed Layup.,22,20
0:52,2501,Gabe Taylor Offensive Rebound.,22,20
0:46,2501,Gabe Taylor Turnover.,22,20
0:46,204,Kendal Manuel Steal.,22,20
0:40,204,Jaquori McLaughlin made Layup.,22,22
0:13,2501,Alec Wintering missed Layup.,22,22
0:13,204,Stephen Thompson Jr. Block.,22,22
0:13,204,Oregon St Defensive Rebound.,22,22
0:13,204,Oregon St  Timeout,22,22
0:00,204,Jaquori McLaughlin missed Three Point Jumper.,22,22
0:00,2501,Alec Wintering Defensive Rebound.,22,22
0:00,204,End of 1st half,22,22
19:46,2501,D'Marques Tyson missed Jumper.,22,22
19:46,204,Matt Dahlen Defensive Rebound.,22,22
19:18,204,Drew Eubanks Turnover.,22,22
19:05,204,Foul on Stephen Thompson Jr..,22,22
18:45,2501,Gabe Taylor missed Three Point Jumper.,22,22
18:45,204,Jaquori McLaughlin Block.,22,22
18:42,2501,Gabe Taylor Offensive Rebound.,22,22
18:41,2501,Gabe Taylor missed Layup.,22,22
18:41,2501,Philipp Hartwich Offensive Rebound.,22,22
18:37,2501,D'Marques Tyson missed Three Point Jumper.,22,22
18:37,2501,D'Marques Tyson Offensive Rebound.,22,22
18:18,204,Foul on Matt Dahlen.,22,22
18:10,2501,Jazz Johnson made Three Point Jumper.,25,22
17:44,204,Jaquori McLaughlin made Jumper.,25,24
17:35,2501,D'Marques Tyson missed Three Point Jumper.,25,24
17:35,2501,Philipp Hartwich Offensive Rebound.,25,24
17:24,2501,Philipp Hartwich Turnover.,25,24
17:22,204,Kendal Manuel Steal.,25,24
17:20,204,Stephen Thompson Jr. missed Three Point Jumper.,25,24
17:20,2501,D'Marques Tyson Defensive Rebound.,25,24
17:10,2501,Jazz Johnson made Three Point Jumper. Assisted by Alec Wintering.,28,24
17:04,204,Oregon St  Timeout,28,24
17:03,204,Official TV Timeout,28,24
16:35,204,Jaquori McLaughlin missed Jumper.,28,24
16:35,2501,Portland Defensive Rebound.,28,24
16:20,2501,Gabe Taylor made Three Point Jumper. Assisted by Alec Wintering.,31,24
15:45,204,Kendal Manuel missed Jumper.,31,24
15:45,2501,Philipp Hartwich Defensive Rebound.,31,24
15:36,204,Foul on Ben Kone.,31,24
15:36,204,Official TV Timeout,31,24
15:36,2501,Alec Wintering missed Free Throw.,31,24
15:36,2501,Portland Deadball Team Rebound.,31,24
15:36,2501,Alec Wintering made Free Throw.,32,24
15:27,204,Kendal Manuel missed Three Point Jumper.,32,24
15:27,2501,Gabe Taylor Defensive Rebound.,32,24
15:10,2501,Alec Wintering missed Jumper.,32,24
15:10,2501,Alec Wintering Offensive Rebound.,32,24
15:07,2501,Alec Wintering missed Layup.,32,24
15:07,204,Drew Eubanks Defensive Rebound.,32,24
15:00,204,Jaquori McLaughlin missed Three Point Jumper.,32,24
15:00,2501,Philipp Hartwich Defensive Rebound.,32,24
14:58,204,Foul on Drew Eubanks.,32,24
14:42,2501,Alec Wintering missed Jumper.,32,24
14:42,2501,Philipp Hartwich Offensive Rebound.,32,24
14:36,2501,Jazz Johnson missed Jumper.,32,24
14:36,204,Drew Eubanks Defensive Rebound.,32,24
14:10,2501,Foul on D'Marques Tyson.,32,24
14:10,204,Kendal Manuel missed Free Throw.,32,24
14:10,204,Oregon St Deadball Team Rebound.,32,24
14:10,204,Kendal Manuel made Free Throw.,32,25
14:01,2501,Alec Wintering missed Three Point Jumper.,32,25
14:01,204,Kendal Manuel Defensive Rebound.,32,25
13:54,2501,Foul on Gabe Taylor.,32,25
13:54,204,Stephen Thompson Jr. made Free Throw.,32,26
13:54,204,Stephen Thompson Jr. missed Free Throw.,32,26
13:54,2501,Philipp Hartwich Defensive Rebound.,32,26
13:24,2501,Portland  Turnover.,32,26
13:09,204,Tanner Sanders missed Three Point Jumper.,32,26
13:09,2501,Portland Deadball Team Rebound.,32,26
13:07,2501,Foul on Philipp Hartwich.,32,26
13:07,204,Foul on Drew Eubanks.,32,26
12:59,2501,Jazz Johnson missed Three Point Jumper.,32,26
12:59,204,Stephen Thompson Jr. Defensive Rebound.,32,26
12:47,2501,Foul on D'Marques Tyson.,32,26
12:44,2501,Foul on Jazz Johnson.,32,26
12:44,204,Kendal Manuel missed Free Throw.,32,26
12:44,204,Oregon St Deadball Team Rebound.,32,26
12:44,204,Kendal Manuel made Free Throw.,32,27
12:37,204,Foul on Kendal Manuel.,32,27
12:28,2501,Gabe Taylor missed Jumper.,32,27
12:28,2501,Philipp Hartwich Offensive Rebound.,32,27
12:08,2501,Rashad Jackson missed Jumper.,32,27
12:08,204,Oregon St Deadball Team Rebound.,32,27
12:05,2501,Foul on Philipp Hartwich.,32,27
11:57,2501,Foul on Jazz Johnson.,32,27
11:57,204,Official TV Timeout,32,27
11:57,204,Jaquori McLaughlin made Free Throw.,32,28
11:57,204,Jaquori McLaughlin made Free Throw.,32,29
11:37,2501,Alec Wintering Turnover.,32,29
11:27,204,Jaquori McLaughlin missed Jumper.,32,29
11:27,2501,Chier Maker Defensive Rebound.,32,29
11:18,2501,Alec Wintering missed Layup.,32,29
11:18,204,Gligorije Rakocevic Defensive Rebound.,32,29
10:45,204,Ronnie Stacy missed Layup.,32,29
10:45,2501,Rashad Jackson Defensive Rebound.,32,29
10:33,2501,Gabe Taylor made Jumper.,34,29
10:32,204,Foul on Jaquori McLaughlin.,34,29
10:32,2501,Gabe Taylor made Free Throw.,35,29
10:17,204,Kendal Manuel missed Three Point Jumper.,35,29
10:17,2501,Rashad Jackson Defensive Rebound.,35,29
9:56,2501,Alec Wintering made Layup.,37,29
9:30,204,Jaquori McLaughlin made Three Point Jumper.,37,32
9:28,204,Oregon St  Timeout,37,32
8:59,2501,Alec Wintering missed Three Point Jumper.,37,32
8:59,204,Drew Eubanks Defensive Rebound.,37,32
8:41,204,Drew Eubanks missed Jumper.,37,32
8:41,2501,Alec Wintering Defensive Rebound.,37,32
8:28,2501,Rashad Jackson missed Jumper.,37,32
8:28,204,Tanner Sanders Defensive Rebound.,37,32
8:13,204,Foul on Jaquori McLaughlin.,37,32
8:13,204,Jaquori McLaughlin Turnover.,37,32
7:52,2501,Alec Wintering made Jumper.,39,32
7:33,204,Drew Eubanks missed Jumper.,39,32
7:33,2501,Alec Wintering Defensive Rebound.,39,32
7:06,2501,Alec Wintering made Layup.,41,32
6:51,2501,Foul on Philipp Hartwich.,41,32
6:51,204,Official TV Timeout,41,32
6:51,204,Stephen Thompson Jr. missed Free Throw.,41,32
6:51,204,Oregon St Deadball Team Rebound.,41,32
6:51,204,Stephen Thompson Jr. made Free Throw.,41,33
6:38,2501,Alec Wintering made Jumper.,43,33
6:09,204,Drew Eubanks missed Jumper.,43,33
6:09,204,Tanner Sanders Offensive Rebound.,43,33
6:05,204,Stephen Thompson Jr. missed Jumper.,43,33
6:05,2501,Philipp Hartwich Block.,43,33
6:03,2501,Chier Maker Defensive Rebound.,43,33
5:35,204,Foul on Stephen Thompson Jr..,43,33
5:35,2501,Alec Wintering missed Free Throw.,43,33
5:35,204,Tanner Sanders Defensive Rebound.,43,33
5:16,204,Kendal Manuel made Jumper.,43,35
4:51,204,Oregon St  Timeout,43,35
4:41,2501,Jazz Johnson made Jumper.,45,35
4:25,2501,Foul on Jazz Johnson.,45,35
4:25,204,Stephen Thompson Jr. made Free Throw.,45,36
4:25,204,Stephen Thompson Jr. missed Free Throw.,45,36
4:25,2501,Philipp Hartwich Defensive Rebound.,45,36
4:09,2501,D'Marques Tyson made Three Point Jumper. Assisted by Jazz Johnson.,48,36
4:00,204,Jaquori McLaughlin made Jumper.,48,38
3:28,2501,Jazz Johnson missed Three Point Jumper.,48,38
3:28,204,Kendal Manuel Defensive Rebound.,48,38
3:12,204,Drew Eubanks Turnover.,48,38
3:12,2501,Alec Wintering Steal.,48,38
2:48,2501,Jazz Johnson missed Layup.,48,38
2:48,2501,Philipp Hartwich Offensive Rebound.,48,38
2:42,2501,Portland  Turnover.,48,38
2:42,204,Official TV Timeout,48,38
2:31,204,Jaquori McLaughlin Turnover.,48,38
2:16,2501,D'Marques Tyson missed Three Point Jumper.,48,38
2:16,204,Oregon St Deadball Team Rebound.,48,38
2:13,2501,Foul on Philipp Hartwich.,48,38
2:13,204,Gligorije Rakocevic missed Free Throw.,48,38
2:13,204,Oregon St Deadball Team Rebound.,48,38
2:12,204,Gligorije Rakocevic missed Free Throw.,48,38
2:12,204,Kendal Manuel Offensive Rebound.,48,38
2:05,204,Jaquori McLaughlin made Layup.,48,40
2:05,2501,Foul on D'Marques Tyson.,48,40
2:05,204,Jaquori McLaughlin made Free Throw.,48,41
1:42,2501,Alec Wintering missed Layup.,48,41
1:42,2501,Gabe Taylor Offensive Rebound.,48,41
1:38,2501,Gabe Taylor made Two Point Tip Shot.,50,41
1:15,204,Stephen Thompson Jr. made Three Point Jumper. Assisted by Jaquori McLaughlin.,50,44
1:13,204,Oregon St  Timeout,50,44
0:54,204,Foul on Drew Eubanks.,50,44
0:54,2501,Alec Wintering missed Free Throw.,50,44
0:54,2501,Portland Deadball Team Rebound.,50,44
0:54,2501,Alec Wintering made Free Throw.,51,44
0:41,2501,Foul on D'Marques Tyson.,51,44
0:41,204,Stephen Thompson Jr. made Free Throw.,51,45
0:41,204,Stephen Thompson Jr. missed Free Throw.,51,45
0:41,2501,Rashad Jackson Defensive Rebound.,51,45
0:31,2501,Jazz Johnson Turnover.,51,45
0:31,204,Stephen Thompson Jr. Steal.,51,45
0:29,204,Stephen Thompson Jr. missed Layup.,51,45
0:29,2501,Rashad Jackson Defensive Rebound.,51,45
0:24,204,Foul on Matt Dahlen.,51,45
0:24,2501,Gabe Taylor made Free Throw.,52,45
0:24,2501,Gabe Taylor made Free Throw.,53,45
0:21,204,Stephen Thompson Jr. missed Three Point Jumper.,53,45
0:21,2501,Jazz Johnson Defensive Rebound.,53,45
0:00,204,End of Game,53,45
