Clemson,333,Alabama,228
11:47,228,Donte Grantham missed Three Point Jumper.,12,9
11:47,333,Ar'Mond Davis Defensive Rebound.,12,9
11:24,333,Braxton Key missed Jumper.,12,9
11:24,228,Elijah Thomas Defensive Rebound.,12,9
11:03,228,Marcquise Reed made Jumper.,14,9
10:54,333,Alabama  Timeout,14,9
10:54,333,Official TV Timeout,14,9
10:43,333,Corban Collins missed Layup.,14,9
10:43,228,Marcquise Reed Defensive Rebound.,14,9
10:37,228,Gabe DeVoe made Layup. Assisted by Marcquise Reed.,16,9
10:09,333,Corban Collins Turnover.,16,9
10:07,228,Marcquise Reed Steal.,16,9
10:05,228,Gabe DeVoe made Three Point Jumper.,19,9
9:40,333,Avery Johnson Jr. missed Jumper.,19,9
9:40,333,Donta Hall Offensive Rebound.,19,9
9:33,333,Donta Hall missed Layup.,19,9
9:33,333,Donta Hall Offensive Rebound.,19,9
9:30,333,Shannon Hale missed Three Point Jumper.,19,9
9:30,228,Shelton Mitchell Defensive Rebound.,19,9
9:17,228,Sidy Djitte missed Jumper.,19,9
9:17,333,Shannon Hale Defensive Rebound.,19,9
9:09,333,Riley Norris missed Three Point Jumper.,19,9
9:09,228,Sidy Djitte Defensive Rebound.,19,9
9:01,228,Shelton Mitchell made Layup.,21,9
8:59,333,Alabama  Timeout,21,9
8:38,333,Corban Collins Turnover.,21,9
8:36,333,Foul on Bola Olaniyan.,21,9
8:36,228,Elijah Thomas missed Free Throw.,21,9
8:36,228,Clemson Deadball Team Rebound.,21,9
8:36,228,Elijah Thomas made Free Throw.,22,9
8:16,228,Foul on Elijah Thomas.,22,9
8:16,333,Dazon Ingram made Free Throw.,22,10
8:16,333,Dazon Ingram missed Free Throw.,22,10
8:16,228,Gabe DeVoe Defensive Rebound.,22,10
7:56,228,Marcquise Reed made Jumper.,24,10
7:37,333,Bola Olaniyan Turnover.,24,10
7:37,228,Elijah Thomas Steal.,24,10
7:37,333,Official TV Timeout,24,10
7:26,228,Avry Holmes missed Three Point Jumper.,24,10
7:26,333,Donta Hall Defensive Rebound.,24,10
7:23,228,Foul on Elijah Thomas.,24,10
7:13,333,Corban Collins Turnover.,24,10
7:12,228,Avry Holmes Steal.,24,10
6:52,228,Shelton Mitchell missed Layup.,24,10
6:52,333,Donta Hall Block.,24,10
6:50,333,Ar'Mond Davis Defensive Rebound.,24,10
6:47,228,Foul on Gabe DeVoe.,24,10
6:47,333,Ar'Mond Davis made Free Throw.,24,11
6:47,333,Ar'Mond Davis made Free Throw.,24,12
6:27,228,Jaron Blossomgame missed Three Point Jumper.,24,12
6:27,333,Dazon Ingram Defensive Rebound.,24,12
5:57,333,Dazon Ingram missed Three Point Jumper.,24,12
5:57,228,Jaron Blossomgame Defensive Rebound.,24,12
5:46,228,Avry Holmes made Three Point Jumper. Assisted by Gabe DeVoe.,27,12
5:29,333,Ar'Mond Davis missed Jumper.,27,12
5:29,228,Avry Holmes Defensive Rebound.,27,12
5:09,228,Gabe DeVoe missed Three Point Jumper.,27,12
5:09,333,Alabama Defensive Rebound.,27,12
4:49,333,Braxton Key missed Layup.,27,12
4:49,228,Jaron Blossomgame Defensive Rebound.,27,12
4:45,228,Jaron Blossomgame Turnover.,27,12
4:34,228,Foul on Marcquise Reed.,27,12
4:34,333,Dazon Ingram missed Free Throw.,27,12
4:34,228,Sidy Djitte Defensive Rebound.,27,12
4:14,228,Sidy Djitte missed Jumper.,27,12
4:14,333,Dazon Ingram Defensive Rebound.,27,12
4:02,333,Jimmie Taylor Turnover.,27,12
4:02,333,Foul on Jimmie Taylor.,27,12
3:46,228,Avry Holmes missed Three Point Jumper.,27,12
3:46,228,Jaron Blossomgame Offensive Rebound.,27,12
3:38,228,Marcquise Reed made Jumper.,29,12
3:15,333,Avery Johnson Jr. made Layup.,29,14
2:55,228,Sidy Djitte made Jumper. Assisted by Avry Holmes.,31,14
2:36,333,Avery Johnson Jr. Turnover.,31,14
2:35,228,Avry Holmes Steal.,31,14
2:32,228,Marcquise Reed Turnover.,31,14
2:31,333,Riley Norris Steal.,31,14
2:28,333,Shannon Hale made Layup. Assisted by Dazon Ingram.,31,16
2:09,228,Avry Holmes missed Jumper.,31,16
2:09,333,Dazon Ingram Defensive Rebound.,31,16
1:59,333,Riley Norris missed Jumper.,31,16
1:59,228,Sidy Djitte Defensive Rebound.,31,16
1:50,228,Clemson  Timeout,31,16
1:50,333,Official TV Timeout,31,16
1:30,228,Shelton Mitchell missed Jumper.,31,16
1:30,333,Donta Hall Block.,31,16
1:28,333,Donta Hall Defensive Rebound.,31,16
1:02,333,Avery Johnson Jr. missed Layup.,31,16
1:02,333,Corban Collins Offensive Rebound.,31,16
0:58,333,Dazon Ingram Turnover.,31,16
0:58,333,Foul on Dazon Ingram.,31,16
0:34,228,Marcquise Reed missed Jumper.,31,16
0:34,333,Corban Collins Defensive Rebound.,31,16
0:27,333,Avery Johnson Jr. made Three Point Jumper. Assisted by Donta Hall.,31,19
0:01,228,Sidy Djitte missed Three Point Jumper.,31,19
0:01,333,Alabama Defensive Rebound.,31,19
0:00,333,End of 1st half,31,19
19:47,333,Donta Hall missed Jumper.,31,19
19:47,228,Sidy Djitte Defensive Rebound.,31,19
19:35,228,Shelton Mitchell made Three Point Jumper. Assisted by Avry Holmes.,34,19
19:10,333,Corban Collins missed Three Point Jumper.,34,19
19:10,228,Sidy Djitte Defensive Rebound.,34,19
18:54,228,Jaron Blossomgame missed Jumper.,34,19
18:54,333,Donta Hall Defensive Rebound.,34,19
18:47,228,Foul on Jaron Blossomgame.,34,19
18:21,333,Avery Johnson Jr. missed Three Point Jumper.,34,19
18:21,228,Jaron Blossomgame Defensive Rebound.,34,19
18:15,228,Donte Grantham missed Three Point Jumper.,34,19
18:15,333,Dazon Ingram Defensive Rebound.,34,19
18:14,228,Foul on Sidy Djitte.,34,19
18:01,333,Braxton Key made Layup.,34,21
17:30,228,Jaron Blossomgame Turnover.,34,21
17:28,333,Donta Hall Steal.,34,21
17:21,333,Braxton Key missed Three Point Jumper.,34,21
17:21,333,Dazon Ingram Offensive Rebound.,34,21
17:18,228,Foul on Shelton Mitchell.,34,21
17:10,333,Dazon Ingram missed Jumper.,34,21
17:10,228,Avry Holmes Defensive Rebound.,34,21
16:53,333,Foul on Avery Johnson Jr..,34,21
16:30,228,Shelton Mitchell Turnover.,34,21
16:29,333,Avery Johnson Jr. Steal.,34,21
16:28,228,Foul on Gabe DeVoe.,34,21
16:28,333,Avery Johnson Jr. made Free Throw.,34,22
16:28,333,Avery Johnson Jr. made Free Throw.,34,23
15:59,228,Jaron Blossomgame missed Layup.,34,23
15:59,228,Elijah Thomas Offensive Rebound.,34,23
15:56,228,Elijah Thomas made Layup.,36,23
15:53,333,Official TV Timeout,36,23
15:34,333,Corban Collins missed Three Point Jumper.,36,23
15:34,228,Elijah Thomas Defensive Rebound.,36,23
15:07,228,Avry Holmes missed Jumper.,36,23
15:07,333,Braxton Key Defensive Rebound.,36,23
14:59,333,Avery Johnson Jr. missed Layup.,36,23
14:59,228,Jaron Blossomgame Block.,36,23
14:57,228,Shelton Mitchell Defensive Rebound.,36,23
14:52,228,Jaron Blossomgame made Three Point Jumper. Assisted by Shelton Mitchell.,39,23
14:38,228,Foul on Elijah Thomas.,39,23
14:38,333,Braxton Key made Free Throw.,39,24
14:38,333,Braxton Key made Free Throw.,39,25
14:33,228,Shelton Mitchell made Jumper.,41,25
13:56,333,Braxton Key Turnover.,41,25
13:45,228,Gabe DeVoe missed Three Point Jumper.,41,25
13:45,228,Shelton Mitchell Offensive Rebound.,41,25
13:33,228,Jaron Blossomgame made Dunk. Assisted by Gabe DeVoe.,43,25
13:11,333,Jimmie Taylor made Jumper.,43,27
12:49,228,Gabe DeVoe missed Three Point Jumper.,43,27
12:49,228,Sidy Djitte Offensive Rebound.,43,27
12:44,228,Sidy Djitte Turnover.,43,27
12:43,333,Avery Johnson Jr. Steal.,43,27
12:41,333,Avery Johnson Jr. made Layup.,43,29
12:15,228,Shelton Mitchell Turnover.,43,29
12:15,228,Foul on Shelton Mitchell.,43,29
11:52,333,Riley Norris made Jumper. Assisted by Avery Johnson Jr..,43,31
11:30,228,Jaron Blossomgame missed Jumper.,43,31
11:30,333,Jimmie Taylor Defensive Rebound.,43,31
11:21,228,Foul on Marcquise Reed.,43,31
11:21,333,Avery Johnson Jr. made Free Throw.,43,32
11:21,333,Avery Johnson Jr. made Free Throw.,43,33
10:58,228,Gabe DeVoe made Three Point Jumper. Assisted by Marcquise Reed.,46,33
10:39,333,Avery Johnson Jr. Turnover.,46,33
10:16,228,Avry Holmes made Three Point Jumper.,49,33
9:59,333,Shannon Hale Turnover.,49,33
9:59,228,Gabe DeVoe Steal.,49,33
9:40,333,Foul on Brandon Austin.,49,33
9:40,228,Marcquise Reed missed Free Throw.,49,33
9:40,228,Clemson Deadball Team Rebound.,49,33
9:40,228,Marcquise Reed made Free Throw.,50,33
9:23,333,Shannon Hale made Jumper.,50,35
9:01,333,Foul on Corban Collins.,50,35
8:38,228,Gabe DeVoe missed Jumper.,50,35
8:38,333,Dazon Ingram Defensive Rebound.,50,35
8:36,228,Foul on Marcquise Reed.,50,35
8:36,333,Dazon Ingram made Free Throw.,50,36
8:36,333,Dazon Ingram made Free Throw.,50,37
8:21,228,Jaron Blossomgame missed Layup.,50,37
8:21,333,Donta Hall Block.,50,37
8:19,333,Donta Hall Defensive Rebound.,50,37
8:08,228,Foul on Avry Holmes.,50,37
8:08,333,Shannon Hale made Free Throw.,50,38
8:08,333,Shannon Hale made Free Throw.,50,39
7:47,228,Avry Holmes missed Three Point Jumper.,50,39
7:47,333,Alabama Defensive Rebound.,50,39
7:45,333,Official TV Timeout,50,39
7:32,333,Shannon Hale missed Jumper.,50,39
7:32,228,Shelton Mitchell Defensive Rebound.,50,39
7:04,228,Gabe DeVoe made Three Point Jumper.,53,39
6:41,333,Corban Collins made Jumper.,53,41
6:19,228,Sidy Djitte made Layup. Assisted by Shelton Mitchell.,55,41
6:02,333,Shannon Hale missed Three Point Jumper.,55,41
6:02,228,Gabe DeVoe Defensive Rebound.,55,41
6:00,228,Donte Grantham Turnover.,55,41
6:00,333,Shannon Hale Steal.,55,41
5:48,333,Braxton Key missed Jumper.,55,41
5:48,228,Sidy Djitte Defensive Rebound.,55,41
5:29,228,Sidy Djitte made Layup. Assisted by Gabe DeVoe.,57,41
5:20,333,Alabama  Timeout,57,41
5:11,333,Shannon Hale missed Three Point Jumper.,57,41
5:11,228,Shelton Mitchell Defensive Rebound.,57,41
4:47,228,Gabe DeVoe missed Three Point Jumper.,57,41
4:47,333,Brandon Austin Defensive Rebound.,57,41
4:28,228,Foul on Gabe DeVoe.,57,41
4:28,333,Shannon Hale missed Free Throw.,57,41
4:28,333,Alabama Deadball Team Rebound.,57,41
4:28,333,Shannon Hale made Free Throw.,57,42
3:59,228,Shelton Mitchell missed Jumper.,57,42
3:59,333,Braxton Key Defensive Rebound.,57,42
3:51,333,Brandon Austin made Layup. Assisted by Braxton Key.,57,44
3:38,228,Gabe DeVoe Turnover.,57,44
3:37,333,Braxton Key Steal.,57,44
3:34,333,Corban Collins made Three Point Jumper. Assisted by Avery Johnson Jr..,57,47
3:28,228,Clemson  Timeout,57,47
3:01,228,Gabe DeVoe missed Three Point Jumper.,57,47
3:01,333,Shannon Hale Defensive Rebound.,57,47
2:44,333,Avery Johnson Jr. missed Three Point Jumper.,57,47
2:44,333,Brandon Austin Offensive Rebound.,57,47
2:24,333,Shannon Hale Turnover.,57,47
2:21,228,Donte Grantham Turnover.,57,47
2:20,333,Avery Johnson Jr. Steal.,57,47
2:18,228,Foul on Sidy Djitte.,57,47
2:18,333,Shannon Hale missed Free Throw.,57,47
2:18,333,Alabama Deadball Team Rebound.,57,47
2:18,333,Shannon Hale made Free Throw.,57,48
2:02,333,Foul on Avery Johnson Jr..,57,48
1:52,333,Foul on Shannon Hale.,57,48
1:38,228,Shelton Mitchell made Layup.,59,48
1:25,333,Brandon Austin missed Three Point Jumper.,59,48
1:25,333,Shannon Hale Offensive Rebound.,59,48
1:20,333,Riley Norris missed Three Point Jumper.,59,48
1:20,228,Clemson Defensive Rebound.,59,48
1:15,333,Foul on Brandon Austin.,59,48
1:07,333,Foul on Donta Hall.,59,48
1:07,228,Sidy Djitte made Free Throw.,60,48
1:07,228,Sidy Djitte made Free Throw.,61,48
0:57,333,Braxton Key missed Three Point Jumper.,61,48
0:57,333,Avery Johnson Jr. Offensive Rebound.,61,48
0:54,228,Foul on Sidy Djitte.,61,48
0:54,333,Avery Johnson Jr. missed Free Throw.,61,48
0:54,333,Alabama Deadball Team Rebound.,61,48
0:54,333,Avery Johnson Jr. made Free Throw.,61,49
0:41,333,Foul on Avery Johnson Jr..,61,49
0:41,228,Shelton Mitchell made Free Throw.,62,49
0:41,228,Shelton Mitchell made Free Throw.,63,49
0:35,333,Braxton Key missed Three Point Jumper.,63,49
0:35,333,Riley Norris Offensive Rebound.,63,49
0:28,333,Avery Johnson Jr. made Three Point Jumper. Assisted by Riley Norris.,63,52
0:26,333,Alabama  Timeout,63,52
0:25,333,Foul on Dazon Ingram.,63,52
0:25,228,Shelton Mitchell made Free Throw.,64,52
0:25,228,Shelton Mitchell made Free Throw.,65,52
0:15,333,Avery Johnson Jr. made Layup. Assisted by Dazon Ingram.,65,54
0:12,333,Foul on Braxton Key.,65,54
0:12,228,Jaron Blossomgame made Free Throw.,66,54
0:12,228,Jaron Blossomgame made Free Throw.,67,54
0:05,333,Shannon Hale missed Three Point Jumper.,67,54
0:05,228,Gabe DeVoe Defensive Rebound.,67,54
