Dartmouth,2341,LIU Brooklyn,159
12:17,2341,Jashaun Agosto missed Free Throw.,17,11
12:17,159,Ian Carter Defensive Rebound.,17,11
11:46,159,Dartmouth  Turnover.,17,11
11:46,2341,Official TV Timeout,17,11
11:24,2341,Glenn Feidanga missed Jumper.,17,11
11:24,159,Evan Boudreaux Defensive Rebound.,17,11
11:20,2341,Foul on Jerome Frink.,17,11
11:05,159,Evan Boudreaux Turnover.,17,11
10:52,2341,Jashaun Agosto made Layup.,17,13
10:41,2341,Foul on Jashaun Agosto.,17,13
10:34,159,Miles Wright missed Layup.,17,13
10:34,2341,Nura Zanna Defensive Rebound.,17,13
10:04,2341,Iverson Fleming missed Jumper.,17,13
10:04,2341,Nura Zanna Offensive Rebound.,17,13
9:58,2341,Nura Zanna missed Layup.,17,13
9:58,159,Ike Ngwudo Block.,17,13
9:57,159,Miles Wright Defensive Rebound.,17,13
9:45,159,Evan Boudreaux missed Layup.,17,13
9:45,159,Miles Wright Offensive Rebound.,17,13
9:29,159,Evan Boudreaux missed Three Point Jumper.,17,13
9:29,2341,Jashaun Agosto Defensive Rebound.,17,13
9:07,2341,Julius van Sauers made Layup. Assisted by Nura Zanna.,17,15
8:47,159,Evan Boudreaux missed Layup.,17,15
8:47,2341,Nura Zanna Defensive Rebound.,17,15
8:27,2341,Jerome Frink made Layup. Assisted by Iverson Fleming.,17,17
8:07,159,Ike Ngwudo made Three Point Jumper. Assisted by Guilien Smith.,20,17
7:54,159,Foul on Mike Fleming.,20,17
7:54,2341,Official TV Timeout,20,17
7:54,2341,Jashaun Agosto missed Free Throw.,20,17
7:54,2341,LIU Brooklyn Deadball Team Rebound.,20,17
7:54,2341,Jashaun Agosto made Free Throw.,20,18
7:42,2341,Foul on Jerome Frink.,20,18
7:42,159,Guilien Smith made Free Throw.,21,18
7:42,159,Guilien Smith made Free Throw.,22,18
7:13,2341,Iverson Fleming missed Three Point Jumper.,22,18
7:13,2341,Kwe Askew Offensive Rebound.,22,18
7:08,2341,Iverson Fleming missed Jumper.,22,18
7:08,159,Evan Boudreaux Defensive Rebound.,22,18
6:56,159,Evan Boudreaux missed Three Point Jumper.,22,18
6:56,2341,Nura Zanna Defensive Rebound.,22,18
6:46,2341,Foul on Nura Zanna.,22,18
6:46,2341,Nura Zanna Turnover.,22,18
6:32,159,Miles Wright made Three Point Jumper. Assisted by Guilien Smith.,25,18
6:14,2341,Nura Zanna made Jumper.,25,20
5:57,159,Foul on Guilien Smith.,25,20
5:57,159,Guilien Smith Turnover.,25,20
5:48,2341,Nura Zanna made Jumper. Assisted by Kwe Askew.,25,22
5:32,159,Ike Ngwudo missed Three Point Jumper.,25,22
5:32,2341,Raiquan Clark Defensive Rebound.,25,22
5:25,2341,Julian Batts Turnover.,25,22
5:23,159,Miles Wright Steal.,25,22
5:23,2341,Foul on Kwe Askew.,25,22
5:10,159,Foul on Evan Boudreaux.,25,22
5:10,159,Evan Boudreaux Turnover.,25,22
4:55,159,Foul on Ian Carter.,25,22
4:55,2341,Nura Zanna missed Free Throw.,25,22
4:55,159,Ian Sistare Defensive Rebound.,25,22
4:45,2341,Foul on Julian Batts.,25,22
4:45,159,Brendan Barry missed Free Throw.,25,22
4:45,2341,Nura Zanna Defensive Rebound.,25,22
4:31,2341,Raiquan Clark missed Layup.,25,22
4:31,159,Ian Carter Block.,25,22
4:29,159,Ian Sistare Defensive Rebound.,25,22
4:14,159,Ian Carter made Three Point Jumper. Assisted by Wesley Dickinson.,28,22
3:58,2341,Kwe Askew missed Jumper.,28,22
3:58,2341,Raiquan Clark Offensive Rebound.,28,22
3:40,2341,Foul on Raiquan Clark.,28,22
3:40,2341,Raiquan Clark Turnover.,28,22
3:40,2341,Official TV Timeout,28,22
3:10,159,Dartmouth  Turnover.,28,22
2:44,2341,Raul Frias missed Jumper.,28,22
2:44,159,Brendan Barry Defensive Rebound.,28,22
2:36,2341,Foul on Julius van Sauers.,28,22
2:36,159,Wesley Dickinson missed Free Throw.,28,22
2:36,159,Dartmouth Deadball Team Rebound.,28,22
2:36,159,Wesley Dickinson made Free Throw.,29,22
2:24,2341,Julius van Sauers missed Layup.,29,22
2:24,2341,Nura Zanna Offensive Rebound.,29,22
2:19,2341,Nura Zanna made Two Point Tip Shot.,29,24
2:06,159,Ike Ngwudo missed Jumper.,29,24
2:06,2341,Jashaun Agosto Defensive Rebound.,29,24
1:58,2341,Foul on Iverson Fleming.,29,24
1:58,2341,Iverson Fleming Turnover.,29,24
1:36,159,Ike Ngwudo missed Layup.,29,24
1:36,2341,Nura Zanna Defensive Rebound.,29,24
1:34,159,Foul on Ike Ngwudo.,29,24
1:34,2341,Nura Zanna missed Free Throw.,29,24
1:34,159,Ian Carter Defensive Rebound.,29,24
1:16,159,Miles Wright made Layup. Assisted by Ian Carter.,31,24
0:58,159,Foul on Guilien Smith.,31,24
0:58,2341,Julian Batts made Free Throw.,31,25
0:58,2341,Julian Batts missed Free Throw.,31,25
0:58,159,Ian Sistare Defensive Rebound.,31,25
0:52,159,Dartmouth  Timeout,31,25
0:43,159,Miles Wright missed Layup.,31,25
0:43,2341,Nura Zanna Block.,31,25
0:42,2341,Julian Batts Defensive Rebound.,31,25
0:35,2341,Julian Batts missed Jumper.,31,25
0:35,2341,Raiquan Clark Offensive Rebound.,31,25
0:31,2341,Raiquan Clark missed Layup.,31,25
0:31,159,Brendan Barry Defensive Rebound.,31,25
0:27,159,Brendan Barry Turnover.,31,25
0:03,2341,Iverson Fleming Turnover.,31,25
0:02,159,Ian Carter Turnover.,31,25
0:02,2341,Julian Batts Steal.,31,25
0:02,2341,Julian Batts made Layup.,31,27
0:00,2341,End of 1st half,31,27
19:46,159,Guilien Smith missed Jumper.,31,27
19:46,159,Guilien Smith Offensive Rebound.,31,27
19:43,159,Guilien Smith made Layup.,33,27
19:20,159,Foul on Ike Ngwudo.,33,27
19:20,2341,Jerome Frink made Free Throw.,33,28
19:20,2341,Jerome Frink made Free Throw.,33,29
19:02,159,Miles Wright missed Three Point Jumper.,33,29
19:02,2341,Nura Zanna Defensive Rebound.,33,29
18:49,2341,Jashaun Agosto made Jumper.,33,31
18:24,159,Wesley Dickinson made Layup.,35,31
18:07,2341,Jashaun Agosto missed Layup.,35,31
18:07,2341,Nura Zanna Defensive Rebound.,35,31
18:01,2341,Nura Zanna missed Layup.,35,31
18:00,159,Miles Wright Defensive Rebound.,35,31
17:56,159,Guilien Smith missed Layup.,35,31
17:56,159,Wesley Dickinson Offensive Rebound.,35,31
17:47,159,Wesley Dickinson missed Layup.,35,31
17:47,159,Wesley Dickinson Offensive Rebound.,35,31
17:45,159,Wesley Dickinson made Layup.,37,31
17:45,2341,Foul on Nura Zanna.,37,31
17:45,159,Wesley Dickinson made Free Throw.,38,31
17:32,159,Foul on Wesley Dickinson.,38,31
17:24,2341,Iverson Fleming Turnover.,38,31
17:23,159,Wesley Dickinson Steal.,38,31
17:11,2341,Foul on Julius van Sauers.,38,31
17:11,159,Miles Wright missed Free Throw.,38,31
17:11,159,Dartmouth Deadball Team Rebound.,38,31
17:11,159,Miles Wright missed Free Throw.,38,31
17:11,2341,Jerome Frink Defensive Rebound.,38,31
17:01,2341,Foul on Nura Zanna.,38,31
17:01,2341,Nura Zanna Turnover.,38,31
16:45,159,Evan Boudreaux made Layup.,40,31
16:30,2341,Jerome Frink missed Three Point Jumper.,40,31
16:30,159,Mike Fleming Defensive Rebound.,40,31
16:22,159,Miles Wright missed Layup.,40,31
16:22,2341,Jerome Frink Block.,40,31
16:19,2341,LIU Brooklyn Defensive Rebound.,40,31
16:03,2341,Iverson Fleming missed Jumper.,40,31
16:03,159,Evan Boudreaux Defensive Rebound.,40,31
15:50,159,Wesley Dickinson missed Layup.,40,31
15:50,2341,Iverson Fleming Block.,40,31
15:49,159,Dartmouth Offensive Rebound.,40,31
15:49,2341,Official TV Timeout,40,31
15:47,159,Evan Boudreaux missed Jumper.,40,31
15:47,2341,Kwe Askew Defensive Rebound.,40,31
15:35,2341,Jerome Frink missed Layup.,40,31
15:35,159,Wesley Dickinson Block.,40,31
15:33,159,Ian Sistare Defensive Rebound.,40,31
15:24,159,Evan Boudreaux Turnover.,40,31
15:24,2341,Iverson Fleming Steal.,40,31
15:19,2341,Iverson Fleming made Layup.,40,33
14:57,159,Evan Boudreaux Turnover.,40,33
14:27,2341,Raiquan Clark missed Layup.,40,33
14:27,159,Evan Boudreaux Defensive Rebound.,40,33
14:11,159,Brendan Barry made Three Point Jumper. Assisted by Evan Boudreaux.,43,33
14:02,2341,Jerome Frink made Layup. Assisted by Jashaun Agosto.,43,35
13:44,159,Evan Boudreaux missed Three Point Jumper.,43,35
13:44,2341,Kwe Askew Defensive Rebound.,43,35
13:36,2341,Raiquan Clark missed Layup.,43,35
13:36,159,Evan Boudreaux Block.,43,35
13:35,159,Evan Boudreaux Defensive Rebound.,43,35
13:20,159,Miles Wright made Three Point Jumper. Assisted by Brendan Barry.,46,35
13:16,2341,LIU Brooklyn  Timeout,46,35
13:02,2341,Jerome Frink made Layup.,46,37
13:02,159,Foul on Brendan Barry.,46,37
13:02,2341,Jerome Frink missed Free Throw.,46,37
13:02,159,Evan Boudreaux Defensive Rebound.,46,37
12:43,159,Brendan Barry made Three Point Jumper. Assisted by Miles Wright.,49,37
12:25,2341,Jerome Frink made Jumper.,49,39
12:12,2341,Foul on Julian Batts.,49,39
12:11,2341,Foul on Jerome Frink.,49,39
12:11,159,Evan Boudreaux made Free Throw.,50,39
12:11,159,Evan Boudreaux missed Free Throw.,50,39
12:11,2341,Nura Zanna Defensive Rebound.,50,39
11:56,2341,Julian Batts missed Three Point Jumper.,50,39
11:56,2341,Nura Zanna Offensive Rebound.,50,39
11:50,2341,Nura Zanna made Layup.,50,41
11:27,2341,Foul on Julius van Sauers.,50,41
11:27,2341,Official TV Timeout,50,41
11:26,159,Evan Boudreaux made Layup. Assisted by Ian Sistare.,52,41
11:13,2341,Jashaun Agosto missed Jumper.,52,41
11:13,159,Ian Sistare Defensive Rebound.,52,41
10:55,159,Ike Ngwudo made Layup.,54,41
10:40,2341,Iverson Fleming made Layup.,54,43
10:11,159,Evan Boudreaux missed Three Point Jumper.,54,43
10:11,2341,Jashaun Agosto Defensive Rebound.,54,43
9:57,159,Foul on Taylor Johnson.,54,43
9:51,2341,Iverson Fleming Turnover.,54,43
9:36,159,Ike Ngwudo made Three Point Jumper. Assisted by Evan Boudreaux.,57,43
9:19,2341,Nura Zanna made Layup. Assisted by Jerome Frink.,57,45
9:19,2341,LIU Brooklyn  Timeout,57,45
9:00,159,Wesley Dickinson missed Layup.,57,45
9:00,159,Miles Wright Offensive Rebound.,57,45
8:57,159,Miles Wright missed Layup.,57,45
8:57,159,Miles Wright Offensive Rebound.,57,45
8:54,159,Miles Wright made Two Point Tip Shot.,59,45
8:49,159,Foul on Miles Wright.,59,45
8:49,2341,Iverson Fleming missed Free Throw.,59,45
8:49,2341,LIU Brooklyn Deadball Team Rebound.,59,45
8:49,2341,Iverson Fleming made Free Throw.,59,46
8:26,159,Miles Wright missed Three Point Jumper.,59,46
8:26,2341,Julius van Sauers Defensive Rebound.,59,46
8:14,2341,Jerome Frink made Layup. Assisted by Iverson Fleming.,59,48
8:07,159,Mike Fleming Turnover.,59,48
8:04,2341,Iverson Fleming Steal.,59,48
8:00,2341,Iverson Fleming missed Layup.,59,48
8:00,2341,LIU Brooklyn Deadball Team Rebound.,59,48
7:57,2341,Julius van Sauers Turnover.,59,48
7:57,2341,Official TV Timeout,59,48
7:32,159,Miles Wright made Three Point Jumper. Assisted by Mike Fleming.,62,48
7:14,2341,Nura Zanna made Jumper.,62,50
6:49,2341,Foul on Julius van Sauers.,62,50
6:49,159,Brendan Barry made Free Throw.,63,50
6:49,159,Brendan Barry made Free Throw.,64,50
6:36,159,Foul on Evan Boudreaux.,64,50
6:36,2341,Nura Zanna missed Free Throw.,64,50
6:36,2341,LIU Brooklyn Deadball Team Rebound.,64,50
6:36,2341,Nura Zanna missed Free Throw.,64,50
6:36,159,Ike Ngwudo Defensive Rebound.,64,50
6:16,159,Evan Boudreaux made Layup.,66,50
6:03,2341,Jashaun Agosto Turnover.,66,50
6:03,159,Dartmouth  Timeout,66,50
6:01,2341,Foul on Julian Batts.,66,50
6:01,159,Mike Fleming made Free Throw.,67,50
6:01,159,Mike Fleming made Free Throw.,68,50
5:47,2341,Jerome Frink made Jumper.,68,52
5:17,159,Brendan Barry missed Jumper.,68,52
5:17,2341,Kwe Askew Defensive Rebound.,68,52
5:14,159,Foul on Brendan Barry.,68,52
5:14,2341,Kwe Askew missed Free Throw.,68,52
5:14,2341,Julian Batts Offensive Rebound.,68,52
5:07,2341,Julian Batts missed Three Point Jumper.,68,52
5:07,159,Brendan Barry Defensive Rebound.,68,52
5:02,2341,Foul on Iverson Fleming.,68,52
5:02,159,Brendan Barry made Free Throw.,69,52
5:02,159,Brendan Barry made Free Throw.,70,52
4:51,2341,Kwe Askew made Layup.,70,54
4:41,159,Miles Wright made Layup. Assisted by Evan Boudreaux.,72,54
4:26,2341,Jerome Frink Turnover.,72,54
4:26,159,Brendan Barry Steal.,72,54
4:23,2341,Foul on Jashaun Agosto.,72,54
4:23,159,Guilien Smith made Free Throw.,73,54
4:23,159,Guilien Smith made Free Throw.,74,54
4:12,2341,Jashaun Agosto missed Three Point Jumper.,74,54
4:12,159,Guilien Smith Defensive Rebound.,74,54
3:54,159,Evan Boudreaux missed Layup.,74,54
3:54,2341,Jerome Frink Block.,74,54
3:53,2341,Jerome Frink Defensive Rebound.,74,54
3:48,2341,Iverson Fleming made Layup.,74,56
3:37,2341,Foul on Jerome Frink.,74,56
3:37,2341,Official TV Timeout,74,56
3:37,159,Guilien Smith made Free Throw.,75,56
3:37,159,Guilien Smith made Free Throw.,76,56
3:22,2341,Jerome Frink made Jumper.,76,58
2:57,2341,Foul on Jashaun Agosto.,76,58
2:57,159,Guilien Smith made Free Throw.,77,58
2:57,159,Guilien Smith missed Free Throw.,77,58
2:57,2341,Nura Zanna Defensive Rebound.,77,58
2:39,159,Foul on Evan Boudreaux.,77,58
2:39,2341,Iverson Fleming made Free Throw.,77,59
2:39,2341,Iverson Fleming made Free Throw.,77,60
2:35,2341,Foul on Julian Batts.,77,60
2:35,159,Brendan Barry made Free Throw.,78,60
2:35,159,Brendan Barry made Free Throw.,79,60
2:21,159,Foul on Evan Boudreaux.,79,60
2:21,2341,Nura Zanna made Free Throw.,79,61
2:21,2341,Nura Zanna missed Free Throw.,79,61
2:21,159,Guilien Smith Defensive Rebound.,79,61
1:51,159,Mike Fleming missed Three Point Jumper.,79,61
1:51,2341,Nura Zanna Defensive Rebound.,79,61
1:43,2341,Ashtyn Bradley missed Three Point Jumper.,79,61
1:43,2341,Nura Zanna Offensive Rebound.,79,61
1:29,2341,Ashtyn Bradley made Three Point Jumper. Assisted by Julian Batts.,79,64
0:50,159,Guilien Smith missed Jumper.,79,64
0:50,159,Mike Fleming Offensive Rebound.,79,64
0:46,159,Dartmouth  Timeout,79,64
0:40,2341,Foul on Raiquan Clark.,79,64
0:40,159,Brendan Barry made Free Throw.,80,64
0:40,159,Brendan Barry made Free Throw.,81,64
0:28,2341,Nura Zanna made Layup.,81,66
0:27,2341,Foul on Raiquan Clark.,81,66
0:27,159,Guilien Smith missed Free Throw.,81,66
0:27,159,Dartmouth Deadball Team Rebound.,81,66
0:27,159,Guilien Smith made Free Throw.,82,66
0:23,2341,Julian Batts made Layup.,82,68
0:00,2341,End of Game,82,68
