Piedmont International University,Error,Coastal Carolina,324
15:00,-1,Justin Valentine missed Three Point Jumper.,5,16
15:00,324,Demario Beck Defensive Rebound.,5,16
14:43,324,Demario Beck missed Layup.,5,16
14:43,324,Joseph Williams-Powell Offensive Rebound.,5,16
14:40,324,Joseph Williams-Powell missed Layup.,5,16
14:40,-1,Jordan Long Defensive Rebound.,5,16
14:31,-1,Olajuwan Torrance missed Jumper.,5,16
14:31,324,Demario Beck Defensive Rebound.,5,16
14:23,324,Demario Beck made Three Point Jumper. Assisted by Jaylen Shaw.,5,19
14:03,-1,Jordan Long missed Jumper.,5,19
14:03,324,Joseph Williams-Powell Defensive Rebound.,5,19
13:53,324,Elijah Wilson missed Three Point Jumper.,5,19
13:53,324,Demario Beck Offensive Rebound.,5,19
13:49,-1,Foul on Justin Valentine.,5,19
13:49,324,Demario Beck made Free Throw.,5,20
13:49,324,Demario Beck missed Free Throw.,5,20
13:49,-1,Olajuwan Torrance Defensive Rebound.,5,20
13:49,324,Foul on Elijah Wilson.,5,20
13:40,-1,Nash Carter missed Three Point Jumper.,5,20
13:40,324,Artur Labinowicz Defensive Rebound.,5,20
13:16,324,Elijah Wilson Turnover.,5,20
13:14,-1,Antoine Robinson Steal.,5,20
13:07,-1,Antoine Robinson missed Three Point Jumper.,5,20
13:07,324,Joseph Williams-Powell Defensive Rebound.,5,20
12:52,-1,Foul on Amond Matthews.,5,20
12:52,324,Joseph Williams-Powell made Free Throw.,5,21
12:52,324,Joseph Williams-Powell made Free Throw.,5,22
12:43,-1,Nash Carter missed Jumper.,5,22
12:43,-1,Olajuwan Torrance Offensive Rebound.,5,22
12:39,-1,Piedmont International University  Timeout,5,22
12:27,-1,Antoine Robinson Turnover.,5,22
12:27,-1,Foul on Antoine Robinson.,5,22
12:14,324,Elijah Wilson made Three Point Jumper.,5,25
11:43,-1,David Barron missed Three Point Jumper.,5,25
11:43,324,Elijah Wilson Defensive Rebound.,5,25
11:33,324,Jaylan Robertson missed Three Point Jumper.,5,25
11:33,324,Joseph Williams-Powell Offensive Rebound.,5,25
11:29,324,Joseph Williams-Powell made Layup.,5,27
11:08,-1,Olajuwan Torrance missed Jumper.,5,27
11:08,-1,Amond Matthews Offensive Rebound.,5,27
11:03,-1,Amond Matthews missed Layup.,5,27
11:03,324,Amidou Bamba Defensive Rebound.,5,27
10:57,324,Elijah Wilson missed Layup.,5,27
10:57,-1,Antoine Robinson Defensive Rebound.,5,27
10:51,-1,Antoine Robinson Turnover.,5,27
10:51,324,Coastal Carolina  Timeout,5,27
10:32,324,Jaylen Shaw made Layup.,5,29
10:10,-1,Olajuwan Torrance Turnover.,5,29
10:10,-1,Foul on Olajuwan Torrance.,5,29
9:50,324,Jaylan Robertson missed Jumper.,5,29
9:50,324,Demario Beck Offensive Rebound.,5,29
9:46,324,Demario Beck made Layup.,5,31
9:19,-1,Olajuwan Torrance missed Jumper.,5,31
9:19,324,Jaylen Shaw Defensive Rebound.,5,31
9:13,324,Demario Beck made Dunk. Assisted by Jaylen Shaw.,5,33
8:47,-1,David Barron made Three Point Jumper. Assisted by Daqjan Lee.,8,33
8:36,324,Artur Labinowicz made Three Point Jumper. Assisted by Colton Ray-St Cyr.,8,36
8:22,-1,David Barron missed Three Point Jumper.,8,36
8:22,-1,Antoine Robinson Offensive Rebound.,8,36
8:18,-1,Antoine Robinson missed Jumper.,8,36
8:18,324,Artur Labinowicz Defensive Rebound.,8,36
8:12,-1,Foul on Olajuwan Torrance.,8,36
8:12,324,Artur Labinowicz made Free Throw.,8,37
8:12,324,Artur Labinowicz made Free Throw.,8,38
7:59,-1,Antoine Robinson missed Layup.,8,38
7:59,-1,Jordan Long Offensive Rebound.,8,38
7:54,-1,Jordan Long Turnover.,8,38
7:52,324,Jaylen Shaw Steal.,8,38
7:49,324,Jaylen Shaw made Jumper.,8,40
7:25,-1,Lj Williams made Jumper. Assisted by Antoine Robinson.,10,40
7:02,-1,Foul on Lj Williams.,10,40
7:02,324,Coastal Carolina  Timeout,10,40
7:02,324,Demario Beck made Free Throw.,10,41
7:02,324,Demario Beck made Free Throw.,10,42
6:35,324,Foul on Joseph Williams-Powell.,10,42
6:35,-1,Jordan Long made Free Throw.,11,42
6:35,-1,Jordan Long made Free Throw.,12,42
6:21,324,Amidou Bamba missed Layup.,12,42
6:21,-1,Josh Daniels Defensive Rebound.,12,42
6:14,-1,Josh Daniels made Layup.,14,42
5:59,324,Amidou Bamba missed Jumper.,14,42
5:59,-1,Lj Williams Defensive Rebound.,14,42
5:51,-1,Daqjan Lee missed Three Point Jumper.,14,42
5:51,324,Jaylen Shaw Defensive Rebound.,14,42
5:34,324,Colton Ray-St Cyr missed Three Point Jumper.,14,42
5:34,-1,Piedmont International University Deadball Team Rebound.,14,42
5:20,-1,Josh Daniels missed Three Point Jumper.,14,42
5:20,324,Amidou Bamba Defensive Rebound.,14,42
5:08,324,Joseph Williams-Powell made Jumper. Assisted by Elijah Wilson.,14,44
4:50,-1,Lj Williams missed Jumper.,14,44
4:50,324,Joseph Williams-Powell Defensive Rebound.,14,44
4:33,324,Jaylen Shaw missed Three Point Jumper.,14,44
4:33,-1,Jordan Long Defensive Rebound.,14,44
4:16,-1,Lj Williams Turnover.,14,44
4:16,-1,Foul on Lj Williams.,14,44
4:08,324,Elijah Wilson missed Three Point Jumper.,14,44
4:08,-1,Piedmont International University Defensive Rebound.,14,44
3:57,-1,Piedmont International University  Timeout,14,44
3:45,-1,Amond Matthews Turnover.,14,44
3:45,-1,Foul on Amond Matthews.,14,44
3:32,324,Artur Labinowicz Turnover.,14,44
3:31,-1,Nash Carter Steal.,14,44
3:29,-1,Nash Carter made Layup.,16,44
3:26,-1,Foul on Nash Carter.,16,44
3:22,324,Jaylen Shaw made Free Throw.,16,45
3:22,324,Jaylen Shaw made Free Throw.,16,46
3:07,-1,Nash Carter missed Jumper.,16,46
3:07,324,Joseph Williams-Powell Defensive Rebound.,16,46
2:58,324,Artur Labinowicz missed Layup.,16,46
2:58,-1,Amond Matthews Defensive Rebound.,16,46
2:49,-1,Nash Carter Turnover.,16,46
2:48,324,Artur Labinowicz Steal.,16,46
2:44,324,Joseph Williams-Powell missed Dunk.,16,46
2:44,324,Elijah Wilson Offensive Rebound.,16,46
2:40,324,Elijah Wilson missed Three Point Jumper.,16,46
2:40,324,Elijah Wilson Offensive Rebound.,16,46
2:21,324,Joseph Williams-Powell made Layup. Assisted by Jaylen Shaw.,16,48
2:08,-1,Jordan Long missed Three Point Jumper.,16,48
2:08,324,Demario Beck Defensive Rebound.,16,48
1:59,324,Elijah Wilson missed Three Point Jumper.,16,48
1:59,-1,Nash Carter Defensive Rebound.,16,48
1:51,-1,Justin Valentine missed Three Point Jumper.,16,48
1:51,324,Artur Labinowicz Defensive Rebound.,16,48
1:28,-1,Foul on Amond Matthews.,16,48
1:28,324,Joseph Williams-Powell made Free Throw.,16,49
1:28,324,Joseph Williams-Powell missed Free Throw.,16,49
1:28,-1,Jordan Long Defensive Rebound.,16,49
1:24,-1,Justin Valentine made Three Point Jumper.,19,49
1:04,324,Demario Beck Turnover.,19,49
1:02,-1,Nash Carter Steal.,19,49
1:00,-1,Jordan Long made Layup.,21,49
0:35,324,Colton Ray-St Cyr made Jumper.,21,51
0:28,324,Foul on Jaylan Robertson.,21,51
0:04,-1,Justin Valentine missed Jumper.,21,51
0:04,324,Artur Labinowicz Block.,21,51
0:02,324,Artur Labinowicz Defensive Rebound.,21,51
0:00,324,End of 1st half,21,51
19:45,-1,Foul on Justin Valentine.,21,51
19:45,324,Colton Ray-St Cyr made Free Throw.,21,52
19:45,324,Colton Ray-St Cyr made Free Throw.,21,53
19:26,-1,Justin Valentine Turnover.,21,53
19:24,324,Amidou Bamba Steal.,21,53
19:18,324,Demario Beck missed Layup.,21,53
19:18,324,Demario Beck Offensive Rebound.,21,53
19:12,324,Elijah Wilson missed Layup.,21,53
19:12,-1,Jordan Long Defensive Rebound.,21,53
19:03,-1,Josh Daniels missed Jumper.,21,53
19:03,324,Demario Beck Defensive Rebound.,21,53
18:52,324,Amidou Bamba made Dunk. Assisted by Jaylen Shaw.,21,55
18:31,-1,Nash Carter missed Layup.,21,55
18:31,324,Colton Ray-St Cyr Defensive Rebound.,21,55
18:18,324,Jaylen Shaw Turnover.,21,55
18:18,-1,Josh Daniels Steal.,21,55
17:58,-1,Nash Carter missed Layup.,21,55
17:58,324,Colton Ray-St Cyr Defensive Rebound.,21,55
17:50,324,Colton Ray-St Cyr missed Jumper.,21,55
17:50,324,Colton Ray-St Cyr Offensive Rebound.,21,55
17:47,324,Colton Ray-St Cyr made Layup.,21,57
17:23,-1,Nash Carter made Three Point Jumper. Assisted by Antoine Robinson.,24,57
17:03,324,Demario Beck made Three Point Jumper. Assisted by Amidou Bamba.,24,60
16:33,324,Foul on Jaylen Shaw.,24,60
16:18,-1,Amond Matthews missed Jumper.,24,60
16:18,324,Demario Beck Defensive Rebound.,24,60
16:06,324,Amidou Bamba Turnover.,24,60
16:04,-1,Josh Daniels Steal.,24,60
16:02,-1,Antoine Robinson missed Layup.,24,60
16:02,324,Demario Beck Block.,24,60
16:02,-1,Piedmont International University Offensive Rebound.,24,60
15:42,-1,Jordan Long missed Jumper.,24,60
15:42,-1,Nash Carter Offensive Rebound.,24,60
15:38,-1,Nash Carter missed Layup.,24,60
15:38,324,Demario Beck Defensive Rebound.,24,60
15:26,324,Amidou Bamba made Jumper. Assisted by Jaylen Shaw.,24,62
15:25,-1,Foul on Amond Matthews.,24,62
15:25,324,Coastal Carolina  Timeout,24,62
15:25,324,Amidou Bamba missed Free Throw.,24,62
15:25,324,Colton Ray-St Cyr Offensive Rebound.,24,62
15:22,324,Demario Beck made Three Point Jumper. Assisted by Colton Ray-St Cyr.,24,65
15:01,-1,David Barron made Three Point Jumper. Assisted by Antoine Robinson.,27,65
14:37,-1,Foul on Jordan Long.,27,65
14:37,324,Amidou Bamba made Free Throw.,27,66
14:37,324,Amidou Bamba made Free Throw.,27,67
14:25,-1,David Barron made Three Point Jumper.,30,67
14:09,324,Demario Beck made Layup. Assisted by Jaylan Robertson.,30,69
13:45,324,Foul on Demario Beck.,30,69
13:45,-1,Olajuwan Torrance made Free Throw.,31,69
13:45,-1,Olajuwan Torrance made Free Throw.,32,69
13:23,324,Jaylan Robertson made Three Point Jumper. Assisted by Joseph Williams-Powell.,32,72
13:05,-1,David Barron missed Three Point Jumper.,32,72
13:05,324,Demario Beck Defensive Rebound.,32,72
12:49,324,Jaylan Robertson made Three Point Jumper. Assisted by Joseph Williams-Powell.,32,75
12:26,324,Foul on Jaylan Robertson.,32,75
12:24,-1,David Barron missed Jumper.,32,75
12:24,324,Elijah Wilson Defensive Rebound.,32,75
12:14,324,Jaylan Robertson missed Three Point Jumper.,32,75
12:14,324,Artur Labinowicz Offensive Rebound.,32,75
12:09,-1,Foul on Justin Valentine.,32,75
12:09,324,Artur Labinowicz missed Free Throw.,32,75
12:09,324,Coastal Carolina Deadball Team Rebound.,32,75
12:09,324,Artur Labinowicz made Free Throw.,32,76
11:58,-1,Justin Valentine made Three Point Jumper.,35,76
11:28,324,Elijah Wilson made Jumper.,35,78
11:09,-1,Justin Valentine missed Jumper.,35,78
11:09,-1,Olajuwan Torrance Offensive Rebound.,35,78
11:05,-1,Olajuwan Torrance made Layup.,37,78
10:56,-1,Foul on Lj Williams.,37,78
10:56,324,Coastal Carolina  Timeout,37,78
10:56,324,Demario Beck made Free Throw.,37,79
10:56,324,Demario Beck made Free Throw.,37,80
10:45,-1,Justin Valentine missed Three Point Jumper.,37,80
10:45,324,Artur Labinowicz Defensive Rebound.,37,80
10:29,324,Jaylan Robertson missed Layup.,37,80
10:29,-1,Jordan Long Defensive Rebound.,37,80
10:28,324,Foul on Jaylan Robertson.,37,80
10:13,-1,Justin Valentine missed Three Point Jumper.,37,80
10:13,324,Coastal Carolina Defensive Rebound.,37,80
9:53,324,Elijah Wilson missed Three Point Jumper.,37,80
9:53,-1,Antoine Robinson Defensive Rebound.,37,80
9:46,-1,Nash Carter missed Layup.,37,80
9:46,324,Kevin Holmes Jr. Defensive Rebound.,37,80
9:38,324,Elijah Wilson made Layup.,37,82
9:38,-1,Foul on Jordan Long.,37,82
9:38,324,Elijah Wilson made Free Throw.,37,83
9:16,-1,David Barron made Three Point Jumper. Assisted by Olajuwan Torrance.,40,83
9:01,324,Jaylan Robertson made Jumper.,40,85
8:50,-1,Olajuwan Torrance Turnover.,40,85
8:35,324,Joseph Williams-Powell missed Jumper.,40,85
8:35,324,Elijah Wilson Offensive Rebound.,40,85
8:32,324,Elijah Wilson missed Layup.,40,85
8:32,324,Elijah Wilson Offensive Rebound.,40,85
8:29,324,Elijah Wilson made Layup.,40,87
8:18,324,Foul on Joseph Williams-Powell.,40,87
8:18,-1,Josh Daniels made Free Throw.,41,87
8:18,-1,Josh Daniels made Free Throw.,42,87
7:58,324,Kevin Holmes Jr. missed Three Point Jumper.,42,87
7:58,324,Josh Coleman Offensive Rebound.,42,87
7:53,324,Josh Coleman made Layup.,42,89
7:41,-1,David Barron missed Three Point Jumper.,42,89
7:41,324,Josh Coleman Defensive Rebound.,42,89
7:24,-1,Piedmont International University Defensive Rebound.,42,89
7:22,-1,Piedmont International University  Timeout,42,89
7:19,-1,Josh Daniels Turnover.,42,89
7:17,324,Artur Labinowicz Steal.,42,89
7:15,324,Artur Labinowicz Turnover.,42,89
7:14,-1,Nash Carter Steal.,42,89
7:12,-1,Josh Daniels Turnover.,42,89
6:59,324,Christian Adams missed Three Point Jumper.,42,89
6:59,324,Artur Labinowicz Offensive Rebound.,42,89
6:47,324,Josh Coleman made Dunk. Assisted by Josh Peterson.,42,91
6:30,-1,Nash Carter Turnover.,42,91
6:30,324,Artur Labinowicz Steal.,42,91
6:19,324,Josh Peterson missed Layup.,42,91
6:19,-1,Josh Daniels Block.,42,91
6:18,324,Coastal Carolina Offensive Rebound.,42,91
6:08,324,Artur Labinowicz Turnover.,42,91
6:06,-1,Olajuwan Torrance Steal.,42,91
6:05,-1,Olajuwan Torrance Turnover.,42,91
5:48,-1,Foul on Amond Matthews.,42,91
5:48,324,Josh Coleman made Free Throw.,42,92
5:48,324,Josh Coleman missed Free Throw.,42,92
5:48,-1,Josh Daniels Defensive Rebound.,42,92
5:41,-1,Josh Daniels Turnover.,42,92
5:40,324,Josh Peterson Steal.,42,92
5:37,324,Christian Adams missed Layup.,42,92
5:37,-1,Josh Daniels Block.,42,92
5:37,324,Coastal Carolina Offensive Rebound.,42,92
5:25,324,Christian Adams missed Layup.,42,92
5:25,324,Josh Coleman Offensive Rebound.,42,92
5:22,324,Josh Coleman made Layup.,42,94
5:17,324,Foul on Josh Coleman.,42,94
5:17,-1,Josh Daniels missed Free Throw.,42,94
5:17,-1,Piedmont International University Deadball Team Rebound.,42,94
5:17,-1,Josh Daniels made Free Throw.,43,94
5:07,324,Josh Coleman missed Jumper.,43,94
5:07,324,Artur Labinowicz Offensive Rebound.,43,94
5:03,324,Artur Labinowicz made Dunk.,43,96
4:54,324,Foul on Artur Labinowicz.,43,96
4:54,-1,Antoine Robinson missed Free Throw.,43,96
4:54,324,Josh Coleman Defensive Rebound.,43,96
4:46,324,Josh Peterson Turnover.,43,96
4:45,-1,Josh Daniels Steal.,43,96
4:40,324,Foul on Kevin Holmes Jr..,43,96
4:40,-1,Nash Carter made Free Throw.,44,96
4:40,-1,Nash Carter made Free Throw.,45,96
4:29,-1,Foul on Nash Carter.,45,96
4:29,324,Kevin Holmes Jr. missed Free Throw.,45,96
4:29,324,Artur Labinowicz Offensive Rebound.,45,96
4:25,324,Artur Labinowicz Turnover.,45,96
4:24,-1,Nash Carter Steal.,45,96
4:19,-1,Olajuwan Torrance missed Three Point Jumper.,45,96
4:19,-1,Nash Carter Offensive Rebound.,45,96
4:14,-1,Nash Carter made Layup.,47,96
3:58,-1,Foul on Jordan Long.,47,96
3:58,324,Coastal Carolina  Timeout,47,96
3:58,324,Artur Labinowicz missed Free Throw.,47,96
3:58,-1,Nash Carter Defensive Rebound.,47,96
3:53,-1,Nash Carter made Jumper.,49,96
3:45,-1,Foul on Josh Daniels.,49,96
3:45,324,Josh Peterson missed Free Throw.,49,96
3:45,324,Coastal Carolina Deadball Team Rebound.,49,96
3:45,324,Josh Peterson missed Free Throw.,49,96
3:45,-1,Nash Carter Defensive Rebound.,49,96
3:38,-1,Olajuwan Torrance missed Three Point Jumper.,49,96
3:38,-1,Josh Daniels Offensive Rebound.,49,96
3:21,-1,Olajuwan Torrance missed Layup.,49,96
3:21,-1,Nash Carter Offensive Rebound.,49,96
3:17,-1,Nash Carter made Three Point Jumper.,52,96
3:01,-1,Foul on Jordan Long.,52,96
3:01,324,Josh Peterson made Free Throw.,52,97
3:01,324,Josh Peterson missed Free Throw.,52,97
3:01,-1,Olajuwan Torrance Defensive Rebound.,52,97
2:57,324,Foul on Josh Coleman.,52,97
2:48,-1,Olajuwan Torrance made Free Throw.,53,97
2:29,-1,Olajuwan Torrance made Free Throw.,54,97
2:12,324,Amidou Bamba Turnover.,54,97
2:03,-1,David Barron made Three Point Jumper. Assisted by Justin Valentine.,57,97
1:59,324,Amidou Bamba Turnover.,57,97
1:59,-1,David Barron made Three Point Jumper.,60,97
1:57,-1,Foul on Antoine Robinson.,60,97
1:57,324,Josh Peterson missed Free Throw.,60,97
1:57,324,Coastal Carolina Deadball Team Rebound.,60,97
1:57,324,Josh Peterson made Free Throw.,60,98
1:41,-1,Olajuwan Torrance made Jumper.,62,98
1:27,324,Christian Adams missed Three Point Jumper.,62,98
1:27,-1,Justin Valentine Defensive Rebound.,62,98
1:18,-1,Lj Williams missed Layup.,62,98
1:18,324,Josh Coleman Defensive Rebound.,62,98
1:10,324,Kevin Holmes Jr. missed Three Point Jumper.,62,98
1:10,324,Josh Coleman Offensive Rebound.,62,98
1:07,324,Josh Coleman missed Layup.,62,98
1:07,-1,Piedmont International University Defensive Rebound.,62,98
1:00,-1,David Barron missed Three Point Jumper.,62,98
1:00,324,Josh Peterson Defensive Rebound.,62,98
0:39,324,Josh Coleman made Layup. Assisted by Christian Adams.,62,100
0:27,324,Foul on Kevin Holmes Jr..,62,100
0:27,-1,Olajuwan Torrance made Free Throw.,63,100
0:27,-1,Olajuwan Torrance missed Free Throw.,63,100
0:27,324,Amidou Bamba Defensive Rebound.,63,100
0:00,324,End of Game,63,100
