Siena,2520,Rider,2561
9:30,2561,Kadeem Smithen Defensive Rebound.,19,20
9:21,2520,Foul on Xavier Lundy.,19,20
9:21,2561,Brett Bisping made Free Throw.,20,20
9:21,2561,Brett Bisping missed Free Throw.,20,20
9:21,2561,Lavon Long Offensive Rebound.,20,20
9:16,2561,Lavon Long made Layup.,22,20
9:06,2520,Xavier Lundy made Layup.,22,22
8:53,2561,Brett Bisping Turnover.,22,22
8:52,2520,Kealen Washington-Ives Steal.,22,22
8:49,2520,Anthony Durham made Layup. Assisted by Kealen Washington-Ives.,22,24
8:37,2561,Javion Ogunyemi made Layup. Assisted by Brett Bisping.,24,24
8:24,2520,Norville Carey Turnover.,24,24
8:23,2561,Nico Clareth Steal.,24,24
8:15,2561,Lavon Long made Jumper. Assisted by Nico Clareth.,26,24
7:57,2520,Kahlil Thomas missed Layup.,26,24
7:57,2561,Nico Clareth Defensive Rebound.,26,24
7:46,2561,Javion Ogunyemi made Layup. Assisted by Marquis Wright.,28,24
7:46,2520,Foul on Kahlil Thomas.,28,24
7:46,2520,Official TV Timeout,28,24
7:46,2561,Javion Ogunyemi made Free Throw.,29,24
7:25,2520,Anthony Durham made Three Point Jumper. Assisted by Stevie Jordan.,29,27
7:09,2520,Foul on Jimmie Taylor.,29,27
7:09,2561,Lavon Long made Free Throw.,30,27
7:09,2561,Lavon Long made Free Throw.,31,27
6:54,2520,Anthony Durham missed Three Point Jumper.,31,27
6:54,2520,Tyere Marshall Offensive Rebound.,31,27
6:40,2561,Foul on Marquis Wright.,31,27
6:40,2520,Stevie Jordan missed Free Throw.,31,27
6:40,2520,Rider Deadball Team Rebound.,31,27
6:40,2520,Stevie Jordan made Free Throw.,31,28
6:25,2561,Nico Clareth missed Layup.,31,28
6:25,2561,Javion Ogunyemi Offensive Rebound.,31,28
6:21,2561,Javion Ogunyemi missed Layup.,31,28
6:21,2520,Tyere Marshall Defensive Rebound.,31,28
6:20,2561,Foul on Javion Ogunyemi.,31,28
6:20,2520,Tyere Marshall missed Free Throw.,31,28
6:20,2561,Evan Fisher Defensive Rebound.,31,28
5:51,2520,Foul on Jimmie Taylor.,31,28
5:51,2561,Nico Clareth missed Free Throw.,31,28
5:51,2561,Siena Deadball Team Rebound.,31,28
5:51,2561,Nico Clareth made Free Throw.,32,28
5:36,2520,Tyere Marshall made Layup. Assisted by Stevie Jordan.,32,30
5:26,2561,Brett Bisping made Layup.,34,30
5:26,2520,Foul on Kealen Washington-Ives.,34,30
5:26,2561,Brett Bisping made Free Throw.,35,30
5:00,2520,Xavier Lundy made Three Point Jumper. Assisted by Stevie Jordan.,35,33
4:48,2561,Lavon Long missed Layup.,35,33
4:48,2520,Rider Defensive Rebound.,35,33
4:22,2520,Dimencio Vaughn Turnover.,35,33
4:21,2561,Lavon Long Steal.,35,33
4:15,2561,Brett Bisping missed Layup.,35,33
4:15,2561,Evan Fisher Offensive Rebound.,35,33
4:01,2561,Nico Clareth missed Jumper.,35,33
4:01,2520,Tyere Marshall Defensive Rebound.,35,33
3:55,2561,Foul on Evan Fisher.,35,33
3:55,2520,Official TV Timeout,35,33
3:55,2520,Xavier Lundy made Free Throw.,35,34
3:55,2520,Xavier Lundy made Free Throw.,35,35
3:43,2561,Marquis Wright missed Jumper.,35,35
3:43,2520,Dimencio Vaughn Defensive Rebound.,35,35
3:33,2520,Tyere Marshall made Layup. Assisted by Stevie Jordan.,35,37
3:10,2561,Khalil Richard made Jumper. Assisted by Brett Bisping.,37,37
2:56,2520,Xavier Lundy made Jumper.,37,39
2:37,2561,Khalil Richard made Jumper. Assisted by Javion Ogunyemi.,39,39
2:12,2520,Stevie Jordan Turnover.,39,39
2:12,2520,Foul on Stevie Jordan.,39,39
1:57,2561,Marquis Wright missed Layup.,39,39
1:57,2561,Brett Bisping Offensive Rebound.,39,39
1:55,2561,Brett Bisping missed Layup.,39,39
1:55,2520,Xavier Lundy Block.,39,39
1:54,2561,Siena Offensive Rebound.,39,39
1:43,2561,Marquis Wright made Jumper.,41,39
1:30,2520,Xavier Lundy made Jumper. Assisted by Kealen Washington-Ives.,41,41
1:15,2561,Siena  Timeout,41,41
0:52,2561,Khalil Richard made Three Point Jumper.,44,41
0:51,2561,Khalil Richard made Three Point Jumper.,44,41
0:35,2520,Norville Carey made Layup. Assisted by Anthony Durham.,44,43
0:03,2561,Brett Bisping missed Three Point Jumper.,44,43
0:03,2561,Nico Clareth Offensive Rebound.,44,43
0:00,2561,Nico Clareth missed Layup.,44,43
0:00,2520,Dimencio Vaughn Defensive Rebound.,44,43
0:00,2520,End of 1st half,44,43
19:43,2520,Kahlil Thomas made Layup. Assisted by Stevie Jordan.,44,45
19:32,2561,Javion Ogunyemi made Layup.,46,45
19:32,2520,Foul on Jimmie Taylor.,46,45
19:32,2561,Javion Ogunyemi missed Free Throw.,46,45
19:32,2520,Jimmie Taylor Defensive Rebound.,46,45
19:20,2520,Norville Carey missed Layup.,46,45
19:20,2520,Norville Carey Offensive Rebound.,46,45
19:18,2520,Norville Carey missed Layup.,46,45
19:18,2561,Javion Ogunyemi Block.,46,45
19:18,2561,Nico Clareth Defensive Rebound.,46,45
19:17,2561,Nico Clareth Defensive Rebound.,46,45
19:07,2561,Nico Clareth made Layup.,48,45
18:49,2520,Norville Carey Turnover.,48,45
18:49,2520,Foul on Norville Carey.,48,45
18:37,2520,Foul on Norville Carey.,48,45
18:29,2561,Nico Clareth missed Three Point Jumper.,48,45
18:29,2520,Rider Defensive Rebound.,48,45
18:17,2520,Kahlil Thomas missed Three Point Jumper.,48,45
18:17,2561,Nico Clareth Defensive Rebound.,48,45
18:10,2561,Marquis Wright missed Three Point Jumper.,48,45
18:10,2561,Nico Clareth Offensive Rebound.,48,45
18:02,2561,Marquis Wright missed Layup.,48,45
18:00,2561,Brett Bisping Offensive Rebound.,48,45
17:55,2561,Brett Bisping Turnover.,48,45
17:55,2561,Foul on Brett Bisping.,48,45
17:41,2561,Foul on Marquis Wright.,48,45
17:41,2520,Stevie Jordan made Free Throw.,48,46
17:41,2520,Stevie Jordan missed Free Throw.,48,46
17:41,2561,Nico Clareth Defensive Rebound.,48,46
17:26,2520,Foul on Tyere Marshall.,48,46
17:11,2561,Javion Ogunyemi missed Layup.,48,46
17:11,2520,Kahlil Thomas Defensive Rebound.,48,46
17:09,2561,Foul on Ahsante Shivers.,48,46
16:52,2520,Jimmie Taylor made Three Point Jumper. Assisted by Stevie Jordan.,48,49
16:30,2561,Javion Ogunyemi made Layup.,50,49
16:22,2520,Jimmie Taylor missed Three Point Jumper.,50,49
16:22,2561,Khalil Richard Defensive Rebound.,50,49
16:16,2561,Nico Clareth missed Layup.,50,49
16:16,2520,Kahlil Thomas Defensive Rebound.,50,49
16:09,2561,Foul on Lavon Long.,50,49
16:05,2561,Foul on Javion Ogunyemi.,50,49
15:51,2520,Xavier Lundy missed Three Point Jumper.,50,49
15:51,2520,Kahlil Thomas Offensive Rebound.,50,49
15:49,2561,Foul on Lavon Long.,50,49
15:49,2520,Official TV Timeout,50,49
15:49,2520,Kahlil Thomas missed Free Throw.,50,49
15:49,2520,Rider Deadball Team Rebound.,50,49
15:49,2520,Kahlil Thomas made Free Throw.,50,50
15:23,2561,Nico Clareth Turnover.,50,50
15:22,2520,Xavier Lundy Steal.,50,50
15:14,2561,Foul on Evan Fisher.,50,50
15:14,2520,Tyere Marshall missed Free Throw.,50,50
15:14,2561,Brett Bisping Defensive Rebound.,50,50
15:00,2561,Lavon Long made Layup.,52,50
14:42,2520,Xavier Lundy missed Three Point Jumper.,52,50
14:42,2561,Siena Defensive Rebound.,52,50
14:27,2561,Nico Clareth missed Three Point Jumper.,52,50
14:27,2520,Xavier Lundy Defensive Rebound.,52,50
14:13,2520,Xavier Lundy Turnover.,52,50
14:12,2561,Brett Bisping Steal.,52,50
14:07,2561,Brett Bisping made Layup. Assisted by Nico Clareth.,54,50
13:55,2520,Stevie Jordan Turnover.,54,50
13:54,2561,Lavon Long Steal.,54,50
13:51,2561,Lavon Long made Layup.,56,50
13:49,2520,Rider  Timeout,56,50
13:34,2520,Jimmie Taylor made Three Point Jumper. Assisted by Norville Carey.,56,53
13:10,2561,Nico Clareth missed Layup.,56,53
13:10,2520,Dimencio Vaughn Defensive Rebound.,56,53
13:05,2561,Foul on Khalil Richard.,56,53
13:05,2520,Dimencio Vaughn made Free Throw.,56,54
13:05,2520,Dimencio Vaughn missed Free Throw.,56,54
13:05,2561,Brett Bisping Defensive Rebound.,56,54
12:45,2561,Javion Ogunyemi missed Three Point Jumper.,56,54
12:45,2520,Kahlil Thomas Defensive Rebound.,56,54
12:28,2520,Norville Carey missed Layup.,56,54
12:28,2520,Dimencio Vaughn Offensive Rebound.,56,54
12:27,2520,Dimencio Vaughn made Layup.,56,56
12:02,2561,Nico Clareth missed Jumper.,56,56
12:02,2561,Khalil Richard Offensive Rebound.,56,56
11:48,2561,Lavon Long missed Layup.,56,56
11:48,2520,Norville Carey Defensive Rebound.,56,56
11:43,2520,Official TV Timeout,56,56
11:27,2520,Jimmie Taylor missed Three Point Jumper.,56,56
11:27,2520,Norville Carey Offensive Rebound.,56,56
11:22,2520,Norville Carey made Layup.,56,58
11:12,2561,Javion Ogunyemi made Layup. Assisted by Marquis Wright.,58,58
10:54,2520,Kahlil Thomas missed Layup.,58,58
10:54,2561,Javion Ogunyemi Defensive Rebound.,58,58
10:48,2561,Marquis Wright made Layup. Assisted by Javion Ogunyemi.,60,58
10:33,2520,Stevie Jordan Turnover.,60,58
10:33,2561,Javion Ogunyemi Steal.,60,58
10:21,2561,Marquis Wright missed Layup.,60,58
10:21,2520,Kahlil Thomas Defensive Rebound.,60,58
9:51,2520,Dimencio Vaughn Turnover.,60,58
9:50,2561,Lavon Long Steal.,60,58
9:45,2561,Marquis Wright missed Dunk.,60,58
9:45,2520,Stevie Jordan Block.,60,58
9:43,2561,Nico Clareth Offensive Rebound.,60,58
9:27,2561,Lavon Long made Layup. Assisted by Marquis Wright.,62,58
9:07,2520,Stevie Jordan missed Three Point Jumper.,62,58
9:07,2561,Brett Bisping Defensive Rebound.,62,58
9:01,2561,Lavon Long made Dunk.,64,58
9:00,2520,Rider  Timeout,64,58
8:34,2520,Anthony Durham missed Jumper.,64,58
8:34,2561,Brett Bisping Defensive Rebound.,64,58
8:19,2561,Nico Clareth missed Three Point Jumper.,64,58
8:19,2520,Jimmie Taylor Defensive Rebound.,64,58
8:09,2520,Tyere Marshall Turnover.,64,58
8:09,2520,Foul on Tyere Marshall.,64,58
8:00,2561,Lavon Long Turnover.,64,58
7:47,2520,Xavier Lundy missed Jumper.,64,58
7:47,2520,Xavier Lundy Offensive Rebound.,64,58
7:43,2520,Xavier Lundy missed Layup.,64,58
7:43,2561,Lavon Long Defensive Rebound.,64,58
7:30,2561,Lavon Long missed Layup.,64,58
7:30,2520,Anthony Durham Defensive Rebound.,64,58
7:24,2520,Jimmie Taylor missed Three Point Jumper.,64,58
7:24,2520,Anthony Durham Offensive Rebound.,64,58
7:21,2561,Foul on Lavon Long.,64,58
7:21,2520,Official TV Timeout,64,58
7:21,2520,Anthony Durham missed Free Throw.,64,58
7:21,2520,Rider Deadball Team Rebound.,64,58
7:21,2520,Anthony Durham missed Free Throw.,64,58
7:21,2561,Khalil Richard Defensive Rebound.,64,58
7:09,2561,Javion Ogunyemi Turnover.,64,58
7:09,2561,Foul on Javion Ogunyemi.,64,58
6:49,2520,Kahlil Thomas missed Three Point Jumper.,64,58
6:49,2561,Brett Bisping Defensive Rebound.,64,58
6:40,2561,Nico Clareth Turnover.,64,58
6:39,2520,Jimmie Taylor Steal.,64,58
6:37,2520,Kahlil Thomas Turnover.,64,58
6:36,2561,Marquis Wright Steal.,64,58
6:27,2561,Marquis Wright missed Three Point Jumper.,64,58
6:27,2520,Kahlil Thomas Defensive Rebound.,64,58
6:17,2520,Xavier Lundy missed Three Point Jumper.,64,58
6:17,2520,Tyere Marshall Offensive Rebound.,64,58
6:03,2520,Tyere Marshall missed Layup.,64,58
6:01,2561,Lavon Long Defensive Rebound.,64,58
6:01,2561,Lavon Long Turnover.,64,58
5:55,2520,Jimmie Taylor missed Jumper.,64,58
5:55,2520,Kahlil Thomas Offensive Rebound.,64,58
5:53,2520,Kahlil Thomas missed Layup.,64,58
5:53,2561,Lavon Long Defensive Rebound.,64,58
5:47,2520,Foul on Xavier Lundy.,64,58
5:47,2561,Brett Bisping made Free Throw.,65,58
5:47,2561,Brett Bisping missed Free Throw.,65,58
5:47,2520,Norville Carey Defensive Rebound.,65,58
5:25,2520,Stevie Jordan missed Layup.,65,58
5:25,2561,Lavon Long Defensive Rebound.,65,58
5:24,2561,Lavon Long Turnover.,65,58
5:10,2520,Norville Carey made Layup. Assisted by Stevie Jordan.,65,60
5:04,2520,Foul on Kahlil Thomas.,65,60
5:04,2561,Lavon Long missed Free Throw.,65,60
5:04,2561,Siena Deadball Team Rebound.,65,60
5:04,2561,Lavon Long missed Free Throw.,65,60
5:04,2520,Kahlil Thomas Defensive Rebound.,65,60
4:51,2520,Xavier Lundy made Layup.,65,62
4:40,2520,Foul on Xavier Lundy.,65,62
4:40,2561,Lavon Long made Free Throw.,66,62
4:40,2561,Lavon Long missed Free Throw.,66,62
4:40,2520,Norville Carey Defensive Rebound.,66,62
4:22,2561,Foul on Lavon Long.,66,62
4:22,2520,Norville Carey made Free Throw.,66,63
4:22,2520,Norville Carey made Free Throw.,66,64
4:04,2561,Marquis Wright missed Layup.,66,64
4:04,2561,Brett Bisping Offensive Rebound.,66,64
4:03,2520,Rider Defensive Rebound.,66,64
3:53,2520,Xavier Lundy missed Three Point Jumper.,66,64
3:53,2561,Nico Clareth Defensive Rebound.,66,64
3:34,2561,Nico Clareth missed Jumper.,66,64
3:34,2520,Rider Defensive Rebound.,66,64
3:32,2520,Official TV Timeout,66,64
3:26,2520,Jimmie Taylor made Layup. Assisted by Norville Carey.,66,66
3:11,2561,Marquis Wright Turnover.,66,66
3:10,2520,Jimmie Taylor Steal.,66,66
3:08,2561,Foul on Nico Clareth.,66,66
3:08,2520,Stevie Jordan made Free Throw.,66,67
3:08,2520,Stevie Jordan missed Free Throw.,66,67
3:08,2561,Brett Bisping Defensive Rebound.,66,67
2:47,2561,Javion Ogunyemi made Layup.,68,67
2:22,2520,Xavier Lundy made Jumper. Assisted by Stevie Jordan.,68,69
2:09,2561,Marquis Wright missed Three Point Jumper.,68,69
2:09,2561,Siena Offensive Rebound.,68,69
1:42,2561,Marquis Wright missed Jumper.,68,69
1:42,2561,Brett Bisping Offensive Rebound.,68,69
1:38,2561,Brett Bisping missed Layup.,68,69
1:38,2561,Marquis Wright Offensive Rebound.,68,69
1:34,2561,Siena  Timeout,68,69
1:11,2561,Nico Clareth missed Three Point Jumper.,68,69
1:11,2561,Javion Ogunyemi Offensive Rebound.,68,69
1:06,2561,Javion Ogunyemi missed Layup.,68,69
1:06,2520,Kahlil Thomas Block.,68,69
1:05,2561,Nico Clareth Offensive Rebound.,68,69
1:03,2561,Nico Clareth missed Layup.,68,69
1:03,2520,Xavier Lundy Block.,68,69
1:01,2520,Norville Carey Defensive Rebound.,68,69
0:59,2561,Foul on Nico Clareth.,68,69
0:59,2520,Jimmie Taylor made Free Throw.,68,70
0:59,2520,Jimmie Taylor missed Free Throw.,68,70
0:59,2561,Brett Bisping Defensive Rebound.,68,70
0:49,2561,Nico Clareth missed Three Point Jumper.,68,70
0:49,2561,Lavon Long Offensive Rebound.,68,70
0:45,2561,Lavon Long missed Layup.,68,70
0:45,2561,Brett Bisping Offensive Rebound.,68,70
0:33,2561,Nico Clareth Turnover.,68,70
0:31,2520,Xavier Lundy Steal.,68,70
0:27,2520,Stevie Jordan Turnover.,68,70
0:26,2561,Lavon Long Steal.,68,70
0:20,2561,Siena  Timeout,68,70
0:15,2561,Marquis Wright missed Three Point Jumper.,68,70
0:15,2561,Marquis Wright Offensive Rebound.,68,70
0:10,2520,Foul on Norville Carey.,68,70
0:10,2561,Marquis Wright made Free Throw.,69,70
0:10,2520,Rider  Timeout,69,70
0:10,2561,Marquis Wright missed Free Throw.,69,70
0:10,2520,Norville Carey Defensive Rebound.,69,70
0:08,2561,Foul on Brett Bisping.,69,70
0:08,2520,Norville Carey missed Free Throw.,69,70
0:08,2520,Rider Deadball Team Rebound.,69,70
0:08,2520,Norville Carey made Free Throw.,69,71
0:03,2561,Nico Clareth missed Three Point Jumper.,69,71
0:03,2520,Norville Carey Defensive Rebound.,69,71
0:00,2520,End of Game,69,71
