Boise State,2351,Loyola Marymount,68
2:04,2351,Stefan Jovanovic made Free Throw.,40,39
2:04,2351,Stefan Jovanovic made Free Throw.,40,40
1:41,68,Justinian Jessup made Three Point Jumper. Assisted by James Reid.,43,40
1:25,2351,Stefan Jovanovic made Jumper. Assisted by Jeffery McClendon.,43,42
1:02,68,Marcus Dickinson made Three Point Jumper.,46,42
0:36,2351,Jeffery McClendon Turnover.,46,42
0:30,2351,Foul on Brandon Brown.,46,42
0:09,68,Justinian Jessup made Three Point Jumper. Assisted by James Reid.,49,42
0:03,2351,Brandon Brown missed Three Point Jumper.,49,42
0:03,68,Boise State Defensive Rebound.,49,42
0:00,2351,End of 1st half,49,42
19:44,2351,Foul on Stefan Jovanovic.,49,42
19:44,68,Robin Jorch missed Free Throw.,49,42
19:44,68,Boise State Deadball Team Rebound.,49,42
19:44,68,Robin Jorch made Free Throw.,50,42
19:15,2351,Steven Haney missed Three Point Jumper.,50,42
19:15,68,Chandler Hutchison Defensive Rebound.,50,42
19:06,68,Chandler Hutchison Turnover.,50,42
18:40,2351,Stefan Jovanovic Turnover.,50,42
18:40,2351,Foul on Stefan Jovanovic.,50,42
18:30,68,Justinian Jessup missed Three Point Jumper.,50,42
18:30,2351,Shamar Johnson Defensive Rebound.,50,42
18:23,2351,Steven Haney missed Three Point Jumper.,50,42
18:23,2351,Shamar Johnson Offensive Rebound.,50,42
18:20,2351,Shamar Johnson missed Layup.,50,42
18:20,2351,Kelvin Amayo Offensive Rebound.,50,42
18:16,2351,Kelvin Amayo Turnover.,50,42
18:15,68,Justinian Jessup Steal.,50,42
18:11,68,Justinian Jessup Turnover.,50,42
18:11,2351,Brandon Brown Steal.,50,42
17:54,2351,Shamar Johnson missed Jumper.,50,42
17:54,2351,Loyola Marymount Offensive Rebound.,50,42
17:50,2351,Kelvin Amayo missed Three Point Jumper.,50,42
17:50,68,Paris Austin Defensive Rebound.,50,42
17:40,68,Nick Duncan missed Three Point Jumper.,50,42
17:40,2351,Buay Tuach Defensive Rebound.,50,42
17:31,2351,Buay Tuach Turnover.,50,42
17:10,68,Chandler Hutchison made Three Point Jumper. Assisted by Paris Austin.,53,42
16:49,2351,Brandon Brown Turnover.,53,42
16:48,68,Paris Austin Steal.,53,42
16:43,68,Justinian Jessup made Layup. Assisted by Paris Austin.,55,42
16:41,2351,Loyola Marymount  Timeout,55,42
16:30,2351,Shamar Johnson made Layup. Assisted by Brandon Brown.,55,44
16:18,68,Paris Austin missed Layup.,55,44
16:18,2351,Shamar Johnson Defensive Rebound.,55,44
16:11,2351,Brandon Brown made Layup. Assisted by Shamar Johnson.,55,46
15:55,68,Justinian Jessup Turnover.,55,46
15:54,2351,Buay Tuach Steal.,55,46
15:52,2351,Steven Haney made Layup. Assisted by Buay Tuach.,55,48
15:18,68,Robin Jorch missed Layup.,55,48
15:18,68,Robin Jorch Offensive Rebound.,55,48
15:08,2351,Foul on Kelvin Amayo.,55,48
15:08,2351,Official TV Timeout,55,48
14:59,68,Nick Duncan Turnover.,55,48
14:56,2351,Buay Tuach Steal.,55,48
14:55,2351,Buay Tuach made Layup.,55,50
14:39,68,Paris Austin Turnover.,55,50
14:39,68,Foul on Paris Austin.,55,50
14:26,2351,Buay Tuach made Layup. Assisted by Shamar Johnson.,55,52
14:10,2351,Foul on Stefan Jovanovic.,55,52
14:10,68,Chandler Hutchison made Free Throw.,56,52
14:10,68,Chandler Hutchison missed Free Throw.,56,52
14:10,2351,Shamar Johnson Defensive Rebound.,56,52
14:00,2351,Shamar Johnson missed Jumper.,56,52
14:00,68,Marcus Dickinson Defensive Rebound.,56,52
13:53,68,Chandler Hutchison Turnover.,56,52
13:53,68,Foul on Chandler Hutchison.,56,52
13:42,2351,Steven Haney missed Three Point Jumper.,56,52
13:42,2351,Buay Tuach Offensive Rebound.,56,52
13:36,2351,Stefan Jovanovic missed Jumper.,56,52
13:36,68,Zach Haney Defensive Rebound.,56,52
13:22,68,James Reid made Layup. Assisted by Nick Duncan.,58,52
12:59,2351,Stefan Jovanovic made Jumper. Assisted by Buay Tuach.,58,54
12:54,2351,Foul on Buay Tuach.,58,54
12:35,68,Zach Haney missed Layup.,58,54
12:35,2351,Buay Tuach Defensive Rebound.,58,54
12:10,2351,Stefan Jovanovic made Layup. Assisted by Shamar Johnson.,58,56
11:45,68,Zach Haney Turnover.,58,56
11:43,2351,Munis Tutu Steal.,58,56
11:36,2351,Stefan Jovanovic made Layup. Assisted by Buay Tuach.,58,58
11:14,2351,Foul on Stefan Jovanovic.,58,58
11:12,2351,Official TV Timeout,58,58
11:12,68,Chandler Hutchison missed Free Throw.,58,58
11:12,68,Boise State Deadball Team Rebound.,58,58
11:12,68,Chandler Hutchison made Free Throw.,59,58
10:48,2351,Petr Herman made Layup. Assisted by Kelvin Amayo.,59,60
10:30,2351,Foul on Buay Tuach.,59,60
10:30,68,Robin Jorch made Free Throw.,60,60
10:30,68,Robin Jorch made Free Throw.,61,60
10:09,68,Foul on Robin Jorch.,61,60
9:54,2351,Brandon Brown Turnover.,61,60
9:54,68,Nick Duncan Turnover.,61,60
9:33,2351,Petr Herman made Layup. Assisted by Kelvin Amayo.,61,62
9:19,68,Chandler Hutchison missed Three Point Jumper.,61,62
9:19,2351,Brandon Brown Defensive Rebound.,61,62
8:50,2351,Petr Herman made Layup. Assisted by Kelvin Amayo.,61,64
8:35,2351,Foul on Kelvin Amayo.,61,64
8:35,68,Justinian Jessup made Free Throw.,62,64
8:35,68,Justinian Jessup missed Free Throw.,62,64
8:35,2351,Kelvin Amayo Defensive Rebound.,62,64
8:27,68,Foul on Chandler Hutchison.,62,64
8:19,2351,Erik Johansson missed Three Point Jumper.,62,64
8:19,68,Paris Austin Defensive Rebound.,62,64
8:08,68,Zach Haney made Layup. Assisted by Nick Duncan.,64,64
7:49,2351,Petr Herman missed Jumper.,64,64
7:49,68,Justinian Jessup Defensive Rebound.,64,64
7:27,68,Paris Austin made Layup.,66,64
7:13,2351,Steven Haney Turnover.,66,64
7:13,2351,Official TV Timeout,66,64
6:52,68,Zach Haney made Layup. Assisted by Paris Austin.,68,64
6:27,2351,Shamar Johnson made Layup. Assisted by Brandon Brown.,68,66
6:01,68,James Reid made Jumper.,70,66
5:50,2351,Brandon Brown missed Layup.,70,66
5:50,2351,Shamar Johnson Offensive Rebound.,70,66
5:47,2351,Shamar Johnson Turnover.,70,66
5:32,68,Nick Duncan missed Three Point Jumper.,70,66
5:32,68,Zach Haney Offensive Rebound.,70,66
5:23,68,Zach Haney Turnover.,70,66
5:23,2351,Brandon Brown Steal.,70,66
5:23,68,Foul on Nick Duncan.,70,66
5:07,2351,Stefan Jovanovic missed Three Point Jumper.,70,66
5:07,68,Paris Austin Defensive Rebound.,70,66
4:57,68,Paris Austin missed Layup.,70,66
4:57,2351,Stefan Jovanovic Block.,70,66
4:55,68,Boise State Offensive Rebound.,70,66
4:51,2351,Foul on Shamar Johnson.,70,66
4:51,68,Paris Austin made Free Throw.,71,66
4:51,68,Paris Austin missed Free Throw.,71,66
4:51,2351,Stefan Jovanovic Defensive Rebound.,71,66
4:36,2351,Buay Tuach missed Three Point Jumper.,71,66
4:36,68,Paris Austin Defensive Rebound.,71,66
4:13,68,James Reid made Three Point Jumper.,74,66
3:53,2351,Shamar Johnson Turnover.,74,66
3:53,2351,Foul on Shamar Johnson.,74,66
3:53,2351,Official TV Timeout,74,66
3:49,68,Justinian Jessup made Dunk.,76,66
3:42,2351,Buay Tuach missed Layup.,76,66
3:42,68,Justinian Jessup Block.,76,66
3:40,68,Justinian Jessup Defensive Rebound.,76,66
3:38,68,Justinian Jessup Turnover.,76,66
3:23,2351,Kelvin Amayo Turnover.,76,66
3:23,2351,Foul on Kelvin Amayo.,76,66
3:11,68,Justinian Jessup made Layup. Assisted by James Reid.,78,66
2:55,68,Foul on Justinian Jessup.,78,66
2:52,2351,Brandon Brown made Three Point Jumper. Assisted by Shamar Johnson.,78,69
2:45,68,Boise State  Turnover.,78,69
2:26,2351,Brandon Brown made Layup. Assisted by Shamar Johnson.,78,71
2:19,2351,Foul on Buay Tuach.,78,71
2:19,68,Paris Austin missed Free Throw.,78,71
2:19,68,Boise State Deadball Team Rebound.,78,71
2:19,68,Boise State  Timeout,78,71
2:19,68,Paris Austin made Free Throw.,79,71
2:05,2351,Shamar Johnson missed Layup.,79,71
2:05,2351,Shamar Johnson Offensive Rebound.,79,71
2:03,2351,Shamar Johnson made Layup.,79,73
2:03,68,Foul on Justinian Jessup.,79,73
2:03,2351,Shamar Johnson missed Free Throw.,79,73
2:03,68,Paris Austin Defensive Rebound.,79,73
1:55,2351,Foul on Buay Tuach.,79,73
1:55,68,James Reid made Free Throw.,80,73
1:55,68,James Reid missed Free Throw.,80,73
1:55,2351,Kelvin Amayo Defensive Rebound.,80,73
1:47,2351,Steven Haney made Three Point Jumper. Assisted by Brandon Brown.,80,76
1:37,68,James Reid Turnover.,80,76
1:35,2351,Kelvin Amayo Steal.,80,76
1:33,2351,Kelvin Amayo made Layup.,80,78
1:06,68,Chandler Hutchison missed Layup.,80,78
1:06,2351,Brandon Brown Defensive Rebound.,80,78
0:51,68,Foul on James Reid.,80,78
0:51,2351,Kelvin Amayo made Free Throw.,80,79
0:51,2351,Kelvin Amayo missed Free Throw.,80,79
0:51,68,Boise State Defensive Rebound.,80,79
0:51,68,Boise State  Timeout,80,79
0:25,68,Chandler Hutchison missed Jumper.,80,79
0:25,2351,Steven Haney Defensive Rebound.,80,79
0:16,2351,Loyola Marymount  Timeout,80,79
0:03,2351,Kelvin Amayo missed Jumper.,80,79
0:03,2351,Loyola Marymount Offensive Rebound.,80,79
0:01,2351,Loyola Marymount  Timeout,80,79
0:01,68,Boise State  Timeout,80,79
0:00,2351,Steven Haney missed Three Point Jumper.,80,79
0:00,68,Boise State Deadball Team Rebound.,80,79
0:00,2351,End of Game,80,79
