Lafayette,2597,St. Francis (BKN),322
15:21,2597,Rasheem Dunn made Layup. Assisted by Glenn Sanabria.,47,44
15:11,322,Matt Klinewski made Layup. Assisted by Nick Lindner.,49,44
15:04,322,Foul on Kyle Stout.,49,44
15:04,2597,Official TV Timeout,49,44
15:04,2597,Rasheem Dunn made Free Throw.,49,45
15:04,2597,Rasheem Dunn made Free Throw.,49,46
14:53,322,Myles Cherry Turnover.,49,46
14:53,322,Foul on Myles Cherry.,49,46
14:23,2597,Glenn Sanabria made Jumper.,49,48
13:53,322,Matt Klinewski missed Jumper.,49,48
13:53,2597,Yunus Hopkinson Defensive Rebound.,49,48
13:46,2597,Yunus Hopkinson made Three Point Jumper.,49,51
13:29,2597,Foul on Jahmel Bodrick.,49,51
13:29,322,Matt Klinewski made Free Throw.,50,51
13:29,322,Matt Klinewski made Free Throw.,51,51
13:11,2597,Darelle Porter made Three Point Jumper. Assisted by Glenn Sanabria.,51,54
12:49,2597,Foul on Glenn Sanabria.,51,54
12:42,322,Matt Klinewski Turnover.,51,54
12:36,2597,Glenn Sanabria missed Three Point Jumper.,51,54
12:36,322,Matt Klinewski Defensive Rebound.,51,54
12:26,322,Nick Lindner made Layup.,53,54
12:08,2597,Yunus Hopkinson missed Jumper.,53,54
12:08,2597,Yunus Hopkinson Offensive Rebound.,53,54
12:02,2597,Glenn Sanabria missed Three Point Jumper.,53,54
12:02,2597,Jahmel Bodrick Offensive Rebound.,53,54
11:56,322,Foul on Paulius Zalys.,53,54
11:56,2597,Official TV Timeout,53,54
11:56,2597,Jahmel Bodrick missed Free Throw.,53,54
11:56,2597,St. Francis BKN Deadball Team Rebound.,53,54
11:56,2597,Jahmel Bodrick missed Free Throw.,53,54
11:56,322,Matt Klinewski Defensive Rebound.,53,54
11:46,2597,Foul on Rasheem Dunn.,53,54
11:41,322,Matt Klinewski missed Jumper.,53,54
11:41,322,Matt Klinewski Offensive Rebound.,53,54
11:38,322,Auston Evans missed Layup.,53,54
11:38,2597,Jahmel Bodrick Block.,53,54
11:34,2597,Yunus Hopkinson Defensive Rebound.,53,54
11:32,2597,Jahmel Bodrick Turnover.,53,54
11:13,322,Nick Lindner made Layup.,55,54
10:53,2597,Keon Williams missed Layup.,55,54
10:53,2597,Joshua Nurse Offensive Rebound.,55,54
10:47,2597,Rasheem Dunn missed Jumper.,55,54
10:47,322,Nick Lindner Defensive Rebound.,55,54
10:43,322,Auston Evans made Layup. Assisted by Nick Lindner.,57,54
10:25,2597,Yunus Hopkinson missed Jumper.,57,54
10:25,322,Nick Lindner Defensive Rebound.,57,54
10:24,322,Nick Lindner Turnover.,57,54
10:03,322,Foul on Eric Stafford.,57,54
9:50,2597,Keon Williams missed Three Point Jumper.,57,54
9:50,322,Paulius Zalys Defensive Rebound.,57,54
9:45,322,Nick Lindner Turnover.,57,54
9:31,2597,Jahmel Bodrick Turnover.,57,54
9:18,322,Matt Klinewski made Layup.,59,54
8:58,2597,Glenn Sanabria made Layup.,59,56
8:48,322,Matt Klinewski missed Jumper.,59,56
8:48,2597,Darelle Porter Defensive Rebound.,59,56
8:21,2597,Glenn Sanabria made Jumper.,59,58
7:59,322,Paulius Zalys missed Jumper.,59,58
7:59,2597,Keon Williams Defensive Rebound.,59,58
7:33,2597,Yunus Hopkinson made Three Point Jumper. Assisted by Jahmel Bodrick.,59,61
7:15,322,Auston Evans missed Jumper.,59,61
7:15,322,Myles Cherry Offensive Rebound.,59,61
7:12,322,Myles Cherry Turnover.,59,61
7:12,2597,Official TV Timeout,59,61
6:47,2597,Glenn Sanabria Turnover.,59,61
6:46,322,Eric Stafford Steal.,59,61
6:24,322,Auston Evans missed Three Point Jumper.,59,61
6:24,322,Lafayette Offensive Rebound.,59,61
6:06,322,Matt Klinewski missed Jumper.,59,61
6:06,2597,Jahmel Bodrick Defensive Rebound.,59,61
5:45,2597,Yunus Hopkinson missed Three Point Jumper.,59,61
5:45,2597,Darelle Porter Offensive Rebound.,59,61
5:39,2597,Jahmel Bodrick missed Jumper.,59,61
5:39,2597,Jahmel Bodrick Offensive Rebound.,59,61
5:16,2597,Jahmel Bodrick missed Jumper.,59,61
5:16,322,Eric Stafford Defensive Rebound.,59,61
5:12,2597,Foul on Jahmel Bodrick.,59,61
5:02,322,Eric Stafford made Three Point Jumper. Assisted by Matt Klinewski.,62,61
4:36,2597,Yunus Hopkinson made Three Point Jumper. Assisted by Glenn Sanabria.,62,64
4:18,322,Kyle Stout missed Jumper.,62,64
4:18,2597,Glenn Sanabria Defensive Rebound.,62,64
4:05,2597,Darelle Porter missed Three Point Jumper.,62,64
4:05,322,Lafayette Defensive Rebound.,62,64
3:49,322,Matt Klinewski made Layup. Assisted by Eric Stafford.,64,64
3:26,2597,Keon Williams Offensive Rebound.,64,64
3:26,2597,Keon Williams Turnover.,64,64
3:26,2597,Joshua Nurse missed Layup.,64,64
3:26,2597,Official TV Timeout,64,64
3:14,322,Paulius Zalys made Three Point Jumper. Assisted by Nick Lindner.,67,64
2:51,2597,Glenn Sanabria Turnover.,67,64
2:37,322,Eric Stafford made Three Point Jumper. Assisted by Nick Lindner.,70,64
2:29,2597,St. Francis BKN  Timeout,70,64
2:07,2597,Yunus Hopkinson made Three Point Jumper.,70,67
1:51,2597,Foul on Gunnar Olafsson.,70,67
1:51,322,Nick Lindner missed Free Throw.,70,67
1:51,322,Lafayette Deadball Team Rebound.,70,67
1:51,322,Nick Lindner missed Free Throw.,70,67
1:51,2597,Keon Williams Defensive Rebound.,70,67
1:27,2597,Glenn Sanabria missed Three Point Jumper.,70,67
1:27,322,Eric Stafford Defensive Rebound.,70,67
1:04,322,Matt Klinewski made Layup.,72,67
1:02,322,Technical Foul on Matt Klinewski.,72,67
1:02,322,Foul on Matt Klinewski.,72,67
1:02,2597,Yunus Hopkinson made Free Throw.,72,68
1:02,2597,Yunus Hopkinson made Free Throw.,72,69
1:02,322,Lafayette  Timeout,72,69
0:46,2597,Yunus Hopkinson missed Three Point Jumper.,72,69
0:46,322,Nick Lindner Defensive Rebound.,72,69
0:24,322,Matt Klinewski missed Jumper.,72,69
0:24,322,Auston Evans Offensive Rebound.,72,69
0:20,322,Auston Evans made Layup.,74,69
0:20,2597,Foul on Glenn Sanabria.,74,69
0:20,322,Auston Evans missed Free Throw.,74,69
0:20,2597,Darelle Porter Defensive Rebound.,74,69
0:08,2597,St. Francis BKN  Timeout,74,69
0:03,2597,Yunus Hopkinson made Three Point Jumper.,74,72
0:01,2597,St. Francis BKN  Timeout,74,72
0:01,2597,Foul on Keon Williams.,74,72
0:01,322,Auston Evans missed Free Throw.,74,72
0:01,2597,Darelle Porter Defensive Rebound.,74,72
0:00,2597,End of Game,74,72
