Detroit Mercy,26,UCLA,2174
11:05,26,Jaylen Hands made Dunk.,13,27
11:05,26,Technical Foul on Jaylen Hands.,13,27
11:05,2174,Kameron Chatman made Free Throw.,14,27
10:49,2174,Roschon Prince made Jumper.,16,27
10:32,26,Alex Olesinski missed Three Point Jumper.,16,27
10:32,2174,Roschon Prince Defensive Rebound.,16,27
10:20,2174,Kameron Chatman missed Jumper.,16,27
10:20,26,Prince Ali Defensive Rebound.,16,27
10:02,2174,Foul on Jaleel Hogan.,16,27
10:02,26,Prince Ali made Free Throw.,16,28
10:02,26,Prince Ali made Free Throw.,16,29
9:51,2174,Jermaine Jackson Jr. missed Three Point Jumper.,16,29
9:51,26,Chris Smith Defensive Rebound.,16,29
9:27,26,Jaylen Hands made Three Point Jumper.,16,32
9:11,2174,Jaleel Hogan Turnover.,16,32
9:01,26,Prince Ali missed Three Point Jumper.,16,32
9:01,26,Ikenna Okwarabizie Offensive Rebound.,16,32
8:56,26,Ikenna Okwarabizie made Layup.,16,34
8:40,2174,Foul on Kameron Chatman.,16,34
8:40,2174,Kameron Chatman Turnover.,16,34
8:34,26,Chris Smith missed Jumper.,16,34
8:34,26,Ikenna Okwarabizie Offensive Rebound.,16,34
8:28,26,Jaylen Hands missed Three Point Jumper.,16,34
8:28,26,Prince Ali Offensive Rebound.,16,34
8:23,26,Prince Ali made Layup.,16,36
8:12,26,Foul on Prince Ali.,16,36
8:07,2174,Corey Allen made Three Point Jumper.,19,36
7:38,26,Chris Smith missed Three Point Jumper.,19,36
7:38,2174,Corey Allen Defensive Rebound.,19,36
7:31,2174,Corey Allen missed Layup.,19,36
7:31,26,Jaylen Hands Defensive Rebound.,19,36
7:26,26,Prince Ali made Three Point Jumper. Assisted by Jaylen Hands.,19,39
7:03,26,Foul on Ikenna Okwarabizie.,19,39
7:03,26,Official TV Timeout,19,39
7:03,2174,Roschon Prince made Free Throw.,20,39
7:03,2174,Roschon Prince made Free Throw.,21,39
6:42,26,Kris Wilkes missed Layup.,21,39
6:42,26,Kris Wilkes Offensive Rebound.,21,39
6:39,26,Kris Wilkes missed Layup.,21,39
6:39,2174,Jack Ballantyne Defensive Rebound.,21,39
6:29,2174,Isaiah Jones missed Jumper.,21,39
6:29,26,Kris Wilkes Defensive Rebound.,21,39
6:22,26,Kris Wilkes Turnover.,21,39
6:01,2174,Isaiah Jones made Layup. Assisted by Jermaine Jackson Jr..,23,39
5:53,26,Aaron Holiday Turnover.,23,39
5:35,2174,Jack Ballantyne missed Layup.,23,39
5:35,26,Alex Olesinski Defensive Rebound.,23,39
5:25,26,Foul on Alex Olesinski.,23,39
5:25,26,Alex Olesinski Turnover.,23,39
5:14,2174,Corey Allen made Jumper.,25,39
4:54,2174,Foul on Jermaine Jackson Jr..,25,39
4:54,26,Aaron Holiday made Free Throw.,25,40
4:54,26,Aaron Holiday made Free Throw.,25,41
4:41,26,Foul on Kris Wilkes.,25,41
4:39,2174,Jermaine Jackson Jr. Turnover.,25,41
4:38,26,Aaron Holiday Steal.,25,41
4:35,2174,Foul on Isaiah Jones.,25,41
4:35,26,Kris Wilkes missed Free Throw.,25,41
4:35,26,UCLA Deadball Team Rebound.,25,41
4:35,26,Kris Wilkes made Free Throw.,25,42
4:18,2174,Isaiah Jones made Dunk. Assisted by Jermaine Jackson Jr..,27,42
4:00,26,Gyorgy Goloman missed Jumper.,27,42
4:00,2174,Isaiah Jones Defensive Rebound.,27,42
3:48,2174,Jermaine Jackson Jr. made Three Point Jumper. Assisted by Corey Allen.,30,42
3:36,26,Prince Ali missed Jumper.,30,42
3:36,2174,Jermaine Jackson Jr. Defensive Rebound.,30,42
3:15,2174,Roschon Prince missed Jumper.,30,42
3:15,26,UCLA Defensive Rebound.,30,42
3:13,26,Official TV Timeout,30,42
2:42,26,Aaron Holiday missed Jumper.,30,42
2:42,26,Jaylen Hands Offensive Rebound.,30,42
2:38,26,Jaylen Hands missed Layup.,30,42
2:38,26,Jaylen Hands Offensive Rebound.,30,42
2:35,2174,Foul on Corey Allen.,30,42
2:35,26,Jaylen Hands made Free Throw.,30,43
2:35,26,Jaylen Hands made Free Throw.,30,44
2:21,2174,Kameron Chatman made Three Point Jumper. Assisted by Corey Allen.,33,44
2:05,26,Jaylen Hands made Layup. Assisted by Gyorgy Goloman.,33,46
1:45,26,Foul on Aaron Holiday.,33,46
1:45,2174,Corey Allen missed Free Throw.,33,46
1:45,2174,Detroit Mercy Deadball Team Rebound.,33,46
1:45,2174,Corey Allen missed Free Throw.,33,46
1:45,26,Jaylen Hands Defensive Rebound.,33,46
1:38,26,Jaylen Hands missed Three Point Jumper.,33,46
1:38,26,Thomas Welsh Offensive Rebound.,33,46
1:38,2174,Foul on Jaleel Hogan.,33,46
1:38,26,Thomas Welsh made Free Throw.,33,47
1:38,26,Thomas Welsh made Free Throw.,33,48
1:23,2174,Cole Long missed Three Point Jumper.,33,48
1:23,26,Jaylen Hands Defensive Rebound.,33,48
1:18,26,Alex Olesinski made Dunk. Assisted by Jaylen Hands.,33,50
0:55,2174,Jaleel Hogan made Jumper.,35,50
0:45,26,Chris Smith made Jumper.,35,52
0:32,2174,Kameron Chatman missed Three Point Jumper.,35,52
0:32,26,Jaylen Hands Defensive Rebound.,35,52
0:25,26,Jaylen Hands Turnover.,35,52
0:24,2174,Josh McFolley Steal.,35,52
0:23,26,Foul on Alex Olesinski.,35,52
0:23,2174,Josh McFolley missed Free Throw.,35,52
0:23,2174,Detroit Mercy Deadball Team Rebound.,35,52
0:23,2174,Josh McFolley missed Free Throw.,35,52
0:23,2174,Josh McFolley Offensive Rebound.,35,52
0:04,2174,Josh McFolley missed Jumper.,35,52
0:04,26,Thomas Welsh Defensive Rebound.,35,52
0:04,26,UCLA  Timeout,35,52
0:00,26,End of 1st half,35,52
19:45,2174,Jermaine Jackson Jr. missed Three Point Jumper.,35,52
19:45,26,Prince Ali Defensive Rebound.,35,52
19:27,2174,Foul on Jaleel Hogan.,35,52
19:22,26,Gyorgy Goloman missed Jumper.,35,52
19:22,2174,Kameron Chatman Defensive Rebound.,35,52
19:03,2174,Kameron Chatman missed Layup.,35,52
19:03,26,Thomas Welsh Block.,35,52
19:02,2174,Kameron Chatman Offensive Rebound.,35,52
19:02,26,Foul on Thomas Welsh.,35,52
19:02,2174,Kameron Chatman made Free Throw.,36,52
19:02,2174,Kameron Chatman made Free Throw.,37,52
18:51,26,Prince Ali made Jumper.,37,54
18:33,2174,Jaleel Hogan made Jumper. Assisted by Jermaine Jackson Jr..,39,54
18:16,26,Thomas Welsh made Layup. Assisted by Gyorgy Goloman.,39,56
17:51,2174,Kameron Chatman missed Jumper.,39,56
17:51,26,Aaron Holiday Defensive Rebound.,39,56
17:44,2174,Foul on Jack Ballantyne.,39,56
17:44,26,Kris Wilkes made Free Throw.,39,57
17:44,26,Kris Wilkes missed Free Throw.,39,57
17:44,26,UCLA Deadball Team Rebound.,39,57
17:39,26,Kris Wilkes made Three Point Jumper. Assisted by Gyorgy Goloman.,39,60
17:28,2174,Jack Ballantyne missed Jumper.,39,60
17:28,26,Kris Wilkes Defensive Rebound.,39,60
17:21,26,Prince Ali made Layup. Assisted by Kris Wilkes.,39,62
17:20,26,Foul on Kris Wilkes.,39,62
17:00,2174,Corey Allen made Jumper.,41,62
16:50,2174,Foul on Isaiah Jones.,41,62
16:44,26,Thomas Welsh made Jumper.,41,64
16:27,2174,Corey Allen Turnover.,41,64
16:25,26,Gyorgy Goloman Steal.,41,64
16:21,26,Prince Ali made Layup.,41,66
16:18,2174,Detroit Mercy  Timeout,41,66
16:18,26,Official TV Timeout,41,66
16:08,2174,Isaiah Jones missed Layup.,41,66
16:08,26,Thomas Welsh Block.,41,66
16:06,26,Gyorgy Goloman Defensive Rebound.,41,66
15:58,26,Prince Ali missed Dunk.,41,66
15:58,2174,Isaiah Jones Defensive Rebound.,41,66
15:53,2174,Kameron Chatman missed Layup.,41,66
15:53,26,Kris Wilkes Defensive Rebound.,41,66
15:47,26,Prince Ali made Dunk. Assisted by Kris Wilkes.,41,68
15:29,2174,Jermaine Jackson Jr. Turnover.,41,68
15:28,26,Prince Ali Steal.,41,68
15:24,26,Kris Wilkes made Dunk. Assisted by Prince Ali.,41,70
15:07,2174,Corey Allen Turnover.,41,70
15:06,26,Kris Wilkes Steal.,41,70
15:02,26,Kris Wilkes made Layup.,41,72
14:34,2174,Corey Allen missed Jumper.,41,72
14:34,2174,Corey Allen Offensive Rebound.,41,72
14:31,2174,Corey Allen made Layup.,43,72
14:12,26,Official TV Timeout,43,72
14:07,26,Jaylen Hands made Three Point Jumper.,43,75
13:50,2174,DeShawndre Black missed Three Point Jumper.,43,75
13:50,26,Gyorgy Goloman Defensive Rebound.,43,75
13:37,26,Aaron Holiday made Jumper.,43,77
13:26,2174,Kameron Chatman made Three Point Jumper. Assisted by DeShawndre Black.,46,77
13:05,26,Kris Wilkes missed Layup.,46,77
13:05,2174,Isaiah Jones Block.,46,77
13:03,2174,Kameron Chatman Defensive Rebound.,46,77
12:57,2174,Kameron Chatman made Three Point Jumper. Assisted by Corey Allen.,49,77
12:38,26,Aaron Holiday made Three Point Jumper. Assisted by Gyorgy Goloman.,49,80
12:18,2174,Jermaine Jackson Jr. made Three Point Jumper. Assisted by Kameron Chatman.,52,80
11:56,26,Jaylen Hands missed Jumper.,52,80
11:56,26,Thomas Welsh Offensive Rebound.,52,80
11:54,2174,Foul on DeShawndre Black.,52,80
11:46,26,Chris Smith missed Jumper.,52,80
11:46,2174,Roschon Prince Defensive Rebound.,52,80
11:44,26,Foul on Chris Smith.,52,80
11:31,2174,Josh McFolley made Jumper.,54,80
11:08,26,Jaylen Hands missed Three Point Jumper.,54,80
11:08,26,Alex Olesinski Offensive Rebound.,54,80
11:04,26,Alex Olesinski made Layup.,54,82
11:04,2174,Foul on Kameron Chatman.,54,82
11:04,26,Alex Olesinski made Free Throw.,54,83
10:54,2174,Josh McFolley missed Three Point Jumper.,54,83
10:54,26,Alex Olesinski Defensive Rebound.,54,83
10:46,26,Chris Smith Turnover.,54,83
10:45,2174,Josh McFolley Steal.,54,83
10:42,2174,Josh McFolley made Layup.,56,83
10:24,26,Chris Smith Turnover.,56,83
10:17,2174,Kameron Chatman missed Three Point Jumper.,56,83
10:17,26,Jaylen Hands Defensive Rebound.,56,83
10:05,26,Thomas Welsh missed Jumper.,56,83
10:05,2174,Kameron Chatman Defensive Rebound.,56,83
9:58,26,Foul on Alex Olesinski.,56,83
9:58,2174,Kameron Chatman made Free Throw.,57,83
9:58,2174,Kameron Chatman made Free Throw.,58,83
9:49,2174,Foul on Jermaine Jackson Jr..,58,83
9:35,2174,Foul on Roschon Prince.,58,83
9:35,26,Jaylen Hands missed Free Throw.,58,83
9:35,26,UCLA Deadball Team Rebound.,58,83
9:35,26,Jaylen Hands made Free Throw.,58,84
9:22,2174,Corey Allen missed Three Point Jumper.,58,84
9:22,26,UCLA Defensive Rebound.,58,84
9:11,26,Chris Smith missed Dunk.,58,84
9:11,2174,Detroit Mercy Defensive Rebound.,58,84
9:02,2174,Kameron Chatman missed Three Point Jumper.,58,84
9:02,26,Jaylen Hands Defensive Rebound.,58,84
8:41,2174,Foul on Josh McFolley.,58,84
8:41,26,Chris Smith made Free Throw.,58,85
8:41,26,Chris Smith missed Free Throw.,58,85
8:41,2174,Corey Allen Defensive Rebound.,58,85
8:30,2174,Jack Ballantyne missed Three Point Jumper.,58,85
8:30,26,Thomas Welsh Defensive Rebound.,58,85
8:08,26,Alex Olesinski missed Three Point Jumper.,58,85
8:08,26,Thomas Welsh Offensive Rebound.,58,85
7:56,26,Thomas Welsh missed Jumper.,58,85
7:56,2174,Josh McFolley Defensive Rebound.,58,85
7:49,26,Foul on Aaron Holiday.,58,85
7:49,26,Official TV Timeout,58,85
7:31,2174,Kameron Chatman missed Layup.,58,85
7:31,26,Gyorgy Goloman Defensive Rebound.,58,85
7:24,26,Chris Smith made Dunk. Assisted by Gyorgy Goloman.,58,87
7:10,2174,Josh McFolley made Jumper.,60,87
6:47,26,Prince Ali made Jumper.,60,89
6:33,2174,Jermaine Jackson Jr. made Jumper.,62,89
6:12,26,Alex Olesinski made Jumper.,62,91
6:02,2174,Jermaine Jackson Jr. missed Three Point Jumper.,62,91
6:02,26,Gyorgy Goloman Defensive Rebound.,62,91
5:57,26,Chris Smith made Dunk. Assisted by Jaylen Hands.,62,93
5:38,2174,Corey Allen Turnover.,62,93
5:37,26,Prince Ali Steal.,62,93
5:33,26,Jaylen Hands made Dunk. Assisted by Prince Ali.,62,95
5:17,2174,Josh McFolley missed Jumper.,62,95
5:17,2174,Josh McFolley Offensive Rebound.,62,95
5:11,2174,Isaiah Jones missed Layup.,62,95
5:11,26,Gyorgy Goloman Block.,62,95
5:09,26,Gyorgy Goloman Defensive Rebound.,62,95
4:49,26,Gyorgy Goloman made Jumper.,62,97
4:26,2174,Corey Allen missed Three Point Jumper.,62,97
4:26,26,Jaylen Hands Defensive Rebound.,62,97
4:15,26,Chris Smith made Layup. Assisted by Prince Ali.,62,99
3:52,2174,Jermaine Jackson Jr. made Three Point Jumper. Assisted by Jack Ballantyne.,65,99
3:48,26,UCLA  Timeout,65,99
3:48,26,Official TV Timeout,65,99
3:32,26,Ikenna Okwarabizie made Layup. Assisted by Chris Smith.,65,101
3:17,2174,Corey Allen made Jumper.,67,101
2:51,26,Alec Wulff missed Jumper.,67,101
2:51,2174,Cole Long Defensive Rebound.,67,101
2:42,2174,Kameron Chatman made Jumper.,69,101
2:11,26,Chris Smith made Three Point Jumper.,69,104
1:52,2174,DeShawndre Black Turnover.,69,104
1:39,26,Ikenna Okwarabizie missed Jumper.,69,104
1:39,2174,Bass Ollie Defensive Rebound.,69,104
1:22,26,Foul on Isaac Wulff.,69,104
1:19,2174,Cole Long made Three Point Jumper.,72,104
1:05,26,Isaac Wulff missed Layup.,72,104
1:05,26,Joseph Wallace Offensive Rebound.,72,104
0:54,26,Isaac Wulff missed Three Point Jumper.,72,104
0:54,2174,Cole Long Defensive Rebound.,72,104
0:44,2174,Gerald Blackshear Jr. Turnover.,72,104
0:35,26,Alec Wulff missed Three Point Jumper.,72,104
0:35,26,Armani Dodson Offensive Rebound.,72,104
0:29,26,Isaac Wulff missed Three Point Jumper.,72,104
0:29,2174,Gerald Blackshear Jr. Defensive Rebound.,72,104
0:27,26,Foul on Ikenna Okwarabizie.,72,104
0:27,2174,Gerald Blackshear Jr. missed Free Throw.,72,104
0:27,26,Ikenna Okwarabizie Defensive Rebound.,72,104
0:15,2174,Foul on DeShawndre Black.,72,104
0:15,26,Isaac Wulff made Free Throw.,72,105
0:15,26,Isaac Wulff made Free Throw.,72,106
0:09,26,Foul on Armani Dodson.,72,106
0:09,2174,Bass Ollie missed Free Throw.,72,106
0:09,2174,Detroit Mercy Deadball Team Rebound.,72,106
0:07,2174,Bass Ollie made Free Throw.,73,106
0:00,26,End of Game,73,106
