George Mason,2,Auburn,2244
15:00,2,Anfernee McLemore Defensive Rebound.,0,11
14:55,2,Official TV Timeout,0,11
14:41,2,Mustapha Heron made Jumper.,0,13
14:17,2244,Ian Boyd missed Jumper.,0,13
14:17,2,Horace Spencer Defensive Rebound.,0,13
13:56,2,Bryce Brown made Three Point Jumper. Assisted by Chuma Okeke.,0,16
13:28,2244,Ian Boyd missed Three Point Jumper.,0,16
13:28,2,Bryce Brown Defensive Rebound.,0,16
13:22,2,Bryce Brown Turnover.,0,16
13:20,2244,Otis Livingston II Steal.,0,16
13:17,2244,Otis Livingston II made Layup.,2,16
12:51,2,Mustapha Heron Turnover.,2,16
12:35,2244,Otis Livingston II missed Jumper.,2,16
12:35,2,Chuma Okeke Defensive Rebound.,2,16
12:25,2,Chuma Okeke made Layup. Assisted by Horace Spencer.,2,18
12:25,2244,Foul on Javon Greene.,2,18
12:25,2,Chuma Okeke made Free Throw.,2,19
12:21,2244,Jaire Grayer Turnover.,2,19
12:19,2,Jared Harper Steal.,2,19
12:15,2,Malik Dunbar made Three Point Jumper. Assisted by Horace Spencer.,2,22
12:11,2244,George Mason  Timeout,2,22
11:51,2244,Justin Kier missed Layup.,2,22
11:51,2244,Goanar Mar Offensive Rebound.,2,22
11:48,2,Foul on Malik Dunbar.,2,22
11:48,2,Technical Foul on Malik Dunbar.,2,22
11:48,2,Foul on Malik Dunbar.,2,22
11:48,2244,Goanar Mar missed Free Throw.,2,22
11:48,2244,George Mason Deadball Team Rebound.,2,22
11:48,2244,Goanar Mar made Free Throw.,3,22
11:33,2,Foul on Malik Dunbar.,3,22
11:21,2244,Foul on Goanar Mar.,3,22
11:21,2244,Goanar Mar Turnover.,3,22
11:08,2,Mustapha Heron made Three Point Jumper. Assisted by Jared Harper.,3,25
10:48,2244,Jaire Grayer made Three Point Jumper. Assisted by Otis Livingston II.,6,25
10:41,2,Davion Mitchell made Layup.,6,27
10:24,2244,Ian Boyd missed Jumper.,6,27
10:24,2,Mustapha Heron Defensive Rebound.,6,27
10:02,2,Mustapha Heron Turnover.,6,27
10:00,2244,Ian Boyd Steal.,6,27
9:56,2244,Jaire Grayer missed Jumper.,6,27
9:56,2,Anfernee McLemore Block.,6,27
9:53,2,Jared Harper Defensive Rebound.,6,27
9:48,2,Jared Harper missed Layup.,6,27
9:48,2244,Jaire Grayer Defensive Rebound.,6,27
9:43,2244,Foul on Justin Kier.,6,27
9:43,2244,Justin Kier Turnover.,6,27
9:33,2,Bryce Brown missed Three Point Jumper.,6,27
9:33,2244,Jaire Grayer Defensive Rebound.,6,27
9:16,2244,Javon Greene made Layup. Assisted by Otis Livingston II.,8,27
9:02,2244,Foul on Javon Greene.,8,27
9:02,2,Bryce Brown made Free Throw.,8,28
9:02,2,Bryce Brown missed Free Throw.,8,28
9:02,2244,AJ Wilson Defensive Rebound.,8,28
8:45,2,Foul on Jared Harper.,8,28
8:31,2244,Ian Boyd made Three Point Jumper. Assisted by Otis Livingston II.,11,28
8:09,2,Davion Mitchell missed Three Point Jumper.,11,28
8:09,2244,Jaire Grayer Defensive Rebound.,11,28
8:06,2,Foul on Desean Murray.,11,28
7:44,2244,Otis Livingston II missed Three Point Jumper.,11,28
7:44,2244,George Mason Offensive Rebound.,11,28
7:40,2,Official TV Timeout,11,28
7:36,2244,Greg Calixte Turnover.,11,28
7:34,2,Mustapha Heron Steal.,11,28
7:30,2,Bryce Brown made Jumper.,11,30
7:10,2244,Jaire Grayer Turnover.,11,30
6:56,2,Mustapha Heron Turnover.,11,30
6:55,2244,Ian Boyd Steal.,11,30
6:51,2244,Jaire Grayer made Three Point Jumper. Assisted by Otis Livingston II.,14,30
6:31,2,Bryce Brown missed Three Point Jumper.,14,30
6:31,2244,Greg Calixte Defensive Rebound.,14,30
6:21,2244,Javon Greene made Three Point Jumper. Assisted by Otis Livingston II.,17,30
6:01,2,Anfernee McLemore Turnover.,17,30
5:48,2244,Jaire Grayer made Three Point Jumper. Assisted by Ian Boyd.,20,30
5:30,2,Mustapha Heron Turnover.,20,30
5:30,2244,Jaire Grayer Steal.,20,30
5:30,2,Foul on Desean Murray.,20,30
5:30,2244,Jaire Grayer made Free Throw.,21,30
5:30,2244,Jaire Grayer made Free Throw.,22,30
5:13,2,Davion Mitchell made Layup. Assisted by Chuma Okeke.,22,32
4:54,2244,Jaire Grayer missed Three Point Jumper.,22,32
4:54,2,Bryce Brown Defensive Rebound.,22,32
4:38,2,Davion Mitchell made Three Point Jumper. Assisted by Bryce Brown.,22,35
4:17,2244,Goanar Mar missed Three Point Jumper.,22,35
4:17,2,Mustapha Heron Defensive Rebound.,22,35
3:54,2,Chuma Okeke missed Jumper.,22,35
3:54,2,Mustapha Heron Offensive Rebound.,22,35
3:49,2,Mustapha Heron missed Jumper.,22,35
3:49,2244,Otis Livingston II Defensive Rebound.,22,35
3:40,2244,Otis Livingston II made Layup.,24,35
3:07,2,Mustapha Heron missed Three Point Jumper.,24,35
3:07,2244,Jaire Grayer Defensive Rebound.,24,35
2:56,2244,Otis Livingston II Turnover.,24,35
2:56,2,Horace Spencer Steal.,24,35
2:56,2244,Foul on Otis Livingston II.,24,35
2:56,2,Official TV Timeout,24,35
2:56,2,Horace Spencer missed Free Throw.,24,35
2:56,2244,Justin Kier Defensive Rebound.,24,35
2:35,2244,Otis Livingston II missed Jumper.,24,35
2:35,2,Desean Murray Defensive Rebound.,24,35
2:25,2244,Foul on Greg Calixte.,24,35
2:25,2,Mustapha Heron made Free Throw.,24,36
2:25,2,Mustapha Heron made Free Throw.,24,37
2:10,2244,Jaire Grayer missed Three Point Jumper.,24,37
2:10,2,Horace Spencer Defensive Rebound.,24,37
1:50,2,Mustapha Heron made Jumper. Assisted by Bryce Brown.,24,39
1:32,2244,Justin Kier made Jumper. Assisted by Jaire Grayer.,26,39
1:00,2,Bryce Brown missed Three Point Jumper.,26,39
1:00,2244,Greg Calixte Defensive Rebound.,26,39
0:53,2244,Otis Livingston II made Jumper.,28,39
0:36,2,Foul on Mustapha Heron.,28,39
0:36,2,Mustapha Heron Turnover.,28,39
0:11,2244,Justin Kier missed Three Point Jumper.,28,39
0:11,2,Anfernee McLemore Defensive Rebound.,28,39
0:04,2,Bryce Brown missed Three Point Jumper.,28,39
0:04,2244,George Mason Deadball Team Rebound.,28,39
0:00,2,End of 1st half,28,39
19:48,2,Foul on Bryce Brown.,28,39
19:48,2244,Justin Kier made Free Throw.,29,39
19:48,2244,Justin Kier made Free Throw.,30,39
19:39,2,Jared Harper missed Jumper.,30,39
19:39,2,Auburn Offensive Rebound.,30,39
19:34,2,Anfernee McLemore made Layup. Assisted by Desean Murray.,30,41
19:18,2244,Jaire Grayer made Three Point Jumper. Assisted by Otis Livingston II.,33,41
19:01,2,Mustapha Heron made Three Point Jumper. Assisted by Jared Harper.,33,44
18:45,2244,Goanar Mar missed Layup.,33,44
18:45,2,Anfernee McLemore Block.,33,44
18:42,2,Anfernee McLemore Defensive Rebound.,33,44
18:33,2,Anfernee McLemore missed Three Point Jumper.,33,44
18:33,2244,Justin Kier Defensive Rebound.,33,44
18:25,2244,Goanar Mar missed Layup.,33,44
18:25,2244,Ian Boyd Offensive Rebound.,33,44
18:19,2244,Ian Boyd missed Jumper.,33,44
18:19,2244,Jaire Grayer Offensive Rebound.,33,44
18:16,2244,Jaire Grayer made Two Point Tip Shot.,35,44
17:53,2,Bryce Brown made Jumper. Assisted by Anfernee McLemore.,35,46
17:30,2244,Goanar Mar made Three Point Jumper. Assisted by Ian Boyd.,38,46
17:07,2,Desean Murray missed Three Point Jumper.,38,46
17:07,2244,Otis Livingston II Block.,38,46
17:04,2244,Jaire Grayer Defensive Rebound.,38,46
16:58,2244,Foul on Justin Kier.,38,46
16:58,2244,Justin Kier Turnover.,38,46
16:43,2,Jared Harper Turnover.,38,46
16:35,2244,Otis Livingston II Steal.,38,46
16:30,2244,Jaire Grayer made Layup.,40,46
16:24,2,Bryce Brown Turnover.,40,46
16:23,2244,Ian Boyd Steal.,40,46
16:20,2244,Javon Greene made Three Point Jumper. Assisted by Ian Boyd.,43,46
15:56,2,Auburn  Timeout,43,46
15:44,2,Horace Spencer made Jumper. Assisted by Chuma Okeke.,43,48
15:44,2244,Foul on Greg Calixte.,43,48
15:44,2,Official TV Timeout,43,48
15:44,2,Horace Spencer made Free Throw.,43,49
15:22,2244,Javon Greene made Three Point Jumper. Assisted by Ian Boyd.,46,49
15:10,2,Bryce Brown missed Jumper.,46,49
15:10,2244,Ian Boyd Defensive Rebound.,46,49
15:04,2244,Javon Greene Turnover.,46,49
14:49,2244,Foul on Greg Calixte.,46,49
14:45,2,Malik Dunbar Turnover.,46,49
14:43,2244,Jaire Grayer Steal.,46,49
14:38,2244,Javon Greene made Three Point Jumper. Assisted by Jaire Grayer.,49,49
14:09,2,Davion Mitchell missed Layup.,49,49
14:09,2244,Otis Livingston II Block.,49,49
14:08,2,Horace Spencer Offensive Rebound.,49,49
14:05,2,Chuma Okeke missed Jumper.,49,49
14:05,2244,Otis Livingston II Defensive Rebound.,49,49
13:50,2244,Otis Livingston II made Three Point Jumper. Assisted by Ian Boyd.,52,49
13:41,2,Auburn  Timeout,52,49
13:34,2,Davion Mitchell Turnover.,52,49
13:32,2244,Javon Greene Steal.,52,49
13:30,2244,Otis Livingston II missed Layup.,52,49
13:30,2,Anfernee McLemore Block.,52,49
13:26,2,Davion Mitchell Defensive Rebound.,52,49
13:13,2,Jared Harper missed Three Point Jumper.,52,49
13:13,2244,Ian Boyd Defensive Rebound.,52,49
13:00,2244,Goanar Mar missed Layup.,52,49
13:00,2,Mustapha Heron Defensive Rebound.,52,49
12:53,2,Jared Harper missed Three Point Jumper.,52,49
12:53,2,Chuma Okeke Offensive Rebound.,52,49
12:46,2,Jared Harper made Three Point Jumper. Assisted by Davion Mitchell.,52,52
12:28,2244,Javon Greene missed Three Point Jumper.,52,52
12:28,2,Jared Harper Defensive Rebound.,52,52
12:19,2,Jared Harper missed Layup.,52,52
12:19,2,Chuma Okeke Offensive Rebound.,52,52
12:16,2,Chuma Okeke missed Layup.,52,52
12:16,2,Chuma Okeke Offensive Rebound.,52,52
12:14,2,Chuma Okeke made Two Point Tip Shot.,52,54
11:58,2244,Javon Greene missed Three Point Jumper.,52,54
11:58,2244,Jaire Grayer Offensive Rebound.,52,54
11:54,2244,Jaire Grayer missed Layup.,52,54
11:54,2,Mustapha Heron Defensive Rebound.,52,54
11:35,2,Jared Harper missed Layup.,52,54
11:35,2,Anfernee McLemore Offensive Rebound.,52,54
11:29,2,Official TV Timeout,52,54
11:29,2,Anfernee McLemore Turnover.,52,54
11:29,2,Official TV Timeout,52,54
11:28,2244,Ian Boyd Turnover.,52,54
11:15,2,Mustapha Heron missed Three Point Jumper.,52,54
11:15,2,Desean Murray Offensive Rebound.,52,54
11:09,2,Desean Murray missed Layup.,52,54
11:09,2,Anfernee McLemore Offensive Rebound.,52,54
11:06,2,Anfernee McLemore missed Layup.,52,54
11:06,2,Mustapha Heron Offensive Rebound.,52,54
11:02,2,Mustapha Heron made Two Point Tip Shot.,52,56
10:46,2244,Foul on Javon Greene.,52,56
10:46,2244,Javon Greene Turnover.,52,56
10:25,2,Desean Murray missed Jumper.,52,56
10:25,2244,Otis Livingston II Defensive Rebound.,52,56
10:16,2244,Otis Livingston II missed Three Point Jumper.,52,56
10:16,2,Mustapha Heron Defensive Rebound.,52,56
10:16,2244,Foul on Jaire Grayer.,52,56
9:58,2,Desean Murray Turnover.,52,56
9:56,2244,Ian Boyd Steal.,52,56
9:53,2244,Otis Livingston II made Layup. Assisted by Ian Boyd.,54,56
9:38,2,Mustapha Heron missed Three Point Jumper.,54,56
9:38,2244,Justin Kier Defensive Rebound.,54,56
9:23,2244,Ian Boyd Turnover.,54,56
9:22,2,Desean Murray Steal.,54,56
9:18,2,Bryce Brown missed Layup.,54,56
9:18,2,Bryce Brown Offensive Rebound.,54,56
9:15,2,Bryce Brown made Two Point Tip Shot.,54,58
8:56,2244,Goanar Mar Turnover.,54,58
8:55,2,Anfernee McLemore Steal.,54,58
8:53,2,Anfernee McLemore Turnover.,54,58
8:52,2244,Goanar Mar Steal.,54,58
8:41,2244,Justin Kier missed Jumper.,54,58
8:41,2,Desean Murray Defensive Rebound.,54,58
8:32,2244,Foul on AJ Wilson.,54,58
8:32,2,Anfernee McLemore made Free Throw.,54,59
8:32,2,Anfernee McLemore made Free Throw.,54,60
8:22,2244,Otis Livingston II Turnover.,54,60
8:15,2244,Foul on Justin Kier.,54,60
8:15,2,Bryce Brown made Free Throw.,54,61
8:15,2,Bryce Brown made Free Throw.,54,62
8:15,2,Bryce Brown made Free Throw.,54,63
7:52,2244,Jaire Grayer missed Three Point Jumper.,54,63
7:52,2,Desean Murray Defensive Rebound.,54,63
7:27,2,Davion Mitchell missed Three Point Jumper.,54,63
7:27,2244,Jaire Grayer Defensive Rebound.,54,63
7:17,2244,Otis Livingston II missed Jumper.,54,63
7:17,2,Chuma Okeke Defensive Rebound.,54,63
7:15,2244,Foul on Jaire Grayer.,54,63
7:15,2,Official TV Timeout,54,63
7:15,2,Chuma Okeke made Free Throw.,54,64
7:15,2,Chuma Okeke made Free Throw.,54,65
7:04,2,Foul on Desean Murray.,54,65
6:57,2244,Otis Livingston II Turnover.,54,65
6:46,2,Malik Dunbar made Jumper.,54,67
6:27,2,Foul on Bryce Brown.,54,67
6:09,2244,Ian Boyd missed Jumper.,54,67
6:09,2244,Jaire Grayer Offensive Rebound.,54,67
6:04,2,Foul on Chuma Okeke.,54,67
6:04,2244,Goanar Mar made Free Throw.,55,67
6:04,2244,Goanar Mar made Free Throw.,56,67
5:50,2,Mustapha Heron missed Jumper.,56,67
5:50,2,Chuma Okeke Offensive Rebound.,56,67
5:48,2244,Foul on Goanar Mar.,56,67
5:48,2,Chuma Okeke missed Free Throw.,56,67
5:48,2244,Jaire Grayer Defensive Rebound.,56,67
5:37,2244,Javon Greene made Three Point Jumper. Assisted by Otis Livingston II.,59,67
5:20,2,Desean Murray Turnover.,59,67
5:08,2244,Otis Livingston II Turnover.,59,67
4:59,2,Bryce Brown missed Three Point Jumper.,59,67
4:59,2244,Ian Boyd Defensive Rebound.,59,67
4:48,2,Foul on Chuma Okeke.,59,67
4:48,2244,Otis Livingston II made Free Throw.,60,67
4:48,2244,Otis Livingston II made Free Throw.,61,67
4:34,2,Auburn  Timeout,61,67
4:18,2,Anfernee McLemore missed Jumper.,61,67
4:18,2244,Jaire Grayer Defensive Rebound.,61,67
4:02,2244,Ian Boyd made Jumper.,63,67
3:45,2,Chuma Okeke Turnover.,63,67
3:44,2244,Javon Greene Steal.,63,67
3:42,2244,Javon Greene missed Layup.,63,67
3:42,2,Chuma Okeke Block.,63,67
3:40,2,Jared Harper Defensive Rebound.,63,67
3:37,2244,Foul on Ian Boyd.,63,67
3:37,2,Official TV Timeout,63,67
3:37,2,Mustapha Heron missed Free Throw.,63,67
3:37,2,Auburn Deadball Team Rebound.,63,67
3:37,2,Mustapha Heron made Free Throw.,63,68
3:25,2244,Ian Boyd Turnover.,63,68
3:09,2,Bryce Brown missed Three Point Jumper.,63,68
3:09,2,Chuma Okeke Offensive Rebound.,63,68
2:47,2,Chuma Okeke missed Three Point Jumper.,63,68
2:47,2244,George Mason Deadball Team Rebound.,63,68
2:47,2,Foul on Mustapha Heron.,63,68
2:37,2244,Otis Livingston II missed Layup.,63,68
2:37,2,Anfernee McLemore Defensive Rebound.,63,68
2:07,2,Jared Harper made Three Point Jumper.,63,71
1:40,2244,Jaire Grayer missed Layup.,63,71
1:40,2,Anfernee McLemore Block.,63,71
1:40,2244,George Mason Offensive Rebound.,63,71
1:37,2244,Otis Livingston II Turnover.,63,71
1:35,2,Bryce Brown Steal.,63,71
1:12,2,Jared Harper made Three Point Jumper.,63,74
0:59,2244,Otis Livingston II missed Jumper.,63,74
0:59,2,Mustapha Heron Defensive Rebound.,63,74
0:55,2244,Foul on Jaire Grayer.,63,74
0:55,2244,George Mason  Timeout,63,74
0:55,2,Mustapha Heron made Free Throw.,63,75
0:55,2,Mustapha Heron made Free Throw.,63,76
0:45,2244,Javon Greene missed Three Point Jumper.,63,76
0:45,2,Chuma Okeke Defensive Rebound.,63,76
0:14,2244,Foul on Otis Livingston II.,63,76
0:14,2,Jared Harper made Free Throw.,63,77
0:14,2,Jared Harper made Free Throw.,63,78
0:14,2,Jared Harper made Free Throw.,63,79
0:05,2244,Ian Boyd missed Three Point Jumper.,63,79
0:05,2,Anfernee McLemore Defensive Rebound.,63,79
0:00,2,End of Game,63,79
